-0.410258-0j 0.499525-0j -0.29614-0j -0.0509611-0j -0.0594546-0j 0.108057-0j 0.0511883-0j -0.0214583-0j -0.0320287-0j -0.00462295-0j -0.0361803-0j -0.00522218-0j 0.0290672-0j -0.0298472-0j 0.00419549-0j 0.0767161-0j -0.00430808-0j 0.0209818-0j 0.011073-0j -0.00681309-0j 0.00302847-0j -0.000983384-0j -0.0237233-0j -0.00419372-0j -0.000349477-0j -0.0262569-0j -0.0046416-0j 0.0204249-0j -0.0003868-0j -0.0138386-0j -0.020973-0j 0.00361065-0j 0.023829-0j -0.00244634-0j -0.00370754-0j 0.000300887-0j 0.0423989-0j -0.000203862-0j -0.0141269-0j -0.000308961-0j 0.0444708-0j 0.00421242-0j 0.00749514-0j 0.00860036-0j 0.000351035-0j -0.0024973-0j 0.00786139-0j 0.000624595-0j -0.00228019-0j -0.000208109-0j 0.000655116-0j 0.00152034-0j 0.000126695-0j -0.000403085-0j -3.35904e-05-0j 
0.00697245-0j 0.00420232-0j -0.00231076-0j 0.0205388-0j 0.0464361-0j 0.0146736-0j -0.0209582-0j 0.041293-0j 0.0262561-0j 0.00376575-0j -0.0288151-0j -0.00413277-0j -0.0483051-0j 0.0487859-0j -0.00692812-0j -0.0205865-0j 0.00699708-0j 0.016009-0j -0.0029526-0j 0.0590742-0j 0.00229607-0j 0.00847266-0j -0.000202128-0j -0.16262-0j 0.000428503-0j 0.000217346-0j 0.174864-0j -0.000176862-0j -0.000460765-0j 0.000588289-0j 0.000178622-0j -0.142293-0j -0.000399867-0j 0.473302-0j 0.143709-0j 0.00037494-0j -7.29519e-05-0j -0.00124715-0j 0.000219878-0j -0.000378672-0j 0.000127614-0j -0.321709-0j -0.0586927-0j -0.000355579-0j 0.000847701-0j 0.176901-0j 0.102671-0j 0.000154655-0j -0.000355972-0j -0.000466132-0j -0.000270537-0j -0.286078-0j 0.000753814-0j -0.286394-0j 0.000754647-0j 
0.000575078-0j 0.000351035-0j -0.000208109-0j 0.00515366-0j -0.0119933-0j -0.0109277-0j -0.00517663-0j 0.00217006-0j -2.25078e-05-0j -0.0445399-0j -2.54253e-05-0j -0.0503132-0j -4.07449e-05-0j 4.18383e-05-0j -0.0806288-0j 5.39113e-05-0j 0.0827924-0j 1.47447e-05-0j 0.106683-0j -4.78781e-06-0j 0.0291778-0j -0.00947444-0j -1.66712e-05-0j 0.000424108-0j 0.155856-0j -1.84517e-05-0j 0.000469402-0j 1.43533e-05-0j 0.172501-0j 4.85213e-05-0j -1.47385e-05-0j -0.000365142-0j -3.34023e-05-0j -0.00123436-0j 0.00037494-0j -0.134186-0j 2.97953e-05-0j -0.453614-0j 1.98023e-05-0j 0.137787-0j 3.12513e-05-0j 0.000849738-0j -0.000757978-0j 6.04379e-06-0j 0.31227-0j -0.000503761-0j -0.000795017-0j -0.278549-0j -1.60238e-06-0j -0.185127-0j -0.292161-0j -0.000153751-0j -0.056502-0j 4.07637e-05-0j 0.0149802-0j 
-0.00302719-0j 0.000158247-0j 0.00427697-0j 0.0177871-0j 0.000295375-0j 0.0118989-0j 0.0523564-0j -0.0220426-0j 0.0227384-0j 0.00326124-0j 0.000365607-0j 5.24369e-05-0j -0.0622442-0j -0.0205865-0j -0.00892732-0j 0.000244577-0j -0.0029526-0j 0.0879419-0j 3.50782e-05-0j -0.0190032-0j 0.012613-0j -0.00272552-0j -0.000175048-0j -0.140833-0j 0.000371095-0j -2.7577e-06-0j -0.00221868-0j 0.000454587-0j 5.84621e-06-0j -0.000102111-0j 0.000150349-0j 0.365734-0j 7.54893e-06-0j -0.0821527-0j 0.120962-0j -0.000963706-0j -0.000803172-0j 0.000216472-0j 0.000204026-0j -0.000318733-0j 0.000100577-0j 0.00607342-0j -0.646184-0j -0.000563344-0j -1.60034e-05-0j 0.164147-0j 0.0809186-0j 0.00170269-0j 8.26878e-05-0j -0.000432527-0j -0.00021322-0j -0.453233-0j 0.00119427-0j 0.0665257-0j -0.000175295-0j 
0.00451361-0j -0.0219437-0j -0.0422138-0j 0.000560667-0j -0.00256989-0j 0.00040056-0j 0.00605374-0j -0.00441276-0j 0.000352376-0j 5.08611e-05-0j -0.00156388-0j -0.000225726-0j 0.000325007-0j 0.00347324-0j 4.69108e-05-0j -0.00111729-0j 0.000501319-0j -0.00303965-0j -0.000161266-0j 0.0038095-0j -0.000438736-0j 0.000549854-0j -0.0380382-0j 4.61388e-05-0j 3.8449e-06-0j 0.165406-0j -0.000200631-0j -0.0332835-0j -1.67192e-05-0j -0.022189-0j -0.355689-0j 4.03715e-05-0j 0.152559-0j 2.69143e-05-0j 0.000431436-0j 3.36429e-06-0j -0.0137287-0j 2.24286e-06-0j 0.293483-0j 3.5953e-05-0j -0.254116-0j -0.000185048-0j 1.66524e-05-0j 0.261959-0j -1.54207e-05-0j -0.000355983-0j 0.000308232-0j 1.3877e-06-0j -0.522641-0j -2.96652e-05-0j 2.5686e-05-0j -0.000317746-0j -2.64788e-05-0j 0.000633942-0j 5.28285e-05-0j 
-0.000581038-0j -0.000350194-0j 0.000192564-0j -0.00520706-0j -0.0117726-0j -0.00372011-0j 0.00531339-0j -0.0104687-0j 2.2741e-05-0j 0.0450015-0j -2.49574e-05-0j -0.0493875-0j -4.18383e-05-0j 4.22547e-05-0j -0.0827924-0j -1.78305e-05-0j 0.0836165-0j 1.38658e-05-0j -0.0352841-0j 5.11656e-05-0j 0.0274385-0j 0.10125-0j 1.6844e-05-0j -0.000428503-0j -0.157471-0j -1.81122e-05-0j 0.000460765-0j 1.47385e-05-0j 0.169327-0j -4.90241e-05-0j -1.48852e-05-0j -0.00037494-0j 3.33222e-05-0j 0.00124715-0j 0.000378672-0j -0.137787-0j 6.07932e-06-0j 0.458315-0j -1.83232e-05-0j 0.139158-0j -1.06345e-05-0j -0.000847701-0j -0.000154655-0j 2.96316e-05-0j -0.311522-0j 0.000466132-0j 0.000270537-0j -0.0568342-0j 2.96644e-05-0j 0.171299-0j 0.0994195-0j -0.000753814-0j -0.277019-0j -0.000754647-0j -0.277325-0j 
0.000252266-0j -1.31873e-05-0j -0.000356414-0j -0.00450945-0j -7.48845e-05-0j -0.00301664-0j -0.0132736-0j 0.0055883-0j 1.96943e-05-0j 0.0389725-0j 3.16661e-07-0j 0.000626631-0j -5.39113e-05-0j -1.78305e-05-0j -0.106683-0j 2.11834e-07-0j -0.0352841-0j 7.61687e-05-0j 0.000419192-0j -1.64592e-05-0j 0.150728-0j -0.0325706-0j 1.45873e-05-0j -0.000371095-0j -0.136374-0j 2.29808e-07-0j -5.84621e-06-0j -3.78823e-05-0j -0.00214843-0j 8.50928e-06-0j -1.25291e-05-0j 0.000963706-0j -6.29078e-07-0j -0.000216472-0j 0.000318733-0j 0.354153-0j 6.6931e-05-0j -0.0795513-0j -1.70022e-05-0j 0.117131-0j -8.38145e-06-0j 1.60034e-05-0j -0.00170269-0j 4.69453e-05-0j 0.0058811-0j 0.000432527-0j 0.00021322-0j -0.625722-0j -6.89065e-06-0j 0.158949-0j 0.0783563-0j -0.00119427-0j -0.438881-0j 0.000175295-0j 0.0644191-0j 
0.0024973-0j 0.00595153-0j 0.0069797-0j -0.0146736-0j 0.0335074-0j 0.0311137-0j 0.0134982-0j -0.00718937-0j -0.0187582-0j -0.00269038-0j 0.0414745-0j 0.00594845-0j 0.0170238-0j -0.016009-0j 0.00244162-0j -0.0879419-0j -0.00229607-0j 0.0475797-0j -0.012613-0j 0.0516996-0j 0.00682407-0j 0.00741497-0j 0.000144407-0j 0.116181-0j -0.000306138-0j -0.000312834-0j -0.251688-0j -0.000124329-0j 0.000663196-0j 8.42376e-05-0j 0.000116918-0j -0.100028-0j 0.000283908-0j 0.0677725-0j 0.0940652-0j 0.000263573-0j -0.000258088-0j -0.00017858-0j 0.000332955-0j -0.000247861-0j -0.000247911-0j 0.228415-0j -0.207643-0j -6.09154e-05-0j -0.000601874-0j 0.267876-0j -0.199454-0j 0.000547137-0j -0.000613991-0j -0.000705852-0j 0.000525561-0j -0.0490089-0j 0.000129138-0j -0.49398-0j 0.00130164-0j 
-0.000797901-0j 0.00387914-0j 0.00746242-0j 0.00468829-0j -0.0214894-0j 0.00334948-0j 0.0506213-0j -0.0368995-0j 0.00599335-0j 0.000859591-0j -0.026599-0j -0.00381494-0j 0.00552785-0j 0.0590742-0j 0.000792827-0j -0.0190032-0j 0.00847266-0j -0.0516996-0j -0.00272552-0j 0.0647934-0j -0.00741497-0j 0.00929294-0j -4.61388e-05-0j -0.0371205-0j 9.78124e-05-0j 0.000200631-0j 0.161416-0j -4.03715e-05-0j -0.000425329-0j -2.69143e-05-0j -0.000431436-0j -0.0324805-0j 0.000185048-0j -0.0216536-0j -0.347107-0j 8.55859e-05-0j -1.66524e-05-0j 5.70572e-05-0j 0.000355983-0j 0.000914626-0j -0.000308232-0j 0.148879-0j -0.0133975-0j 0.000317746-0j -0.000392294-0j 0.286403-0j -0.247985-0j 3.53024e-05-0j -0.000633942-0j -0.000754669-0j 0.00065344-0j 0.255639-0j -0.000673608-0j -0.510032-0j 0.00134393-0j 
-0.000208109-0j -0.000495961-0j -0.000581642-0j 0.00372011-0j -0.00849492-0j -0.00788805-0j -0.00342211-0j 0.00182267-0j -1.6247e-05-0j -0.0321506-0j 3.59221e-05-0j 0.0710852-0j 1.47447e-05-0j -1.38658e-05-0j 0.0291778-0j -7.61687e-05-0j -0.0274385-0j 4.12099e-05-0j -0.150728-0j 4.47783e-05-0j 0.081549-0j 0.0886104-0j -1.20339e-05-0j 0.000306138-0j 0.112503-0j 2.60695e-05-0j -0.000663196-0j 1.03608e-05-0j -0.243718-0j -7.0198e-06-0j -9.74316e-06-0j -0.000263573-0j -2.3659e-05-0j 0.00017858-0j 0.000247861-0j -0.0968606-0j 2.15074e-05-0j 0.0656265-0j -2.77463e-05-0j 0.0910866-0j 2.06592e-05-0j 0.000601874-0j -0.000547137-0j 5.07629e-06-0j 0.221183-0j 0.000705852-0j -0.000525561-0j -0.201067-0j 5.11659e-05-0j 0.259394-0j -0.193138-0j -0.000129138-0j -0.047457-0j -0.00130164-0j -0.478338-0j 
6.64917e-05-0j -0.000323262-0j -0.000621869-0j -0.00118859-0j 0.00544807-0j -0.000849171-0j -0.0128337-0j 0.00935488-0j 5.19099e-06-0j 0.0102723-0j -2.30381e-05-0j -0.0455893-0j 4.78781e-06-0j 5.11656e-05-0j 0.00947444-0j -1.64592e-05-0j 0.10125-0j -4.47783e-05-0j -0.0325706-0j 5.61192e-05-0j -0.0886104-0j 0.111053-0j 3.8449e-06-0j -9.78124e-05-0j -0.0359451-0j -1.67192e-05-0j 0.000425329-0j 3.36429e-06-0j 0.156304-0j 2.24286e-06-0j 3.5953e-05-0j -8.55859e-05-0j -1.54207e-05-0j -5.70572e-05-0j -0.000914626-0j -0.031452-0j 1.3877e-06-0j -0.020968-0j -2.96652e-05-0j -0.336116-0j 2.5686e-05-0j 0.000392294-0j -3.53024e-05-0j -2.64788e-05-0j 0.144164-0j 0.000754669-0j -0.00065344-0j -0.0129733-0j 5.28285e-05-0j 0.277334-0j -0.240133-0j 0.000673608-0j 0.247544-0j -0.00134393-0j -0.493882-0j 
0.0166698-0j 0.0206279-0j 0.0120329-0j 0.00207068-0j 0.00241579-0j 0.00147936-0j 0.00211382-0j 0.000871905-0j 0.00130141-0j 0.000187842-0j 0.0014701-0j 0.00021219-0j 0.00120033-0j 0.00121277-0j 0.000173253-0j 0.00105029-0j 0.000175048-0j 0.000866443-0j 0.000151596-0j 0.000276833-0j 0.00012506-0j 3.99574e-05-0j -0.00491932-0j -0.00086962-0j -7.24684e-05-0j 0.00106688-0j 0.0001886-0j 0.000843445-0j 1.57167e-05-0j 0.000562296-0j 0.000852185-0j 0.000149101-0j 0.000984019-0j 9.94009e-05-0j 0.000150647-0j 1.24251e-05-0j 0.000347903-0j 8.28341e-06-0j 0.000574011-0j 1.25539e-05-0j 0.000608831-0j 0.000173952-0j 6.15012e-05-0j 0.000355151-0j 1.4496e-05-0j 0.000101472-0j 0.000107627-0j 5.1251e-06-0j 9.26499e-05-0j 8.45598e-06-0j 8.96892e-06-0j 6.27825e-05-0j 5.23187e-06-0j 1.63783e-05-0j 1.36486e-06-0j 
-0.0027783-0j -0.00343798-0j -0.00200549-0j 0.0163247-0j 0.0190455-0j 0.0116629-0j 0.0166648-0j 0.00687388-0j -0.000216901-0j 0.00299311-0j -0.000245016-0j 0.00338108-0j -0.000200055-0j -0.000202128-0j 0.00276064-0j -0.000175048-0j 0.00278925-0j -0.000144407-0j 0.00241556-0j -4.61388e-05-0j 0.00199273-0j 0.000636688-0j -0.11949-0j -0.00685588-0j -0.00173813-0j 0.0259146-0j 0.00148688-0j 0.0204873-0j 0.000376958-0j 0.0136582-0j 0.0206996-0j 0.00117548-0j 0.0239018-0j 0.000783653-0j 0.00118766-0j 0.000298011-0j 0.00845057-0j 0.000198674-0j 0.0139427-0j 0.0003011-0j 0.0147885-0j 0.00137139-0j 0.00048486-0j 0.00862663-0j 0.00034768-0j 0.000799979-0j 0.000848506-0j 0.000122923-0j 0.00225047-0j 0.000202813-0j 0.000215116-0j 0.000494962-0j 0.000125484-0j 0.000129123-0j 3.27357e-05-0j 
-0.00170136-0j -0.00210532-0j -0.0012281-0j -0.000211338-0j -0.000246561-0j -0.000150987-0j -0.00021574-0j -8.89884e-05-0j 0.025692-0j -1.91716e-05-0j 0.0290222-0j -2.16566e-05-0j 0.0236965-0j 0.0239421-0j -1.76825e-05-0j 0.0207344-0j -1.78658e-05-0j 0.017105-0j -1.54722e-05-0j 0.00546514-0j -1.27639e-05-0j -4.07813e-06-0j 0.000502076-0j -0.0171677-0j 7.39627e-06-0j -0.000108888-0j 0.00372328-0j -8.60837e-05-0j -1.60408e-06-0j -5.73891e-05-0j -8.69758e-05-0j 0.00294351-0j -0.000100431-0j 0.00196234-0j 0.00297401-0j -1.26813e-06-0j -3.55077e-05-0j -8.45422e-07-0j -5.85848e-05-0j -1.28127e-06-0j -6.21385e-05-0j 0.00343409-0j 0.00121414-0j -3.62475e-05-0j -1.47949e-06-0j 0.00200322-0j 0.00212474-0j -5.23078e-07-0j -9.45604e-06-0j -8.63035e-07-0j -9.15387e-07-0j 0.00123943-0j -5.33976e-07-0j 0.000323336-0j -1.39301e-07-0j 
-0.0184501-0j -0.00032497-0j 0.0260673-0j -0.00229182-0j -3.80583e-05-0j -0.00163735-0j 0.00227296-0j 0.00284012-0j 0.00583976-0j 0.000842897-0j -2.31599e-05-0j -3.34284e-06-0j -0.00132852-0j 0.00130408-0j -0.000191755-0j -1.65462e-05-0j 0.000188227-0j 0.001877-0j -2.38824e-06-0j 0.00120379-0j 0.000270922-0j 0.000173751-0j -0.00106688-0j -0.0001886-0j -1.57167e-05-0j 6.81428e-05-0j 1.20461e-05-0j -0.000933522-0j 1.00384e-06-0j -0.000622348-0j 0.000916346-0j -0.000165025-0j -1.55022e-05-0j -0.000110017-0j 0.000161989-0j -1.37521e-05-0j -0.000385058-0j -9.16805e-06-0j 0.0012435-0j 1.3499e-05-0j 0.000654669-0j -2.74043e-06-0j -6.80693e-05-0j 0.00115686-0j -2.28369e-07-0j 0.000219822-0j 0.00011573-0j -5.67244e-06-0j 0.000503966-0j 1.83185e-05-0j 9.64419e-06-0j 0.000204506-0j 1.70422e-05-0j 8.90894e-05-0j 7.42412e-06-0j 
0.000347288-0j 0.000429747-0j 0.000250686-0j -0.00412432-0j -0.0048117-0j -0.00294655-0j -0.00421024-0j -0.00173664-0j -0.00260862-0j 0.0175087-0j -0.00294675-0j 0.0197782-0j -0.00240601-0j -0.00243094-0j 0.0161488-0j -0.00210526-0j 0.0163162-0j -0.00173675-0j 0.0141302-0j -0.0005549-0j 0.0116568-0j 0.00372441-0j -0.000102486-0j -0.166651-0j -0.0206988-0j 2.22267e-05-0j 0.0361426-0j 1.75718e-05-0j 0.00448907-0j 1.17145e-05-0j 1.77539e-05-0j 0.0285732-0j 2.05004e-05-0j 0.0190488-0j 0.0288694-0j 0.00354892-0j 7.24798e-06-0j 0.00236595-0j 1.19586e-05-0j 0.0035857-0j 1.2684e-05-0j 0.0333355-0j 0.0117859-0j 7.39898e-06-0j 0.00414041-0j 0.0194457-0j 0.0206253-0j 0.00146386-0j 1.93021e-06-0j 0.00241524-0j 0.00256175-0j 0.0120314-0j 0.00149435-0j 0.00313869-0j 0.000389839-0j 
-2.04641e-05-0j -2.53231e-05-0j -1.47718e-05-0j 0.000488597-0j 0.00057003-0j 0.000349071-0j 0.000498777-0j 0.000205735-0j -1.59763e-06-0j -0.00636732-0j -1.80471e-06-0j -0.00719265-0j -1.47354e-06-0j -1.48881e-06-0j -0.00587278-0j -1.28935e-06-0j -0.00593363-0j -1.06366e-06-0j -0.00513868-0j -3.39844e-07-0j -0.00423919-0j -0.00135444-0j 6.03903e-06-0j -0.000205196-0j -0.233199-0j -1.30972e-06-0j 4.45021e-05-0j -1.03543e-06-0j 0.0505754-0j -6.90284e-07-0j -1.04616e-06-0j 3.5182e-05-0j -1.208e-06-0j 2.34547e-05-0j 3.55466e-05-0j 0.0399834-0j -4.27092e-07-0j 0.0266556-0j -7.04665e-07-0j 0.0403977-0j -7.4741e-07-0j 4.10457e-05-0j 1.45118e-05-0j -4.35989e-07-0j 0.0466473-0j 2.39433e-05-0j 2.53957e-05-0j 0.0164923-0j -1.13739e-07-0j 0.0272109-0j 0.0288615-0j 1.48142e-05-0j 0.0168359-0j 3.86464e-06-0j 0.00439206-0j 
-0.0145861-0j 0.0177598-0j -0.0105288-0j 0.00546831-0j -0.00211382-0j 0.0038418-0j 0.00181992-0j -0.000762917-0j -0.00113873-0j -0.000164362-0j 0.00388228-0j 0.000560359-0j 0.00103344-0j -0.00106117-0j 0.000149164-0j 0.00272752-0j -0.000153167-0j 0.000745977-0j 0.000393684-0j -0.000242229-0j 0.000107672-0j -3.49627e-05-0j -0.000843445-0j -0.000149101-0j -1.24251e-05-0j -0.000933522-0j -0.000165025-0j -0.00219167-0j -1.37521e-05-0j -0.000492009-0j 0.00225048-0j -0.000387436-0j 0.000847205-0j -8.69758e-05-0j 0.000397832-0j -3.22863e-05-0j 0.00150743-0j -7.24798e-06-0j -0.00050226-0j 3.31527e-05-0j 0.00158109-0j 0.000149766-0j 0.000266478-0j 0.000305772-0j 1.24805e-05-0j -8.87878e-05-0j 0.0002795-0j 2.22065e-05-0j -8.10687e-05-0j -7.39898e-06-0j 2.32916e-05-0j 5.40534e-05-0j 4.50445e-06-0j -1.43311e-05-0j -1.19425e-06-0j 
0.00307502-0j 5.41617e-05-0j -0.00434455-0j -0.0180681-0j -0.000300042-0j -0.0129085-0j 0.0179195-0j 0.0223908-0j -0.000973293-0j 0.0134309-0j 3.85998e-06-0j -5.32654e-05-0j 0.00022142-0j -0.000217346-0j -0.00305547-0j 2.7577e-06-0j 0.00299925-0j -0.000312834-0j -3.80546e-05-0j -0.000200631-0j 0.00431692-0j 0.00276859-0j -0.0259146-0j -0.00148688-0j -0.000376958-0j 0.00165519-0j 9.49681e-05-0j -0.0226753-0j 2.40766e-05-0j -0.0151168-0j 0.0222581-0j -0.00130102-0j -0.000376549-0j -0.000867345-0j 0.00127708-0j -0.000329838-0j -0.00935307-0j -0.000219892-0j 0.0302046-0j 0.000323769-0j 0.0159019-0j -2.16049e-05-0j -0.000536642-0j 0.0281002-0j -5.47734e-06-0j 0.00173302-0j 0.000912389-0j -0.000136051-0j 0.0122413-0j 0.000439361-0j 0.000231312-0j 0.00161228-0j 0.00040875-0j 0.000702359-0j 0.000178065-0j 
0.0485172-0j -0.0120329-0j -0.0070192-0j -0.00120789-0j 0.0070311-0j -0.000862962-0j -0.00123306-0j -0.000508611-0j -0.000759155-0j -0.000109575-0j -0.000857557-0j -0.000123778-0j 0.00349353-0j 0.00352974-0j 0.000504248-0j -0.000612668-0j 0.000509473-0j -0.000505425-0j -8.8431e-05-0j -0.000161486-0j -7.29519e-05-0j -2.33085e-05-0j -0.000562296-0j -9.94009e-05-0j -8.28341e-06-0j -0.000622348-0j -0.000110017-0j -0.000492009-0j -9.16805e-06-0j -0.00228214-0j -0.000497108-0j -8.69758e-05-0j 0.00286397-0j -0.00040343-0j -8.78771e-05-0j -7.24798e-06-0j -0.000202944-0j -3.36191e-05-0j 0.00167065-0j -7.32309e-06-0j -0.000355151-0j 0.000506282-0j -3.58757e-05-0j -0.000207172-0j 4.21902e-05-0j 0.000295331-0j -6.27825e-05-0j -2.98964e-06-0j -5.40458e-05-0j 2.46109e-05-0j -5.23187e-06-0j -3.66231e-05-0j -3.05192e-06-0j -9.55404e-06-0j -7.9617e-07-0j 
0.0147373-0j -0.0177173-0j 0.00974233-0j -0.00552498-0j -0.00207492-0j 0.00130786-0j -0.001868-0j 0.00368044-0j 0.00115053-0j 0.000166065-0j 0.00381085-0j 0.000550048-0j 0.00106117-0j -0.00107173-0j 0.000153167-0j -0.000902093-0j -0.000154692-0j 0.000701508-0j -0.000130206-0j 0.00258861-0j 0.000101254-0j 0.000373634-0j 0.000852185-0j 0.000150647-0j 1.25539e-05-0j -0.000916346-0j -0.000161989-0j -0.00225048-0j -1.3499e-05-0j 0.000497108-0j 0.00227288-0j -0.000397832-0j -0.000845174-0j 8.78771e-05-0j 0.000401792-0j -3.31527e-05-0j 0.00030757-0j 7.32309e-06-0j 0.000464742-0j 3.34827e-05-0j -0.000538029-0j -0.000149407-0j 5.43712e-05-0j 0.00149915-0j -1.24506e-05-0j 8.21556e-05-0j -9.5111e-05-0j 4.53093e-06-0j 0.0015008-0j 6.8463e-06-0j -7.92592e-06-0j 0.000265014-0j 2.20845e-05-0j 0.000265307-0j 2.21089e-05-0j 
0.00188306-0j 3.31672e-05-0j -0.00266048-0j 0.000233908-0j 3.8843e-06-0j 0.000167112-0j -0.000231983-0j -0.000289869-0j 0.115287-0j -8.60278e-05-0j -0.000457214-0j 3.41177e-07-0j -0.0262272-0j 0.0257446-0j 1.9571e-05-0j -0.000326649-0j -1.92109e-05-0j 0.0370552-0j 2.43749e-07-0j 0.0237647-0j -2.76509e-05-0j -1.77334e-05-0j 0.000108888-0j -0.00372328-0j 1.60408e-06-0j -6.95479e-06-0j 0.000237809-0j 9.52772e-05-0j -1.02454e-07-0j 6.35181e-05-0j -9.35241e-05-0j -0.00325787-0j 1.58219e-06-0j -0.00217191-0j 0.00319792-0j 1.40357e-06-0j 3.92998e-05-0j 9.35711e-07-0j -0.000126914-0j -1.37774e-06-0j -6.68169e-05-0j -5.41006e-05-0j -0.0013438-0j -0.000118072-0j 2.33078e-08-0j 0.00433964-0j 0.00228471-0j 5.78941e-07-0j -5.14358e-05-0j -1.86962e-06-0j -9.84306e-07-0j 0.00403729-0j -1.73936e-06-0j 0.00175877-0j -7.57721e-07-0j 
-0.000384377-0j -6.77022e-06-0j 0.000543069-0j 0.00456478-0j 7.58034e-05-0j 0.00326124-0j -0.00452723-0j -0.00565688-0j -0.0117056-0j 0.0785661-0j 4.6423e-05-0j -0.000311585-0j 0.00266296-0j -0.00261397-0j -0.0178735-0j 3.31662e-05-0j 0.0175446-0j -0.00376238-0j -0.000222607-0j -0.00241294-0j 0.0252526-0j 0.0161953-0j -2.22267e-05-0j -0.0361426-0j -0.00448907-0j 1.41964e-06-0j 0.00230846-0j -1.94484e-05-0j 0.000286721-0j -1.29656e-05-0j 1.90905e-05-0j -0.0316248-0j -3.22962e-07-0j -0.0210832-0j 0.0310429-0j -0.00392794-0j -8.02205e-06-0j -0.00261863-0j 2.59062e-05-0j 0.00385566-0j 1.36389e-05-0j -0.000525165-0j -0.0130446-0j 2.41013e-05-0j -6.52279e-05-0j 0.0421258-0j 0.0221781-0j -0.00162019-0j 1.04993e-05-0j 0.00523221-0j 0.00275462-0j 0.0391908-0j 0.00486767-0j 0.0170728-0j 0.00212051-0j 
0.00243102-0j -0.00295997-0j 0.0017548-0j 0.0431108-0j -0.0166648-0j 0.0302878-0j 0.0143478-0j -0.00601465-0j 0.000189789-0j -0.00261897-0j -0.000647047-0j 0.00892886-0j -0.00017224-0j 0.000176862-0j 0.00237681-0j -0.000454587-0j -0.00244059-0j -0.000124329-0j 0.00627303-0j 4.03715e-05-0j 0.00171567-0j -0.000557102-0j -0.0204873-0j -0.00117548-0j -0.000298011-0j -0.0226753-0j -0.00130102-0j -0.0532356-0j -0.000329838-0j -0.0119509-0j 0.0546642-0j -0.00305445-0j 0.0205786-0j -0.000685696-0j 0.00313641-0j -0.000774374-0j 0.0366154-0j -0.00017384-0j -0.0121999-0j 0.000795154-0j 0.0384047-0j 0.00118072-0j 0.00210085-0j 0.00742722-0j 0.00029934-0j -0.000699981-0j 0.00220351-0j 0.000532614-0j -0.00196916-0j -0.000177462-0j 0.000558641-0j 0.000426144-0j 0.000108038-0j -0.000112983-0j -2.86437e-05-0j 
-0.033944-0j -0.000294922-0j -0.0240427-0j 0.00211382-0j -7.00184e-05-0j -0.0044821-0j 0.0020628-0j -0.00261953-0j 0.00132852-0j 0.000191755-0j 2.13611e-05-0j 3.0832e-06-0j 0.00240497-0j 0.0023992-0j 0.000347127-0j -4.52936e-05-0j 0.000346295-0j 0.00170345-0j -6.53757e-06-0j -0.00111029-0j 0.000245872-0j -0.000160256-0j 0.000984019-0j 0.000173952-0j 1.4496e-05-0j 1.55022e-05-0j 2.74043e-06-0j -0.000847205-0j 2.28369e-07-0j -0.00286397-0j -0.000845174-0j -0.000149766-0j 2.8063e-05-0j -0.000506282-0j -0.000149407-0j -1.24805e-05-0j -0.00175866-0j -4.21902e-05-0j 0.00228775-0j -1.24506e-05-0j 0.00179209-0j 4.96088e-06-0j -0.000310891-0j 0.00104989-0j 4.13407e-07-0j 0.000404421-0j 0.0003168-0j -2.59076e-05-0j -0.000464823-0j 3.37018e-05-0j 2.64e-05-0j 0.000185597-0j 1.54664e-05-0j -8.21699e-05-0j -6.84749e-06-0j 
2.26497e-05-0j 3.98939e-07-0j -3.20006e-05-0j -0.000540778-0j -8.98024e-06-0j -0.000386351-0j 0.000536329-0j 0.000670156-0j -7.16898e-06-0j -0.0285718-0j 2.84314e-08-0j 0.000113313-0j 1.63091e-06-0j -1.60091e-06-0j 0.00649997-0j 2.03124e-08-0j -0.00638037-0j -2.30424e-06-0j 8.09545e-05-0j -1.47779e-06-0j -0.0091835-0j -0.00588968-0j 1.30972e-06-0j -4.45021e-05-0j -0.0505754-0j -8.36531e-08-0j 2.84239e-06-0j 1.14601e-06-0j 0.0032303-0j 7.64005e-07-0j -1.12492e-06-0j -3.89393e-05-0j 1.90307e-08-0j -2.59596e-05-0j 3.82229e-05-0j -0.0442535-0j 4.72704e-07-0j -0.0295023-0j -1.52654e-06-0j 0.0434392-0j -8.03682e-07-0j -6.46632e-07-0j -1.60617e-05-0j -1.42018e-06-0j -0.000734879-0j 5.18692e-05-0j 2.73077e-05-0j -0.0182536-0j -6.18676e-07-0j 0.0589479-0j 0.0310345-0j 4.82553e-05-0j 0.0548408-0j 2.10216e-05-0j 0.0238904-0j 
