-0.143885-0j 0.986342-0j -0.0103606-0j -0.010468-0j 0.14297-0j 0.144452-0j -0.00686379-0j -0.00849351-0j 0.057395-0j -0.00495455-0j 0.014551-0j 0.0710226-0j 0.0414299-0j 0.0180059-0j 0.0105034-0j -0.0051156-0j -0.0059682-0j 0.0403302-0j -0.00365476-0j -0.000522109-0j -0.00522218-0j 0.0101891-0j 0.0470519-0j -0.00215404-0j 0.00120708-0j 0.0288133-0j -0.000609127-0j -0.000373013-0j 0.0411704-0j 0.0118873-0j -0.000532986-0j 0.00727946-0j 0.0169819-0j 0.00140826-0j 0.0104014-0j 0.000862379-0j -0.000219846-0j 0.00429035-0j 0.00123223-0j 0.000508267-0j -0.00406685-0j -0.00459399-0j 0.0310439-0j -0.000535854-0j -0.00375098-0j -0.00378985-0j 0.00739447-0j 0.0350679-0j -0.00328211-0j 0.00316841-0j -0.0027076-0j 0.00113599-0j -0.000605312-0j 0.0286328-0j -0.000865092-0j 8.66579e-05-0j 0.00835294-0j 0.0289295-0j -0.000494235-0j 0.0035791-0j 0.0250537-0j -0.000499357-0j 0.00682015-0j 0.0206682-0j 0.00128324-0j 0.00292232-0j -0.000432456-0j 0.00689083-0j 0.0066036-0j 9.78905e-05-0j -0.000356758-0j 0.00295261-0j 0.00596763-0j 0.00104776-0j 0.00255703-0j -0.000113986-0j 7.99272e-05-0j 0.00492305-0j 0.00105862-0j 0.00210944-0j 0.000916789-0j 8.07555e-05-0j 0.00157294-0j 0.000673977-0j 0.000756312-0j 6.99363e-05-0j 0.000241645-0j 5.76945e-05-0j 1.84337e-05-0j 
-0.0051156-0j 0.0350679-0j -0.000368355-0j -0.000372172-0j 0.00508307-0j 0.00513575-0j -0.000244032-0j -0.000301974-0j 0.00204059-0j -0.000176151-0j 0.000517337-0j 0.0025251-0j 0.00147298-0j 0.000640172-0j 0.000373434-0j -0.107527-0j 0.0415652-0j -0.00432758-0j 0.0254534-0j 5.60242e-05-0j 0.0363696-0j -0.00109333-0j 0.00167286-0j 0.0150017-0j -0.000129524-0j 0.00102441-0j -2.16566e-05-0j -1.32619e-05-0j 0.00146375-0j 0.000422635-0j -1.89495e-05-0j 0.00025881-0j 0.000603766-0j 5.00685e-05-0j 0.000369805-0j 3.06605e-05-0j -7.81627e-06-0j 0.000152537-0j 4.38099e-05-0j 1.80707e-05-0j -0.000144591-0j 0.000492953-0j -0.216204-0j -1.90515e-05-0j -0.00013336-0j -0.000134742-0j 0.000262899-0j 0.737104-0j -0.00011669-0j 0.000112648-0j -9.62646e-05-0j 4.03884e-05-0j 6.49522e-05-0j -0.199412-0j -3.0757e-05-0j 3.08099e-06-0j -0.000896302-0j -0.201478-0j -1.75718e-05-0j -0.000384051-0j -0.174485-0j -1.77539e-05-0j 0.00024248-0j -0.143943-0j -0.000137696-0j 0.000103899-0j -1.53753e-05-0j 0.000244993-0j -0.0459904-0j -1.0504e-05-0j -1.2684e-05-0j 0.000104975-0j 0.00021217-0j 3.72514e-05-0j 9.09113e-05-0j -4.05259e-06-0j 2.84169e-06-0j 0.000175031-0j 3.76375e-05-0j 7.4998e-05-0j 3.2595e-05-0j 2.87114e-06-0j 5.59233e-05-0j 2.39622e-05-0j 2.68895e-05-0j 2.48648e-06-0j 8.59133e-06-0j 2.05124e-06-0j 6.55381e-07-0j 
-0.0226477-0j -0.00328211-0j 0.00484001-0j -0.00164768-0j 0.000698595-0j -0.000237821-0j -0.00108037-0j 0.00396779-0j -0.000190985-0j -0.000779855-0j -1.59154e-05-0j 0.000701413-0j -0.00013786-0j 5.84511e-05-0j -1.14884e-05-0j -0.000805205-0j -0.000939406-0j -0.000134201-0j -0.000538651-0j -8.21809e-05-0j 0.00243957-0j -1.67751e-05-0j -0.000156568-0j -0.00033905-0j -9.88483e-07-0j -8.97751e-05-0j -9.58777e-05-0j -5.49758e-05-0j 0.000406595-0j -1.9571e-05-0j 0.000248988-0j -1.12219e-05-0j -5.65083e-05-0j -1.15323e-06-0j 5.08244e-05-0j -6.61256e-07-0j -3.46041e-05-0j -7.06353e-06-0j 2.99486e-06-0j -4.16223e-07-0j 0.157894-0j 0.17836-0j -0.0001033-0j -8.43445e-05-0j -0.43222-0j 0.14714-0j -1.21741e-05-0j -0.00011669-0j 0.119316-0j -1.05431e-05-0j -0.311993-0j -1.24251e-06-0j -9.52772e-05-0j 0.000282775-0j 0.0335869-0j -5.67126e-08-0j -1.37521e-05-0j -9.62646e-05-0j 0.000230885-0j -1.19097e-05-0j -7.80612e-05-0j -7.85997e-05-0j 3.33253e-05-0j 0.000204118-0j -1.40357e-06-0j 2.88606e-05-0j -6.37367e-05-0j -1.13449e-05-0j -2.19739e-05-0j -6.40637e-08-0j 0.000166661-0j -9.82496e-06-0j -9.1996e-06-0j 3.40125e-06-0j -7.96709e-06-0j -1.79416e-05-0j 1.55245e-07-0j 2.40555e-05-0j -1.15788e-06-0j 2.08327e-05-0j -9.38931e-07-0j -5.28499e-08-0j -2.58964e-06-0j -2.2427e-06-0j 2.45515e-06-0j -4.28561e-08-0j -2.64304e-07-0j 1.12062e-07-0j -1.20638e-08-0j 
0.0323607-0j -0.0045562-0j -0.00229279-0j -0.00235336-0j -0.000330935-0j -0.000339678-0j 0.00154371-0j 0.0018261-0j 0.000272892-0j 0.0010205-0j 2.2741e-05-0j 0.000322811-0j 0.000180401-0j 2.69009e-05-0j 1.50334e-05-0j 0.00115053-0j -0.00130408-0j 0.000191755-0j -0.00243957-0j 0.000117426-0j 0.00115519-0j 2.39694e-05-0j -0.000217346-0j 0.00231313-0j 1.41241e-06-0j -0.000406595-0j -0.000133097-0j -0.000248988-0j 0.000192532-0j -2.71683e-05-0j 0.000117901-0j -5.08244e-05-0j 0.000385522-0j -1.60091e-06-0j 2.40665e-05-0j -2.99486e-06-0j 0.000236083-0j 4.81903e-05-0j 1.41813e-06-0j 2.83964e-06-0j -0.22561-0j 0.247598-0j 0.000147603-0j 0.000120517-0j 0.204749-0j 0.210158-0j 1.73952e-05-0j -0.000161989-0j -0.525003-0j 1.50647e-05-0j 0.135353-0j 1.77539e-06-0j -0.000132263-0j -0.000133955-0j -0.507605-0j 8.10349e-08-0j -1.90905e-05-0j -0.000137494-0j -0.000109374-0j -1.65329e-05-0j 0.000343478-0j -0.000112263-0j -1.57867e-05-0j -8.85533e-05-0j -1.94842e-06-0j -1.36717e-05-0j 0.000280448-0j -1.62038e-05-0j 0.000332095-0j -8.89328e-08-0j -7.23035e-05-0j -1.40329e-05-0j 4.04792e-05-0j -1.61123e-06-0j 3.50561e-05-0j 0.000271155-0j -7.35421e-08-0j -1.04361e-05-0j -1.65379e-06-0j -9.03794e-06-0j 4.1314e-06-0j -7.5485e-08-0j 3.91378e-05-0j 3.38943e-05-0j -1.06513e-06-0j 1.88572e-07-0j 3.99449e-06-0j -4.86164e-08-0j 1.82323e-07-0j 
-0.00417687-0j -0.000605312-0j 0.0289373-0j 0.0292372-0j -4.3411e-05-0j -4.38609e-05-0j 0.0290389-0j 0.0359337-0j 0.00338894-0j 0.0209614-0j -2.93524e-06-0j 0.0041936-0j 0.00244627-0j -3.63218e-06-0j -2.11877e-06-0j 0.000448194-0j -0.000173253-0j -0.0108866-0j -0.000106095-0j -0.00884809-0j -0.000151596-0j -0.000898386-0j 0.00420831-0j -6.25302e-05-0j 5.5021e-07-0j 0.00257705-0j 0.00342029-0j 0.00209449-0j 0.00368227-0j 0.000347278-0j 0.00299276-0j 0.000212663-0j 0.00151886-0j -2.12688e-07-0j 0.000303868-0j -1.30244e-07-0j 0.00123445-0j 0.000125339-0j -1.86102e-07-0j -7.6763e-08-0j -0.000118058-0j 0.000402494-0j -1.90515e-05-0j -0.218122-0j -0.000108888-0j -0.000110017-0j 0.000327221-0j 6.49522e-05-0j -9.52772e-05-0j 0.000376108-0j -7.85997e-05-0j 2.20478e-05-0j 0.743645-0j -1.75718e-05-0j -2.5113e-05-0j -1.04594e-08-0j -0.0011156-0j -1.77539e-05-0j -0.201181-0j -0.00128226-0j -1.53753e-05-0j -0.203266-0j 0.000301806-0j -1.2684e-05-0j -7.51675e-05-0j 0.000346896-0j -0.176033-0j 0.000304934-0j -4.05259e-06-0j 3.56592e-08-0j -0.14522-0j 0.000350491-0j 0.00026408-0j 2.03354e-05-0j 0.000303534-0j -0.0463985-0j -9.64701e-09-0j 0.000217855-0j 2.05461e-05-0j 0.000250403-0j 1.77934e-05-0j -9.74699e-09-0j 6.96058e-05-0j 8.00048e-05-0j 1.46788e-05-0j -8.44114e-09-0j 4.68996e-06-0j -6.96358e-09-0j -2.2249e-09-0j 
-0.0133481-0j 0.00569308-0j -0.000961144-0j -0.00463672-0j -0.000138729-0j -0.000669253-0j -0.000636749-0j 0.00231895-0j -0.000112562-0j -0.000534817-0j -9.3802e-06-0j 0.000409936-0j -9.45431e-05-0j 3.41613e-05-0j -7.87859e-06-0j -0.000474571-0j 0.00162947-0j -7.90951e-05-0j -0.00033905-0j -4.84357e-05-0j -0.00231313-0j -9.88689e-06-0j 0.000271579-0j 0.00281831-0j -5.8259e-07-0j -5.65083e-05-0j 0.000166308-0j -3.46041e-05-0j -0.000385522-0j 3.39474e-05-0j -0.000236083-0j -7.06353e-06-0j 0.000469718-0j 2.00037e-06-0j -4.81903e-05-0j -4.16223e-07-0j 0.000287642-0j 5.87147e-05-0j -2.83964e-06-0j 3.4598e-06-0j 0.0930593-0j -0.30938-0j -6.08831e-05-0j -4.97108e-05-0j 0.0858315-0j 0.414066-0j -7.17514e-06-0j 0.000202408-0j -0.221032-0j -6.21385e-06-0j 0.0720914-0j -7.32309e-07-0j 0.000165266-0j -5.61543e-05-0j -0.370009-0j -3.34252e-08-0j 2.38541e-05-0j -0.000270898-0j -4.58498e-05-0j 2.06582e-05-0j 0.000144608-0j -0.000221187-0j -6.61785e-06-0j -4.7165e-05-0j 2.4346e-06-0j -5.73123e-06-0j 0.000118072-0j -3.19256e-05-0j 0.000242075-0j 1.11124e-07-0j -3.85101e-05-0j -2.76484e-05-0j 1.70422e-05-0j -6.75432e-07-0j 1.4759e-05-0j 0.000197653-0j -3.08291e-08-0j -5.55845e-06-0j -3.2584e-06-0j -4.81376e-06-0j 1.73936e-06-0j -1.48725e-07-0j 2.85288e-05-0j 2.47066e-05-0j -5.67307e-07-0j 7.93905e-08-0j 2.91171e-06-0j -2.58939e-08-0j 1.32901e-07-0j 
0.00060288-0j -0.00835294-0j 4.3411e-05-0j 4.38609e-05-0j 0.0280337-0j 0.0283243-0j -0.0041914-0j -0.00518659-0j -0.000486055-0j -0.00302551-0j 0.00580846-0j -0.000601463-0j -0.000350853-0j 0.0071876-0j 0.00419277-0j -6.46912e-05-0j 2.50069e-05-0j -0.150229-0j 1.53135e-05-0j -6.60252e-06-0j 2.1881e-05-0j -0.00602984-0j 0.0580721-0j 9.02545e-06-0j -0.00219285-0j 0.0355618-0j 2.55225e-06-0j 1.56293e-06-0j 0.0508131-0j 0.00233088-0j 2.23322e-06-0j 0.00142737-0j 0.0209593-0j 0.000847662-0j 0.00203952-0j 0.000519085-0j 9.21156e-07-0j 0.000841259-0j 0.000741704-0j 0.000305937-0j 1.70402e-05-0j -5.8095e-05-0j -0.000262899-0j -0.000327221-0j 1.57167e-05-0j 1.58795e-05-0j -0.211311-0j 0.000896302-0j 1.37521e-05-0j -2.6832e-05-0j 1.13449e-05-0j 0.000453465-0j 0.0011156-0j -0.00024248-0j 3.62475e-06-0j 6.97182e-05-0j 0.720424-0j -0.000244993-0j -0.000301806-0j 9.14784e-05-0j -0.00021217-0j -0.000304934-0j -0.194899-0j -0.000175031-0j -0.001546-0j -2.4748e-05-0j -0.00026408-0j -0.196919-0j -5.59233e-05-0j -0.00023769-0j -0.000217855-0j -2.50045e-05-0j -0.170537-0j 0.000418245-0j -2.16545e-05-0j -6.96058e-05-0j 6.43032e-05-0j -0.140685-0j 0.000422579-0j -1.78641e-05-0j 0.000365964-0j 6.49696e-05-0j -0.0449497-0j -5.70765e-06-0j 0.000301905-0j 5.62653e-05-0j 9.64601e-05-0j 4.64165e-05-0j 1.48303e-05-0j 
0.0059682-0j -0.000582342-0j 0.000429747-0j -0.00042184-0j -0.00593025-0j 0.00582114-0j -0.000567897-0j 5.01462e-06-0j 0.00474875-0j -0.000402244-0j 0.00120392-0j -4.19322e-05-0j 0.00336356-0j -1.06308e-05-0j 0.000852741-0j -0.0415652-0j 0.00137681-0j -0.00167286-0j -0.0296956-0j 2.16566e-05-0j 0.0412233-0j -0.000422635-0j 5.5412e-05-0j 0.0515094-0j -5.00685e-05-0j -0.00119515-0j -7.17356e-07-0j 1.54722e-05-0j 0.00165909-0j 1.39994e-05-0j -2.14784e-05-0j -0.000301945-0j 0.00207308-0j 1.65848e-06-0j 0.000419158-0j -3.57706e-05-0j -2.68378e-05-0j 0.000523747-0j 4.96565e-05-0j 6.2047e-05-0j 0.000168689-0j 2.71232e-06-0j 0.252238-0j 2.22267e-05-0j -0.000310349-0j 0.000304638-0j -0.000306716-0j 0.00405569-0j 1.93777e-06-0j -0.000131423-0j -0.000219822-0j -4.71197e-05-0j 3.57379e-07-0j -0.46406-0j -0.000140979-0j -3.59448e-06-0j -4.93162e-06-0j 0.455521-0j -4.0892e-05-0j -2.11312e-06-0j 0.00289752-0j 4.01396e-05-0j 0.000564286-0j -0.328696-0j -7.5763e-07-0j 0.000241787-0j 2.55324e-07-0j -0.000553903-0j -0.210803-0j -5.77951e-08-0j -2.8964e-05-0j -0.000237338-0j -3.52332e-06-0j 8.66895e-05-0j -1.50969e-06-0j -1.85756e-05-0j 6.61302e-06-0j 0.000399686-0j -8.50944e-05-0j 0.000171259-0j -5.41277e-07-0j -6.49134e-06-0j 0.000256332-0j 0.000109834-0j 6.14026e-05-0j -4.12908e-08-0j 3.93795e-05-0j 4.68404e-06-0j 3.00403e-06-0j 
0.00365476-0j -0.0250537-0j -0.000781053-0j 0.000265892-0j 0.0107781-0j -0.00366916-0j 0.000174345-0j -0.0006403-0j -0.00145787-0j 0.000125849-0j -0.000369604-0j 0.00535418-0j -0.00105234-0j 0.00135741-0j -0.000266794-0j -0.0254534-0j -0.0296956-0j -0.00102441-0j -0.0170273-0j 1.32619e-05-0j 0.0771174-0j -0.00025881-0j -0.00119515-0j -0.0107177-0j -3.06605e-05-0j -0.000685291-0j 1.54722e-05-0j 8.87168e-06-0j 0.00310371-0j -0.000301945-0j -4.01802e-05-0j -0.000173134-0j -0.000431351-0j -3.57706e-05-0j 0.000784129-0j -2.05107e-05-0j 5.58421e-06-0j -0.000108978-0j 9.28938e-05-0j -1.29103e-05-0j 0.0001033-0j 0.00011669-0j 0.154464-0j 1.3611e-05-0j -0.000282775-0j 9.62646e-05-0j -0.000187824-0j 0.174485-0j 7.80612e-05-0j -8.04795e-05-0j -0.000204118-0j -2.88548e-05-0j 1.53753e-05-0j -0.422829-0j 2.19739e-05-0j -2.20116e-06-0j -0.00021217-0j 0.143943-0j -3.72589e-05-0j -9.09113e-05-0j 0.116724-0j 1.2684e-05-0j 0.00051415-0j -0.305214-0j -3.2595e-05-0j 0.000220305-0j 1.02855e-05-0j -0.000175031-0j 0.0328572-0j -2.48648e-06-0j -2.68949e-05-0j -7.4998e-05-0j -0.000141933-0j 7.89873e-05-0j -6.08161e-05-0j 2.89531e-06-0j 6.02547e-06-0j 0.000371133-0j -2.68895e-05-0j 0.000159024-0j -2.18048e-05-0j -2.05124e-06-0j -3.99536e-05-0j -1.71194e-05-0j 5.7016e-05-0j -1.66336e-06-0j -6.13794e-06-0j 4.34941e-06-0j -4.68227e-07-0j 
0.000522109-0j -0.0035791-0j -0.00727193-0j -0.00734729-0j -0.000518789-0j -0.000524165-0j 2.49064e-05-0j 3.08201e-05-0j 0.0402846-0j 1.79784e-05-0j -5.28005e-05-0j 0.0498497-0j 0.029079-0j -6.53373e-05-0j -3.81134e-05-0j -5.60242e-05-0j 2.16566e-05-0j 0.000441681-0j 1.32619e-05-0j -0.105858-0j 1.89495e-05-0j -0.0215841-0j -0.000170735-0j 7.81627e-06-0j 1.32195e-05-0j -0.000104554-0j 0.0409201-0j 0.0250584-0j -0.000149393-0j 0.00834351-0j 0.0358051-0j 0.00510934-0j -6.16216e-05-0j -5.11009e-06-0j 0.00730057-0j -3.12928e-06-0j 0.0147689-0j 0.00301133-0j -4.47133e-06-0j -1.84433e-06-0j 1.47572e-05-0j -5.03118e-05-0j -0.000112648-0j -0.000376108-0j 1.3611e-05-0j 1.37521e-05-0j -2.6832e-05-0j 0.000384051-0j 1.19097e-05-0j -0.212848-0j 9.82496e-06-0j 0.000797333-0j 0.00128226-0j -0.000103899-0j 3.13912e-06-0j -3.14452e-07-0j 9.14784e-05-0j -0.000104975-0j -0.000346896-0j 0.725664-0j -9.09113e-05-0j -0.000350491-0j -2.4748e-05-0j -7.4998e-05-0j -0.00271835-0j -0.196317-0j -0.000303534-0j -2.50045e-05-0j -2.39622e-05-0j 1.07206e-06-0j -0.000250403-0j -0.198351-0j -2.16545e-05-0j 0.000735405-0j -0.171777-0j -8.00048e-05-0j -2.90029e-07-0j -1.78641e-05-0j 0.000743026-0j -0.141709-0j 0.000643479-0j -2.93034e-07-0j -5.70765e-06-0j -0.0452767-0j 0.000530843-0j -2.53775e-07-0j 0.000169607-0j -2.09354e-07-0j -6.68895e-08-0j 
0.00487302-0j 1.00519e-05-0j -0.0337602-0j 0.0331391-0j 5.06462e-05-0j -4.97143e-05-0j 0.0675776-0j -0.000596721-0j 0.00788655-0j 0.0478656-0j -6.83074e-06-0j -6.96394e-05-0j 0.00558608-0j 6.03165e-08-0j -4.83825e-06-0j 0.000173253-0j -5.73885e-06-0j -0.00420831-0j 0.000123778-0j -0.00342029-0j -0.000171827-0j -0.000347278-0j 0.000139397-0j -0.000214702-0j 2.12688e-07-0j -0.00300656-0j 0.000113294-0j -0.00244358-0j 0.00417368-0j 1.15033e-05-0j 0.00339215-0j -0.000248107-0j 0.00521512-0j -7.0451e-09-0j 0.00034442-0j 1.51951e-07-0j 0.00423857-0j 0.000430361-0j -2.10938e-07-0j -2.63572e-07-0j 0.000137734-0j 2.2146e-06-0j 2.22267e-05-0j 0.254476-0j -0.000253399-0j 0.000248736-0j -0.000381758-0j 3.57379e-07-0j 1.58219e-06-0j -0.000438792-0j -0.000179484-0j -2.57224e-05-0j 0.00409168-0j -4.0892e-05-0j -0.000115109-0j 1.22026e-08-0j -6.13822e-06-0j 4.01396e-05-0j -0.468177-0j -7.05526e-06-0j 2.55324e-07-0j 0.459563-0j 0.000702347-0j -2.8964e-05-0j -4.13586e-07-0j 0.000807277-0j 0.00292323-0j -0.000689424-0j -1.85756e-05-0j 1.96204e-10-0j -0.331612-0j -0.000792423-0j -4.38535e-06-0j 4.73233e-05-0j -5.04052e-06-0j -0.212674-0j -2.245e-08-0j 0.000497476-0j -4.64526e-05-0j 0.000571798-0j -2.9548e-07-0j 2.20369e-08-0j 0.000319048-0j 0.000366713-0j 3.35193e-05-0j 1.40175e-10-0j 2.14971e-05-0j -1.59014e-08-0j -1.01981e-08-0j 
-0.00522218-0j -0.0347793-0j 0.000369997-0j 0.000379771-0j -0.00510573-0j -0.00524062-0j -0.000249116-0j -0.000294685-0j 0.0020831-0j -0.000164682-0j 0.000528115-0j 0.00246415-0j 0.00137707-0j 0.000624721-0j 0.00034912-0j 0.0363696-0j -0.0412233-0j 0.00146375-0j -0.0771174-0j -1.89495e-05-0j 0.0365169-0j 0.000369805-0j -0.00165909-0j 0.0731207-0j 4.38099e-05-0j -0.00310371-0j 2.14784e-05-0j 4.01802e-05-0j 0.00146968-0j -0.000419158-0j -1.90263e-05-0j -0.000784129-0j 0.00294285-0j -4.96565e-05-0j 0.000371303-0j -9.28938e-05-0j -3.80978e-05-0j 0.00074349-0j 4.39874e-05-0j 8.80794e-05-0j -0.000147603-0j 0.000161989-0j -0.220708-0j -1.94484e-05-0j 0.000133955-0j 0.000137494-0j 0.000268376-0j 0.242219-0j -0.000343478-0j 0.000114995-0j 8.85533e-05-0j 4.12298e-05-0j 2.13439e-05-0j 0.200301-0j -0.000332095-0j 3.14517e-06-0j -0.000294533-0j 0.205592-0j 1.76501e-05-0j -0.000126202-0j -0.513597-0j 1.81164e-05-0j -0.000243561-0j 0.132412-0j -4.52481e-05-0j -0.000104362-0j -4.52572e-05-0j -0.000249995-0j -0.496577-0j -3.45171e-06-0j 1.16679e-05-0j -0.000107119-0j 0.000624522-0j -3.74175e-05-0j 0.000267597-0j -4.37574e-05-0j -2.85436e-06-0j -0.00016101-0j -3.8406e-05-0j -6.89903e-05-0j 9.59434e-05-0j -2.92977e-06-0j 0.000603826-0j 0.00025873-0j -2.47355e-05-0j 7.31895e-06-0j 9.27639e-05-0j -1.88693e-06-0j 7.07641e-06-0j 
-6.15311e-05-0j 0.00128324-0j 0.000426287-0j 0.000430705-0j -0.00876761-0j -0.00885846-0j -2.93524e-06-0j -3.63218e-06-0j -0.00718441-0j -2.11877e-06-0j 0.0274409-0j -0.00889026-0j -0.00518598-0j 0.0339564-0j 0.0198079-0j 6.60252e-06-0j -2.55225e-06-0j -0.000158359-0j -1.56293e-06-0j -0.000130345-0j -2.23322e-06-0j -0.181445-0j 6.12148e-05-0j -9.21156e-07-0j -0.0212466-0j 3.74862e-05-0j 5.03857e-05-0j 3.08548e-05-0j 5.35629e-05-0j 0.0701387-0j 4.40875e-05-0j 0.042951-0j 2.20936e-05-0j 0.00821301-0j 0.0613714-0j 0.00502942-0j 1.81852e-05-0j 0.0253144-0j 0.00718639-0j 0.00296423-0j -1.73915e-06-0j 5.9293e-06-0j 4.03884e-05-0j 2.20478e-05-0j -1.60408e-06-0j -1.6207e-06-0j -0.000453465-0j -0.000137696-0j -1.40357e-06-0j -0.000797333-0j -1.15788e-06-0j -0.20612-0j -7.51675e-05-0j 3.72514e-05-0j -3.69949e-07-0j 0.00102041-0j 0.001546-0j 3.76375e-05-0j 2.03354e-05-0j 0.00271835-0j 3.2595e-05-0j 2.05461e-05-0j -0.000418245-0j 2.68895e-05-0j 0.702724-0j -0.000735405-0j 1.77934e-05-0j -0.000422579-0j 8.59133e-06-0j -0.00347887-0j 1.46788e-05-0j -0.000743026-0j -0.000365964-0j -0.190111-0j -0.000643479-0j 4.68996e-06-0j 0.000941152-0j -0.000301905-0j -0.192081-0j -0.000530843-0j -0.166347-0j 0.000950905-0j -9.64601e-05-0j -0.000169607-0j -0.137229-0j 0.000823508-0j -0.0438453-0j 0.00067936-0j 0.000217059-0j 
0.0029841-0j 0.000432456-0j 0.0613582-0j -0.0208881-0j -9.2048e-05-0j 3.13357e-05-0j -0.0207464-0j 0.0761933-0j -0.00242117-0j -0.0149755-0j 2.09704e-06-0j 0.00889203-0j -0.0017477-0j -7.70161e-06-0j 1.51372e-06-0j 0.000106095-0j 0.000123778-0j -0.00257705-0j 7.09735e-05-0j -0.00209449-0j -0.000321442-0j -0.000212663-0j -0.00300656-0j 4.46737e-05-0j 1.30244e-07-0j -0.00172395-0j -0.00244358-0j -0.00140113-0j 0.00780782-0j -0.000248107-0j 0.00634579-0j -0.000142263-0j -0.00108513-0j 1.51951e-07-0j 0.000644316-0j 8.71282e-08-0j -0.000881933-0j -8.95466e-05-0j -3.94607e-07-0j 5.48422e-08-0j 8.43445e-05-0j 9.52772e-05-0j 1.3611e-05-0j 0.155834-0j -0.000230885-0j 7.85997e-05-0j -0.000233778-0j 1.53753e-05-0j 6.37367e-05-0j -0.000268704-0j -0.000166661-0j -1.57517e-05-0j 0.176033-0j -3.72589e-05-0j 1.79416e-05-0j 7.47254e-09-0j -0.00026408-0j 1.2684e-05-0j -0.426581-0j -0.000303534-0j 1.02855e-05-0j 0.14522-0j 0.000639945-0j -2.68949e-05-0j -1.77934e-05-0j 0.000735552-0j 0.117759-0j -0.000217855-0j 2.89531e-06-0j 8.44114e-09-0j -0.307922-0j -0.000250403-0j -0.000176659-0j 4.31187e-05-0j -0.000203052-0j 0.0331487-0j -2.04554e-08-0j 0.000461936-0j -1.46788e-05-0j 0.000530949-0j -1.19031e-05-0j 6.96358e-09-0j -4.97288e-05-0j -5.71582e-05-0j 3.11247e-05-0j 5.64679e-09-0j -3.35067e-06-0j -1.47655e-08-0j 1.58954e-09-0j 
-0.000703359-0j 0.00013871-0j -5.06462e-05-0j 4.97143e-05-0j -0.032706-0j 0.0321043-0j -0.00975399-0j 8.61292e-05-0j -0.00113112-0j -0.0069088-0j 0.0135171-0j 9.98797e-06-0j -0.000801179-0j -0.000119358-0j 0.00957425-0j -2.50069e-05-0j 8.28332e-07-0j -0.0580721-0j -1.78658e-05-0j -2.55225e-06-0j 2.48011e-05-0j -0.00233088-0j 0.00192359-0j 3.09896e-05-0j -0.000847662-0j -0.0414887-0j 8.45413e-08-0j -1.82342e-06-0j 0.0575944-0j 7.72085e-05-0j 2.53125e-06-0j -0.00166526-0j 0.0719655-0j 2.80781e-05-0j 0.0023117-0j -0.000605599-0j 3.16286e-06-0j 0.00288853-0j 0.000840688-0j 0.00105046-0j -1.98802e-05-0j -3.1965e-07-0j 0.000306716-0j 0.000381758-0j 3.6575e-05-0j -3.5902e-05-0j 0.24653-0j 4.93162e-06-0j -2.28369e-07-0j 3.1304e-05-0j 2.59062e-05-0j -0.000529042-0j 6.13822e-06-0j -0.000564286-0j 1.66145e-05-0j -8.13378e-05-0j 0.00396391-0j 0.000553903-0j -0.000702347-0j 5.03332e-07-0j 3.52332e-06-0j 0.000689424-0j -0.453558-0j -0.000399686-0j -8.50637e-06-0j -5.75922e-05-0j 4.38535e-06-0j 0.445213-0j -0.000256332-0j -1.30782e-06-0j -0.000497476-0j 5.65325e-05-0j 0.00283195-0j 0.000973316-0j 3.59598e-07-0j -0.000319048-0j 0.000149643-0j -0.321257-0j -0.000955407-0j -4.07928e-05-0j -6.07725e-06-0j -0.00014689-0j -0.206033-0j -2.61618e-05-0j 0.000689404-0j -9.34349e-07-0j 0.000442138-0j 0.000105993-0j 6.79767e-05-0j 
0.00215404-0j 0.0434576-0j 0.000155104-0j 0.000748248-0j -0.00214034-0j -0.0103254-0j 0.000102755-0j -0.000374219-0j -0.000859236-0j 8.63057e-05-0j -0.000217836-0j 0.00312921-0j -0.000721687-0j 0.000793329-0j -0.000182965-0j -0.0150017-0j 0.0515094-0j -0.000603766-0j -0.0107177-0j 7.81627e-06-0j -0.0731207-0j -0.000152537-0j 0.00207308-0j 0.0890897-0j -1.80707e-05-0j -0.000431351-0j -2.68378e-05-0j 5.58421e-06-0j -0.00294285-0j 0.000523747-0j 3.80978e-05-0j -0.000108978-0j 0.00358555-0j 6.2047e-05-0j -0.00074349-0j -1.29103e-05-0j -4.64181e-05-0j 0.000905862-0j -8.80794e-05-0j 0.000107315-0j 6.08831e-05-0j -0.000202408-0j 0.0910375-0j 8.02205e-06-0j 5.61543e-05-0j 0.000270898-0j -0.000110699-0j -0.302658-0j -0.000144608-0j -4.74329e-05-0j 4.7165e-05-0j -1.70064e-05-0j -2.66697e-05-0j 0.0839667-0j -0.000242075-0j -1.29732e-06-0j 0.000368025-0j 0.40507-0j 7.39898e-06-0j 0.000157693-0j -0.216229-0j 3.5694e-05-0j -0.000102102-0j 0.0705251-0j 5.65386e-05-0j -4.37488e-05-0j -1.90537e-05-0j -0.000492555-0j -0.36197-0j 4.31299e-06-0j 6.21454e-06-0j -0.000211052-0j 0.00026293-0j -1.56855e-05-0j 0.000112661-0j -3.18961e-05-0j -1.19656e-06-0j -8.57569e-05-0j -7.56697e-05-0j -3.67454e-05-0j 4.03931e-05-0j -5.77239e-06-0j 0.000440148-0j 0.000188596-0j -1.31746e-05-0j 3.08135e-06-0j 6.76185e-05-0j -1.00501e-06-0j 5.15821e-06-0j 
