-0.0586083-0j -0.0103606-0j -0.000863382-0j -0.0509611-0j -0.00849351-0j -0.00520119-0j -0.00106169-0j -6.25606e-05-0j 0.031515-0j -0.0323607-0j 0.0050857-0j -0.00522218-0j 0.00415246-0j -0.00426389-0j 0.000599356-0j 0.000519058-0j -0.00061544-0j -0.000532986-0j 6.11715e-05-0j -6.2813e-05-0j 2.79209e-06-0j -2.86701e-06-0j -0.0237233-0j 0.0288852-0j -0.0171244-0j -0.00375098-0j 0.00456715-0j -0.00296541-0j -0.0027076-0j -0.00197694-0j -0.00042802-0j 0.00361065-0j 0.0024071-0j -0.000494235-0j -0.00214055-0j 0.000521152-0j -0.000174738-0j -0.00142703-0j -4.11863e-05-0j -0.000308961-0j -4.36846e-05-0j 0.000601774-0j 0.000212759-0j -0.000356758-0j 5.01479e-05-0j -3.64039e-06-0j -0.000126133-0j 5.31898e-05-0j -2.97298e-05-0j -1.35669e-07-0j 4.43249e-06-0j -3.15332e-05-0j 1.65189e-07-0j -2.62777e-06-0j -9.79312e-08-0j 
0.294122-0j -0.000356758-0j -2.97298e-05-0j 0.00343467-0j -0.0834281-0j 0.000350549-0j 7.15556e-05-0j 4.21645e-06-0j 0.00108519-0j -0.0010205-0j 0.000175122-0j -0.000164682-0j -0.0208388-0j 0.0195966-0j -0.00300783-0j 1.78733e-05-0j 0.00282853-0j -1.68078e-05-0j 2.10639e-06-0j -1.98082e-06-0j 9.6143e-08-0j -9.04118e-08-0j -0.000816891-0j -0.0019468-0j -0.00228312-0j -0.000129162-0j -0.000307816-0j -0.000102111-0j -0.000360994-0j 0.0199104-0j -1.47385e-05-0j -0.00024335-0j 0.04745-0j 0.00248029-0j -0.00028539-0j -3.51245e-05-0j -6.01697e-06-0j 0.0556474-0j 0.00020669-0j -4.11926e-05-0j -1.50424e-06-0j 0.00591097-0j -1.43395e-05-0j 0.00693214-0j 0.000492581-0j -1.25354e-07-0j -1.68168e-05-0j -3.58488e-06-0j 0.000577678-0j -4.67165e-09-0j -2.9874e-07-0j -4.2042e-06-0j -1.11334e-08-0j -3.5035e-07-0j -1.30568e-08-0j 
-0.000499357-0j -0.401753-0j 0.00105862-0j 0.00042184-0j -0.00332568-0j -0.00832782-0j 0.0808399-0j -9.95374e-05-0j -0.000272892-0j 0.000275609-0j 0.0020831-0j -0.00210384-0j 0.00345954-0j -0.00349398-0j 0.000496182-0j -0.0411239-0j -0.00050112-0j 0.0415332-0j -0.00733409-0j 0.00740709-0j 5.81489e-06-0j -5.87277e-06-0j 0.000403184-0j 0.000243-0j -0.00013362-0j -0.00301549-0j -0.00181745-0j -0.00484899-0j 0.000999373-0j 3.35987e-05-0j -0.000695462-0j -0.0029225-0j 2.025e-05-0j 0.0382283-0j 0.00160702-0j -0.000419158-0j -0.000863128-0j -1.1135e-05-0j -0.000100731-0j 0.000230485-0j 0.0137296-0j 0.0230403-0j -0.00052021-0j -0.0126694-0j -6.07111e-05-0j 0.00114417-0j 0.000286052-0j 0.00827486-0j 3.33837e-05-0j -6.65932e-07-0j 0.000689595-0j -0.00455016-0j -4.01359e-07-0j -0.000379193-0j 2.20699e-07-0j 
-4.11863e-05-0j 0.00104776-0j 0.385041-0j -3.58123e-05-0j 0.000858943-0j -3.65507e-06-0j -0.0102289-0j 0.115242-0j 2.21467e-05-0j -2.2741e-05-0j -0.000514314-0j 0.000528115-0j 2.91809e-06-0j -2.9964e-06-0j 0.00577451-0j -5.24919e-05-0j -0.00592947-0j 5.39005e-05-0j -0.0272805-0j 0.0280126-0j -0.0129941-0j 0.0133428-0j 3.3254e-05-0j 2.02987e-05-0j -1.20339e-05-0j -0.000756656-0j -0.000461872-0j 4.15676e-06-0j 0.000273818-0j 2.77117e-06-0j 0.00822567-0j 2.53734e-06-0j 1.69156e-06-0j -9.96981e-05-0j -1.50424e-06-0j 0.00502105-0j 2.44939e-07-0j -1.00283e-06-0j -0.0366381-0j -0.0029767-0j 0.000839529-0j -6.0857e-05-0j 1.49514e-07-0j 3.60787e-05-0j -0.0223643-0j -0.0133762-0j -8.86383e-08-0j 0.000512459-0j 0.0132585-0j -0.00253206-0j -0.00816501-0j -0.000303808-0j -0.0015456-0j 0.00484057-0j 0.000916299-0j 
-0.000432456-0j -0.347928-0j 0.000916789-0j -5.35233e-06-0j 4.21965e-05-0j 0.000105664-0j -0.0010257-0j 1.26294e-06-0j 0.000701413-0j 0.000231983-0j -0.00535418-0j -0.00177083-0j -0.00889203-0j -0.00294092-0j -0.00127533-0j 0.1057-0j -0.000421799-0j 0.034959-0j 0.0188507-0j 0.00623464-0j -1.4946e-05-0j -4.94318e-06-0j -0.000175048-0j 9.15069e-06-0j 0.000247317-0j 0.00130922-0j -6.84397e-05-0j 0.00210526-0j -0.00184973-0j -1.45873e-05-0j 0.000301945-0j -0.000110053-0j 7.62558e-07-0j -0.0165973-0j -0.00297442-0j -1.57843e-05-0j 0.000374739-0j 2.06098e-05-0j 4.37339e-05-0j -0.000426604-0j -0.00596089-0j 0.000867631-0j -1.95896e-05-0j 0.0234496-0j -2.28621e-06-0j -0.000496757-0j -0.000529451-0j 0.000311607-0j -6.17896e-05-0j 2.89124e-07-0j 2.59681e-05-0j 0.00842186-0j -1.5114e-08-0j 0.000701845-0j -4.08489e-07-0j 
-0.0939734-0j 0.000113986-0j 9.49882e-06-0j -0.00220277-0j 0.0535052-0j -0.000224819-0j -4.5891e-05-0j -2.70415e-06-0j 0.000352376-0j 0.00376572-0j 5.68644e-05-0j 0.00060769-0j -0.00676666-0j -0.0723129-0j -0.000976683-0j 5.8037e-06-0j -0.0104375-0j 6.20221e-05-0j 6.83973e-07-0j 7.30938e-06-0j 3.1219e-08-0j 3.33626e-07-0j 0.000261001-0j -0.0012689-0j -0.00244103-0j 4.12678e-05-0j -0.000200631-0j 3.26251e-05-0j -0.00038596-0j -0.00636146-0j 4.70902e-06-0j -0.000158613-0j 0.0309274-0j -0.000792463-0j -0.000305128-0j -2.28938e-05-0j 1.92245e-06-0j 0.059496-0j -6.60386e-05-0j -4.40415e-05-0j 4.80613e-07-0j 0.0038527-0j -9.34634e-06-0j 0.00741157-0j 0.000321059-0j 4.00511e-08-0j -1.79799e-05-0j -2.33658e-06-0j 0.000617631-0j 1.49261e-09-0j -1.94715e-07-0j -4.49496e-06-0j -7.25661e-09-0j -3.7458e-07-0j -1.39598e-08-0j 
4.16131e-05-0j -0.00105862-0j -0.389031-0j -3.51533e-05-0j 0.000843138-0j -3.58782e-06-0j -0.0100407-0j 0.113122-0j 2.2741e-05-0j -2.29674e-05-0j -0.000528115-0j 0.000533372-0j 2.9964e-06-0j -3.02622e-06-0j 0.00592947-0j -5.39005e-05-0j -0.00598849-0j 5.4437e-05-0j -0.0280126-0j 0.0282914-0j -0.0133428-0j 0.0134756-0j -3.35987e-05-0j -2.025e-05-0j 1.1135e-05-0j 0.000764497-0j 0.000460765-0j -4.19983e-06-0j -0.000253364-0j -2.79989e-06-0j -0.00831091-0j -2.53125e-06-0j -1.6875e-06-0j 0.000100731-0j 1.39188e-06-0j -0.00500902-0j -2.47477e-07-0j 9.2792e-07-0j 0.0370178-0j 0.00275435-0j -0.000848229-0j 6.07111e-05-0j -1.49156e-07-0j -3.33837e-05-0j 0.0223107-0j 0.0135148-0j 8.20173e-08-0j -0.000511231-0j -0.0122682-0j 0.0025583-0j 0.00814544-0j 0.000281114-0j 0.0015419-0j -0.004479-0j -0.000847855-0j 
3.6038e-05-0j -0.000916789-0j -0.336911-0j 4.46027e-07-0j -1.06978e-05-0j 4.55225e-08-0j 0.000127397-0j -0.00143529-0j -5.84511e-05-0j -1.93319e-05-0j 0.00135741-0j 0.000448946-0j -7.70161e-06-0j -2.54721e-06-0j -0.0152405-0j 0.00013854-0j -0.00504059-0j 4.58203e-05-0j 0.0720006-0j 0.0238133-0j 0.0342948-0j 0.0113425-0j 1.45873e-05-0j -7.62558e-07-0j -2.06098e-05-0j -0.000331917-0j 1.73511e-05-0j 1.82342e-06-0j 0.00046895-0j 1.21561e-06-0j 0.0036083-0j -9.53197e-08-0j -6.35465e-08-0j -4.37339e-05-0j -2.57622e-06-0j -0.000188625-0j 1.07446e-07-0j -1.71748e-06-0j -0.0160718-0j -0.005098-0j 0.000368271-0j 2.28621e-06-0j -5.61677e-09-0j 6.17896e-05-0j 0.000840158-0j -0.00586766-0j -1.51805e-07-0j -1.92515e-05-0j 0.0227071-0j -0.00111072-0j 0.000306734-0j -0.000520312-0j 5.80634e-05-0j 0.00829014-0j 0.00156929-0j 
0.000356758-0j 0.287026-0j -0.000756312-0j -0.000607169-0j 0.00478678-0j 0.0119865-0j -0.116356-0j 0.000143268-0j -0.000191836-0j 0.000180401-0j 0.00146437-0j -0.00137707-0j 0.00243197-0j -0.00228699-0j 0.000348803-0j -0.028909-0j -0.00032801-0j 0.0271857-0j -0.00515567-0j 0.00484833-0j 4.08772e-06-0j -3.84404e-06-0j 0.000144407-0j 0.000344149-0j 0.000403603-0j -0.00108005-0j -0.00257395-0j -0.00173675-0j -0.00301862-0j 1.20339e-05-0j -0.000249092-0j -0.00413899-0j 2.86791e-05-0j 0.0136921-0j -0.00485403-0j -0.000593631-0j -0.000309144-0j 3.36336e-05-0j -3.60787e-05-0j -0.000696185-0j 0.00491748-0j 0.0326308-0j -0.000736747-0j 0.038268-0j -8.5982e-05-0j 0.000409804-0j -0.000864025-0j 0.0117193-0j -0.000100836-0j -2.38515e-07-0j 0.000976637-0j 0.0137439-0j -5.68424e-07-0j 0.00114536-0j -6.66624e-07-0j 
-0.000113986-0j -0.0917062-0j 0.000241645-0j 0.000389398-0j -0.00306992-0j -0.00768736-0j 0.0746228-0j -9.18824e-05-0j -6.22919e-05-0j -0.000665691-0j 0.0004755-0j 0.0050815-0j 0.000789693-0j 0.00843917-0j 0.000113261-0j -0.00938715-0j 0.00121038-0j -0.100317-0j -0.00167412-0j -0.0178907-0j 1.32734e-06-0j 1.41848e-05-0j -4.61388e-05-0j 0.000224312-0j 0.000431516-0j 0.000345081-0j -0.00167767-0j 0.0005549-0j -0.00322739-0j -3.8449e-06-0j 7.9586e-05-0j -0.00269775-0j 1.86927e-05-0j -0.0043747-0j -0.00518974-0j -0.000386922-0j 9.87731e-05-0j 3.59597e-05-0j 1.15273e-05-0j -0.000744334-0j -0.00157116-0j 0.0212684-0j -0.000480203-0j 0.0409146-0j -5.60421e-05-0j -0.000130934-0j -0.000923782-0j 0.00763848-0j -0.00010781-0j 7.62066e-08-0j 0.000636561-0j 0.0146944-0j -3.70492e-07-0j 0.00122457-0j -7.12728e-07-0j 
-2.97298e-05-0j 0.000756312-0j 0.277937-0j 5.05974e-05-0j -0.00121356-0j 5.16408e-06-0j 0.0144519-0j -0.16282-0j 1.59864e-05-0j -1.50334e-05-0j -0.000371251-0j 0.00034912-0j 2.10639e-06-0j -1.98082e-06-0j 0.00416826-0j -3.78907e-05-0j -0.00391979-0j 3.56319e-05-0j -0.0196921-0j 0.0185183-0j -0.00937961-0j 0.00882047-0j -1.20339e-05-0j -2.86791e-05-0j -3.36336e-05-0j 0.000273818-0j 0.000652557-0j -1.50424e-06-0j 0.000765292-0j -1.00283e-06-0j -0.0029767-0j -3.58488e-06-0j -2.38992e-06-0j 3.60787e-05-0j -4.2042e-06-0j -0.00709401-0j -8.86383e-08-0j -2.8028e-06-0j 0.0132585-0j -0.00831955-0j -0.000303808-0j 8.5982e-05-0j -2.11241e-07-0j 0.000100836-0j 0.0315975-0j 0.00484057-0j -2.47735e-07-0j -0.000724029-0j 0.0370562-0j 0.000916299-0j 0.011536-0j -0.000849111-0j 0.00218371-0j 0.0135289-0j 0.00256096-0j 
9.49882e-06-0j -0.000241645-0j -0.0888023-0j -3.24498e-05-0j 0.000778296-0j -3.3119e-06-0j -0.00926848-0j 0.104422-0j 5.19099e-06-0j 5.54743e-05-0j -0.00012055-0j -0.00128828-0j 6.83973e-07-0j 7.30938e-06-0j 0.00135349-0j -1.23036e-05-0j 0.0144643-0j -0.000131484-0j -0.00639431-0j -0.0683337-0j -0.00304569-0j -0.0325482-0j 3.8449e-06-0j -1.86927e-05-0j -3.59597e-05-0j -8.74861e-05-0j 0.000425329-0j 4.80613e-07-0j 0.00081822-0j 3.20408e-07-0j 0.000951069-0j -2.33658e-06-0j -1.55772e-06-0j -1.15273e-05-0j -4.49496e-06-0j -0.00462379-0j 2.83204e-08-0j -2.99664e-06-0j -0.00423617-0j -0.00889494-0j 9.70681e-05-0j 5.60421e-05-0j -1.37685e-07-0j 0.00010781-0j 0.0205949-0j -0.00154659-0j -2.64868e-07-0j -0.000471914-0j 0.0396191-0j -0.000292762-0j 0.00751901-0j -0.000907836-0j 0.00142332-0j 0.0144646-0j 0.00273808-0j 
0.0023814-0j 0.000420977-0j 3.50814e-05-0j -0.405618-0j 0.000345113-0j 0.000211338-0j 4.31391e-05-0j 2.542e-06-0j 0.00130141-0j 0.00131489-0j -0.0411389-0j -0.0415652-0j 0.000171476-0j 0.000173253-0j 2.47504e-05-0j 2.14345e-05-0j 2.50069e-05-0j 2.16566e-05-0j 2.52607e-06-0j 2.55225e-06-0j 1.15299e-07-0j 1.16494e-07-0j 0.000963937-0j 0.00119281-0j 0.000695806-0j 0.000152412-0j 0.0001886-0j -0.0236028-0j 0.000110017-0j 8.03281e-05-0j -0.00340677-0j -0.029207-0j 9.94009e-05-0j 2.0082e-05-0j -0.0170374-0j -0.00421566-0j 7.10007e-06-0j 5.79839e-05-0j 1.6735e-06-0j -0.00245914-0j 1.77502e-06-0j 2.48502e-05-0j 8.78588e-06-0j 1.4496e-05-0j 2.07085e-06-0j 1.47918e-07-0j 5.1251e-06-0j 2.19647e-06-0j 1.208e-06-0j 5.51258e-09-0j 1.83039e-07-0j 1.28127e-06-0j 6.82147e-09-0j 1.06773e-07-0j 3.97919e-09-0j 
0.0578443-0j 0.00331888-0j 0.000841413-0j -0.000345113-0j -0.396528-0j -3.52229e-05-0j 0.000687386-0j 8.14329e-05-0j -0.000216901-0j -0.000219149-0j 0.0016557-0j 0.00167286-0j 0.00416514-0j 0.00420831-0j -0.0574765-0j 0.000168984-0j -0.0580721-0j 0.000170735-0j 6.05869e-05-0j 6.12148e-05-0j 4.62181e-06-0j 4.66971e-06-0j -0.000160656-0j -0.000198802-0j -0.000115968-0j 0.00120158-0j 0.00148688-0j -2.0082e-05-0j 0.000867345-0j 0.00391573-0j 0.00027712-0j -2.48502e-05-0j 0.00484547-0j -0.0230738-0j -1.4496e-05-0j 0.000342918-0j -1.18334e-06-0j 0.00282652-0j -0.00584975-0j 0.000200036-0j 2.82834e-05-0j -0.0285524-0j -1.46431e-06-0j -0.0166556-0j -0.0072387-0j 4.73856e-06-0j -8.54183e-07-0j 3.4999e-05-0j -0.00422258-0j 2.65353e-07-0j 5.86367e-06-0j 2.04161e-05-0j 3.28357e-07-0j 3.42047e-06-0j 1.91542e-07-0j 
-0.000243051-0j 0.00831078-0j -3.58048e-06-0j -0.000211338-0j -3.52229e-05-0j -0.399323-0j 0.000851637-0j -2.59441e-07-0j -0.000132824-0j -0.000134201-0j -2.14345e-05-0j -2.16566e-05-0j 0.00338521-0j 0.00342029-0j -2.52607e-06-0j -0.0405004-0j -2.55225e-06-0j -0.0409201-0j 4.98689e-05-0j 5.03857e-05-0j -1.17677e-08-0j -1.18896e-08-0j -9.83814e-05-0j -0.000121741-0j -7.10154e-05-0j -1.55555e-05-0j -1.92489e-05-0j 0.00237871-0j -1.12285e-05-0j -8.19845e-06-0j -1.77502e-06-0j 0.00294351-0j -1.01451e-05-0j 0.000396452-0j 0.00171705-0j -2.19647e-06-0j -0.040668-0j -5.91795e-06-0j -1.70801e-07-0j -1.28127e-06-0j -0.0033539-0j 0.000490585-0j -0.0503241-0j 0.000286174-0j -2.11355e-07-0j 2.92015e-06-0j -0.0293557-0j -0.00415024-0j -1.23291e-07-0j -5.62625e-10-0j 3.6135e-06-0j -0.00242097-0j -6.96213e-10-0j 2.10787e-06-0j -4.06124e-10-0j 
-0.00263573-0j -0.000465936-0j -3.8828e-05-0j 0.00639009-0j -5.43689e-06-0j -3.3294e-06-0j -6.79612e-07-0j -4.00465e-08-0j -0.0014404-0j 0.00141389-0j 0.0455324-0j -0.0446946-0j -0.000189789-0j 0.000186297-0j -2.73936e-05-0j -2.37236e-05-0j 2.68896e-05-0j 2.32871e-05-0j -2.79585e-06-0j 2.74441e-06-0j -1.27613e-07-0j 1.25265e-07-0j -0.00106688-0j -1.87915e-05-0j 0.00150735-0j -0.000168689-0j -2.9712e-06-0j 0.0261235-0j 0.000238333-0j -8.89069e-05-0j 0.0037706-0j 0.000460125-0j -1.56596e-06-0j -2.22267e-05-0j -0.0369087-0j 6.64134e-05-0j -7.85833e-06-0j 0.000125612-0j -1.85223e-06-0j -0.00532731-0j -1.96458e-06-0j -3.9149e-07-0j -1.38412e-07-0j 3.14031e-05-0j -3.26241e-08-0j -1.63715e-07-0j 1.11027e-05-0j -3.46031e-08-0j 2.61692e-06-0j -6.10131e-09-0j -2.88359e-09-0j 2.77567e-06-0j -1.07465e-10-0j 2.31306e-07-0j 8.62025e-09-0j 
4.96126e-05-0j 0.0806744-0j 0.0100201-0j 4.31391e-05-0j -0.000687386-0j -0.000851637-0j -0.386874-0j 0.00146229-0j 2.71127e-05-0j 2.73936e-05-0j -0.0004183-0j -0.000422635-0j -0.000343716-0j -0.000347278-0j 0.00230697-0j 0.00825793-0j 0.00233088-0j 0.00834351-0j -0.0694193-0j -0.0701387-0j 0.000110929-0j 0.000112078-0j 2.0082e-05-0j 2.48502e-05-0j 1.4496e-05-0j -0.00030357-0j -0.000375648-0j -0.000241521-0j -0.000219128-0j 1.6735e-06-0j 0.00162106-0j -0.000298867-0j 2.07085e-06-0j 0.00384845-0j -0.000174339-0j 0.00200596-0j -4.29912e-05-0j 1.208e-06-0j 0.000477994-0j 0.00117014-0j -0.0320024-0j 0.00476221-0j -5.31989e-05-0j 0.00277795-0j 0.000591487-0j -0.00818689-0j -3.10327e-05-0j -0.0396009-0j 0.000345034-0j 7.97204e-06-0j -0.0101308-0j -0.0231005-0j 9.8649e-06-0j -0.00590961-0j 5.75453e-06-0j 
-2.92345e-06-0j 9.93338e-05-0j 0.11289-0j -2.542e-06-0j 8.14329e-05-0j -2.59441e-07-0j -0.00146229-0j -0.374449-0j -1.59763e-06-0j -1.61419e-06-0j 4.95549e-05-0j 5.00685e-05-0j -2.10506e-07-0j -2.12688e-07-0j -0.000838968-0j 5.05768e-06-0j -0.000847662-0j 5.11009e-06-0j 0.00812878-0j 0.00821301-0j -0.0886702-0j -0.0895891-0j -1.18334e-06-0j -1.46431e-06-0j -8.54183e-07-0j 3.59631e-05-0j 4.45021e-05-0j -1.47918e-07-0j 2.59596e-05-0j -9.8612e-08-0j -0.000589524-0j -1.83039e-07-0j -1.22026e-07-0j 4.73856e-06-0j -1.06773e-07-0j -0.000729499-0j -8.71615e-09-0j -7.11819e-08-0j 0.00538524-0j -0.000425541-0j -6.01681e-05-0j 5.86367e-06-0j -1.07857e-08-0j 3.42047e-06-0j 0.0066639-0j -0.0217891-0j -6.29165e-09-0j -7.44542e-05-0j 0.00388727-0j -0.0128985-0j -0.0269626-0j -4.34316e-05-0j -0.0159611-0j -0.0157282-0j -0.00931062-0j 
-0.00208373-0j -0.000368355-0j -3.06962e-05-0j 0.354916-0j -0.000301974-0j -0.00018492-0j -3.77467e-05-0j -2.22425e-06-0j 0.00112047-0j -0.00115053-0j -0.0354191-0j 0.0363696-0j 0.000147634-0j -0.000151596-0j 2.13092e-05-0j 1.84543e-05-0j -2.1881e-05-0j -1.89495e-05-0j 2.17486e-06-0j -2.23322e-06-0j 9.92683e-08-0j -1.01932e-07-0j -0.000843445-0j 0.00102697-0j -0.000608831-0j -0.00013336-0j 0.000162378-0j 0.0206524-0j -9.62646e-05-0j -7.02871e-05-0j 0.00298092-0j -0.0251461-0j 8.55806e-05-0j -1.75718e-05-0j 0.0149077-0j -0.00362953-0j -6.21256e-06-0j -5.07359e-05-0j -1.46431e-06-0j 0.00215174-0j -1.55314e-06-0j 2.13952e-05-0j 7.56433e-06-0j -1.2684e-05-0j 1.78293e-06-0j -1.29428e-07-0j -4.48446e-06-0j 1.89108e-06-0j -1.057e-06-0j -4.82351e-09-0j 1.5759e-07-0j -1.12112e-06-0j 5.87304e-09-0j -9.34263e-08-0j -3.48179e-09-0j 
-0.0640219-0j -0.00367332-0j -0.000931274-0j 5.43689e-06-0j 0.00624688-0j 5.54901e-07-0j -1.08291e-05-0j -1.28289e-06-0j 0.000240066-0j -0.000235649-0j -0.00183252-0j 0.0017988-0j -0.00460997-0j 0.00452515-0j 0.0636149-0j -0.000187031-0j -0.0624444-0j 0.00018359-0j -6.70574e-05-0j 6.58236e-05-0j -5.11541e-06-0j 5.02129e-06-0j 0.000177814-0j 3.13192e-06-0j -0.000251225-0j -0.0013299-0j -2.34242e-05-0j 2.22267e-05-0j 0.00187896-0j -0.00433392-0j -0.000306716-0j 3.9149e-07-0j -7.63353e-05-0j 0.025538-0j -3.14031e-05-0j -5.40232e-06-0j 1.30972e-06-0j 0.00612319-0j 0.00647449-0j 0.000433344-0j -3.1304e-05-0j 0.000449813-0j 2.30687e-08-0j -0.0360815-0j 0.000114038-0j -5.24462e-06-0j -1.85044e-06-0j -5.51372e-07-0j -0.0091475-0j -2.93692e-07-0j -9.2376e-08-0j 4.4228e-05-0j -5.17293e-09-0j 7.40988e-06-0j 4.14943e-07-0j 
-0.00138915-0j -0.00024557-0j -2.04641e-05-0j 0.23661-0j -0.000201316-0j -0.00012328-0j -2.51645e-05-0j -1.48283e-06-0j -0.000759155-0j -0.000767022-0j 0.0239977-0j 0.0242464-0j -0.000100027-0j -0.000101064-0j -1.44377e-05-0j -1.25034e-05-0j -1.45873e-05-0j -1.2633e-05-0j -1.47354e-06-0j -1.48881e-06-0j -6.72577e-08-0j -6.79547e-08-0j 0.00280552-0j -0.000695806-0j -0.000405887-0j 0.000443591-0j -0.000110017-0j -0.0686954-0j -6.41764e-05-0j 0.000233793-0j -0.00991533-0j 0.0170374-0j -5.79839e-05-0j 5.84483e-05-0j 0.00993848-0j 0.00245914-0j 2.06646e-05-0j -3.38239e-05-0j 4.87069e-06-0j 0.0014345-0j 5.16615e-06-0j -1.4496e-05-0j -5.1251e-06-0j -8.45598e-06-0j -1.208e-06-0j 4.30512e-07-0j -2.98964e-06-0j -1.28127e-06-0j -7.04665e-07-0j 1.60442e-08-0j -1.06773e-07-0j -7.4741e-07-0j -3.97919e-09-0j -6.22842e-08-0j -2.32119e-09-0j 
0.00210532-0j 0.000372172-0j 3.10143e-05-0j 0.348385-0j -0.000296417-0j -0.000181518-0j -3.70522e-05-0j -2.18332e-06-0j 0.00115053-0j -0.00116198-0j -0.0363696-0j 0.0367316-0j 0.000151596-0j -0.000153105-0j 2.1881e-05-0j 1.89495e-05-0j -2.20988e-05-0j -1.91381e-05-0j 2.23322e-06-0j -2.25545e-06-0j 1.01932e-07-0j -1.02947e-07-0j 0.000852185-0j -0.00102451-0j 0.000563353-0j 0.000134742-0j -0.000161989-0j -0.0208665-0j 8.90739e-05-0j 7.10154e-05-0j -0.00301181-0j 0.0250859-0j -8.53755e-05-0j 1.77539e-05-0j -0.0137942-0j 0.00362083-0j 6.27694e-06-0j 4.69461e-05-0j 1.47949e-06-0j -0.00199102-0j 1.56923e-06-0j -2.13439e-05-0j -7.5462e-06-0j 1.17365e-05-0j -1.77866e-06-0j 1.3077e-07-0j 4.14949e-06-0j -1.88655e-06-0j 9.78043e-07-0j 4.87349e-09-0j -1.57212e-07-0j 1.03737e-06-0j -5.85896e-09-0j 8.64476e-08-0j 3.22171e-09-0j 
0.000269008-0j -0.00919835-0j 3.96286e-06-0j 3.3294e-06-0j 5.54901e-07-0j 0.00629092-0j -1.34167e-05-0j 4.08723e-09-0j 0.00014701-0j -0.000144305-0j 2.37236e-05-0j -2.32871e-05-0j -0.00374674-0j 0.00367781-0j 2.79585e-06-0j 0.0448258-0j -2.74441e-06-0j -0.044001-0j -5.51948e-05-0j 5.41792e-05-0j 1.30244e-08-0j -1.27848e-08-0j 0.000108888-0j 1.9179e-06-0j -0.000153843-0j 1.72167e-05-0j 3.03247e-07-0j -0.00263275-0j -2.43247e-05-0j 9.07402e-06-0j 1.96458e-06-0j -4.63719e-05-0j 1.59825e-07-0j -0.000438792-0j 0.00371969-0j 3.46031e-08-0j 0.0450112-0j -1.28203e-05-0j 1.89042e-07-0j -2.77567e-06-0j 0.00371208-0j -7.72865e-06-0j 0.000792803-0j 0.000619949-0j 3.32969e-09-0j -3.23201e-06-0j -0.0635942-0j 6.53826e-05-0j -2.67089e-07-0j 6.22712e-10-0j -5.69269e-08-0j -0.00524463-0j 1.09681e-11-0j 4.56636e-06-0j -8.798e-10-0j 
-5.49111e-05-0j -0.0892903-0j -0.0110902-0j -6.79612e-07-0j 1.08291e-05-0j 1.34167e-05-0j 0.0060948-0j -2.30369e-05-0j -3.00082e-05-0j 2.94561e-05-0j 0.000462973-0j -0.000454455-0j 0.000380424-0j -0.000373424-0j -0.00255335-0j -0.00913986-0j 0.00250637-0j 0.00897169-0j 0.0768331-0j -0.0754194-0j -0.000122776-0j 0.000120517-0j -2.22267e-05-0j -3.9149e-07-0j 3.14031e-05-0j 0.00033599-0j 5.91795e-06-0j 0.000267315-0j -0.000474704-0j -1.85223e-06-0j -0.00179418-0j 4.70835e-06-0j -3.26241e-08-0j -0.00425945-0j -0.000377677-0j -3.16018e-05-0j 4.75825e-05-0j 2.61692e-06-0j -0.000529042-0j 0.00253492-0j 0.0354201-0j -7.50236e-05-0j 8.38093e-07-0j 0.00601797-0j -9.31827e-06-0j 0.00906123-0j -6.72271e-05-0j 0.000623871-0j 0.000747459-0j -8.82344e-06-0j 0.0001596-0j -0.0500435-0j -1.55411e-07-0j -0.0128022-0j 1.24662e-05-0j 
-0.0506138-0j -0.00290402-0j -0.000736237-0j 0.000301974-0j 0.346962-0j 3.08201e-05-0j -0.000601463-0j -7.12538e-05-0j -0.000186744-0j 0.000191755-0j 0.0014255-0j -0.00146375-0j 0.00358604-0j -0.00368227-0j -0.0494852-0j 0.000145489-0j 0.0508131-0j -0.000149393-0j 5.21631e-05-0j -5.35629e-05-0j 3.97921e-06-0j -4.08599e-06-0j 0.000140574-0j -0.000171161-0j 0.000101472-0j -0.00105138-0j 0.00128015-0j 1.75718e-05-0j -0.000758926-0j -0.00342626-0j -0.00024248-0j -2.13952e-05-0j 0.00417177-0j 0.0201896-0j 1.2684e-05-0j 0.00029524-0j 1.03543e-06-0j -0.00247321-0j 0.00511854-0j -0.000175031-0j -2.4748e-05-0j -0.0245826-0j -1.26072e-06-0j 0.0145736-0j -0.00623226-0j -4.14624e-06-0j 7.4741e-07-0j 3.01328e-05-0j 0.00369475-0j -2.32184e-07-0j 5.04841e-06-0j -1.78641e-05-0j 2.82704e-07-0j -2.99291e-06-0j -1.67599e-07-0j 
