0.0635437-0j 0.0102543-0j 0.00837262-0j 0.00120848-0j 0.00104658-0j 0.00012334-0j 5.62969e-06-0j 0.0582412-0j 0.00920875-0j 0.00728015-0j 0.00485344-0j 0.0010508-0j 0.00121336-0j 0.000428987-0j 0.000101113-0j 0.000107247-0j 8.93723e-06-0j 3.33071e-07-0j 0.037889-0j 0.0382817-0j 0.00590699-0j 0.0059682-0j 0.00457553-0j 0.000660421-0j 0.00462295-0j 0.00417687-0j 0.000667265-0j 0.00422016-0j 0.000738374-0j 0.000492249-0j 6.15311e-05-0j 0.000746025-0j 0.0004263-0j 0.00049735-0j 6.21688e-05-0j 0.000430718-0j 8.70182e-05-0j 4.35091e-05-0j 8.79199e-05-0j 5.12759e-06-0j 4.396e-05-0j 6.28e-06-0j 5.18073e-06-0j 4.05372e-07-0j 6.34507e-06-0j 4.09573e-07-0j 1.2768e-08-0j 1.29003e-08-0j 
-5.49111e-05-0j 0.000847179-0j 0.000696124-0j -0.00467229-0j -0.0167247-0j 0.140594-0j -0.000224663-0j -7.16374e-07-0j 1.08291e-05-0j 8.61565e-06-0j -5.96978e-08-0j -5.7827e-05-0j -0.000137283-0j 1.5336e-06-0j -1.70512e-05-0j 0.0011416-0j 0.000292046-0j -2.84382e-07-0j -3.27417e-05-0j 3.21392e-05-0j 0.000488017-0j -0.000479037-0j 0.000380424-0j -0.00255335-0j -0.000373424-0j -3.60943e-06-0j 0.00250637-0j 3.54302e-06-0j -0.00586925-0j 4.0668e-05-0j -0.000728987-0j 0.00576126-0j 7.12561e-05-0j -3.99198e-05-0j 0.000715574-0j -6.9945e-05-0j 0.0323696-0j -0.00104474-0j -0.031774-0j -0.000122349-0j 0.00102551-0j 0.0143914-0j 0.000120098-0j 0.00155647-0j -0.0141266-0j -0.00152783-0j -1.07373e-06-0j 1.05398e-06-0j 
-0.000384377-0j 0.00293411-0j 0.00738118-0j -0.101856-0j 0.000299462-0j 0.000107368-0j 8.19045e-06-0j 0.000342273-0j -0.00255993-0j 4.27842e-05-0j -0.00834235-0j -0.000590396-0j 0.0491581-0j 2.52108e-06-0j 0.0124627-0j -6.02571e-05-0j -1.00954e-05-0j -5.65327e-07-0j 0.000225515-0j 0.000231473-0j -0.00166308-0j -0.00170702-0j 2.72335e-05-0j -0.000375807-0j 2.7953e-05-0j -0.0036232-0j -0.000385735-0j -0.00371892-0j -0.000207885-0j 0.0405348-0j -5.27037e-05-0j -0.000213377-0j -0.000369791-0j 0.0416057-0j -5.4096e-05-0j -0.000379561-0j 0.00721659-0j -1.22497e-05-0j 0.00740725-0j 0.000854932-0j -1.25734e-05-0j -5.37905e-06-0j 0.000877518-0j -5.80302e-07-0j -5.52115e-06-0j -5.95633e-07-0j -2.56193e-08-0j -2.62961e-08-0j 
-3.3626e-05-0j 0.000518789-0j 0.000426287-0j -0.00286118-0j -0.0102418-0j 0.0860961-0j -0.000137578-0j -3.08201e-05-0j 0.000465891-0j 0.000370665-0j -2.56834e-06-0j -0.00248785-0j -0.00590625-0j 6.5979e-05-0j -0.000733582-0j 0.0491144-0j 0.0125645-0j -1.22348e-05-0j 5.9507e-05-0j -2.02579e-05-0j -0.000886956-0j 0.000301945-0j -0.000691409-0j 0.00464064-0j 0.000235375-0j 6.56003e-06-0j -0.00157981-0j -2.23322e-06-0j 0.0106672-0j -7.3913e-05-0j 0.00132491-0j -0.00363141-0j -0.000129506-0j 2.51621e-05-0j -0.000451038-0j 4.40875e-05-0j -0.0588308-0j 0.00189878-0j 0.0200277-0j 0.000222367-0j -0.000646397-0j -0.026156-0j -7.56999e-05-0j -0.00282883-0j 0.00890423-0j 0.000963014-0j 1.95148e-06-0j -6.6434e-07-0j 
-0.000235382-0j -3.79846e-05-0j 0.00599904-0j -4.47653e-06-0j -0.071772-0j 8.83742e-05-0j -2.08538e-08-0j 0.000209599-0j 3.31405e-05-0j -0.00506778-0j 1.74666e-05-0j 3.78162e-06-0j -0.000844631-0j 0.086642-0j 3.63887e-07-0j 0.00714538-0j -6.22129e-06-0j 1.19866e-09-0j 0.000138099-0j 0.000141748-0j 2.153e-05-0j 2.20988e-05-0j -0.00322581-0j 2.40713e-06-0j -0.00331103-0j 1.5224e-05-0j 2.47072e-06-0j 1.56262e-05-0j -0.000520563-0j 1.79417e-06-0j 2.24271e-07-0j -0.000534316-0j 0.0287658-0j 1.84157e-06-0j 2.30196e-07-0j 0.0295257-0j -6.1349e-05-0j 0.00889987-0j -6.29697e-05-0j 1.86892e-08-0j 0.00913499-0j 0.00042376-0j 1.9183e-08-0j -2.85793e-07-0j 0.000434955-0j -2.93343e-07-0j 4.65373e-11-0j 4.77668e-11-0j 
3.23567e-06-0j -0.000100363-0j 4.26336e-07-0j 0.00169915-0j -1.02433e-05-0j -0.0164631-0j 0.179583-0j 4.22127e-08-0j -1.28289e-06-0j 5.27659e-09-0j 3.51773e-09-0j 2.10297e-05-0j -1.69036e-07-0j 3.10926e-10-0j -0.000192104-0j 2.14634e-06-0j 0.000777269-0j 0.00046012-0j 1.92932e-06-0j -1.89382e-06-0j -5.78141e-05-0j 5.67503e-05-0j 2.32988e-07-0j 0.000928567-0j -2.28701e-07-0j 2.12688e-07-0j -0.000911482-0j -2.08774e-07-0j -7.22676e-06-0j -4.81784e-06-0j -0.00821301-0j 7.09379e-06-0j 2.17073e-08-0j 4.72919e-06-0j 0.0080619-0j -2.13079e-08-0j 0.000122349-0j -4.25841e-07-0j -0.000120098-0j 0.03133-0j 4.18006e-07-0j -0.000838237-0j -0.0307535-0j 0.0129311-0j 0.000822814-0j -0.0126931-0j 0.00291169-0j -0.00285812-0j 
0.000158548-0j -0.00121026-0j -0.00304458-0j 0.0420134-0j -0.000123522-0j -4.4287e-05-0j -3.37839e-06-0j -0.000427679-0j 0.00319869-0j -5.34598e-05-0j 0.010424-0j 0.000737714-0j -0.0614242-0j -3.15015e-06-0j -0.0155725-0j 7.52926e-05-0j 1.26144e-05-0j 7.06389e-07-0j 9.45367e-05-0j 0.000456061-0j -0.000697169-0j -0.00336326-0j 1.14164e-05-0j -0.000157539-0j 5.50746e-05-0j -0.00151886-0j -0.000759997-0j -0.00732723-0j -8.71461e-05-0j 0.0169923-0j -2.20936e-05-0j -0.000420408-0j -0.000155018-0j 0.0819739-0j -0.000106583-0j -0.000747833-0j 0.00302522-0j -5.13513e-06-0j 0.0145942-0j 0.00035839-0j -2.47727e-05-0j -2.25492e-06-0j 0.00172894-0j -2.43265e-07-0j -1.08781e-05-0j -1.17355e-06-0j -1.07397e-08-0j -5.18102e-08-0j 
4.80472e-05-0j -0.000741282-0j -0.000609109-0j 0.00408825-0j 0.0146341-0j -0.12302-0j 0.00019658-0j -4.27842e-05-0j 0.000646747-0j 0.000514555-0j -3.56535e-06-0j -0.00345362-0j -0.00819901-0j 9.15915e-05-0j -0.00101835-0j 0.0681802-0j 0.017442-0j -1.69842e-05-0j -2.81894e-05-0j -2.89341e-05-0j 0.000420165-0j 0.000431265-0j 0.000327531-0j -0.00219834-0j 0.000336184-0j -3.10759e-06-0j -0.00225642-0j -3.18969e-06-0j -0.00505321-0j 3.50137e-05-0j -0.000627631-0j -0.00518671-0j 6.1349e-05-0j 3.59387e-05-0j -0.000644213-0j 6.29697e-05-0j 0.0278691-0j -0.00089948-0j 0.0286053-0j -0.000105339-0j -0.000923243-0j 0.0123905-0j -0.000108121-0j 0.00134006-0j 0.0127178-0j 0.00137546-0j -9.24447e-07-0j -9.4887e-07-0j 
9.70902e-05-0j 1.56679e-05-0j -0.00247448-0j 1.84648e-06-0j 0.0296045-0j -3.64525e-05-0j 8.60176e-09-0j -0.000261899-0j -4.14098e-05-0j 0.00633231-0j -2.18249e-05-0j -4.72523e-06-0j 0.00105539-0j -0.108261-0j -4.54685e-07-0j -0.00892832-0j 7.77365e-06-0j -1.49775e-09-0j 5.78917e-05-0j 0.000279279-0j 9.02545e-06-0j 4.35403e-05-0j -0.00135227-0j 1.00908e-06-0j -0.00652359-0j 6.38196e-06-0j 4.86796e-06-0j 3.07877e-05-0j -0.000218222-0j 7.52121e-07-0j 9.40151e-08-0j -0.00105274-0j 0.0120587-0j 3.62836e-06-0j 4.53545e-07-0j 0.0581733-0j -2.57177e-05-0j 0.00373086-0j -0.000124067-0j 7.83459e-09-0j 0.0179983-0j 0.000177642-0j 3.77954e-08-0j -1.19805e-07-0j 0.000856974-0j -5.77961e-07-0j 1.95086e-11-0j 9.41128e-11-0j 
1.98143e-06-0j -6.14596e-05-0j 2.61077e-07-0j 0.00104052-0j -6.2727e-06-0j -0.0100816-0j 0.109972-0j 1.81609e-06-0j -5.5193e-05-0j 2.27011e-07-0j 1.51341e-07-0j 0.000904748-0j -7.27231e-06-0j 1.33768e-08-0j -0.00826478-0j 9.23405e-05-0j 0.0334399-0j 0.0197954-0j -3.50649e-06-0j 1.19371e-06-0j 0.000105075-0j -3.57706e-05-0j -4.23448e-07-0j -0.00168764-0j 1.44154e-07-0j -3.86554e-07-0j 0.000574522-0j 1.31594e-07-0j 1.31344e-05-0j 8.75628e-06-0j 0.0149269-0j -4.47133e-06-0j -3.94525e-08-0j -2.98089e-06-0j -0.00508154-0j 1.34307e-08-0j -0.000222367-0j 7.73954e-07-0j 7.56999e-05-0j -0.0569414-0j -2.63476e-07-0j 0.00152347-0j 0.0193844-0j -0.0235018-0j -0.000518633-0j 0.00800069-0j -0.00529191-0j 0.00180152-0j 
-2.83121e-06-0j 8.78178e-05-0j -3.73044e-07-0j -0.00148676-0j 8.96286e-06-0j 0.0144052-0j -0.157135-0j 2.52108e-06-0j -7.66184e-05-0j 3.15135e-07-0j 2.1009e-07-0j 0.00125596-0j -1.00954e-05-0j 1.85695e-08-0j -0.0114731-0j 0.000128186-0j 0.0464211-0j 0.0274799-0j 1.66108e-06-0j 1.70496e-06-0j -4.97758e-05-0j -5.10908e-05-0j 2.00594e-07-0j 0.000799463-0j 2.05893e-07-0j 1.83116e-07-0j 0.000820584-0j 1.87954e-07-0j -6.22198e-06-0j -4.14799e-06-0j -0.00707111-0j -6.38636e-06-0j 1.86892e-08-0j -4.25757e-06-0j -0.00725792-0j 1.9183e-08-0j 0.000105339-0j -3.66634e-07-0j 0.000108121-0j 0.026974-0j -3.7632e-07-0j -0.000721692-0j 0.0276866-0j 0.0111332-0j -0.000740758-0j 0.0114273-0j 0.00250686-0j 0.00257309-0j 
-1.98185e-05-0j 0.000305763-0j 0.000251245-0j -0.00168632-0j -0.00603627-0j 0.0507432-0j -8.10853e-05-0j 5.34598e-05-0j -0.000808125-0j -0.000642948-0j 4.45499e-06-0j 0.00431538-0j 0.0102448-0j -0.000114446-0j 0.00127246-0j -0.0851927-0j -0.0217941-0j 2.12222e-05-0j -1.18171e-05-0j -5.70077e-05-0j 0.000176134-0j 0.000849703-0j 0.000137302-0j -0.000921553-0j 0.000662369-0j -1.30271e-06-0j -0.00444573-0j -6.2845e-06-0j -0.00211832-0j 1.46779e-05-0j -0.000263105-0j -0.0102192-0j 2.57177e-05-0j 7.08086e-05-0j -0.00126926-0j 0.000124067-0j 0.0116828-0j -0.000377065-0j 0.0563599-0j -4.41583e-05-0j -0.00181903-0j 0.00519413-0j -0.000213027-0j 0.000561758-0j 0.0250574-0j 0.00271002-0j -3.87531e-07-0j -1.86952e-06-0j 
1.16781e-06-0j -3.6223e-05-0j 1.53873e-07-0j 0.000613257-0j -3.69699e-06-0j -0.00594186-0j 0.0648149-0j -3.15015e-06-0j 9.57365e-05-0j -3.93769e-07-0j -2.62513e-07-0j -0.00156936-0j 1.26144e-05-0j -2.32031e-08-0j 0.0143359-0j -0.000160172-0j -0.0580042-0j -0.0343367-0j 6.96329e-07-0j 3.35921e-06-0j -2.08662e-05-0j -0.000100662-0j 8.40897e-08-0j 0.000335138-0j 4.05663e-07-0j 7.6763e-08-0j 0.00161676-0j 3.70318e-07-0j -2.60828e-06-0j -1.73885e-06-0j -0.00296423-0j -1.25828e-05-0j 7.83459e-09-0j -8.38851e-06-0j -0.0143-0j 3.77954e-08-0j 4.41583e-05-0j -1.53694e-07-0j 0.000213027-0j 0.0113076-0j -7.41447e-07-0j -0.000302536-0j 0.0545497-0j 0.00466707-0j -0.00145948-0j 0.0225147-0j 0.00105088-0j 0.00506965-0j 
-0.44301-0j 0.000289834-0j 0.000236649-0j 3.41573e-05-0j 2.95811e-05-0j 3.48617e-06-0j 1.59121e-07-0j 0.00164617-0j -0.0642009-0j 0.000205771-0j 0.00013718-0j 2.97004e-05-0j 3.42951e-05-0j 1.21252e-05-0j 2.85793e-06-0j 3.03129e-06-0j 2.52607e-07-0j 9.41412e-09-0j 0.00107092-0j 0.00108202-0j 0.000166959-0j 0.000168689-0j -0.0318994-0j -0.00460428-0j -0.03223-0j 0.000118058-0j -0.004652-0j 0.000119281-0j 2.08698e-05-0j 1.39132e-05-0j 1.73915e-06-0j 2.10861e-05-0j 1.20492e-05-0j 1.40574e-05-0j 1.75718e-06-0j 1.21741e-05-0j 2.45953e-06-0j 1.22977e-06-0j 2.48502e-06-0j 1.44929e-07-0j 1.24251e-06-0j 1.77502e-07-0j 1.46431e-07-0j 1.14577e-08-0j 1.79341e-07-0j 1.15764e-08-0j 3.60883e-10-0j 3.64623e-10-0j 
-0.000289834-0j -0.433385-0j -3.8189e-05-0j 0.000526986-0j 0.000225805-0j 8.09592e-05-0j 6.17589e-06-0j -0.000265649-0j 0.00198684-0j 0.00650463-0j -2.21374e-05-0j -0.0897601-0j 0.000261789-0j -1.95669e-06-0j 6.63696e-05-0j 4.67673e-05-0j 7.83532e-06-0j 4.38767e-07-0j -0.000172819-0j -0.00017461-0j 0.00127447-0j 0.00128767-0j -2.08698e-05-0j 0.000287991-0j -2.10861e-05-0j 0.00373193-0j 0.000290976-0j 0.0037706-0j -0.0312063-0j 0.000106205-0j -0.00791154-0j -0.0315297-0j -1.94443e-06-0j 0.000107306-0j -0.00799353-0j -1.96458e-06-0j 3.79462e-05-0j 9.38732e-06-0j 3.83394e-05-0j 4.49539e-06-0j 9.48461e-06-0j 4.12212e-06-0j 4.54198e-06-0j 4.44702e-07-0j 4.16484e-06-0j 4.49311e-07-0j 1.96328e-08-0j 1.98363e-08-0j 
0.500433-0j -0.000327403-0j -0.000267323-0j -3.85848e-05-0j -3.34154e-05-0j -3.93804e-06-0j -1.79746e-07-0j -2.64684e-05-0j 0.00103228-0j -3.30855e-06-0j -2.2057e-06-0j -4.77548e-07-0j -5.51425e-07-0j -1.94958e-07-0j -4.59521e-08-0j -4.87396e-08-0j -4.06163e-09-0j -1.51368e-10-0j -0.00120973-0j 0.00118747-0j -0.0001886-0j 0.00018513-0j 0.0360342-0j 0.00520109-0j -0.0353712-0j -0.00013336-0j -0.00510539-0j 0.000130907-0j -2.3575e-05-0j -1.57167e-05-0j -1.96458e-06-0j 2.31412e-05-0j -1.3611e-05-0j 1.54275e-05-0j 1.92844e-06-0j 1.33606e-05-0j -2.77834e-06-0j -1.38917e-06-0j 2.72722e-06-0j -1.63715e-07-0j 1.36361e-06-0j -2.00509e-07-0j 1.60703e-07-0j -1.29428e-08-0j 1.9682e-07-0j 1.27047e-08-0j -4.07661e-10-0j 4.0016e-10-0j 
0.408602-0j -0.000267323-0j -0.000218269-0j -3.15043e-05-0j -2.72836e-05-0j -3.2154e-06-0j -1.46762e-07-0j -0.00151831-0j 0.0592145-0j -0.000189789-0j -0.000126526-0j -2.73936e-05-0j -3.16315e-05-0j -1.11834e-05-0j -2.63595e-06-0j -2.79585e-06-0j -2.32988e-07-0j -8.68294e-09-0j 0.000971897-0j -0.000997977-0j 0.000151521-0j -0.000155587-0j -0.0289499-0j -0.00417855-0j 0.0297267-0j 0.000107142-0j 0.00429068-0j -0.000110017-0j 1.89401e-05-0j 1.26268e-05-0j 1.57834e-06-0j -1.94484e-05-0j 1.09351e-05-0j -1.29656e-05-0j -1.6207e-06-0j -1.12285e-05-0j 2.23212e-06-0j 1.11606e-06-0j -2.29201e-06-0j 1.31529e-07-0j -1.14601e-06-0j 1.61089e-07-0j -1.35058e-07-0j 1.03983e-08-0j -1.65412e-07-0j -1.06773e-08-0j 3.27514e-10-0j -3.36303e-10-0j 
-0.000236649-0j -3.8189e-05-0j -0.43723-0j 0.000655921-0j 0.000753915-0j 4.41952e-05-0j -2.0966e-08-0j -0.000216901-0j -3.42951e-05-0j 0.00260862-0j 0.00528661-0j -3.91338e-06-0j -0.0633634-0j 0.000464338-0j 5.48806e-05-0j 7.72566e-05-0j 3.20238e-06-0j -1.24042e-09-0j -0.000141106-0j -0.000142568-0j -2.19987e-05-0j -2.22267e-05-0j 0.0016395-0j -2.45953e-06-0j 0.00165649-0j 0.00226705-0j -2.48502e-06-0j 0.00229055-0j 0.000264573-0j 0.000536183-0j -2.29154e-07-0j 0.000267315-0j -0.0447554-0j 0.00054174-0j -2.31528e-07-0j -0.0452192-0j -0.00454422-0j 4.70945e-05-0j -0.00459131-0j 2.78307e-06-0j 4.75825e-05-0j 4.52387e-06-0j 2.81191e-06-0j 1.45253e-07-0j 4.57075e-06-0j 1.46758e-07-0j -4.75505e-11-0j -4.80433e-11-0j 
3.41573e-05-0j -0.000526986-0j -0.000655921-0j -0.423577-0j -5.37853e-05-0j 0.000908978-0j 0.000139751-0j 3.1307e-05-0j -0.000473252-0j 3.91338e-06-0j -0.000763057-0j 0.00252716-0j 0.00908784-0j 2.30598e-07-0j -0.108601-0j 0.000257927-0j 0.000132652-0j 1.24281e-05-0j 2.03669e-05-0j 2.05779e-05-0j -0.00030357-0j -0.000306716-0j 2.45953e-06-0j 0.00158831-0j 2.48502e-06-0j -0.000327221-0j 0.00160477-0j -0.000330612-0j -3.79462e-05-0j 0.00739901-0j 0.000453465-0j -3.83394e-05-0j -3.33969e-05-0j 0.00747568-0j 0.000458164-0j -3.3743e-05-0j -0.0305002-0j -2.236e-06-0j -0.0308162-0j -0.0110919-0j -2.25917e-06-0j 4.62816e-05-0j -0.0112068-0j 1.00629e-05-0j 4.67612e-05-0j 1.01672e-05-0j 6.67915e-07-0j 6.74836e-07-0j 
-0.412836-0j 0.000270094-0j 0.00022053-0j 3.18308e-05-0j 2.75663e-05-0j 3.24872e-06-0j 1.48283e-07-0j -0.00149037-0j 0.058125-0j -0.000186297-0j -0.000124198-0j -2.68896e-05-0j -3.10494e-05-0j -1.09776e-05-0j -2.58745e-06-0j -2.74441e-06-0j -2.28701e-07-0j -8.52317e-09-0j 0.000997977-0j -0.00100791-0j 0.000155587-0j -0.000157136-0j -0.0297267-0j -0.00429068-0j 0.0300226-0j 0.000110017-0j 0.00433339-0j -0.000111112-0j 1.94484e-05-0j 1.29656e-05-0j 1.6207e-06-0j -1.9642e-05-0j 1.12285e-05-0j -1.30946e-05-0j -1.63683e-06-0j -1.13403e-05-0j 2.29201e-06-0j 1.14601e-06-0j -2.31483e-06-0j 1.35058e-07-0j -1.15741e-06-0j 1.65412e-07-0j -1.36403e-07-0j 1.06773e-08-0j -1.67058e-07-0j -1.07836e-08-0j 3.36303e-10-0j -3.3965e-10-0j 
0.000327403-0j 0.48956-0j 4.31391e-05-0j -0.000595294-0j -0.000255074-0j -9.14532e-05-0j -6.97641e-06-0j 4.27132e-06-0j -3.1946e-05-0j -0.000104587-0j 3.55943e-07-0j 0.00144324-0j -4.20926e-06-0j 3.14612e-08-0j -1.06715e-06-0j -7.51964e-07-0j -1.25983e-07-0j -7.05486e-09-0j 0.00019522-0j -0.000191628-0j -0.00143966-0j 0.00141317-0j 2.3575e-05-0j -0.000325321-0j -2.31412e-05-0j -0.00421566-0j 0.000319335-0j 0.0041381-0j 0.0352513-0j -0.000119972-0j 0.00893703-0j -0.0346027-0j 2.19647e-06-0j 0.000117764-0j -0.0087726-0j -2.15606e-06-0j -4.28648e-05-0j -1.06041e-05-0j 4.20761e-05-0j -5.07808e-06-0j 1.0409e-05-0j -4.65643e-06-0j 4.98465e-06-0j -5.02344e-07-0j 4.57075e-06-0j 4.93101e-07-0j -2.21776e-08-0j 2.17696e-08-0j 
2.95811e-05-0j -0.000225805-0j -0.000753915-0j -5.37853e-05-0j -0.426659-0j 0.00159827-0j -6.30325e-07-0j 2.71127e-05-0j -0.000202781-0j -0.000655544-0j 2.25939e-06-0j -4.67673e-05-0j 0.00516815-0j 0.0112076-0j -6.77382e-06-0j -0.088367-0j 0.000154682-0j -4.47815e-08-0j 1.76382e-05-0j 1.7821e-05-0j -0.000130075-0j -0.000131423-0j -0.000412005-0j -2.9393e-05-0j -0.000416275-0j 1.94443e-06-0j -2.96976e-05-0j 1.96458e-06-0j 0.00314501-0j -1.08395e-05-0j -4.12212e-06-0j 0.0031776-0j 0.00367401-0j -1.09519e-05-0j -4.16484e-06-0j 0.00371208-0j 0.000749121-0j -0.053769-0j 0.000756884-0j -4.58809e-07-0j -0.0543262-0j -0.00778875-0j -4.63564e-07-0j 8.77916e-06-0j -0.00786947-0j 8.87014e-06-0j -2.00377e-09-0j -2.02453e-09-0j 
-0.357527-0j 0.000233908-0j 0.000190985-0j 2.75663e-05-0j 2.38731e-05-0j 2.81347e-06-0j 1.28417e-07-0j 1.89099e-05-0j -0.000737493-0j 2.36374e-06-0j 1.57583e-06-0j 3.41177e-07-0j 3.93957e-07-0j 1.39285e-07-0j 3.28298e-08-0j 3.48212e-08-0j 2.90177e-09-0j 1.08143e-10-0j -0.00256509-0j -0.000848371-0j -0.000399904-0j -0.000132263-0j 0.0764063-0j 0.0110283-0j 0.0252704-0j -0.000282775-0j 0.00364747-0j -9.35241e-05-0j -4.9988e-05-0j -3.33253e-05-0j -4.16567e-06-0j -1.65329e-05-0j -2.88606e-05-0j -1.10219e-05-0j -1.37774e-06-0j -9.54527e-06-0j -5.89114e-06-0j -2.94557e-06-0j -1.94842e-06-0j -3.47139e-07-0j -9.7421e-07-0j -4.25157e-07-0j -1.14812e-07-0j -2.74437e-08-0j -1.40615e-07-0j -9.07666e-09-0j -8.64397e-10-0j -2.85888e-10-0j 
-3.48617e-06-0j 8.09592e-05-0j 4.41952e-05-0j -0.000908978-0j -0.00159827-0j -0.413171-0j 0.00204542-0j -3.19526e-06-0j 7.27043e-05-0j 3.84286e-05-0j -2.66272e-07-0j -0.000790374-0j -0.000921694-0j 6.84035e-06-0j 0.00352042-0j 0.0156033-0j -0.123661-0j 0.000243296-0j -2.07869e-06-0j -2.10023e-06-0j 4.66365e-05-0j 4.71197e-05-0j 2.41521e-05-0j -0.000496746-0j 2.44024e-05-0j -2.29154e-07-0j -0.000501893-0j -2.31528e-07-0j -0.000560885-0j 3.88637e-06-0j 0.0021423-0j -0.000566697-0j 4.52387e-06-0j 3.92665e-06-0j 0.00216451-0j 4.57075e-06-0j 0.0062974-0j -9.98384e-05-0j 0.00636266-0j 0.000737405-0j -0.000100873-0j -0.0422926-0j 0.000745046-0j -0.0141707-0j -0.0427309-0j -0.0143175-0j 1.63726e-05-0j 1.65423e-05-0j 
0.294944-0j -0.000192964-0j -0.000157555-0j -2.2741e-05-0j -1.96943e-05-0j -2.321e-06-0j -1.05939e-07-0j 0.00214515-0j -0.0836614-0j 0.000268144-0j 0.000178762-0j 3.87032e-05-0j 4.46906e-05-0j 1.58005e-05-0j 3.72422e-06-0j 3.95013e-06-0j 3.29177e-07-0j 1.22677e-08-0j 0.000701552-0j -0.000659731-0j 0.000109374-0j -0.000102854-0j -0.0208971-0j -0.00301624-0j 0.0196514-0j 7.73389e-05-0j 0.00283643-0j -7.27285e-05-0j 1.36717e-05-0j 9.11447e-06-0j 1.13931e-06-0j -1.28567e-05-0j 7.89336e-06-0j -8.57114e-06-0j -1.07139e-06-0j -7.42283e-06-0j 1.61123e-06-0j 8.05613e-07-0j -1.51518e-06-0j 9.49424e-08-0j -7.57589e-07-0j 1.1628e-07-0j -8.92827e-08-0j 7.50586e-09-0j -1.09349e-07-0j -7.05842e-09-0j 2.36412e-10-0j -2.22319e-10-0j 
0.000267323-0j 0.399724-0j 3.52229e-05-0j -0.000486055-0j -0.000208267-0j -7.46712e-05-0j -5.69622e-06-0j 0.000245016-0j -0.00183252-0j -0.00599942-0j 2.0418e-05-0j 0.0827885-0j -0.000241456-0j 1.80471e-06-0j -6.12148e-05-0j -4.3135e-05-0j -7.22676e-06-0j -4.04689e-07-0j -0.000156839-0j 0.000161048-0j 0.00115662-0j -0.00118766-0j -1.89401e-05-0j 0.000261363-0j 1.94484e-05-0j 0.00338686-0j -0.000268376-0j -0.00347774-0j -0.0283209-0j 9.63852e-05-0j -0.00718-0j 0.0290809-0j -1.76464e-06-0j -9.89717e-05-0j 0.00737268-0j 1.812e-06-0j 3.44375e-05-0j 8.51933e-06-0j -3.53617e-05-0j 4.07973e-06-0j -8.74795e-06-0j 3.74097e-06-0j -4.18921e-06-0j 4.03583e-07-0j -3.84136e-06-0j -4.14413e-07-0j 1.78175e-08-0j -1.82956e-08-0j 
0.000267323-0j 4.31391e-05-0j 0.493904-0j -0.000740941-0j -0.000851637-0j -4.99238e-05-0j 2.36836e-08-0j 3.48752e-06-0j 5.51425e-07-0j -4.19435e-05-0j -8.50025e-05-0j 6.29225e-08-0j 0.00101881-0j -7.46601e-06-0j -8.82415e-07-0j -1.24219e-06-0j -5.14905e-08-0j 1.99445e-11-0j 0.000159396-0j -0.000156463-0j 2.48502e-05-0j -2.4393e-05-0j -0.00185201-0j 2.77834e-06-0j 0.00181794-0j -0.00256091-0j -2.72722e-06-0j 0.00251379-0j -0.000298867-0j -0.000605683-0j 2.58857e-07-0j 0.000293368-0j 0.0505566-0j 0.000594539-0j -2.54094e-07-0j -0.0496264-0j 0.00513324-0j -5.31989e-05-0j -0.00503879-0j -3.14381e-06-0j 5.222e-05-0j -5.11026e-06-0j 3.08597e-06-0j -1.6408e-07-0j 5.01623e-06-0j 1.61061e-07-0j 5.3714e-11-0j -5.27257e-11-0j 
1.59121e-07-0j -6.17589e-06-0j 2.0966e-08-0j 0.000139751-0j -6.30325e-07-0j -0.00204542-0j -0.399709-0j 1.45843e-07-0j -5.54617e-06-0j 1.82304e-08-0j 1.21536e-08-0j 0.000121517-0j -7.30773e-07-0j 1.07423e-09-0j -0.00167682-0j 1.24022e-05-0j 0.01402-0j -0.149837-0j 9.48786e-08-0j 9.58618e-08-0j -3.55762e-06-0j -3.59448e-06-0j 1.14577e-08-0j 7.63724e-05-0j 1.15764e-08-0j 1.04594e-08-0j 7.71639e-05-0j 1.05678e-08-0j -4.44702e-07-0j -2.96468e-07-0j -0.00102041-0j -4.49311e-07-0j 1.06751e-09-0j -2.9954e-07-0j -0.00103098-0j 1.07857e-09-0j 1.00629e-05-0j -2.62043e-08-0j 1.01672e-05-0j 0.00804374-0j -2.64759e-08-0j -0.000104145-0j 0.0081271-0j -0.0287815-0j -0.000105224-0j -0.0290797-0j -0.0204616-0j -0.0206736-0j 
