1.00878-0j 0.102635-0j 0.103699-0j 0.0590704-0j 0.00852608-0j 0.0730959-0j 0.0426393-0j 0.0105505-0j 0.00615445-0j 0.0416381-0j 0.00736065-0j 0.0485778-0j 0.000613387-0j 0.0297477-0j 0.0425056-0j 0.00858742-0j 0.0052587-0j 0.0175326-0j 0.000715618-0j 0.00751399-0j 0.000438225-0j 0.00309936-0j 0.000626166-0j 0.00025828-0j 0.0321516-0j 0.00535859-0j 0.0363191-0j 0.00328146-0j 0.000669824-0j 0.0296544-0j 3.94698e-05-0j 0.0299617-0j 0.00605318-0j 0.0259476-0j 0.0037068-0j 0.0049424-0j 0.0214057-0j 0.000756647-0j 0.00302659-0j 0.00499362-0j 4.45859e-05-0j 0.00683921-0j 0.0006178-0j 0.00305795-0j 0.0043246-0j 0.00264826-0j 3.64042e-05-0j 0.00356761-0j 0.000624202-0j 0.000540575-0j 0.00218471-0j 3.67815e-05-0j 0.00113987-0j 0.000445951-0j 0.000698024-0j 3.18537e-05-0j 0.000142484-0j 2.62779e-05-0j 8.39593e-06-0j 
-4.45859e-05-0j 0.000869164-0j 0.000878172-0j -2.61079e-06-0j -0.0103396-0j -3.23069e-06-0j -1.88457e-06-0j -0.0127946-0j -0.00746354-0j 5.46191e-06-0j -0.000185001-0j -2.14704e-06-0j -0.208914-0j -1.31479e-06-0j -1.87866e-06-0j 7.27226e-05-0j 4.45333e-05-0j -7.74907e-07-0j 0.0821227-0j 6.36323e-05-0j 0.0502897-0j 2.6247e-05-0j 0.0718574-0j 0.0296397-0j -1.42103e-06-0j 4.53793e-05-0j 4.76418e-06-0j -1.45033e-07-0j -0.000812299-0j -1.31066e-06-0j -0.206655-0j -1.32424e-06-0j -0.000152139-0j -1.14683e-06-0j 4.86242e-07-0j 4.18547e-05-0j -9.46086e-07-0j 0.00272333-0j -1.33769e-07-0j 4.22885e-05-0j 0.692834-0j -3.02279e-07-0j -0.000749209-0j -1.35155e-07-0j 3.66229e-05-0j -1.17048e-07-0j -0.190604-0j 3.02123e-05-0j -0.000756973-0j -0.000655558-0j -9.65595e-08-0j -0.192579-0j 9.65298e-06-0j -0.000540807-0j -3.08512e-08-0j -0.166778-0j -0.000172791-0j -0.137585-0j -0.0439591-0j 
0.0043246-0j 0.0610572-0j -0.0209611-0j 0.000253233-0j -0.00348339-0j -0.000922239-0j 0.000182793-0j 0.012686-0j -0.00251445-0j -0.0257691-0j -0.00148784-0j -0.0300639-0j -0.00037722-0j -0.0163438-0j 0.0774201-0j -0.00173582-0j -0.00094365-0j -0.0108506-0j -0.00044009-0j 0.00447005-0j -0.000239248-0j -0.00062649-0j 0.00113331-0j -0.000158837-0j 0.000137833-0j 0.156369-0j 0.000155699-0j 1.40675e-05-0j -0.000273661-0j -0.000374144-0j -3.24205e-05-0j 0.000128445-0j 0.176637-0j 9.87503e-05-0j 1.58909e-05-0j -0.42446-0j -0.000270072-0j -0.000309134-0j -3.81859e-05-0j 0.145718-0j -3.66229e-05-0j 2.93195e-05-0j 0.000742849-0j 1.31094e-05-0j 0.11203-0j 1.00787e-05-0j 8.80048e-05-0j -0.306391-0j -0.000255022-0j -0.000196065-0j -2.75641e-05-0j -3.02123e-05-0j 0.0332625-0j 0.000536216-0j 2.99241e-06-0j -2.32277e-05-0j -5.82127e-05-0j 6.35253e-05-0j -6.89643e-06-0j 
7.49273e-05-0j 0.000439993-0j -0.000429148-0j 0.0957225-0j -7.18815e-05-0j -0.00104355-0j 0.0684433-0j 7.83642e-07-0j -5.13965e-05-0j 0.000178501-0j -0.00606517-0j -7.09577e-06-0j 2.62957e-06-0j 0.000127527-0j -0.000175906-0j 0.000241102-0j -0.00433316-0j -0.000220277-0j -1.04531e-07-0j 0.00597698-0j 1.87866e-06-0j 0.00748463-0j -2.59134e-06-0j -3.24498e-06-0j 0.000137833-0j 2.29721e-05-0j 2.69761e-06-0j 0.257149-0j -0.000551935-0j -0.000250009-0j 1.69206e-07-0j 0.000243847-0j 4.49602e-07-0j 1.92727e-06-0j 0.00503283-0j -4.16682e-05-0j -0.000178761-0j -1.08023e-05-0j -0.466433-0j 4.06412e-05-0j 3.31163e-09-0j -0.000114738-0j 0.00100113-0j 0.454936-0j 3.21211e-07-0j 0.00359563-0j -3.06915e-07-0j -2.97935e-05-0j -0.000976456-0j -7.71751e-06-0j -0.333508-0j 2.99351e-07-0j -1.9123e-05-0j 0.000715827-0j -0.214062-0j 2.36594e-09-0j 0.000459455-0j -2.1945e-07-0j -1.40854e-07-0j 
0.00264826-0j -0.000792978-0j 0.000272232-0j -0.0298066-0j 2.23829e-05-0j 0.108551-0j -0.0215156-0j -8.15152e-05-0j 1.61568e-05-0j 0.000109309-0j -0.00371414-0j 0.000127527-0j 1.61028e-06-0j 6.93282e-05-0j -0.000328406-0j -0.00433316-0j -0.00235565-0j 4.60271e-05-0j 1.87866e-06-0j 0.0111587-0j 1.0213e-06-0j -0.00156392-0j -4.83788e-06-0j 6.78043e-07-0j 8.4405e-05-0j 1.40675e-05-0j 9.53456e-05-0j 0.157471-0j -0.00033799-0j -0.000229116-0j 1.03617e-07-0j 7.86561e-05-0j 1.58909e-05-0j 6.04719e-05-0j 0.177883-0j -3.81859e-05-0j -0.000165384-0j -0.0003818-0j -0.427452-0j 1.31094e-05-0j 1.17048e-07-0j 1.79545e-05-0j 0.000917466-0j 0.146746-0j 1.00787e-05-0j 0.11282-0j -2.81266e-07-0j -2.75641e-05-0j -0.000314969-0j -0.000242153-0j -0.308551-0j 9.65595e-08-0j 2.99241e-06-0j 0.000662262-0j 0.0334969-0j 7.42363e-08-0j -7.18964e-05-0j -2.03029e-07-0j 2.20412e-08-0j 
0.00596516-0j -0.0287996-0j -0.0299327-0j -0.000361837-0j 0.00497731-0j -0.000419931-0j -0.000234506-0j 0.00577643-0j 0.00322579-0j 0.0368206-0j 0.00212594-0j -0.0414689-0j 0.000538998-0j -0.0774201-0j 0.0364958-0j -0.00239431-0j -0.00447005-0j 0.0732787-0j -0.000607041-0j 0.00210718-0j -0.00113331-0j 0.00423093-0j 0.000534243-0j 0.00107269-0j -0.000196945-0j -0.223431-0j 0.000214764-0j -2.01006e-05-0j 0.000391026-0j 0.000176477-0j 4.63247e-05-0j 0.000183421-0j 0.243646-0j -0.000451569-0j 2.19193e-05-0j 0.20021-0j 0.000114375-0j -0.000426405-0j 1.80116e-05-0j 0.208088-0j -5.0516e-05-0j -0.000439307-0j -0.000350389-0j 1.87203e-05-0j -0.512296-0j -4.6088e-05-0j -4.15104e-05-0j 0.129756-0j -0.000364174-0j 0.000896571-0j 1.16733e-05-0j -4.31435e-05-0j -0.498386-0j -0.000227087-0j -4.48366e-05-0j 0.000106216-0j 0.000872227-0j -2.69028e-05-0j 0.000103332-0j 
-1.52945e-05-0j 0.00855938-0j -0.00834841-0j -0.00971881-0j 0.0652268-0j 0.000105953-0j -0.00694912-0j -0.000711094-0j 0.0466383-0j -3.64364e-05-0j -0.0586873-0j 1.44842e-06-0j -0.00731239-0j -2.60314e-05-0j 3.59066e-05-0j 0.00233293-0j -0.0419282-0j 4.49638e-05-0j 0.000290682-0j 0.057834-0j -0.00522422-0j 0.0724222-0j 0.00720607-0j 0.00902375-0j -2.8135e-05-0j 0.000446887-0j -5.50648e-07-0j 0.000551935-0j 0.249116-0j 5.10329e-05-0j -0.000947682-0j -4.97751e-05-0j 8.74631e-06-0j -3.93402e-07-0j 1.08023e-05-0j -0.000810591-0j 3.64895e-05-0j 0.0048756-0j -0.00100113-0j 0.000790612-0j -1.85477e-05-0j 2.34208e-05-0j -0.451861-0j 0.000976456-0j 6.24867e-06-0j 7.71751e-06-0j 0.00171896-0j -0.000579587-0j 0.440724-0j 0.0034833-0j -0.000715827-0j -0.00167659-0j -0.000372009-0j -0.323089-0j -0.000459455-0j -1.32511e-05-0j -0.207375-0j 0.00122909-0j 0.000788893-0j 
0.0036529-0j 0.000374034-0j 0.00038875-0j 0.0425898-0j -3.19822e-05-0j 0.0494276-0j 0.0276024-0j -3.7117e-05-0j -2.07276e-05-0j -0.000156189-0j 0.00530702-0j 0.000175906-0j -2.30088e-06-0j 0.000328406-0j -0.000154811-0j -0.00597698-0j -0.0111587-0j -0.000310839-0j 2.59134e-06-0j 0.0052602-0j 4.83788e-06-0j 0.0105618-0j -2.28058e-06-0j -4.57909e-06-0j -0.000120604-0j -2.01006e-05-0j 0.000131516-0j -0.225006-0j 0.000482943-0j 0.00010807-0j -1.48055e-07-0j 0.000112322-0j 2.19193e-05-0j -0.000276528-0j 0.245363-0j 1.80116e-05-0j 7.004e-05-0j -0.000526638-0j 0.201622-0j 1.87203e-05-0j 1.61451e-07-0j -0.00026902-0j -0.000432753-0j 0.209554-0j -4.6088e-05-0j -0.515908-0j 1.32668e-07-0j 1.16733e-05-0j -0.000449779-0j 0.00110732-0j 0.130671-0j 1.37888e-07-0j -4.48366e-05-0j -0.000280467-0j -0.501899-0j -3.3947e-07-0j 0.00107726-0j 8.59823e-08-0j -3.30253e-07-0j 
-0.000540575-0j -0.0154262-0j 0.00529585-0j 0.0030263-0j -0.0203107-0j -0.0110213-0j 0.0021845-0j 0.0739687-0j -0.014661-0j -2.23127e-05-0j -0.0359385-0j -2.60314e-05-0j -0.00447791-0j -1.41516e-05-0j 6.70357e-05-0j -0.0419282-0j -0.0227936-0j -9.39524e-06-0j -0.00522422-0j 0.107973-0j -0.00284006-0j -0.0151327-0j 0.0134533-0j -0.00188552-0j -1.72291e-05-0j 0.000273661-0j -1.94623e-05-0j 0.00033799-0j 0.152552-0j 4.6768e-05-0j -0.000580335-0j -1.60556e-05-0j 0.000309134-0j -1.23438e-05-0j 0.0003818-0j -0.000742849-0j 3.3759e-05-0j 0.172325-0j -0.000917466-0j 0.000255022-0j -0.000655558-0j -3.66494e-06-0j -0.414099-0j 0.000314969-0j 0.000196065-0j 0.000242153-0j 0.00157531-0j -0.000536216-0j 0.142161-0j 0.109296-0j -0.000662262-0j -0.000540807-0j 5.82127e-05-0j -0.298912-0j 7.18964e-05-0j -0.00041578-0j 0.0324505-0j 0.00113712-0j -0.000123448-0j 
9.01235e-07-0j -0.00101403-0j 0.000989032-0j -5.99012e-06-0j -0.0237229-0j 6.53035e-08-0j -4.28305e-06-0j 0.000258624-0j -0.0169623-0j 2.14704e-06-0j -7.27226e-05-0j -8.53488e-08-0j -0.0821227-0j 1.53392e-06-0j -2.11582e-06-0j 2.89086e-06-0j -5.19555e-05-0j -2.64952e-06-0j 0.00326454-0j 7.16652e-05-0j -0.0586713-0j 8.97422e-05-0j 0.0809287-0j 0.101342-0j 1.65787e-06-0j -5.29425e-05-0j 3.24472e-08-0j 1.69206e-07-0j 0.000947682-0j -3.00715e-06-0j 0.241097-0j 2.93303e-06-0j -1.03617e-06-0j 2.31814e-08-0j 3.31163e-09-0j 9.60302e-05-0j -2.15016e-06-0j 1.85477e-05-0j -3.06915e-07-0j -9.36633e-05-0j 0.00471866-0j -1.38008e-06-0j -0.00171896-0j 2.99351e-07-0j -7.40276e-07-0j 2.36594e-09-0j -0.437316-0j 6.86633e-05-0j 0.00167659-0j 1.32511e-05-0j -2.1945e-07-0j 0.426537-0j 4.40717e-05-0j -0.00122909-0j -1.40854e-07-0j 0.00337117-0j -0.000788893-0j -0.312689-0j -0.2007-0j 
-0.00746983-0j -0.0122273-0j -0.0583899-0j 0.00014925-0j -0.00205304-0j -0.000541264-0j 0.000128983-0j 0.00744544-0j -0.00177424-0j -0.0151877-0j -0.000876903-0j 0.0519291-0j -0.000222325-0j -0.0108506-0j -0.0732787-0j 0.00299826-0j -0.00062649-0j 0.088974-0j 0.000760163-0j -0.00423093-0j -0.000158837-0j 0.00513714-0j -0.00107269-0j 0.00130244-0j 8.12357e-05-0j 0.0921604-0j -0.000268937-0j 8.29108e-06-0j -0.00016129-0j 7.49262e-05-0j -1.9108e-05-0j 0.0003578-0j -0.305104-0j -0.000192138-0j -2.74482e-05-0j 0.0850024-0j 6.47516e-05-0j 0.000533963-0j 7.64712e-06-0j 0.405918-0j 6.32583e-05-0j -0.000321736-0j -0.000148763-0j 3.65178e-05-0j -0.217977-0j -1.961e-05-0j -1.76239e-05-0j 0.0734595-0j -0.000710398-0j 0.000381482-0j 6.60868e-06-0j -8.41604e-05-0j -0.365004-0j -0.000128562-0j -3.28371e-05-0j 4.51939e-05-0j 0.000638795-0j -1.52306e-05-0j 7.56776e-05-0j 
-0.000745645-0j 0.00727625-0j 0.00756253-0j -0.00432418-0j 0.0290213-0j -0.00501844-0j -0.0028025-0j 0.0336807-0j 0.0188087-0j 3.18819e-05-0j 0.0513514-0j -3.59066e-05-0j 0.00639834-0j -6.70357e-05-0j 3.16006e-05-0j -0.057834-0j -0.107973-0j 6.34497e-05-0j -0.00720607-0j 0.0508983-0j -0.0134533-0j 0.102197-0j 0.00634189-0j 0.0127337-0j 2.46181e-05-0j -0.000391026-0j -2.68455e-05-0j -0.000482943-0j -0.217976-0j -2.20597e-05-0j 0.000829222-0j -2.29276e-05-0j 0.000426405-0j 5.64461e-05-0j 0.000526638-0j 0.000350389-0j -1.42969e-05-0j 0.237698-0j 0.000432753-0j 0.000364174-0j -0.000904248-0j 5.49134e-05-0j 0.195323-0j 0.000449779-0j -0.000896571-0j -0.00110732-0j -0.000743045-0j 0.000227087-0j 0.203008-0j -0.499791-0j 0.000280467-0j -0.000772279-0j -0.000872227-0j 0.126589-0j -0.00107726-0j 0.0019013-0j -0.48622-0j -0.000481567-0j 0.00184967-0j 
3.18537e-05-0j 0.00182753-0j -0.000627396-0j 1.86524e-06-0j 0.00738698-0j -6.79293e-06-0j 1.3464e-06-0j -0.0269023-0j 0.00533221-0j 1.31479e-06-0j -4.45333e-05-0j 1.53392e-06-0j -0.0502897-0j 8.33889e-07-0j -3.95012e-06-0j -5.19555e-05-0j -2.82448e-05-0j 5.5362e-07-0j -0.0586713-0j 0.000133795-0j -0.0318957-0j -1.87517e-05-0j 0.151089-0j -0.0211756-0j 1.01523e-06-0j -3.24205e-05-0j 1.14683e-06-0j 1.03617e-07-0j 0.000580335-0j -2.75583e-06-0j 0.147641-0j 9.46086e-07-0j -3.66229e-05-0j 7.27364e-07-0j 1.17048e-07-0j 8.80048e-05-0j -1.98927e-06-0j 0.000655558-0j -2.81266e-07-0j -3.02123e-05-0j 0.166778-0j 2.15959e-07-0j -0.00157531-0j 9.65595e-08-0j -2.32277e-05-0j 7.42363e-08-0j -0.400769-0j 6.35253e-05-0j 0.000540807-0j 0.00041578-0j -2.03029e-07-0j 0.137585-0j -6.89643e-06-0j -0.00113712-0j 2.20412e-08-0j 0.105777-0j 0.000123448-0j -0.28929-0j 0.0314059-0j 
-0.00457432-0j 0.000158802-0j 0.000758337-0j -0.0175674-0j 1.3192e-05-0j 0.063709-0j -0.0151818-0j -4.78414e-05-0j 1.14006e-05-0j 6.44245e-05-0j -0.00218903-0j -0.000220277-0j 9.49063e-07-0j 4.60271e-05-0j 0.000310839-0j 0.00748463-0j -0.00156392-0j -0.000377417-0j -3.24498e-06-0j -0.0105618-0j 6.78043e-07-0j 0.012824-0j 4.57909e-06-0j -5.55987e-06-0j 4.97465e-05-0j 8.29108e-06-0j -0.000164689-0j 0.0928101-0j -0.000199204-0j 4.58827e-05-0j 6.10696e-08-0j 0.000219107-0j -2.74482e-05-0j -0.00011766-0j -0.307255-0j 7.64712e-06-0j 3.96521e-05-0j 0.000659479-0j 0.0856016-0j 3.65178e-05-0j -2.02175e-07-0j -0.000197022-0j -0.000183732-0j 0.408779-0j -1.961e-05-0j -0.219513-0j 5.63264e-08-0j 6.60868e-06-0j -0.000877387-0j 0.000471154-0j 0.0739773-0j 2.68979e-07-0j -3.28371e-05-0j -0.000158782-0j -0.367577-0j -1.44441e-07-0j 0.000788953-0j 4.86775e-08-0j -2.41868e-07-0j 
4.39376e-05-0j -0.000862013-0j -0.000895929-0j -2.66518e-06-0j -0.010555-0j -3.09308e-06-0j -1.7273e-06-0j -0.0122497-0j -0.00684071-0j -1.87866e-06-0j 6.36323e-05-0j 2.11582e-06-0j 0.0718574-0j 3.95012e-06-0j -1.86208e-06-0j -7.16652e-05-0j -0.000133795-0j -3.73881e-06-0j -0.0809287-0j 6.30709e-05-0j -0.151089-0j 0.000126638-0j 0.0712234-0j 0.143007-0j -1.45064e-06-0j 4.63247e-05-0j 1.58189e-06-0j -1.48055e-07-0j -0.000829222-0j 1.29988e-06-0j -0.21096-0j 1.35102e-06-0j -5.0516e-05-0j -3.32612e-06-0j 1.61451e-07-0j -4.15104e-05-0j 8.42451e-07-0j 0.000904248-0j 1.32668e-07-0j -4.31435e-05-0j 0.230047-0j -3.2358e-06-0j 0.000743045-0j 1.37888e-07-0j 0.000106216-0j -3.3947e-07-0j 0.189036-0j -2.69028e-05-0j 0.000772279-0j -0.0019013-0j 8.59823e-08-0j 0.196473-0j 0.000103332-0j 0.000481567-0j -3.30253e-07-0j -0.483703-0j -0.00184967-0j 0.122514-0j -0.470569-0j 
0.000933729-0j 0.00308924-0j 0.0147523-0j 0.00178363-0j -0.0119707-0j -0.00646844-0j 0.00154143-0j 0.0434123-0j -0.0103451-0j -1.31506e-05-0j -0.0211814-0j 4.49638e-05-0j -0.00263918-0j -9.39524e-06-0j -6.34497e-05-0j 0.0724222-0j -0.0151327-0j 7.70398e-05-0j 0.00902375-0j -0.102197-0j -0.00188552-0j 0.124086-0j -0.0127337-0j 0.0154611-0j -1.01545e-05-0j 0.00016129-0j 3.36171e-05-0j 0.000199204-0j 0.0899107-0j -9.36577e-06-0j -0.000342037-0j -4.4725e-05-0j -0.000533963-0j 2.40172e-05-0j -0.000659479-0j 0.000148763-0j -8.09395e-06-0j -0.297656-0j 0.000183732-0j 0.000710398-0j 0.00113234-0j 4.0217e-05-0j 0.0829274-0j 0.000877387-0j -0.000381482-0j -0.000471154-0j -0.000315471-0j 0.000128562-0j 0.396009-0j -0.212656-0j 0.000158782-0j -0.00150649-0j -0.000638795-0j 0.0716663-0j -0.000788953-0j 0.000808981-0j -0.356094-0j -0.000272632-0j 0.00135465-0j 
-5.50205e-05-0j -0.000365981-0j -0.00174769-0j 1.09933e-06-0j 0.00435373-0j -3.98678e-06-0j 9.50048e-07-0j -0.015789-0j 0.00376252-0j 7.74907e-07-0j -2.6247e-05-0j -2.64952e-06-0j -0.0296397-0j 5.5362e-07-0j 3.73881e-06-0j 8.97422e-05-0j -1.87517e-05-0j -4.53962e-06-0j 0.101342-0j -0.000126638-0j -0.0211756-0j 0.000153762-0j -0.143007-0j 0.173637-0j 5.98357e-07-0j -1.9108e-05-0j -1.98091e-06-0j 6.10696e-08-0j 0.000342037-0j 5.51883e-07-0j 0.0870165-0j 2.63545e-06-0j 6.32583e-05-0j -1.41523e-06-0j -2.02175e-07-0j -1.76239e-05-0j 4.7694e-07-0j -0.00113234-0j 5.63264e-08-0j -8.41604e-05-0j -0.288075-0j -2.36981e-06-0j 0.000315471-0j 2.68979e-07-0j 4.51939e-05-0j -1.44441e-07-0j 0.080258-0j -1.52306e-05-0j 0.00150649-0j -0.000808981-0j 4.86775e-08-0j 0.383262-0j 7.56776e-05-0j 0.000272632-0j -2.41868e-07-0j -0.20581-0j -0.00135465-0j 0.0693594-0j -0.344632-0j 
0.0289641-0j 0.00294686-0j 0.0029774-0j 0.00169604-0j 0.000244802-0j 0.00209874-0j 0.00122426-0j 0.000302927-0j 0.000176707-0j 0.00119552-0j 0.00021134-0j 0.00139477-0j 1.76116e-05-0j 0.000854119-0j 0.00122042-0j 0.000246563-0j 0.000150988-0j 0.000503399-0j 2.05469e-05-0j 0.000215742-0j 1.25824e-05-0j 8.89892e-05-0j 1.79785e-05-0j 7.41577e-06-0j -0.00366994-0j -0.000611657-0j 0.0010428-0j -0.000374562-0j -7.64571e-05-0j 0.00085144-0j -4.50528e-06-0j 0.000860263-0j 0.000173799-0j 0.00074501-0j 0.00010643-0j 0.000141907-0j 0.000614602-0j 2.17249e-05-0j 8.68997e-05-0j 0.000143377-0j 1.28015e-06-0j 0.000196368-0j 1.77383e-05-0j 8.78002e-05-0j 0.000124168-0j 7.60372e-05-0j 1.04524e-06-0j 0.000102434-0j 1.79221e-05-0j 1.5521e-05-0j 6.27275e-05-0j 1.05607e-06-0j 3.2728e-05-0j 1.28042e-05-0j 2.00417e-05-0j 9.14586e-07-0j 4.091e-06-0j 7.54495e-07-0j 2.41065e-07-0j 
-0.000566875-0j -0.00332884-0j 0.00324679-0j -0.00191588-0j -0.000276533-0j -4.10757e-05-0j 0.00269402-0j -5.92877e-06-0j 0.000388849-0j 0.00400811-0j 0.000708541-0j -2.72979e-05-0j 5.90451e-05-0j -0.00096483-0j 0.00133084-0j -4.82563e-06-0j -0.000170559-0j 0.00166654-0j -4.02136e-07-0j 0.000235262-0j -1.42133e-05-0j 0.000294605-0j 1.96052e-05-0j 2.45505e-05-0j -0.0010428-0j -0.000173799-0j 6.05729e-05-0j -0.00010643-0j -2.17249e-05-0j -0.000961803-0j -1.28015e-06-0j 0.000938097-0j 1.00955e-05-0j -1.4581e-05-0j 6.18219e-06-0j -0.000160301-0j 0.00135245-0j 1.26193e-06-0j -9.81636e-05-0j 0.000156349-0j 7.43602e-08-0j 0.00086807-0j -2.00376e-05-0j 9.57441e-05-0j -2.43017e-06-0j -1.48817e-06-0j -1.18073e-06-0j 0.000225408-0j 1.95437e-05-0j -3.03772e-07-0j 0.000138033-0j 1.15162e-06-0j 0.000144678-0j 2.8176e-05-0j 8.8597e-05-0j -1.78999e-08-0j 1.80848e-05-0j 1.66028e-06-0j 1.06566e-06-0j 
-0.00467406-0j 0.0224226-0j 0.022655-0j -0.000273697-0j 0.00376488-0j -0.000338682-0j -0.000197565-0j 0.0046588-0j 0.00271763-0j -0.000192926-0j 0.00160808-0j -0.00022508-0j 0.000407703-0j -0.000137833-0j -0.000196945-0j 0.00187609-0j 0.00114886-0j -8.12357e-05-0j 0.000475653-0j 0.00164158-0j 0.000291277-0j 0.000677116-0j 0.000416197-0j 0.000171672-0j -0.114555-0j -0.00465408-0j 0.0325502-0j 6.04447e-05-0j -0.00117586-0j 0.0265771-0j -0.000139303-0j 0.0268525-0j 0.00132243-0j 0.023255-0j -1.71751e-05-0j 0.00107976-0j 0.0191844-0j 0.000334114-0j -1.40234e-05-0j 0.00109095-0j 3.95823e-05-0j 0.0061295-0j 0.000272803-0j -1.41687e-05-0j 0.000944792-0j -1.22705e-05-0j 3.23188e-05-0j 0.000779414-0j 0.00027563-0j 0.000238703-0j -1.01226e-05-0j 3.26537e-05-0j 0.000249026-0j 0.00019692-0j -3.23422e-06-0j 2.8279e-05-0j 6.29168e-05-0j 2.3329e-05-0j 7.45372e-06-0j 
-0.0267145-0j 0.00264061-0j -0.00274615-0j 0.00307637-0j 0.000444036-0j 0.00188063-0j -0.00112918-0j 0.000271445-0j -0.000162983-0j -0.00110266-0j -0.000194925-0j 0.00252992-0j -1.62438e-05-0j 0.00231849-0j 0.00109359-0j 0.00044723-0j 0.000409855-0j -0.000464301-0j 3.72692e-05-0j 0.000193321-0j 3.41546e-05-0j -8.20775e-05-0j 1.61101e-05-0j -6.83979e-06-0j -0.00085144-0j -0.000141907-0j -0.000961803-0j -8.68997e-05-0j -1.77383e-05-0j -0.00150043-0j -1.04524e-06-0j 0.0015604-0j -0.000160301-0j 0.00202231-0j -9.81636e-05-0j -0.000250071-0j 0.000550729-0j -2.00376e-05-0j -0.000153137-0j 0.000260066-0j -1.18073e-06-0j -0.000181116-0j -3.12589e-05-0j 0.000159257-0j 0.000337052-0j 0.000206402-0j -1.84195e-06-0j 9.17881e-05-0j 3.25083e-05-0j 4.21315e-05-0j 5.62085e-05-0j 1.91557e-06-0j -3.01861e-05-0j 1.14735e-05-0j -1.84851e-05-0j 2.48262e-06-0j -3.77326e-06-0j 6.76083e-07-0j -2.22341e-07-0j 
-0.00381636-0j -0.000388283-0j -0.000392307-0j 0.0213651-0j -3.22555e-05-0j 0.026438-0j 0.0154221-0j -3.99141e-05-0j -2.32832e-05-0j 0.0227406-0j 0.00266226-0j 0.0265307-0j -2.32054e-06-0j 0.0162467-0j 0.0232144-0j 0.00310597-0j 0.00190201-0j 0.00957544-0j -2.70729e-06-0j 0.00271772-0j -1.65787e-06-0j 0.001121-0j -2.36888e-06-0j -9.77113e-07-0j 0.000483557-0j -0.0116347-0j -0.0001374-0j -0.00948612-0j -0.000963136-0j -0.000112187-0j 5.93623e-07-0j -0.00011335-0j 0.00330594-0j -9.81636e-05-0j 0.00269544-0j 0.00269929-0j -8.09809e-05-0j 0.00027367-0j 0.00220081-0j 0.00272726-0j -1.68675e-07-0j -2.58738e-05-0j 0.000223451-0j 0.00222362-0j 0.00236188-0j 0.00192571-0j -1.37723e-07-0j 0.00194845-0j 0.000225767-0j 0.00019552-0j 0.00158863-0j -1.3915e-07-0j 0.000622539-0j 0.000161295-0j 0.000507575-0j -1.20507e-07-0j 5.15347e-05-0j -9.94134e-08-0j -3.17631e-08-0j 
-0.026056-0j 0.00274615-0j -0.00277294-0j -0.00310825-0j -0.000448638-0j -0.00188802-0j 0.00102433-0j -0.000272512-0j 0.00014785-0j 0.00111409-0j 0.000196945-0j 0.00246756-0j 1.64121e-05-0j 0.000795944-0j -0.00113662-0j 0.000436207-0j 0.000140704-0j 0.00221721-0j 3.63506e-05-0j -0.000200927-0j 1.17254e-05-0j 0.00039195-0j -1.67439e-05-0j 3.26625e-05-0j 0.000860263-0j 0.000143377-0j -0.000938097-0j 8.78002e-05-0j 1.79221e-05-0j -0.0015604-0j 1.05607e-06-0j 0.00157562-0j -0.000156349-0j -0.000670209-0j -9.57441e-05-0j -0.000260066-0j 0.000514233-0j -1.95437e-05-0j -0.000159257-0j 0.000262603-0j -1.15162e-06-0j 0.00191891-0j -3.25083e-05-0j 0.000160811-0j -0.000111701-0j -6.84029e-05-0j -1.91557e-06-0j 8.57055e-05-0j 3.28254e-05-0j -1.39627e-05-0j 5.24837e-05-0j 1.93426e-06-0j 0.000319818-0j 1.07132e-05-0j 0.000195848-0j -8.22759e-07-0j 3.99773e-05-0j 6.3128e-07-0j 2.35568e-06-0j 
0.000550844-0j -0.0053411-0j -0.00539645-0j 3.22555e-05-0j 0.0206965-0j 3.99141e-05-0j 2.32832e-05-0j 0.0256106-0j 0.0149395-0j -0.00328232-0j -0.000383046-0j -0.00382938-0j 0.00456297-0j -0.00234501-0j -0.00335071-0j -0.000446887-0j -0.000273661-0j -0.0013821-0j 0.00532347-0j -0.000391026-0j 0.00325994-0j -0.00016129-0j 0.00465803-0j 0.00192134-0j -6.97955e-05-0j -0.160043-0j 1.9832e-05-0j -7.12347e-06-0j -0.00646399-0j 1.61928e-05-0j -0.00235095-0j 1.63606e-05-0j 0.0454754-0j 1.41687e-05-0j 2.0241e-06-0j 0.0371305-0j 1.16886e-05-0j 0.00183671-0j 1.65267e-06-0j 0.0375153-0j 0.000668011-0j 3.73456e-06-0j 0.00149967-0j 1.6698e-06-0j 0.0324892-0j 1.44609e-06-0j 0.000545428-0j 0.0268022-0j 0.00151521-0j 0.00131221-0j 1.19296e-06-0j 0.000551081-0j 0.00856343-0j 0.00108252-0j 3.81157e-07-0j 0.00047725-0j 0.00034587-0j 0.000393711-0j 0.000125793-0j 
