-0.0059483-0j -0.00105152-0j -8.76267e-05-0j 1.00359-0j -0.000864739-0j -0.000529543-0j -0.000108092-0j -6.36941e-06-0j -0.00327116-0j -0.00330506-0j 0.102107-0j 0.103165-0j -0.000431014-0j -0.00043548-0j -6.22114e-05-0j -5.38767e-05-0j -6.28561e-05-0j -5.4435e-05-0j -6.34943e-06-0j -6.41523e-06-0j -2.8981e-07-0j -2.92814e-07-0j -0.00243053-0j -0.00300763-0j -0.00175445-0j -0.000384301-0j -0.000475548-0j 0.0587666-0j -0.000277403-0j -0.000202544-0j 0.00848223-0j 0.07272-0j -0.000250636-0j -5.06361e-05-0j 0.04242-0j 0.0104962-0j -1.79026e-05-0j -0.000146204-0j -4.21968e-06-0j 0.0061228-0j -4.47564e-06-0j -6.2659e-05-0j -2.21533e-05-0j -3.65511e-05-0j -5.22158e-06-0j -3.7297e-07-0j -1.29228e-05-0j -5.53832e-06-0j -3.04592e-06-0j -1.38998e-08-0j -4.61527e-07-0j -3.23069e-06-0j -1.72001e-08-0j -2.69224e-07-0j -1.00334e-08-0j 
0.0104779-0j -0.0578381-0j 0.000153381-0j 6.11146e-05-0j 0.0693334-0j -0.00119891-0j 0.0116008-0j -1.43751e-05-0j -3.99141e-05-0j 4.03035e-05-0j 0.000303705-0j -0.000306668-0j -0.0725861-0j 0.0732943-0j -0.0104437-0j -0.00595789-0j 0.0105456-0j 0.00601602-0j -0.00106255-0j 0.00107292-0j 8.47825e-07-0j -8.56097e-07-0j -2.96569e-05-0j 3.54269e-05-0j -1.92206e-05-0j 0.000221099-0j -0.000264116-0j 0.000354419-0j 0.000143294-0j 0.000716034-0j 5.09938e-05-0j -0.000423374-0j -0.000855344-0j 0.402082-0j 0.000229699-0j -6.0915e-05-0j 6.30899e-05-0j 0.000464061-0j -0.00106628-0j 3.30491e-05-0j -0.00100036-0j -0.48031-0j -7.53645e-05-0j 0.260589-0j 0.00127373-0j -8.33651e-05-0j 4.08885e-05-0j 0.00119499-0j -0.000691055-0j 4.88296e-08-0j 9.95844e-05-0j -0.000648336-0j -5.83297e-08-0j -5.40289e-05-0j 3.16464e-08-0j 
0.000864204-0j 0.000151808-0j 0.0554282-0j -5.22158e-06-0j -0.0180226-0j -5.32925e-07-0j -0.00148197-0j 0.0166435-0j 3.19834e-06-0j -3.32618e-06-0j -7.40405e-05-0j 7.69998e-05-0j -6.08375e-05-0j 6.32691e-05-0j -0.119627-0j -7.55673e-06-0j 0.124409-0j 7.85876e-06-0j -0.00390199-0j 0.00405795-0j -0.00185882-0j 0.00193312-0j -2.44606e-06-0j 2.94068e-06-0j -1.76566e-06-0j 5.54813e-05-0j -6.67002e-05-0j -3.05757e-07-0j 4.00486e-05-0j 5.90575e-05-0j -0.000601224-0j 3.67585e-07-0j -7.09995e-05-0j -0.00105534-0j -2.20707e-07-0j 0.000722798-0j -1.80169e-08-0j 4.263e-05-0j -0.385329-0j -0.000433987-0j -6.13622e-05-0j 0.00126874-0j 2.16601e-08-0j -0.000761786-0j 0.463246-0j 0.000974585-0j -1.30053e-08-0j 7.37702e-05-0j -0.278145-0j 0.000184494-0j -0.00117166-0j -4.42936e-05-0j -0.0002218-0j 0.000703493-0j 0.000133175-0j 
-2.56609e-05-0j 0.00131014-0j -3.78021e-07-0j 2.16073e-05-0j 3.60121e-06-0j 0.122209-0j -0.000130011-0j 2.65254e-08-0j -1.41118e-05-0j 1.42494e-05-0j -2.27728e-06-0j 2.29949e-06-0j 0.00053702-0j -0.000542259-0j -2.6838e-07-0j -0.0128801-0j 2.70998e-07-0j 0.0130058-0j 7.91105e-06-0j -7.98823e-06-0j -1.25024e-09-0j 1.26244e-09-0j -1.04853e-05-0j 1.25253e-05-0j -6.79552e-06-0j -1.65787e-06-0j 1.98042e-06-0j 0.000378539-0j -1.07447e-06-0j -8.73775e-07-0j -1.89178e-07-0j -0.000452187-0j 1.04377e-06-0j 6.30899e-05-0j 0.000245331-0j 2.25984e-07-0j 0.404871-0j -5.66293e-07-0j -1.82036e-08-0j -1.22606e-07-0j -0.00106998-0j -7.53645e-05-0j -0.483642-0j 4.08885e-05-0j 2.17453e-08-0j 4.64701e-07-0j 0.262397-0j 0.00127815-0j -1.17978e-08-0j -5.99635e-11-0j -5.55112e-07-0j -0.000693452-0j 7.16299e-11-0j 3.01172e-07-0j -3.88623e-11-0j 
-6.34943e-06-0j -0.0205607-0j -0.00127426-0j -5.53832e-06-0j 8.79689e-05-0j -0.0103326-0j 0.0985889-0j -0.00018655-0j 3.39235e-06-0j -3.52794e-06-0j -5.21721e-05-0j 5.42573e-05-0j -8.59145e-05-0j 8.93483e-05-0j 0.000286803-0j -0.0973353-0j -0.000298266-0j 0.101226-0j -0.0172421-0j 0.0179312-0j 1.37921e-05-0j -1.43434e-05-0j -2.59444e-06-0j 3.11906e-06-0j -1.87276e-06-0j 3.90945e-05-0j -4.69998e-05-0j 6.23347e-05-0j 2.82199e-05-0j -2.16203e-07-0j -0.000208088-0j -7.49394e-05-0j 2.59922e-07-0j -0.000990104-0j 4.49955e-05-0j 0.000250166-0j -0.001059-0j -1.56064e-07-0j -6.13622e-05-0j -0.000150206-0j -0.388222-0j 0.00119031-0j 0.00127314-0j -0.000714695-0j 7.37702e-05-0j 0.00209964-0j -0.000764429-0j 0.466724-0j -4.42936e-05-0j -1.02345e-06-0j -0.00252421-0j -0.280233-0j 1.2304e-06-0j 0.0015156-0j -7.38763e-07-0j 
-0.000873159-0j -0.000153381-0j -0.0560027-0j -5.09288e-06-0j -0.0175784-0j -5.1979e-07-0j -0.00144545-0j 0.0162333-0j 3.32618e-06-0j -3.35863e-06-0j -7.69998e-05-0j 7.7751e-05-0j -6.32691e-05-0j 6.38864e-05-0j -0.124409-0j -7.85876e-06-0j 0.125623-0j 7.93543e-06-0j -0.00405795-0j 0.00409754-0j -0.00193312-0j 0.00195198-0j 2.47141e-06-0j -2.95224e-06-0j 1.60172e-06-0j -5.60563e-05-0j 6.69625e-05-0j 3.08926e-07-0j -3.63301e-05-0j -5.96695e-05-0j 0.000607455-0j -3.6903e-07-0j 7.12787e-05-0j 0.00106628-0j 2.00215e-07-0j -0.000725639-0j 1.82036e-08-0j -3.86718e-05-0j 0.389322-0j 0.000393691-0j 6.19981e-05-0j -0.00127373-0j -2.17453e-08-0j 0.000691055-0j -0.465067-0j -0.000984685-0j 1.17978e-08-0j -7.40603e-05-0j 0.252319-0j -0.000186406-0j 0.00117626-0j 4.01809e-05-0j 0.000222673-0j -0.000638174-0j -0.00012081-0j 
6.41523e-06-0j 0.0207738-0j 0.00128747-0j -5.40182e-06-0j 8.58007e-05-0j -0.010078-0j 0.0961589-0j -0.000181951-0j 3.52794e-06-0j -3.56236e-06-0j -5.42573e-05-0j 5.47866e-05-0j -8.93483e-05-0j 9.02201e-05-0j 0.000298266-0j -0.101226-0j -0.000301176-0j 0.102213-0j -0.0179312-0j 0.0181062-0j 1.43434e-05-0j -1.44833e-05-0j 2.62132e-06-0j -3.13132e-06-0j 1.69888e-06-0j -3.94996e-05-0j 4.71846e-05-0j -6.29806e-05-0j -2.55997e-05-0j 2.18444e-07-0j 0.000210245-0j 7.5234e-05-0j -2.60944e-07-0j 0.00100036-0j -4.08177e-05-0j -0.000251149-0j 0.00106998-0j 1.41573e-07-0j 6.19981e-05-0j 0.000136259-0j 0.392245-0j -0.00119499-0j -0.00127815-0j 0.000648336-0j -7.40603e-05-0j -0.0021214-0j 0.000693452-0j -0.468559-0j 4.01809e-05-0j 1.03405e-06-0j 0.00253414-0j 0.254214-0j -1.23524e-06-0j -0.00137488-0j 6.7017e-07-0j 
5.29119e-07-0j 0.00171342-0j -0.0202385-0j 4.61527e-07-0j -1.47384e-05-0j -9.05394e-06-0j -0.0252226-0j 0.0671179-0j -2.82696e-07-0j 2.93995e-07-0j 8.74096e-06-0j -9.09032e-06-0j 3.56115e-06-0j -3.70348e-06-0j -0.000147517-0j -0.000171475-0j 0.000153413-0j 0.000178328-0j -0.136211-0j 0.141656-0j -0.015492-0j 0.0161111-0j 2.16203e-07-0j -2.59922e-07-0j 1.56064e-07-0j -6.54993e-06-0j 7.8744e-06-0j -2.58377e-06-0j -4.72799e-06-0j 1.80169e-08-0j 0.00010703-0j 3.10623e-06-0j -2.16601e-08-0j 8.251e-05-0j -1.86506e-06-0j -0.000128672-0j -4.59934e-07-0j 1.30053e-08-0j -0.000974585-0j 7.72582e-05-0j -0.00209964-0j -9.91944e-05-0j 5.52938e-07-0j 5.95589e-05-0j 0.00117166-0j -0.375746-0j -3.31998e-07-0j 0.00252421-0j -0.000703493-0j 0.00232699-0j 0.451725-0j -0.0015156-0j -0.00279753-0j -0.271228-0j 0.00167971-0j 
-5.34602e-07-0j -0.00173118-0j 0.0204482-0j 4.50151e-07-0j -1.43751e-05-0j -8.83078e-06-0j -0.0246009-0j 0.0654636-0j -2.93995e-07-0j 2.96863e-07-0j 9.09032e-06-0j -9.17901e-06-0j 3.70348e-06-0j -3.73961e-06-0j -0.000153413-0j -0.000178328-0j 0.00015491-0j 0.000180068-0j -0.141656-0j 0.143038-0j -0.0161111-0j 0.0162683-0j -2.18444e-07-0j 2.60944e-07-0j -1.41573e-07-0j 6.61781e-06-0j -7.90536e-06-0j 2.61054e-06-0j 4.289e-06-0j -1.82036e-08-0j -0.000108139-0j -3.11844e-06-0j 2.17453e-08-0j -8.33651e-05-0j 1.69189e-06-0j 0.000129178-0j 4.64701e-07-0j -1.17978e-08-0j 0.000984685-0j -7.00848e-05-0j 0.0021214-0j 9.95844e-05-0j -5.55112e-07-0j -5.40289e-05-0j -0.00117626-0j 0.37964-0j 3.01172e-07-0j -0.00253414-0j 0.000638174-0j -0.0023511-0j -0.453501-0j 0.00137488-0j 0.00280853-0j 0.246044-0j -0.00152375-0j 
-1.97191e-08-0j 1.00361e-06-0j 0.00383124-0j -1.72001e-08-0j 8.25336e-07-0j -1.75548e-09-0j -2.47176e-05-0j -0.0397392-0j 1.05355e-08-0j -1.09566e-08-0j -4.89485e-07-0j 5.09049e-07-0j 1.38817e-09-0j -1.44365e-09-0j 1.38209e-05-0j -4.99578e-08-0j -1.43733e-05-0j 5.19546e-08-0j -0.000269709-0j 0.000280489-0j -0.165044-0j 0.17164-0j -8.05742e-09-0j 9.68671e-09-0j -5.81615e-09-0j 3.66789e-07-0j -4.40958e-07-0j -1.00718e-09-0j 2.64763e-07-0j -6.71451e-10-0j -1.00277e-05-0j 1.21084e-09-0j 8.07226e-10-0j 4.83288e-08-0j -7.27019e-10-0j 1.20554e-05-0j -5.93485e-11-0j -4.84679e-10-0j 0.000184494-0j -7.23837e-06-0j -1.02345e-06-0j -5.81013e-08-0j 7.13493e-11-0j 3.48855e-08-0j -0.0002218-0j -0.00232699-0j -4.284e-11-0j 1.2304e-06-0j 0.000133175-0j -0.363294-0j 0.00279753-0j -7.38763e-07-0j 0.436756-0j -0.00167971-0j -0.262239-0j 
1.99235e-08-0j -1.01401e-06-0j -0.00387095-0j -1.67761e-08-0j 8.04993e-07-0j -1.71221e-09-0j -2.41083e-05-0j -0.0387597-0j 1.09566e-08-0j -1.10634e-08-0j -5.09049e-07-0j 5.14015e-07-0j 1.44365e-09-0j -1.45774e-09-0j 1.43733e-05-0j -5.19546e-08-0j -1.45136e-05-0j 5.24614e-08-0j -0.000280489-0j 0.000283225-0j -0.17164-0j 0.173315-0j 8.14092e-09-0j -9.72479e-09-0j 5.27612e-09-0j -3.7059e-07-0j 4.42692e-07-0j 1.01761e-09-0j -2.4018e-07-0j 6.7841e-10-0j 1.01316e-05-0j -1.2156e-09-0j -8.10399e-10-0j -4.88296e-08-0j 6.59515e-10-0j -1.21028e-05-0j 5.99635e-11-0j 4.39677e-10-0j -0.000186406-0j 6.56629e-06-0j 1.03405e-06-0j 5.83297e-08-0j -7.16299e-11-0j -3.16464e-08-0j 0.000222673-0j 0.0023511-0j 3.88623e-11-0j -1.23524e-06-0j -0.00012081-0j 0.367059-0j -0.00280853-0j 6.7017e-07-0j -0.438473-0j 0.00152375-0j 0.237891-0j 
0.00259835-0j 0.000459328-0j 3.82773e-05-0j 0.00226642-0j 0.000377737-0j 0.000231316-0j 4.72172e-05-0j 2.7823e-06-0j 0.00142892-0j 0.00144372-0j 0.00023059-0j 0.00023298-0j 0.000188276-0j 0.000190227-0j 2.71753e-05-0j 2.35345e-05-0j 2.7457e-05-0j 2.37784e-05-0j 2.77357e-06-0j 2.80231e-06-0j 1.26596e-07-0j 1.27908e-07-0j -0.00208796-0j 0.0013138-0j 0.000766383-0j -0.000330136-0j 0.00020773-0j -0.000260995-0j 0.000121176-0j -0.000173997-0j -3.76715e-05-0j 0.000164225-0j 0.000109483-0j -4.34992e-05-0j 9.57979e-05-0j 2.37038e-05-0j -1.53793e-05-0j 6.38653e-05-0j -3.62494e-06-0j 1.38272e-05-0j -3.84483e-06-0j 2.73708e-05-0j 9.67705e-06-0j 1.59663e-05-0j 2.2809e-06-0j -3.20402e-07-0j 5.64495e-06-0j 2.41926e-06-0j 1.33053e-06-0j -1.19407e-08-0j 2.01605e-07-0j 1.41124e-06-0j 7.51338e-09-0j 1.17603e-07-0j 4.38281e-09-0j 
-0.00321529-0j -0.000568389-0j -4.73657e-05-0j -4.85913e-05-0j -8.09855e-06-0j -4.95933e-06-0j -1.01232e-06-0j -5.96515e-08-0j 0.00171786-0j 0.00172461-0j 0.000277218-0j 0.000278308-0j 0.000226348-0j 0.000227238-0j 3.26705e-05-0j 2.82934e-05-0j 3.27989e-05-0j 2.84047e-05-0j 3.33441e-06-0j 3.34752e-06-0j 1.52195e-07-0j 1.52793e-07-0j -0.0013138-0j 2.73655e-05-0j 0.00184741-0j -0.00020773-0j 4.32687e-06-0j -0.000164225-0j 0.000292101-0j -0.000109483-0j -2.37038e-05-0j 3.42069e-06-0j 2.28046e-06-0j -2.73708e-05-0j 0.000230926-0j 4.93734e-07-0j -9.67705e-06-0j 0.000153951-0j -2.2809e-06-0j 3.33313e-05-0j -2.41926e-06-0j 5.70115e-07-0j 2.01566e-07-0j 3.84877e-05-0j 4.75096e-08-0j -2.01605e-07-0j 1.36075e-05-0j 5.03915e-08-0j 3.20731e-06-0j -7.51338e-09-0j 4.1993e-09-0j 3.40186e-06-0j 1.56499e-10-0j 2.83489e-07-0j 1.0565e-08-0j 
0.00187559-0j 0.00033156-0j 2.763e-05-0j -0.00318695-0j -0.000531158-0j -0.000325266-0j -6.63947e-05-0j -3.91235e-06-0j 0.00103145-0j 0.000935677-0j 0.000166449-0j 0.000150994-0j 0.000135905-0j 0.000123286-0j 1.96162e-05-0j 1.69881e-05-0j 1.77948e-05-0j 1.54108e-05-0j 2.00207e-06-0j 1.81618e-06-0j 9.13815e-08-0j 8.28968e-08-0j 0.000766383-0j -0.00184741-0j 0.00212657-0j 0.000121176-0j -0.000292101-0j 9.57979e-05-0j 0.000336241-0j 6.38653e-05-0j 1.38272e-05-0j -0.000230926-0j -0.000153951-0j 1.59663e-05-0j 0.000265822-0j -3.33313e-05-0j 5.64495e-06-0j 0.000177214-0j 1.33053e-06-0j 3.83681e-05-0j 1.41124e-06-0j -3.84877e-05-0j -1.36075e-05-0j 4.43036e-05-0j -3.20731e-06-0j 1.17603e-07-0j 1.56637e-05-0j -3.40186e-06-0j 3.69197e-06-0j 4.38281e-09-0j -2.83489e-07-0j 3.91592e-06-0j -1.0565e-08-0j 3.26327e-07-0j 1.21615e-08-0j 
-0.000405089-0j 0.0033765-0j 0.000856059-0j -0.000353341-0j 0.00277673-0j -3.60627e-05-0j 0.000701544-0j 8.31115e-05-0j -0.000222771-0j -0.00022508-0j 0.00169506-0j 0.00171263-0j -2.93527e-05-0j -2.96569e-05-0j 0.000403766-0j 0.000173001-0j 0.00040795-0j 0.000174794-0j 6.203e-05-0j 6.26728e-05-0j 4.73194e-06-0j 4.78098e-06-0j -0.0952077-0j 0.0599071-0j 0.0349458-0j -0.00242682-0j 0.00152701-0j 4.06898e-05-0j 0.000890758-0j 2.71265e-05-0j -0.000559716-0j -2.56031e-05-0j -1.70687e-05-0j -0.000319761-0j -1.49351e-05-0j 0.000352187-0j 2.39767e-06-0j -9.95675e-06-0j -8.10706e-05-0j 0.000205443-0j -5.71257e-05-0j 0.000201202-0j -1.50868e-06-0j 0.000117368-0j 5.10117e-05-0j -9.57091e-06-0j -8.8006e-07-0j 3.5945e-05-0j 2.97568e-05-0j -5.35961e-07-0j 6.02226e-06-0j 2.09679e-05-0j 3.3724e-07-0j 3.51298e-06-0j 1.96723e-07-0j 
0.000501272-0j -0.0041782-0j -0.00105932-0j 7.5755e-06-0j -5.95321e-05-0j 7.73171e-07-0j -1.50409e-05-0j -1.78188e-06-0j -0.000267818-0j -0.000268871-0j 0.00203782-0j 0.00204583-0j -3.52881e-05-0j -3.54269e-05-0j 0.000485412-0j 0.000207984-0j 0.00048732-0j 0.000208802-0j 7.45731e-05-0j 7.48663e-05-0j 5.68879e-06-0j 5.71115e-06-0j -0.0599071-0j 0.00124782-0j 0.0842388-0j -0.00152701-0j 3.18067e-05-0j 2.56031e-05-0j 0.00214722-0j 1.70687e-05-0j -0.000352187-0j -5.33294e-07-0j -3.55529e-07-0j -0.000201202-0j -3.60019e-05-0j 7.33582e-06-0j 1.50868e-06-0j -2.40013e-05-0j -5.10117e-05-0j 0.000495231-0j -3.5945e-05-0j 4.19089e-06-0j -3.14247e-08-0j 0.000282921-0j 1.06254e-06-0j -6.02226e-06-0j -2.12143e-06-0j 7.48709e-07-0j 7.17304e-05-0j -3.3724e-07-0j 1.25439e-07-0j 5.05443e-05-0j 7.02448e-09-0j 8.46824e-06-0j 4.74213e-07-0j 
-0.000292409-0j 0.00243728-0j 0.000617936-0j 0.000496853-0j -0.00390452-0j 5.07098e-05-0j -0.000986481-0j -0.000116868-0j -0.000160805-0j -0.000145874-0j 0.00122356-0j 0.00110995-0j -2.11879e-05-0j -1.92206e-05-0j 0.000291454-0j 0.000124879-0j 0.000264392-0j 0.000113284-0j 4.47756e-05-0j 4.06182e-05-0j 3.4157e-06-0j 3.09855e-06-0j 0.0349458-0j -0.0842388-0j 0.0969682-0j 0.000890758-0j -0.00214722-0j -1.49351e-05-0j 0.00247169-0j -9.95675e-06-0j 0.000205443-0j 3.60019e-05-0j 2.40013e-05-0j 0.000117368-0j -4.14422e-05-0j -0.000495231-0j -8.8006e-07-0j -2.76282e-05-0j 2.97568e-05-0j 0.000570066-0j 2.09679e-05-0j -0.000282921-0j 2.12143e-06-0j 0.000325674-0j -7.17304e-05-0j 3.51298e-06-0j -2.44201e-06-0j -5.05443e-05-0j 8.25697e-05-0j 1.96723e-07-0j -8.46824e-06-0j 5.81821e-05-0j -4.74213e-07-0j 9.74789e-06-0j 5.45871e-07-0j 
-0.00031378-0j 0.00530313-0j -4.62242e-06-0j -0.000273697-0j -4.56161e-05-0j 0.00536921-0j 0.000545142-0j -3.35994e-07-0j 0.041897-0j 0.0423312-0j -2.78464e-05-0j -2.8135e-05-0j 0.00217373-0j 0.00219625-0j -3.28173e-06-0j 0.000546274-0j -3.31574e-06-0j 0.000551935-0j 3.2022e-05-0j 3.23539e-05-0j -1.52879e-08-0j -1.54463e-08-0j 0.000252146-0j -0.000158656-0j -9.25496e-05-0j -0.00967987-0j 0.00609082-0j -0.0030133-0j 0.00355298-0j 2.10121e-05-0j 4.54926e-06-0j 0.00189604-0j -1.32214e-05-0j -0.000502217-0j 0.00110603-0j -2.86251e-06-0j -0.000536396-0j -7.71246e-06-0j 4.37753e-07-0j -1.6698e-06-0j -8.92445e-05-0j 0.000316007-0j 0.000337514-0j 0.000184338-0j -2.75445e-07-0j -3.69918e-06-0j 0.000196883-0j 5.61549e-05-0j -1.60676e-07-0j 1.44197e-09-0j 2.32761e-06-0j 3.2757e-05-0j -9.07327e-10-0j 1.35778e-06-0j -5.29274e-10-0j 
4.52903e-05-0j -0.000763014-0j 0.00908927-0j 3.95047e-05-0j -0.00062748-0j 4.03193e-06-0j 0.00365866-0j 0.00133065-0j -0.00604732-0j -0.00610998-0j -0.000383046-0j -0.000387016-0j 3.28173e-06-0j 3.31574e-06-0j 0.0021057-0j -3.90945e-05-0j 0.00212753-0j -3.94996e-05-0j 0.000658608-0j 0.000665433-0j 0.000101261-0j 0.000102311-0j -3.63941e-05-0j 2.29001e-05-0j 1.33584e-05-0j -0.133153-0j 0.0837833-0j -4.54926e-06-0j 0.0488736-0j -3.03284e-06-0j -0.00291901-0j 2.86251e-06-0j 1.90834e-06-0j 7.2259e-05-0j 1.6698e-06-0j 0.00183671-0j -2.68068e-07-0j 1.1132e-06-0j -0.000860772-0j 0.00107142-0j -0.00029792-0j -4.54672e-05-0j 1.68675e-07-0j -2.65225e-05-0j 0.00054162-0j -0.000153235-0j 9.83938e-08-0j 0.000187459-0j 0.000315945-0j -1.43566e-05-0j 9.6419e-05-0j 0.000109351-0j 9.03357e-06-0j 5.62444e-05-0j 5.26958e-06-0j 
0.0413517-0j -5.06361e-05-0j -4.21968e-06-0j 0.0483279-0j 0.00601153-0j -2.55002e-05-0j -5.2052e-06-0j -3.0672e-07-0j -0.000157523-0j -0.000159156-0j 0.00491698-0j 0.00496793-0j 0.00299634-0j 0.00302739-0j 0.000432484-0j -2.59444e-06-0j 0.000436966-0j -2.62132e-06-0j -3.05757e-07-0j -3.08926e-07-0j -1.39559e-08-0j -1.41005e-08-0j 0.000230176-0j -0.000144833-0j -8.44858e-05-0j 3.63941e-05-0j -2.29001e-05-0j -0.00556532-0j -1.33584e-05-0j -0.00555736-0j -0.000803285-0j 0.00350184-0j 0.00349683-0j -0.000692273-0j 0.00204274-0j 0.000505447-0j 1.69541e-06-0j 0.00203982-0j -5.76894e-05-0j 0.000294844-0j 4.23852e-07-0j 0.000435595-0j -1.06679e-06-0j 0.000254097-0j 3.62996e-05-0j 3.5321e-08-0j -6.22297e-07-0j -2.66699e-07-0j 2.11748e-05-0j 1.31634e-09-0j -2.22249e-08-0j -1.55574e-07-0j -8.28273e-10-0j -1.29645e-08-0j -4.83159e-10-0j 
0.000388283-0j -0.00656228-0j 5.71996e-06-0j 5.86796e-06-0j 9.77993e-07-0j -0.000115114-0j -1.16876e-05-0j 7.2036e-09-0j 0.050369-0j 0.0505671-0j -3.34773e-05-0j -3.36089e-05-0j 0.00261328-0j 0.00262355-0j -3.94533e-06-0j 0.000656736-0j -3.96084e-06-0j 0.000659318-0j 3.84972e-05-0j 3.86485e-05-0j -1.83792e-08-0j -1.84515e-08-0j 0.000158656-0j -3.3047e-06-0j -0.000223096-0j -0.00609082-0j 0.000126868-0j -0.00189604-0j 0.00856465-0j 1.32214e-05-0j 2.86251e-06-0j 3.94933e-05-0j -2.75392e-07-0j -0.000316007-0j 0.00266614-0j -5.96241e-08-0j -0.000337514-0j -1.85913e-05-0j 2.75445e-07-0j -4.02514e-06-0j -5.61549e-05-0j 6.58222e-06-0j 7.03018e-06-0j 0.000444356-0j -5.73733e-09-0j -2.32761e-06-0j 0.000474597-0j 1.16967e-06-0j -3.87319e-07-0j 9.07327e-10-0j 4.84826e-08-0j 7.89626e-05-0j -1.8899e-11-0j 3.27299e-06-0j -1.27584e-09-0j 
-0.000226499-0j 0.003828-0j -3.33664e-06-0j 0.000384861-0j 6.41434e-05-0j -0.00754995-0j -0.000766555-0j 4.72461e-07-0j 0.0302429-0j 0.0274348-0j -2.01006e-05-0j -1.82343e-05-0j 0.00156908-0j 0.00142339-0j -2.36888e-06-0j 0.000394321-0j -2.14893e-06-0j 0.000357709-0j 2.31147e-05-0j 2.09685e-05-0j -1.10354e-08-0j -1.00107e-08-0j -9.25496e-05-0j 0.000223096-0j -0.000256808-0j 0.00355298-0j -0.00856465-0j 0.00110603-0j 0.00985886-0j -7.71246e-06-0j -1.6698e-06-0j -0.00266614-0j 1.85913e-05-0j 0.000184338-0j 0.00306902-0j 4.02514e-06-0j 0.000196883-0j -2.14007e-05-0j -1.60676e-07-0j -4.63338e-06-0j 3.2757e-05-0j -0.000444356-0j -0.000474597-0j 0.000511503-0j 3.87319e-07-0j 1.35778e-06-0j 0.000546314-0j -7.89626e-05-0j -4.45847e-07-0j -5.29274e-10-0j -3.27299e-06-0j 9.08948e-05-0j 1.27584e-09-0j 3.76758e-06-0j -1.46864e-09-0j 
-5.60439e-05-0j 0.000944182-0j -0.0112474-0j -8.46967e-07-0j 1.34529e-05-0j -8.64432e-08-0j -7.84404e-05-0j -2.85287e-05-0j -0.00727014-0j -0.00729873-0j -0.000460502-0j -0.000462313-0j 3.94533e-06-0j 3.96084e-06-0j 0.0025315-0j -4.69998e-05-0j 0.00254145-0j -4.71846e-05-0j 0.000791785-0j 0.000794898-0j 0.000121737-0j 0.000122216-0j -2.29001e-05-0j 4.76993e-07-0j 3.22011e-05-0j -0.0837833-0j 0.00174515-0j -2.86251e-06-0j 0.117812-0j -1.90834e-06-0j -0.00183671-0j 5.96241e-08-0j 3.97494e-08-0j 4.54672e-05-0j 4.02514e-06-0j 3.82574e-05-0j -1.68675e-07-0j 2.68343e-06-0j -0.00054162-0j 0.00258271-0j -0.000187459-0j -9.4705e-07-0j 3.51338e-09-0j -6.3934e-05-0j 1.12816e-05-0j -9.6419e-05-0j 2.37184e-07-0j 3.90463e-06-0j 0.000761602-0j -9.03357e-06-0j 2.00834e-06-0j 0.000263596-0j 1.88163e-07-0j 0.00013558-0j 1.27026e-05-0j 
5.06361e-05-0j 0.0403513-0j -0.000107007-0j -0.00854325-0j -0.000347091-0j -0.000866452-0j 0.0083839-0j -1.03889e-05-0j 2.78464e-05-0j 2.8135e-05-0j 0.040984-0j 0.0414087-0j -0.000350784-0j -0.000354419-0j -5.04708e-05-0j 0.00415658-0j -5.09938e-05-0j 0.00419965-0j 0.000741298-0j 0.00074898-0j -5.91493e-07-0j -5.97622e-07-0j -4.06898e-05-0j 2.56031e-05-0j 1.49351e-05-0j 0.000303352-0j -0.000190877-0j -0.0940581-0j -0.000111345-0j -3.39082e-06-0j -0.0135331-0j 0.0591837-0j 2.13359e-06-0j -0.00382135-0j 0.0345238-0j 0.00851536-0j 8.65605e-05-0j 1.24459e-06-0j 1.01338e-05-0j 0.00496729-0j -0.00137252-0j 0.00240449-0j -5.4466e-05-0j 0.00140262-0j -6.37646e-06-0j -0.000114378-0j -3.17719e-05-0j 0.000863623-0j -3.7196e-06-0j 6.69951e-08-0j 7.19698e-05-0j 0.00050378-0j -4.2155e-08-0j 4.19824e-05-0j -2.45904e-08-0j 
-0.0511701-0j 6.2659e-05-0j 5.22158e-06-0j -0.00103613-0j -0.000128885-0j 5.46715e-07-0j 1.11598e-07-0j 6.57596e-09-0j -0.000189376-0j -0.000190121-0j 0.00591124-0j 0.00593448-0j 0.00360223-0j 0.00361639-0j 0.000519937-0j -3.11906e-06-0j 0.000521981-0j -3.13132e-06-0j -3.67585e-07-0j -3.6903e-07-0j -1.67779e-08-0j -1.68438e-08-0j 0.000144833-0j -3.01677e-06-0j -0.000203658-0j 2.29001e-05-0j -4.76993e-07-0j -0.00350184-0j -3.22011e-05-0j -0.00349683-0j -0.000505447-0j 7.29409e-05-0j 7.28366e-05-0j -0.000435595-0j 0.00492414-0j 1.05281e-05-0j 1.06679e-06-0j 0.0049171-0j -3.62996e-05-0j 0.000710738-0j 2.66699e-07-0j 9.07315e-06-0j -2.22206e-08-0j 0.000612516-0j 7.56096e-07-0j 2.22249e-08-0j -1.50008e-06-0j -5.55515e-09-0j 5.1043e-05-0j 8.28273e-10-0j -4.62929e-10-0j -3.7502e-07-0j -1.72523e-11-0j -3.12517e-08-0j -1.16468e-09-0j 
