-0.0044056-0j -0.000778808-0j -6.49007e-05-0j -0.00383076-0j -0.00063846-0j -0.000390975-0j -7.98074e-05-0j -4.7027e-06-0j -0.00240761-0j -0.00243256-0j -0.000388526-0j -0.000392552-0j -0.00031723-0j -0.000320518-0j -4.57882e-05-0j -3.96538e-05-0j -4.62628e-05-0j -4.00647e-05-0j -4.67324e-06-0j -4.72167e-06-0j -2.13303e-07-0j -2.15514e-07-0j -0.00178329-0j -0.0022067-0j -0.00128724-0j -0.000281962-0j -0.00034891-0j -0.000222911-0j -0.000203531-0j -0.000148607-0j -3.21744e-05-0j -0.000275838-0j -0.000183892-0j -3.71518e-05-0j -0.000160905-0j -3.98138e-05-0j -1.31351e-05-0j -0.00010727-0j -3.09598e-06-0j -2.32247e-05-0j -3.28378e-06-0j -4.5973e-05-0j -1.62539e-05-0j -2.68176e-05-0j -3.83108e-06-0j -2.73649e-07-0j -9.48144e-06-0j -4.06348e-06-0j -2.2348e-06-0j -1.01983e-08-0j -3.38623e-07-0j -2.37036e-06-0j -1.26197e-08-0j -1.9753e-07-0j -7.36151e-09-0j 
4.31009e-05-0j -0.00147377-0j 6.34937e-07-0j -0.000104494-0j 8.89071e-08-0j 0.00100794-0j -2.14964e-06-0j 6.54863e-10-0j 2.35541e-05-0j -2.31208e-05-0j -0.000744572-0j 0.000730872-0j -0.00060031-0j 0.000589264-0j 4.47956e-07-0j 0.00718206-0j -4.39714e-07-0j -0.00704991-0j -8.8434e-06-0j 8.68068e-06-0j 2.08679e-09-0j -2.0484e-09-0j 1.74463e-05-0j 3.07289e-07-0j -2.4649e-05-0j 2.7585e-06-0j 4.85867e-08-0j 0.0826298-0j -3.89735e-06-0j 1.45386e-06-0j -6.1659e-05-0j 0.0014554-0j 2.56074e-08-0j -7.03041e-05-0j -0.116744-0j -1.08603e-06-0j 0.00721177-0j -2.05408e-06-0j 3.02886e-08-0j 8.71151e-05-0j 0.000594756-0j -1.2383e-06-0j 0.000127024-0j 9.93293e-05-0j 5.33488e-10-0j -5.17838e-07-0j -0.0101892-0j 1.04757e-05-0j -4.27934e-08-0j 9.9772e-11-0j -9.12093e-09-0j -0.000840303-0j 1.75733e-12-0j 7.31629e-07-0j -1.40963e-10-0j 
-0.0118852-0j -0.000691152-0j 5.98624e-07-0j 5.02935e-07-0j -2.45164e-05-0j -9.92877e-06-0j -1.00811e-06-0j 6.17411e-10-0j 2.22071e-05-0j -2.17985e-05-0j 3.58365e-06-0j -3.51771e-06-0j 0.0823407-0j -0.0808256-0j -0.000123525-0j -7.07472e-05-0j 0.000121252-0j 6.94455e-05-0j -4.14727e-06-0j 4.07096e-06-0j 1.96745e-09-0j -1.93125e-09-0j 1.64485e-05-0j 2.89715e-07-0j -2.32393e-05-0j 2.60073e-06-0j 4.5808e-08-0j -0.000197822-0j -3.67446e-06-0j 0.0582268-0j 2.96767e-07-0j -3.48433e-06-0j 0.00102557-0j 0.00964316-0j 0.000279493-0j 5.22709e-09-0j -3.52126e-05-0j -0.0822658-0j -8.35218e-06-0j -4.19288e-07-0j -5.85867e-06-0j 0.000169849-0j -6.20216e-07-0j -0.0136244-0j -1.47111e-07-0j -2.42849e-07-0j 4.97502e-05-0j -1.03192e-07-0j 1.18004e-05-0j 9.40659e-11-0j -4.27742e-09-0j 8.27744e-06-0j 1.65683e-12-0j 3.4311e-07-0j -1.32901e-10-0j 
-8.79794e-06-0j -0.0143062-0j -0.0017769-0j 2.13298e-05-0j 1.73505e-06-0j 2.14964e-06-0j 0.00097652-0j -3.69102e-06-0j -4.80797e-06-0j 4.7195e-06-0j -0.0145305-0j 0.0142632-0j 6.09521e-05-0j -5.98306e-05-0j -0.000409102-0j -0.0014644-0j 0.000401575-0j 0.00143746-0j 0.0123103-0j -0.0120838-0j -1.96713e-05-0j 1.93094e-05-0j -3.5612e-06-0j -6.27251e-08-0j 5.03146e-06-0j 5.38329e-05-0j 9.48184e-07-0j -0.00838976-0j -7.6058e-05-0j -2.96767e-07-0j 0.0563109-0j -0.000147773-0j -5.22709e-09-0j -0.000682456-0j 0.0118535-0j 0.000991831-0j 7.62375e-06-0j 4.19288e-07-0j -8.4764e-05-0j -0.0795591-0j 0.00567508-0j -1.20204e-05-0j 1.34281e-07-0j 0.00096421-0j -1.49299e-06-0j 0.00145181-0j -1.07712e-05-0j 9.99578e-05-0j 0.000119759-0j -1.41371e-06-0j 2.55713e-05-0j -0.00801805-0j -2.49003e-08-0j -0.00205119-0j 1.99736e-06-0j 
0.00171548-0j 9.91279e-05-0j -0.0011846-0j -7.25924e-08-0j -0.000338312-0j -7.40893e-09-0j -6.76631e-06-0j -2.46068e-06-0j -3.20531e-06-0j 3.14634e-06-0j 4.94522e-05-0j -4.85423e-05-0j 0.000123525-0j -0.000121252-0j 0.0797695-0j 5.0472e-06-0j -0.0783018-0j -4.95433e-06-0j -8.52983e-05-0j 8.37288e-05-0j -1.31142e-05-0j 1.28729e-05-0j -2.37414e-06-0j -4.18167e-08-0j 3.3543e-06-0j 3.58886e-05-0j 6.32123e-07-0j -2.96767e-07-0j -5.07053e-05-0j -0.00840431-0j -0.000191645-0j -5.22709e-09-0j -0.000148029-0j -0.00138306-0j 4.19288e-07-0j -3.37553e-06-0j -1.74872e-08-0j 0.0118741-0j 0.0165279-0j 0.000270766-0j -1.95597e-05-0j -2.43605e-05-0j -3.08009e-10-0j 0.00195406-0j 0.000291113-0j -1.00596e-05-0j 2.47068e-08-0j -3.44513e-07-0j -0.0233514-0j -9.42471e-07-0j -1.77184e-07-0j 2.76349e-05-0j -1.66002e-08-0j 1.42127e-05-0j 1.33157e-06-0j 
5.18424e-07-0j -1.76151e-05-0j -0.0200191-0j -1.25687e-06-0j -2.05547e-07-0j 6.54863e-10-0j 3.69102e-06-0j 0.000945157-0j 2.83312e-07-0j -2.78099e-07-0j 0.0017214-0j -0.00168972-0j 3.73297e-08-0j -3.66428e-08-0j 0.000148777-0j -8.96893e-07-0j -0.000146039-0j 8.8039e-07-0j -0.0014415-0j 0.00141498-0j 0.0157241-0j -0.0154348-0j 2.09846e-07-0j 3.69611e-09-0j -2.96481e-07-0j -6.37745e-06-0j -1.12329e-07-0j -5.13825e-06-0j 9.01039e-06-0j 1.74872e-08-0j -0.0204784-0j -9.05024e-08-0j 3.08009e-10-0j -8.40302e-07-0j 7.25959e-06-0j -0.000360695-0j 1.54566e-09-0j -2.47068e-08-0j -0.000954981-0j 0.028933-0j 1.06698e-05-0j -1.48006e-08-0j 2.72244e-11-0j 1.18722e-06-0j -1.68205e-05-0j 0.00386392-0j -2.18379e-09-0j 1.87932e-07-0j 0.00134925-0j 0.00228733-0j 6.80571e-05-0j -1.50748e-05-0j 4.02877e-05-0j -0.00545915-0j -0.00323165-0j 
0.00104692-0j -0.0116189-0j 1.52287e-05-0j -8.89071e-08-0j -0.000102152-0j -0.00016799-0j -3.42528e-05-0j 2.09786e-08-0j -3.92569e-06-0j 3.85346e-06-0j 2.99664e-05-0j -2.94151e-05-0j -0.0145815-0j 0.0143132-0j -0.00104027-0j 0.0566216-0j 0.00102113-0j -0.0555798-0j -0.000212105-0j 0.000208203-0j 8.365e-08-0j -8.21109e-08-0j -2.90771e-06-0j -5.12149e-08-0j 4.10817e-06-0j 2.17473e-05-0j 3.83046e-07-0j 7.03041e-05-0j -3.07258e-05-0j 7.08706e-05-0j 5.01558e-06-0j 1.2383e-06-0j 1.24828e-06-0j 0.0807779-0j -9.93293e-05-0j 8.83418e-08-0j -0.00120196-0j -0.00010013-0j -0.000105875-0j -7.08628e-06-0j 0.00947695-0j 0.00142278-0j -2.11707e-05-0j -0.114127-0j -1.86482e-06-0j -1.6589e-05-0j 0.0016982-0j 0.000166922-0j 0.000149585-0j 4.80261e-09-0j -2.92189e-07-0j -0.0133895-0j 8.45906e-11-0j 2.34378e-05-0j -6.78538e-09-0j 
-1.79587e-06-0j 0.000123132-0j -2.64557e-08-0j -2.22268e-08-0j -3.70446e-09-0j -0.000255502-0j 1.796e-07-0j -2.7286e-11-0j -9.81423e-07-0j 9.63365e-07-0j -1.58376e-07-0j 1.55462e-07-0j 5.01551e-05-0j -4.92323e-05-0j -1.86648e-08-0j -0.00182058-0j 1.83214e-08-0j 0.00178708-0j 7.38855e-07-0j -7.2526e-07-0j -8.69497e-11-0j 8.53498e-11-0j -7.26928e-07-0j -1.28037e-08-0j 1.02704e-06-0j -1.14937e-07-0j -2.02444e-09-0j 3.52429e-05-0j 1.6239e-07-0j -6.05773e-08-0j -1.31154e-08-0j 6.20749e-07-0j -1.06698e-09-0j 5.87382e-06-0j -4.9793e-05-0j -2.31007e-10-0j 0.116244-0j 8.55868e-08-0j -1.26203e-09-0j 1.85301e-08-0j -0.000150764-0j 1.03458e-07-0j 0.00204747-0j -8.29884e-06-0j -2.22287e-11-0j 4.32647e-08-0j -0.164236-0j -2.65548e-06-0j 1.78306e-09-0j -4.15717e-12-0j 7.62042e-10-0j 0.000213008-0j -7.32221e-14-0j -6.11267e-08-0j 5.87346e-12-0j 
-0.000123381-0j 0.00207213-0j -0.00791451-0j 1.04778e-08-0j 3.66254e-05-0j -2.06849e-07-0j -0.000287942-0j -3.3717e-05-0j 4.62647e-07-0j -4.54135e-07-0j -1.07441e-05-0j 1.05464e-05-0j 0.000854783-0j -0.000839055-0j -0.0175806-0j 0.000212105-0j 0.0172572-0j -0.000208203-0j 0.0548316-0j -0.0538228-0j -0.000271447-0j 0.000266452-0j 3.42677e-07-0j 6.03573e-09-0j -4.84152e-07-0j -7.7972e-06-0j -1.37336e-07-0j -4.12129e-06-0j 1.10163e-05-0j -8.35218e-06-0j 8.4764e-05-0j -7.25902e-08-0j -1.47111e-07-0j -0.014406-0j 5.82277e-06-0j 1.49299e-06-0j -7.33596e-07-0j 1.18004e-05-0j 0.055024-0j -0.000119759-0j -0.00167338-0j -0.00025374-0j -1.29212e-08-0j 0.0203536-0j 0.000969163-0j 0.0132621-0j 1.03646e-06-0j -2.94741e-05-0j -0.0777408-0j -2.60924e-05-0j 0.000233591-0j 0.00236424-0j -4.59578e-07-0j -0.0187374-0j 3.68648e-05-0j 
5.18424e-07-0j 0.00254653-0j 0.000104705-0j 6.41632e-09-0j -1.02239e-07-0j 3.67516e-05-0j -0.000173822-0j 2.17495e-07-0j 2.83312e-07-0j -2.78099e-07-0j -4.371e-06-0j 4.29058e-06-0j -1.08496e-05-0j 1.06499e-05-0j 2.41066e-05-0j -0.0250364-0j -2.3663e-05-0j 0.0245757-0j -0.00219126-0j 0.00215094-0j 1.15915e-06-0j -1.13782e-06-0j 2.09846e-07-0j 3.69611e-09-0j -2.96481e-07-0j -3.17213e-06-0j -5.58723e-08-0j -7.62375e-06-0j 4.48176e-06-0j 1.74872e-08-0j 1.69392e-05-0j -1.34281e-07-0j 3.08009e-10-0j 0.000121478-0j 1.07712e-05-0j 2.98357e-07-0j -0.00825866-0j -2.47068e-08-0j 4.99477e-06-0j -2.39325e-05-0j 0.0970247-0j 2.13965e-06-0j -0.000145464-0j -0.000171631-0j 8.79752e-08-0j -0.000258424-0j 0.0116683-0j 0.00170894-0j -7.05687e-06-0j 8.33034e-08-0j -4.55174e-06-0j -0.137082-0j 1.46726e-09-0j 0.000365115-0j -1.17695e-07-0j 
5.63155e-06-0j 1.6429e-06-0j 0.00376978-0j -4.78244e-10-0j -2.79393e-06-0j -4.88106e-11-0j -4.60118e-07-0j -0.000367792-0j -2.11169e-08-0j 2.07283e-08-0j 8.19599e-07-0j -8.04519e-07-0j 4.05506e-07-0j -3.98045e-07-0j 0.00270294-0j 8.365e-08-0j -0.00265321-0j -8.21109e-08-0j 0.000271447-0j -0.000266452-0j 0.0530451-0j -0.0520691-0j -1.5641e-08-0j -2.75492e-10-0j 2.20984e-08-0j 5.94802e-07-0j 1.04765e-08-0j -1.95512e-09-0j -8.40367e-07-0j 3.81223e-07-0j -1.30321e-05-0j -3.44365e-11-0j 6.71466e-09-0j -1.14219e-05-0j 2.7623e-09-0j -2.2954e-07-0j -1.15207e-10-0j -5.38612e-07-0j -0.0262086-0j 1.84124e-05-0j -1.33008e-06-0j -2.0118e-07-0j -2.02919e-12-0j 1.61375e-05-0j -0.000461624-0j -0.00150358-0j 1.6277e-10-0j -2.34274e-08-0j 0.0370289-0j 0.0160693-0j -2.64832e-05-0j 1.87921e-06-0j 0.000283037-0j 0.00212434-0j -0.0227036-0j 
-5.29114e-08-0j -0.000347752-0j 0.00204319-0j -6.54863e-10-0j 2.09786e-08-0j -1.23736e-06-0j 7.28668e-05-0j -9.64647e-05-0j -2.89154e-08-0j 2.83834e-08-0j 8.96893e-07-0j -8.8039e-07-0j 7.3695e-07-0j -7.2339e-07-0j -1.51845e-05-0j 0.00169468-0j 1.49051e-05-0j -0.0016635-0j -0.0284576-0j 0.027934-0j -0.00160484-0j 0.00157531-0j -2.14173e-08-0j -3.77233e-10-0j 3.02595e-08-0j 6.50895e-07-0j 1.14645e-08-0j 5.17838e-07-0j -9.19619e-07-0j -1.78478e-09-0j -1.06698e-05-0j 9.12093e-09-0j -3.14361e-11-0j -1.6589e-05-0j -7.31629e-07-0j -1.87932e-07-0j -8.85329e-06-0j 2.52163e-09-0j 9.74673e-05-0j 1.50748e-05-0j -0.0201606-0j -2.92189e-07-0j -1.55937e-07-0j 2.34378e-05-0j 1.71674e-06-0j 0.0762803-0j 1.25084e-05-0j -0.000355097-0j -0.000137707-0j -0.000233449-0j 0.00134356-0j 0.0284839-0j -4.11185e-06-0j -0.107773-0j 0.000329829-0j 
2.78868e-09-0j 1.36988e-05-0j -0.000546972-0j 3.45143e-11-0j -1.66138e-09-0j -6.8137e-10-0j -4.80233e-06-0j 8.07575e-05-0j 1.52398e-09-0j -1.49594e-09-0j -7.10286e-08-0j 6.97217e-08-0j -1.93199e-08-0j 1.89645e-08-0j 2.01188e-06-0j 1.40222e-06-0j -1.97487e-06-0j -1.37642e-06-0j 0.00378942-0j -0.00371969-0j -0.0242559-0j 0.0238096-0j 1.12879e-09-0j 1.98819e-11-0j -1.59482e-09-0j -5.1547e-08-0j -9.07922e-10-0j -1.35757e-08-0j 7.28284e-08-0j 9.40659e-11-0j 1.41371e-06-0j -2.39115e-10-0j 1.65683e-12-0j 6.53478e-07-0j 1.91804e-08-0j 2.49003e-08-0j -2.41649e-09-0j -1.32901e-10-0j -2.60924e-05-0j -1.99736e-06-0j -2.79089e-05-0j 1.151e-08-0j -4.25628e-11-0j -9.23268e-07-0j -4.59578e-07-0j -0.0317648-0j 3.41415e-09-0j -4.91572e-07-0j 3.68648e-05-0j 0.0518854-0j -0.000559487-0j 3.94312e-05-0j 0.000913882-0j 0.0448789-0j -0.0733065-0j 
-7.60674e-11-0j 5.18272e-09-0j 4.19939e-05-0j -9.41455e-13-0j 6.0476e-11-0j -9.60868e-14-0j -2.54749e-09-0j -1.03953e-05-0j -4.15699e-11-0j 4.0805e-11-0j 2.58552e-09-0j -2.53795e-09-0j -5.47732e-12-0j 5.37653e-12-0j -1.02684e-07-0j 2.63884e-10-0j 1.00794e-07-0j -2.59028e-10-0j 3.02381e-06-0j -2.96818e-06-0j 0.00634043-0j -0.00622376-0j -3.07903e-11-0j -5.42324e-13-0j 4.35022e-11-0j 1.87637e-09-0j 3.30494e-11-0j -3.84879e-12-0j -2.65104e-09-0j -2.56586e-12-0j -7.21536e-08-0j -6.77905e-14-0j -4.51937e-14-0j 2.47234e-10-0j 5.43777e-12-0j -1.27088e-09-0j -2.26792e-13-0j 3.62518e-12-0j 2.00325e-06-0j 1.01942e-07-0j -7.36415e-09-0j 4.35464e-12-0j -3.99459e-15-0j -3.49305e-10-0j 3.52842e-08-0j -4.24972e-05-0j 3.20424e-13-0j -1.29708e-10-0j -2.8303e-06-0j -0.0432421-0j -7.48523e-07-0j 1.04045e-08-0j -0.000761643-0j 6.00423e-05-0j 0.0610947-0j 
