-0.0831455-0j -0.00843285-0j -0.00852024-0j -0.00483821-0j -0.000698336-0j -0.00598698-0j -0.00349241-0j -0.000864146-0j -0.000504085-0j 0.495473-0j -0.000600989-0j 0.578052-0j -5.00824e-05-0j 0.353983-0j 0.505796-0j -0.000701153-0j -0.000429367-0j 0.20863-0j -5.84294e-05-0j -0.000613509-0j -3.57806e-05-0j -0.00025306-0j -5.11258e-05-0j -2.10883e-05-0j -0.00261691-0j 0.0635647-0j -0.00295611-0j -0.000267087-0j -5.45189e-05-0j -0.00241365-0j -3.21255e-06-0j 0.0718039-0j -0.00243867-0j -0.00211195-0j -0.000301707-0j 0.0586277-0j -0.00174227-0j -6.15856e-05-0j -0.000246342-0j 0.0592352-0j -0.000556663-0j -3.62897e-06-0j -0.000248895-0j 0.0512992-0j -5.02844e-05-0j -0.00021555-0j 0.0423197-0j -5.08055e-05-0j -2.96304e-06-0j -4.39989e-05-0j -0.000177819-0j 0.0135213-0j -2.99374e-06-0j -3.62972e-05-0j -5.68141e-05-0j -2.59266e-06-0j -1.15971e-05-0j -2.13883e-06-0j -6.83368e-07-0j 
-0.000592787-0j 0.00415614-0j 0.00414617-0j -0.00242339-0j -0.000349786-0j 4.19996e-05-0j 0.00342389-0j 6.06212e-06-0j 0.000494197-0j -0.00170286-0j -0.000301027-0j -2.8278e-05-0j -2.50855e-05-0j 0.00361072-0j -0.00166176-0j -4.99889e-06-0j 0.000638291-0j 0.00211026-0j -4.16574e-07-0j -0.000293761-0j 5.3191e-05-0j 0.000373045-0j -2.44801e-05-0j 3.10871e-05-0j -0.00131077-0j -0.000218462-0j -2.10756e-05-0j -0.00013378-0j -2.73077e-05-0j 0.00118957-0j -1.60912e-06-0j -3.51261e-06-0j 0.00118672-0j 4.46884e-05-0j -2.15102e-06-0j 0.000198262-0j -0.00168069-0j -4.39076e-07-0j 0.00012141-0j 0.000197787-0j 0.00109545-0j -2.58728e-08-0j 0.000121119-0j 7.44807e-06-0j 2.47827e-05-0j 4.56099e-06-0j -0.000280115-0j 2.47233e-05-0j 1.46034e-06-0j 9.31009e-07-0j -0.000171535-0j 0.000182576-0j 1.45684e-06-0j -3.50143e-05-0j 0.000111804-0j 5.48602e-08-0j 2.2822e-05-0j -2.06324e-06-0j 1.3448e-06-0j 
-0.0475501-0j 0.00246394-0j 0.00227989-0j 0.00141364-0j 0.000204042-0j -0.00342389-0j 0.00395099-0j -0.000494197-0j 0.000570276-0j 0.000993337-0j 0.000175599-0j -0.0022683-0j 1.46332e-05-0j 0.000709674-0j 0.000928663-0j -0.000400983-0j 0.000125454-0j 0.000486687-0j -3.34152e-05-0j 0.000164166-0j 1.04545e-05-0j 8.6035e-05-0j 1.36805e-05-0j 7.16958e-06-0j 0.000764616-0j 0.000127436-0j -0.00169057-0j 7.80383e-05-0j 1.59295e-05-0j 0.000705229-0j 9.38655e-07-0j -0.000281762-0j 0.000652551-0j -0.0012078-0j -0.000172543-0j 0.000117538-0j 0.00197104-0j -3.52202e-05-0j 7.19771e-05-0j 0.000108758-0j -0.00210736-0j -2.07537e-06-0j 6.66007e-05-0j -0.0002013-0j 1.46923e-05-0j -0.000123271-0j 0.000328507-0j 1.35948e-05-0j 8.6575e-07-0j -2.51625e-05-0j 0.000201169-0j -0.000351227-0j 8.01082e-07-0j 4.10634e-05-0j -0.000215081-0j -1.48272e-06-0j -4.39033e-05-0j 2.41968e-06-0j -2.58703e-06-0j 
-0.00532138-0j 0.0255296-0j 0.0257942-0j 0.000617657-0j -0.00852329-0j -0.000383172-0j -0.000223517-0j 0.00528754-0j 0.0030844-0j -0.000217584-0j 0.00181943-0j 0.000506349-0j 0.000461269-0j -0.000155449-0j -0.000222117-0j -0.00423409-0j 0.00129987-0j -9.16185e-05-0j -0.00107344-0j 0.00185734-0j 0.000329547-0j 0.000766113-0j 0.000470879-0j 0.000194228-0j -0.000167484-0j 0.0013204-0j -0.000189193-0j -1.70938e-05-0j 0.00033359-0j 0.000308132-0j 3.95196e-05-0j 0.00149155-0j 0.000311325-0j -0.000135166-0j -1.93095e-05-0j -0.00242924-0j -0.000111507-0j 0.00037683-0j 3.14486e-05-0j -0.00245441-0j -3.56269e-05-0j 4.46421e-05-0j 3.17745e-05-0j 0.00106562-0j -0.000613729-0j -1.37954e-05-0j 0.00087909-0j -0.000620089-0j -7.27069e-05-0j 0.000269221-0j -1.13806e-05-0j 0.000280874-0j -7.34604e-05-0j 0.000222096-0j -3.63615e-06-0j 3.18939e-05-0j 7.09606e-05-0j 2.63111e-05-0j 8.40653e-06-0j 
9.37279e-05-0j 0.0310845-0j 0.03101-0j 0.000383172-0j -0.00528754-0j -6.64072e-06-0j -0.000541365-0j 9.1638e-05-0j 0.00747052-0j 0.000269246-0j -0.00225143-0j 4.47114e-06-0j -0.000570791-0j -0.000570905-0j 0.000262748-0j -3.73876e-05-0j 0.0047739-0j -0.000333662-0j -9.47864e-06-0j -0.00219709-0j 0.0012103-0j 0.00279007-0j -0.000557014-0j 0.000707349-0j 0.000207251-0j -0.00163392-0j 3.33235e-06-0j 2.11525e-05-0j -0.000412797-0j -0.000188088-0j -4.8903e-05-0j -2.62715e-05-0j -0.000187637-0j -7.06586e-06-0j 3.40107e-07-0j 0.00148284-0j 0.00026574-0j -6.63729e-06-0j -1.91966e-05-0j 0.00147928-0j -0.000173206-0j -7.86303e-07-0j -1.91506e-05-0j 5.57055e-05-0j 0.000374628-0j -7.21156e-07-0j -0.00209503-0j 0.00037373-0j 4.43812e-05-0j 1.40736e-05-0j 2.7122e-05-0j 0.00136552-0j 4.42748e-05-0j -0.000529294-0j -1.76778e-05-0j 1.66726e-06-0j 0.000344988-0j -6.27041e-05-0j 4.08698e-05-0j 
-0.00420692-0j -0.000426678-0j -0.000431099-0j -0.0469813-0j 7.04801e-05-0j 0.0291455-0j 0.0170015-0j -4.37233e-05-0j -2.55053e-05-0j -0.000172015-0j 0.0029257-0j 0.000400304-0j -2.53402e-06-0j -0.000122894-0j -0.000175599-0j -0.00680853-0j 0.00209022-0j -7.24308e-05-0j 5.89704e-06-0j 0.00298665-0j -1.81039e-06-0j 0.00123193-0j -2.58681e-06-0j -1.06701e-06-0j 0.0259369-0j -2.2068e-05-0j 0.0292989-0j 0.00261395-0j 0.000265406-0j -0.047718-0j -1.62546e-07-0j -2.49284e-05-0j -0.0482125-0j 0.0209321-0j 0.00295277-0j 4.06e-05-0j 0.0172681-0j 0.000299808-0j -0.00480907-0j 4.10207e-05-0j 0.00551725-0j -1.83615e-07-0j -0.0048589-0j -1.78097e-05-0j -0.000488286-0j 0.00210956-0j -1.46923e-05-0j -0.000493346-0j 2.99047e-07-0j 0.000214193-0j 0.0017403-0j -4.69425e-06-0j 3.02146e-07-0j 0.0001767-0j 0.000556034-0j -1.31181e-07-0j 5.64566e-05-0j -1.08219e-07-0j -3.45764e-08-0j 
0.00751833-0j 0.0184283-0j 0.0170517-0j -0.000223517-0j 0.0030844-0j 0.000541365-0j -0.000624706-0j -0.00747052-0j 0.00862057-0j -0.00015706-0j 0.00131334-0j 0.00035865-0j 0.000332962-0j -0.000112209-0j -0.000146834-0j -0.00299902-0j 0.000938293-0j -7.6952e-05-0j -0.000760323-0j 0.00122783-0j 0.000237879-0j 0.000643472-0j 0.000311283-0j 0.000163135-0j -0.000120896-0j 0.000953118-0j 0.000267302-0j -1.23389e-05-0j 0.000240798-0j -0.000111507-0j 2.85268e-05-0j -0.00210735-0j -0.000103177-0j 0.00019097-0j 2.72814e-05-0j 0.00087909-0j -0.000311649-0j -0.000532406-0j -1.13806e-05-0j 0.000813425-0j 0.000333203-0j -6.30728e-05-0j -1.05305e-05-0j -0.00150556-0j 0.000222096-0j 1.94908e-05-0j 0.00245696-0j 0.000205506-0j 2.63111e-05-0j -0.000380369-0j -3.18075e-05-0j -0.00262689-0j 2.43458e-05-0j 0.000620734-0j 3.40074e-05-0j -4.50614e-05-0j -0.000663664-0j 7.35368e-05-0j -7.86226e-05-0j 
-0.00280461-0j -0.000284452-0j -0.0002874-0j 0.000325534-0j 4.69867e-05-0j -0.000201949-0j -0.000117804-0j -2.91489e-05-0j -1.70035e-05-0j 0.0335407-0j -2.02722e-05-0j -0.078054-0j -1.68935e-06-0j 0.0239626-0j 0.0342394-0j 4.71763e-05-0j -1.44831e-05-0j 0.0141231-0j 3.93136e-06-0j -2.06945e-05-0j -1.20693e-06-0j -8.53605e-06-0j -1.72454e-06-0j -7.11338e-07-0j -8.82719e-05-0j 0.00430296-0j -9.97137e-05-0j -9.00921e-06-0j -1.839e-06-0j 0.0001624-0j -1.08364e-07-0j 0.00486071-0j 0.000164083-0j -7.12389e-05-0j -1.0177e-05-0j -0.00791646-0j -5.87691e-05-0j -2.07737e-06-0j 1.65749e-05-0j -0.0079985-0j -1.8777e-05-0j -1.2241e-07-0j 1.67466e-05-0j 0.00347266-0j 3.38333e-06-0j -7.27079e-06-0j 0.0028648-0j 3.41839e-06-0j 1.99365e-07-0j -1.48414e-06-0j -5.9981e-06-0j 0.000915317-0j 2.01431e-07-0j -1.22436e-06-0j -1.91642e-06-0j -8.7454e-08-0j -3.91188e-07-0j -7.21459e-08-0j -2.3051e-08-0j 
0.000607217-0j -0.0058879-0j -0.00594891-0j -7.04801e-05-0j -0.0455143-0j 4.37233e-05-0j 2.55053e-05-0j 0.0282354-0j 0.0164707-0j 2.48282e-05-0j -0.000419616-0j -5.77789e-05-0j 0.0050145-0j 1.77382e-05-0j 2.53455e-05-0j 0.000976507-0j -0.000299788-0j 1.04545e-05-0j -0.0116695-0j -0.000428358-0j 0.00358253-0j -0.000176689-0j 0.00511896-0j 0.00211147-0j -0.00374367-0j -0.000304525-0j -0.00422893-0j 1.95055e-06-0j 0.00178137-0j 0.00688749-0j 0.000647823-0j -0.000343997-0j 0.00695887-0j -0.00302129-0j 2.20338e-06-0j 0.000560255-0j -0.00249244-0j 0.00201227-0j -3.58856e-06-0j 0.000566061-0j -0.000796346-0j 0.000731794-0j -3.62575e-06-0j -0.000245764-0j -0.00327731-0j 1.57417e-06-0j -0.000202745-0j -0.00331127-0j -0.00119185-0j 0.00143763-0j 1.29863e-06-0j -6.47779e-05-0j -0.0012042-0j 0.00118599-0j 4.14917e-07-0j 0.000522819-0j 0.000378929-0j 0.000431304-0j 0.000137804-0j 
7.40984e-05-0j -0.000519517-0j -0.000518272-0j -0.0291455-0j 4.37233e-05-0j 0.000505119-0j 0.0411783-0j -7.57765e-07-0j -6.17746e-05-0j 0.000212858-0j -0.00362037-0j 3.53475e-06-0j 3.13569e-06-0j -0.00045134-0j 0.00020772-0j -6.01204e-05-0j 0.00767657-0j -0.000263783-0j 5.20717e-08-0j -0.00353299-0j -6.64887e-06-0j 0.00448652-0j 3.06001e-06-0j -3.88589e-06-0j -0.0320953-0j 2.73077e-05-0j -0.000516055-0j -0.0032346-0j -0.000328423-0j 0.0291276-0j 2.0114e-07-0j 4.39076e-07-0j 0.0290578-0j 0.00109423-0j -5.20085e-05-0j -2.47827e-05-0j -0.0411531-0j -5.28065e-06-0j 0.00293551-0j -2.47233e-05-0j 0.0268231-0j 3.2341e-09-0j 0.00292848-0j -9.31009e-07-0j 0.000298056-0j 0.000110278-0j 3.50143e-05-0j 0.000297341-0j -1.82542e-07-0j 1.1197e-05-0j -0.00414745-0j -2.2822e-05-0j -1.82104e-07-0j -0.000421109-0j 0.00270326-0j -6.85753e-09-0j 0.000274474-0j 2.57905e-07-0j -1.681e-07-0j 
4.9399e-05-0j -0.000346345-0j -0.000345515-0j 0.000201949-0j 2.91489e-05-0j -3.49997e-06-0j -0.000285325-0j -5.05177e-07-0j -4.11831e-05-0j -0.0415045-0j 2.50855e-05-0j -0.000689229-0j 2.09046e-06-0j 0.0880054-0j -0.0405027-0j 4.16574e-07-0j -5.3191e-05-0j 0.0514341-0j 3.47145e-08-0j 2.44801e-05-0j -4.43258e-06-0j -3.10871e-05-0j 2.04001e-06-0j -2.59059e-06-0j 0.000109231-0j -0.00532464-0j 1.7563e-06-0j 1.11483e-05-0j 2.27564e-06-0j -9.91309e-05-0j 1.34094e-07-0j -8.5614e-05-0j -9.88933e-05-0j -3.72404e-06-0j 1.79252e-07-0j 0.0048323-0j 0.000140057-0j 3.65897e-08-0j -1.01175e-05-0j 0.00482072-0j -9.12878e-05-0j 2.15607e-09-0j -1.00933e-05-0j 0.000181534-0j -2.06523e-06-0j -3.80083e-07-0j -0.00682733-0j -2.06028e-06-0j -1.21695e-07-0j -7.75841e-08-0j 1.42945e-05-0j 0.00444998-0j -1.21403e-07-0j 2.91786e-06-0j -9.31702e-06-0j -4.57169e-09-0j -1.90183e-06-0j 1.71937e-07-0j -1.12066e-07-0j 
0.000701153-0j -0.00336382-0j -0.00339868-0j 0.00783022-0j 0.00112304-0j -0.00485759-0j -0.00283359-0j -0.000696695-0j -0.000406405-0j -0.00417825-0j 0.0230655-0j 0.00972339-0j -6.07775e-05-0j -0.00298509-0j -0.0042653-0j -0.0536768-0j 0.0164788-0j -0.00175935-0j 0.000141438-0j 0.023546-0j -4.34216e-05-0j 0.00971225-0j -6.20437e-05-0j -2.55917e-05-0j 2.2068e-05-0j 0.0253556-0j 2.49284e-05-0j -0.000435658-0j 0.00422903-0j -4.06e-05-0j -5.20716e-06-0j 0.0286422-0j -4.10207e-05-0j 1.78097e-05-0j -0.000492128-0j -0.0466485-0j 1.46923e-05-0j 0.00477719-0j 0.000801511-0j -0.0471319-0j 4.69425e-06-0j -5.88212e-06-0j 0.000809817-0j 0.020463-0j -0.00778043-0j -0.000351594-0j 0.0168811-0j -0.00786106-0j 9.57998e-06-0j 0.00341299-0j -0.00029005-0j 0.0053936-0j 9.67926e-06-0j 0.00281557-0j -9.26723e-05-0j -4.20239e-06-0j 0.000899589-0j -3.46679e-06-0j -1.10766e-06-0j 
0.00594376-0j -0.000307992-0j -0.000284986-0j 0.0170015-0j -2.55053e-05-0j -0.0411783-0j 0.0475175-0j 6.17746e-05-0j -7.12845e-05-0j -0.000124167-0j 0.00211188-0j 0.000283537-0j -1.82915e-06-0j -8.87093e-05-0j -0.000116083-0j -0.00482252-0j 0.0015088-0j -6.08359e-05-0j 4.1769e-06-0j 0.00197438-0j -1.30681e-06-0j 0.00103472-0j -1.71006e-06-0j -8.96198e-07-0j 0.0187223-0j -1.59295e-05-0j -0.041395-0j 0.00188685-0j 0.00019158-0j 0.0172681-0j -1.17332e-07-0j 3.52202e-05-0j 0.0159782-0j -0.029574-0j -0.00417183-0j -1.46923e-05-0j 0.0482626-0j -0.000423584-0j 0.0017403-0j -1.35948e-05-0j -0.0516004-0j 2.59421e-07-0j 0.0016103-0j 2.51625e-05-0j 0.0001767-0j -0.0029805-0j -4.10634e-05-0j 0.000163501-0j -1.08219e-07-0j -0.000302623-0j 0.00486395-0j 4.39033e-05-0j -1.00135e-07-0j 0.000493859-0j -0.00520035-0j 1.85339e-07-0j -0.000528014-0j -3.0246e-07-0j 3.23378e-07-0j 
-1.06952e-05-0j -0.00716903-0j -0.00715184-0j -4.37233e-05-0j -0.0282354-0j 7.57765e-07-0j 6.17746e-05-0j 0.000489346-0j 0.0398925-0j -3.07234e-05-0j 0.000519248-0j -5.10197e-07-0j -0.00620512-0j 6.51454e-05-0j -2.99818e-05-0j 8.62271e-06-0j -0.00110101-0j 3.80737e-05-0j -0.000103043-0j 0.000506716-0j 0.0131572-0j -0.000643475-0j -0.00605535-0j 0.00768965-0j 0.00463256-0j 0.00037683-0j 7.44861e-05-0j -2.41368e-06-0j -0.00220433-0j -0.00420421-0j -0.000801641-0j 6.05899e-06-0j -0.00419413-0j -0.000157939-0j -3.88092e-08-0j -0.000341987-0j 0.00593993-0j -3.5443e-05-0j 2.1905e-06-0j -0.000341167-0j -0.00387158-0j -1.28894e-05-0j 2.18525e-06-0j -1.28474e-05-0j 0.00200051-0j 8.22903e-08-0j 0.000483177-0j 0.00199571-0j 0.000727517-0j 7.51528e-05-0j -3.09486e-06-0j -0.000314929-0j 0.000725774-0j -0.00282642-0j 2.01719e-06-0j 2.73305e-05-0j 0.00184223-0j -0.00102788-0j 0.000669957-0j 
0.000247895-0j 2.51422e-05-0j 2.54028e-05-0j 0.00836275-0j -4.15308e-06-0j -0.00518795-0j -0.0030263-0j 2.57642e-06-0j 1.50291e-06-0j 1.01361e-05-0j -0.000520779-0j -2.35881e-05-0j 1.49319e-07-0j 7.24157e-06-0j 1.03473e-05-0j 0.00121193-0j -0.000372063-0j 4.26803e-06-0j -3.47486e-07-0j -0.000531629-0j 1.06678e-07-0j -0.000219286-0j 1.5243e-07-0j 6.2874e-08-0j 7.8022e-06-0j 1.30037e-06-0j 8.81353e-06-0j 0.0446897-0j -4.72427e-05-0j -1.43543e-05-0j 9.57811e-09-0j 1.46892e-06-0j -1.4503e-05-0j 6.29669e-06-0j 0.0504824-0j -2.39238e-06-0j 5.1945e-06-0j -5.33663e-05-0j -0.0822188-0j -2.41717e-06-0j 1.65967e-06-0j 1.08196e-08-0j -0.0830708-0j 1.04945e-06-0j 8.69156e-05-0j 0.0360664-0j 8.6575e-07-0j 8.78163e-05-0j -1.76215e-08-0j -3.81267e-05-0j 0.0297532-0j 2.76611e-07-0j -1.78041e-08-0j -3.14529e-05-0j 0.0095063-0j 7.72992e-09-0j -1.00494e-05-0j 6.37685e-09-0j 2.03744e-09-0j 
0.00396251-0j -0.000205328-0j -0.000189991-0j -0.000117804-0j -1.70035e-05-0j 0.000285325-0j -0.000329249-0j 4.11831e-05-0j -4.7523e-05-0j 0.0242109-0j -1.46332e-05-0j -0.0552861-0j -1.21944e-06-0j 0.0172971-0j 0.0226346-0j 3.34152e-05-0j -1.04545e-05-0j 0.0118622-0j 2.7846e-06-0j -1.36805e-05-0j -8.71207e-07-0j -7.16958e-06-0j -1.14004e-06-0j -5.97465e-07-0j -6.3718e-05-0j 0.00310604-0j 0.000140881-0j -6.50319e-06-0j -1.32746e-06-0j -5.87691e-05-0j -7.82212e-08-0j -0.00686747-0j -5.43792e-05-0j 0.00010065-0j 1.43786e-05-0j 0.0028648-0j -0.000164253-0j 2.93502e-06-0j -5.9981e-06-0j 0.00265081-0j 0.000175613-0j 1.72947e-07-0j -5.55006e-06-0j -0.00490636-0j -1.22436e-06-0j 1.02726e-05-0j 0.00800681-0j -1.1329e-06-0j -7.21459e-08-0j 2.09688e-06-0j -1.6764e-05-0j -0.00856057-0j -6.67568e-08-0j -3.42195e-06-0j 1.79235e-05-0j 1.2356e-07-0j 3.65861e-06-0j -2.0164e-07-0j 2.15586e-07-0j 
-5.84294e-05-0j 0.000852808-0j 0.000861645-0j 6.78195e-06-0j 0.0134206-0j -4.20728e-06-0j -2.45424e-06-0j -0.00832564-0j -0.00485663-0j 0.000348188-0j 6.07775e-05-0j -0.000810283-0j 0.0223351-0j 0.000248757-0j 0.000355441-0j -0.000141438-0j 4.34216e-05-0j 0.000146612-0j -0.0519771-0j 6.20437e-05-0j 0.015957-0j 2.55917e-05-0j 0.0228005-0j 0.00940471-0j -1.839e-06-0j -0.00642825-0j -2.07737e-06-0j -1.87692e-07-0j -0.000525264-0j 3.38333e-06-0j 0.0059178-0j -0.00726148-0j 3.41839e-06-0j -1.48414e-06-0j -2.12021e-07-0j 0.0118265-0j -1.22436e-06-0j -0.000593348-0j 3.4531e-07-0j 0.0119491-0j -3.91188e-07-0j 0.00668486-0j 3.48888e-07-0j -0.00518785-0j 0.000966364-0j -1.51475e-07-0j -0.00427976-0j 0.000976378-0j -0.0108874-0j -0.000423908-0j -1.2496e-07-0j -0.0013674-0j -0.0110002-0j -0.000349707-0j -3.99254e-08-0j 0.0047759-0j -0.000111733-0j 0.00393991-0j 0.00125882-0j 
-0.000857908-0j -0.00425011-0j -0.00393264-0j 2.55053e-05-0j 0.0164707-0j -6.17746e-05-0j 7.12845e-05-0j -0.0398925-0j 0.0460338-0j 1.7922e-05-0j -0.000302895-0j -4.09251e-05-0j 0.00361965-0j 1.28041e-05-0j 1.67551e-05-0j 0.000691665-0j -0.000216399-0j 8.78091e-06-0j -0.00826554-0j -0.000283174-0j 0.00258601-0j -0.000148404-0j 0.00338399-0j 0.00177346-0j -0.00270233-0j -0.000219818-0j 0.00597485-0j 1.40798e-06-0j 0.00128586-0j -0.00249244-0j 0.000467624-0j 0.000486018-0j -0.00230626-0j 0.00426864-0j -3.11305e-06-0j -0.000202745-0j -0.0069661-0j -0.00284304-0j 1.29863e-06-0j -0.0001876-0j 0.00744788-0j -0.00103392-0j 1.20162e-06-0j 0.000347228-0j 0.00118599-0j -2.22407e-06-0j -0.00056665-0j 0.0010974-0j 0.000431304-0j -0.00203117-0j 3.62952e-06-0j 0.00060584-0j 0.000399087-0j 0.00331471-0j -3.88054e-06-0j -0.000738666-0j -0.00354396-0j 0.00120545-0j -0.00128882-0j 
-6.19738e-05-0j 0.000600931-0j 0.000607158-0j -0.00139139-0j 0.00464528-0j 0.00086317-0j 0.000503516-0j -0.00288177-0j -0.00168103-0j -2.53402e-06-0j -0.00828392-0j 5.89704e-06-0j -0.00051179-0j -1.81039e-06-0j -2.58681e-06-0j 0.0192779-0j -0.00591832-0j -1.06701e-06-0j 0.00119101-0j -0.0084565-0j -0.00036564-0j -0.00348813-0j -0.000522452-0j -0.000215501-0j -1.95055e-06-0j 3.10804e-05-0j -2.20338e-06-0j -0.00368557-0j 0.0351672-0j 3.58856e-06-0j -6.61182e-05-0j 3.51091e-05-0j 3.62575e-06-0j -1.57417e-06-0j -0.00416329-0j -5.71808e-05-0j -1.29863e-06-0j 0.0397255-0j 0.0067806-0j -5.77734e-05-0j -4.14917e-07-0j -7.46884e-05-0j 0.00685087-0j 2.50831e-05-0j -0.0646995-0j -0.0029744-0j 2.06925e-05-0j -0.0653699-0j 0.000121642-0j 0.0283813-0j -0.00245376-0j 6.61137e-06-0j 0.000122903-0j 0.0234134-0j -0.000783987-0j -5.336e-05-0j 0.00748068-0j -4.40198e-05-0j -1.40645e-05-0j 
-1.23497e-05-0j -0.00409575-0j -0.00408593-0j 0.00485759-0j 0.000696695-0j -8.41865e-05-0j -0.00686305-0j -1.20744e-05-0j -0.000984327-0j 0.00517032-0j -0.0285421-0j 8.5859e-05-0j 7.52084e-05-0j -0.0109631-0j 0.00504553-0j -0.000473974-0j 0.0605202-0j -0.00640728-0j 1.24892e-06-0j -0.0278532-0j -0.000159471-0j 0.0353706-0j 7.33931e-05-0j -9.32014e-05-0j -2.73077e-05-0j -0.031376-0j -4.39076e-07-0j 0.0005391-0j -0.00523315-0j 2.47827e-05-0j 6.44354e-06-0j -0.000504489-0j 2.47233e-05-0j 9.31009e-07-0j 8.66809e-06-0j 0.0284748-0j -3.50143e-05-0j -8.41429e-05-0j -0.000489252-0j 0.0284066-0j 2.2822e-05-0j 1.03604e-07-0j -0.000488079-0j 0.00106971-0j 0.00474927-0j -1.83797e-05-0j -0.0402308-0j 0.00473789-0j -5.84774e-06-0j 0.000178415-0j 0.000691241-0j 0.026222-0j -5.83372e-06-0j -0.00671002-0j -0.000450543-0j -2.19681e-07-0j 0.00437352-0j 8.26199e-06-0j -5.38507e-06-0j 
-4.36629e-06-0j 3.06128e-05-0j 3.05395e-05-0j 0.00518795-0j -2.57642e-06-0j -8.99119e-05-0j -0.00732981-0j 4.46517e-08-0j 3.6401e-06-0j -1.25428e-05-0j 0.000644432-0j -2.08287e-07-0j -1.84772e-07-0j 2.65955e-05-0j -1.224e-05-0j 1.07015e-05-0j -0.00136644-0j 1.55435e-05-0j -3.06836e-09-0j 0.000628877-0j 3.91788e-07-0j -0.000798607-0j -1.80313e-07-0j 2.28978e-07-0j -9.65474e-06-0j -1.60912e-06-0j -1.55237e-07-0j -0.0553007-0j 5.84598e-05-0j 8.76202e-06-0j -1.18523e-08-0j -2.58728e-08-0j 8.74102e-06-0j 3.29161e-07-0j -0.00088917-0j 1.46034e-06-0j -1.23794e-05-0j 9.39965e-07-0j 0.0501874-0j 1.45684e-06-0j 8.06878e-06-0j -1.90571e-10-0j 0.0500671-0j 5.48602e-08-0j -5.30544e-05-0j 0.00188538-0j -2.06324e-06-0j -5.29272e-05-0j 1.07564e-08-0j -1.99309e-06-0j -0.0709074-0j 1.3448e-06-0j 1.07306e-08-0j 7.4958e-05-0j 0.0462166-0j 4.04084e-10-0j -4.88568e-05-0j -1.51972e-08-0j 9.90536e-09-0j 
-0.000990626-0j -0.00242814-0j -0.00224676-0j -0.00283359-0j -0.000406405-0j 0.00686305-0j -0.00791959-0j 0.000984327-0j -0.00113586-0j -0.00301602-0j 0.0166496-0j 0.00688713-0j -4.38715e-05-0j -0.00215475-0j -0.00281965-0j -0.0380195-0j 0.011895-0j -0.00147771-0j 0.000100181-0j 0.0155656-0j -3.13433e-05-0j 0.00815749-0j -4.10152e-05-0j -2.14949e-05-0j 1.59295e-05-0j 0.0183027-0j -3.52202e-05-0j -0.000314475-0j 0.00305267-0j 1.46923e-05-0j -3.75873e-06-0j -0.0404673-0j 1.35948e-05-0j -2.51625e-05-0j 0.000695305-0j 0.0168811-0j 4.10634e-05-0j -0.00674947-0j -0.00029005-0j 0.0156202-0j -4.39033e-05-0j 8.31057e-06-0j -0.000268384-0j -0.0289112-0j 0.00281557-0j 0.00049675-0j 0.0471809-0j 0.00260526-0j -3.46679e-06-0j -0.00482205-0j -0.000810659-0j -0.050444-0j -3.20783e-06-0j 0.00786923-0j 0.000866724-0j 5.93735e-06-0j -0.00841347-0j -9.68932e-06-0j 1.03594e-05-0j 
1.02914e-06-0j 0.00103837-0j 0.00103588-0j 4.20728e-06-0j 0.00832564-0j -7.2916e-08-0j -5.94426e-06-0j -0.000144291-0j -0.0117629-0j -0.00043086-0j -7.52084e-05-0j -7.15492e-06-0j -0.0276383-0j 0.000913588-0j -0.000420461-0j -1.24892e-06-0j 0.000159471-0j 0.00053394-0j -0.000458966-0j -7.33931e-05-0j 0.0586038-0j 9.32014e-05-0j -0.0269712-0j 0.0342506-0j 2.27564e-06-0j 0.00795455-0j 3.65897e-08-0j 2.32257e-07-0j 0.00064998-0j -2.06523e-06-0j -0.0073229-0j 0.0001279-0j -2.06028e-06-0j -7.75841e-08-0j 3.73442e-09-0j -0.00721904-0j 2.91786e-06-0j 1.04509e-05-0j -2.10781e-07-0j -0.00720174-0j -1.90183e-06-0j -0.000117744-0j -2.10276e-07-0j -0.000271197-0j -0.000589881-0j -7.91839e-09-0j 0.0101994-0j -0.000588467-0j 0.0066458-0j -2.21599e-05-0j 2.97803e-07-0j -0.00664788-0j 0.00662987-0j 0.000833414-0j -1.94105e-07-0j 0.000249662-0j -0.00054321-0j -0.00938953-0j 0.00611999-0j 
