-0.208559-0.554601j -0.064355+0.182324j 0.00170634-0.126771j 0.0936866-0.00755518j -0.0497256+0.11507j -0.018214+0.0178508j -0.0173568-0.0136949j -0.0176306+0.0278801j -0.00787874-0.00453614j 0.00489915+0.0914061j -0.00605005-0.0270314j -0.00551483-0.028439j 0.106058+0.0119229j 0.00497759+0.00449669j -0.0330452+0.0879553j -0.0218319-0.012484j -0.00255097-0.0429802j 0.00173726+0.0449695j 0.045817+0.0184621j -0.0214933+0.00086211j -0.00778139-0.0768259j 0.00996399-0.0264183j -0.0137436+0.0409911j 0.0224271+0.011125j -0.00747786-0.0116936j 0.00689687+0.0130982j -0.0130388+0.0146427j 0.00127818-0.0150176j 0.0376374-0.0269561j -0.00531157+0.0179102j -0.016948-0.0174822j -0.00570142+0.00108181j -0.0189777-0.0359479j 0.00525881+0.018168j 0.002248-0.00840612j 0.0333399+0.0119445j -4.74949e-05+0.0350451j 0.00252833+0.0373546j -0.0843998-0.0388848j -0.000139475-0.0587688j 
0.023378-0.00509965j -0.0448948+0.00895654j -0.0403015+0.0729616j -0.0132928-0.0561758j 0.111348-0.0262737j -0.0184805+0.0349729j -0.0117223-0.104531j -0.0242227-0.0621851j 0.0823409-0.0253378j 0.0927426-0.125315j 0.168072-0.17601j -0.354213-0.166579j 0.0180729+0.236968j 0.0780719-0.0874562j -0.0333486+0.00111387j 0.146732+0.113637j -0.0523199+0.0528497j -0.0988616+0.116391j 0.028281-0.00132481j -0.00206187-0.0246274j -0.0490161-0.0426808j 0.0254325-0.00162867j -0.0259291-0.00280427j -0.00904116-0.031456j -0.00571989+0.0352225j 0.0307972-0.00639331j -0.0225707-0.0277798j -0.0104349-0.0101043j 0.0204046+0.0717416j -0.00733168+0.0695171j -0.00147459-0.0366308j 0.0199642-0.0247997j 0.0166393+0.0194262j -0.00407538-0.0296646j 0.020956-0.00565799j -0.00390325-0.0151198j -0.0220235+0.00344844j 0.0118867-0.00853061j -0.0143892-0.0152583j -0.0263702-0.0211795j 
0.0243304+0.0306032j -0.0172293+0.00926895j -0.0144597-0.00762406j 0.0449864+0.00642203j -0.00969638-0.0450349j -0.000999935+0.0256267j 0.0295387-0.049995j -0.0201593-0.01055j -0.00488362+0.0167644j 0.0249266-0.0312621j 0.177639+0.0111096j -0.0496039+0.0569464j -0.183167-0.166988j -0.00755345-0.130301j 0.231237+0.0724919j 0.0113663+0.0989259j -0.0606978-0.00963202j 0.0126515+0.019481j 0.00982595-0.0576416j -0.00808928+0.0151428j -0.00788204-0.0208067j -0.00294498-0.0374329j 0.0500946-0.0290887j 0.0242657-0.0459638j -0.0200005-0.0130254j -0.0451927+0.0243475j -0.020597+0.032431j 0.00121603+0.00917517j -0.0426422+0.00816488j 0.0015227+0.0437801j -0.00957544-0.00518778j -0.02047-0.000395414j -0.0137296+0.0143091j 0.0372387-0.00940856j -0.000649933-0.020404j -0.0286139-0.00606228j 0.01263+0.037445j -0.0389562-0.0174549j 0.0618384+0.00537515j -0.0400776-0.00482252j 
-0.029152-0.0196254j -0.00512172+0.0561151j -0.0154862+0.0214908j -0.0208364+0.0184662j -0.013687-0.0265052j -0.0140712+0.0114549j -0.0134151-0.0366696j -0.0112871-0.102536j -0.0674584-0.0930328j -0.060328-0.0593041j 0.0137252-0.108511j -0.00473075+0.322294j -0.0776842+0.10159j -0.212828-0.101296j 0.0875387+0.0246304j 0.114969-0.0597781j 0.0944005+0.137567j 0.0154717-0.0143815j -0.00166176+0.0379599j 0.0337329+0.00758675j -0.0612354-0.038208j 0.0225101-0.0415831j -0.00358754+0.0195964j -0.0204624-0.037187j -0.018217+0.0202241j 0.00626329+0.00631859j -0.0142182+0.026066j -0.0118888+0.011108j -0.0409433+0.0105225j -0.0163695+0.040546j -0.00551968-0.0126429j 0.0209732-0.008528j -0.0205331+0.0312478j 0.0123563-0.0179657j -0.00190126-0.0292921j -0.0123039-0.000635554j -0.0329363-0.0149082j -0.0162204+0.00643577j 0.0187046-0.0412127j -0.0368247-0.0124627j 
0.00510314-0.0123676j 0.0297641+0.0541698j -0.0163745+0.0607698j -0.0104969+0.00222122j -0.00839928-0.0234029j 0.00867716-0.0353762j -0.0331409+0.0167098j -0.0170359-0.0830929j -0.0585781-0.153697j -0.0727958-0.0285266j -0.341677+0.00935978j -0.026398+0.0810106j 0.139019-0.00671216j 0.145103-0.158167j 0.0152301+0.105885j 0.0202825-0.127216j 0.10731+0.132453j 0.0941298-0.0134949j 0.0201239-0.00840644j -0.000144189+0.00880457j -0.0446717-0.0189808j -0.0194125-0.0246474j -0.0392365+0.0286284j -0.0193675-0.00821057j -0.00840606+0.00196617j 0.0126908-0.0135778j -0.00470218-0.0120751j -0.0190841+0.00151148j -0.00851171+0.0114115j -0.0631442-0.011215j -0.00385043+0.00149938j 0.0208381+0.00874575j -0.0245543+0.003894j -0.0168872+0.0135945j 0.0183799+0.000594815j -0.00865406+0.0113177j -0.0107621-0.0107478j 0.0295766-0.026876j -0.030744-0.00148595j -0.01906-0.011802j 
0.0198953+0.00991941j 0.0276809-0.0407298j 0.0709559+0.00855901j -0.0992749+0.114479j 0.0465251-0.0384094j -0.0257385-0.0208112j -0.0634617-0.00459385j 8.32199e-05+0.0346462j 0.0834451-0.0676272j 0.163614+0.0473368j 0.0288626+0.118345j -0.0574087-0.065816j 0.20227-0.0316955j -0.0459351-0.0957181j 0.164593+0.115516j 0.092198-0.10504j 0.0451563-0.076831j -0.0811512+0.0331895j 0.0209066+0.0296632j 0.0303747+0.00993114j -0.0530766-0.0249592j -0.000421392-0.038754j 0.0173412-0.0157807j 0.0200643+0.0999742j -0.00553549-0.00371302j 0.00198336+0.00248409j -0.0185466-0.00293794j -0.0133587+0.0077463j 0.0492811-0.0722859j -0.0109991+0.0222795j -0.016016+0.0118198j -0.015261-0.00988497j -0.0335247-0.0304553j 0.019659+0.0409838j -0.031641+0.00616629j 0.0158067+0.0190601j 0.042225+0.0194026j 0.0199535+0.00233084j 0.0306545-0.0120143j -0.0145023-0.0460349j 
0.00178795-0.00587293j 0.0496723+0.0203333j 0.109404+0.00963694j 0.0332092+0.0613043j -0.0258363-0.0595179j -0.067207-0.0342766j 0.0292979-0.0413742j -0.0960261+0.00751892j -0.0677046-0.1151j 0.0695992-0.00134539j 0.0115076+0.0581474j 0.0991628+0.0656096j -0.0260557+0.0897442j -0.125612-0.019976j 0.0258571+0.0189498j 0.00256589-0.0633011j 0.206457-0.0123353j -0.00350325-0.0390774j -0.0800305+0.0403093j 0.016824-0.00494793j 0.0298049+0.0399906j -0.00229401+0.00304132j 0.000337435+0.00322343j 0.00715576+0.0345016j 0.0141189-0.00012146j -0.0125395+0.0030439j 0.0159709-0.00979878j 0.00434818+0.00162903j 0.0107963-0.018395j -0.0105209+0.0213326j -0.00766325-0.00189777j -0.0343906-0.0104473j -0.00838262-0.0214941j 0.013367-0.0108722j -0.028202-0.00518414j 0.0326575+0.00810254j -0.00339332-0.0176327j 0.0119626+0.0078182j 0.00992656-0.0314786j 0.0104758-0.00439297j 
-0.00121596-0.0154948j 0.0421177+0.0287915j 0.0265835-0.0379675j 0.0869812+0.0292609j -0.122907-0.0879556j -0.0736053+0.046919j -0.0185918+0.0739682j -0.0685111+0.123216j -0.190999-0.14321j 0.0836518-0.225253j 0.0238251-0.0846573j -0.0843115+0.0203192j -0.0516667-0.0515213j 0.0844686-0.0353627j -0.000989479+0.00552341j -0.1361-0.0379375j 0.0646388-0.0606048j 0.060156+0.101536j -0.0148026+0.0610562j -0.00814877-0.018589j 0.101088+0.0891215j 0.00463436+0.0168259j -0.0677105-0.0369401j 0.0221616-0.0148397j -0.0394063-0.0611383j 0.00480708-0.00491563j -0.000460706-0.00101861j 0.0144747+0.00391293j -0.0290049-0.00717213j -0.0297949-0.0329206j -0.00837524+0.0203016j -0.00428123+0.00324032j -0.00120962-0.00100459j -0.00516689+0.00585073j 0.00166588+0.0261935j 0.0110915+0.0132307j 0.0352272-0.00551373j -0.0237292+0.00623585j -0.0271317+0.0150659j 0.0613355+0.00385352j 
0.0271446-0.00256023j -0.100808+0.0126378j -0.0415041+0.0439638j -0.0629174+0.122166j 0.0447557-0.0971199j -0.044212-0.0742616j -0.047768+0.0397646j 0.00555394-0.118425j 0.111743-0.152848j 0.192478+0.0782857j 0.0431653+0.0373629j 0.0390732-0.00903387j -0.10763-0.0455097j 0.0471663+0.0218964j -0.0522255+0.0546793j 0.0568114-0.0947069j -0.0173803+0.177462j -0.0725843-0.0391527j -0.0578226-0.00469358j 0.0332504-0.0115622j -0.0513967+0.111783j -0.00729997-0.00140724j 0.0110343-0.047418j 0.0248347-0.0112939j 0.010025-0.0248542j 0.00465228+0.0193533j 0.000784797-0.000779279j 0.00337429+0.0182769j -0.0510474+0.000869361j -0.0359082-0.0175868j 0.00922457-0.00203861j 0.0340581+0.00443868j -0.0341707+0.0207243j 0.0122095-0.000438529j -0.0120668-0.00102535j -0.0291101+0.00313971j -0.0223554-0.0196989j -0.0293637+0.00779949j 0.0147388-0.0072507j 0.024574+0.0388598j 
-0.0256743+0.029734j 0.163285-0.146143j 0.181842-0.126468j -0.15258-0.15944j 0.000113517-0.0751573j 0.00529991-0.0402189j -0.013589-0.148031j -0.0533514-0.0167759j 0.0294098-0.0887651j -0.0606821+0.0535191j -0.0036681-0.0340597j -0.0299279-0.00529796j -0.0490487+0.0832645j 0.0453636-0.00716468j -0.0192776+0.0154351j 0.0900332+0.160826j 0.142765-0.0956787j 0.030177-0.00834984j -0.014004-0.0947671j -0.0268745+0.0135386j -0.0982995+0.0357638j -0.0167057-0.0299708j 0.0072459-0.0240356j 0.0106762+0.0488105j 0.0356233-0.0106065j -0.0023755+0.00228562j 0.00092799+0.00857256j -0.00937278-0.00237931j 0.0200414-0.0490179j 0.0105249-0.0134411j -0.0173934+0.00354892j -0.00564448-0.00277744j -0.0224511-0.0306747j 0.021829+0.0381623j -0.00805971+0.00637323j -0.0268804+0.000155473j 0.00125671+0.00826313j 0.0428152-0.0165859j 0.0587575+0.0109152j -0.0249689+0.0166828j 
0.00571275+0.0266207j -0.0966445-0.151339j -0.125209-0.161423j -0.184669+0.136973j -0.0647527+0.0496368j -0.0177993+0.0231222j -0.163248+0.00731793j 0.00619773+0.0989563j -0.103703+0.107558j -0.00583333+0.057109j 0.0081115+0.0147139j 0.0164985+0.0079932j 0.0193632+0.00867221j 0.000834591-0.00700997j -0.0171559+0.0303035j 0.10182+0.00722832j -0.170317-0.184098j -0.00474965-0.0490767j -0.0541414-0.00456899j 0.00150767+0.0224182j 0.0796234+0.121103j -0.0123408+0.00907588j -0.00982885+0.00908727j 0.0245383+0.00297953j -0.0183633-0.0360531j -0.00401862+0.00780679j -0.000922356+0.00407607j 0.00387744+0.0153303j 0.000319606-0.0149488j 0.00651785+0.0117872j 0.0029442+0.0155093j 0.00413319-0.00103426j -0.0039019-0.0113569j 0.00585015+0.015718j 0.00163698+0.00233348j -0.0238822+0.0176855j 0.0338253+0.00343489j -0.0751052-0.00314449j 0.0240545+0.00200575j 0.0575288+0.00808444j 
