0.0338001+0.0362864j 0.0165715-0.113775j -0.00794688-0.029688j -0.0322475+0.0482003j 0.0992577-0.00392927j -0.0078495+0.00977893j 0.0172097+0.00371838j -0.0287277-0.00884173j 0.00796685-0.0112161j -0.015759+0.0331379j -0.0115687-0.0175622j -0.0327215+0.00691086j -0.0171662-0.0124868j 0.0507988-0.00265029j -0.00633363+0.0258717j 0.00958723+0.0456168j -0.0109239-0.0110937j 0.00781854+0.00854736j 0.0148025-0.00948354j -0.000802401-0.0187346j -0.0226589+0.00871974j 0.00689812+0.025959j 0.019413+0.00149521j -0.0172341-0.00927676j -0.000444575-0.00475862j -0.0275746-0.00161393j -0.00741656-0.00511442j -0.0186282+0.0134277j -0.0187925-0.0188671j 0.0111425-0.0188653j 0.0125227+0.00138752j 0.00573628+0.0290749j 0.000786148-0.00889491j 0.019078+0.00895188j -0.0114889+0.0206719j 0.0151407+0.00488183j 
0.0426258+0.00428143j 0.0218006+0.0131291j -0.0160687-0.00706327j 0.0307129+0.0290695j 0.0210968-0.0085849j 0.0768247-0.0138128j 0.20293+0.0403299j -0.0432772-0.0607906j 0.0746669+0.00205617j 0.00169598-0.0884719j 0.130008-0.16359j -0.162735-0.0250924j 0.138452+0.165053j 0.0526925+0.0122406j 0.0392419+0.105311j 0.0507981+0.0838982j 0.00779728-0.0192618j -0.198661+0.0395804j 0.0489177-0.0252075j 0.00880098+0.00749747j 0.0445677-0.0127967j -0.0384792-0.000124159j -0.0104766+0.0771029j -0.0103858+0.0308536j -0.0357781-0.0482007j -0.0426048-0.0208261j -0.0657482-0.00359642j -0.0023444+0.0688835j -0.0302742+0.0292494j -0.0350953+0.0283579j 0.00834961+0.0188022j 0.0222724-0.0423224j 0.0202268-0.0432675j 0.0111422+0.0204241j -0.0304561+0.0426795j 0.0302285-0.0318586j 
0.0540691-0.0214239j -0.0190617-0.0371766j 0.0697422+0.000909127j 0.070967-0.0703071j -0.0191883-0.0239358j 0.00890911-0.00366519j 0.031422-0.0225986j -0.0938836-0.249969j -0.0180731+0.105381j 0.162583-0.332167j 0.0368509-0.0306096j -0.250382-0.202004j 0.147196+0.0768631j -0.0455722+0.0754754j 0.046024+0.0532852j 0.0645332+0.0168922j 0.0164604-0.100007j -0.143078+0.0411355j -0.0711288-0.252353j -0.00690096-0.0715799j 0.0439239+0.0202158j -0.00837042-0.00264793j 0.00573661+0.0640723j 0.00555744+0.00224437j 0.0244196+0.0701255j -0.00428709-0.050968j -0.0200389+0.00553012j -0.026509+0.00922364j -0.021952+0.0200438j -0.0273541+0.0178654j 0.0391797+0.0303933j -0.0126663+0.0082912j 0.00117624-0.000374906j -0.031461-0.032124j -0.0247139-0.00838813j 0.000140537-0.0161353j 
-0.0344463-0.00693135j 0.0457987-0.00894246j -0.0420047-0.00855287j 0.115858-0.00120318j -0.0119122+0.0606483j -0.117254-0.00541353j -0.0142062-0.0457419j -0.0882093+0.0444195j 0.00701823+0.22686j 0.137093-0.0531684j -0.214612+0.10757j 0.120423-0.0965416j 0.00710144+0.108938j 0.0887706-0.00420047j 0.200947+0.00776609j -0.0124517+0.0363999j 0.0523743-0.100092j 0.038106-0.00239088j 0.00218754+0.0694778j 0.0903796-0.0101008j 0.0625677-0.026676j -0.00338416-0.020496j 0.0813186-0.0513493j -0.00932832+2.08404e-05j 0.0233833-0.0171168j 0.0472634-0.0237267j 0.0127615-0.0360321j -0.00990982-0.00971375j 0.0319617-0.0050641j 0.022129+0.0101871j -0.019057+0.0227327j -0.0222075+0.0114353j 0.00725645+0.0202917j 0.00800932+0.0177807j -0.00251258+0.00309472j 0.00904305+0.0519197j 
0.0311149+0.0530743j -0.0526291-0.0416885j -0.0277716+0.029248j -0.00324698-0.0659845j -0.0172014-0.106404j -0.0747797+0.0815642j 0.00322645-0.075262j -0.0980053-0.123261j 0.287001+0.0574274j -0.297671+0.0449658j -0.0296176-0.145729j 0.00606288-0.0611945j -0.134315+0.0937674j 0.0169398-0.00816195j 0.0859155-0.125231j -0.0435877+0.0994503j -0.174585-0.0734518j -0.0231914+0.00422795j -0.144914-0.0660633j 0.0134953+0.0107307j 0.00250987-0.0623107j -0.105644+0.0170186j 0.0300449-0.0313593j -0.0871465+0.0931568j -0.0421184+0.0282511j -0.0431366+0.0726335j 0.00600985+0.0210304j 0.0195912-0.0123159j 0.00207133-0.0422924j -0.0178997-0.0298297j 0.0229966-0.0264131j -0.0336858+0.00714017j -0.0220089-0.00916606j -0.0249956-0.0222223j -0.0155109+0.0198411j -0.0234031-0.0502435j 
0.041748+0.0755027j 0.0219522-0.018881j -0.0543366+0.0876357j 0.0933093-0.0688427j -0.0434148+0.0248852j -0.0563146+0.0260249j 0.0125182-0.00623153j 0.0310291+0.253455j 0.279038+0.105731j 0.21549-0.0818365j -0.040126-0.195124j -0.0806323+0.242607j -0.188476-0.0543962j -0.0378063-0.00231952j 0.0853385-0.178131j -0.0784624+0.00414663j -0.0710089-0.112497j -0.0374772-0.032028j 0.159753+0.0620639j 0.0381569-0.0638247j -0.014709-0.0186024j 0.0855973-0.111841j -0.0267209-0.0158394j 0.0992996+0.0118309j 0.0497674+0.0058875j 0.0556508+0.0229918j -0.00155062+0.0121668j -0.0027606-0.0199457j 0.0163722+0.00973064j 0.0103093+0.00159885j -0.0504788-0.0469764j 0.00432223+0.0225909j -0.00462967-0.00281759j -0.00490271-0.0160936j -0.00256642-0.0211881j -0.0231554+0.00592613j 
0.0524929-0.0828277j 0.0159632-0.0224177j 0.0980883-0.0456469j -0.0747918-0.00586316j 0.0147274-0.00630216j 0.0538406+0.0227692j -0.0909861-0.0332293j -0.00901066-0.0306484j -0.0141203-0.409932j 0.202808-0.144194j 0.221574+0.00613647j -0.0475134+0.188937j 0.0262534-0.00748178j -0.0205856+0.0303851j -0.149967-0.0586552j 0.0664882+0.0169079j 0.0247217+0.223814j -0.0397899+0.13203j -0.0646583-0.0789424j 0.0309015-0.0801696j -0.0263715+0.0206115j 0.00578383-0.00290097j -0.0384436+0.0184029j 0.0489512-0.0286359j 0.0293135-6.79535e-05j -0.0176235-0.0459851j -0.0192663-0.0235412j -0.0185411+0.00156614j -0.0238772+0.00202348j -0.0120073+0.00517455j 0.011635+0.00172753j 0.0076052+0.0381968j 0.00170296+0.00956569j -0.0166198-0.0109159j 0.00486199+0.00599525j -0.0116541+0.0106058j 
0.00260573-0.0356462j -0.0260094+0.028109j 0.0317938-0.0238635j 0.0203248+0.00318729j 0.0238097-0.0535834j -0.105247-0.0296999j 0.049365+0.0357038j 0.0208827-0.174978j -0.0275519-0.239091j -0.150219+0.165591j -0.110908-0.0205945j -0.116104-0.0313372j -0.0664006+0.0198037j -0.0146404+0.0248705j 0.0438624-0.0285044j -0.034293+0.038947j 0.0952703+0.135447j 0.0137985-0.00591335j -0.0179067-0.148235j -0.109484-0.00710026j 0.0328613-0.0303866j 0.0164108+0.0271049j 0.00608431+0.0010632j -0.0425016+0.0710217j -0.0249243+0.041851j 0.00376524+0.0405132j -0.00131286+0.0285799j 0.000724075-0.0162962j -0.0129578-0.0253399j -0.0163316-0.0203593j 0.0223494+0.00530546j 0.00916293-0.00731857j -0.00603607-0.00481924j -0.0129076-0.0204617j 0.00141302+0.00401341j -0.018507-0.0616181j 
-0.00517725+0.0625024j 0.0499188-0.0225711j 0.0535025+0.10713j 0.165382-0.124682j -0.0211107+0.00382006j 0.122198+0.0889249j 0.193044-0.0267265j -0.0701422+0.106273j -0.248387-0.0411007j 0.00251242+0.0359289j -0.0189232-0.000503969j -0.0158074+0.00470313j -0.0476631+0.00673173j -0.0244251-0.0424861j 0.0450261-0.166265j 0.0688825+0.0412339j 0.107448-0.0149093j -0.171078+0.0248287j -0.0172107-0.0714213j -0.0235698-0.00810303j 0.0338198+0.00950433j -0.0297792-0.00238905j 0.0152218+0.0517179j -0.0663763-0.0101961j -0.0234128+0.000207163j -0.00603529-0.0070067j 0.0159076+0.0326582j 0.0168092+0.0150737j -0.00728883+0.0105623j -0.0146749-0.00604814j -0.0343425+0.00144012j 0.0183099-0.0257161j 0.00298932-0.0173725j -0.00363061-0.00102786j -0.0283424+0.0281632j 0.0087828-0.0338487j 
-0.0624859-0.010084j -0.0662424-0.0412383j 0.0679159-0.0274953j -0.175438-0.147521j 0.0312764-0.037778j 0.108207-8.02971e-05j -0.0395082-0.0490705j 0.267219-0.0279319j -0.0912795+0.178083j -0.0347329+0.0759994j 0.0161401-0.0216105j -0.0360964-0.0284281j 0.0400312-0.0102044j -0.0143101+0.0125239j -0.232592-0.0551177j -0.0279185-0.0165839j -0.0136022-0.0196025j 0.0489123+0.107961j 0.119939+0.0279892j -0.0574782+0.0244743j -0.00753638-0.00567043j 0.0100996+0.0785256j -0.0182267+0.00269289j -0.0141479+0.0484041j -0.025937+0.0184837j -0.00942945+0.0495697j -0.0313823-0.00699743j 0.00396897-0.0109244j -0.0171383-0.0125069j -0.00603586-0.00357734j 0.0425933+0.0167427j 0.0165506+0.0033486j -0.0184667-0.00940261j -0.00182479-0.0231989j 0.0281098+0.0268918j -0.00371297-0.0500773j 
-0.0159485-0.1301j 0.0941737-0.0298551j -0.127727-0.143398j 0.277549-0.128781j 0.0487943-0.0171529j -0.10508+0.00764098j 0.0877645-0.071136j 0.0964064-0.00132276j 0.00940227-0.0546508j 0.129688+0.0199363j -0.0911926-0.0089346j -0.0287863+0.00231351j -0.0816225+0.00791825j 0.0140391+0.00570876j 0.213639-0.0246088j -0.0769001-0.0531606j 0.100237-0.0355625j -0.111214+0.117176j 0.114893+0.00435851j 0.0323236+0.0490916j 0.0460232-0.0370887j -0.06697+0.0203572j 0.00339238-0.0298974j -0.0354376+0.0298119j -0.032006+0.00452186j -0.0198913-0.012962j -0.0371934-0.0322287j 0.0031222-0.0103225j 0.0137487-0.0115348j 0.0131287+0.000922076j 0.0235457+0.0582615j -0.0130937+0.00732841j 0.0124799-0.00474761j 0.0324543-0.00178292j -0.0172224+0.0548919j 0.033079-0.0350754j 
0.240333-0.0526056j 0.0194906+0.0250169j 0.287203-0.144356j 0.028291+0.0876237j 0.00267872+0.0222085j 0.113803-0.0776841j 0.0506258-0.0210258j 0.078108+0.0731534j 0.100289+0.0695584j 0.0486134+0.0438547j -0.0272205-0.0141649j -0.0313218-0.0144193j -0.0385374-0.0274354j -0.0802007+0.00835292j -0.166642+0.083217j 0.153578-0.0566668j -0.0907732+0.0609045j -0.223385+0.0733692j -0.0276036-0.0301955j -0.0618464+0.019634j 0.0299576+0.00193653j -0.087237-0.0233657j 0.0289267+0.00701849j -0.00644059-0.00813113j -0.00772986-0.00251558j 0.0357125-0.0204267j 0.0342083-0.0112037j 0.00360847-0.00887527j -0.0134061+0.0222195j -0.0286073+0.0240036j -0.0650407+0.0479677j 0.0145665-0.0303045j -0.00287075+0.0103369j -0.0283438+0.0417274j -0.035416+0.0343912j -0.00644218+0.00974673j 
