-0.452248-0j -0.0460126-0j -0.0464894-0j -0.0264821-0j -0.00382236-0j -0.0327699-0j -0.00472992-0j -0.0191158-0j -0.00275912-0j -0.0186669-0j -0.00329987-0j -0.0217781-0j -0.000274989-0j -0.0133363-0j -0.00384985-0j -0.0190558-0j -0.00235754-0j -0.000320821-0j -0.00786012-0j -0.000196462-0j -0.00336862-0j -0.00138949-0j -0.000280718-0j -0.00011579-0j 0.0573028-0j 0.00955046-0j -0.0162823-0j 0.00584844-0j 0.00119381-0j -0.0132945-0j 7.03458e-05-0j -0.00271372-0j -0.0134322-0j -0.00166181-0j -0.0116326-0j -0.00221574-0j -0.000339215-0j -0.00959644-0j -0.00135686-0j -0.0022387-0j -1.99884e-05-0j -0.00306611-0j -0.000276968-0j -0.00193877-0j -0.00137092-0j -0.00118725-0j -0.000279838-0j -0.00159941-0j -1.63205e-05-0j -0.000242347-0j -0.000979433-0j -0.000511018-0j -1.64896e-05-0j -0.000312933-0j -1.42804e-05-0j -0.000199926-0j -6.38773e-05-0j -1.17807e-05-0j -3.764e-06-0j 
-0.0319622-0j 0.00336862-0j -0.00340149-0j -0.185357-0j 0.000279838-0j 0.221419-0j -0.000334283-0j -0.12013-0j 0.000181363-0j 0.00136662-0j -0.0230969-0j -0.00153914-0j 2.01322e-05-0j 0.000976361-0j 0.0260127-0j -0.00139425-0j -0.0165012-0j -2.26737e-05-0j 0.00271978-0j 1.43831e-05-0j 0.0235639-0j -0.0459663-0j -2.05393e-05-0j 4.00662e-05-0j -0.00419519-0j -0.000699198-0j -0.00115074-0j 0.0822985-0j 0.00835586-0j 0.000973298-0j -5.15008e-06-0j -0.000191789-0j -0.000982794-0j 0.0225744-0j -0.000822125-0j 0.000162216-0j 0.002292-0j 0.000630794-0j -0.0190935-0j -0.000163799-0j -1.41266e-06-0j 0.00235387-0j -0.00193859-0j -0.000137021-0j 0.0192798-0j 0.0161279-0j 0.0019575-0j 0.000105132-0j 1.19484e-06-0j 0.00163749-0j -0.0123745-0j 0.000392312-0j -1.20649e-06-0j -0.0461767-0j -1.00925e-06-0j -0.0012564-0j -0.00468837-0j 7.74373e-07-0j 2.88965e-06-0j 
-0.0299147-0j -0.00304358-0j -0.00307512-0j -0.329349-0j 0.000497228-0j 0.207235-0j -0.000312868-0j 0.120887-0j -0.000182507-0j 0.00366464-0j -0.0619352-0j 0.00283298-0j 5.39853e-05-0j -0.00088215-0j -0.0478795-0j -0.00126048-0j 0.014909-0j 4.17337e-05-0j -0.00051992-0j -1.29953e-05-0j 0.021303-0j 0.00878704-0j -1.85686e-05-0j -7.65914e-06-0j -0.000953435-0j -0.000158906-0j 0.0031965-0j 0.0187039-0j 0.00189903-0j 0.0017294-0j -1.17045e-06-0j 0.000532751-0j 0.00174732-0j -0.062707-0j -0.00076946-0j 0.000288233-0j -0.00636671-0j -0.000634772-0j -0.0339262-0j 0.00029122-0j 3.92408e-06-0j -0.000202813-0j -0.00344457-0j -0.000128243-0j -0.0342778-0j 0.0150948-0j -0.00348026-0j -0.000105795-0j 2.12304e-06-0j 0.00153259-0j 0.0124526-0j -3.38021e-05-0j 2.14504e-06-0j 0.00397865-0j -9.44601e-07-0j 0.00126432-0j 0.000403957-0j -7.79256e-07-0j -2.48976e-07-0j 
0.00461334-0j 0.0463376-0j -0.0467897-0j -0.000279838-0j -0.179556-0j 0.000334283-0j 0.21449-0j -0.000181363-0j -0.11637-0j -0.000197255-0j 0.00332319-0j 0.000222156-0j -0.0395868-0j -0.000140926-0j -0.0037427-0j 0.000201243-0j 0.0023742-0j 0.0445843-0j -0.000392567-0j -0.0282822-0j -0.00339038-0j 0.00661364-0j 0.0403873-0j -0.0787838-0j 0.000605523-0j -0.00961793-0j 0.000166094-0j 6.18009e-05-0j 0.0560795-0j -0.000140483-0j 0.0203961-0j -0.00263819-0j 0.000141854-0j 1.69519e-05-0j 0.000118664-0j 0.00223139-0j 0.0153826-0j -9.10473e-05-0j -1.4338e-05-0j -0.00225316-0j 0.00559462-0j -0.000339752-0j -0.0130106-0j -0.00188481-0j 1.44779e-05-0j 1.2111e-05-0j 0.0131376-0j 0.00144617-0j -0.00473196-0j 0.0109898-0j -9.29247e-06-0j 0.00539651-0j 0.00477813-0j -3.46758e-05-0j 0.00399699-0j -0.00843219-0j -0.0314656-0j -0.00306678-0j -0.011444-0j 
0.00431781-0j -0.0418664-0j -0.0423003-0j -0.000497228-0j -0.319043-0j 0.000312868-0j 0.20075-0j 0.000182507-0j 0.117104-0j -0.000528946-0j 0.00891124-0j -0.000408905-0j -0.106154-0j 0.000127327-0j 0.0068889-0j 0.000181934-0j -0.00214511-0j -0.0820628-0j 7.5044e-05-0j 0.0255532-0j -0.00306508-0j -0.00126428-0j 0.0365122-0j 0.0150605-0j 0.000137616-0j -0.00218586-0j -0.000461376-0j 1.40454e-05-0j 0.0127451-0j -0.000249617-0j 0.00463539-0j 0.00732834-0j -0.000252204-0j -4.7089e-05-0j 0.000111062-0j 0.00396484-0j -0.0427295-0j 9.16214e-05-0j -2.54764e-05-0j 0.00400592-0j -0.0155407-0j 2.92735e-05-0j -0.0231179-0j -0.00176407-0j -2.57404e-05-0j 1.13352e-05-0j -0.0233574-0j -0.00145529-0j -0.00840795-0j 0.0102858-0j 9.35107e-06-0j -0.000464971-0j -0.00849508-0j 2.98771e-06-0j 0.00374094-0j 0.00848537-0j 0.00271112-0j 0.00308612-0j 0.00098603-0j 
0.00064136-0j -0.00365902-0j -0.0036734-0j -0.207235-0j 0.000312868-0j 0.00431656-0j -6.51683e-06-0j 0.291405-0j -0.000439942-0j -0.00453476-0j 0.0766409-0j 3.08847e-05-0j -6.68034e-05-0j -0.00321266-0j -0.000521975-0j 0.00146285-0j 0.0542964-0j 4.54975e-07-0j -0.00188552-0j -4.7327e-05-0j -0.0247232-0j 0.0318666-0j 2.15498e-05-0j -2.77763e-05-0j 0.00117982-0j 0.000196636-0j -6.85319e-05-0j -0.0231449-0j -0.00234992-0j -0.0010572-0j 1.44836e-06-0j -1.1422e-05-0j -0.00106136-0j 0.00134442-0j -4.85516e-05-0j -0.0001762-0j 0.0001365-0j 0.00148659-0j 0.0207395-0j -0.000176893-0j -8.41309e-08-0j -0.00098213-0j 0.00210571-0j -8.09193e-06-0j 0.0208211-0j 0.000952454-0j 0.00211399-0j 0.000247765-0j -1.29784e-06-0j 9.67037e-05-0j -0.029163-0j -0.000163688-0j -1.30294e-06-0j 0.0192668-0j -5.96027e-08-0j -0.00296095-0j 0.00195618-0j 1.82496e-06-0j -1.20568e-06-0j 
0.000427573-0j 0.00251082-0j -0.00244894-0j 0.681556-0j -0.00102896-0j -0.00296203-0j 4.47186e-06-0j 0.19427-0j -0.000293295-0j 0.00101862-0j -0.0172154-0j -0.000101574-0j 1.50057e-05-0j 0.000727736-0j 0.00171668-0j -0.00100381-0j -0.0122993-0j -1.49633e-06-0j -0.00125701-0j 1.07206e-05-0j 0.0169651-0j 0.0212444-0j -1.47875e-05-0j -1.85175e-05-0j 0.000786544-0j 0.000131091-0j 1.53939e-05-0j -0.0154299-0j -0.00156662-0j -0.00357881-0j 9.65573e-07-0j 2.56566e-06-0j 0.0034906-0j -0.000301989-0j 1.0998e-05-0j -0.000596469-0j -3.06612e-05-0j -0.0010201-0j 0.0702069-0j 0.000581767-0j 1.88978e-08-0j -0.000654754-0j 0.00712818-0j 1.83299e-06-0j -0.0684764-0j -0.000215751-0j -0.00695249-0j -0.000170017-0j -4.39341e-06-0j -2.19054e-05-0j 0.0200117-0j -0.000109126-0j 4.28512e-06-0j 0.0128445-0j 1.35013e-08-0j 0.00203181-0j 0.00130412-0j -1.25229e-06-0j -8.03786e-07-0j 
-9.25723e-05-0j -0.0503322-0j -0.0505301-0j -0.000312868-0j -0.20075-0j 6.51683e-06-0j 0.00418148-0j 0.000439942-0j 0.282286-0j 0.000654537-0j -0.0110271-0j -4.45783e-06-0j 0.131358-0j 0.000463708-0j 7.51019e-05-0j -0.000211144-0j -0.00781217-0j -0.000894638-0j 0.000272151-0j 0.0930611-0j 0.00355718-0j -0.00458498-0j -0.0423743-0j 0.0546177-0j -0.000170292-0j 0.00270486-0j 9.89173e-06-0j -1.73803e-05-0j -0.0157713-0j 0.000152594-0j -0.005736-0j -0.000157117-0j 0.000153194-0j 1.00957e-06-0j 7.00781e-06-0j -0.00242375-0j 0.000916106-0j -0.000214571-0j 1.55741e-05-0j -0.00243328-0j 0.000333187-0j 0.000141758-0j 0.0141322-0j -0.00011131-0j 1.56353e-05-0j 7.15232e-07-0j 0.0141878-0j 0.00340818-0j 0.00513988-0j 0.000649017-0j -2.18996e-05-0j -0.00225164-0j 0.00516009-0j 1.44681e-05-0j 0.000236047-0j -0.0198721-0j 0.0131287-0j -0.00722748-0j 0.0047749-0j 
0.0420647-0j -0.00219697-0j -0.00199298-0j 0.120887-0j -0.000182507-0j -0.291405-0j 0.000439942-0j 0.33544-0j -0.000506422-0j 0.00264528-0j -0.0447072-0j 0.00202563-0j 3.89686e-05-0j -0.000636769-0j -0.0342347-0j -0.000816914-0j 0.0107619-0j 2.98404e-05-0j -0.000449317-0j -9.3805e-06-0j 0.0138065-0j 0.0075938-0j -1.20343e-05-0j -6.61907e-06-0j -0.000688226-0j -0.000114704-0j -0.00449479-0j 0.0135012-0j 0.00137079-0j -0.000634772-0j -8.44877e-07-0j -0.000749131-0j -0.000575834-0j 0.0881759-0j 0.00108198-0j -0.000105795-0j 0.00895259-0j -0.00176138-0j 0.0124526-0j -9.59723e-05-0j -5.51787e-06-0j 0.00186456-0j 0.00126432-0j 0.00018033-0j 0.0112963-0j -0.0212256-0j 0.00114693-0j -0.000293563-0j -7.79256e-07-0j -0.00215506-0j 0.0345536-0j 0.000310761-0j -7.06902e-07-0j -0.0365778-0j 1.32826e-06-0j 0.00350826-0j -0.00371379-0j -2.16229e-06-0j 2.28897e-06-0j 
0.0213721-0j -0.0063995-0j 0.00219697-0j 0.235299-0j -0.000355237-0j 0.435738-0j -0.000657845-0j -0.0863659-0j 0.000130389-0j 0.00088215-0j -0.014909-0j -0.00202398-0j 1.29953e-05-0j 0.000559494-0j 0.0342068-0j -0.00265031-0j -0.00945587-0j -2.9816e-05-0j 0.000371449-0j 8.24212e-06-0j 0.0447922-0j -0.00627776-0j -3.90428e-05-0j 5.47196e-06-0j 0.000681167-0j 0.000113528-0j 0.00076946-0j -0.0133627-0j -0.00135673-0j 0.00363628-0j 8.36211e-07-0j 0.000128243-0j -0.00124834-0j -0.0150948-0j 0.000488022-0j 0.000606046-0j -0.00153259-0j -0.00133469-0j -0.0713342-0j -0.000208057-0j 9.44601e-07-0j 0.000144896-0j -0.00724264-0j 8.13369e-05-0j 0.0244892-0j -0.0095737-0j 0.00248642-0j -0.000222448-0j 4.46395e-06-0j -0.000972028-0j 0.0261831-0j 2.41494e-05-0j -1.53249e-06-0j -0.00284249-0j 5.99103e-07-0j 0.0026584-0j -0.000288601-0j -1.63848e-06-0j 1.77877e-07-0j 
-6.17149e-05-0j 0.034538-0j -0.0336867-0j 0.00102896-0j 0.660228-0j -4.47186e-06-0j -0.00286934-0j 0.000293295-0j 0.188191-0j -0.000147025-0j 0.00247696-0j 1.46609e-05-0j -0.0295063-0j -0.00010504-0j -0.000246995-0j 0.000144887-0j 0.00176962-0j 0.00294229-0j 0.000181434-0j -0.0210803-0j -0.00244094-0j -0.00305665-0j 0.0290773-0j 0.0364118-0j -0.000113528-0j 0.00180324-0j -2.22192e-06-0j -1.15869e-05-0j -0.0105142-0j 0.000516557-0j -0.003824-0j 3.52923e-05-0j -0.000503825-0j -2.26774e-07-0j -1.58742e-06-0j -0.00820483-0j -0.00020578-0j 0.000147239-0j 5.27209e-05-0j 0.0080026-0j -7.48419e-05-0j 9.45055e-05-0j 0.0478401-0j 2.5214e-05-0j -5.14214e-05-0j -1.62015e-07-0j -0.0466609-0j -0.0023387-0j 0.0173994-0j -0.000147016-0j 1.50275e-05-0j -0.0015011-0j -0.0169705-0j 9.64543e-06-0j -5.34697e-05-0j 0.0136363-0j 0.00875247-0j 0.00495951-0j 0.00318327-0j 
-0.00607152-0j -0.0302208-0j -0.0274148-0j 0.000182507-0j 0.117104-0j -0.000439942-0j -0.282286-0j 0.000506422-0j 0.324943-0j -0.000381813-0j 0.00643248-0j -0.000292375-0j -0.0766257-0j 9.19097e-05-0j 0.00492569-0j 0.000117911-0j -0.00154842-0j -0.0586764-0j 6.48534e-05-0j 0.0184453-0j -0.00198647-0j -0.0010926-0j 0.0236635-0j 0.0130154-0j 9.93368e-05-0j -0.00157783-0j 0.000648767-0j 1.01385e-05-0j 0.00919991-0j 9.16214e-05-0j 0.003346-0j -0.0103048-0j 8.31144e-05-0j 6.62145e-05-0j -0.000156171-0j -0.00145529-0j 0.0600844-0j 0.000254233-0j 9.35107e-06-0j -0.00132016-0j 0.0218527-0j -0.000269127-0j 0.00848537-0j 0.00248056-0j 8.48283e-06-0j -1.59391e-05-0j 0.0076975-0j -0.00403815-0j 0.00308612-0j -0.0144635-0j 2.59475e-05-0j 0.00427472-0j 0.00279958-0j -2.74676e-05-0j -0.00526035-0j 0.0235453-0j -0.0249247-0j 0.00856342-0j -0.0090651-0j 
-0.00308479-0j -0.0880295-0j 0.0302208-0j 0.000355237-0j 0.227935-0j 0.000657845-0j 0.422103-0j -0.000130389-0j -0.0836633-0j -0.000127327-0j 0.00214511-0j 0.000292136-0j -0.0255532-0j -8.0756e-05-0j -0.00492167-0j 0.000382539-0j 0.00136051-0j 0.0586285-0j -5.3614e-05-0j -0.0162068-0j -0.00644471-0j 0.000903245-0j 0.0767715-0j -0.0107597-0j -9.8318e-05-0j 0.00156165-0j -0.000111062-0j -1.00345e-05-0j -0.00910555-0j -0.000524851-0j -0.00331168-0j 0.00176407-0j 0.000180183-0j -1.13352e-05-0j -7.04399e-05-0j 0.00833657-0j -0.0102858-0j 0.000192646-0j -5.35674e-05-0j -0.00286197-0j -0.00374094-0j -2.0914e-05-0j -0.0486082-0j 0.00111884-0j 1.83899e-05-0j -7.18924e-06-0j 0.0166874-0j -0.00305992-0j -0.0176788-0j -0.00652367-0j 1.96618e-05-0j 0.000332191-0j 0.00606918-0j -2.13453e-06-0j -0.00237265-0j 0.0178416-0j -0.00193691-0j 0.00648896-0j -0.000704454-0j 
0.0294797-0j 0.00301854-0j 0.0031373-0j -0.336211-0j 0.000507587-0j 0.198408-0j -0.000299542-0j 0.110799-0j -0.000167277-0j -0.00126048-0j 0.021303-0j -0.00279179-0j -1.85686e-05-0j 0.00265031-0j 0.0471833-0j -0.00124936-0j -0.0447922-0j -4.11269e-05-0j -0.00250854-0j 3.90428e-05-0j 0.021115-0j 0.0423962-0j -1.84047e-05-0j -3.69543e-05-0j -0.000973298-0j -0.000162216-0j 0.00106136-0j 0.0190935-0j 0.00193859-0j -0.00171517-0j -1.19484e-06-0j 0.000176893-0j -0.00178265-0j -0.0208211-0j -0.00223164-0j -0.000285861-0j -0.00211399-0j 0.000565238-0j 0.0336471-0j -0.000297108-0j 1.30294e-06-0j -0.00217105-0j 0.00341623-0j -0.00037194-0j 0.0349709-0j 0.0437789-0j 0.00355063-0j 9.42064e-05-0j -2.10557e-06-0j 0.00444492-0j -0.0110885-0j -0.000361841-0j -2.18841e-06-0j 0.0425902-0j -2.7396e-06-0j -0.00112583-0j 0.00432423-0j 6.93896e-07-0j -2.66521e-06-0j 
-0.000264547-0j 0.00763479-0j 0.0015152-0j 0.0854801-0j -0.000129052-0j -0.0090068-0j 1.35978e-05-0j -0.120198-0j 0.000181467-0j -0.000630238-0j 0.0106515-0j -1.27393e-05-0j -9.28428e-06-0j -0.0056249-0j 0.000215304-0j -0.00305233-0j 0.095065-0j -1.87668e-07-0j 0.000777736-0j -8.28625e-05-0j 0.0515867-0j -0.0131443-0j -4.49651e-05-0j 1.14571e-05-0j -0.000486649-0j -8.11082e-05-0j -9.52451e-06-0j 0.00954677-0j 0.000969294-0j 0.00220592-0j -5.97418e-07-0j -1.58742e-06-0j 0.000437788-0j 0.000186846-0j -8.50066e-05-0j 0.000367654-0j 1.89707e-05-0j -0.00310188-0j -0.0432744-0j 7.29647e-05-0j -1.16924e-08-0j 0.000405108-0j -0.0043937-0j -1.41678e-05-0j -0.00858825-0j 0.00166761-0j -0.000871975-0j -0.000516979-0j 2.70803e-06-0j 0.000169314-0j 0.0608506-0j 6.7518e-05-0j 5.37436e-07-0j -0.00794715-0j -1.04355e-07-0j 0.00617823-0j -0.000806883-0j -3.80791e-06-0j 4.97317e-07-0j 
-0.00425503-0j 0.041522-0j 0.0431556-0j -0.000507587-0j -0.32569-0j 0.000299542-0j 0.192199-0j 0.000167277-0j 0.107332-0j 0.000181934-0j -0.00306508-0j 0.00040296-0j 0.0365122-0j -0.000382539-0j -0.00678874-0j 0.000180329-0j 0.00644471-0j 0.0808696-0j 0.000362076-0j -0.0767715-0j -0.00303803-0j -0.00609997-0j 0.03619-0j 0.0726648-0j 0.000140483-0j -0.00223139-0j -0.000153194-0j 1.4338e-05-0j 0.0130106-0j 0.000247563-0j 0.00473196-0j 0.00243328-0j 0.000257303-0j -1.56353e-05-0j 0.00032211-0j -0.00393221-0j -0.0141878-0j -8.15851e-05-0j 2.52668e-05-0j -0.00408692-0j -0.00516009-0j 0.000313364-0j 0.0229277-0j -0.00511629-0j 2.62609e-05-0j 3.28752e-05-0j 0.0238297-0j 0.00129587-0j 0.00833877-0j 0.0298317-0j -8.32675e-06-0j -0.00497737-0j 0.00866685-0j 3.19825e-05-0j 0.0108498-0j -0.00755587-0j 0.0290217-0j -0.00274806-0j 0.0105552-0j 
-0.0369157-0j 0.00128157-0j 0.00611995-0j 0.13868-0j -0.000209369-0j 0.255735-0j -0.00038609-0j -0.0609416-0j 9.20051e-05-0j 0.00051992-0j -0.00878704-0j 0.003496-0j 7.65914e-06-0j 0.000371449-0j -0.059085-0j 0.00250854-0j -0.00627776-0j 5.15009e-05-0j -0.00304583-0j 5.47196e-06-0j -0.0423962-0j 0.0514769-0j 3.69543e-05-0j -4.48694e-05-0j 0.000401465-0j 6.69108e-05-0j -0.00132908-0j -0.00787569-0j -0.000799627-0j -0.000728201-0j 4.92845e-07-0j -0.000221513-0j -0.00347743-0j 0.026073-0j -0.00094954-0j -0.000121367-0j 0.00264722-0j 0.000320001-0j 0.0142854-0j -0.000579571-0j -1.6316e-06-0j -0.00159001-0j 0.00145041-0j -0.000158257-0j 0.068218-0j 0.0186275-0j 0.00692625-0j 5.33335e-05-0j -8.93951e-07-0j 0.00189127-0j -0.00627758-0j -0.000265002-0j -4.26895e-06-0j 0.0311919-0j -1.16567e-06-0j -0.000637369-0j 0.00316695-0j 3.92838e-07-0j -1.95193e-06-0j 
-0.0300525-0j -0.00461941-0j 0.00142385-0j -0.0863659-0j 0.000130389-0j -0.612716-0j 0.000925034-0j -0.23965-0j 0.000361805-0j 0.000636769-0j -0.0107619-0j -0.00144718-0j 9.3805e-06-0j 0.000403864-0j 0.0244584-0j -0.00171767-0j -0.00682561-0j -2.1319e-05-0j 0.000321008-0j 5.94948e-06-0j 0.0290298-0j -0.00542527-0j -2.53036e-05-0j 4.72889e-06-0j 0.000491692-0j 8.19487e-05-0j -0.00108198-0j -0.00964571-0j -0.000979339-0j -0.00133469-0j 6.03609e-07-0j -0.00018033-0j 0.000411395-0j 0.0212256-0j -0.000686235-0j -0.000222448-0j 0.00215506-0j -0.00370352-0j 0.0261831-0j 6.85659e-05-0j -1.32826e-06-0j -0.00133211-0j 0.0026584-0j -0.000114373-0j -0.00807049-0j 0.0134621-0j -0.000819406-0j -0.000617253-0j -1.63848e-06-0j 0.00136682-0j 0.0726532-0j -0.000222018-0j 5.05035e-07-0j 0.0261325-0j -8.42433e-07-0j 0.00737656-0j 0.00265326-0j -4.5465e-06-0j -1.63532e-06-0j 
3.81841e-05-0j 0.105022-0j 0.0208426-0j 0.000129052-0j 0.0828052-0j -1.35978e-05-0j -0.00872495-0j -0.000181467-0j -0.116437-0j 9.0967e-05-0j -0.00153254-0j 1.83876e-06-0j 0.0182561-0j 0.000811884-0j -3.09779e-05-0j 0.000440566-0j -0.013678-0j 0.000369019-0j -0.000112257-0j 0.162936-0j -0.00742229-0j 0.00189121-0j 0.0884167-0j -0.0225287-0j 7.02417e-05-0j -0.0011157-0j 1.37474e-06-0j 7.16902e-06-0j 0.00650532-0j -0.000318398-0j 0.00236598-0j -2.1836e-05-0j -6.31893e-05-0j 1.40309e-07-0j 1.22696e-05-0j 0.00505733-0j 0.00012732-0j 0.000447717-0j -3.24963e-05-0j 0.00100368-0j 4.63061e-05-0j -5.84723e-05-0j -0.0294879-0j -0.000194887-0j -6.44923e-06-0j 1.25227e-06-0j -0.00585217-0j -0.0071114-0j -0.0107247-0j 0.00113633-0j 4.56949e-05-0j 0.000928755-0j -0.00212843-0j -5.96781e-06-0j 0.000413283-0j 0.0414646-0j -0.00541532-0j 0.0150806-0j -0.00196955-0j 
0.00532833-0j 0.0176288-0j 0.084184-0j 0.000209369-0j 0.13434-0j 0.00038609-0j 0.247733-0j -9.20051e-05-0j -0.0590345-0j -7.5044e-05-0j 0.00126428-0j -0.000504604-0j -0.0150605-0j -5.3614e-05-0j 0.00850115-0j -0.000362076-0j 0.000903245-0j -0.101268-0j 0.000439628-0j -0.0107597-0j 0.00609997-0j -0.0074065-0j -0.0726648-0j 0.0882286-0j -5.79465e-05-0j 0.000920403-0j 0.000191836-0j -5.91414e-06-0j -0.00536662-0j 0.000105107-0j -0.00195183-0j -0.00304706-0j 0.000501924-0j 1.95792e-05-0j 0.000137054-0j -0.00166948-0j 0.0177666-0j -4.61882e-05-0j 1.07274e-05-0j -0.00797239-0j 0.00646169-0j 0.000229499-0j 0.00973429-0j -0.00217693-0j 5.12274e-05-0j 1.3988e-05-0j 0.0464848-0j 0.000733638-0j 0.00354035-0j 0.0126931-0j -4.71406e-06-0j -0.00364529-0j 0.0169065-0j 2.34231e-05-0j 0.00461646-0j -0.00427764-0j 0.0212546-0j -0.00155577-0j 0.0077303-0j 
0.0043377-0j -0.063543-0j 0.0195861-0j -0.000130389-0j -0.0836633-0j -0.000925034-0j -0.593542-0j -0.000361805-0j -0.23215-0j -9.19097e-05-0j 0.00154842-0j 0.000208883-0j -0.0184453-0j -5.82928e-05-0j -0.00351908-0j 0.000247924-0j 0.000982069-0j 0.0419204-0j -4.63335e-05-0j -0.0116987-0j -0.00417682-0j 0.000780589-0j 0.0497556-0j -0.00929863-0j -7.09697e-05-0j 0.00112726-0j 0.000156171-0j -7.24331e-06-0j -0.00657274-0j 0.000192646-0j -0.0023905-0j -0.00248056-0j -5.93798e-05-0j 1.59391e-05-0j 9.90495e-05-0j -0.00305992-0j 0.0144635-0j 0.000534557-0j 1.96618e-05-0j 0.00094317-0j 0.00526035-0j 0.000192273-0j 0.0178416-0j -0.00157327-0j -6.06043e-06-0j 1.01092e-05-0j -0.00549936-0j -0.00849072-0j 0.00648896-0j 0.0091733-0j 5.45579e-05-0j -0.00305401-0j -0.00200011-0j 1.96238e-05-0j 0.00333632-0j 0.0495071-0j 0.0178071-0j 0.0180057-0j 0.00647642-0j 
0.0272791-0j 0.000689027-0j -0.00751408-0j 0.0390243-0j -5.8916e-05-0j 0.183597-0j -0.000277182-0j -0.358771-0j 0.000541646-0j -0.000287723-0j 0.00486273-0j 0.00131363-0j -4.23856e-06-0j 0.000604974-0j -0.0222013-0j 0.00299231-0j -0.0102245-0j 1.93516e-05-0j 0.0022557-0j 8.91211e-06-0j -0.0505722-0j -0.0381229-0j 4.40808e-05-0j 3.32295e-05-0j -0.00022217-0j -3.70284e-05-0j 0.00098213-0j 0.00435839-0j 0.000442512-0j 0.000199081-0j -2.7274e-07-0j 0.000163688-0j -0.00217105-0j -0.0192668-0j -0.00206505-0j 3.31802e-05-0j -0.00195618-0j -0.00183026-0j -0.00390544-0j -0.000361841-0j 1.20568e-06-0j -0.00235068-0j -0.000396524-0j -0.000344176-0j 0.0425902-0j 0.0405109-0j 0.00432423-0j -0.000305043-0j 2.44395e-07-0j 0.00411312-0j 0.0359048-0j -0.000391781-0j -2.66521e-06-0j 0.0461142-0j -2.53509e-06-0j 0.00364545-0j 0.00468203-0j -2.24685e-06-0j -2.88574e-06-0j 
-0.0039374-0j 0.00947802-0j -0.103361-0j 5.8916e-05-0j 0.0378031-0j 0.000277182-0j 0.177852-0j -0.000541646-0j -0.347544-0j 4.15292e-05-0j -0.000699651-0j -0.000189606-0j 0.00833446-0j -8.73205e-05-0j 0.00319432-0j -0.000431902-0j 0.0014711-0j -0.0380518-0j -0.000325582-0j -0.0175243-0j 0.00727633-0j 0.00548513-0j -0.086678-0j -0.0653407-0j 3.20675e-05-0j -0.00050935-0j -0.000141758-0j 3.27288e-06-0j 0.00296988-0j -2.87349e-05-0j 0.00108014-0j 0.00225164-0j 0.000313364-0j -1.44681e-05-0j 0.000298065-0j 0.000456415-0j -0.0131287-0j 0.000264175-0j -2.93274e-06-0j -0.00497737-0j -0.0047749-0j 0.000339292-0j -0.00266123-0j -0.00473437-0j 3.19825e-05-0j 3.04211e-05-0j 0.0290217-0j -0.00419607-0j -0.000967888-0j 0.0276048-0j 2.69622e-05-0j -0.0053892-0j 0.0105552-0j 3.46288e-05-0j 0.0100398-0j 0.0244661-0j 0.031423-0j 0.0088983-0j 0.0114285-0j 
-0.00903502-0j 0.000156368-0j 0.00439203-0j -0.00860404-0j 1.29898e-05-0j 0.0625905-0j -9.44945e-05-0j 0.603914-0j -0.000911745-0j 6.34369e-05-0j -0.00107213-0j -0.000435083-0j 9.34514e-07-0j 4.53215e-05-0j 0.00735322-0j 0.00180027-0j -0.000765968-0j -6.40937e-06-0j 0.00542293-0j 6.67649e-07-0j -0.030426-0j -0.0916516-0j 2.65205e-05-0j 7.98873e-05-0j 4.89839e-05-0j 8.16399e-06-0j -0.000325288-0j -0.000960935-0j -9.75648e-05-0j 4.51794e-05-0j 6.01334e-08-0j -5.42147e-05-0j 0.00126899-0j 0.0063813-0j -0.000232397-0j 7.5299e-06-0j 0.000647901-0j -0.00317112-0j -0.000886301-0j 0.000211499-0j -3.99329e-07-0j -0.000138315-0j -8.99871e-05-0j -3.87329e-05-0j -0.0248943-0j 0.00455902-0j -0.00252755-0j -0.00052852-0j 5.54629e-08-0j 0.000462883-0j 0.062209-0j -2.30524e-05-0j 1.55784e-06-0j 0.00271337-0j -2.85295e-07-0j 0.00631615-0j 0.000275491-0j -3.89292e-06-0j -1.69797e-07-0j 
0.00130409-0j 0.00215094-0j 0.0604154-0j -1.29898e-05-0j -0.0083348-0j 9.44945e-05-0j 0.0606319-0j 0.000911745-0j 0.585015-0j -9.15633e-06-0j 0.000154258-0j 6.27988e-05-0j -0.00183758-0j -6.5416e-06-0j -0.00105798-0j -0.000259847-0j 0.000110208-0j 0.012603-0j -0.000782733-0j -0.00131283-0j 0.00437769-0j 0.0131868-0j -0.0521485-0j -0.157086-0j -7.07022e-06-0j 0.000112301-0j 4.69513e-05-0j -7.21601e-07-0j -0.000654797-0j -6.52108e-06-0j -0.000238149-0j -0.00074576-0j -0.000183163-0j 4.79195e-06-0j 3.35437e-05-0j 0.000103579-0j 0.00434832-0j 0.000457712-0j -6.65555e-07-0j 0.00290931-0j 0.00158148-0j 1.9964e-05-0j -0.000603939-0j -0.000532797-0j -1.8694e-05-0j 3.42354e-06-0j -0.0169634-0j -0.00727014-0j -0.000219652-0j 0.00310659-0j 4.6715e-05-0j -0.000317102-0j -0.00616957-0j 2.03757e-06-0j 0.00112986-0j 0.0423902-0j 0.00184893-0j 0.0154173-0j 0.000672455-0j 
