-0.00287767-0j -0.000464382-0j -0.000379166-0j -5.47279e-05-0j -4.73958e-05-0j -5.58565e-06-0j -2.54949e-07-0j -0.00264584-0j -0.000418344-0j -0.00033073-0j -0.000220487-0j -4.77367e-05-0j -5.51216e-05-0j -1.94884e-05-0j -4.59347e-06-0j -4.87211e-06-0j -4.06009e-07-0j -1.51311e-08-0j -0.00172667-0j -0.00174457-0j -0.000269193-0j -0.000271982-0j -0.000208516-0j -3.00967e-05-0j -0.000210677-0j -0.000190348-0j -3.04086e-05-0j -0.000192321-0j -3.36491e-05-0j -2.24327e-05-0j -2.80409e-06-0j -3.39978e-05-0j -1.94273e-05-0j -2.26652e-05-0j -2.83315e-06-0j -1.96286e-05-0j -3.96558e-06-0j -1.98279e-06-0j -4.00668e-06-0j -2.33674e-07-0j -2.00334e-06-0j -2.86191e-07-0j -2.36096e-07-0j -1.84736e-08-0j -2.89157e-07-0j -1.8665e-08-0j -5.81863e-10-0j -5.87893e-10-0j 
-4.93706e-07-0j -0.00146867-0j 1.25036e-05-0j -4.17399e-05-0j 0.0141657-0j 0.00250933-0j -2.00723e-06-0j -4.53932e-07-0j 6.84011e-06-0j -0.00210958-0j -3.78277e-08-0j 0.0070423-0j -0.000173232-0j -0.000185287-0j -1.07361e-05-0j -0.0679247-0j 0.000367361-0j -1.79066e-07-0j -2.96236e-07-0j -2.99306e-07-0j 4.40142e-06-0j 4.44704e-06-0j 6.87611e-06-0j -2.29541e-05-0j 6.94737e-06-0j 6.31677e-06-0j -2.3192e-05-0j 6.38223e-06-0j 0.020455-0j 3.66785e-07-0j 0.00126771-0j 0.0206669-0j -6.09268e-05-0j 3.70586e-07-0j 0.00128084-0j -6.15582e-05-0j 0.000581334-0j 0.00179658-0j 0.000587358-0j -1.1e-06-0j 0.0018152-0j -0.0122273-0j -1.1114e-06-0j 2.79558e-05-0j -0.0123541-0j 2.82455e-05-0j -9.65375e-09-0j -9.7538e-09-0j 
-4.65471e-07-0j 7.15861e-06-0j -0.00169883-0j 0.0114016-0j -0.000140433-0j 0.00117675-0j -1.89244e-06-0j -4.27971e-07-0j 6.44892e-06-0j 5.11453e-06-0j -0.00148651-0j -3.43257e-05-0j 0.0235367-0j 9.10434e-07-0j 0.00293266-0j 0.000673379-0j 0.000172275-0j -1.68825e-07-0j -2.79294e-07-0j -2.82188e-07-0j 4.1497e-06-0j 4.19271e-06-0j 3.22457e-06-0j -2.16414e-05-0j 3.25798e-06-0j 8.92049e-06-0j -2.18656e-05-0j 9.01294e-06-0j -4.95916e-05-0j 0.0144135-0j -6.17907e-06-0j -5.01055e-05-0j -0.000174997-0j 0.0145629-0j -6.24311e-06-0j -0.00017681-0j -0.0789848-0j -8.82777e-06-0j -0.0798033-0j 0.000300472-0j -8.91925e-06-0j 0.000121217-0j 0.000303586-0j 1.31099e-05-0j 0.000122473-0j 1.32458e-05-0j -9.10165e-09-0j -9.19597e-09-0j 
4.11422e-08-0j 0.000246063-0j -5.18271e-07-0j 2.14688e-05-0j 2.49556e-05-0j 0.0198235-0j 0.00225462-0j 3.78277e-08-0j -1.146e-06-0j 8.7442e-05-0j 3.15231e-09-0j -0.00362219-0j 1.44362e-05-0j -8.04718e-08-0j -0.000170517-0j -0.000367361-0j -0.0657418-0j 0.000407138-0j 2.46864e-08-0j 2.49422e-08-0j -7.37419e-07-0j -7.45061e-07-0j -2.85014e-07-0j 1.18064e-05-0j -2.87968e-07-0j -5.26398e-07-0j 1.19288e-05-0j -5.31853e-07-0j -0.00170461-0j -6.14516e-08-0j 0.0201344-0j -0.00172227-0j -5.3387e-08-0j -6.20884e-08-0j 0.020343-0j -5.39402e-08-0j -0.000148726-0j 1.56873e-06-0j -0.000150268-0j 0.000395764-0j 1.58499e-06-0j 0.00204202-0j 0.000399865-0j -0.015619-0j 0.00206318-0j -0.0157808-0j 3.67885e-05-0j 3.71697e-05-0j 
-3.29137e-07-0j 2.50439e-06-0j -0.00180819-0j -8.61203e-05-0j 0.0141647-0j -2.64691e-05-0j 6.99129e-09-0j -3.02621e-07-0j 2.25611e-06-0j 1.09252e-05-0j 7.30647e-06-0j 5.20345e-07-0j 0.0123945-0j 0.0116852-0j -1.08804e-05-0j 0.00294304-0j -2.56979e-06-0j 4.98261e-10-0j -1.97491e-07-0j -1.99537e-07-0j 1.45175e-06-0j 1.46679e-06-0j 6.88804e-06-0j 3.28063e-07-0j 6.95942e-06-0j 3.14298e-06-0j 3.31462e-07-0j 3.17556e-06-0j -5.24108e-05-0j -3.50509e-05-0j 4.60085e-08-0j -5.2954e-05-0j 0.0177765-0j -3.54141e-05-0j 4.64853e-08-0j 0.0179607-0j 0.00180229-0j -0.0560567-0j 0.00182096-0j -7.39281e-07-0j -0.0566376-0j 0.000260221-0j -7.46942e-07-0j -1.4631e-07-0j 0.000262918-0j -1.47827e-07-0j 2.23651e-11-0j 2.25968e-11-0j 
2.74281e-08-0j -8.48077e-07-0j -1.04707e-06-0j -0.00414674-0j -8.65565e-08-0j -0.000138232-0j 0.00150308-0j 2.52185e-08-0j -7.64e-07-0j 3.15231e-09-0j 8.75935e-05-0j 1.24842e-05-0j 2.91656e-05-0j 1.85751e-10-0j 0.0329356-0j 1.27416e-06-0j 0.000458426-0j 0.000271425-0j 1.64576e-08-0j 1.66281e-08-0j -4.91613e-07-0j -4.96707e-07-0j 1.98744e-09-0j 7.87094e-06-0j 2.00804e-09-0j -5.25645e-07-0j 7.95251e-06-0j -5.31092e-07-0j -6.14516e-08-0j -0.00170756-0j -6.93949e-05-0j -6.20884e-08-0j -5.36484e-08-0j -0.00172526-0j -7.0114e-05-0j -5.42044e-08-0j -0.000300472-0j -3.62107e-09-0j -0.000303586-0j -0.0764423-0j -3.6586e-09-0j -7.08258e-06-0j -0.0772345-0j 0.000108913-0j -7.15598e-06-0j 0.000110042-0j 2.45256e-05-0j 2.47798e-05-0j 
-1.53328e-09-0j -1.37793e-05-0j -2.02027e-10-0j -2.01143e-06-0j 7.27061e-09-0j 3.9252e-05-0j 0.0240196-0j -1.40975e-09-0j 6.41748e-08-0j 3.40857e-08-0j -1.1748e-10-0j 0.000339366-0j 8.45577e-09-0j -1.03838e-11-0j 3.22797e-05-0j -1.79066e-07-0j -0.000407138-0j -0.0635632-0j -9.20006e-10-0j -9.2954e-10-0j 4.12947e-08-0j 4.17226e-08-0j -1.11101e-10-0j -1.10615e-06-0j -1.12253e-10-0j 1.96177e-08-0j -1.11761e-06-0j 1.9821e-08-0j -9.98444e-07-0j 3.44123e-09-0j -0.00381154-0j -1.00879e-06-0j -1.03512e-11-0j 3.47689e-09-0j -0.00385104-0j -1.04585e-11-0j -1.45748e-07-0j 3.04164e-10-0j -1.47259e-07-0j -0.000234324-0j 3.07316e-10-0j 2.01115e-06-0j -0.000236752-0j 0.00174046-0j 2.032e-06-0j 0.0017585-0j -0.018282-0j -0.0184714-0j 
-6.37372e-08-0j -1.02855e-08-0j 4.0481e-06-0j -1.21216e-09-0j -0.000194926-0j 5.96342e-08-0j -5.64683e-12-0j -5.86024e-08-0j -9.26585e-09-0j 3.53098e-06-0j -4.88353e-09-0j -1.05732e-09-0j 5.88497e-07-0j 0.0231086-0j -1.0174e-10-0j -2.00377e-05-0j 4.33469e-09-0j -3.35136e-13-0j -3.82439e-08-0j -3.86402e-08-0j -5.96232e-09-0j -6.02411e-09-0j 2.22618e-06-0j -6.66608e-10-0j 2.24925e-06-0j -4.216e-09-0j -6.73516e-10-0j -4.25969e-09-0j 3.59249e-07-0j -4.9686e-10-0j -6.21075e-11-0j 3.62972e-07-0j -7.98994e-05-0j -5.02009e-10-0j -6.27511e-11-0j -8.07274e-05-0j 4.23379e-08-0j 0.00235111-0j 4.27766e-08-0j -5.17562e-12-0j 0.00237547-0j -1.17703e-06-0j -5.22926e-12-0j 1.9723e-10-0j -1.18923e-06-0j 1.99274e-10-0j -1.28876e-14-0j -1.30212e-14-0j 
4.75069e-08-0j -1.09977e-06-0j 0.000173692-0j -0.0017769-0j -0.00205179-0j 0.0111402-0j -2.76102e-05-0j 4.36796e-08-0j -9.90738e-07-0j -1.04946e-06-0j -1.0546e-06-0j 1.07361e-05-0j -0.00362228-0j 1.78292e-05-0j 0.00688087-0j 0.02003-0j 0.00334509-0j -3.29453e-06-0j 2.85053e-08-0j 2.88007e-08-0j -6.37513e-07-0j -6.44119e-07-0j -6.61654e-07-0j 6.76884e-06-0j -6.68511e-07-0j -4.53651e-07-0j 6.83898e-06-0j -4.58352e-07-0j 1.53171e-05-0j 1.53921e-05-0j -2.90962e-05-0j 1.54758e-05-0j -0.000846358-0j 1.55516e-05-0j -2.93978e-05-0j -0.000855129-0j 0.0247478-0j -0.000260221-0j 0.0250043-0j 0.00144599-0j -0.000262918-0j -0.0542837-0j 0.00146097-0j 0.000384543-0j -0.0548462-0j 0.000388528-0j -2.22406e-07-0j -2.2471e-07-0j 
2.05711e-08-0j -3.16369e-07-0j -1.04467e-06-0j 1.73916e-06-0j -0.00359117-0j -0.000209655-0j 8.36347e-08-0j 1.89138e-08-0j -2.85005e-07-0j -9.11222e-07-0j 1.57615e-09-0j 1.51699e-06-0j 1.44736e-05-0j -0.00296778-0j 4.47339e-07-0j 0.0172197-0j -3.06931e-05-0j 7.46108e-09-0j 1.23432e-08-0j 1.24711e-08-0j -1.83393e-07-0j -1.85293e-07-0j -5.745e-07-0j 9.56422e-07-0j -5.80453e-07-0j 1.36071e-09-0j 9.66333e-07-0j 1.37481e-09-0j 8.83541e-06-0j -1.52827e-08-0j 2.73079e-07-0j 8.92697e-06-0j 1.54457e-05-0j -1.54411e-08-0j 2.75909e-07-0j 1.56057e-05-0j -4.85705e-05-0j 0.0287763-0j -4.90739e-05-0j 4.58332e-08-0j 0.0290745-0j 0.00309978-0j 4.63082e-08-0j -2.33571e-06-0j 0.0031319-0j -2.35992e-06-0j 4.0224e-10-0j 4.06408e-10-0j 
-3.06656e-09-0j 1.18646e-07-0j -5.57671e-06-0j 0.000386362-0j -2.32752e-06-0j -0.00373307-0j 0.00758044-0j -2.81951e-09-0j 1.06884e-07-0j 3.36949e-08-0j 6.8074e-08-0j -2.33443e-06-0j 0.000194374-0j 5.99801e-09-0j -0.00463564-0j 4.57953e-05-0j 0.0255859-0j 0.0028511-0j -1.84001e-09-0j -1.85908e-09-0j 6.87767e-08-0j 6.94894e-08-0j 2.12437e-08-0j -1.47179e-06-0j 2.14638e-08-0j 2.9283e-08-0j -1.48704e-06-0j 2.95865e-08-0j -8.21925e-07-0j -1.66054e-06-0j 1.96021e-05-0j -8.30443e-07-0j -5.74456e-07-0j -1.67775e-06-0j 1.98053e-05-0j -5.80409e-07-0j -0.00267654-0j -1.4631e-07-0j -0.00270427-0j 0.0222358-0j -1.47827e-07-0j -0.000384543-0j 0.0224662-0j -0.0525138-0j -0.000388528-0j -0.053058-0j 0.00039059-0j 0.000394638-0j 
-2.42433e-09-0j 7.49601e-08-0j 9.22571e-08-0j -1.26506e-06-0j 0.00042397-0j -0.00352877-0j -0.000132855-0j -2.22902e-09-0j 6.75287e-08-0j 8.04718e-08-0j -1.85751e-10-0j -1.10346e-06-0j -2.56979e-06-0j 8.60696e-05-0j 1.00478e-05-0j -0.00624109-0j 0.0117027-0j -2.39908e-05-0j -1.45466e-09-0j -1.46973e-09-0j 4.34529e-08-0j 4.39032e-08-0j 5.07352e-08-0j -6.957e-07-0j 5.12609e-08-0j -1.60361e-10-0j -7.02909e-07-0j -1.62023e-10-0j -1.56873e-06-0j 3.62107e-09-0j 6.1337e-06-0j -1.58499e-06-0j -9.06991e-07-0j 3.6586e-09-0j 6.19726e-06-0j -9.1639e-07-0j 2.64747e-05-0j -0.00167786-0j 2.6749e-05-0j -2.33206e-05-0j -0.00169524-0j 0.0346918-0j -2.35623e-05-0j 0.00278032-0j 0.0350513-0j 0.00280914-0j -2.16778e-06-0j -2.19024e-06-0j 
9.65875e-11-0j -5.23803e-09-0j -1.83725e-09-0j -2.56445e-05-0j -5.34605e-10-0j -4.34073e-06-0j -0.00539043-0j 8.88062e-11-0j -4.71874e-09-0j 1.11008e-11-0j -2.14413e-09-0j 1.54946e-07-0j 8.97579e-08-0j 6.54119e-13-0j 0.000515333-0j 1.58141e-08-0j 6.02643e-05-0j 0.0299482-0j 5.79549e-11-0j 5.85555e-11-0j -3.03638e-09-0j -3.06785e-09-0j 6.99872e-12-0j 9.76891e-08-0j 7.07125e-12-0j -9.22329e-10-0j 9.87015e-08-0j -9.31887e-10-0j -3.79548e-10-0j 7.33102e-08-0j -2.17912e-06-0j -3.83481e-10-0j -9.41348e-11-0j 7.40699e-08-0j -2.2017e-06-0j -9.51103e-11-0j -1.8582e-06-0j -2.23651e-11-0j -1.87746e-06-0j -0.00500718-0j -2.25968e-11-0j -2.22406e-07-0j -0.00505907-0j -0.00039059-0j -2.2471e-07-0j -0.000394638-0j -0.0507475-0j -0.0512734-0j 
1.5649e-10-0j -7.27061e-09-0j -3.96324e-09-0j 2.05291e-07-0j -1.35645e-05-0j 0.000770022-0j -0.00245149-0j 1.43882e-10-0j -6.54981e-09-0j -3.45696e-09-0j 1.19902e-11-0j 1.79066e-07-0j 1.6588e-07-0j 5.87302e-08-0j -3.29453e-06-0j 0.000334076-0j -0.00798697-0j 0.00648739-0j 9.38977e-11-0j 9.48708e-11-0j -4.21462e-09-0j -4.2583e-09-0j -2.17951e-09-0j 1.12896e-07-0j -2.2021e-09-0j 1.03512e-11-0j 1.14066e-07-0j 1.04585e-11-0j 1.01262e-07-0j -3.51219e-10-0j -2.01115e-06-0j 1.02311e-07-0j 1.93119e-08-0j -3.54858e-10-0j -2.032e-06-0j 1.9512e-08-0j -2.8592e-06-0j -1.72033e-06-0j -2.88883e-06-0j 2.39156e-05-0j -1.73816e-06-0j -0.00375213-0j 2.41634e-05-0j 0.0341432-0j -0.00379101-0j 0.0344971-0j 0.00186589-0j 0.00188523-0j 
-6.03672e-12-0j 3.74284e-10-0j 7.6045e-11-0j -1.48179e-08-0j -7.34248e-09-0j -4.15863e-05-0j 0.000906322-0j -5.55039e-12-0j 3.37178e-10-0j 6.63306e-11-0j -4.62532e-13-0j -1.2925e-08-0j -4.24746e-09-0j 1.18075e-11-0j 3.57715e-07-0j 2.53554e-07-0j 0.00072322-0j -0.00764843-0j -3.62218e-12-0j -3.65972e-12-0j 2.16965e-10-0j 2.19213e-10-0j 4.18196e-11-0j -8.14885e-09-0j 4.2253e-11-0j -3.99308e-13-0j -8.23329e-09-0j -4.03446e-13-0j -2.59287e-09-0j 1.80804e-11-0j 2.18368e-07-0j -2.61974e-09-0j 7.83337e-12-0j 1.82678e-11-0j 2.20631e-07-0j 7.91455e-12-0j 1.02652e-07-0j -4.61555e-10-0j 1.03715e-07-0j -4.35376e-06-0j -4.66338e-10-0j -4.2838e-06-0j -4.39888e-06-0j -0.00627858-0j -4.32819e-06-0j -0.00634365-0j 0.0274326-0j 0.0277169-0j 
1.29889e-13-0j -1.00719e-11-0j 1.71144e-14-0j 5.13084e-10-0j -1.02796e-12-0j -2.0108e-08-0j -8.85236e-05-0j 1.19425e-13-0j -9.07338e-12-0j 1.49282e-14-0j 9.95211e-15-0j 4.47541e-10-0j -1.19552e-12-0j 8.7965e-16-0j -1.65362e-08-0j 4.56769e-11-0j 4.90634e-07-0j 0.00125523-0j 7.7937e-14-0j 7.87446e-14-0j -5.83847e-12-0j -5.89897e-12-0j 9.41178e-15-0j 2.82162e-10-0j 9.50932e-15-0j 8.59174e-15-0j 2.85086e-10-0j 8.68078e-15-0j -7.29809e-13-0j -4.86539e-13-0j -1.00945e-08-0j -7.37372e-13-0j 8.76891e-16-0j -4.91581e-13-0j -1.01992e-08-0j 8.85978e-16-0j 3.71781e-11-0j -4.30044e-14-0j 3.75634e-11-0j 2.82379e-07-0j -4.345e-14-0j -1.03027e-09-0j 2.85305e-07-0j -6.41441e-06-0j -1.04095e-09-0j -6.48089e-06-0j -0.0091903-0j -0.00928554-0j 
