-0.19572-0j -0.209744-0j -0.158552-0j -0.160195-0j 0.271873-0j -0.132654-0j -0.17303-0j -0.100934-0j 0.300908-0j -0.105959-0j -0.0947724-0j -0.135417-0j 0.237889-0j -0.0558568-0j 0.368876-0j 0.240354-0j -0.107057-0j 0.493431-0j -0.0883174-0j 0.0981241-0j 0.287835-0j -0.0282178-0j 0.171717-0j -0.0312249-0j 0.100168-0j -0.036429-0j 0.0261314-0j -0.0201598-0j -0.00628592-0j -0.00105851-0j -0.0267833-0j -0.0285246-0j -0.0213935-0j -0.0216152-0j 0.0363077-0j -0.0231076-0j -0.0174677-0j -0.0134794-0j -0.012102-0j 0.0396232-0j -0.0124795-0j -0.0193332-0j -0.0178316-0j -0.00735516-0j 0.030692-0j -0.0108076-0j 0.0310101-0j 0.0498127-0j -0.0109196-0j -0.0138123-0j -0.0113946-0j 0.0346703-0j -0.00364062-0j 0.0537606-0j -0.00630442-0j 0.0202244-0j 0.0355879-0j -0.0110327-0j 0.0508505-0j -0.00643576-0j 0.0143008-0j 0.0209748-0j -0.00167893-0j -0.00142432-0j 0.014449-0j -0.00321788-0j 0.00652874-0j -0.00265462-0j 0.00143945-0j -0.00119948-0j -0.000323897-0j -4.87842e-05-0j 
0.00178055-0j 0.00190813-0j -0.00138709-0j 0.00145736-0j 0.00127209-0j -0.0035338-0j -0.00151375-0j 0.00091824-0j 0.00140794-0j -0.00660929-0j -0.00252042-0j -0.0011847-0j 0.00313433-0j 0.000508153-0j 0.000428423-0j -0.00329311-0j 0.008337-0j -0.000883023-0j 0.00226248-0j -0.00224277-0j 0.00053564-0j -0.000751703-0j -0.00234875-0j -0.00194488-0j -0.00045071-0j -0.00161892-0j 0.000122268-0j -0.000536138-0j -5.49924e-05-0j 9.62971e-06-0j -0.0114593-0j -0.0122043-0j 0.0088022-0j -0.00924811-0j -0.00798962-0j 0.00950747-0j 0.0218844-0j -0.00576721-0j -0.00517786-0j -0.0087192-0j 0.0156086-0j 0.0242216-0j 0.0073367-0j -0.00314693-0j 0.00649484-0j -0.0304887-0j -0.00682386-0j 0.0127659-0j 0.0320332-0j 0.0172756-0j 0.00468822-0j -0.0214835-0j -0.00155765-0j -0.00293652-0j -0.0385837-0j 0.0130319-0j 0.00910504-0j -0.0404069-0j 0.00427974-0j -0.00775381-0j 0.0153726-0j -0.00183571-0j 0.00210345-0j 0.00536774-0j 0.00929473-0j 0.00942625-0j 0.00138157-0j 0.00554825-0j -0.000316756-0j 0.00150024-0j 0.000133266-0j -2.08725e-05-0j 
0.011751-0j 0.000249247-0j -0.00915432-0j -0.00923734-0j -0.0163232-0j 0.00796452-0j -0.000197732-0j -0.0117603-0j -0.000357581-0j 0.000125915-0j -0.0166339-0j 0.00750912-0j 0.013735-0j -0.0097954-0j -0.0221473-0j 0.0138596-0j -0.000371901-0j 0.000563874-0j 0.00989562-0j 0.028779-0j 0.033537-0j -0.00660912-0j -0.0289458-0j -0.000254048-0j -0.0168925-0j 0.0207342-0j 0.00765831-0j 0.0138032-0j 0.0021273-0j -0.000497102-0j 0.00160806-0j 3.38969e-05-0j -0.0012352-0j -0.0012464-0j -0.00217991-0j -2.64065e-05-0j 0.00104876-0j -0.00157055-0j 0.000726601-0j -4.70858e-05-0j -0.00219033-0j 2.29744e-05-0j 0.000988792-0j -0.00128985-0j 0.00177207-0j -0.000623999-0j 0.00178814-0j -0.00299075-0j -0.000629658-0j -4.7982e-05-0j 0.00127672-0j 3.96199e-05-0j -0.000852698-0j -6.38858e-05-0j -0.00184903-0j 0.00235644-0j 0.00624619-0j 0.00185975-0j -0.00281974-0j 0.00108533-0j 8.30155e-05-0j 0.00367827-0j -0.000492042-0j -0.000753245-0j -0.00492142-0j 0.00127041-0j -0.0014705-0j 0.00227409-0j 0.000506574-0j 0.00102763-0j 0.000127945-0j -2.57812e-05-0j 
0.00118703-0j 0.00127209-0j 0.000961606-0j 0.000971571-0j -0.00414585-0j 0.000804538-0j 0.00104942-0j 0.00061216-0j -0.00458861-0j 0.000642634-0j 0.000574789-0j 0.000821299-0j -0.00362762-0j 0.000338768-0j 0.010096-0j -0.00366521-0j 0.000649294-0j 0.00401624-0j 0.00053564-0j -0.00149631-0j 0.0023428-0j 0.00017114-0j -0.00261855-0j 0.000189377-0j -0.00152749-0j 0.00022094-0j -0.000398483-0j 0.000122268-0j 3.81237e-05-0j 6.4198e-06-0j -0.00763954-0j -0.00813623-0j -0.00610217-0j -0.00616541-0j 0.0260389-0j -0.0065911-0j -0.0049824-0j -0.00384481-0j -0.00345191-0j 0.0284167-0j -0.0035596-0j -0.00551451-0j -0.0050862-0j -0.00209795-0j 0.0220115-0j -0.0030827-0j 0.0222396-0j -0.0190682-0j -0.00311465-0j -0.00393975-0j -0.00325013-0j 0.0248646-0j -0.00103843-0j -0.0692005-0j -0.00179824-0j 0.0145044-0j -0.013623-0j -0.00314693-0j -0.0194655-0j -0.00183571-0j 0.0102561-0j -0.00802909-0j -0.000478889-0j -0.000406267-0j 0.0103624-0j -0.000917854-0j 0.00468224-0j -0.000757191-0j 0.00103234-0j -0.000342135-0j -9.2387e-05-0j -1.3915e-05-0j 
-0.001799-0j 0.00185159-0j -0.00145736-0j 0.00147131-0j -0.00128527-0j 0.00357042-0j 0.00152748-0j -0.000819761-0j 0.00136622-0j -0.00641344-0j -0.000871119-0j 0.00124374-0j 0.00329311-0j -0.00240692-0j -0.000432862-0j -0.00332463-0j -0.00276741-0j 0.00089103-0j 0.00210039-0j -0.000463878-0j -0.000478194-0j 0.00790941-0j 0.00081115-0j 0.000275648-0j -0.00221997-0j -0.000295867-0j -0.00223125-0j -0.00192975-0j -0.00159647-0j -0.000511133-0j 0.0115781-0j -0.0118427-0j 0.00924811-0j -0.00933663-0j 0.00807241-0j -0.00959368-0j -0.0221112-0j 0.00514869-0j 0.00523152-0j -0.00846083-0j 0.00539473-0j 0.0235039-0j -0.00770233-0j 0.0149057-0j 0.00682386-0j -0.0320332-0j -0.00688917-0j -0.0128982-0j 0.0323398-0j -0.00573452-0j 0.00435234-0j 0.0216783-0j 0.0163896-0j -0.0028495-0j -0.00798035-0j -0.0116342-0j 0.00314693-0j 0.0139547-0j -0.00449302-0j -0.0381915-0j -0.00305368-0j 0.00869502-0j -0.0383855-0j 0.000615715-0j 0.00283854-0j -0.00138996-0j 0.0151166-0j 0.00537977-0j 0.00884297-0j 0.00936538-0j 0.00547771-0j 0.00143126-0j 
-0.000148379-0j -0.000159011-0j 0.000115591-0j -0.000121446-0j -0.000106007-0j 0.000294484-0j 0.000126146-0j -7.652e-05-0j -0.000117328-0j 0.000550774-0j 0.000210035-0j 9.8725e-05-0j -0.000261194-0j -4.23461e-05-0j -3.57019e-05-0j 0.000274426-0j -0.00069475-0j 7.35852e-05-0j -0.00018854-0j 0.000186898-0j -4.46367e-05-0j 6.26419e-05-0j 0.000195729-0j 0.000162074-0j 3.75591e-05-0j 0.00013491-0j -1.0189e-05-0j 4.46782e-05-0j 4.5827e-06-0j -8.02475e-07-0j 0.00290544-0j 0.00309434-0j -0.00223174-0j 0.0023448-0j 0.00202572-0j -0.00241056-0j -0.00554866-0j 0.00146224-0j 0.00131282-0j 0.0022107-0j -0.00395747-0j -0.00614124-0j -0.00186017-0j 0.000797884-0j -0.00164673-0j 0.00773021-0j 0.00173015-0j -0.00323672-0j -0.00812182-0j -0.00438012-0j -0.00118867-0j 0.00544701-0j 0.000394932-0j 0.000744537-0j 0.00978266-0j -0.00330415-0j -0.00230853-0j 0.0102449-0j -0.0010851-0j 0.00196593-0j -0.00389762-0j 0.000465432-0j -0.000533316-0j -0.00136096-0j -0.00235662-0j -0.00238997-0j -0.000350288-0j -0.00140672-0j 8.03114e-05-0j -0.000380377-0j -3.37887e-05-0j 5.29208e-06-0j 
0.00415461-0j 0.0044523-0j -0.0164409-0j 0.0034005-0j 0.0029682-0j 0.00281588-0j -0.0179422-0j 0.00214256-0j 0.0032852-0j 0.00224922-0j 0.0247819-0j -0.014042-0j -0.012687-0j 0.00118569-0j 0.000999653-0j 0.00262409-0j 0.0279941-0j -0.0104663-0j -0.00915799-0j 0.00784074-0j 0.00124983-0j 0.000598988-0j 0.0230939-0j -0.043199-0j -0.00534216-0j 0.00565974-0j 0.000285292-0j 0.00527154-0j -0.000651813-0j 2.24693e-05-0j 0.000568537-0j 0.000605501-0j -0.00221838-0j 0.000458832-0j 0.000396393-0j -0.00239612-0j 0.000370792-0j 0.000286132-0j 0.000256892-0j 0.000432591-0j 0.00326324-0j 0.000410391-0j -0.00184903-0j 0.00015613-0j -0.00163686-0j -0.00112068-0j 0.000338556-0j 0.000216295-0j 0.000231793-0j 0.00361175-0j -0.00118155-0j -0.00184903-0j 7.72805e-05-0j 0.000145691-0j 0.000979477-0j 0.000220801-0j 0.00190356-0j 0.00288493-0j -0.0010786-0j -0.000667351-0j 0.00114272-0j 9.10759e-05-0j 3.56391e-05-0j -0.00757232-0j 0.00194322-0j -0.00445187-0j -0.00034819-0j 0.00041243-0j 1.57154e-05-0j 0.000313651-0j -3.35863e-05-0j 1.03556e-06-0j 
-0.00685476-0j 0.0142557-0j -0.00555299-0j -0.00495745-0j 0.00952188-0j -0.00464597-0j 0.0117603-0j -0.0135106-0j -0.0204518-0j 0.00720169-0j -0.00331924-0j -0.00419068-0j 0.00833164-0j -0.0023937-0j 0.0129192-0j 0.00743809-0j 0.00727632-0j -0.033537-0j -0.0118218-0j 0.00343663-0j 0.0385284-0j 0.0124149-0j 0.00531403-0j 0.00212226-0j 0.00429264-0j -0.00487625-0j -0.0395241-0j 0.00886962-0j 0.0212005-0j 0.0108472-0j -0.000938038-0j 0.00193873-0j -0.000749269-0j -0.000668911-0j 0.00127162-0j 0.00157055-0j -0.000611775-0j -0.0018043-0j -0.00042385-0j -0.00269307-0j -0.000437073-0j 0.00131402-0j -0.000551824-0j -0.0003152-0j 0.00107494-0j -0.000378517-0j 0.000959651-0j 0.0017446-0j -0.000337922-0j 0.000938779-0j -0.00152523-0j -0.00235644-0j 0.00160175-0j -0.00365395-0j -0.000220801-0j 0.00270715-0j 0.00124641-0j -0.000341424-0j 0.00157364-0j -0.0002758-0j -0.00097198-0j 0.000898857-0j 0.0025394-0j -4.98843e-05-0j 0.00193408-0j -9.95819e-05-0j -0.00287243-0j -0.000113762-0j -0.00485483-0j 0.00181423-0j 0.00201413-0j 0.000763868-0j 
-9.89194e-05-0j -0.000106007-0j -8.01339e-05-0j -8.09643e-05-0j 0.000345487-0j -6.70448e-05-0j -8.74514e-05-0j -5.10133e-05-0j 0.000382384-0j -5.35528e-05-0j -4.78991e-05-0j -6.84416e-05-0j 0.000302301-0j -2.82307e-05-0j -0.000841332-0j 0.000305434-0j -5.41078e-05-0j -0.000334686-0j -4.46367e-05-0j 0.000124693-0j -0.000195234-0j -1.42616e-05-0j 0.000218213-0j -1.57814e-05-0j 0.000127291-0j -1.84117e-05-0j 3.32069e-05-0j -1.0189e-05-0j -3.17698e-06-0j -5.34984e-07-0j 0.00193696-0j 0.00206289-0j 0.00154717-0j 0.0015632-0j -0.006602-0j 0.00167113-0j 0.00126326-0j 0.000974827-0j 0.00087521-0j -0.00720488-0j 0.000902515-0j 0.00139817-0j 0.00128958-0j 0.000531923-0j -0.00558087-0j 0.000781601-0j -0.00563871-0j 0.00483463-0j 0.0007897-0j 0.000998901-0j 0.000824051-0j -0.00630427-0j 0.000263288-0j 0.0175454-0j 0.000455934-0j -0.00367749-0j 0.00345402-0j 0.000797884-0j 0.00493535-0j 0.000465432-0j -0.00260038-0j 0.00203573-0j 0.000121419-0j 0.000103006-0j -0.00262733-0j 0.000232716-0j -0.00118715-0j 0.000191981-0j -0.000261742-0j 8.67462e-05-0j 2.34242e-05-0j 3.52805e-06-0j 
0.000149917-0j -0.000154299-0j 0.000121446-0j -0.000122609-0j 0.000107106-0j -0.000297535-0j -0.00012729-0j 6.83134e-05-0j -0.000113852-0j 0.000534453-0j 7.25932e-05-0j -0.000103645-0j -0.000274426-0j 0.000200576-0j 3.60719e-05-0j 0.000277053-0j 0.000230618-0j -7.42525e-05-0j -0.000175033-0j 3.86565e-05-0j 3.98495e-05-0j -0.000659117-0j -6.75958e-05-0j -2.29707e-05-0j 0.000184998-0j 2.46556e-05-0j 0.000185938-0j 0.000160813-0j 0.000133039-0j 4.25944e-05-0j -0.00293554-0j 0.00300264-0j -0.0023448-0j 0.00236724-0j -0.00204671-0j 0.00243242-0j 0.00560616-0j -0.00130542-0j -0.00132642-0j 0.00214519-0j -0.0013678-0j -0.00595926-0j 0.00195288-0j -0.00377926-0j -0.00173015-0j 0.00812182-0j 0.00174671-0j 0.00327026-0j -0.00819955-0j 0.00145395-0j -0.00110351-0j -0.00549641-0j -0.00415547-0j 0.000722474-0j 0.00202337-0j 0.00294979-0j -0.000797884-0j -0.00353812-0j 0.00113918-0j 0.00968321-0j 0.000774241-0j -0.00220457-0j 0.00973242-0j -0.000156111-0j -0.000719694-0j 0.000352415-0j -0.00383272-0j -0.00136401-0j -0.00224208-0j -0.00237453-0j -0.00138884-0j -0.000362887-0j 
-0.00207731-0j -4.4061e-05-0j 0.00161827-0j 0.00163295-0j 0.00288557-0j -0.00140794-0j 3.49544e-05-0j 0.00207895-0j 6.32119e-05-0j -2.22588e-05-0j 0.00294049-0j -0.00132744-0j -0.00242803-0j 0.0017316-0j 0.00391512-0j -0.00245005-0j 6.57434e-05-0j -9.96797e-05-0j -0.00174931-0j -0.00508745-0j -0.00592856-0j 0.00116834-0j 0.00511694-0j 4.49097e-05-0j 0.00298619-0j -0.00366533-0j -0.00135381-0j -0.00244008-0j -0.000376058-0j 8.7876e-05-0j 0.0133692-0j 0.000281813-0j -0.0102692-0j -0.0103624-0j -0.0181234-0j -0.000219539-0j 0.0087192-0j -0.0130573-0j 0.00604084-0j -0.000391464-0j -0.0182101-0j 0.000191005-0j 0.00822065-0j -0.0107236-0j 0.0147327-0j -0.00518783-0j 0.0148663-0j -0.0248646-0j -0.00523487-0j -0.000398915-0j 0.0106144-0j 0.000329394-0j -0.00708919-0j -0.000531136-0j -0.0153726-0j 0.019591-0j 0.0519298-0j 0.0154617-0j -0.0234429-0j 0.00902326-0j 0.000690177-0j 0.0305805-0j -0.00409076-0j -0.00626236-0j -0.0409159-0j 0.010562-0j -0.0122255-0j 0.0189064-0j 0.00421157-0j 0.00854356-0j 0.00106372-0j -0.000214341-0j 
-0.00727057-0j 0.0074831-0j 0.0172177-0j 0.00594621-0j -0.00519435-0j -0.00492779-0j -0.0180462-0j -0.00331302-0j 0.00552151-0j 0.00378032-0j -0.00299085-0j -0.014694-0j 0.0132865-0j -0.00972744-0j -0.00174939-0j 0.00458856-0j 0.00324478-0j -0.0105269-0j 0.00847433-0j -0.0230939-0j -0.0019326-0j -0.0109163-0j 0.00278495-0j 0.0350733-0j 0.0262276-0j -0.0147296-0j -0.00901751-0j -0.00662549-0j 0.0188613-0j -0.00206572-0j -0.000994939-0j 0.00101768-0j 0.0023232-0j 0.000802326-0j -0.000693688-0j -0.00241001-0j -0.000648886-0j -0.000442443-0j -0.000449561-0j 0.000727066-0j -0.000393831-0j 0.000689756-0j -0.00193489-0j -0.0012809-0j 0.00171421-0j 0.00117364-0j 0.000592008-0j -0.000378517-0j 0.00040532-0j 0.000418636-0j 0.00109334-0j -0.00185975-0j -0.00140841-0j 0.000244867-0j -0.00288493-0j -0.000341424-0j -0.000229735-0j 0.0003479-0j -0.00112868-0j 0.00327639-0j 0.00323252-0j -0.00074719-0j -0.00112648-0j -0.00308704-0j -0.000207222-0j 0.0037605-0j 0.00379741-0j -0.00569484-0j -0.000759904-0j -0.000683699-0j 0.00137605-0j -0.000122993-0j 
-0.000734439-0j -0.000787063-0j 0.00290636-0j -0.000601129-0j -0.000524709-0j -0.000497782-0j 0.00317176-0j -0.000378755-0j -0.000580746-0j -0.00039761-0j -0.00438085-0j 0.0024823-0j 0.00224277-0j -0.000209602-0j -0.000176715-0j -0.000463878-0j -0.0049487-0j 0.00185019-0j 0.00161892-0j -0.00138606-0j -0.00022094-0j -0.000105887-0j -0.00408247-0j 0.00763657-0j 0.00094437-0j -0.00100051-0j -5.0433e-05-0j -0.000931886-0j 0.000115225-0j -3.97205e-06-0j 0.00472672-0j 0.00503403-0j -0.0184432-0j 0.00381465-0j 0.00329555-0j -0.019921-0j 0.0030827-0j 0.00237885-0j 0.00213576-0j 0.00359649-0j 0.0271301-0j 0.00341193-0j -0.0153726-0j 0.00129804-0j -0.0136086-0j -0.00931717-0j 0.0028147-0j 0.00179824-0j 0.00192709-0j 0.0300275-0j -0.00982321-0j -0.0153726-0j 0.000642498-0j 0.00121125-0j 0.00814321-0j 0.00183571-0j 0.0158259-0j 0.0239848-0j -0.00896732-0j -0.00554825-0j 0.00950041-0j 0.000757191-0j 0.000296298-0j -0.0629551-0j 0.0161556-0j -0.0370121-0j -0.00289479-0j 0.00342888-0j 0.000130655-0j 0.00260764-0j -0.000279231-0j 8.60945e-06-0j 
0.00424117-0j -0.0132753-0j -0.00330397-0j 0.0162737-0j 0.00303004-0j 0.00287455-0j 0.0105316-0j 0.00267624-0j -0.0097954-0j -0.00670645-0j -0.0060035-0j -0.0132291-0j -0.0025496-0j -0.0166568-0j 0.00102048-0j 0.0125581-0j 0.0198081-0j 0.00614342-0j -0.0022519-0j -0.00534216-0j 0.00156114-0j -0.0113482-0j -0.0262276-0j 0.013531-0j 0.0147738-0j -0.00471839-0j 0.00893945-0j 0.0237008-0j -0.0262003-0j 0.0292162-0j 0.000580381-0j -0.00180541-0j -0.000445807-0j 0.00219582-0j 0.000404651-0j 0.00140646-0j 0.000378517-0j 0.000357403-0j 0.000262244-0j -0.00128985-0j -0.000790533-0j -0.00122366-0j -0.00174199-0j -0.00219335-0j -0.000328945-0j -0.000225213-0j 0.00162022-0j 0.000220801-0j 0.00110929-0j 0.00255561-0j -0.000290536-0j 0.00108533-0j -0.00146413-0j -0.000434405-0j -0.000667351-0j 0.0002758-0j -0.000461144-0j -0.00327639-0j -0.00101616-0j 0.00184557-0j 0.00227409-0j -0.00127945-0j 0.00111673-0j -0.000271861-0j -0.000576008-0j -0.00223812-0j 0.00129862-0j 0.00386702-0j 0.00320887-0j -0.00233229-0j -0.00389846-0j 0.00255926-0j 
0.00121176-0j -0.00252007-0j 0.00098164-0j 0.000876361-0j -0.00168325-0j 0.000821299-0j -0.00207895-0j 0.00238836-0j 0.0036154-0j -0.00127309-0j 0.000586764-0j 0.000740815-0j -0.00147284-0j 0.00042315-0j -0.00228382-0j -0.00131488-0j -0.00128628-0j 0.00592856-0j 0.00208982-0j -0.000607516-0j -0.00681092-0j -0.00219466-0j -0.000939397-0j -0.000375166-0j -0.000758839-0j 0.000862007-0j 0.00698693-0j -0.00156794-0j -0.00374775-0j -0.00191753-0j -0.00779869-0j 0.0161183-0j -0.0062293-0j -0.00556122-0j 0.010572-0j 0.0130573-0j -0.0050862-0j -0.0150007-0j -0.00352382-0j -0.0223897-0j -0.00363376-0j 0.0109245-0j -0.00458777-0j -0.00262052-0j 0.00893684-0j -0.00314693-0j 0.00797838-0j 0.0145044-0j -0.00280943-0j 0.00780486-0j -0.0126805-0j -0.019591-0j 0.0133167-0j -0.0303783-0j -0.00183571-0j 0.0225068-0j 0.0103624-0j -0.00283854-0j 0.013083-0j -0.00229295-0j -0.00808089-0j 0.00747295-0j 0.0211121-0j -0.00041473-0j 0.0160796-0j -0.000827908-0j -0.0238809-0j -0.000945795-0j -0.0403623-0j 0.0150832-0j 0.0167451-0j 0.00635067-0j 
0.000173109-0j 3.67175e-06-0j -0.000134856-0j -0.000136079-0j -0.000240464-0j 0.000117328-0j -2.91287e-06-0j -0.000173246-0j -5.26766e-06-0j 1.8549e-06-0j -0.000245041-0j 0.00011062-0j 0.000202336-0j -0.0001443-0j -0.00032626-0j 0.000204171-0j -5.47861e-06-0j 8.30665e-06-0j 0.000145776-0j 0.000423954-0j 0.000494046-0j -9.73615e-05-0j -0.000426412-0j -3.74248e-06-0j -0.000248849-0j 0.000305444-0j 0.000112818-0j 0.00020334-0j 3.13382e-05-0j -7.323e-06-0j -0.00338967-0j -7.1452e-05-0j 0.0026037-0j 0.00262731-0j 0.00459509-0j 5.56628e-05-0j -0.0022107-0j 0.0033106-0j -0.00153162-0j 9.92532e-05-0j 0.00461705-0j -4.84282e-05-0j -0.0020843-0j 0.0027189-0j -0.00373539-0j 0.00131534-0j -0.00376926-0j 0.00630427-0j 0.00132727-0j 0.000101142-0j -0.00269122-0j -8.35157e-05-0j 0.00179742-0j 0.000134666-0j 0.00389762-0j -0.00496718-0j -0.0131665-0j -0.00392021-0j 0.0059438-0j -0.00228779-0j -0.00017499-0j -0.0077535-0j 0.00103719-0j 0.00158778-0j 0.010374-0j -0.00267792-0j 0.0030997-0j -0.0047936-0j -0.00106782-0j -0.00216617-0j -0.000269699-0j 5.43448e-05-0j 
6.12032e-05-0j 6.55886e-05-0j -0.000242197-0j 5.00941e-05-0j 4.37257e-05-0j 4.14819e-05-0j -0.000264313-0j 3.15629e-05-0j 4.83955e-05-0j 3.31341e-05-0j 0.000365071-0j -0.000206858-0j -0.000186898-0j 1.74669e-05-0j 1.47263e-05-0j 3.86565e-05-0j 0.000412392-0j -0.000154183-0j -0.00013491-0j 0.000115505-0j 1.84117e-05-0j 8.82393e-06-0j 0.000340206-0j -0.000636381-0j -7.86975e-05-0j 8.33759e-05-0j 4.20275e-06-0j 7.76572e-05-0j -9.60211e-06-0j 3.31004e-07-0j -0.00119843-0j -0.00127635-0j 0.00467617-0j -0.000967181-0j -0.000835566-0j 0.00505084-0j -0.000781601-0j -0.000603144-0j -0.000541509-0j -0.000911867-0j -0.00687867-0j -0.000865073-0j 0.00389762-0j -0.00032911-0j 0.00345038-0j 0.00236231-0j -0.000713649-0j -0.000455934-0j -0.000488602-0j -0.00761329-0j 0.00249061-0j 0.00389762-0j -0.000162901-0j -0.000307106-0j -0.00206466-0j -0.000465432-0j -0.00401256-0j -0.00608121-0j 0.00227361-0j 0.00140672-0j -0.00240877-0j -0.000191981-0j -7.51245e-05-0j 0.0159619-0j -0.00409615-0j 0.0093842-0j 0.000733957-0j -0.000869371-0j -3.31268e-05-0j -0.000661151-0j 7.07973e-05-0j -2.18287e-06-0j 
0.00128527-0j -0.00132284-0j -0.00304369-0j -0.00105115-0j 0.00091824-0j 0.000871119-0j 0.00319015-0j 0.000585665-0j -0.000976075-0j -0.000668273-0j 0.000528712-0j 0.00259755-0j -0.00234875-0j 0.00171958-0j 0.000309252-0j -0.00081115-0j -0.000573602-0j 0.00186092-0j -0.00149806-0j 0.00408247-0j 0.000341638-0j 0.00192975-0j -0.000492315-0j -0.00620014-0j -0.00463642-0j 0.00260385-0j 0.00159409-0j 0.00117123-0j -0.00333423-0j 0.000365171-0j -0.00827176-0j 0.00846083-0j 0.0193147-0j 0.00667041-0j -0.00576721-0j -0.0200364-0j -0.00539473-0j -0.0036784-0j -0.00373758-0j 0.00604471-0j -0.00327425-0j 0.00573452-0j -0.0160863-0j -0.0106492-0j 0.0142516-0j 0.00975743-0j 0.00492186-0j -0.00314693-0j 0.00336977-0j 0.00348047-0j 0.00908988-0j -0.0154617-0j -0.0117093-0j 0.00203578-0j -0.0239848-0j -0.00283854-0j -0.00190998-0j 0.00289239-0j -0.00938369-0j 0.0272393-0j 0.0268746-0j -0.00621202-0j -0.00936538-0j -0.0256651-0j -0.00172281-0j 0.0312642-0j 0.031571-0j -0.047346-0j -0.00631772-0j -0.00568417-0j 0.0114402-0j -0.00102254-0j 
-0.00110641-0j 0.00578764-0j -0.000896297-0j -0.0163564-0j -0.00079046-0j -0.000749896-0j 0.00477456-0j 0.0246412-0j 0.0042705-0j 0.00292381-0j -0.000535752-0j -0.0138266-0j -0.000691652-0j -0.00969224-0j -0.000266217-0j -0.0126219-0j 0.00295411-0j 0.00278516-0j 0.0215611-0j -0.000285292-0j 0.014374-0j -0.0223075-0j -0.00901751-0j 0.000861615-0j -0.00893945-0j 0.00889348-0j 0.0112193-0j -0.0159373-0j 0.0344731-0j -0.0294394-0j -0.000151407-0j 0.000787104-0j -0.000120938-0j -0.00220698-0j -0.000105563-0j 0.000637627-0j -9.87454e-05-0j 0.00329075-0j -6.84128e-05-0j 0.000562334-0j -7.05471e-05-0j 0.000533477-0j -0.00182067-0j -0.00127626-0j -8.92358e-05-0j -6.10956e-05-0j -0.00162845-0j -5.76015e-05-0j -0.00111493-0j 0.000381134-0j 0.00278177-0j 0.000492042-0j -0.00287808-0j 0.000189387-0j -3.56391e-05-0j 0.0025394-0j -4.11525e-05-0j -0.00112648-0j -0.00106206-0j -0.00111673-0j 0.000202957-0j -0.000744486-0j 0.00140153-0j -8.05173e-06-0j 0.00181423-0j -0.000328557-0j -0.00265454-0j -0.000460627-0j 0.00406014-0j 0.0010013-0j 0.00166225-0j -0.00755456-0j 
-0.00010098-0j 0.000210006-0j -8.18033e-05-0j -7.30301e-05-0j 0.000140271-0j -6.84416e-05-0j 0.000173246-0j -0.00019903-0j -0.000301284-0j 0.000106091-0j -4.8897e-05-0j -6.17346e-05-0j 0.000122737-0j -3.52625e-05-0j 0.000190318-0j 0.000109573-0j 0.00010719-0j -0.000494046-0j -0.000174152-0j 5.06263e-05-0j 0.000567576-0j 0.000182889-0j 7.82831e-05-0j 3.12639e-05-0j 6.32365e-05-0j -7.18339e-05-0j -0.000582244-0j 0.000130662-0j 0.000312312-0j 0.000159794-0j 0.00197731-0j -0.00408669-0j 0.0015794-0j 0.00141001-0j -0.00268047-0j -0.0033106-0j 0.00128958-0j 0.00380332-0j 0.000893444-0j 0.00567678-0j 0.000921317-0j -0.00276985-0j 0.0011632-0j 0.000664416-0j -0.00226588-0j 0.000797884-0j -0.00202287-0j -0.00367749-0j 0.000712313-0j -0.00197887-0j 0.00321507-0j 0.00496718-0j -0.00337636-0j 0.00770223-0j 0.000465432-0j -0.00570646-0j -0.00262733-0j 0.000719694-0j -0.00331711-0j 0.000581364-0j 0.00204886-0j -0.00189472-0j -0.00535285-0j 0.000105152-0j -0.00407689-0j 0.000209911-0j 0.00605485-0j 0.000239801-0j 0.0102336-0j -0.00382426-0j -0.00424563-0j -0.00161017-0j 
-0.000107106-0j 0.000110236-0j 0.000253641-0j 8.7596e-05-0j -7.652e-05-0j -7.25932e-05-0j -0.000265846-0j -4.88054e-05-0j 8.13396e-05-0j 5.56894e-05-0j -4.40593e-05-0j -0.000216463-0j 0.000195729-0j -0.000143299-0j -2.5771e-05-0j 6.75958e-05-0j 4.78001e-05-0j -0.000155077-0j 0.000124839-0j -0.000340206-0j -2.84698e-05-0j -0.000160813-0j 4.10262e-05-0j 0.000516678-0j 0.000386369-0j -0.000216988-0j -0.00013284-0j -9.76027e-05-0j 0.000277852-0j -3.04309e-05-0j 0.00209725-0j -0.00214519-0j -0.00489712-0j -0.00169124-0j 0.00146224-0j 0.00508011-0j 0.0013678-0j 0.000932636-0j 0.00094764-0j -0.0015326-0j 0.000830165-0j -0.00145395-0j 0.00407859-0j 0.00270003-0j -0.00361342-0j -0.00247394-0j -0.00124791-0j 0.000797884-0j -0.000854384-0j -0.000882453-0j -0.00230468-0j 0.00392021-0j 0.00296881-0j -0.000516161-0j 0.00608121-0j 0.000719694-0j 0.000484263-0j -0.000733347-0j 0.00237918-0j -0.00690637-0j -0.00681389-0j 0.00157502-0j 0.00237453-0j 0.00650724-0j 0.000436807-0j -0.00792685-0j -0.00800464-0j 0.0120043-0j 0.00160182-0j 0.00144119-0j -0.0029006-0j 0.000259259-0j 
