-0.317286-0j -0.00585466-0j -0.253436-0j 0.247189-0j -0.221217-0j -0.00474281-0j -0.20693-0j 0.311066-0j -0.143365-0j -0.00418277-0j -0.147838-0j -0.00396812-0j 0.203921-0j 0.255358-0j -0.187001-0j -0.128031-0j 0.182392-0j -0.120709-0j 0.124875-0j -0.00283496-0j 0.262953-0j -0.00365992-0j 0.168777-0j -0.0014087-0j -0.0746848-0j 0.240043-0j -0.0862386-0j 0.12617-0j 0.118954-0j 0.223439-0j -0.00150964-0j 0.148959-0j 0.0973788-0j -0.0168731-0j 0.171495-0j 0.0367994-0j 0.155668-0j 0.0921637-0j 0.0515584-0j 0.0695708-0j 0.0263274-0j 0.00510113-0j 
0.00116588-0j 2.15132e-05-0j 0.000931262-0j -0.000908308-0j 0.000812872-0j 1.74277e-05-0j -0.00225672-0j -0.00114303-0j 0.000526801-0j 1.53698e-05-0j 0.000543236-0j -4.32754e-05-0j -0.000749316-0j -0.000938326-0j 0.000687145-0j -0.00326301-0j -0.000670209-0j -0.00131642-0j 0.00318258-0j 1.04172e-05-0j -0.000966234-0j -3.99142e-05-0j -0.000620179-0j 5.17635e-06-0j -0.000814494-0j 0.00261784-0j 0.000316888-0j 0.00137597-0j -0.000437101-0j 0.00243677-0j 5.54724e-06-0j -0.000547357-0j 0.00106199-0j 6.2001e-05-0j -0.000630165-0j -0.000135221-0j -0.00057201-0j -0.00033866-0j -0.000189454-0j -0.000255641-0j -9.67411e-05-0j -1.87443e-05-0j 
0.00155451-0j 0.00165558-0j -0.00120633-0j 0.00125455-0j -0.00213146-0j -0.00130299-0j 0.00101383-0j 0.00078235-0j 0.000702402-0j -0.0023261-0j -0.00213171-0j 0.0011221-0j -0.00100549-0j 0.000426896-0j 0.0017505-0j -0.000609418-0j -0.00182046-0j -0.0029175-0j 0.000633776-0j -0.00235937-0j -0.000642517-0j 0.0019774-0j 0.000211303-0j -0.00314691-0j -0.0017983-0j -0.00118728-0j 0.00613442-0j -0.00188457-0j 0.0028935-0j -0.0003629-0j 0.00412597-0j -0.00122848-0j 9.74454e-05-0j -0.000732245-0j 0.00249641-0j -0.0012861-0j 0.000372362-0j -0.000757215-0j -8.45038e-05-0j -0.000204891-0j -1.82639e-05-0j 2.83145e-06-0j 
-0.00673262-0j 0.013968-0j 0.00522467-0j -0.00487844-0j -0.0046941-0j -0.0109933-0j -0.00439093-0j -0.0130253-0j -0.00304212-0j 0.00997923-0j 0.00923248-0j 0.00946712-0j 0.00390994-0j -0.00221355-0j 0.0038551-0j 0.00263941-0j -0.00359963-0j -0.00256137-0j -0.0024645-0j -0.0199058-0j 0.0106972-0j -0.00848325-0j 0.0116557-0j 0.00336088-0j 0.0077885-0j -0.0100513-0j 0.00538561-0j 0.00732834-0j 0.0022808-0j 0.00188172-0j -0.0177009-0j -0.00129124-0j 0.018422-0j 0.00317137-0j 0.0211341-0j 0.00500113-0j -0.0104444-0j 0.00392634-0j 0.018096-0j -0.0387345-0j -0.0141744-0j 0.00553035-0j 
-0.000237985-0j -4.39136e-06-0j -0.000190093-0j 0.000185408-0j -0.000165927-0j -3.55741e-06-0j 0.000460652-0j 0.000233319-0j -0.000107533-0j -3.13734e-06-0j -0.000110888-0j 8.83354e-06-0j 0.000152954-0j 0.000191535-0j -0.000140263-0j 0.000666059-0j 0.000136806-0j 0.000268713-0j -0.000649642-0j -2.1264e-06-0j 0.000197232-0j 8.14745e-06-0j 0.000126593-0j -1.05662e-06-0j 0.000166258-0j -0.000534365-0j -6.46844e-05-0j -0.000280869-0j 8.92229e-05-0j -0.000497403-0j -1.13233e-06-0j 0.000111729-0j -0.000216778-0j -1.26559e-05-0j 0.000128632-0j 2.76019e-05-0j 0.000116761-0j 6.91286e-05-0j 3.86721e-05-0j 5.21825e-05-0j 1.97472e-05-0j 3.82617e-06-0j 
0.000951938-0j 0.00101383-0j -0.000738726-0j 0.000768252-0j -0.00130525-0j -0.000797916-0j 0.000620841-0j 0.000479089-0j 0.000430132-0j -0.00142444-0j -0.0013054-0j 0.000687145-0j -0.000615733-0j 0.000261419-0j 0.00107196-0j -0.000373191-0j -0.0011148-0j -0.0017866-0j 0.000388107-0j -0.00144481-0j -0.00039346-0j 0.0012109-0j 0.000129396-0j -0.00192708-0j -0.00110123-0j -0.000727058-0j 0.00375655-0j -0.00115406-0j 0.0017719-0j -0.00022223-0j 0.00252663-0j -0.000752287-0j 5.96729e-05-0j -0.000448407-0j 0.00152873-0j -0.000787572-0j 0.000228024-0j -0.000463698-0j -5.17478e-05-0j -0.00012547-0j -1.11843e-05-0j 1.7339e-06-0j 
-0.00157062-0j 0.00161477-0j -0.00125455-0j 0.00126679-0j 0.00215355-0j 0.00130811-0j -0.00102434-0j -0.000709709-0j -0.000709681-0j -0.00226877-0j -0.000731821-0j 0.00109445-0j 0.00104505-0j -0.00203858-0j 0.00182046-0j -0.000633776-0j -0.00183822-0j 0.00294774-0j 0.000639959-0j 0.00078191-0j -0.000599938-0j -0.00198517-0j -0.00223873-0j -0.00306935-0j -0.000369702-0j 0.00107704-0j 0.00210596-0j 0.000646591-0j -0.00300734-0j -0.00178376-0j -0.000818842-0j 0.00586644-0j -0.00178966-0j -8.35247e-05-0j 0.000769476-0j 0.000188589-0j 0.00406074-0j -0.000735764-0j 0.00237353-0j -0.00127859-0j -0.000747478-0j -0.000195263-0j 
1.40234e-05-0j 2.58764e-07-0j 1.12013e-05-0j -1.09253e-05-0j 9.77733e-06-0j 2.09622e-07-0j -2.71442e-05-0j -1.37485e-05-0j 6.33644e-06-0j 1.8487e-07-0j 6.53412e-06-0j -5.20522e-07-0j -9.01287e-06-0j -1.12863e-05-0j 8.26508e-06-0j -3.92479e-05-0j -8.06136e-06-0j -1.58341e-05-0j 3.82805e-05-0j 1.25299e-07-0j -1.1622e-05-0j -4.80093e-07-0j -7.45959e-06-0j 6.22618e-08-0j -9.79684e-06-0j 3.14878e-05-0j 3.81157e-06-0j 1.65504e-05-0j -5.25751e-06-0j 2.93097e-05-0j 6.6723e-08-0j -6.58368e-06-0j 1.27737e-05-0j 7.45756e-07-0j -7.57971e-06-0j -1.62646e-06-0j -6.88021e-06-0j -4.07344e-06-0j -2.27877e-06-0j -3.07488e-06-0j -1.16361e-06-0j -2.25459e-07-0j 
0.00215111-0j -0.00896538-0j 0.00171822-0j 0.0182044-0j 0.00149979-0j -0.00726279-0j 0.00140292-0j -0.0137883-0j 0.000971973-0j -0.00640518-0j 0.0010023-0j -0.00607649-0j 0.0150178-0j -0.0109987-0j 0.00126782-0j 0.000868014-0j 0.0134324-0j 0.000818371-0j 0.00919652-0j -0.00434125-0j -0.0116557-0j -0.00560453-0j 0.0145438-0j -0.00215719-0j 0.000506341-0j -0.0106401-0j 0.000584673-0j 0.00929182-0j 0.00876041-0j -0.00962382-0j -0.00231175-0j -0.00641588-0j 0.0190427-0j 0.000114395-0j -0.00760169-0j 0.00271011-0j 0.0134142-0j -0.00396962-0j -0.000789293-0j 0.0136047-0j -0.0262943-0j -0.0400525-0j 
-0.000194314-0j -0.000206947-0j 0.000150792-0j -0.000156819-0j 0.000266433-0j 0.000162874-0j -0.000126729-0j -9.77937e-05-0j -8.78002e-05-0j 0.000290763-0j 0.000266463-0j -0.000140263-0j 0.000125686-0j -5.33619e-05-0j -0.000218812-0j 7.61773e-05-0j 0.000227558-0j 0.000364688-0j -7.92219e-05-0j 0.000294921-0j 8.03146e-05-0j -0.000247175-0j -2.64128e-05-0j 0.000393364-0j 0.000224788-0j 0.00014841-0j -0.000766802-0j 0.000235571-0j -0.000361687-0j 4.53625e-05-0j -0.000515747-0j 0.00015356-0j -1.21807e-05-0j 9.15306e-05-0j -0.000312051-0j 0.000160763-0j -4.65453e-05-0j 9.46519e-05-0j 1.0563e-05-0j 2.56114e-05-0j 2.28299e-06-0j -3.53931e-07-0j 
-0.000961803-0j 0.000988841-0j -0.000768252-0j 0.000775747-0j 0.00131878-0j 0.000801053-0j -0.000627275-0j -0.000434606-0j -0.000434589-0j -0.00138933-0j -0.000448147-0j 0.000670209-0j 0.000639959-0j -0.00124837-0j 0.0011148-0j -0.000388107-0j -0.00112568-0j 0.00180511-0j 0.000391893-0j 0.00047882-0j -0.000367386-0j -0.00121566-0j -0.00137094-0j -0.00187958-0j -0.000226396-0j 0.000659551-0j 0.00128963-0j 0.000395954-0j -0.00184161-0j -0.00109233-0j -0.000501436-0j 0.00359245-0j -0.00109594-0j -5.11482e-05-0j 0.000471206-0j 0.000115487-0j 0.00248668-0j -0.000450561-0j 0.00145349-0j -0.000782975-0j -0.000457735-0j -0.000119574-0j 
-0.0013602-0j -2.50987e-05-0j 0.00319756-0j 0.00105969-0j -0.000948351-0j 5.98393e-05-0j -0.000887101-0j 0.00133353-0j -0.000614602-0j -1.79314e-05-0j -0.000562634-0j -1.70112e-05-0j -0.00257283-0j 0.00109471-0j 0.00235937-0j 0.00161535-0j 0.00078191-0j -0.000517476-0j 0.000535337-0j -1.07892e-05-0j -0.00331764-0j 4.61766e-05-0j 0.000723542-0j -6.03908e-06-0j -0.00399973-0j 0.00102906-0j -0.000328203-0j 0.000480171-0j -0.00150082-0j -0.00281909-0j -8.08484e-05-0j 0.000638583-0j 0.00041746-0j -0.00426943-0j 0.000652667-0j 0.00502791-0j -0.00196404-0j 0.0049358-0j 0.000221029-0j 0.00026477-0j -0.000332168-0j 2.18684e-05-0j 
-0.000832946-0j -1.53698e-05-0j 0.0019581-0j 0.000648927-0j -0.000580744-0j 3.66439e-05-0j -0.000543236-0j 0.000816617-0j -0.000376365-0j -1.09807e-05-0j -0.000344542-0j -1.04172e-05-0j -0.00157553-0j 0.000670372-0j 0.00144481-0j 0.000989194-0j 0.00047882-0j -0.000316888-0j 0.000327826-0j -6.607e-06-0j -0.00203163-0j 2.82773e-05-0j 0.000443077-0j -3.69816e-06-0j -0.00244932-0j 0.000630165-0j -0.000200983-0j 0.000294043-0j -0.000919061-0j -0.00172633-0j -4.95093e-05-0j 0.000391051-0j 0.000255641-0j -0.00261448-0j 0.000399675-0j 0.00307896-0j -0.00120272-0j 0.00302255-0j 0.000135352-0j 0.000162138-0j -0.00020341-0j 1.33916e-05-0j 
1.145e-05-0j 1.21945e-05-0j -8.8855e-06-0j 9.24064e-06-0j -1.56997e-05-0j -9.59743e-06-0j 7.46756e-06-0j 5.76255e-06-0j 5.17368e-06-0j -1.71334e-05-0j -1.57015e-05-0j 8.26508e-06-0j -7.40612e-06-0j 3.14438e-06-0j 1.28936e-05-0j -4.48879e-06-0j -1.3409e-05-0j -2.14894e-05-0j 4.6682e-06-0j -1.73784e-05-0j -4.73258e-06-0j 1.45649e-05-0j 1.55639e-06-0j -2.31792e-05-0j -1.32457e-05-0j -8.74515e-06-0j 4.51843e-05-0j -1.38812e-05-0j 2.13126e-05-0j -2.67301e-06-0j 3.03907e-05-0j -9.0486e-06-0j 7.17753e-07-0j -5.39349e-06-0j 1.83878e-05-0j -9.47302e-06-0j 2.74271e-06-0j -5.57742e-06-0j -6.22429e-07-0j -1.50917e-06-0j -1.34527e-07-0j 2.08556e-08-0j 
0.0011221-0j -0.002328-0j -0.000870779-0j 0.000813073-0j 0.00078235-0j 0.00183221-0j 0.000731821-0j 0.00217088-0j 0.00050702-0j -0.0016632-0j -0.00153875-0j -0.00157785-0j -0.000651657-0j 0.000368925-0j -0.000642517-0j -0.000439901-0j 0.000599938-0j 0.000426896-0j 0.00041075-0j 0.00331764-0j -0.00178287-0j 0.00141387-0j -0.00194262-0j -0.000560147-0j -0.00129808-0j 0.00167522-0j -0.000897602-0j -0.00122139-0j -0.000380133-0j -0.00031362-0j 0.00295014-0j 0.000215206-0j -0.00307033-0j -0.000528562-0j -0.00352236-0j -0.000833521-0j 0.00174073-0j -0.000654389-0j -0.003016-0j 0.00645575-0j 0.00236239-0j -0.000921726-0j 
0.000196327-0j -0.000201846-0j 0.000156819-0j -0.000158349-0j -0.000269194-0j -0.000163514-0j 0.000128042-0j 8.87136e-05-0j 8.87101e-05-0j 0.000283596-0j 9.14776e-05-0j -0.000136806-0j -0.000130631-0j 0.000254823-0j -0.000227558-0j 7.92219e-05-0j 0.000229778-0j -0.000368467-0j -7.99949e-05-0j -9.77388e-05-0j 7.49923e-05-0j 0.000248147-0j 0.000279841-0j 0.000383669-0j 4.62128e-05-0j -0.00013463-0j -0.000263246-0j -8.08238e-05-0j 0.000375918-0j 0.00022297-0j 0.000102355-0j -0.000733305-0j 0.000223707-0j 1.04406e-05-0j -9.61845e-05-0j -2.35736e-05-0j -0.000507592-0j 9.19705e-05-0j -0.000296692-0j 0.000159824-0j 9.34348e-05-0j 2.44079e-05-0j 
0.000170024-0j 3.13734e-06-0j -0.000399695-0j -0.000132462-0j 0.000118544-0j -7.47991e-06-0j 0.000110888-0j -0.000166691-0j 7.68252e-05-0j 2.24143e-06-0j 7.03293e-05-0j 2.1264e-06-0j 0.000321604-0j -0.000136839-0j -0.000294921-0j -0.000201918-0j -9.77388e-05-0j 6.46844e-05-0j -6.69172e-05-0j 1.34865e-06-0j 0.000414705-0j -5.77208e-06-0j -9.04427e-05-0j 7.54884e-07-0j 0.000499966-0j -0.000128632-0j 4.10254e-05-0j -6.00214e-05-0j 0.000187602-0j 0.000352386-0j 1.01061e-05-0j -7.98229e-05-0j -5.21825e-05-0j 0.000533679-0j -8.15834e-05-0j -0.000628489-0j 0.000245505-0j -0.000616975-0j -2.76287e-05-0j -3.30962e-05-0j 4.1521e-05-0j -2.73355e-06-0j 
0.000687145-0j -0.0014256-0j -0.000533241-0j 0.000497904-0j 0.000479089-0j 0.00112199-0j 0.000448147-0j 0.00132939-0j 0.000310485-0j -0.0010185-0j -0.000942286-0j -0.000966234-0j -0.000399057-0j 0.00022592-0j -0.00039346-0j -0.000269383-0j 0.000367386-0j 0.000261419-0j 0.000251532-0j 0.00203163-0j -0.00109178-0j 0.000865818-0j -0.0011896-0j -0.000343018-0j -0.000794911-0j 0.00102586-0j -0.000549667-0j -0.000747946-0j -0.000232783-0j -0.000192052-0j 0.00180659-0j 0.000131786-0j -0.00188018-0j -0.000323677-0j -0.00215699-0j -0.000510425-0j 0.00106597-0j -0.00040073-0j -0.00184692-0j 0.00395333-0j 0.00144666-0j -0.000564439-0j 
-1.15687e-05-0j 1.18939e-05-0j -9.24064e-06-0j 9.33079e-06-0j 1.58624e-05-0j 9.63517e-06-0j -7.54495e-06-0j -5.2275e-06-0j -5.22729e-06-0j -1.67111e-05-0j -5.39037e-06-0j 8.06136e-06-0j 7.69751e-06-0j -1.50156e-05-0j 1.3409e-05-0j -4.6682e-06-0j -1.35398e-05-0j 2.17121e-05-0j 4.71374e-06-0j 5.75931e-06-0j -4.41896e-06-0j -1.46222e-05-0j -1.64898e-05-0j -2.26079e-05-0j -2.72312e-06-0j 7.93317e-06-0j 1.55119e-05-0j 4.76259e-06-0j -2.21512e-05-0j -1.31386e-05-0j -6.03134e-06-0j 4.32104e-05-0j -1.31821e-05-0j -6.15217e-07-0j 5.66773e-06-0j 1.38909e-06-0j 2.99102e-05-0j -5.41941e-06-0j 1.74827e-05-0j -9.41773e-06-0j -5.5057e-06-0j -1.43825e-06-0j 
-0.000358518-0j 0.00149423-0j -0.00028637-0j -0.00303406-0j -0.000249964-0j 0.00121047-0j -0.00023382-0j 0.00229805-0j -0.000161995-0j 0.00106753-0j -0.000167049-0j 0.00101275-0j -0.00250297-0j 0.00183311-0j -0.000211303-0j -0.000144669-0j -0.00223873-0j -0.000136395-0j -0.00153275-0j 0.000723542-0j 0.00194262-0j 0.000934089-0j -0.00242396-0j 0.000359531-0j -8.43902e-05-0j 0.00177336-0j -9.74454e-05-0j -0.00154864-0j -0.00146007-0j 0.00160397-0j 0.000385292-0j 0.00106931-0j -0.00317378-0j -1.90658e-05-0j 0.00126695-0j -0.000451686-0j -0.0022357-0j 0.000661604-0j 0.000131549-0j -0.00226745-0j 0.00438238-0j 0.00667541-0j 
-0.000140263-0j 0.000291-0j 0.000108847-0j -0.000101634-0j -9.77937e-05-0j -0.000229026-0j -9.14776e-05-0j -0.00027136-0j -6.33776e-05-0j 0.000207901-0j 0.000192343-0j 0.000197232-0j 8.14571e-05-0j -4.61157e-05-0j 8.03146e-05-0j 5.49877e-05-0j -7.49923e-05-0j -5.33619e-05-0j -5.13437e-05-0j -0.000414705-0j 0.000222858-0j -0.000176734-0j 0.000242827-0j 7.00183e-05-0j 0.00016226-0j -0.000209402-0j 0.0001122-0j 0.000152674-0j 4.75166e-05-0j 3.92025e-05-0j -0.000368768-0j -2.69008e-05-0j 0.000383791-0j 6.60703e-05-0j 0.000440294-0j 0.00010419-0j -0.000217591-0j 8.17987e-05-0j 0.000377-0j -0.000806969-0j -0.000295299-0j 0.000115216-0j 
-0.000219546-0j 0.000915026-0j -0.000175365-0j -0.00185798-0j -0.000153071-0j 0.000741255-0j -0.000143185-0j 0.00140727-0j -9.92016e-05-0j 0.000653726-0j -0.000102296-0j 0.000620179-0j -0.00153275-0j 0.00112255-0j -0.000129396-0j -8.85913e-05-0j -0.00137094-0j -8.35247e-05-0j -0.000938615-0j 0.000443077-0j 0.0011896-0j 0.00057201-0j -0.00148437-0j 0.000220167-0j -5.16782e-05-0j 0.00108596-0j -5.96729e-05-0j -0.000948342-0j -0.000894106-0j 0.000982227-0j 0.000235942-0j 0.000654818-0j -0.00194353-0j -1.16754e-05-0j 0.000775844-0j -0.0002766-0j -0.00136908-0j 0.000405148-0j 8.05569e-05-0j -0.00138853-0j 0.00268365-0j 0.00408784-0j 
-1.00188e-05-0j -1.8487e-07-0j 2.35522e-05-0j 7.80538e-06-0j -6.98526e-06-0j 4.40758e-07-0j -6.53412e-06-0j 9.82238e-06-0j -4.52697e-06-0j -1.32077e-07-0j -4.14419e-06-0j -1.25299e-07-0j -1.89507e-05-0j 8.06333e-06-0j 1.73784e-05-0j 1.18982e-05-0j 5.75931e-06-0j -3.81157e-06-0j 3.94313e-06-0j -7.94699e-08-0j -2.44367e-05-0j 3.40123e-07-0j 5.32939e-06-0j -4.4482e-08-0j -2.94608e-05-0j 7.57971e-06-0j -2.41745e-06-0j 3.53679e-06-0j -1.10546e-05-0j -2.07645e-05-0j -5.95505e-07-0j 4.70361e-06-0j 3.07488e-06-0j -3.14473e-05-0j 4.80735e-06-0j 3.70341e-05-0j -1.44665e-05-0j 3.63556e-05-0j 1.62804e-06-0j 1.95021e-06-0j -2.44665e-06-0j 1.61076e-07-0j 
4.48147e-05-0j -0.000186779-0j 3.57963e-05-0j 0.000379258-0j 3.12456e-05-0j -0.000151308-0j 2.92275e-05-0j -0.000287257-0j 2.02494e-05-0j -0.000133441-0j 2.08812e-05-0j -0.000126593-0j 0.000312872-0j -0.000229139-0j 2.64128e-05-0j 1.80836e-05-0j 0.000279841-0j 1.70494e-05-0j 0.000191594-0j -9.04427e-05-0j -0.000242827-0j -0.000116761-0j 0.000302996-0j -4.49414e-05-0j 1.05488e-05-0j -0.00022167-0j 1.21807e-05-0j 0.00019358-0j 0.000182509-0j -0.000200496-0j -4.81615e-05-0j -0.000133664-0j 0.000396722-0j 2.38322e-06-0j -0.000158368-0j 5.64607e-05-0j 0.000279462-0j -8.27005e-05-0j -1.64436e-05-0j 0.000283432-0j -0.000547798-0j -0.000834426-0j 
8.26508e-06-0j -1.71473e-05-0j -6.41389e-06-0j 5.98885e-06-0j 5.76255e-06-0j 1.34955e-05-0j 5.39037e-06-0j 1.599e-05-0j 3.73456e-06-0j -1.22507e-05-0j -1.13339e-05-0j -1.1622e-05-0j -4.7999e-06-0j 2.71739e-06-0j -4.73258e-06-0j -3.24018e-06-0j 4.41896e-06-0j 3.14438e-06-0j 3.02546e-06-0j 2.44367e-05-0j -1.31321e-05-0j 1.04142e-05-0j -1.43087e-05-0j -4.12587e-06-0j -9.56129e-06-0j 1.23391e-05-0j -6.61146e-06-0j -8.99639e-06-0j -2.79994e-06-0j -2.31003e-06-0j 2.17299e-05-0j 1.58515e-06-0j -2.26151e-05-0j -3.89323e-06-0j -2.59446e-05-0j -6.13946e-06-0j 1.28217e-05-0j -4.82003e-06-0j -2.22149e-05-0j 4.75511e-05-0j 1.74007e-05-0j -6.78915e-06-0j 
-2.64073e-06-0j 1.1006e-05-0j -2.10932e-06-0j -2.2348e-05-0j -1.84116e-06-0j 8.91592e-06-0j -1.72225e-06-0j 1.69268e-05-0j -1.19321e-06-0j 7.8631e-06-0j -1.23043e-06-0j 7.45959e-06-0j -1.84361e-05-0j 1.35021e-05-0j -1.55639e-06-0j -1.06559e-06-0j -1.64898e-05-0j -1.00465e-06-0j -1.12898e-05-0j 5.32939e-06-0j 1.43087e-05-0j 6.88021e-06-0j -1.78542e-05-0j 2.6482e-06-0j -6.21593e-07-0j 1.3062e-05-0j -7.17753e-07-0j -1.14068e-05-0j -1.07544e-05-0j 1.18144e-05-0j 2.83794e-06-0j 7.87624e-06-0j -2.33771e-05-0j -1.40433e-07-0j 9.33195e-06-0j -3.32698e-06-0j -1.64675e-05-0j 4.87317e-06-0j 9.68948e-07-0j -1.67014e-05-0j 3.22793e-05-0j 4.91468e-05-0j 
