-0.0072623-0j 0.0528373-0j -0.00085587-0j 0.0117731-0j -0.000765513-0j -0.000524111-0j 0.00638071-0j 0.00161773-0j 0.00582477-0j -7.56489e-05-0j -7.13225e-05-0j 0.00147163-0j 0.000981089-0j 0.000174344-0j 0.000594488-0j -3.15204e-06-0j 0.000213155-0j 8.67168e-05-0j 1.62605e-05-0j 1.77939e-05-0j 1.40918e-06-0j 5.12957e-08-0j -0.00689622-0j 0.0497803-0j -0.000798082-0j 0.0109782-0j -0.000703842-0j -0.000667723-0j 0.00586667-0j 0.0014874-0j 0.00524731-0j 0.00359259-0j -6.81492e-05-0j 0.00132574-0j -8.79803e-05-0j 0.000157059-0j -3.38636e-05-0j 0.00121023-0j 0.000518545-0j 0.000488889-0j 0.000185926-0j -5.18429e-06-0j 0.00012395-0j 1.41833e-05-0j 0.000123518-0j 2.1606e-05-0j 2.06944e-05-0j 1.09558e-05-0j 1.15886e-06-0j 1.44757e-06-0j 9.03797e-08-0j 2.79724e-09-0j 
-0.00189028-0j -0.000291676-0j -0.000222771-0j -3.21543e-05-0j 0.0483785-0j -0.000136419-0j 0.0085522-0j 0.000712683-0j -3.21543e-05-0j -1.96904e-05-0j -1.85643e-05-0j -4.01929e-06-0j -2.67952e-06-0j -2.36839e-07-0j -3.28173e-06-0j -8.20433e-07-0j -3.86756e-07-0j -2.36839e-07-0j -1.76529e-08-0j -2.41722e-08-0j -1.27399e-09-0j -3.47509e-11-0j -3.10998e-05-0j -4.76116e-06-0j -3.5991e-06-0j -5.19485e-07-0j -3.17411e-06-0j 0.000731124-0j -5.61108e-07-0j -4.6759e-08-0j 0.000121854-0j -3.43607e-07-0j 7.462e-05-0j 1.52317e-05-0j -3.96763e-07-0j 8.97539e-07-0j -1.52714e-07-0j -5.72678e-08-0j -4.95954e-08-0j -4.6759e-08-0j -5.84487e-09-0j -2.33795e-08-0j -3.89658e-09-0j -2.66781e-10-0j -5.84487e-09-0j -2.06648e-09-0j -4.87073e-10-0j -3.44413e-10-0j -1.81521e-11-0j -2.72282e-11-0j -1.21284e-12-0j -2.91764e-14-0j 
-0.000261465-0j 0.0019023-0j -3.08139e-05-0j 0.000423866-0j -2.75608e-05-0j 0.00731869-0j 0.000229725-0j 5.82433e-05-0j -0.0405636-0j 0.000526819-0j -2.56783e-06-0j -0.0102484-0j 3.53222e-05-0j -0.00121413-0j 2.14034e-05-0j -1.13483e-07-0j 7.67423e-06-0j 3.12207e-06-0j 5.85426e-07-0j 6.40633e-07-0j 5.07346e-08-0j 1.8468e-09-0j -0.000248285-0j 0.00179224-0j -2.87334e-05-0j 0.000395247-0j -2.53405e-05-0j 0.00465002-0j 0.000211218-0j 5.35511e-05-0j 0.000188919-0j -0.0501669-0j -2.45358e-06-0j 4.77306e-05-0j 0.000612694-0j 5.65462e-06-0j -1.21919e-06-0j -0.00842802-0j -0.00361115-0j 1.76015e-05-0j -0.00129478-0j -1.8665e-07-0j 4.46259e-06-0j -9.87723e-05-0j 4.44704e-06-0j 7.77883e-07-0j 7.45061e-07-0j 3.94441e-07-0j 4.17226e-08-0j 5.21171e-08-0j 3.25394e-09-0j 1.00709e-10-0j 
-0.00115755-0j -0.000178615-0j -0.000136419-0j -1.96904e-05-0j 0.0296257-0j -8.35393e-05-0j 0.00523713-0j 0.000436427-0j -1.96904e-05-0j -1.20579e-05-0j -1.13683e-05-0j -2.4613e-06-0j -1.64087e-06-0j -1.45033e-07-0j -2.00964e-06-0j -5.02411e-07-0j -2.36839e-07-0j -1.45033e-07-0j -1.08102e-08-0j -1.48024e-08-0j -7.80156e-10-0j -2.12805e-11-0j -0.0010992-0j -0.000168281-0j -0.000127208-0j -1.83609e-05-0j -0.000112187-0j 0.0258412-0j -1.9832e-05-0j -1.65267e-06-0j 0.00430686-0j -1.21446e-05-0j 0.0026374-0j 0.000538357-0j -1.40234e-05-0j 3.1723e-05-0j -5.3976e-06-0j -2.0241e-06-0j -1.75292e-06-0j -1.65267e-06-0j -2.06584e-07-0j -8.26335e-07-0j -1.37723e-07-0j -9.42922e-09-0j -2.06584e-07-0j -7.30384e-08-0j -1.72153e-08-0j -1.21731e-08-0j -6.41577e-10-0j -9.62366e-10-0j -4.28672e-11-0j -1.03122e-12-0j 
0.00165399-0j 0.000255217-0j 0.000194925-0j 2.8135e-05-0j -0.0423312-0j 0.000119367-0j -0.00748317-0j -0.000623598-0j 2.8135e-05-0j 1.72291e-05-0j 1.62438e-05-0j 3.51688e-06-0j 2.34458e-06-0j 2.07234e-07-0j 2.87152e-06-0j 7.17879e-07-0j 3.38411e-07-0j 2.07234e-07-0j 1.54463e-08-0j 2.11507e-08-0j 1.11474e-09-0j 3.0407e-11-0j -0.00151619-0j -0.000232119-0j -0.000175465-0j -2.53262e-05-0j -0.000154746-0j 0.0356442-0j -2.73555e-05-0j -2.27962e-06-0j 0.00594069-0j -1.67517e-05-0j 0.00363792-0j 0.000742587-0j -1.93432e-05-0j 4.37573e-05-0j -7.44521e-06-0j -2.79196e-06-0j -2.4179e-06-0j -2.27962e-06-0j -2.84953e-07-0j -1.13981e-06-0j -1.89968e-07-0j -1.30063e-08-0j -2.84953e-07-0j -1.00746e-07-0j -2.37461e-08-0j -1.6791e-08-0j -8.84963e-10-0j -1.32745e-09-0j -5.91291e-11-0j -1.42243e-12-0j 
-0.000213485-0j -3.29415e-05-0j 0.00240537-0j -3.63146e-06-0j 0.00324866-0j -1.5407e-05-0j 0.000380323-0j -3.31505e-07-0j 0.00052425-0j 0.000427438-0j -0.0580752-0j 4.33982e-05-0j 8.76776e-05-0j -2.67482e-08-0j -0.0102844-0j 3.57125e-05-0j -0.000602862-0j 7.72529e-06-0j 2.87817e-07-0j 5.24729e-07-0j 1.37559e-08-0j -3.92472e-12-0j -0.000202724-0j -3.10356e-05-0j 0.00224296-0j -3.38626e-06-0j 0.00298694-0j -1.96286e-05-0j 0.000349683-0j -3.04798e-07-0j 0.000472277-0j -2.2398e-06-0j 0.000385062-0j 3.90958e-05-0j -0.0356958-0j -2.40964e-08-0j 0.000433119-0j 5.3891e-05-0j 6.21391e-05-0j -0.00844273-0j 3.64253e-06-0j -0.00635419-0j 7.35903e-06-0j -1.73901e-09-0j -0.0010572-0j 5.19173e-06-0j -4.38208e-05-0j 6.48405e-07-0j 1.70818e-08-0j 3.41148e-08-0j 7.55844e-10-0j -1.90186e-13-0j 
-0.000682238-0j -0.000105272-0j -8.04025e-05-0j -1.16051e-05-0j 0.0174607-0j -4.92363e-05-0j 0.00308665-0j 0.000257221-0j -1.16051e-05-0j -7.10664e-06-0j -6.70021e-06-0j -1.45064e-06-0j -9.67091e-07-0j -8.54796e-08-0j -1.18444e-06-0j -2.9611e-07-0j -1.39588e-07-0j -8.54796e-08-0j -6.37127e-09-0j -8.72423e-09-0j -4.59807e-10-0j -1.25423e-11-0j 0.00189864-0j 0.000290669-0j 0.000219725-0j 3.17146e-05-0j 0.000193779-0j -0.0446352-0j 3.42557e-05-0j 2.85464e-06-0j -0.00743919-0j 2.09772e-05-0j -0.00455556-0j -0.000929899-0j 2.42224e-05-0j -5.47948e-05-0j 9.32322e-06-0j 3.49621e-06-0j 3.0278e-06-0j 2.85464e-06-0j 3.5683e-07-0j 1.42732e-06-0j 2.37887e-07-0j 1.6287e-08-0j 3.5683e-07-0j 1.26158e-07-0j 2.97358e-08-0j 2.10264e-08-0j 1.10819e-09-0j 1.66228e-09-0j 7.4044e-11-0j 1.78122e-12-0j 
3.08139e-05-0j -0.000453132-0j 3.63146e-06-0j 0.0023301-0j -0.000468904-0j 2.2238e-06-0j -5.47209e-05-0j 0.000651853-0j 0.00721141-0j 3.20978e-07-0j -8.76776e-05-0j 0.000291263-0j -0.0562578-0j 0.000105932-0j 0.000736012-0j 1.33741e-08-0j -0.0123993-0j 1.71628e-05-0j -0.00190639-0j 1.08116e-05-0j 1.43253e-06-0j 7.31148e-08-0j 2.92606e-05-0j -0.000426915-0j 3.38626e-06-0j 0.00217277-0j -0.000431128-0j 2.83315e-06-0j -5.03125e-05-0j 0.000599338-0j 0.00649648-0j -3.081e-05-0j 2.89157e-07-0j 0.000262387-0j -5.3891e-05-0j 9.54301e-05-0j -6.25153e-05-0j -0.0345788-0j -4.44704e-06-0j 0.00121474-0j 7.49173e-05-0j -3.17556e-06-0j -0.0144704-0j 1.15186e-05-0j -0.00352919-0j -1.85293e-07-0j -0.00181523-0j 4.41454e-06-0j -0.00017007-0j 1.17561e-06-0j 1.10352e-07-0j 4.55873e-09-0j 
0.000305042-0j -0.00221935-0j 3.59496e-05-0j -0.000494511-0j 3.21543e-05-0j -0.00853847-0j -0.000268013-0j -6.79505e-05-0j 0.0473243-0j -0.000614622-0j 2.9958e-06-0j 0.0119565-0j -4.12092e-05-0j 0.00141648-0j -2.49706e-05-0j 1.32397e-07-0j -8.95326e-06-0j -3.64241e-06-0j -6.82997e-07-0j -7.47406e-07-0j -5.91904e-08-0j -2.1546e-09-0j 5.0187e-06-0j -3.62275e-05-0j 5.80802e-07-0j -7.98932e-06-0j 5.12219e-07-0j -9.39932e-05-0j -4.26945e-06-0j -1.08245e-06-0j -3.81871e-06-0j 0.00101405-0j 4.95954e-08-0j -9.64802e-07-0j -1.23847e-05-0j -1.143e-07-0j 2.46442e-08-0j 0.00017036-0j 7.29939e-05-0j -3.55788e-07-0j 2.61721e-05-0j 3.77285e-09-0j -9.02045e-08-0j 1.99653e-06-0j -8.98901e-08-0j -1.57237e-08-0j -1.50603e-08-0j -7.97303e-09-0j -8.4336e-10-0j -1.05347e-09-0j -6.57736e-11-0j -2.03569e-12-0j 
2.66856e-05-0j -0.000194153-0j -0.000604488-0j -4.32607e-05-0j 2.81291e-06-0j 1.92587e-06-0j 0.0045066-0j -5.94443e-06-0j -2.14034e-05-0j 0.0050813-0j -5.0374e-05-0j 0.00103939-0j -3.60506e-06-0j -6.40633e-07-0j -0.0399314-0j 0.00128817-0j 0.000150548-0j -0.0176582-0j -5.97498e-08-0j -0.0011952-0j 9.9528e-07-0j -1.88489e-10-0j 2.53405e-05-0j -0.00018292-0j -0.000563673-0j -4.03397e-05-0j 2.5863e-06-0j 2.45358e-06-0j 0.00414354-0j -5.46553e-06-0j -1.92815e-05-0j -1.32011e-05-0j 0.00457755-0j 0.000936349-0j -6.21391e-05-0j -5.77122e-07-0j 1.24433e-07-0j -4.44704e-06-0j -0.0348304-0j 0.000345295-0j 0.000131316-0j 0.00105568-0j -4.55461e-07-0j -5.21171e-08-0j -0.00829666-0j -0.00882992-0j 1.46161e-05-0j -0.00223093-0j -4.2583e-09-0j -9.72328e-05-0j 6.38338e-08-0j -1.02786e-11-0j 
0.0001868-0j -0.00135907-0j 2.20145e-05-0j -0.000302825-0j 1.96904e-05-0j -0.00522872-0j -0.000164124-0j -4.1611e-05-0j 0.0289801-0j -0.000376378-0j 1.83454e-06-0j 0.00732185-0j -2.52354e-05-0j 0.000867415-0j -1.52913e-05-0j 8.10762e-08-0j -5.48273e-06-0j -2.23051e-06-0j -4.18249e-07-0j -4.57691e-07-0j -3.62466e-08-0j -1.31942e-09-0j 0.000177383-0j -0.00128044-0j 2.05281e-05-0j -0.000282378-0j 1.81041e-05-0j -0.00332214-0j -0.000150901-0j -3.82587e-05-0j -0.00013497-0j 0.0358409-0j 1.75292e-06-0j -3.41004e-05-0j -0.00043773-0j -4.03985e-06-0j 8.71034e-07-0j 0.00602127-0j 0.00257993-0j -1.25751e-05-0j 0.000925039-0j 1.33349e-07-0j -3.18823e-06-0j 7.05663e-05-0j -3.17712e-06-0j -5.55747e-07-0j -5.32297e-07-0j -2.81802e-07-0j -2.98081e-08-0j -3.72342e-08-0j -2.32473e-09-0j -7.19502e-11-0j 
0.000249066-0j 3.84317e-05-0j -0.00280627-0j 4.2367e-06-0j -0.0037901-0j 1.79748e-05-0j -0.00044371-0j 3.86756e-07-0j -0.000611625-0j -0.000498677-0j 0.0677544-0j -5.06313e-05-0j -0.000102291-0j 3.12062e-08-0j 0.0119985-0j -4.16646e-05-0j 0.000703339-0j -9.01284e-06-0j -3.35786e-07-0j -6.12184e-07-0j -1.60485e-08-0j 4.57883e-12-0j 4.09775e-06-0j 6.27338e-07-0j -4.53381e-05-0j 6.84482e-08-0j -6.03765e-05-0j 3.96763e-07-0j -7.06832e-06-0j 6.16104e-09-0j -9.54636e-06-0j 4.52742e-08-0j -7.78345e-06-0j -7.90262e-07-0j 0.000721537-0j 4.87073e-10-0j -8.75484e-06-0j -1.08932e-06-0j -1.25605e-06-0j 0.000170657-0j -7.36283e-08-0j 0.00012844-0j -1.48752e-07-0j 3.51515e-11-0j 2.13697e-05-0j -1.04943e-07-0j 8.85771e-07-0j -1.31065e-08-0j -3.45282e-10-0j -6.89579e-10-0j -1.52782e-11-0j 3.84433e-15-0j 
-3.14493e-06-0j 6.9614e-05-0j 3.54345e-05-0j -0.000728794-0j -3.31505e-07-0j -2.26966e-07-0j -0.000803723-0j 0.00306947-0j 7.67423e-06-0j 6.29675e-06-0j 2.95287e-06-0j 0.00870955-0j -6.07328e-05-0j 0.0010231-0j -0.000150548-0j 5.26094e-07-0j -0.0386663-0j 0.00155038-0j 0.000192665-0j -0.0200706-0j -0.00267265-0j 2.14629e-06-0j -2.9864e-06-0j 6.55864e-05-0j 3.3042e-05-0j -0.000679586-0j -3.04798e-07-0j -2.89157e-07-0j -0.000738973-0j 0.00282218-0j 6.91342e-06-0j 4.73329e-06-0j 5.6725e-06-0j 0.0078461-0j 3.64253e-06-0j 0.000921673-0j -1.46646e-08-0j -7.49173e-05-0j -0.000131316-0j -6.15811e-05-0j -0.0337269-0j 6.48405e-07-0j 0.000235182-0j 0.000168053-0j 0.00146968-0j -1.09715e-05-0j -0.0116104-0j -0.00600371-0j 2.29894e-05-0j -0.00329677-0j -0.000257801-0j 1.56242e-07-0j 
-0.000266912-0j 0.00194194-0j -3.14559e-05-0j 0.000432697-0j -2.8135e-05-0j 0.00747116-0j 0.000234511-0j 5.94567e-05-0j -0.0414087-0j 0.000537794-0j -2.62132e-06-0j -0.010462-0j 3.60581e-05-0j -0.00123942-0j 2.18493e-05-0j -1.15847e-07-0j 7.83411e-06-0j 3.18711e-06-0j 5.97622e-07-0j 6.5398e-07-0j 5.17916e-08-0j 1.88528e-09-0j 0.000244675-0j -0.00176618-0j 2.83156e-05-0j -0.0003895-0j 2.4972e-05-0j -0.00458241-0j -0.000208147-0j -5.27724e-05-0j -0.000186172-0j 0.0494374-0j 2.4179e-06-0j -4.70366e-05-0j -0.000603786-0j -5.5724e-06-0j 1.20147e-06-0j 0.00830547-0j 0.00355864-0j -1.73456e-05-0j 0.00127596-0j 1.83936e-07-0j -4.3977e-06-0j 9.73361e-05-0j -4.38237e-06-0j -7.66573e-07-0j -7.34228e-07-0j -3.88706e-07-0j -4.1116e-08-0j -5.13593e-08-0j -3.20663e-09-0j -9.9245e-11-0j 
0.000152521-0j 2.35345e-05-0j -0.00171848-0j 2.59444e-06-0j -0.00232095-0j 1.10073e-05-0j -0.000271716-0j 2.36839e-07-0j -0.000374542-0j -0.000305376-0j 0.0414909-0j -3.10052e-05-0j -6.26399e-05-0j 1.91098e-08-0j 0.00734754-0j -2.55142e-05-0j 0.000430705-0j -5.51921e-06-0j -2.05626e-07-0j -3.74885e-07-0j -9.82768e-09-0j 2.80395e-12-0j 0.000144833-0j 2.21729e-05-0j -0.00160245-0j 2.41926e-06-0j -0.00213397-0j 1.40234e-05-0j -0.000249826-0j 2.17758e-07-0j -0.000337411-0j 1.60019e-06-0j -0.000275102-0j -2.79314e-05-0j 0.0255023-0j 1.72153e-08-0j -0.000309435-0j -3.85016e-05-0j -4.43944e-05-0j 0.00603178-0j -2.60235e-06-0j 0.00453966-0j -5.25755e-06-0j 1.24241e-09-0j 0.000755299-0j -3.70915e-06-0j 3.13071e-05-0j -4.63243e-07-0j -1.22038e-08-0j -2.43728e-08-0j -5.40001e-10-0j 1.35876e-13-0j 
-3.59496e-05-0j 0.000528654-0j -4.2367e-06-0j -0.00271845-0j 0.000547054-0j -2.59444e-06-0j 6.3841e-05-0j -0.000760495-0j -0.00841331-0j -3.74475e-07-0j 0.000102291-0j -0.000339807-0j 0.0656341-0j -0.000123587-0j -0.00085868-0j -1.56031e-08-0j 0.0144658-0j -2.00233e-05-0j 0.00222413-0j -1.26136e-05-0j -1.67128e-06-0j -8.53006e-08-0j -5.9146e-07-0j 8.62945e-06-0j -6.84482e-08-0j -4.39193e-05-0j 8.71459e-06-0j -5.72678e-08-0j 1.01699e-06-0j -1.21147e-05-0j -0.000131317-0j 6.22777e-07-0j -5.84487e-09-0j -5.30377e-06-0j 1.08932e-06-0j -1.92898e-06-0j 1.26365e-06-0j 0.000698958-0j 8.98901e-08-0j -2.45541e-05-0j -1.51434e-06-0j 6.41891e-08-0j 0.000292497-0j -2.32831e-07-0j 7.13371e-05-0j 3.74542e-09-0j 3.66921e-05-0j -8.92333e-08-0j 3.43771e-06-0j -2.37632e-08-0j -2.23059e-09-0j -9.21479e-11-0j 
0.000110096-0j -0.000801008-0j 1.29749e-05-0j -0.000178478-0j 1.16051e-05-0j -0.0030817-0j -9.67308e-05-0j -2.45246e-05-0j 0.0170802-0j -0.000221829-0j 1.08124e-06-0j 0.00431534-0j -1.48732e-05-0j 0.000511236-0j -9.01236e-06-0j 4.77846e-08-0j -3.2314e-06-0j -1.31462e-06-0j -2.46507e-07-0j -2.69753e-07-0j -2.13629e-08-0j -7.77637e-10-0j -0.000306392-0j 0.00221169-0j -3.5458e-05-0j 0.000487749-0j -3.1271e-05-0j 0.00573829-0j 0.00026065-0j 6.60839e-05-0j 0.000233133-0j -0.0619077-0j -3.0278e-06-0j 5.89012e-05-0j 0.000756086-0j 6.978e-06-0j -1.50453e-06-0j -0.0104005-0j -0.00445628-0j 2.17209e-05-0j -0.00159781-0j -2.30333e-07-0j 5.50699e-06-0j -0.000121888-0j 5.4878e-06-0j 9.59935e-07-0j 9.19432e-07-0j 4.86754e-07-0j 5.14872e-08-0j 6.43143e-08-0j 4.01548e-09-0j 1.24279e-10-0j 
1.43546e-07-0j -5.31049e-06-0j 1.69171e-08-0j 0.000112052-0j 1.51311e-08-0j 1.03595e-08-0j -6.41302e-07-0j -0.00146223-0j -5.85426e-07-0j 1.49527e-09-0j 1.40975e-09-0j 1.40066e-05-0j 9.33771e-06-0j 0.0111248-0j -5.97498e-08-0j 6.23029e-11-0j -0.000192665-0j 8.25344e-07-0j -0.0374036-0j 0.00113542-0j -0.0171066-0j -0.00447199-0j 1.3631e-07-0j -5.00324e-06-0j 1.57748e-08-0j 0.000104487-0j 1.39121e-08-0j 1.31982e-08-0j -5.89637e-07-0j -0.00134443-0j -5.27388e-07-0j -3.61078e-07-0j 1.34703e-09-0j 1.2618e-05-0j 1.73901e-09-0j 0.0100219-0j 6.69345e-10-0j 1.15186e-05-0j -5.21171e-08-0j -4.91365e-08-0j -0.000168053-0j 1.02472e-10-0j -0.000112036-0j -0.0326255-0j 1.17561e-06-0j -2.17154e-09-0j 0.0013205-0j -9.90264e-06-0j -0.014068-0j -0.00332982-0j -0.00334862-0j -0.000490153-0j 
-0.000217933-0j -3.36278e-05-0j 0.00245549-0j -3.70711e-06-0j 0.00331634-0j -1.57279e-05-0j 0.000388246-0j -3.38411e-07-0j 0.000535172-0j 0.000436343-0j -0.0592851-0j 4.43023e-05-0j 8.95043e-05-0j -2.73055e-08-0j -0.0104987-0j 3.64565e-05-0j -0.000615421-0j 7.88623e-06-0j 2.93813e-07-0j 5.35661e-07-0j 1.40425e-08-0j -4.00648e-12-0j 0.000199776-0j 3.05843e-05-0j -0.00221035-0j 3.33702e-06-0j -0.00294351-0j 1.93432e-05-0j -0.000344599-0j 3.00367e-07-0j -0.00046541-0j 2.20723e-06-0j -0.000379463-0j -3.85273e-05-0j 0.0351768-0j 2.37461e-08-0j -0.000426821-0j -5.31074e-05-0j -6.12356e-05-0j 0.00831997-0j -3.58957e-06-0j 0.0062618-0j -7.25203e-06-0j 1.71372e-09-0j 0.00104183-0j -5.11624e-06-0j 4.31836e-05-0j -6.38977e-07-0j -1.68334e-08-0j -3.36188e-08-0j -7.44854e-10-0j 1.87421e-13-0j 
-2.20145e-05-0j 0.000323733-0j -2.59444e-06-0j -0.00166471-0j 0.000335001-0j -1.58876e-06-0j 3.90945e-05-0j -0.000465706-0j -0.00515208-0j -2.29318e-07-0j 6.26399e-05-0j -0.000208088-0j 0.0401925-0j -7.56815e-05-0j -0.000525832-0j -9.55492e-09-0j 0.00885846-0j -1.22617e-05-0j 0.00136199-0j -7.72421e-06-0j -1.02345e-06-0j -5.22358e-08-0j -2.09048e-05-0j 0.000305003-0j -2.41926e-06-0j -0.00155231-0j 0.000308013-0j -2.0241e-06-0j 3.5945e-05-0j -0.000428188-0j -0.00464131-0j 2.20117e-05-0j -2.06584e-07-0j -0.000187459-0j 3.85016e-05-0j -6.81786e-05-0j 4.46631e-05-0j 0.0247043-0j 3.17712e-06-0j -0.000867853-0j -5.35235e-05-0j 2.26873e-06-0j 0.0103381-0j -8.22927e-06-0j 0.00252137-0j 1.3238e-07-0j 0.00129686-0j -3.1539e-06-0j 0.000121504-0j -8.39896e-07-0j -7.8839e-08-0j -3.25692e-09-0j 
-3.11333e-05-0j 0.000226512-0j 0.000705236-0j 5.04708e-05-0j -3.28173e-06-0j -2.24685e-06-0j -0.0052577-0j 6.93517e-06-0j 2.49706e-05-0j -0.00592818-0j 5.87697e-05-0j -0.00121262-0j 4.2059e-06-0j 7.47406e-07-0j 0.0465867-0j -0.00150286-0j -0.000175639-0j 0.0206013-0j 6.97081e-08-0j 0.00139441-0j -1.16116e-06-0j 2.19903e-10-0j -5.12219e-07-0j 3.69745e-06-0j 1.13938e-05-0j 8.15406e-07-0j -5.22781e-08-0j -4.95954e-08-0j -8.37554e-05-0j 1.10478e-07-0j 3.89746e-07-0j 2.66841e-07-0j -9.25282e-05-0j -1.89269e-05-0j 1.25605e-06-0j 1.16656e-08-0j -2.51523e-09-0j 8.98901e-08-0j 0.000704044-0j -6.97962e-06-0j -2.65436e-06-0j -2.1339e-05-0j 9.20646e-09-0j 1.05347e-09-0j 0.000167704-0j 0.000178483-0j -2.95443e-07-0j 4.50949e-05-0j 8.60751e-11-0j 1.96541e-06-0j -1.2903e-09-0j 2.07766e-13-0j 
-1.90651e-05-0j 0.00013871-0j 0.000431867-0j 3.09069e-05-0j -2.00964e-06-0j -1.37591e-06-0j -0.00321967-0j 4.24691e-06-0j 1.52913e-05-0j -0.00363026-0j 3.59889e-05-0j -0.000742578-0j 2.57558e-06-0j 4.57691e-07-0j 0.0285284-0j -0.000920313-0j -0.000107557-0j 0.0126156-0j 4.26873e-08-0j 0.000853895-0j -7.11062e-07-0j 1.34663e-10-0j -1.81041e-05-0j 0.000130684-0j 0.000402708-0j 2.88201e-05-0j -1.84774e-06-0j -1.75292e-06-0j -0.00296029-0j 3.90477e-06-0j 1.37753e-05-0j 9.43134e-06-0j -0.00327036-0j -0.00066896-0j 4.43944e-05-0j 4.12316e-07-0j -8.88995e-08-0j 3.17712e-06-0j 0.024884-0j -0.000246691-0j -9.3817e-05-0j -0.000754215-0j 3.25397e-07-0j 3.72342e-08-0j 0.00592742-0j 0.0063084-0j -1.04423e-05-0j 0.00159386-0j 3.04228e-09-0j 6.94664e-05-0j -4.56051e-08-0j 7.34339e-12-0j 
8.98927e-05-0j 1.38707e-05-0j -0.00101284-0j 1.52911e-06-0j -0.00136792-0j 6.48745e-06-0j -0.000160143-0j 1.39588e-07-0j -0.000220747-0j -0.000179982-0j 0.0244538-0j -1.82738e-05-0j -3.69186e-05-0j 1.12629e-08-0j 0.00433048-0j -1.50375e-05-0j 0.000253848-0j -3.25291e-06-0j -1.21192e-07-0j -2.20949e-07-0j -5.79222e-09-0j 1.65259e-12-0j -0.000250168-0j -3.8299e-05-0j 0.0027679-0j -4.17877e-06-0j 0.00368599-0j -2.42224e-05-0j 0.000431521-0j -3.76132e-07-0j 0.000582806-0j -2.76399e-06-0j 0.00047518-0j 4.82456e-05-0j -0.0440499-0j -2.97358e-08-0j 0.000534484-0j 6.65033e-05-0j 7.66819e-05-0j -0.0104186-0j 4.49502e-06-0j -0.0078413-0j 9.0813e-06-0j -2.146e-09-0j -0.00130462-0j 6.40678e-06-0j -5.40764e-05-0j 8.00155e-07-0j 2.10795e-08-0j 4.20989e-08-0j 9.32738e-10-0j -2.34697e-13-0j 
3.66909e-06-0j -8.12164e-05-0j -4.13402e-05-0j 0.000850259-0j 3.86756e-07-0j 2.64794e-07-0j 0.000937676-0j -0.00358105-0j -8.95326e-06-0j -7.34621e-06-0j -3.44502e-06-0j -0.0101611-0j 7.08549e-05-0j -0.00119362-0j 0.000175639-0j -6.13777e-07-0j 0.0451107-0j -0.00180878-0j -0.000224776-0j 0.0234156-0j 0.00311809-0j -2.504e-06-0j 6.03656e-08-0j -1.32573e-06-0j -6.67893e-07-0j 1.37368e-05-0j 6.16104e-09-0j 5.84487e-09-0j 1.49372e-05-0j -5.70462e-05-0j -1.39744e-07-0j -9.56763e-08-0j -1.14661e-07-0j -0.000158597-0j -7.36283e-08-0j -1.86302e-05-0j 2.96423e-10-0j 1.51434e-06-0j 2.65436e-06-0j 1.24477e-06-0j 0.000681738-0j -1.31065e-08-0j -4.75385e-06-0j -3.39695e-06-0j -2.97074e-05-0j 2.21772e-07-0j 0.000234686-0j 0.000121356-0j -4.64696e-07-0j 6.66391e-05-0j 5.21107e-06-0j -3.1582e-09-0j 
3.14559e-05-0j -0.000462572-0j 3.70711e-06-0j 0.00237865-0j -0.000478672-0j 2.27013e-06-0j -5.58609e-05-0j 0.000665433-0j 0.00736165-0j 3.27666e-07-0j -8.95043e-05-0j 0.000297331-0j -0.0574299-0j 0.000108139-0j 0.000751345-0j 1.36527e-08-0j -0.0126576-0j 1.75204e-05-0j -0.00194611-0j 1.10369e-05-0j 1.46237e-06-0j 7.46381e-08-0j -2.88352e-05-0j 0.000420708-0j -3.33702e-06-0j -0.00214118-0j 0.000424859-0j -2.79196e-06-0j 4.95809e-05-0j -0.000590624-0j -0.00640202-0j 3.0362e-05-0j -2.84953e-07-0j -0.000258572-0j 5.31074e-05-0j -9.40425e-05-0j 6.16063e-05-0j 0.034076-0j 4.38237e-06-0j -0.00119708-0j -7.3828e-05-0j 3.12938e-06-0j 0.01426-0j -1.13511e-05-0j 0.00347787-0j 1.82599e-07-0j 0.00178884-0j -4.35035e-06-0j 0.000167597-0j -1.15852e-06-0j -1.08747e-07-0j -4.49245e-09-0j 
2.72416e-05-0j -0.000198198-0j -0.000617082-0j -4.41619e-05-0j 2.87152e-06-0j 1.96599e-06-0j 0.00460049-0j -6.06827e-06-0j -2.18493e-05-0j 0.00518716-0j -5.14235e-05-0j 0.00106105-0j -3.68016e-06-0j -6.5398e-07-0j -0.0407633-0j 0.00131501-0j 0.000153685-0j -0.0180261-0j -6.09946e-08-0j -0.0012201-0j 1.01601e-06-0j -1.92415e-10-0j -2.4972e-05-0j 0.00018026-0j 0.000555477-0j 3.97532e-05-0j -2.54869e-06-0j -2.4179e-06-0j -0.00408329-0j 5.38606e-06-0j 1.90011e-05-0j 1.30092e-05-0j -0.00451099-0j -0.000922734-0j 6.12356e-05-0j 5.6873e-07-0j -1.22624e-07-0j 4.38237e-06-0j 0.034324-0j -0.000340274-0j -0.000129407-0j -0.00104033-0j 4.48839e-07-0j 5.13593e-08-0j 0.00817602-0j 0.00870153-0j -1.44036e-05-0j 0.00219849-0j 4.19638e-09-0j 9.5819e-05-0j -6.29057e-08-0j 1.01292e-11-0j 
