-0.319286-0j -0.360672-0j 0.286104-0j -0.297539-0j 0.758358-0j 0.206521-0j -0.0679178-0j -0.0419376-0j -0.0464165-0j 0.0356508-0j -0.0244636-0j -0.0370757-0j 0.0415926-0j 0.0743878-0j -0.0249733-0j 0.0779564-0j 0.0150116-0j -0.00403088-0j -0.0273685-0j -0.0039503-0j -0.0298677-0j -0.00431103-0j 0.0224768-0j 0.00324425-0j -0.0233752-0j -0.0211197-0j -0.00337392-0j -0.00304836-0j 0.0253903-0j -0.0174228-0j 0.00366477-0j -0.015245-0j 0.0444068-0j -0.00251477-0j -0.00220042-0j 0.00640957-0j 0.0209459-0j 0.0529785-0j 0.00302328-0j -0.0088929-0j 0.0320545-0j 0.00764679-0j -0.00128358-0j 0.00462667-0j 0.00478122-0j 0.00069011-0j -0.00108505-0j -0.000156613-0j 
0.000198186-0j 3.87883e-06-0j -0.000537973-0j -0.000178288-0j 2.46011e-06-0j 0.000756474-0j -0.000164979-0j -0.00373429-0j -7.16095e-05-0j 0.00961648-0j -0.00217834-0j 0.00318697-0j 0.000194383-0j -0.016837-0j 0.00433185-0j 0.0020213-0j -0.0118671-0j 0.00175732-0j 1.69881e-05-0j 0.0334045-0j 3.21211e-07-0j 0.000631611-0j -4.22641e-05-0j -0.0831057-0j -1.40066e-05-0j 1.31094e-05-0j -0.0275418-0j 0.0257775-0j -8.27177e-07-0j 1.87373e-07-0j -0.00162651-0j -1.84338e-05-0j 8.31447e-06-0j 0.00036844-0j -0.0362472-0j 0.0163491-0j 3.80207e-05-0j 1.44826e-06-0j 0.0747617-0j -1.61774e-05-0j -1.16914e-05-0j 0.00284779-0j -0.0318103-0j -0.0229894-0j 3.51825e-05-0j 0.0691809-0j -3.95937e-06-0j -0.00778549-0j 
0.00196194-0j -0.00431731-0j -0.00175805-0j 0.00164155-0j 0.00907769-0j -0.00487826-0j -0.00531537-0j -0.0121507-0j 0.0261978-0j 0.0103292-0j -0.00708793-0j -0.00964472-0j -0.0234752-0j 0.0215526-0j -0.0278143-0j 0.0202793-0j 0.00520716-0j 0.0509779-0j -0.0160783-0j -0.00231334-0j 0.034181-0j 0.00491796-0j 0.0132045-0j 0.00189987-0j -0.0123295-0j -0.0124072-0j -0.00177397-0j -0.00178516-0j -0.0290569-0j 0.0199389-0j -0.00418071-0j -0.0344278-0j 0.0260878-0j 0.00286881-0j -0.00495348-0j 0.00375352-0j 0.0110481-0j -0.0606292-0j 0.00158961-0j -0.00625473-0j 0.0723889-0j -0.00872334-0j -0.000899932-0j 0.0104153-0j -0.0357742-0j -0.00514719-0j 0.0619826-0j 0.00891807-0j 
-0.000626851-0j 0.00277107-0j -0.000578164-0j -0.00612559-0j 0.00197975-0j 0.00531537-0j -0.00663243-0j 0.00388222-0j -0.0168151-0j 0.00339694-0j 0.00226463-0j 0.0359902-0j -0.0155091-0j 0.00140117-0j -0.0294438-0j 0.0257127-0j -0.0266314-0j 0.0526955-0j 0.00513709-0j 0.000739124-0j -0.0219391-0j -0.0031566-0j 0.00434253-0j 0.000624804-0j 0.0460087-0j 0.00396417-0j 0.00661974-0j 0.000570366-0j -0.0191967-0j -0.0127978-0j -0.00276202-0j -0.0364447-0j 0.00283214-0j -0.00184135-0j -0.00524367-0j 0.000407489-0j 0.0424353-0j -0.00791824-0j 0.00610559-0j -0.0310784-0j -0.0260374-0j -0.00113928-0j -0.00447156-0j -0.00374626-0j 0.0459464-0j 0.00661078-0j -0.00270349-0j -0.000388979-0j 
-0.000163495-0j 0.000359776-0j 0.000146504-0j -0.000136795-0j -0.000756474-0j 0.000406522-0j 0.000442947-0j 0.00308063-0j -0.00664205-0j -0.00261882-0j 0.00179704-0j 0.00244527-0j 0.00595177-0j -0.00546434-0j 0.0070519-0j -0.0051415-0j -0.0013202-0j -0.0129247-0j -1.40145e-05-0j -0.0275573-0j 2.97935e-05-0j 0.0585843-0j 1.15096e-05-0j 0.0226319-0j -1.07469e-05-0j -1.08147e-05-0j -0.0211321-0j -0.0212653-0j -2.53272e-05-0j 1.73796e-05-0j -0.049802-0j -3.00087e-05-0j 2.27392e-05-0j 0.0341742-0j -0.0590074-0j 0.0447131-0j 9.63001e-06-0j -5.28469e-05-0j 0.0189359-0j -5.45188e-06-0j 6.30971e-05-0j -0.103915-0j -0.0107203-0j 0.124071-0j -3.11822e-05-0j -0.061315-0j 5.40266e-05-0j 0.106235-0j 
5.22376e-05-0j -0.000230923-0j 4.81803e-05-0j 0.000510466-0j -0.000164979-0j -0.000442947-0j 0.000552702-0j -0.000984277-0j 0.00426321-0j -0.000861242-0j -0.000574162-0j -0.00912477-0j 0.00393209-0j -0.000355244-0j 0.00746502-0j -0.00651905-0j 0.00675198-0j -0.0133601-0j 4.4777e-06-0j 0.00880469-0j -1.9123e-05-0j -0.0376024-0j 3.78513e-06-0j 0.00744287-0j 4.01031e-05-0j 3.45534e-06-0j 0.0788564-0j 0.00679438-0j -1.67326e-05-0j -1.11551e-05-0j -0.0329021-0j -3.17667e-05-0j 2.46861e-06-0j -0.0219347-0j -0.0624643-0j 0.00485414-0j 3.69883e-05-0j -6.90186e-06-0j 0.0727317-0j -2.70892e-05-0j -2.26953e-05-0j -0.0135714-0j -0.0532667-0j -0.0446267-0j 4.00488e-05-0j 0.0787497-0j -2.35648e-06-0j -0.00463364-0j 
0.0131374-0j 0.0148403-0j 0.0121171-0j 0.0122426-0j 0.0106024-0j 0.00874656-0j 0.00279457-0j -0.00860959-0j 0.00190987-0j 0.00150988-0j 0.00100659-0j 0.00152553-0j 0.00176153-0j 0.000622795-0j 0.00102756-0j 0.00108989-0j 0.00063577-0j 0.000165856-0j 0.00112611-0j 0.000162541-0j -0.0061317-0j -0.000885034-0j 0.000951938-0j 0.0001374-0j 0.000961803-0j 0.000868997-0j 0.000138824-0j 0.000125429-0j 0.00107533-0j 0.000716886-0j 0.00015521-0j 0.000627275-0j 0.000620841-0j 0.000103474-0j 9.05394e-05-0j 8.96107e-05-0j 0.000887101-0j 0.00044355-0j 0.000128042-0j 0.00036591-0j 0.000448147-0j 6.4021e-05-0j 5.28146e-05-0j 6.46844e-05-0j 0.000202494-0j 2.92275e-05-0j 4.46458e-05-0j 6.44407e-06-0j 
-0.00218957-0j -0.00247339-0j -0.00201951-0j -0.00204044-0j -0.00176707-0j -0.00145776-0j -0.000465762-0j -0.0676585-0j 0.0150087-0j 0.0118654-0j 0.00791028-0j 0.0119884-0j 0.013843-0j 0.00489424-0j 0.00807508-0j 0.00856491-0j 0.0049962-0j 0.00130338-0j -0.000187686-0j 0.00258174-0j 0.00102195-0j -0.0140576-0j -0.000158656-0j 0.00218242-0j -0.000160301-0j -0.000144833-0j 0.00220504-0j 0.00199227-0j -0.000179221-0j -0.000119481-0j 0.00246531-0j -0.000104546-0j -0.000103474-0j 0.00164354-0j 0.0014381-0j 0.00142335-0j -0.00014785-0j -7.39251e-05-0j 0.00203378-0j -6.09851e-05-0j -7.46912e-05-0j 0.00101689-0j 0.000838891-0j 0.00102743-0j -3.37491e-05-0j 0.000464241-0j -7.44097e-06-0j 0.000102355-0j 
-0.00134083-0j -0.00151463-0j -0.00123669-0j -0.00124951-0j -0.00108211-0j -0.000892692-0j -0.00028522-0j 0.000878713-0j -0.000194925-0j -0.000154102-0j -0.000102735-0j -0.000155699-0j -0.000179785-0j -6.35637e-05-0j -0.000104875-0j -0.000111237-0j -6.4888e-05-0j -1.69276e-05-0j 0.0220914-0j -1.65892e-05-0j -0.120288-0j 9.03284e-05-0j 0.0186745-0j -1.40234e-05-0j 0.018868-0j 0.0170474-0j -1.41687e-05-0j -1.28015e-05-0j 0.0210951-0j 0.0140634-0j -1.58411e-05-0j 0.0123055-0j 0.0121793-0j -1.05607e-05-0j -9.24064e-06-0j -9.14586e-06-0j 0.0174026-0j 0.00870129-0j -1.30682e-05-0j 0.0071782-0j 0.00879146-0j -6.53412e-06-0j -5.39037e-06-0j -6.60183e-06-0j 0.00397241-0j -2.98302e-06-0j 0.000875833-0j -6.57695e-07-0j 
0.0578057-0j -0.000284581-0j -0.0134111-0j 0.0130806-0j -0.000203314-0j 0.0188582-0j 0.0121041-0j -0.00190987-0j 0.000145599-0j -0.00167113-0j -0.00111409-0j 0.00162994-0j -3.37794e-05-0j -0.000689308-0j 0.00221548-0j 0.00116449-0j 0.00206224-0j 0.000898763-0j -0.00124638-0j -0.000179899-0j -2.35665e-05-0j -3.40154e-06-0j 0.0041886-0j 0.000604573-0j -0.00408536-0j -0.000961803-0j -0.000589671-0j -0.000138824-0j -2.06207e-05-0j -1.37471e-05-0j -2.97634e-06-0j 0.00135245-0j -0.000687145-0j -1.98423e-06-0j 0.000195209-0j -9.91809e-05-0j 0.000947818-0j -8.50561e-06-0j 0.000136806-0j 0.0011869-0j 0.000966234-0j -1.22768e-06-0j 0.000171314-0j 0.000139464-0j 0.000877065-0j 0.000126593-0j 0.00029049-0j 4.19286e-05-0j 
0.000273697-0j 0.000309173-0j 0.000252439-0j 0.000255055-0j 0.000220884-0j 0.00018222-0j 5.82202e-05-0j 0.017094-0j -0.00379196-0j -0.00299781-0j -0.00199854-0j -0.00302888-0j -0.00349745-0j -0.00123653-0j -0.00204018-0j -0.00216393-0j -0.0012623-0j -0.000329301-0j -0.00224296-0j 0.0150534-0j 0.0122129-0j -0.081966-0j -0.00189604-0j 0.0127251-0j -0.00191569-0j -0.00173084-0j 0.012857-0j 0.0116164-0j -0.00214181-0j -0.00142787-0j 0.0143745-0j -0.00124939-0j -0.00123657-0j 0.00958303-0j 0.00838515-0j 0.00829915-0j -0.0017669-0j -0.000883452-0j 0.0118584-0j -0.00072881-0j -0.000892607-0j 0.0059292-0j 0.00489134-0j 0.00599064-0j -0.000403323-0j 0.00270686-0j -8.89243e-05-0j 0.000596807-0j 
-1.61277e-05-0j -1.82182e-05-0j -1.48751e-05-0j -1.50293e-05-0j -1.30157e-05-0j -1.07374e-05-0j -3.43066e-06-0j -0.00202512-0j 0.000449232-0j 0.000355149-0j 0.000236766-0j 0.000358829-0j 0.000414341-0j 0.000146491-0j 0.000241699-0j 0.00025636-0j 0.000149543-0j 3.90121e-05-0j -1.38244e-06-0j -0.00547492-0j 7.52737e-06-0j 0.029811-0j -1.16861e-06-0j -0.00462811-0j -1.18073e-06-0j -1.06679e-06-0j -0.00467608-0j -0.00422487-0j -1.32009e-06-0j -8.8006e-07-0j -0.00522801-0j -7.70053e-07-0j -7.62155e-07-0j -0.00348534-0j -0.00304967-0j -0.00301839-0j -1.08902e-06-0j -5.4451e-07-0j -0.00431289-0j -4.49198e-07-0j -5.50152e-07-0j -0.00215644-0j -0.00177898-0j -0.00217879-0j -2.48585e-07-0j -0.000984483-0j -5.48079e-08-0j -0.000217058-0j 
-0.0114953-0j 0.0385392-0j 0.0103006-0j -0.0107123-0j 0.0273032-0j 0.00743537-0j -0.00244525-0j -0.00150988-0j -0.00167113-0j -0.00380943-0j -0.000880765-0j 0.00396169-0j 0.00149746-0j 0.00267819-0j -0.000899114-0j 0.00280667-0j 0.000540462-0j -0.000145124-0j -0.00098535-0j -0.000142223-0j -0.00107533-0j -0.00015521-0j 0.000809234-0j 0.000116803-0j -0.000841578-0j 0.00225672-0j -0.000121471-0j 0.00032573-0j -0.00271305-0j -0.000627275-0j -0.000391596-0j 0.00162899-0j 0.00159878-0j -9.05394e-05-0j 0.000235124-0j 0.000230764-0j 0.000754116-0j 0.00190739-0j 0.000108847-0j -0.000320172-0j 0.00115406-0j 0.000275308-0j -4.62128e-05-0j 0.000166574-0j 0.000172139-0j 2.48461e-05-0j -3.90651e-05-0j -5.63856e-06-0j 
-0.00963429-0j 4.74301e-05-0j 0.00223519-0j -0.0021801-0j 3.38857e-05-0j -0.00314303-0j -0.00201736-0j -0.0150087-0j 0.00114419-0j -0.0131326-0j -0.00875508-0j 0.0128089-0j -0.000265456-0j -0.00541693-0j 0.0174104-0j 0.00915114-0j 0.0162061-0j 0.00706293-0j 0.00020773-0j -0.00285746-0j 3.92776e-06-0j -5.40289e-05-0j -0.0006981-0j 0.00960284-0j 0.000680894-0j 0.000160301-0j -0.00936615-0j -0.00220504-0j 3.43679e-06-0j 2.29119e-06-0j -4.72753e-05-0j -0.000225408-0j 0.000114524-0j -3.15169e-05-0j 0.00310063-0j -0.00157536-0j -0.00015797-0j 1.4176e-06-0j 0.00217298-0j -0.000197816-0j -0.000161039-0j -1.95001e-05-0j 0.0027211-0j 0.0022152-0j -0.000146178-0j 0.00201077-0j -4.8415e-05-0j 0.000665981-0j 
-0.00766351-0j -0.00865685-0j 0.0348693-0j 0.0352307-0j -0.00618475-0j -0.00510216-0j -0.00163017-0j -0.00100659-0j -0.00111409-0j -0.000880765-0j -0.00395467-0j -0.000889892-0j 0.00506916-0j -0.000363297-0j 0.00295701-0j -0.00063577-0j -0.000370866-0j -9.67494e-05-0j -0.0006569-0j -9.48153e-05-0j -0.000716886-0j -0.000103474-0j -0.000555297-0j -8.01503e-05-0j -0.000561052-0j 0.00250072-0j -8.09809e-05-0j 0.000360947-0j -0.000627275-0j -0.00281649-0j -9.05394e-05-0j -0.00036591-0j 0.0017866-0j -0.000406525-0j -5.28146e-05-0j 0.000257873-0j 0.00255281-0j -0.000258738-0j 0.000368467-0j 0.00105298-0j -0.000261419-0j -3.73456e-05-0j 0.000151985-0j -3.77326e-05-0j -0.000118122-0j -1.70494e-05-0j -2.60434e-05-0j -3.75904e-06-0j 
0.0116144-0j 0.0375893-0j 0.0107123-0j -0.0108168-0j -0.00904847-0j 0.00694264-0j 0.0259071-0j 0.00152553-0j -0.00162994-0j -0.00396169-0j 0.000889892-0j 0.00400034-0j -0.00150335-0j 0.000550593-0j 0.000815632-0j -0.000962959-0j 0.00265653-0j 0.00266531-0j 0.000995561-0j 0.000143697-0j -0.00104882-0j -0.000151385-0j 0.000841578-0j 0.000121471-0j -0.000849789-0j -0.00228011-0j -0.000122656-0j -0.000329105-0j 0.00272372-0j -0.000611814-0j 0.000393135-0j -0.00147774-0j 0.000548866-0j -8.83078e-05-0j -0.000213293-0j 7.92219e-05-0j -0.000783786-0j -0.000378541-0j -0.00011313-0j 0.00152894-0j 0.00035572-0j -5.46376e-05-0j 0.000220683-0j 5.13437e-05-0j 0.00187723-0j 0.000270955-0j 0.00109726-0j 0.000158375-0j 
-0.00589977-0j 2.90449e-05-0j 0.00136877-0j -0.00133503-0j 2.07507e-05-0j -0.0019247-0j -0.00123537-0j 0.000194925-0j -1.48601e-05-0j 0.000170559-0j 0.000113706-0j -0.000166355-0j 3.4476e-06-0j 7.03522e-05-0j -0.000226117-0j -0.00011885-0j -0.000210476-0j -9.17296e-05-0j -0.0244507-0j 1.83609e-05-0j -0.000462313-0j 3.47168e-07-0j 0.0821693-0j -6.17039e-05-0j -0.080144-0j -0.018868-0j 6.01831e-05-0j 1.41687e-05-0j -0.000404524-0j -0.000269683-0j 3.03772e-07-0j 0.0265314-0j -0.01348-0j 2.02515e-07-0j -1.99234e-05-0j 1.01226e-05-0j 0.0185937-0j -0.000166858-0j -1.39627e-05-0j 0.0232838-0j 0.018955-0j 1.25299e-07-0j -1.74847e-05-0j -1.4234e-05-0j 0.0172057-0j -1.29204e-05-0j 0.00569865-0j -4.27932e-06-0j 
0.00120429-0j -5.92877e-06-0j -0.000279399-0j 0.000272512-0j -4.23572e-06-0j 0.000392878-0j 0.00025217-0j 0.00379196-0j -0.000289081-0j 0.00331797-0j 0.00221198-0j -0.00323619-0j 6.70677e-05-0j 0.00136859-0j -0.00439876-0j -0.00231204-0j -0.00409449-0j -0.00178446-0j 0.00248251-0j -0.0166611-0j 4.69392e-05-0j -0.000315028-0j -0.00834274-0j 0.0559915-0j 0.00813711-0j 0.00191569-0j -0.0546114-0j -0.012857-0j 4.10718e-05-0j 2.73812e-05-0j -0.000275649-0j -0.00269377-0j 0.00136864-0j -0.000183766-0j 0.0180789-0j -0.00918547-0j -0.00188784-0j 1.69412e-05-0j 0.01267-0j -0.00236403-0j -0.00192452-0j -0.000113699-0j 0.015866-0j 0.0129162-0j -0.00174691-0j 0.0117242-0j -0.00057859-0j 0.00388315-0j 
0.00191588-0j -0.00642321-0j -0.00171677-0j 0.00178538-0j -0.00455053-0j -0.00123923-0j 0.000407541-0j -0.0118654-0j -0.0131326-0j -0.0299365-0j -0.0069215-0j 0.031133-0j 0.0117678-0j 0.0210466-0j -0.00706569-0j 0.0220562-0j 0.00424722-0j -0.00114046-0j 0.000164225-0j -0.00225902-0j 0.000179221-0j -0.00246531-0j -0.000134872-0j 0.00185526-0j 0.000140263-0j -0.00037612-0j -0.00192941-0j 0.00517379-0j 0.000452176-0j 0.000104546-0j -0.00621998-0j -0.000271498-0j -0.000266463-0j -0.0014381-0j 0.00373464-0j 0.00366538-0j -0.000125686-0j -0.000317898-0j 0.0017289-0j 5.33619e-05-0j -0.000192343-0j 0.0043729-0j -0.000734029-0j 0.00264581-0j -2.86898e-05-0j 0.000394647-0j 6.51085e-06-0j -8.9561e-05-0j 
0.0134111-0j 0.000262478-0j 0.0236334-0j 0.0237263-0j -0.000551893-0j 0.0168983-0j -0.011164-0j 0.00176153-0j 3.37794e-05-0j -0.00149746-0j -0.00506916-0j -0.00150335-0j 5.95269e-05-0j -0.00312455-0j 0.00401858-0j 0.00316098-0j 0.00184792-0j -0.000828957-0j 0.00114957-0j 0.000165927-0j 2.17361e-05-0j 3.13734e-06-0j -0.000944106-0j -0.00013627-0j -0.000947818-0j -0.00174458-0j -0.000136806-0j -0.000251808-0j -1.84777e-05-0j -6.25502e-05-0j -2.66703e-06-0j -0.0012474-0j 0.00366819-0j -9.02834e-06-0j -0.000180047-0j 0.000529458-0j -0.00167027-0j -3.8555e-05-0j -0.000241082-0j 0.00215287-0j 0.00262282-0j -5.56493e-06-0j 0.00031074-0j 0.000378572-0j 0.000785916-0j 0.000113437-0j -0.000267928-0j -3.86721e-05-0j 
-7.09632e-05-0j 3.49356e-07-0j 1.64637e-05-0j -1.60579e-05-0j 2.49592e-07-0j -2.31506e-05-0j -1.48592e-05-0j -0.000449232-0j 3.42472e-05-0j -0.000393078-0j -0.000262052-0j 0.000383389-0j -7.94548e-06-0j -0.000162136-0j 0.000521118-0j 0.000273907-0j 0.000485072-0j 0.000211404-0j 1.53008e-06-0j 0.00605962-0j 2.89307e-08-0j 0.000114575-0j -5.14199e-06-0j -0.0203641-0j 5.01525e-06-0j 1.18073e-06-0j 0.0198621-0j 0.00467608-0j 2.53143e-08-0j 1.68762e-08-0j 0.000100253-0j -1.66028e-06-0j 8.43551e-07-0j 6.68356e-05-0j -0.0065753-0j 0.00334075-0j -1.16356e-06-0j 1.04416e-08-0j -0.00460808-0j -1.45706e-06-0j -1.18616e-06-0j 4.13524e-05-0j -0.00577044-0j -0.00469762-0j -1.0767e-06-0j -0.0042641-0j -3.5661e-07-0j -0.0014123-0j 
0.00127725-0j 0.00144281-0j -0.00581156-0j -0.00587178-0j 0.00103079-0j 0.00085036-0j 0.000271694-0j -0.00791028-0j -0.00875508-0j -0.0069215-0j -0.0310778-0j -0.00699322-0j 0.039836-0j -0.00285497-0j 0.0232377-0j -0.0049962-0j -0.00291445-0j -0.000760306-0j 0.000109483-0j -0.00150602-0j 0.000119481-0j -0.00164354-0j 9.25496e-05-0j -0.00127308-0j 9.35087e-05-0j -0.000416786-0j -0.00128627-0j 0.00573317-0j 0.000104546-0j 0.000469415-0j -0.0014381-0j 6.09851e-05-0j -0.000297766-0j -0.00645712-0j -0.000838891-0j 0.00409597-0j -0.000425469-0j 4.3123e-05-0j 0.00585261-0j -0.000175497-0j 4.35698e-05-0j -0.000593185-0j 0.00241408-0j -0.000599332-0j 1.9687e-05-0j -0.000270807-0j 4.34056e-06-0j -5.97074e-05-0j 
0.00117323-0j -0.00393339-0j -0.0010513-0j 0.00109332-0j -0.00278662-0j -0.00075887-0j 0.000249567-0j 0.000154102-0j 0.000170559-0j 0.000388799-0j 8.98927e-05-0j -0.000404338-0j -0.000152834-0j -0.000273341-0j 9.17655e-05-0j -0.000286454-0j -5.51607e-05-0j 1.48117e-05-0j -0.01933-0j 1.45156e-05-0j -0.0210951-0j 1.58411e-05-0j 0.015875-0j -1.19211e-05-0j -0.0165095-0j 0.044271-0j 1.23976e-05-0j -3.32447e-05-0j -0.053223-0j -0.0123055-0j 3.99671e-05-0j 0.0319565-0j 0.0313638-0j 9.24064e-06-0j -2.39973e-05-0j -2.35522e-05-0j 0.0147938-0j 0.0374179-0j -1.11092e-05-0j -0.00628093-0j 0.0226396-0j -2.80985e-05-0j 4.71657e-06-0j -1.70009e-05-0j 0.00337691-0j -2.53584e-06-0j -0.000766354-0j 5.75483e-07-0j 
0.00474155-0j 0.00535615-0j -0.0214929-0j 0.0044186-0j 0.0478039-0j -0.0155144-0j 0.00100861-0j 0.000622795-0j 0.000689308-0j -0.00267819-0j 0.000363297-0j 0.000550593-0j -0.00312455-0j 0.00162779-0j 0.000370866-0j 0.00491406-0j -0.00112771-0j 5.98607e-05-0j 0.000406436-0j 5.8664e-05-0j 0.00044355-0j 6.4021e-05-0j -0.00168852-0j -0.000243717-0j 0.000347133-0j 0.000313638-0j 5.01044e-05-0j 4.52697e-05-0j -0.00190739-0j 0.000258738-0j -0.000275308-0j 0.000226396-0j 0.00279923-0j 3.73456e-05-0j 3.26774e-05-0j 0.000404033-0j -0.00157351-0j 0.0011593-0j -0.000227117-0j 0.000132064-0j 0.00202059-0j 0.000167331-0j 1.90618e-05-0j 0.000291647-0j -0.000359179-0j -5.1843e-05-0j 1.61135e-05-0j 2.32579e-06-0j 
-0.00193573-0j -0.00626489-0j -0.00178538-0j 0.0018028-0j 0.00150808-0j -0.00115711-0j -0.00431786-0j 0.0119884-0j -0.0128089-0j -0.031133-0j 0.00699322-0j 0.0314367-0j -0.0118141-0j 0.00432684-0j 0.00640965-0j -0.00756742-0j 0.0208764-0j 0.0209454-0j -0.000165927-0j 0.00228243-0j 0.000174804-0j -0.00240455-0j -0.000140263-0j 0.00192941-0j 0.000141631-0j 0.000380018-0j -0.00194824-0j -0.0052274-0j -0.000453954-0j 0.000101969-0j 0.00624443-0j 0.00024629-0j -9.14776e-05-0j -0.00140265-0j -0.00338788-0j 0.00125834-0j 0.000130631-0j 6.30901e-05-0j -0.00179692-0j -0.000254823-0j -5.92866e-05-0j -0.000867847-0j 0.00350526-0j 0.000815527-0j -0.000312872-0j 0.00430376-0j -0.000182876-0j 0.00251558-0j 
-0.00782316-0j 0.0172151-0j 0.0141901-0j 0.0128726-0j 0.012299-0j -0.0200218-0j 0.0211948-0j -0.00102756-0j 0.00221548-0j -0.000899114-0j 0.00295701-0j -0.000815632-0j -0.00401858-0j -0.000370866-0j 0.00462583-0j -0.000582715-0j -0.000453261-0j 0.00431109-0j -0.000670585-0j -9.67907e-05-0j 0.0014256-0j 0.000205768-0j -0.000566866-0j -8.18201e-05-0j -0.000514233-0j 0.00101767-0j -7.42231e-05-0j 0.000146888-0j 0.0012474-0j -0.00410247-0j 0.000180047-0j -0.0014359-0j 0.000727058-0j -0.00059214-0j -0.000207254-0j 0.000104942-0j 0.000932746-0j 0.000514528-0j 0.00013463-0j 0.000513027-0j -0.00102586-0j 7.42657e-05-0j 7.40491e-05-0j -0.00014807-0j 0.00153577-0j 0.00022167-0j 0.00258514-0j 0.000373133-0j 
0.000782153-0j 0.000883536-0j -0.00355884-0j -0.00359572-0j 0.000631229-0j 0.000520737-0j 0.000166378-0j 0.000102735-0j 0.000113706-0j 8.98927e-05-0j 0.000403622-0j 9.08242e-05-0j -0.000517369-0j 3.70788e-05-0j -0.000301799-0j 6.4888e-05-0j 3.78513e-05-0j 9.87445e-06-0j -0.0128866-0j 9.67705e-06-0j -0.0140634-0j 1.05607e-05-0j -0.0108935-0j 8.1803e-06-0j -0.0110064-0j 0.0490575-0j 8.26508e-06-0j -3.6839e-05-0j -0.0123055-0j -0.0552521-0j 9.24064e-06-0j -0.0071782-0j 0.0350483-0j 4.14908e-05-0j 5.39037e-06-0j -2.63191e-05-0j 0.0500795-0j -0.00507575-0j -3.76065e-05-0j 0.0206567-0j -0.00512835-0j 3.81157e-06-0j -1.55119e-05-0j 3.85107e-06-0j -0.00231724-0j 1.7401e-06-0j -0.000510903-0j 3.83655e-07-0j 
-0.00118539-0j -0.00383644-0j -0.00109332-0j 0.00110399-0j 0.000923506-0j -0.00070858-0j -0.00264414-0j -0.000155699-0j 0.000166355-0j 0.000404338-0j -9.08242e-05-0j -0.000408283-0j 0.000153435-0j -5.61946e-05-0j -8.32451e-05-0j 9.82816e-05-0j -0.000271131-0j -0.000272027-0j 0.0195303-0j -1.4666e-05-0j -0.0205752-0j 1.54506e-05-0j 0.0165095-0j -1.23976e-05-0j -0.0166706-0j -0.0447297-0j 1.25186e-05-0j 3.35892e-05-0j 0.0534322-0j -0.0120022-0j -4.01242e-05-0j -0.0289893-0j 0.0107673-0j 9.01287e-06-0j 2.17691e-05-0j -8.08556e-06-0j -0.0153758-0j -0.00742597-0j 1.15463e-05-0j 0.0299937-0j 0.00697828-0j 5.57643e-06-0j -2.25234e-05-0j -5.24024e-06-0j 0.0368263-0j -2.76542e-05-0j 0.0215253-0j -1.61641e-05-0j 
-0.000239485-0j 0.000802901-0j 0.000214596-0j -0.000223173-0j 0.000568817-0j 0.000154904-0j -5.09427e-05-0j 0.00299781-0j 0.00331797-0j 0.00756348-0j 0.00174872-0j -0.00786578-0j -0.00297315-0j -0.00531743-0j 0.00178516-0j -0.00557252-0j -0.00107307-0j 0.000288138-0j 0.00196259-0j -0.0131717-0j 0.00214181-0j -0.0143745-0j -0.00161181-0j 0.0108175-0j 0.00167623-0j -0.00449488-0j -0.0112499-0j 0.0301669-0j 0.00540379-0j 0.00124939-0j -0.036267-0j -0.00324457-0j -0.0031844-0j -0.00838515-0j 0.0217756-0j 0.0213718-0j -0.00150203-0j -0.00379908-0j 0.0100807-0j 0.000637709-0j -0.00229862-0j 0.0254972-0j -0.00427992-0j 0.015427-0j -0.000342861-0j 0.00230108-0j 7.78088e-05-0j -0.000522206-0j 
-0.00829772-0j 0.00904847-0j 0.022524-0j 0.00772791-0j 0.0057389-0j 0.0145978-0j -0.018509-0j -0.00108989-0j 0.00116449-0j 0.00280667-0j -0.00063577-0j 0.000962959-0j -0.00316098-0j -0.00491406-0j -0.000582715-0j 0.000610746-0j 0.00558569-0j -0.00190419-0j -0.000711263-0j -0.000102662-0j 0.000749316-0j 0.000108154-0j 0.00176952-0j 0.000255409-0j 0.000607118-0j -0.000548866-0j 8.763e-05-0j -7.92219e-05-0j -0.00192963-0j 0.000437101-0j -0.000278517-0j -0.00035572-0j -0.000348112-0j 6.30901e-05-0j -5.13437e-05-0j -5.02457e-05-0j -0.00164801-0j 0.00337849-0j -0.00023787-0j -0.00109233-0j -0.000225611-0j 0.000487643-0j -0.000157664-0j -3.25642e-05-0j 0.00394712-0j 0.000569717-0j -0.000783917-0j -0.000113149-0j 
