-0.306635-0j -0.00643125-0j -0.242191-0j 0.235015-0j -0.209744-0j -0.00513704-0j 0.293813-0j -0.194185-0j -0.187601-0j -0.00448397-0j -0.138733-0j 0.190384-0j -0.00419437-0j 0.238825-0j -0.00290595-0j -0.17303-0j 0.167903-0j -0.164151-0j -0.0029966-0j -0.109434-0j 0.159286-0j 0.242383-0j -0.105959-0j 0.155675-0j -0.00379044-0j -0.00259513-0j -0.0677087-0j 0.216794-0j -0.00244672-0j 0.148429-0j 0.1138-0j -0.107057-0j 0.201886-0j -0.0582743-0j 0.146915-0j 0.088016-0j 0.0565475-0j -0.00151383-0j 0.184296-0j -0.00174802-0j 0.149967-0j -0.0312249-0j 0.14139-0j 0.136216-0j 0.0605993-0j 0.0908104-0j 0.0451252-0j -0.00034201-0j 0.131667-0j 0.0437403-0j 0.0811799-0j 0.056186-0j 0.0217259-0j 0.032239-0j 0.0102454-0j 0.00174564-0j 
-0.0111513-0j -0.000233884-0j -0.00880773-0j 0.00854674-0j -0.00762772-0j -0.000186818-0j 0.010685-0j 0.0206788-0j -0.00682244-0j -0.000163068-0j -0.00504526-0j 0.00692365-0j 0.00044666-0j 0.00868529-0j -0.00010568-0j -0.00629255-0j 0.00610609-0j 0.0174804-0j -0.000108977-0j -0.00397976-0j -0.0169625-0j 0.0088147-0j 0.0264205-0j 0.0056614-0j -0.000137846-0j 0.00064709-0j -0.00246235-0j 0.00788411-0j 0.000260552-0j -0.0370103-0j 0.00413853-0j 0.0114005-0j 0.00734194-0j -0.00211925-0j -0.015645-0j 0.00320086-0j 0.00205645-0j 0.000161208-0j -0.0196257-0j -6.35699e-05-0j -0.01597-0j -0.00113555-0j 0.00514191-0j -0.0145056-0j 0.0022038-0j 0.00330248-0j -0.0048054-0j -1.24378e-05-0j 0.00478831-0j 0.0015907-0j 0.00295225-0j 0.00204331-0j 0.000790101-0j 0.00117243-0j 0.000372592-0j 6.34833e-05-0j 
-0.00100753-0j -0.00106766-0j -0.000795786-0j -0.000804032-0j -0.00068917-0j -0.000852805-0j -0.00049747-0j -0.000638048-0j 0.00241225-0j -0.000744389-0j -0.000455843-0j -0.000651341-0j -0.000696312-0j -0.000268664-0j 0.00425819-0j -0.000568537-0j -0.000574428-0j 0.00211072-0j -0.00049747-0j 0.00140715-0j 0.00213259-0j -0.000410391-0j -0.000348156-0j -0.000131122-0j 0.00246251-0j -0.000430821-0j 0.000870628-0j 0.00143646-0j -0.000406182-0j -0.000251312-0j 0.0015236-0j -0.000351764-0j 0.000888766-0j -0.000191476-0j -0.000502625-0j 0.000231856-0j -0.00019346-0j -0.000251312-0j -0.000207322-0j -0.000290191-0j -0.000253917-0j -0.000102598-0j -0.000239395-0j -0.000114732-0j -0.000207322-0j -7.64879e-05-0j -2.5296e-05-0j -5.67775e-05-0j -0.000148118-0j -7.40591e-05-0j -5.46456e-05-0j -4.73244e-05-0j -1.04341e-05-0j -1.80723e-05-0j -4.30383e-06-0j -5.86342e-07-0j 
0.000205661-0j 0.000217935-0j 0.000162439-0j 0.000164122-0j 0.000140676-0j 0.000174078-0j 0.000101546-0j 0.000130241-0j -0.000492399-0j 0.000151948-0j 9.30486e-05-0j 0.000132954-0j 0.000142134-0j 5.48409e-05-0j -0.0008692-0j 0.000116052-0j 0.000117255-0j -0.000430849-0j 0.000101546-0j -0.000287233-0j -0.000435314-0j 8.37708e-05-0j 7.10671e-05-0j 2.67652e-05-0j -0.000502657-0j 8.7941e-05-0j -0.000177716-0j -0.000293217-0j 8.29116e-05-0j 5.12989e-05-0j -0.000311003-0j 7.18035e-05-0j -0.000181419-0j 3.90849e-05-0j 0.000102598-0j -4.73275e-05-0j 3.94899e-05-0j 5.12989e-05-0j 4.23195e-05-0j 5.92349e-05-0j 5.18305e-05-0j 2.09427e-05-0j 4.88663e-05-0j 2.34195e-05-0j 4.23195e-05-0j 1.5613e-05-0j 5.16352e-06-0j 1.15897e-05-0j 3.02345e-05-0j 1.51172e-05-0j 1.11545e-05-0j 9.66006e-06-0j 2.12984e-06-0j 3.689e-06-0j 8.78516e-07-0j 1.19687e-07-0j 
-0.00910502-0j -0.00964839-0j 0.00691567-0j -0.00726601-0j 0.0121092-0j 0.00741119-0j -0.00449561-0j -0.00576601-0j -0.0055705-0j 0.0130795-0j 0.0120423-0j 0.00566039-0j -0.00629255-0j -0.00242791-0j -0.0043596-0j -0.00960648-0j 0.0100931-0j 0.00468725-0j 0.013142-0j 0.0158854-0j -0.0049247-0j 0.00356645-0j 0.00611736-0j -0.00118494-0j -0.0106324-0j 0.003744-0j 0.00982117-0j 0.00644961-0j 0.0179445-0j -0.0022711-0j 0.0102852-0j -0.0180682-0j 0.00197367-0j -0.013034-0j -0.00849278-0j -0.000535415-0j 0.0136943-0j 0.0110942-0j 0.0036428-0j -0.0374771-0j 0.0067079-0j -0.0123425-0j -0.0101705-0j 0.000997062-0j -0.0177949-0j 0.00337912-0j -0.000228599-0j 0.00451947-0j -0.00760801-0j 0.00458221-0j -0.000923338-0j 0.00208914-0j 0.000183334-0j 0.000477429-0j 3.74019e-05-0j -5.29875e-06-0j 
-1.21187e-05-0j -1.28419e-05-0j -9.57181e-06-0j -9.671e-06-0j -8.28943e-06-0j -1.02576e-05-0j -5.98363e-06-0j -7.67452e-06-0j 2.90149e-05-0j -8.95361e-06-0j -5.48294e-06-0j -7.83441e-06-0j -8.37534e-06-0j -3.23153e-06-0j 5.12181e-05-0j -6.83843e-06-0j -6.9093e-06-0j 2.5388e-05-0j -5.98363e-06-0j 1.69253e-05-0j 2.56511e-05-0j -4.93624e-06-0j -4.18767e-06-0j -1.57715e-06-0j 2.96194e-05-0j -5.18197e-06-0j 1.0472e-05-0j 1.7278e-05-0j -4.88561e-06-0j -3.02282e-06-0j 1.8326e-05-0j -4.23106e-06-0j 1.06902e-05-0j -2.3031e-06-0j -6.04564e-06-0j 2.7888e-06-0j -2.32697e-06-0j -3.02282e-06-0j -2.4937e-06-0j -3.49045e-06-0j -3.05414e-06-0j -1.23406e-06-0j -2.87947e-06-0j -1.38001e-06-0j -2.4937e-06-0j -9.20006e-07-0j -3.04263e-07-0j -6.82927e-07-0j -1.78158e-06-0j -8.90792e-07-0j -6.57284e-07-0j -5.69225e-07-0j -1.25502e-07-0j -2.17376e-07-0j -5.1767e-08-0j -7.0526e-09-0j 
0.00185855-0j 3.89807e-05-0j 0.00146796-0j -0.00142446-0j 0.00127129-0j 3.11363e-05-0j -0.00178084-0j -0.00344647-0j 0.00113707-0j 2.7178e-05-0j 0.000840877-0j -0.00115394-0j -7.44433e-05-0j -0.00144755-0j 1.76133e-05-0j 0.00104876-0j -0.00101768-0j -0.00291341-0j 1.81628e-05-0j 0.000663293-0j 0.00282708-0j -0.00146912-0j -0.00440342-0j -0.000943567-0j 2.29744e-05-0j -0.000107848-0j 0.000410391-0j -0.00131402-0j -4.34253e-05-0j 0.00616838-0j -0.000689756-0j -0.00190009-0j -0.00122366-0j 0.000353209-0j 0.0026075-0j -0.000533477-0j -0.000342742-0j -2.6868e-05-0j 0.00327095-0j 1.0595e-05-0j 0.00266167-0j 0.000189258-0j -0.000856984-0j 0.00241761-0j -0.0003673-0j -0.000550414-0j 0.0008009-0j 2.07297e-06-0j -0.000798052-0j -0.000265116-0j -0.000492042-0j -0.000340551-0j -0.000131684-0j -0.000195405-0j -6.20987e-05-0j -1.05805e-05-0j 
0.00919938-0j -0.00936248-0j 0.00726601-0j -0.00733555-0j -0.0122347-0j -0.0074784-0j 0.00401347-0j 0.00582577-0j 0.00562823-0j 0.0126919-0j 0.00416213-0j -0.00594248-0j -0.00610609-0j 0.0115-0j -0.00423042-0j -0.0100931-0j 0.0101897-0j 0.0049247-0j -0.0043624-0j -0.01605-0j -0.00497183-0j 0.00331094-0j -0.00618076-0j 0.012468-0j 0.0107288-0j -0.00377795-0j 0.00203133-0j -0.0057579-0j 0.0174128-0j 0.00202753-0j -0.00355205-0j -0.00624481-0j 0.00972133-0j -0.0136943-0j 0.00891602-0j 0.00977073-0j 0.0138254-0j -0.0022038-0j -0.0172545-0j 0.0124403-0j 0.00204854-0j -0.0018214-0j -0.00944184-0j 0.0109095-0j 0.00367767-0j -0.035555-0j 0.00638187-0j -0.000497892-0j -0.0123272-0j 0.000597491-0j -0.0175219-0j 0.00449993-0j -0.0072467-0j 0.00455943-0j 0.00206442-0j 0.000455726-0j 
0.00113813-0j 2.38707e-05-0j 0.000898935-0j -0.000872298-0j 0.000778501-0j 1.9067e-05-0j -0.00109054-0j -0.00211053-0j 0.000696312-0j 1.6643e-05-0j 0.00051493-0j -0.000706642-0j -4.5587e-05-0j -0.000886439-0j 1.07859e-05-0j 0.00064223-0j -0.0006232-0j -0.00178409-0j 1.11224e-05-0j 0.000406182-0j 0.00173122-0j -0.000899646-0j -0.00269654-0j -0.000577814-0j 1.40689e-05-0j -6.60434e-05-0j 0.000251312-0j -0.000804668-0j -2.65924e-05-0j 0.00377735-0j -0.000422387-0j -0.00116356-0j -0.000749333-0j 0.000216295-0j 0.00159676-0j -0.000326686-0j -0.000209886-0j -1.64532e-05-0j 0.00200304-0j 6.48807e-06-0j 0.00162993-0j 0.000115897-0j -0.000524794-0j 0.00148048-0j -0.000224925-0j -0.000337058-0j 0.000490449-0j 1.26943e-06-0j -0.000488705-0j -0.00016235-0j -0.000301313-0j -0.000208544-0j -8.06394e-05-0j -0.000119661-0j -3.80275e-05-0j -6.47924e-06-0j 
0.00796689-0j 0.000167095-0j -0.018395-0j -0.00610609-0j 0.00544951-0j -0.000390169-0j -0.00763375-0j 0.00504526-0j 0.00487419-0j 0.000116501-0j 0.00306214-0j 0.0144601-0j 0.000108977-0j -0.00620507-0j 7.55014e-05-0j -0.013142-0j -0.0043624-0j -0.0124676-0j 6.61418e-05-0j 0.00284328-0j -0.00413853-0j 0.0184095-0j 0.00275299-0j -0.0040447-0j -0.000287892-0j -0.000197106-0j 0.0216705-0j -0.00563268-0j 6.35699e-05-0j -0.00385643-0j -0.00251182-0j 0.00236299-0j 0.0153337-0j -0.00442606-0j 0.0111585-0j -0.00228681-0j -0.0014692-0j 0.000484509-0j -0.00478831-0j 3.85827e-05-0j -0.00331011-0j 0.0255418-0j 0.0107389-0j 0.0103459-0j -0.0193951-0j -0.00235941-0j -0.00117243-0j 0.000518452-0j -0.00290619-0j -0.0357794-0j 0.00616579-0j -0.0179826-0j -0.000564476-0j -0.000711588-0j 0.00077816-0j -4.53547e-05-0j 
0.0015175-0j 0.00160806-0j -0.00115261-0j 0.001211-0j -0.00201821-0j -0.0012352-0j 0.000749269-0j 0.000961002-0j 0.000928416-0j -0.00217991-0j -0.00200706-0j -0.000943398-0j 0.00104876-0j 0.000404651-0j 0.000726601-0j 0.00160108-0j -0.00168219-0j -0.000781208-0j -0.00219033-0j -0.00264757-0j 0.000820783-0j -0.000594409-0j -0.00101956-0j 0.000197491-0j 0.00177207-0j -0.000623999-0j -0.00163686-0j -0.00107494-0j -0.00299075-0j 0.000378517-0j -0.00171421-0j 0.00301136-0j -0.000328945-0j 0.00217234-0j 0.00141546-0j 8.92358e-05-0j -0.00228239-0j -0.00184903-0j -0.000607134-0j 0.00624619-0j -0.00111798-0j 0.00205708-0j 0.00169508-0j -0.000166177-0j 0.00296581-0j -0.000563186-0j 3.80998e-05-0j -0.000753245-0j 0.001268-0j -0.000763701-0j 0.00015389-0j -0.00034819-0j -3.05557e-05-0j -7.95715e-05-0j -6.23365e-06-0j 8.83125e-07-0j 
-0.00657235-0j 0.0135156-0j 0.00499199-0j -0.00463435-0j -0.00449561-0j -0.0103817-0j -0.0124025-0j -0.00416213-0j -0.004021-0j 0.00942331-0j 0.00869262-0j 0.00361027-0j 0.0088147-0j -0.00214442-0j 0.006107-0j 0.00356645-0j -0.00331094-0j 0.00338343-0j -0.0184095-0j -0.00234558-0j -0.00314104-0j 0.00983914-0j -0.0022711-0j 0.0107449-0j -0.0076603-0j -0.00524465-0j 0.0070893-0j -0.00915138-0j 0.00514191-0j -0.00626552-0j 0.00656006-0j 0.0067079-0j 0.00174322-0j 0.00120114-0j 0.00278596-0j 0.0166906-0j -0.00111508-0j -0.0155409-0j -0.0016548-0j -0.0107389-0j 0.0185058-0j 0.00458221-0j 0.0057395-0j -0.00904116-0j 0.00583742-0j 0.00626783-0j 0.0158904-0j -0.00633095-0j 0.00345605-0j 0.0126414-0j -0.0148039-0j -0.0189439-0j 0.0120848-0j -0.0331871-0j -0.00789947-0j 0.00247334-0j 
-0.000232319-0j -4.87258e-06-0j -0.000183494-0j 0.000178057-0j -0.000158911-0j -3.89203e-06-0j 0.000222605-0j 0.000430809-0j -0.000142134-0j -3.39725e-06-0j -0.00010511-0j 0.000144243-0j 9.30542e-06-0j 0.000180944-0j -2.20167e-06-0j -0.000131095-0j 0.00012721-0j 0.000364176-0j -2.27035e-06-0j -8.29116e-05-0j -0.000353385-0j 0.00018364-0j 0.000550428-0j 0.000117946-0j -2.87179e-06-0j 1.3481e-05-0j -5.12989e-05-0j 0.000164252-0j 5.42816e-06-0j -0.000771048-0j 8.62195e-05-0j 0.000237511-0j 0.000152957-0j -4.41511e-05-0j -0.000325938-0j 6.66846e-05-0j 4.28428e-05-0j 3.3585e-06-0j -0.000408869-0j -1.32437e-06-0j -0.000332709-0j -2.36573e-05-0j 0.000107123-0j -0.000302201-0j 4.59126e-05-0j 6.88017e-05-0j -0.000100113-0j -2.59121e-07-0j 9.97565e-05-0j 3.31395e-05-0j 6.15053e-05-0j 4.25689e-05-0j 1.64604e-05-0j 2.44256e-05-0j 7.76234e-06-0j 1.32257e-06-0j 
0.000929277-0j 0.000984734-0j -0.000705828-0j 0.000741584-0j -0.00123589-0j -0.000756401-0j 0.000458832-0j 0.000588491-0j 0.000568537-0j -0.00133492-0j -0.00122907-0j -0.000577711-0j 0.00064223-0j 0.000247797-0j 0.00044495-0j 0.000980458-0j -0.00103013-0j -0.00047839-0j -0.0013413-0j -0.0016213-0j 0.000502625-0j -0.000364-0j -0.000624351-0j 0.000120938-0j 0.00108517-0j -0.00038212-0j -0.00100237-0j -0.000658261-0j -0.00183145-0j 0.000231793-0j -0.00104973-0j 0.00184408-0j -0.000201437-0j 0.00133028-0j 0.000866791-0j 5.46456e-05-0j -0.00139767-0j -0.0011323-0j -0.000371792-0j 0.00382499-0j -0.000684622-0j 0.0012597-0j 0.00103802-0j -0.000101762-0j 0.00181618-0j -0.00034488-0j 2.33313e-05-0j -0.000461267-0j 0.000776489-0j -0.00046767-0j 9.42378e-05-0j -0.000213222-0j -1.87115e-05-0j -4.87274e-05-0j -3.81731e-06-0j 5.40802e-07-0j 
-0.00153323-0j 0.00156041-0j -0.001211-0j 0.00122259-0j 0.00203912-0j 0.0012464-0j -0.000668911-0j -0.000970961-0j -0.000938038-0j -0.00211532-0j -0.000693688-0j 0.000990413-0j 0.00101768-0j -0.00191667-0j 0.00070507-0j 0.00168219-0j -0.00169829-0j -0.000820783-0j 0.000727066-0j 0.00267501-0j 0.000828639-0j -0.000551824-0j 0.00103013-0j -0.00207799-0j -0.00178814-0j 0.000629658-0j -0.000338556-0j 0.000959651-0j -0.00290213-0j -0.000337922-0j 0.000592008-0j 0.0010408-0j -0.00162022-0j 0.00228239-0j -0.001486-0j -0.00162845-0j -0.00230423-0j 0.0003673-0j 0.00287575-0j -0.00207338-0j -0.000341424-0j 0.000303567-0j 0.00157364-0j -0.00181825-0j -0.000612945-0j 0.00592583-0j -0.00106364-0j 8.2982e-05-0j 0.00205454-0j -9.95819e-05-0j 0.00292032-0j -0.000749988-0j 0.00120778-0j -0.000759904-0j -0.00034407-0j -7.59544e-05-0j 
1.36895e-05-0j 2.8712e-07-0j 1.08125e-05-0j -1.04921e-05-0j 9.36391e-06-0j 2.2934e-07-0j -1.31171e-05-0j -2.53857e-05-0j 8.37534e-06-0j 2.00185e-07-0j 6.19364e-06-0j -8.49958e-06-0j -5.48327e-07-0j -1.06622e-05-0j 1.29734e-07-0j 7.72483e-06-0j -7.49593e-06-0j -2.14593e-05-0j 1.33782e-07-0j 4.88561e-06-0j 2.08234e-05-0j -1.08211e-05-0j -3.24343e-05-0j -6.95003e-06-0j 1.69222e-07-0j -7.94378e-07-0j 3.02282e-06-0j -9.67865e-06-0j -3.19857e-07-0j 4.54344e-05-0j -5.08053e-06-0j -1.39955e-05-0j -9.01308e-06-0j 2.60163e-06-0j 1.92061e-05-0j -3.92943e-06-0j -2.52454e-06-0j -1.97902e-07-0j 2.40928e-05-0j 7.80394e-08-0j 1.9605e-05-0j 1.39402e-06-0j -6.31229e-06-0j 1.78074e-05-0j -2.70542e-06-0j -4.05418e-06-0j 5.89919e-06-0j 1.52689e-08-0j -5.87821e-06-0j -1.95276e-06-0j -3.62423e-06-0j -2.5084e-06-0j -9.69941e-07-0j -1.43929e-06-0j -4.574e-07-0j -7.79331e-08-0j 
0.0020999-0j -0.00868065-0j 0.00165858-0j 0.0174515-0j 0.00143637-0j -0.00693377-0j -0.0130247-0j 0.00132982-0j 0.00128473-0j -0.00605229-0j 0.000950069-0j 0.0141373-0j -0.0056614-0j -0.0103921-0j -0.00392233-0j 0.00118494-0j 0.012468-0j 0.00112414-0j -0.0040447-0j 0.000749425-0j 0.0118282-0j -0.0107449-0j 0.000725628-0j 0.01336-0j -0.00511619-0j -0.00350281-0j 0.000463683-0j -0.00961049-0j -0.00330248-0j -0.00657985-0j 0.00845044-0j 0.000733147-0j -0.00878477-0j 0.000399075-0j 0.0109095-0j 0.0172685-0j 0.00419906-0j -0.00204331-0j -0.00801936-0j -0.00235941-0j -0.00664804-0j 0.000213835-0j -0.00626783-0j 0.01169-0j 0.00449993-0j 0.00779331-0j -0.000558434-0j -0.000461632-0j -0.00572931-0j -0.00193901-0j 0.0159273-0j 0.00482186-0j -0.0215487-0j -0.000398964-0j -0.0342807-0j -0.0267884-0j 
-0.000189688-0j -0.000201008-0j 0.000144076-0j -0.000151375-0j 0.000252276-0j 0.0001544-0j -9.36586e-05-0j -0.000120125-0j -0.000116052-0j 0.000272489-0j 0.000250882-0j 0.000117925-0j -0.000131095-0j -5.05814e-05-0j -9.08251e-05-0j -0.000200135-0j 0.000210274-0j 9.7651e-05-0j 0.000273792-0j 0.000330946-0j -0.000102598-0j 7.43011e-05-0j 0.000127445-0j -2.46864e-05-0j -0.000221509-0j 7.79999e-05-0j 0.000204608-0j 0.000134367-0j 0.000373844-0j -4.73146e-05-0j 0.000214276-0j -0.00037642-0j 4.11181e-05-0j -0.000271542-0j -0.000176933-0j -1.11545e-05-0j 0.000285298-0j 0.000231129-0j 7.58918e-05-0j -0.000780774-0j 0.000139748-0j -0.000257135-0j -0.000211885-0j 2.07721e-05-0j -0.000370727-0j 7.03982e-05-0j -4.76248e-06-0j 9.41557e-05-0j -0.0001585-0j 9.54627e-05-0j -1.92362e-05-0j 4.35237e-05-0j 3.81946e-06-0j 9.94644e-06-0j 7.79206e-07-0j -1.10391e-07-0j 
-0.000938907-0j 0.000955554-0j -0.000741584-0j 0.000748682-0j 0.0012487-0j 0.000763261-0j -0.000409623-0j -0.00059459-0j -0.000574428-0j -0.00129536-0j -0.000424795-0j 0.000606502-0j 0.0006232-0j -0.00117372-0j 0.000431765-0j 0.00103013-0j -0.00103999-0j -0.000502625-0j 0.000445235-0j 0.0016381-0j 0.000507436-0j -0.000337922-0j 0.000630821-0j -0.00127251-0j -0.00109501-0j 0.000385585-0j -0.000207322-0j 0.000587664-0j -0.00177718-0j -0.000206934-0j 0.00036253-0j 0.000637358-0j -0.000992179-0j 0.00139767-0j -0.000909988-0j -0.000997221-0j -0.00141105-0j 0.000224925-0j 0.00176103-0j -0.00126968-0j -0.000209078-0j 0.000185896-0j 0.000963654-0j -0.00111344-0j -0.000375351-0j 0.00362882-0j -0.000651346-0j 5.08159e-05-0j 0.00125814-0j -6.09812e-05-0j 0.00178832-0j -0.000459272-0j 0.000739614-0j -0.000465344-0j -0.000210699-0j -4.65124e-05-0j 
-0.00132782-0j -2.78491e-05-0j 0.00306583-0j 0.00101768-0j -0.000908251-0j 6.50282e-05-0j 0.00127229-0j -0.000840877-0j -0.000812364-0j -1.94169e-05-0j -0.000510357-0j -0.00241001-0j -1.81628e-05-0j 0.00103418-0j -1.25836e-05-0j 0.00219033-0j 0.000727066-0j 0.00207793-0j -1.10236e-05-0j -0.000473879-0j 0.000689756-0j -0.00306825-0j -0.000458832-0j 0.000674117-0j 4.7982e-05-0j 3.2851e-05-0j -0.00361175-0j 0.000938779-0j -1.0595e-05-0j 0.000642738-0j 0.000418636-0j -0.000393831-0j -0.00255561-0j 0.000737677-0j -0.00185975-0j 0.000381134-0j 0.000244867-0j -8.07514e-05-0j 0.000798052-0j -6.43045e-06-0j 0.000551684-0j -0.00425697-0j -0.00178981-0j -0.00172431-0j 0.00323252-0j 0.000393235-0j 0.000195405-0j -8.64087e-05-0j 0.000484365-0j 0.00596324-0j -0.00102763-0j 0.0029971-0j 9.40793e-05-0j 0.000118598-0j -0.000129693-0j 7.55911e-06-0j 
-0.000813118-0j -1.7054e-05-0j 0.00187743-0j 0.0006232-0j -0.000556188-0j 3.98215e-05-0j 0.000779117-0j -0.00051493-0j -0.00049747-0j -1.18904e-05-0j -0.000312528-0j -0.00147582-0j -1.11224e-05-0j 0.000633302-0j -7.70583e-06-0j 0.0013413-0j 0.000445235-0j 0.00127247-0j -6.75057e-06-0j -0.000290191-0j 0.000422387-0j -0.00187891-0j -0.000280976-0j 0.00041281-0j 2.93829e-05-0j 2.01171e-05-0j -0.00221174-0j 0.000574883-0j -6.48807e-06-0j 0.000393595-0j 0.000256361-0j -0.000241171-0j -0.00156498-0j 0.000451733-0j -0.00113886-0j 0.000233396-0j 0.00014995-0j -4.94499e-05-0j 0.000488705-0j -3.93783e-06-0j 0.000337836-0j -0.00260685-0j -0.00109603-0j -0.00105592-0j 0.0019795-0j 0.000240806-0j 0.000119661-0j -5.29143e-05-0j 0.000296612-0j 0.00365172-0j -0.000629293-0j 0.00183534-0j 5.76116e-05-0j 7.26262e-05-0j -7.94206e-05-0j 4.62899e-06-0j 
0.00109539-0j -0.0022526-0j -0.000831999-0j 0.000772392-0j 0.000749269-0j 0.00173028-0j 0.00206709-0j 0.000693688-0j 0.000670166-0j -0.00157055-0j -0.00144877-0j -0.000601712-0j -0.00146912-0j 0.000357403-0j -0.00101783-0j -0.000594409-0j 0.000551824-0j -0.000563906-0j 0.00306825-0j 0.00039093-0j 0.000523506-0j -0.00163986-0j 0.000378517-0j -0.00179081-0j 0.00127672-0j 0.000874108-0j -0.00118155-0j 0.00152523-0j -0.000856984-0j 0.00104425-0j -0.00109334-0j -0.00111798-0j -0.000290536-0j -0.00020019-0j -0.000464327-0j -0.00278177-0j 0.000185847-0j 0.00259015-0j 0.0002758-0j 0.00178981-0j -0.00308429-0j -0.000763701-0j -0.000956583-0j 0.00150686-0j -0.000972903-0j -0.00104464-0j -0.00264839-0j 0.00105516-0j -0.000576008-0j -0.0021069-0j 0.00246731-0j 0.00315732-0j -0.00201413-0j 0.00553118-0j 0.00131658-0j -0.000412224-0j 
1.11775e-05-0j 1.18445e-05-0j -8.48979e-06-0j 8.91987e-06-0j -1.48655e-05-0j -9.09809e-06-0j 5.51889e-06-0j 7.07845e-06-0j 6.83843e-06-0j -1.60566e-05-0j -1.47834e-05-0j -6.94878e-06-0j 7.72483e-06-0j 2.98054e-06-0j 5.35192e-06-0j 1.17931e-05-0j -1.23905e-05-0j -5.75414e-06-0j -1.61333e-05-0j -1.95012e-05-0j 6.04564e-06-0j -4.37823e-06-0j -7.50977e-06-0j 1.45466e-06-0j 1.30525e-05-0j -4.59619e-06-0j -1.20566e-05-0j -7.91764e-06-0j -2.2029e-05-0j 2.78804e-06-0j -1.26263e-05-0j 2.21808e-05-0j -2.42291e-06-0j 1.60008e-05-0j 1.04259e-05-0j 6.57284e-07-0j -1.68114e-05-0j -1.36194e-05-0j -4.47197e-06-0j 4.60075e-05-0j -8.23472e-06-0j 1.51518e-05-0j 1.24854e-05-0j -1.22401e-06-0j 2.18453e-05-0j -4.14826e-06-0j 2.80632e-07-0j -5.54818e-06-0j 9.33971e-06-0j -5.62519e-06-0j 1.1335e-06-0j -2.56466e-06-0j -2.25064e-07-0j -5.861e-07-0j -4.59151e-08-0j 6.50483e-09-0j 
0.000191654-0j -0.000195052-0j 0.000151375-0j -0.000152824-0j -0.00025489-0j -0.0001558-0j 8.36139e-05-0j 0.00012137-0j 0.000117255-0j 0.000264415-0j 8.6711e-05-0j -0.000123802-0j -0.00012721-0j 0.000239584-0j -8.81338e-05-0j -0.000210274-0j 0.000212286-0j 0.000102598-0j -9.08833e-05-0j -0.000334376-0j -0.00010358-0j 6.8978e-05-0j -0.000128766-0j 0.000259749-0j 0.000223518-0j -7.87072e-05-0j 4.23195e-05-0j -0.000119956-0j 0.000362766-0j 4.22402e-05-0j -7.4001e-05-0j -0.0001301-0j 0.000202528-0j -0.000285298-0j 0.00018575-0j 0.000203557-0j 0.000288029-0j -4.59126e-05-0j -0.000359469-0j 0.000259173-0j 4.26779e-05-0j -3.79459e-05-0j -0.000196705-0j 0.000227281-0j 7.66182e-05-0j -0.000740729-0j 0.000132956-0j -1.03727e-05-0j -0.000256817-0j 1.24477e-05-0j -0.00036504-0j 9.37485e-05-0j -0.000150973-0j 9.4988e-05-0j 4.30088e-05-0j 9.4943e-06-0j 
0.000670788-0j -0.00137943-0j -0.000509493-0j 0.000472992-0j 0.000458832-0j 0.00105958-0j 0.00126583-0j 0.000424795-0j 0.000410391-0j -0.000961762-0j -0.000887186-0j -0.000368472-0j -0.000899646-0j 0.000218864-0j -0.000623293-0j -0.000364-0j 0.000337922-0j -0.00034532-0j 0.00187891-0j 0.000239395-0j 0.000320581-0j -0.0010042-0j 0.000231793-0j -0.00109664-0j 0.000781826-0j 0.00053528-0j -0.000723548-0j 0.000934009-0j -0.000524794-0j 0.000639472-0j -0.000669533-0j -0.000684622-0j -0.000177916-0j -0.000122591-0j -0.000284341-0j -0.00170348-0j 0.000113808-0j 0.00158614-0j 0.000168892-0j 0.00109603-0j -0.00188874-0j -0.00046767-0j -0.000585785-0j 0.00092276-0j -0.000595779-0j -0.000639708-0j -0.0016218-0j 0.00064615-0j -0.000352732-0j -0.00129021-0j 0.00151091-0j 0.00193346-0j -0.0012334-0j 0.00338714-0j 0.000806236-0j -0.000252435-0j 
0.000165977-0j 3.48114e-06-0j -0.000383229-0j -0.00012721-0j 0.000113531-0j -8.12852e-06-0j -0.000159037-0j 0.00010511-0j 0.000101546-0j 2.42711e-06-0j 6.37946e-05-0j 0.000301251-0j 2.27035e-06-0j -0.000129272-0j 1.57295e-06-0j -0.000273792-0j -9.08833e-05-0j -0.000259742-0j 1.37795e-06-0j 5.92349e-05-0j -8.62195e-05-0j 0.000383532-0j 5.73539e-05-0j -8.42646e-05-0j -5.99775e-06-0j -4.10638e-06-0j 0.000451469-0j -0.000117347-0j 1.32437e-06-0j -8.03423e-05-0j -5.23295e-05-0j 4.92289e-05-0j 0.000319451-0j -9.22097e-05-0j 0.000232469-0j -4.76418e-05-0j -3.06084e-05-0j 1.00939e-05-0j -9.97565e-05-0j 8.03807e-07-0j -6.89606e-05-0j 0.000532122-0j 0.000223727-0j 0.000215539-0j -0.000404065-0j -4.91543e-05-0j -2.44256e-05-0j 1.08011e-05-0j -6.05456e-05-0j -0.000745404-0j 0.000128454-0j -0.000374638-0j -1.17599e-05-0j -1.48248e-05-0j 1.62117e-05-0j -9.44889e-07-0j 
