1-1.61559e-27j 0.145681+0.00266325j 0.0275921+0.0305364j 0.0545681+0.0186238j -0.0193421+0.0567958j 0.0367958-0.0314446j 0.00026575+0.00858529j 0.014494-0.023647j 0.0129581+0.0125574j 0.0345312-0.00234494j -0.0361026-0.00918739j -0.00454743-0.0368696j -0.0202564+0.0314599j -0.0194384-0.0187885j 0.00349708+0.0126992j 0.00257137-0.00319996j -0.00826778-0.000773272j 0.00766807-0.00682545j -0.00101482-0.00108864j -0.00048103-0.000278594j -0.0139619-0.0173473j 0.0121376+0.000528349j -0.0109024+0.0241903j -0.000769782+0.00189834j -0.000857504+0.00111016j -0.00885466-0.000591603j 0.0358255-0.0017659j 0.00548615-0.0212824j 0.0110969-0.0115354j 0.014391+0.0264795j -2.66378e-05+0.000182245j -0.00198238+0.002586j -0.00580637+0.0190536j -0.0161897-0.0116373j 0.00980559-0.00882263j -0.00624625+9.92344e-05j 0.00540335-0.00335088j -0.00421976-0.00366699j 0.00561632+0.000902219j -0.000345801-3.29536e-05j 
0.0358255+0.0017659j -0.00129641+0.00248796j -0.00266893+0.011413j -0.01133+0.00409557j 0.00368082+0.0183848j -0.0171669-0.00496552j -0.0239116-0.00312313j -0.0177895+0.00380191j 0.0128909+0.0181024j -0.0242542-0.0473919j -0.00541497+0.0251307j -0.0174572-0.033882j 0.0238743-0.0520659j 0.0222753+0.014454j -0.0435034+0.0395245j 0.0174829+0.00292273j 0.0375737+0.00511516j 0.0291158-0.0456865j 0.00897609+0.0449776j -0.00578138+0.0376392j -0.0642144+0.0653427j 0.140014-0.015493j 0.348238-0.051022j -0.0146531-0.0257047j 0.0629542-0.0464143j -0.0930745+0.0176729j 0.375838+1.1089e-10j -0.0571228+0.114789j 0.0284761+0.0661287j -0.15557-0.245103j -0.0641092-0.0368199j -0.0220298-0.0544707j -0.291911-0.0331714j 0.161022-0.0846875j 0.104846+0.052911j 0.00690585-0.0243172j 0.0391152+0.0630393j -0.055975-0.0265159j 0.00539997+0.000307848j 0.000761397+0.016625j 
0.00548615+0.0212824j -0.0130802+0.00940755j 0.0369852-0.0157717j -0.00691588+0.0233941j -0.00150003+0.031995j 0.0210002-0.00201272j -0.0917307-0.0313093j -0.0956943+0.0521683j 0.0358671+0.00207067j -0.0108033+0.0169331j 0.0381332+0.104847j 0.0113334-0.100962j -0.0179174+0.0488366j 0.0108628-0.00283444j 0.0115404-0.0140792j -0.0330615+0.00236567j -0.0172361-0.0297725j 0.020922+0.0388871j -0.0441123-0.0281922j 0.0174785-0.00984292j 0.294077-0.0277614j -0.133622-0.0157201j 0.0765312+0.034558j -0.0535931+0.0595451j -0.0649373+0.0419911j 0.0250273+0.0624068j -0.0571228-0.114789j 0.154989-4.32987e-15j 0.0886359-0.406036j 0.0917649-0.0817645j -0.054543-0.00042601j -0.149038-0.0460842j -0.0205059-0.0119906j -0.00014938+0.0785868j 0.326471+0.0762953j -0.0582944-0.0786571j 0.155974+0.0528282j -0.0436266+0.0104886j -0.120967+0.0485144j 0.0291564+0.017328j 
0.0110969+0.0115354j -0.0169166-0.0108366j 0.0247861-0.0133147j -0.00561339-0.015784j 0.0260295+0.00636331j -0.00194976+0.00393985j -0.0398339+0.0528614j 0.0716084-0.0555791j 0.112595-0.0586485j 0.0474472+0.0994772j 0.0258473+0.0541716j 0.0253385+0.0815348j 0.0258157+0.0474591j -0.000680105-0.0398193j -0.0258838-0.000179387j -0.0581906+0.0214222j 0.12519+0.0121116j -0.00433316+0.0589222j 0.039449+0.00297163j -0.0321472-0.0999337j -0.129395-0.00232848j -0.318145-0.00620327j 0.133851-0.0573033j -0.00302803-0.0454198j 0.0386861-0.021408j -0.0366294-0.0226691j 0.0284761-0.0661287j 0.0886359+0.406036j -0.0653642-7.21645e-15j 0.200619+0.485503j -0.0365451+0.0120574j -0.00513451-0.0540924j -0.141737-0.0678699j 0.0586641+0.0481956j -0.0182604-0.0526201j 0.0195567+0.0504772j 0.009333+0.00373033j -0.0666331-0.0313497j 0.048604+0.00272419j 0.0125471+0.00894942j 
0.014391-0.0264795j -0.0229866+0.0303638j -0.0177424-0.0160216j -0.000699591+0.0495473j -0.00677928+0.0320168j 0.000538282-0.01605j 0.0322664+0.034225j 0.0862063+0.0420877j 0.00875535-0.0556024j 0.0302138+0.0540381j -0.0358655+0.0591758j -0.00938758-0.0984498j 0.0351053+0.00765509j 0.0311194+0.052709j -0.0382701+0.0129496j 0.00975461+0.00963056j 0.0372309+0.00756738j -0.00690825-0.000342822j -0.0111964-0.00106866j -0.0185956+0.000971737j -0.254585+0.172032j 0.081753-0.0292704j -0.00524806+0.212376j 0.0317754-0.0208807j 0.0479806-0.0354999j 0.0286543-0.0222325j -0.15557+0.245103j 0.0917649+0.0817645j 0.200619-0.485503j -0.125173-2.7478e-15j 0.00287502+0.0112925j 0.0188025-0.0562901j 0.156371+0.0674591j 0.228464+0.104241j -0.05248+0.0408283j 0.0370578-0.107669j -0.0190461+0.0483922j 0.0524546+0.0738496j 0.07353+0.020522j 0.0634996-0.0159924j 
-2.66378e-05-0.000182245j -0.0096951-0.00626031j -0.00574117+0.0032967j 0.0177817+0.010829j -0.00593928-0.0281299j 0.0136745+0.0217924j -0.0120166-0.0656878j 0.00203223-0.0295257j 0.0391574-0.00646173j -0.0392875-0.00333746j 0.0429821+0.00755468j -0.0119405+0.00687461j 0.0187249+0.0203877j -0.00151431-0.00624072j -0.0207997-0.0122813j 0.00325541-0.0268804j -0.0351277-0.0589913j 0.0665196+0.122249j 0.257146-0.0627851j -0.0358013+0.0248896j -0.126052-0.000603407j 0.113425+0.00734919j 0.0254565-0.0587154j 0.109014-0.182774j 0.0233867+0.0951218j -0.111518-0.0234394j -0.0641092+0.0368199j -0.054543+0.00042601j -0.0365451-0.0120574j 0.00287502-0.0112925j -0.222426-1.06262e-13j 0.263933-0.000998596j -0.00786511+0.0656047j 0.0172488-0.0885565j 0.044751+0.0655472j -0.00709419-0.0316467j -0.0103514-0.00159984j 0.00361611+0.0474495j 0.00945298-0.0549369j 0.00176765-0.0275518j 
-0.00198238-0.002586j 0.00136121+0.010069j 0.00876935-7.36561e-05j 0.0325426-0.0306267j 0.0032018-0.00446381j 0.00501744-0.00886449j -0.0143402-0.0336886j 0.0465531-0.0528576j 0.0139922+0.0152801j -0.023279+0.0318435j 0.018658-0.019104j 0.0182597+0.000877673j -0.00199168+0.0290806j -0.0226306-0.0271304j -0.00983028+0.0023559j -0.00256225-0.0246965j -0.0163387-0.0475802j 0.0316072+0.11402j -0.315109+0.0549664j 0.0185672-0.00484742j -0.164767+0.000659864j 0.0615475+0.0197531j 0.0341478-0.0629292j -0.041851+0.210522j 0.111235-0.102323j 0.14481+0.00415394j -0.0220298+0.0544707j -0.149038+0.0460842j -0.00513451+0.0540924j 0.0188025+0.0562901j 0.263933+0.000998596j -0.264369+1.26621e-13j -0.00115638+0.0530558j 0.0177697-0.0822415j -0.0423339+0.0171843j 0.0154293-0.00588923j 0.0120988+0.0368814j -0.00830664+0.0334763j 0.0165507-0.0595093j -0.00447044-0.0153456j 
-0.00580637-0.0190536j -0.00112382-0.0168604j -0.00358677+0.0100097j 0.0132089-0.0137786j 0.00303309-0.000621802j -0.0172946-0.00432787j 0.00584164-0.0216088j -0.00870937-0.0321203j 0.0131188+0.0366235j 0.000723245-0.0722319j -0.0154327+0.00509313j -0.0178279-0.0045864j 0.0474494-0.0589037j 0.0088414+0.0140508j -0.0449256+0.0336585j 0.0380209+0.0485336j 0.0471554-0.0406731j 0.323382-0.136552j -0.0156034+0.0026686j -0.00711457+0.0584672j -0.0068829-0.123242j -0.251807+0.0376665j -0.0804789+0.411624j 0.0661266-0.0181368j 0.137382-0.0312179j 0.0553336-0.00755376j -0.291911+0.0331714j -0.0205059+0.0119906j -0.141737+0.0678699j 0.156371-0.0674591j -0.00786511-0.0656047j -0.00115638-0.0530558j -0.143544+1.63758e-15j 0.0905351-0.0677238j 0.00397908+0.0308561j 0.0205287+0.0289921j 0.0136994+0.00063294j -0.0365932-0.0160304j 0.00945507-0.0168478j -0.01702+0.0117243j 
-0.0161897+0.0116373j 0.00352662+4.55855e-06j -0.0254943-0.0421447j 0.00128011+0.0260437j -0.00530534+0.0126827j 0.00822536-0.0164152j 0.122899+0.061367j 0.00904082+0.0994536j -0.0484984-0.0417201j 0.0395895-0.058724j -0.0634319-0.00520502j -0.0146969-0.0567706j 0.030861-0.0406292j -0.00345107+0.0484826j -0.0189672+0.018048j 0.0513356+0.0145414j 0.214602-0.249208j 0.225221+0.0574512j -0.0235967-0.0744311j -0.0124074+0.0702613j -0.136143-0.184623j -0.0828073-0.122644j 0.0883499-0.446452j 0.0419995+0.0376543j 0.0330684+0.0587493j -0.0484492+0.00445561j 0.161022+0.0846875j -0.00014938-0.0785868j 0.0586641-0.0481956j 0.228464-0.104241j 0.0172488+0.0885565j 0.0177697+0.0822415j 0.0905351+0.0677238j 0.111803+9.15934e-16j -0.0533789+0.0280082j 0.0153602-0.0888j -0.0132814+0.00662848j 0.00148128+0.0421441j 0.085303-0.00152391j 0.0437381-0.0152361j 
0.00980559+0.00882263j 0.0164461-0.00769334j -0.0122096+0.0335539j -0.000998694+0.012532j -0.042272-0.00801102j 0.0099568+0.00156371j 0.13707-0.0484656j -0.0604186-0.12097j -0.0381334+0.0372491j -0.0249109-0.0556037j 0.0101132-0.0867838j 0.0267977-0.00497261j -0.0267189-0.00902619j -0.0196517-0.0272951j 0.0439129-0.00425293j 0.0652275+0.0978114j 0.216911-0.0835363j -0.141823+0.0293527j -0.0268199-0.319765j 0.0125417+0.119297j 0.102308+0.199931j -0.0121472-0.141519j -0.0340459+0.197374j 0.0828232-0.0225877j -0.217537+0.0315979j 0.0219191+0.10383j 0.104846-0.052911j 0.326471-0.0762953j -0.0182604+0.0526201j -0.05248-0.0408283j 0.044751-0.0655472j -0.0423339-0.0171843j 0.00397908-0.0308561j -0.0533789-0.0280082j -0.144531-2.08444e-14j 0.0359757+0.0406576j -0.0991081-0.00939056j 0.0328961-0.0196798j -0.0109537-0.0100527j -0.0313891-0.00144488j 
-0.00624625-9.92344e-05j -0.0118998+0.00816895j 0.0278094-0.0649284j 0.0248505+0.017995j -0.0497148+0.00733834j -0.0200356-0.0148876j 0.0103772+0.13626j -0.0443313+0.0544893j -0.0864252+0.0609455j -0.0444351-0.043484j -0.0275078-0.0124604j -0.0368166-0.0342379j -0.0226677-0.0175225j 0.0238327+0.0185824j 0.0135834+0.0133298j 0.111095+0.151849j -0.275271+0.0401476j -0.0186428+0.118556j -0.00350176-0.0307316j 0.0861214+0.00550314j -0.112059-0.0155957j -0.0376609+0.111988j 0.050115-0.143367j 0.0372184+0.00245033j 0.040647+0.0279868j -0.0132267-9.76585e-05j 0.00690585+0.0243172j -0.0582944+0.0786571j 0.0195567-0.0504772j 0.0370578+0.107669j -0.00709419+0.0316467j 0.0154293+0.00588923j 0.0205287-0.0289921j 0.0153602+0.0888j 0.0359757-0.0406576j -0.0144968-2.42861e-17j 0.0105863-0.00140896j -0.00132953-0.0257435j 0.00449027+0.0518717j 0.0106859+0.0125943j 
0.00540335+0.00335088j -0.0129049+0.0131367j 0.0148659-0.0368238j -0.00223088-0.0305958j 0.0104874-0.03651j -0.0226181+0.0172349j 0.0884851+0.00618289j -0.0444228-0.0788145j -0.0305213+0.0352476j -0.00256296-0.0372719j -0.00176732-0.00937709j -0.00433592-0.0532267j -0.00644666+0.00271272j -0.00483886+0.0200251j 0.0137107-0.00664903j 0.0346851+0.046146j 0.132166-0.0913926j -0.0438529+0.031972j 0.0826205+0.647652j 0.00472798-0.0179799j 0.0449132+0.058778j -0.0218938-0.0841924j -0.0141718+0.0586933j -0.372093+0.0661403j 0.0854483-0.0245013j -0.0647928-0.174457j 0.0391152-0.0630393j 0.155974-0.0528282j 0.009333-0.00373033j -0.0190461-0.0483922j -0.0103514+0.00159984j 0.0120988-0.0368814j 0.0136994-0.00063294j -0.0132814-0.00662848j -0.0991081+0.00939056j 0.0105863+0.00140896j 0.0352349-2.77556e-15j 0.0219278-0.000285516j -0.00232896-0.00103158j -0.00180172+0.00024454j 
-0.00421976+0.00366699j -0.00162121+0.019883j -0.0295432+0.0315143j 0.0166126+0.00811389j -0.01106-0.00700861j -0.0127591-0.0123369j -0.0379387-0.0283007j 0.0410955-0.0222064j -0.0159331+0.0773359j 0.0664716-0.0521118j -0.0291385+0.000514967j 0.00352535-0.0285262j 0.0648234-0.0384402j 0.00680701+0.0171356j -0.0589777+0.0263361j -0.24082+0.148707j -0.00298064+0.00474145j 0.0593068+0.515437j -0.0115437+0.00225603j -0.180761+0.113512j -0.0543836+0.0325086j 0.411551-0.138264j -0.0265388+0.0216132j 0.0117819+0.0555846j 0.0551388+0.114328j 0.0156561-0.0121313j -0.055975+0.0265159j -0.0436266-0.0104886j -0.0666331+0.0313497j 0.0524546-0.0738496j 0.00361611-0.0474495j -0.00830664-0.0334763j -0.0365932+0.0160304j 0.00148128-0.0421441j 0.0328961+0.0196798j -0.00132953+0.0257435j 0.0219278+0.000285516j -0.00320137+1.66533e-16j -0.0196773-0.00761734j -0.0222473+0.00765534j 
0.00561632-0.000902219j 0.0202642-0.0205685j -0.0248593-0.0447191j -0.000213275+0.00812324j -0.00379086-0.0296735j -0.00291167-0.011905j 0.082612+0.217761j -0.00263994+0.0764306j -0.108608+0.0773374j 0.0337803-0.0569729j -0.0241664-0.0571547j 0.0142436-0.0338575j 0.0314271-0.0345024j -0.0330189+0.0312336j -0.032692+0.0215386j -0.277192+0.0762395j 0.181597+0.304935j -0.0369144-0.344962j 0.00355387+0.0060346j -0.159273+0.0497043j 0.357299-0.155592j 0.0840009-0.128396j -0.0918263-0.0164062j -0.0158232-0.0532888j -0.046569-0.127181j 6.66376e-05+0.00903313j 0.00539997-0.000307848j -0.120967-0.0485144j 0.048604-0.00272419j 0.07353-0.020522j 0.00945298+0.0549369j 0.0165507+0.0595093j 0.00945507+0.0168478j 0.085303+0.00152391j -0.0109537+0.0100527j 0.00449027-0.0518717j -0.00232896+0.00103158j -0.0196773+0.00761734j 0.0681252-8.32667e-17j 0.0345416-0.00219504j 
-0.000345801+3.29536e-05j -0.00670137+0.00916606j 0.0075152+0.0322791j 0.00230976-0.0158945j -0.00728349+0.0066875j -0.00648284+0.0162796j 0.00553179+0.119514j -0.0153584-0.0602211j 0.0786251+0.00189879j -0.0402947-0.00391941j 0.0470315+0.0101548j 0.00440212-0.000947204j -0.0371814-0.00972214j -0.0110346+0.0067782j 0.0370843+0.0385847j 0.24172+0.598743j -0.350868+0.183026j -0.140467+0.0675576j 0.00137492+0.0284455j 0.10894+0.197386j 0.0694065+0.027853j 0.0324061+0.0915452j 0.00892962-0.024043j -0.0127814-0.0142623j -0.000817801-0.0470146j -0.00838041-0.000578914j 0.000761397-0.016625j 0.0291564-0.017328j 0.0125471-0.00894942j 0.0634996+0.0159924j 0.00176765+0.0275518j -0.00447044+0.0153456j -0.01702-0.0117243j 0.0437381+0.0152361j -0.0313891+0.00144488j 0.0106859-0.0125943j -0.00180172-0.00024454j -0.0222473-0.00765534j 0.0345416+0.00219504j 0.0195387+1.66533e-16j 
