-0.715067-0j 0.0713607-0j -0.0732757-0j -0.0416095-0j -0.00600582-0j 0.0506632-0j 0.00731261-0j -0.0300354-0j -0.00433523-0j -0.0292381-0j -0.00516862-0j -0.0341111-0j -0.000430718-0j 0.061996-0j -0.00603005-0j 0.0293684-0j 0.0109594-0j -0.000502504-0j -0.0123114-0j 0.000913287-0j 0.00519166-0j 0.000432638-0j -0.00217636-0j -0.000181363-0j -0.0225059-0j -0.00375098-0j -0.0254231-0j -0.002297-0j -0.000468873-0j 0.0204249-0j -2.76286e-05-0j -0.020973-0j -0.00423718-0j -0.00259473-0j 0.0539067-0j 0.00340415-0j -0.000529648-0j 0.0147435-0j 0.00208461-0j -0.0034955-0j -3.12098e-05-0j -0.0047874-0j 0.000425519-0j 0.00898445-0j -0.00214055-0j 0.00550183-0j -0.000436937-0j 2.50739e-05-0j 0.00245724-0j 0.00112306-0j 0.00150475-0j -0.000797901-0j -2.57468e-05-0j -0.000488612-0j 0.000307156-0j 6.61767e-05-0j 1.80993e-05-0j -9.97376e-05-0j -5.87709e-06-0j 
0.00042484-0j -0.00898445-0j -0.00297149-0j 0.0017368-0j 0.000250686-0j -9.07919e-05-0j -1.31047e-05-0j -0.00245385-0j -0.000354182-0j -0.177863-0j 0.00021574-0j -0.00295362-0j 1.79784e-05-0j -0.118983-0j 3.58261e-06-0j -0.52354-0j 0.000144322-0j 2.98551e-07-0j 0.220415-0j 1.20268e-05-0j 0.000635032-0j 5.29193e-05-0j -0.000267355-0j -2.22796e-05-0j 0.000939406-0j -0.0228182-0j 1.51045e-05-0j 9.58777e-05-0j 1.9571e-05-0j -0.00257153-0j 1.15323e-06-0j -0.000850501-0j -0.00036689-0j 1.5416e-06-0j 1.01043e-05-0j 0.0624626-0j 3.14678e-07-0j 0.0036332-0j -0.000262456-0j 0.0206587-0j 1.85426e-08-0j -0.000785092-0j -5.35736e-05-0j -0.000245435-0j -8.68039e-05-0j 1.03127e-06-0j -1.77188e-05-0j -3.15685e-06-0j -0.0882504-0j 2.10507e-07-0j 0.000370812-0j 0.0190699-0j -1.04409e-06-0j -8.01282e-05-0j 7.56916e-05-0j 1.24043e-08-0j 4.46017e-06-0j -1.63561e-05-0j -9.63792e-07-0j 
-0.000502504-0j -0.00721666-0j 0.00741031-0j 5.83261e-05-0j 0.11542-0j 3.5603e-05-0j 0.0704535-0j -2.1107e-05-0j -0.0417679-0j -2.05467e-05-0j 0.000522698-0j 4.78152e-05-0j 0.192086-0j 4.35669e-05-0j -0.00121639-0j 2.06383e-05-0j -0.00110832-0j -0.447013-0j -8.65165e-06-0j -0.407297-0j -0.000525028-0j -0.192943-0j 0.000220094-0j 0.0808823-0j -1.58157e-05-0j 0.000379334-0j -1.78658e-05-0j -1.61419e-06-0j -0.00451737-0j -2.86305e-05-0j 0.0508942-0j 2.93988e-05-0j 0.000428503-0j -1.82342e-06-0j 3.78823e-05-0j 0.000686692-0j -0.00510291-0j 1.03608e-05-0j -2.92209e-06-0j -0.000705119-0j 0.0574911-0j -3.36429e-06-0j -0.0081776-0j -0.000908591-0j 3.0005e-06-0j 3.86634e-06-0j 0.00839704-0j 0.0921316-0j -0.000248499-0j 0.0108201-0j 1.05744e-06-0j 8.06911e-05-0j -0.0946039-0j -3.43366e-07-0j 0.0029593-0j -0.121903-0j -0.0333405-0j -0.000960925-0j 0.0108261-0j 
0.0059191-0j 0.0292293-0j -0.0295202-0j -0.0680392-0j -0.00975847-0j -0.0410075-0j -0.00588146-0j 0.0225491-0j 0.00323409-0j -0.000249116-0j -0.200423-0j -0.000563225-0j 0.000528115-0j -0.000177977-0j -0.453137-0j 0.000254202-0j -0.143189-0j 0.00119401-0j -0.000500844-0j 0.000377304-0j 0.204516-0j -0.000538899-0j -0.402949-0j 0.00106177-0j -0.000191755-0j 0.00151175-0j 0.000210444-0j 0.00378557-0j -0.0367473-0j 0.000352786-0j 4.52467e-05-0j -0.000356297-0j -0.00165909-0j -0.00415452-0j 0.000150349-0j -0.00278128-0j 0.0403288-0j -0.000116918-0j -0.00696458-0j 0.00280896-0j -4.96565e-05-0j -0.000431436-0j 0.0676066-0j -0.00118531-0j 0.0070339-0j -0.00296813-0j -0.0682795-0j -8.32435e-05-0j 0.000921752-0j 0.0288123-0j 0.00230815-0j 0.00340133-0j 8.4072e-05-0j 0.00851725-0j -0.0224057-0j -3.54763e-05-0j 2.7588e-05-0j -0.0826787-0j 0.000101802-0j 
0.048194-0j 0.00245724-0j -0.00231076-0j -0.00143279-0j -0.000206805-0j -0.00341459-0j -0.000492854-0j -0.00400449-0j -0.000577999-0j 0.146729-0j -0.000177977-0j -0.335059-0j -1.48314e-05-0j -0.311123-0j 0.000406413-0j -0.134976-0j 0.000377379-0j 3.38677e-05-0j 0.0718904-0j 3.14482e-05-0j 0.00016372-0j 1.36433e-05-0j -8.72001e-05-0j -7.26667e-06-0j -0.000774971-0j 0.018824-0j 0.00171346-0j -7.90951e-05-0j -1.61452e-05-0j 0.000703314-0j -9.51366e-07-0j -0.000661388-0j -0.04162-0j 0.00017488-0j -0.0036332-0j -0.0170835-0j 3.56971e-05-0j 0.00196569-0j 7.17816e-05-0j 0.0160651-0j 2.10347e-06-0j 0.0021359-0j 1.46524e-05-0j 0.0882504-0j -6.75026e-05-0j -0.000370812-0j -1.37789e-05-0j 8.63399e-07-0j -0.0477466-0j -7.56916e-05-0j 0.000200622-0j -0.051881-0j -8.1193e-07-0j 0.000217994-0j 4.09518e-05-0j -4.46017e-06-0j 2.41311e-06-0j 4.44979e-05-0j 2.62206e-06-0j 
-7.51019e-05-0j -0.0751279-0j -0.0248476-0j 0.0295402-0j 0.00423678-0j -0.00154422-0j -0.000221479-0j -0.041736-0j -0.00598594-0j -0.00021574-0j -0.173572-0j -3.58261e-06-0j 0.000457361-0j -0.000144322-0j -0.00288236-0j -0.000635032-0j -0.116113-0j 7.595e-06-0j 0.000267355-0j 0.000305957-0j -0.510909-0j 0.00134624-0j 0.215098-0j -0.000566781-0j -0.000166065-0j 0.00130922-0j -2.67013e-06-0j 0.0032784-0j -0.0318241-0j 0.000454587-0j 3.91848e-05-0j 0.000150349-0j 2.10507e-05-0j 5.27128e-05-0j -1.78621e-06-0j -0.00358385-0j -0.000511694-0j -0.000642265-0j -0.0089743-0j -0.00118531-0j 6.30045e-07-0j 0.000138786-0j 0.0871154-0j 1.40821e-05-0j -0.00296813-0j 3.52628e-05-0j 0.0288123-0j -0.000107264-0j 0.00506346-0j -0.000342303-0j 0.0126794-0j -0.00109416-0j -3.54763e-05-0j -0.00273987-0j -0.123081-0j 4.21475e-07-0j 0.000151549-0j 0.0265965-0j -3.2748e-05-0j 
-0.000493258-0j -0.00741031-0j 0.00748407-0j -5.89305e-05-0j -0.116616-0j -3.55176e-05-0j -0.0702847-0j 1.95303e-05-0j 0.038648-0j 2.07596e-05-0j -0.000528115-0j 4.69354e-05-0j -0.194077-0j 1.48314e-05-0j -0.00119401-0j -2.11835e-05-0j -0.000377304-0j -0.438788-0j 4.1737e-05-0j -0.138655-0j 0.000538899-0j 0.19804-0j -0.00106177-0j -0.39019-0j 1.59796e-05-0j -0.000383265-0j -1.7537e-05-0j 1.63091e-06-0j 0.00456418-0j -2.93988e-05-0j -0.0514216-0j 2.96914e-05-0j 0.000420619-0j -1.78987e-06-0j -1.25291e-05-0j 0.000705119-0j -0.00500902-0j 9.74316e-06-0j -3.0005e-06-0j -0.000712138-0j 0.0564333-0j 3.5953e-05-0j -0.00839704-0j 0.000300505-0j 3.03037e-06-0j -1.27874e-06-0j 0.00848062-0j 0.0946039-0j -0.000233686-0j -0.00357861-0j 9.94407e-07-0j -0.000862318-0j -0.0955455-0j 3.66943e-06-0j 0.00278289-0j 0.0403179-0j -0.031353-0j 0.0102691-0j -0.115695-0j 
-0.0309084-0j 0.000797901-0j 0.00852688-0j 0.000457783-0j 6.60753e-05-0j -0.00222559-0j -0.000321237-0j -0.00428145-0j -0.000617974-0j -0.0468808-0j 5.68644e-05-0j 0.214884-0j 4.7387e-06-0j -0.0334932-0j -0.000260646-0j -0.50619-0j 4.06259e-05-0j -2.17205e-05-0j 0.368978-0j 3.38549e-06-0j 0.000613988-0j 5.11656e-05-0j -0.000447555-0j -3.72962e-05-0j 0.000247607-0j -0.00601437-0j -0.0010989-0j 2.52713e-05-0j 5.15848e-06-0j 0.000228375-0j 3.03966e-07-0j 0.00244057-0j 0.0266923-0j -0.000112156-0j -0.000785092-0j -0.00554724-0j -2.28938e-05-0j -0.0021359-0j 2.33085e-05-0j -0.0592814-0j -1.34903e-06-0j 0.00267685-0j 4.75782e-06-0j 0.0190699-0j 0.000249089-0j -8.01282e-05-0j 5.08452e-05-0j 2.80357e-07-0j 0.051881-0j -1.63561e-05-0j -0.000217994-0j -0.0650207-0j 2.99608e-06-0j 0.000273205-0j -4.44979e-05-0j -9.63792e-07-0j -2.62206e-06-0j 5.57677e-05-0j 3.28614e-06-0j 
6.25849e-06-0j 0.0190467-0j 0.00629944-0j 2.55855e-05-0j 0.0506303-0j -1.33749e-06-0j -0.00264672-0j -3.61486e-05-0j -0.0715332-0j 1.79784e-05-0j -0.000457361-0j 2.98551e-07-0j -0.168076-0j 1.20268e-05-0j -7.595e-06-0j 5.29193e-05-0j -0.000305957-0j -0.00279109-0j -2.22796e-05-0j -0.112436-0j -0.00134624-0j -0.494731-0j 0.000566781-0j 0.208287-0j 1.38388e-05-0j -0.000331917-0j 2.22511e-07-0j 1.41241e-06-0j 0.0039527-0j -3.78823e-05-0j -0.0445324-0j -1.25291e-05-0j -5.33684e-06-0j 2.27099e-08-0j 1.48851e-07-0j 0.000908591-0j 6.35547e-05-0j 5.35221e-05-0j -3.86634e-06-0j 0.000300505-0j -0.000716029-0j -1.15655e-05-0j -0.0108201-0j -3.57013e-06-0j -1.27874e-06-0j 1.51921e-08-0j -0.00357861-0j 0.121903-0j -0.00128371-0j 4.25156e-05-0j 5.46257e-06-0j 0.000277394-0j 0.0403179-0j -1.1804e-06-0j 0.0152872-0j -0.000478995-0j -0.172231-0j -0.0033034-0j 0.0372172-0j 
-0.00851957-0j 0.0205474-0j -0.0193226-0j -0.0243694-0j -0.00349516-0j -0.0580768-0j -0.00832961-0j -0.06811-0j -0.00976861-0j 0.000177977-0j 0.143189-0j -0.000406413-0j -0.000377304-0j -0.000377379-0j -0.326975-0j -0.00016372-0j -0.303616-0j 0.000861578-0j 8.72001e-05-0j 0.000800028-0j -0.131719-0j 0.00034708-0j 0.0701559-0j -0.000184861-0j 0.000136997-0j -0.00108005-0j -0.0003029-0j -0.00270454-0j 0.0262536-0j -0.000124329-0j -3.23258e-05-0j 0.000116918-0j 0.00238799-0j 0.00597975-0j 0.000642265-0j 0.000980183-0j -0.0580467-0j -0.000347488-0j 0.00245447-0j -0.000921752-0j 7.14724e-05-0j -0.000377577-0j -0.023826-0j -0.00506346-0j -0.00230815-0j -0.0126794-0j 0.0224057-0j 2.93368e-05-0j 0.00273951-0j 0.123081-0j 0.00685998-0j 0.00297672-0j -2.7588e-05-0j 0.00745399-0j -0.0665913-0j -0.000151549-0j 8.19933e-05-0j -0.0723575-0j 8.90931e-05-0j 
0.00546389-0j 0.00667204-0j 0.0713017-0j 0.00778615-0j 0.00111672-0j -0.0378538-0j -0.00542914-0j -0.0728205-0j -0.0104442-0j -5.68644e-05-0j -0.0457497-0j 0.000260646-0j 0.00012055-0j -4.06259e-05-0j 0.2097-0j -0.000613988-0j -0.0326852-0j -0.000552559-0j 0.000447555-0j 8.61253e-05-0j -0.493978-0j 0.00130163-0j 0.360076-0j -0.000948798-0j -4.37711e-05-0j 0.000345081-0j 0.00019426-0j 0.000864115-0j -0.00838814-0j -4.03715e-05-0j 1.03282e-05-0j -0.000431436-0j -0.0015315-0j -0.00383501-0j 0.000138786-0j 0.000318279-0j 0.0372273-0j 0.000377577-0j 0.000797-0j 0.00340133-0j -4.58376e-05-0j -0.000473205-0j -0.00773664-0j -0.00109416-0j 0.00851725-0j -0.00273987-0j -0.0826787-0j 9.52606e-06-0j -0.00297672-0j 0.0265965-0j -0.00745399-0j 0.00373063-0j 0.000101802-0j 0.00934185-0j 0.0723575-0j -3.2748e-05-0j -8.90931e-05-0j -0.0906833-0j 0.000111658-0j 
0.000709965-0j -0.00520926-0j 0.00489873-0j -2.1107e-05-0j -0.0417679-0j -5.03017e-05-0j -0.0995405-0j -5.89918e-05-0j -0.116737-0j -1.48314e-05-0j 0.000377304-0j 3.38677e-05-0j 0.138655-0j 3.14482e-05-0j -0.000861578-0j 1.36433e-05-0j -0.000800028-0j -0.316622-0j -7.26667e-06-0j -0.294002-0j -0.00034708-0j -0.127548-0j 0.000184861-0j 0.0679344-0j -1.14164e-05-0j 0.000273818-0j 2.52417e-05-0j -1.16518e-06-0j -0.00326081-0j 1.03608e-05-0j 0.0367374-0j -9.74316e-06-0j -0.000605412-0j 2.57622e-06-0j -5.35221e-05-0j -0.000248499-0j 0.00720966-0j 2.89573e-05-0j 1.05744e-06-0j 0.000233686-0j -0.0812265-0j 3.14647e-05-0j 0.0029593-0j 0.00128371-0j -9.94407e-07-0j -5.46257e-06-0j -0.00278289-0j -0.0333405-0j -0.00069453-0j -0.0152872-0j 2.95544e-06-0j -0.000754669-0j 0.031353-0j 3.21136e-06-0j 0.00827093-0j 0.172231-0j -0.0931831-0j 0.00898712-0j -0.101252-0j 
-0.000455324-0j -0.00169152-0j -0.0180766-0j 6.74378e-06-0j 0.013345-0j -3.27861e-05-0j -0.0648793-0j -6.30717e-05-0j -0.12481-0j 4.7387e-06-0j -0.00012055-0j -2.17205e-05-0j -0.0443011-0j 3.38549e-06-0j 0.000552559-0j 5.11656e-05-0j -8.61253e-05-0j 0.20306-0j -3.72962e-05-0j -0.0316502-0j -0.00130163-0j -0.478336-0j 0.000948798-0j 0.348674-0j 3.64759e-06-0j -8.74861e-05-0j -1.61883e-05-0j 3.72281e-07-0j 0.00104184-0j 3.36429e-06-0j -0.0117378-0j 3.5953e-05-0j 0.000388271-0j -1.65221e-06-0j -1.15655e-05-0j -8.06911e-05-0j -0.00462379-0j -3.14647e-05-0j 3.43366e-07-0j -0.000862318-0j 0.0520932-0j 3.94337e-05-0j 0.000960925-0j 0.000277394-0j 3.66943e-06-0j -1.1804e-06-0j 0.0102691-0j -0.0108261-0j 0.000754669-0j -0.0033034-0j -3.21136e-06-0j -0.000945803-0j -0.115695-0j 4.02469e-06-0j -0.00898712-0j 0.0372172-0j 0.101252-0j 0.0112633-0j -0.126896-0j 
0.029055-0j 0.00294684-0j 0.00297737-0j 0.0016907-0j 0.000244032-0j 0.00209214-0j 0.000301974-0j 0.00122041-0j 0.000176151-0j 0.00118802-0j 0.000210014-0j 0.00138602-0j 1.75012e-05-0j 0.000848761-0j 0.000245016-0j 0.00121277-0j 0.000150041-0j 2.0418e-05-0j 0.000500241-0j 1.25034e-05-0j 0.000214389-0j 1.78658e-05-0j 8.8431e-05-0j 7.36925e-06-0j -0.179133-0j 0.000152412-0j -0.202352-0j 9.33328e-05-0j 1.90515e-05-0j -0.16522-0j 1.12262e-06-0j -0.166932-0j 0.000172167-0j 0.000105431-0j -0.144567-0j 0.000140574-0j 2.15209e-05-0j -0.119262-0j 8.60837e-05-0j 0.000142031-0j 1.26813e-06-0j -0.0381047-0j 1.75718e-05-0j 0.000123002-0j 8.69758e-05-0j 7.53233e-05-0j 1.77539e-05-0j 1.03543e-06-0j 0.000101472-0j 1.53753e-05-0j 6.21385e-05-0j 3.24207e-05-0j 1.04616e-06-0j 1.98536e-05-0j 1.2684e-05-0j 9.05998e-07-0j 7.4741e-07-0j 4.05259e-06-0j 2.38801e-07-0j 
-0.0048425-0j 0.0232321-0j 0.0234729-0j -0.000281783-0j 0.00388844-0j -0.000348689-0j 0.0048117-0j -0.000203402-0j 0.00280683-0j 0.028857-0j 0.0016557-0j 0.0336665-0j 0.000419758-0j 0.0206164-0j 0.00193165-0j 0.0294582-0j 0.00118289-0j 0.000489718-0j 0.0121509-0j 0.00029989-0j 0.00169019-0j 0.000428503-0j 0.000697169-0j 0.000176749-0j -0.000152412-0j -0.175118-0j -0.000172167-0j -1.55555e-05-0j 0.00030357-0j -0.000140574-0j 3.59631e-05-0j -0.000142031-0j -0.197817-0j -1.75718e-05-0j -0.000123002-0j -0.161517-0j 0.000342918-0j -0.000101472-0j -1.43473e-05-0j -0.163191-0j 4.06247e-05-0j -3.24207e-05-0j 0.000279992-0j -0.141327-0j -1.4496e-05-0j -1.25539e-05-0j 0.000282893-0j 3.31699e-05-0j -0.116589-0j 0.000244993-0j -1.03564e-05-0j -0.0372507-0j 3.35136e-05-0j -3.30893e-06-0j 0.000202109-0j 2.90237e-05-0j 2.39433e-05-0j 6.45747e-05-0j 7.65e-06-0j 
-0.00296541-0j -0.00030076-0j -0.000303877-0j 0.0333772-0j -2.49064e-05-0j 0.0413022-0j -3.08201e-05-0j 0.024093-0j -1.79784e-05-0j -0.000121252-0j 0.00414602-0j -0.00014146-0j -1.7862e-06-0j -8.66263e-05-0j 0.00483703-0j -0.000123778-0j 0.00296206-0j -2.0839e-06-0j -5.10557e-05-0j -1.27613e-06-0j 0.0042324-0j -1.82342e-06-0j 0.00174577-0j -7.52121e-07-0j -9.33328e-05-0j -1.55555e-05-0j -0.000105431-0j -0.176352-0j 0.000376108-0j -8.60837e-05-0j -1.14577e-07-0j -8.69758e-05-0j -1.75718e-05-0j -0.199211-0j -7.53233e-05-0j -1.43473e-05-0j 0.000424859-0j -6.21385e-05-0j -0.162655-0j -1.4496e-05-0j -1.29428e-07-0j -1.98536e-05-0j 0.000346896-0j -1.25539e-05-0j -0.164341-0j -0.142323-0j 0.000350491-0j -1.05678e-07-0j -1.03564e-05-0j 0.000303534-0j -0.117411-0j -3.30893e-06-0j -1.06773e-07-0j -0.0375133-0j 0.000250403-0j -9.2468e-08-0j -7.62822e-08-0j 8.00048e-05-0j -2.43725e-08-0j 
-0.000457731-0j -0.00326155-0j 0.00320154-0j -0.00187126-0j -0.000270094-0j -3.29594e-05-0j -4.75728e-06-0j 0.00264382-0j 0.000381602-0j -0.00131489-0j -0.000232443-0j -2.18353e-05-0j -1.93702e-05-0j -0.000939406-0j -3.85998e-06-0j 0.00130408-0j -0.000166065-0j -3.21665e-07-0j 0.00162947-0j -1.38388e-05-0j 0.00023053-0j 1.92109e-05-0j 0.000288053-0j 2.40044e-05-0j -0.803815-0j 0.000683911-0j 0.00318784-0j 0.000418809-0j 8.54889e-05-0j 0.182865-0j 5.03748e-06-0j -0.1795-0j -2.71232e-06-0j -1.66095e-06-0j 0.0022775-0j -0.000155587-0j -3.3904e-07-0j -0.258361-0j -9.52772e-05-0j 0.000152724-0j -1.99781e-08-0j -0.165695-0j -1.94484e-05-0j -1.93777e-06-0j 9.35241e-05-0j -1.18664e-06-0j 1.90905e-05-0j -1.14601e-06-0j 0.000219822-0j -2.42222e-07-0j 0.000134613-0j 0.000140979-0j 1.12492e-06-0j 8.63316e-05-0j 2.74777e-05-0j -1.42731e-08-0j 1.61914e-06-0j 1.76224e-05-0j 1.03841e-06-0j 
0.000605312-0j -0.00586943-0j -0.00593025-0j -0.00338894-0j 0.0227461-0j -0.0041936-0j 0.0281469-0j -0.00244627-0j 0.016419-0j 2.47504e-05-0j 0.0402463-0j 2.88754e-05-0j 0.00499877-0j 1.76825e-05-0j 0.046954-0j 2.5266e-05-0j 0.0287533-0j 0.00583189-0j 1.04217e-05-0j 0.00357129-0j 0.0410848-0j 0.00510291-0j 0.0169466-0j 0.00210484-0j 1.90515e-05-0j -0.00030357-0j 2.15209e-05-0j -0.000376108-0j -0.170855-0j 1.75718e-05-0j 0.000645791-0j 1.77539e-05-0j -0.000342918-0j -0.000424859-0j 1.53753e-05-0j -0.000279992-0j -0.193001-0j 1.2684e-05-0j -0.000346896-0j -0.000282893-0j 0.000729499-0j 4.05259e-06-0j -0.157585-0j -0.000244993-0j -0.000350491-0j -0.000303534-0j -0.159218-0j 0.000595633-0j -0.000202109-0j -0.137887-0j -0.000250403-0j -6.45747e-05-0j 0.000601806-0j -8.00048e-05-0j -0.113751-0j 0.000521179-0j 0.000429951-0j -0.0363439-0j 0.000137371-0j 
-3.56683e-05-0j 0.000695336-0j 0.000702542-0j -2.07553e-06-0j -0.00827198-0j -2.56834e-06-0j -0.0102361-0j -1.4982e-06-0j -0.00597103-0j -1.45843e-06-0j 4.95549e-05-0j -1.7015e-06-0j 0.0563178-0j -1.04195e-06-0j 5.78141e-05-0j -1.48881e-06-0j 3.54038e-05-0j 0.0657041-0j -6.14104e-07-0j 0.0402354-0j 5.05873e-05-0j 0.0574911-0j 2.08662e-05-0j 0.0237139-0j -1.12262e-06-0j 3.59631e-05-0j -1.26813e-06-0j -1.14577e-07-0j -0.000645791-0j -1.03543e-06-0j -0.165368-0j -1.04616e-06-0j 4.06247e-05-0j -1.29428e-07-0j -9.05998e-07-0j 3.31699e-05-0j -0.000729499-0j -7.4741e-07-0j -1.05678e-07-0j 3.35136e-05-0j -0.186803-0j -2.38801e-07-0j -0.000595633-0j 2.90237e-05-0j -1.06773e-07-0j -9.2468e-08-0j -0.000601806-0j -0.152524-0j 2.39433e-05-0j -0.000521179-0j -7.62822e-08-0j 7.65e-06-0j -0.154104-0j -2.43725e-08-0j -0.000429951-0j -0.133458-0j -0.110097-0j -0.000137371-0j -0.0351766-0j 
-0.0254231-0j 0.00253712-0j -0.0026052-0j -0.00147936-0j -0.000213528-0j 0.00180125-0j 0.000259988-0j -0.00106786-0j -0.000154132-0j 0.00313736-0j 0.000554612-0j -0.00121277-0j 4.62176e-05-0j 0.00220417-0j -0.000214389-0j 0.00104415-0j 0.000389646-0j -1.78658e-05-0j -0.000437711-0j 3.24705e-05-0j 0.000184581-0j 1.53818e-05-0j -7.73771e-05-0j -6.44809e-06-0j 0.156741-0j -0.00013336-0j -0.534377-0j -8.16662e-05-0j -1.667e-05-0j -0.142248-0j -9.82292e-07-0j 0.146065-0j 0.000454665-0j 0.000278425-0j -0.37543-0j 0.000121029-0j 5.68332e-05-0j -0.10268-0j 7.4115e-05-0j -0.000124277-0j 3.34893e-06-0j 0.0333416-0j 1.51287e-05-0j 0.000319428-0j -7.61038e-05-0j 0.000195609-0j -1.55346e-05-0j 8.91465e-07-0j 8.73635e-05-0j 3.99285e-05-0j 5.3499e-05-0j -2.83681e-05-0j -9.15387e-07-0j -1.73719e-05-0j 1.09204e-05-0j 2.35281e-06-0j 6.43493e-07-0j -3.54602e-06-0j -2.08951e-07-0j 
7.62885e-05-0j -0.0257133-0j 0.0252402-0j 0.000311877-0j -0.00430372-0j 5.49324e-06-0j -7.58034e-05-0j -0.000440636-0j 0.00608052-0j -0.0319388-0j -0.00183252-0j -0.00053038-0j -0.000464587-0j -0.0228182-0j -3.04311e-05-0j 0.031676-0j -0.00130922-0j -7.715e-06-0j 0.0395799-0j -0.000331917-0j 0.00181745-0j 0.000460765-0j 0.00227094-0j 0.000575737-0j -0.000683911-0j -0.7858-0j 2.71232e-06-0j -6.98014e-05-0j 0.0013622-0j 0.000155587-0j 0.000161376-0j -0.000152724-0j 0.0031164-0j 2.76825e-07-0j 1.93777e-06-0j 0.178766-0j -5.40232e-06-0j -0.000219822-0j 1.58795e-05-0j -0.175477-0j -6.4e-07-0j -0.000140979-0j -0.000309894-0j 0.00222646-0j -1.55874e-05-0j 1.97773e-07-0j 0.000304192-0j -3.67124e-05-0j -0.25257-0j -3.85961e-06-0j -2.24354e-05-0j -0.161982-0j 3.60369e-05-0j -1.43886e-05-0j 0.000437835-0j -4.57238e-07-0j 5.18692e-05-0j 0.000280798-0j 3.32654e-05-0j 
-0.0169487-0j -0.00171899-0j -0.0017368-0j 0.00492075-0j 0.000710249-0j -0.00122041-0j -0.000176151-0j -0.000711907-0j -0.000102755-0j -0.00069301-0j -0.000122508-0j 0.00403398-0j -1.0209e-05-0j -0.000495111-0j 0.000713114-0j -0.000707448-0j -8.7524e-05-0j 5.94262e-05-0j -0.000291807-0j -7.29367e-06-0j -0.00012506-0j -1.04217e-05-0j -5.15848e-05-0j -4.29873e-06-0j 0.104494-0j -8.89069e-05-0j 0.118039-0j -5.44441e-05-0j -1.11134e-05-0j -0.480868-0j -6.54861e-07-0j -0.485851-0j -0.000100431-0j -6.15012e-05-0j 0.0843308-0j 0.000409138-0j -1.25539e-05-0j 0.0695694-0j 0.000250545-0j 0.000413378-0j -7.39744e-07-0j 0.0222277-0j 5.11422e-05-0j -7.17514e-05-0j 0.000253141-0j -4.39386e-05-0j 5.16722e-05-0j 3.01359e-06-0j -5.91919e-05-0j -8.96892e-06-0j -3.62475e-05-0j -1.89121e-05-0j 3.04481e-06-0j -1.15812e-05-0j -7.39898e-06-0j -5.28499e-07-0j -4.35989e-07-0j -2.36401e-06-0j -1.39301e-07-0j 
-0.0249553-0j 0.0026052-0j -0.00263113-0j 0.00149469-0j 0.00021574-0j -0.00179694-0j -0.000259365-0j 0.000988095-0j 0.000142619-0j -0.00316987-0j -0.000560359-0j -0.00119045-0j -4.66966e-05-0j 0.000750362-0j -0.000210444-0j -0.00107173-0j 0.000132647-0j -1.7537e-05-0j 0.00211159-0j 1.10539e-05-0j -0.000189458-0j -1.57881e-05-0j 0.00037328-0j 3.11067e-05-0j -0.158365-0j 0.000134742-0j -0.524545-0j 8.25125e-05-0j 1.68428e-05-0j -0.146065-0j 9.92471e-07-0j 0.147519-0j 0.0004463-0j 0.000273302-0j 0.124169-0j 0.000124277-0j 5.57875e-05-0j -0.0965591-0j 7.61038e-05-0j -0.000125514-0j 3.28731e-06-0j -0.35631-0j 1.55346e-05-0j -0.000105647-0j -7.68613e-05-0j -6.46952e-05-0j -1.56893e-05-0j 9.15387e-07-0j 8.21556e-05-0j -1.32058e-05-0j 5.03098e-05-0j 0.00030316-0j -9.24498e-07-0j 0.000185647-0j 1.02695e-05-0j -7.78162e-07-0j 6.05133e-07-0j 3.7895e-05-0j 2.23299e-06-0j 
4.6717e-05-0j 0.000332881-0j -0.000326756-0j -0.0369418-0j 2.75663e-05-0j -0.000650674-0j 4.85538e-07-0j 0.0521934-0j -3.89471e-05-0j 0.000134201-0j -0.00458881-0j 2.22856e-06-0j 1.97697e-06-0j 9.58777e-05-0j -7.62023e-05-0j -0.000133097-0j -0.0032784-0j 3.28298e-08-0j -0.000166308-0j 1.41241e-06-0j 0.00455105-0j -1.9607e-06-0j 0.00568664-0j -2.44994e-06-0j -0.000418809-0j -6.98014e-05-0j 1.66095e-06-0j -0.79134-0j 0.00168769-0j 9.52772e-05-0j -5.14136e-07-0j -9.35241e-05-0j 2.76825e-07-0j 0.00313837-0j 1.18664e-06-0j 1.58795e-05-0j -6.69321e-06-0j -0.000134613-0j 0.180026-0j -1.55874e-05-0j 2.03901e-09-0j -8.63316e-05-0j -0.000383943-0j 1.97773e-07-0j -0.176714-0j 0.00224216-0j 0.000376879-0j 1.16964e-07-0j -2.24354e-05-0j -4.78186e-06-0j -0.254351-0j -1.43886e-05-0j -1.14812e-07-0j -0.163124-0j 0.000542455-0j 1.45674e-09-0j -1.65253e-07-0j 0.000347895-0j -1.05982e-07-0j 
