-0.00837262-0j 0.142405-0j -0.00012334-0j -0.00728015-0j -0.00121336-0j 0.143722-0j 0.0145928-0j -8.93723e-06-0j -0.00457553-0j -0.00462295-0j -0.000738374-0j -0.000746025-0j 0.0580054-0j -8.70182e-05-0j 0.0586066-0j 0.0145767-0j -8.79199e-05-0j 0.000854501-0j 0.0147278-0j -4.05372e-07-0j 0.000863356-0j -4.09573e-07-0j -0.00338904-0j -0.00419372-0j -0.00244634-0j -0.000535854-0j -0.000663086-0j 0.0407591-0j -0.0003868-0j -0.00028242-0j -6.11457e-05-0j 0.0504369-0j 0.00679319-0j -0.000349477-0j -7.5664e-05-0j 0.0294215-0j 0.00725519-0j -0.000203862-0j -5.88375e-06-0j -4.41373e-05-0j 0.00120712-0j 0.00840614-0j 0.00897784-0j 5.00366e-05-0j 0.00490358-0j -7.28077e-06-0j 0.00149373-0j 0.00523707-0j -1.93813e-08-0j -4.24712e-06-0j 0.000871344-0j 6.19171e-05-0j 3.61183e-05-0j -2.39831e-08-0j -1.39902e-08-0j 
-0.0720299-0j -0.00840614-0j 7.28077e-06-0j 6.11695e-06-0j -0.000148581-0j -0.000120759-0j -1.22612e-05-0j 7.50926e-09-0j -0.000265761-0j -0.000265124-0j -4.2887e-05-0j -4.27842e-05-0j -0.491018-0j 0.000736611-0j -0.489841-0j 0.00084666-0j 0.000734845-0j 4.9632e-05-0j 0.000844631-0j -2.35452e-08-0j 4.9513e-05-0j -2.34888e-08-0j 0.000200055-0j -3.46714e-06-0j -0.000282648-0j 3.16315e-05-0j -5.48202e-07-0j -0.00240601-0j -4.46906e-05-0j -0.00487601-0j 3.60943e-06-0j 4.16984e-05-0j 0.058442-0j 8.45057e-05-0j -6.25547e-08-0j 0.00339934-0j -0.000428273-0j 0.00688908-0j -5.06181e-05-0j -5.09959e-06-0j -7.12561e-05-0j -0.00101285-0j 7.42238e-06-0j -2.95366e-06-0j -0.0825699-0j 8.77258e-07-0j 1.23493e-06-0j 0.000605087-0j 1.14408e-09-0j 7.15159e-05-0j 0.000100674-0j 5.11896e-08-0j 4.17308e-06-0j -1.98279e-11-0j -1.61641e-09-0j 
-5.88375e-06-0j -0.0144013-0j 0.0550058-0j -5.11604e-06-0j 0.000122706-0j 0.000100999-0j 0.140594-0j 0.0164631-0j -3.2154e-06-0j -3.24872e-06-0j 7.46712e-05-0j 7.5445e-05-0j 4.07626e-05-0j -0.000838379-0j 4.1185e-05-0j -0.00147413-0j -0.000847067-0j -0.38108-0j -0.00148941-0j 0.00188656-0j -0.385029-0j 0.00190611-0j 4.75058e-06-0j -2.94709e-06-0j -1.71913e-06-0j -0.000108094-0j 6.70574e-05-0j -5.7134e-05-0j 3.91168e-05-0j 3.95882e-07-0j 0.0011751-0j 3.54439e-05-0j 0.00137034-0j -2.45591e-07-0j -0.000728987-0j 2.06756e-05-0j -1.01699e-05-0j -1.43261e-07-0j -0.00523401-0j -0.000425242-0j -0.0231983-0j -0.000850107-0j 6.30906e-06-0j 0.183854-0j -0.000495896-0j 0.00324699-0j 0.0143914-0j 3.68029e-06-0j -0.000361723-0j 0.00189408-0j 0.00839499-0j -0.114057-0j -0.066533-0j 0.0002244-0j 0.0001309-0j 
0.0103966-0j 0.00120564-0j -0.0144077-0j -8.82905e-07-0j -0.00205033-0j -9.01111e-08-0j -8.22952e-05-0j -2.9928e-05-0j 3.83593e-05-0j 3.82673e-05-0j -0.000591815-0j -0.000590396-0j -0.000736611-0j -0.475685-0j -0.000734845-0j -6.04018e-05-0j -0.474545-0j 0.0010208-0j -6.02571e-05-0j 0.000156943-0j 0.00101835-0j 0.000156567-0j -2.88754e-05-0j 5.00438e-07-0j 4.07967e-05-0j 0.000436495-0j -7.56487e-06-0j -3.60943e-06-0j -0.000616704-0j 0.000703791-0j -0.00233088-0j 6.25547e-08-0j -0.00838199-0j -1.21973e-05-0j 4.03963e-05-0j 5.09959e-06-0j -2.12688e-07-0j -0.000994353-0j 0.100166-0j 0.00329319-0j -0.000237894-0j 0.000145268-0j 3.68607e-09-0j -0.000122349-0j 0.0118425-0j -0.00173598-0j 4.12293e-06-0j 3.00496e-07-0j -1.14628e-05-0j -0.14152-0j 0.00033611-0j 2.12043e-06-0j 0.000172862-0j 1.98661e-07-0j 1.61953e-05-0j 
0.0420174-0j 0.00490358-0j -4.24712e-06-0j 0.000490667-0j -0.0119183-0j -0.00968658-0j -0.000983521-0j 6.02351e-07-0j -0.000157555-0j -0.000145786-0j -2.54253e-05-0j -2.35261e-05-0j -0.291096-0j 0.000436695-0j -0.269352-0j 0.000501937-0j 0.000404075-0j 2.9424e-05-0j 0.000464444-0j -1.39586e-08-0j 2.72261e-05-0j -1.2916e-08-0j -0.000116699-0j 0.000282648-0j -0.00032616-0j -1.84517e-05-0j 4.46906e-05-0j 0.00140351-0j -5.15705e-05-0j 0.00284434-0j -2.1055e-06-0j -0.00339934-0j -0.0340912-0j -0.00688908-0j 5.09959e-06-0j 0.00392265-0j 0.000249826-0j 0.00794962-0j 2.95272e-05-0j -5.88465e-06-0j 4.15661e-05-0j 0.0825699-0j -0.000605087-0j 1.72297e-06-0j -0.0952812-0j -7.15159e-05-0j -0.000100674-0j 0.000698238-0j -6.67379e-10-0j 8.25254e-05-0j 0.000116173-0j -4.17308e-06-0j 4.81551e-06-0j 1.61641e-09-0j -1.86525e-09-0j 
-6.17794e-05-0j -0.0999246-0j 0.00013097-0j -7.64618e-07-0j 6.02806e-06-0j -0.00144475-0j -0.00029458-0j 1.8042e-07-0j 3.32201e-05-0j 3.31405e-05-0j -0.000253583-0j -0.000252975-0j -0.00084666-0j -6.04018e-05-0j -0.000844631-0j -0.479145-0j -6.02571e-05-0j 0.00179489-0j -0.477997-0j -7.07866e-07-0j 0.00179058-0j -7.06169e-07-0j -2.50069e-05-0j 4.33392e-07-0j 3.5331e-05-0j 0.000187031-0j -3.24142e-06-0j 0.000604628-0j -0.000264247-0j -2.0839e-06-0j 4.3135e-05-0j -1.04788e-05-0j -0.00476674-0j 3.6116e-08-0j -7.47569e-07-0j -0.000854251-0j -0.0103371-0j 2.94425e-06-0j 6.2477e-06-0j -6.09434e-05-0j 0.0815036-0j 8.2612e-05-0j 0.000179152-0j -0.000142668-0j 0.0067347-0j -1.08278e-07-0j -0.00141253-0j 0.0146048-0j 4.13034e-08-0j -8.82709e-06-0j -0.115153-0j 2.47257e-06-0j 0.000201569-0j -7.15826e-10-0j -5.83556e-08-0j 
2.68555e-07-0j -1.14182e-05-0j -0.0262-0j 2.33514e-07-0j -9.36052e-06-0j 2.38329e-08-0j 0.000224663-0j 0.179583-0j 1.46762e-07-0j 1.48283e-07-0j -5.69622e-06-0j -5.75525e-06-0j 1.93376e-08-0j 0.000128897-0j 1.9538e-08-0j -5.81368e-07-0j 0.000130233-0j -0.00188656-0j -5.87393e-07-0j -0.368664-0j -0.00190611-0j -0.372484-0j -2.16833e-07-0j 1.34515e-07-0j 7.84674e-08-0j 8.24582e-06-0j -5.11541e-06-0j -2.71042e-08-0j -2.98399e-06-0j -1.80694e-08-0j -0.000180666-0j 1.68144e-08-0j 1.08648e-06-0j 1.12096e-08-0j 0.000112078-0j 9.80842e-09-0j -1.59713e-09-0j 6.53895e-09-0j 0.00249302-0j 6.53791e-05-0j -1.84391e-05-0j -6.74014e-07-0j 9.908e-10-0j -0.0208443-0j -3.93175e-07-0j -0.00154658-0j 1.1439e-05-0j 5.77967e-10-0j 0.222771-0j -0.000902173-0j 6.67273e-06-0j 0.0129311-0j 0.00754312-0j -0.138199-0j -0.0806163-0j 
-0.00606469-0j -0.000703292-0j 0.00840448-0j -7.08217e-05-0j -0.164466-0j -7.22821e-06-0j -0.00660126-0j -0.00240066-0j 2.2741e-05-0j 2.10424e-05-0j -0.000350853-0j -0.000324646-0j -0.000436695-0j -0.282007-0j -0.000404075-0j -3.58088e-05-0j -0.260942-0j 0.000605174-0j -3.3134e-05-0j 9.30428e-05-0j 0.000559969-0j 8.60928e-05-0j 1.6844e-05-0j -4.07967e-05-0j 4.70772e-05-0j -0.000254622-0j 0.000616704-0j 2.1055e-06-0j -0.000711642-0j -0.000410545-0j 0.00135968-0j -5.09959e-06-0j 0.0048895-0j 0.000994353-0j -0.00329319-0j 5.88465e-06-0j 1.24068e-07-0j -0.00114743-0j -0.0584304-0j 0.00380016-0j 0.000138772-0j -0.0118425-0j -3.00496e-07-0j 7.13705e-05-0j 0.0136656-0j 0.14152-0j -0.00033611-0j 3.46756e-07-0j 6.68664e-06-0j -0.163307-0j 0.000387852-0j -0.000172862-0j 0.000199473-0j -1.61953e-05-0j 1.86884e-05-0j 
3.6038e-05-0j 0.0582893-0j -7.63991e-05-0j -6.13334e-05-0j 0.000483537-0j -0.115889-0j -0.0236296-0j 1.44722e-05-0j 1.96943e-05-0j 1.82232e-05-0j -0.000150335-0j -0.000139105-0j -0.000501937-0j -3.58088e-05-0j -0.000464444-0j -0.284058-0j -3.3134e-05-0j 0.00106409-0j -0.26284-0j -4.19654e-07-0j 0.000984602-0j -3.88307e-07-0j 1.45873e-05-0j -3.5331e-05-0j 4.07701e-05-0j -0.000109101-0j 0.000264247-0j -0.0003527-0j -0.000304927-0j 1.21561e-06-0j -2.51621e-05-0j 0.000854251-0j 0.0027806-0j -2.94425e-06-0j 6.09434e-05-0j -0.000985759-0j 0.00602998-0j 3.39751e-06-0j -3.64449e-06-0j -7.03253e-05-0j -0.0475438-0j -0.0067347-0j -0.0146048-0j 8.32231e-05-0j 0.00777148-0j 8.82709e-06-0j 0.115153-0j 0.0168531-0j -2.40936e-08-0j -1.0186e-05-0j -0.13288-0j -0.000201569-0j 0.0002326-0j 5.83556e-08-0j -6.73392e-08-0j 
7.28077e-06-0j 0.0178207-0j -0.0680663-0j 9.01111e-08-0j -2.16128e-06-0j -1.77894e-06-0j -0.00247635-0j -0.000289973-0j -3.91503e-06-0j -3.90564e-06-0j 9.09187e-05-0j 9.07007e-05-0j 4.9632e-05-0j -0.0010208-0j 4.9513e-05-0j -0.00179489-0j -0.00101835-0j -0.463998-0j -0.00179058-0j 0.00229705-0j -0.462886-0j 0.00229154-0j 2.94709e-06-0j -5.10757e-08-0j -4.1638e-06-0j -6.70574e-05-0j 1.16217e-06-0j -3.54439e-05-0j 9.47422e-05-0j 2.45591e-07-0j 0.000728987-0j 6.14275e-07-0j 0.000850107-0j -4.25631e-09-0j -1.2634e-05-0j 5.0077e-05-0j -6.30906e-06-0j -3.46983e-07-0j -0.00324699-0j -0.00102995-0j -0.0143914-0j -1.47331e-05-0j 1.09342e-07-0j 0.114057-0j -0.00120108-0j 5.62734e-05-0j 0.000249416-0j 8.91378e-06-0j -0.0002244-0j 0.00458752-0j 0.0203329-0j -0.00197671-0j -0.161145-0j 3.88906e-06-0j 0.000317044-0j 
-3.3232e-07-0j 1.41293e-05-0j 0.0324208-0j -4.11299e-09-0j 1.64871e-07-0j -4.1978e-10-0j -3.9571e-06-0j -0.00316308-0j 1.78696e-07-0j 1.78267e-07-0j -6.93564e-06-0j -6.91902e-06-0j 2.35452e-08-0j 0.000156943-0j 2.34888e-08-0j -7.07866e-07-0j 0.000156567-0j -0.00229705-0j -7.06169e-07-0j -0.44888-0j -0.00229154-0j -0.447804-0j -1.34515e-07-0j 2.33128e-09-0j 1.90051e-07-0j 5.11541e-06-0j -8.86548e-08-0j -1.68144e-08-0j -7.22732e-06-0j -1.12096e-08-0j -0.000112078-0j 2.9141e-10-0j 6.74014e-07-0j 1.94273e-10-0j 1.94242e-06-0j 2.37563e-08-0j -9.908e-10-0j 1.58375e-08-0j 0.00154658-0j 0.00015835-0j -1.1439e-05-0j -1.16813e-08-0j 1.71715e-11-0j -0.0129311-0j -9.52283e-07-0j -2.68037e-05-0j 1.98248e-07-0j 1.39985e-09-0j 0.138199-0j -0.00218509-0j 1.61616e-05-0j 0.000224107-0j 0.0182697-0j -0.00239512-0j -0.195255-0j 
-4.24712e-06-0j -0.0103954-0j 0.0397053-0j 7.22821e-06-0j -0.000173366-0j -0.000142697-0j -0.198639-0j -0.02326-0j -2.321e-06-0j -2.14763e-06-0j 5.39005e-05-0j 4.98743e-05-0j 2.9424e-05-0j -0.000605174-0j 2.72261e-05-0j -0.00106409-0j -0.000559969-0j -0.275078-0j -0.000984602-0j 0.00136179-0j -0.254531-0j 0.00126007-0j -1.71913e-06-0j 4.1638e-06-0j -4.8048e-06-0j 3.91168e-05-0j -9.47422e-05-0j 2.06756e-05-0j 0.000109327-0j -1.43261e-07-0j -0.000425242-0j -5.0077e-05-0j -0.000495896-0j 3.46983e-07-0j 0.00102995-0j 5.77861e-05-0j 3.68029e-06-0j -4.004e-07-0j 0.00189408-0j -0.00118851-0j 0.00839499-0j 0.00120108-0j -8.91378e-06-0j -0.066533-0j -0.00138598-0j -0.00458752-0j -0.0203329-0j 1.0286e-05-0j 0.0001309-0j 0.00529375-0j 0.0234631-0j 0.161145-0j -0.185953-0j -0.000317044-0j 0.000365851-0j 
1.93853e-07-0j -8.24208e-06-0j -0.0189121-0j -3.29921e-07-0j 1.3225e-05-0j -3.36724e-08-0j -0.000317416-0j -0.253724-0j 1.05939e-07-0j 9.80253e-08-0j -4.11175e-06-0j -3.80461e-06-0j 1.39586e-08-0j 9.30428e-05-0j 1.2916e-08-0j -4.19654e-07-0j 8.60928e-05-0j -0.00136179-0j -3.88307e-07-0j -0.266116-0j -0.00126007-0j -0.246238-0j 7.84674e-08-0j -1.90051e-07-0j 2.19308e-07-0j -2.98399e-06-0j 7.22732e-06-0j 9.80842e-09-0j -8.33993e-06-0j 6.53895e-09-0j 6.53791e-05-0j -2.37563e-08-0j -3.93175e-07-0j -1.58375e-08-0j -0.00015835-0j 2.74135e-08-0j 5.77967e-10-0j 1.82757e-08-0j -0.000902173-0j 0.000182728-0j 6.67273e-06-0j 9.52283e-07-0j -1.39985e-09-0j 0.00754312-0j -1.09888e-06-0j 0.00218509-0j -1.61616e-05-0j 1.61536e-09-0j -0.0806163-0j -0.00252148-0j 1.86496e-05-0j -0.0182697-0j 0.0210822-0j 0.195255-0j -0.225314-0j 
0.0023814-0j 0.000420977-0j 3.50814e-05-0j 0.00207068-0j 0.000345113-0j 0.000211338-0j 4.31391e-05-0j 2.542e-06-0j 0.00130141-0j 0.00131489-0j 0.000210014-0j 0.00021219-0j 0.000171476-0j 2.47504e-05-0j 0.000173253-0j 2.14345e-05-0j 2.50069e-05-0j 2.52607e-06-0j 2.16566e-05-0j 1.15299e-07-0j 2.55225e-06-0j 1.16494e-07-0j -0.287315-0j -0.355535-0j -0.207395-0j 0.000152412-0j 0.0001886-0j 0.000120492-0j 0.000110017-0j 8.03281e-05-0j 1.73915e-05-0j 0.000149101-0j 2.0082e-05-0j 9.94009e-05-0j 2.15209e-05-0j 8.69758e-05-0j 7.10007e-06-0j 5.79839e-05-0j 1.6735e-06-0j 1.25539e-05-0j 1.77502e-06-0j 2.48502e-05-0j 8.78588e-06-0j 1.47918e-07-0j 1.4496e-05-0j 2.07085e-06-0j 2.19647e-06-0j 5.1251e-06-0j 5.51258e-09-0j 1.208e-06-0j 1.28127e-06-0j 1.83039e-07-0j 1.06773e-07-0j 6.82147e-09-0j 3.97919e-09-0j 
-0.0027783-0j -0.000491139-0j -4.09283e-05-0j -3.43859e-05-0j -5.73099e-06-0j -3.5095e-06-0j -7.16374e-07-0j -4.22127e-08-0j -0.00151831-0j 0.00149037-0j -0.000245016-0j 0.000240508-0j -0.000200055-0j -2.88754e-05-0j 0.000196374-0j -2.50069e-05-0j 2.83441e-05-0j -2.94709e-06-0j 2.45467e-05-0j -1.34515e-07-0j 2.89286e-06-0j 1.3204e-07-0j -0.668625-0j 0.00590406-0j -0.47359-0j 0.000354684-0j -3.13192e-06-0j 0.000280403-0j 0.000251225-0j 0.000186935-0j 4.04726e-05-0j -2.476e-06-0j 4.67338e-05-0j -1.65066e-06-0j -3.57379e-07-0j 0.000198611-0j 1.65229e-05-0j 0.000132407-0j 3.89448e-06-0j 2.8667e-05-0j 4.13072e-06-0j -4.12666e-07-0j -1.459e-07-0j 3.44227e-07-0j 3.31018e-05-0j -3.43889e-08-0j -3.64749e-08-0j 1.17032e-05-0j 1.28286e-08-0j 2.75848e-06-0j 2.92581e-06-0j -3.03957e-09-0j 2.43817e-07-0j -1.13278e-10-0j 9.08654e-09-0j 
-0.00170136-0j -0.00030076-0j -2.50634e-05-0j -0.00147936-0j -0.000246561-0j -0.000150987-0j -3.08201e-05-0j -1.81609e-06-0j 0.00275948-0j -0.000939406-0j 0.00044531-0j -0.000151596-0j 0.000363594-0j 5.24803e-05-0j -0.000123778-0j 4.54492e-05-0j -1.78658e-05-0j 5.35624e-06-0j -1.54722e-05-0j 2.44478e-07-0j -1.82342e-06-0j -8.32272e-08-0j 0.205268-0j -0.75387-0j 0.14817-0j -0.000108888-0j 0.000399904-0j -8.60837e-05-0j -7.85997e-05-0j -5.73891e-05-0j -1.24251e-05-0j 0.000316152-0j -1.43473e-05-0j 0.000210768-0j 4.56326e-05-0j -6.21385e-05-0j -5.07253e-06-0j -4.14257e-05-0j -1.19561e-06-0j -8.96892e-06-0j -1.26813e-06-0j 5.2692e-05-0j 1.86294e-05-0j -1.05678e-07-0j -1.03564e-05-0j 4.391e-06-0j 4.65736e-06-0j -3.66155e-06-0j -3.93838e-09-0j -8.63035e-07-0j -9.15387e-07-0j 3.88113e-07-0j -7.62822e-08-0j 1.44641e-08-0j -2.84287e-09-0j 
-0.000376533-0j 0.00314856-0j 0.000798235-0j -0.000327403-0j 0.00258116-0j -3.34154e-05-0j 0.000652112-0j 7.7254e-05-0j 0.0507553-0j 0.0512813-0j 0.00157073-0j 0.00158701-0j -2.71127e-05-0j 0.000374139-0j -2.73936e-05-0j 0.000160312-0j 0.000378016-0j 5.74778e-05-0j 0.000161974-0j 4.38464e-06-0j 5.80734e-05-0j 4.43007e-06-0j -0.000152412-0j -0.0001886-0j -0.000110017-0j -0.281171-0j -0.347932-0j -1.90515e-05-0j -0.20296-0j -1.2701e-05-0j 0.000262899-0j -2.3575e-05-0j 0.000150197-0j -1.57167e-05-0j 0.000325321-0j -1.37521e-05-0j -1.12262e-06-0j -9.16805e-06-0j 3.80785e-05-0j 0.000189771-0j 2.6832e-05-0j 0.00018586-0j -1.38917e-06-0j 4.49539e-06-0j 0.000108418-0j 4.71197e-05-0j 3.32029e-05-0j -8.10349e-07-0j 2.51736e-07-0j 2.74865e-05-0j 1.93684e-05-0j 5.56276e-06-0j 3.24494e-06-0j 3.11507e-07-0j 1.81713e-07-0j 
0.00243102-0j 0.000429747-0j 3.58123e-05-0j -0.00205364-0j -0.000342273-0j -0.000209599-0j -4.27842e-05-0j -2.52108e-06-0j -0.00130721-0j -0.00134174-0j -0.00021095-0j -0.000216523-0j -0.00017224-0j -2.48607e-05-0j -0.00017679-0j -2.153e-05-0j -2.55175e-05-0j -2.53734e-06-0j -2.20988e-05-0j -1.15813e-07-0j -2.60437e-06-0j -1.18873e-07-0j -0.293301-0j -0.346953-0j -0.193892-0j 0.000155587-0j 0.000184048-0j 0.000123002-0j 0.000102854-0j 8.20016e-05-0j 1.77539e-05-0j 0.000145503-0j 2.05004e-05-0j 9.70017e-05-0j 2.10015e-05-0j 8.1313e-05-0j 7.24798e-06-0j 5.42087e-05-0j 1.70837e-06-0j 1.17365e-05-0j 1.812e-06-0j 2.42504e-05-0j 8.57382e-06-0j 1.51e-07-0j 1.35522e-05-0j 2.02087e-06-0j 2.14346e-06-0j 4.79141e-06-0j 5.62742e-09-0j 1.12935e-06-0j 1.19785e-06-0j 1.78621e-07-0j 9.98211e-08-0j 6.65682e-09-0j 3.72011e-09-0j 
-0.00100274-0j -0.000177262-0j -1.47718e-05-0j 0.00256607-0j 0.000427679-0j 0.000261899-0j 5.34598e-05-0j 3.15015e-06-0j -0.000547987-0j -0.00264358-0j -8.8431e-05-0j -0.000426606-0j -7.22036e-05-0j -1.04217e-05-0j -0.000348323-0j -9.02545e-06-0j -5.0276e-05-0j -1.06366e-06-0j -4.35403e-05-0j -4.85492e-08-0j -5.13128e-06-0j -2.3421e-07-0j 0.120981-0j -0.440594-0j 0.101614-0j -6.41764e-05-0j 0.000233721-0j -5.07359e-05-0j -5.39029e-05-0j -3.38239e-05-0j -7.32309e-06-0j 0.000184773-0j -8.45598e-06-0j 0.000123182-0j 2.66697e-05-0j -4.2614e-05-0j -2.98964e-06-0j -2.84093e-05-0j -7.04665e-07-0j -6.1508e-06-0j -7.4741e-07-0j 3.07955e-05-0j 1.08878e-05-0j -6.22842e-08-0j -7.10233e-06-0j 2.56629e-06-0j 2.72196e-06-0j -2.51105e-06-0j -2.32119e-09-0j -5.91861e-07-0j -6.27763e-07-0j 2.2683e-07-0j -5.23136e-08-0j 8.45346e-09-0j -1.94961e-09-0j 
-0.000297675-0j 0.00506298-0j -4.38517e-06-0j 0.0507022-0j -4.31391e-05-0j 0.00510982-0j 0.000518823-0j -3.17749e-07-0j -0.000162676-0j -0.000164362-0j 0.00514236-0j 0.00519565-0j 0.00206229-0j -3.0938e-06-0j 0.00208367-0j 0.000518253-0j -3.12586e-06-0j 3.03805e-05-0j 0.000523623-0j -1.44124e-08-0j 3.06953e-05-0j -1.45617e-08-0j -0.000120492-0j -0.000149101-0j -8.69758e-05-0j -1.90515e-05-0j -2.3575e-05-0j -0.283865-0j -1.37521e-05-0j -1.0041e-05-0j 0.000425846-0j -0.351265-0j 0.000241521-0j -1.24251e-05-0j 0.000526958-0j -0.204904-0j 0.000257947-0j -7.24798e-06-0j -2.09188e-07-0j 0.000307392-0j 4.29172e-05-0j 0.000298867-0j 0.000319193-0j 1.77897e-06-0j 0.000174339-0j -2.58857e-07-0j 5.31074e-05-0j 0.000186196-0j -6.89072e-10-0j -1.51e-07-0j 3.09793e-05-0j 2.20137e-06-0j 1.28413e-06-0j -8.52684e-10-0j -4.97399e-10-0j 
0.000439289-0j -0.00367332-0j -0.000931274-0j 5.43689e-06-0j -4.28632e-05-0j 5.54901e-07-0j -1.08291e-05-0j -1.28289e-06-0j -0.0592145-0j 0.058125-0j -0.00183252-0j 0.0017988-0j 3.16315e-05-0j -0.000436495-0j -3.10494e-05-0j -0.000187031-0j 0.000428464-0j -6.70574e-05-0j 0.00018359-0j -5.11541e-06-0j 6.58236e-05-0j 5.02129e-06-0j -0.000354684-0j 3.13192e-06-0j -0.000251225-0j -0.654326-0j 0.0057778-0j -4.43355e-05-0j -0.463463-0j -2.9557e-05-0j 0.000611804-0j 3.9149e-07-0j 0.000349531-0j 2.60993e-07-0j -5.40232e-06-0j -3.14031e-05-0j -2.6125e-06-0j -2.09354e-05-0j 8.86142e-05-0j 0.000433344-0j 6.2442e-05-0j -3.08641e-06-0j 2.30687e-08-0j 1.04614e-05-0j 0.000247574-0j -7.82477e-07-0j -5.51372e-07-0j -1.85044e-06-0j 5.85826e-07-0j 6.27659e-05-0j 4.4228e-05-0j -9.2376e-08-0j 7.40988e-06-0j -5.17293e-09-0j 4.14943e-07-0j 
0.0580428-0j -3.50814e-05-0j -2.92345e-06-0j -0.000172556-0j 0.00841155-0j -1.76115e-05-0j -3.59493e-06-0j -2.11833e-07-0j -0.000108451-0j -0.000109575-0j -1.75012e-05-0j -1.76825e-05-0j 0.00417943-0j 0.000603249-0j 0.00422275-0j -1.7862e-06-0j 0.000609501-0j -2.10506e-07-0j -1.80471e-06-0j -9.60825e-09-0j -2.12688e-07-0j -9.70782e-09-0j -8.03281e-05-0j -9.94009e-05-0j -5.79839e-05-0j -1.2701e-05-0j -1.57167e-05-0j -1.0041e-05-0j -9.16805e-06-0j -0.284357-0j -1.44929e-06-0j -1.24251e-05-0j 0.000489466-0j -0.351874-0j -1.79341e-06-0j -7.24798e-06-0j -5.91672e-07-0j -0.20526-0j 4.07888e-05-0j -1.04616e-06-0j -1.47918e-07-0j 0.000605683-0j -7.32157e-07-0j -1.23265e-08-0j 0.000353315-0j 5.04736e-05-0j -1.83039e-07-0j -4.27092e-07-0j -4.59382e-10-0j 2.94429e-05-0j -1.06773e-07-0j -1.52533e-08-0j -8.89774e-09-0j -5.68456e-10-0j -3.31599e-10-0j 
4.29658e-05-0j -0.000726154-0j 0.00867768-0j -0.00731824-0j -0.000595294-0j 3.81299e-06-0j 0.00348227-0j 0.00126638-0j 2.34803e-05-0j 2.37236e-05-0j 0.0709616-0j 0.0716969-0j 3.0938e-06-0j 0.0019979-0j 3.12586e-06-0j -3.69728e-05-0j 0.0020186-0j 0.000624846-0j -3.7356e-05-0j 9.60672e-05-0j 0.000631321-0j 9.70628e-05-0j 1.73915e-05-0j 2.15209e-05-0j 1.25539e-05-0j -0.000262899-0j -0.000325321-0j -0.000425846-0j -0.000189771-0j 1.44929e-06-0j -0.275001-0j -0.000526958-0j -3.464e-05-0j 1.79341e-06-0j -0.340296-0j -0.000307392-0j 1.28101e-07-0j 1.04616e-06-0j 0.000413955-0j -0.198506-0j 0.000143283-0j -4.28648e-05-0j 1.58517e-07-0j 7.36905e-05-0j -2.50045e-05-0j 0.000512243-0j 0.000177303-0j 9.2468e-08-0j 6.90399e-06-0j 0.000298808-0j 0.000103427-0j 9.11874e-05-0j 5.31926e-05-0j 8.54326e-06-0j 4.98357e-06-0j 
0.000269008-0j -0.00224944-0j -0.000570286-0j 0.000233908-0j -0.00184407-0j 2.38731e-05-0j -0.000465891-0j -5.5193e-05-0j 0.107621-0j -0.0366371-0j 0.00333056-0j -0.00113382-0j -5.74892e-05-0j 0.000793317-0j 1.9571e-05-0j 0.000339923-0j -0.000270068-0j 0.000121875-0j -0.00011572-0j 9.29711e-06-0j -4.14896e-05-0j -3.165e-06-0j 0.000108888-0j -0.000399904-0j 7.85997e-05-0j 0.200878-0j -0.737748-0j 1.3611e-05-0j 0.145002-0j 9.07402e-06-0j -0.000187824-0j -4.9988e-05-0j -0.000107306-0j -3.33253e-05-0j 0.000689805-0j 9.82496e-06-0j 8.02038e-07-0j 6.54997e-06-0j -2.72046e-05-0j -0.000135579-0j -1.91697e-05-0j 0.000394093-0j -2.94557e-06-0j -3.21166e-06-0j -7.74576e-05-0j 9.99119e-05-0j 7.04029e-05-0j 5.78941e-07-0j -1.79849e-07-0j -1.96373e-05-0j -1.38374e-05-0j 1.17952e-05-0j -2.3183e-06-0j 6.60514e-07-0j -1.29822e-07-0j 
-0.000384377-0j 0.00321416-0j 0.000814865-0j 0.000324709-0j -0.00255993-0j 3.31405e-05-0j -0.000646747-0j -7.66184e-05-0j -0.0509816-0j -0.0523284-0j -0.00157774-0j -0.00161942-0j 2.72335e-05-0j -0.000375807-0j 2.7953e-05-0j -0.000161027-0j -0.000385735-0j -5.7734e-05-0j -0.000165281-0j -4.40418e-06-0j -5.92593e-05-0j -4.52053e-06-0j -0.000155587-0j -0.000184048-0j -0.000102854-0j -0.287029-0j -0.339534-0j -1.94484e-05-0j -0.189746-0j -1.29656e-05-0j 0.000268376-0j -2.3006e-05-0j 0.000153326-0j -1.53373e-05-0j 0.000317469-0j -1.28567e-05-0j -1.14601e-06-0j -8.57114e-06-0j 3.88718e-05-0j 0.000177415-0j 2.7391e-05-0j 0.000181374-0j -1.35564e-06-0j 4.58905e-06-0j 0.000101359-0j 4.59824e-05-0j 3.24015e-05-0j -7.57589e-07-0j 2.5698e-07-0j 2.56969e-05-0j 1.81073e-05-0j 5.4285e-06-0j 3.03367e-06-0j 3.03988e-07-0j 1.69882e-07-0j 
