-0.000463795-0j 0.182716-0j 0.0960891-0j 0.0671724-0j -0.379626-0j 0.000762599-0j 0.000540667-0j -0.0022517-0j 0.000308727-0j -0.00111197-0j 0.000530334-0j -0.0015659-0j -0.00136855-0j 0.0949003-0j 0.0663413-0j 0.0374931-0j 0.0659965-0j -0.119056-0j 0.0836547-0j 0.0466166-0j -0.137643-0j -0.263455-0j -0.217355-0j 0.0382596-0j -0.151155-0j -0.0790746-0j -0.0308918-0j -0.112015-0j -0.0778989-0j -0.103014-0j -0.055685-0j 0.200567-0j 0.0348885-0j -0.0626106-0j 0.0822428-0j -0.000170334-0j 0.0570752-0j -0.0446009-0j 0.000177388-0j -0.0802397-0j 0.289008-0j -0.0287107-0j 0.0847733-0j 0.0878414-0j 0.0515241-0j -0.0160448-0j 0.0889418-0j 0.0252316-0j 0.0175468-0j 0.00796873-0j 0.0018529-0j -0.000304555-0j 
-0.0438102-0j -0.034635-0j -0.0379407-0j -0.039993-0j -0.0728677-0j 0.047773-0j 0.0510715-0j 0.0275818-0j 0.444666-0j -0.0299948-0j -0.103051-0j -0.0594963-0j -0.0857331-0j 0.0370048-0j 0.0390065-0j -0.0453478-0j -0.0798226-0j -0.0700007-0j 0.0246699-0j -0.0282793-0j -0.0163271-0j -0.0515253-0j 0.0137909-0j -0.0154892-0j -0.0297481-0j -0.00774461-0j -0.00365085-0j 0.0442292-0j -0.0954063-0j 0.0246699-0j -0.250395-0j 0.0168903-0j 0.0427295-0j -0.076682-0j -0.0489656-0j 0.0330981-0j -0.0346239-0j 0.0180565-0j -0.0344687-0j -0.354113-0j 0.0238865-0j 0.00872212-0j 0.00503572-0j 0.0130022-0j -0.0156526-0j 0.00390065-0j -0.013331-0j 0.00164832-0j -0.00355558-0j 0.000672926-0j -0.000281669-0j 3.70433e-05-0j 
-0.0773264-0j 0.103085-0j 0.0221362-0j 0.0233336-0j -0.037888-0j 0.0170323-0j 0.0182082-0j 0.00983357-0j -0.105884-0j -0.0529418-0j 0.162096-0j 0.0935862-0j 0.0407121-0j -0.0222472-0j -0.0234506-0j 0.13497-0j -0.211726-0j -0.0560537-0j -0.0026833-0j 0.0152277-0j 0.00879172-0j -0.024726-0j 0.0250393-0j -0.139227-0j 0.238299-0j -0.0863998-0j 0.0833997-0j -0.00521246-0j -0.049607-0j -0.00290737-0j -0.00367425-0j -0.00183713-0j -0.00503572-0j -0.0120368-0j 0.0609598-0j 0.0118003-0j 0.0397829-0j 0.0327842-0j -0.37933-0j -0.0056301-0j -0.00281505-0j 0.0196549-0j 0.0113478-0j -0.00781686-0j 0.046981-0j -0.0179988-0j 0.00777786-0j -0.0453406-0j -0.431507-0j -0.0525183-0j 0.238098-0j -0.0205805-0j 
0.117012-0j 0.0617273-0j -0.0251357-0j 0.00636973-0j 0.00390065-0j -0.031451-0j -0.0336226-0j -0.0181583-0j -0.0385195-0j -0.0192598-0j -0.0222392-0j -0.0128398-0j -0.0111196-0j -0.281266-0j 0.0712766-0j 0.08082-0j -0.198885-0j 0.0252001-0j 0.242602-0j -0.0652079-0j -0.0376478-0j -0.0399315-0j -0.0430618-0j 0.196215-0j -0.0304493-0j 0.0720305-0j 0.0898984-0j 0.0072226-0j 0.00510715-0j -0.0167571-0j -0.079863-0j -0.0399315-0j -0.0290242-0j -0.0102616-0j 0.00112602-0j 0.203063-0j -0.0115272-0j -0.0563811-0j -0.00248642-0j 0.0078013-0j 0.00390065-0j 0.0831737-0j 0.0480203-0j 0.0237589-0j 0.0294063-0j -0.40963-0j 0.00212324-0j -0.0114124-0j -0.00806981-0j -0.13371-0j -0.204067-0j -0.154989-0j 
0.0160448-0j 0.15076-0j 0.00855532-0j -0.00290737-0j 0.00552244-0j -0.0556421-0j 0.0191772-0j -0.032125-0j 0.0219702-0j -0.0791324-0j 0.0126845-0j 0.00732341-0j -0.0196724-0j 0.16515-0j -0.0561231-0j -0.0636377-0j -0.0376485-0j -0.0198425-0j 0.0887374-0j 0.0992114-0j 0.0572797-0j -0.188448-0j 0.124837-0j -0.044088-0j -0.0284587-0j 0.269993-0j 0.0525443-0j 0.0102256-0j -0.00233108-0j -0.00183878-0j 0.121509-0j -0.437651-0j -0.00318487-0j -0.00112602-0j -0.000513956-0j 0.0124282-0j 0.0175383-0j -0.0526952-0j 0.00141817-0j -0.00356079-0j 0.0128253-0j -0.10051-0j -0.0580292-0j -0.0187077-0j -0.0355355-0j 0.0575594-0j -0.000969124-0j -0.431178-0j 0.098294-0j 0.0439101-0j -0.132508-0j -0.290996-0j 
0.03461-0j -0.104843-0j -0.00594963-0j -0.00627146-0j 0.0013879-0j -0.0126845-0j -0.0135603-0j -0.00732341-0j 0.0473917-0j 0.0236958-0j -0.00988816-0j -0.00570893-0j -0.0603593-0j 0.0376485-0j 0.0396851-0j -0.137272-0j 0.0293488-0j 0.188841-0j -0.0627468-0j 0.214008-0j 0.123557-0j -0.0473608-0j 0.0284587-0j -0.0951016-0j 0.0221848-0j -0.187761-0j 0.113343-0j 0.00233108-0j 0.00181719-0j 0.00130022-0j -0.0859196-0j -0.0429598-0j 0.00225204-0j 0.0107163-0j 0.0123634-0j -0.00878809-0j -0.421888-0j 0.0372611-0j -0.0629589-0j 0.00251786-0j 0.00125893-0j 0.071071-0j 0.0410328-0j 0.0132284-0j 0.338191-0j -0.0407006-0j -0.00209049-0j -0.098294-0j -0.0766247-0j -0.0310492-0j -0.285832-0j 0.205875-0j 
0.0172821-0j -0.0665555-0j 0.00120377-0j -0.0026102-0j -0.00159841-0j -0.0093929-0j 0.0206561-0j 0.0277341-0j -0.0115039-0j -0.00575195-0j -0.00664178-0j 0.019611-0j -0.00332089-0j 0.0354423-0j -0.0768517-0j 0.0423617-0j 0.0250615-0j -0.0271712-0j 0.175871-0j -0.0955868-0j 0.282236-0j -0.0585347-0j -0.215397-0j 0.114704-0j -0.152309-0j -0.0104181-0j 0.269599-0j 0.00143878-0j 0.00101737-0j -0.00410418-0j -0.117069-0j -0.0585347-0j 0.00138999-0j 0.000491436-0j -0.000461422-0j -0.00650759-0j -0.0168975-0j 0.137097-0j -0.000742574-0j -0.00319682-0j -0.00159841-0j -0.0120298-0j 0.0355199-0j -0.101758-0j -0.00425317-0j -0.143568-0j -0.00345612-0j 0.0141088-0j 0.00997646-0j -0.370742-0j 0.128688-0j -0.325756-0j 
-0.00435086-0j 0.0202987-0j 0.000534429-0j 0.000563338-0j 0.00102641-0j 0.00474441-0j 0.00507199-0j 0.00273919-0j -0.00595765-0j -0.00297883-0j -0.0102341-0j -0.00590867-0j -0.00851429-0j -0.0216876-0j -0.0228608-0j 0.0265773-0j 0.0467822-0j 0.0410258-0j 0.0679081-0j -0.0778437-0j -0.0449431-0j -0.141832-0j -0.128643-0j 0.144485-0j 0.277494-0j -0.132739-0j -0.0450207-0j -0.000623008-0j 0.00134388-0j -0.000347497-0j 0.0929869-0j 0.0464935-0j -0.000601883-0j 0.00108014-0j 0.000689725-0j 0.00328703-0j -0.0953083-0j -0.168433-0j -0.00342314-0j -0.000672926-0j -0.000336463-0j 0.149492-0j 0.0863095-0j -0.00762026-0j -0.268278-0j 0.0481011-0j 0.000187779-0j -0.19116-0j 0.412348-0j -0.0579619-0j -0.238682-0j -0.0376749-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.0219051-0j -0.124748-0j -0.136655-0j 0.0199965-0j -0.262455-0j 0.172069-0j -0.0255357-0j 0.0993441-0j 0.0299948-0j 0.273588-0j 0.0515253-0j 0.0297481-0j -0.308794-0j 0.133284-0j -0.0195032-0j 0.0226739-0j 0.0399113-0j 0.0350004-0j -0.0123349-0j 0.0141397-0j 0.00816354-0j -0.185584-0j 0.049672-0j 0.00774461-0j 0.0148741-0j -0.0278946-0j 0.00182542-0j 0.159305-0j 0.0477031-0j -0.0123349-0j -0.0168903-0j -0.15406-0j -0.0213647-0j 0.038341-0j 0.0244828-0j -0.0165491-0j 0.017312-0j -0.00902825-0j 0.0172343-0j -0.0238865-0j -0.217873-0j -0.00436106-0j -0.00251786-0j -0.00650108-0j 0.00782632-0j -0.00195032-0j 0.0066655-0j 0.00593695-0j 0.00177779-0j -0.000336463-0j 0.000140834-0j -1.85217e-05-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0.0348885-0j -0.0855532-0j -0.0937189-0j -0.166585-0j -0.0604953-0j 0.632842-0j 0.0416997-0j -0.0698539-0j 0.047773-0j -0.172069-0j -0.144267-0j 0.0159243-0j -0.0427766-0j -0.0937189-0j -0.166585-0j 0.036113-0j 0.0213647-0j 0.0112602-0j 0.0201429-0j -0.117793-0j 0.0130022-0j -0.0427766-0j -0.034927-0j 0.0123349-0j 0.00796217-0j -0.0191303-0j 0.00290737-0j -0.112015-0j 0.0255357-0j 0.0201429-0j 0.0275818-0j -0.0993441-0j -0.182485-0j 0.0123349-0j 0.0056301-0j 0.0270245-0j 0.00398108-0j 0.0147431-0j 0.00308373-0j 0.0390065-0j -0.140494-0j -0.0372495-0j 0.00411164-0j 0.0106162-0j 0.00251786-0j 0.00318487-0j 0.0106162-0j -0.00417457-0j 0.000951661-0j 0.000549442-0j 0.000224309-0j 3.02458e-05-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 0-0j 
