-0.0505971-0j -0.0590299-0j -0.0361483-0j -0.0516512-0j -0.021305-0j -0.00649114-0j -0.00733253-0j -0.00598698-0j -0.00604903-0j -0.00523861-0j -0.00432163-0j -0.00138078-0j 0.400613-0j -0.000600989-0j 0.443397-0j -0.000665172-0j 0.350536-0j 0.233691-0j -0.000525865-0j 0.354169-0j -0.000350577-0j -0.000531314-0j 0.408959-0j 0.144589-0j -0.000613509-0j 0.238559-0j -0.000216908-0j 0.253031-0j -0.00035788-0j -0.000379589-0j 0.147601-0j -0.000221427-0j 0.0385054-0j -5.77647e-05-0j -0.0031278-0j 0.0531988-0j -4.60769e-05-0j -0.00341342-0j 0.0580568-0j -5.02844e-05-0j -0.00264402-0j -0.00267142-0j -0.00241365-0j 0.0449706-0j -3.89502e-05-0j 0.0454366-0j 0.0410524-0j -0.00298674-0j -3.93538e-05-0j -0.00199116-0j -3.55565e-05-0j -0.00174227-0j -0.0017244-0j 0.0507997-0j 0.0338665-0j -0.00246394-0j -4.39989e-05-0j 0.0296332-0j 0.0293292-0j -0.00123197-0j -2.93326e-05-0j -0.00101632-0j -2.5666e-05-0j -2.54028e-05-0j 0.0419076-0j -0.00124474-0j 0.0209538-0j -3.62972e-05-0j 0.017286-0j -0.000562431-0j -1.81486e-05-0j 0.0211709-0j -1.49718e-05-0j -0.000124004-0j 0.00956605-0j -1.83367e-05-0j -8.2854e-06-0j 0.00210912-0j -1.82676e-06-0j 
-0.000373343-0j -6.19978e-06-0j 0.00079163-0j -0.000364332-0j 0.000462663-0j 0.00226562-0j 3.64286e-05-0j -0.00205614-0j -0.00205121-0j -7.72425e-05-0j 0.00290502-0j -0.00189346-0j 0.00594276-0j 0.000423965-0j 9.36221e-05-0j 6.67912e-06-0j -0.00511651-0j 0.00346661-0j -0.000365018-0j -0.00510424-0j 0.000247313-0j -0.000364143-0j -8.49654e-05-0j -0.0106211-0j -6.06154e-06-0j -0.00692655-0j -0.000757721-0j 0.0108229-0j -0.000494149-0j 0.000772123-0j 0.00634059-0j 0.000452346-0j -0.0028072-0j -0.000200269-0j -2.30792e-05-0j -0.0373293-0j 4.8927e-05-0j -3.58504e-07-0j -0.000579859-0j 7.60014e-07-0j 1.91966e-05-0j 1.91506e-05-0j -1.78097e-05-0j 0.0310494-0j -4.06961e-05-0j 0.030975-0j -0.0288062-0j 3.08659e-07-0j -4.05985e-05-0j -2.09127e-07-0j 3.77559e-05-0j 2.51625e-05-0j 3.77634e-05-0j 0.000499238-0j -0.000338251-0j -1.73799e-05-0j -6.54345e-07-0j 0.0406989-0j 0.0610802-0j 6.40728e-07-0j 4.43341e-07-0j 2.20706e-05-0j -5.33435e-05-0j -8.0057e-05-0j -0.0281109-0j -5.33542e-05-0j 0.00103634-0j 3.68446e-05-0j 0.0356979-0j -1.60432e-05-0j -1.35832e-06-0j -0.0862973-0j -4.67887e-05-0j 5.39881e-06-0j -0.025949-0j 0.000113109-0j 3.4011e-05-0j 0.00873227-0j -1.14453e-05-0j 
1.62292e-06-0j -3.77678e-06-0j 1.15947e-06-0j 1.65673e-06-0j 6.83368e-07-0j -5.00762e-05-0j -5.65671e-05-0j 9.21287e-05-0j 9.30835e-05-0j -4.04135e-05-0j -3.33394e-05-0j -1.06521e-05-0j 1.33555e-07-0j 0.000890223-0j 1.47818e-07-0j 0.000985297-0j 1.1686e-07-0j -3.88708e-07-0j 0.000778945-0j 1.18071e-07-0j -0.00259098-0j 0.000787018-0j -2.71951e-07-0j 4.82024e-08-0j -0.00181272-0j -1.58638e-07-0j 0.000321299-0j 8.43543e-08-0j -0.00105742-0j 0.000562273-0j 4.92067e-08-0j 0.000327992-0j 1.28368e-08-0j 8.55649e-05-0j 1.00326e-07-0j -4.26554e-06-0j -0.00978765-0j 1.09487e-07-0j -4.65506e-06-0j -0.0106814-0j 8.48082e-08-0j 8.56871e-08-0j -1.54427e-07-0j -3.60579e-06-0j -0.0082738-0j -3.64316e-06-0j 6.56579e-06-0j 9.58011e-08-0j -0.00835954-0j -3.18659e-07-0j 0.0150658-0j 5.5884e-08-0j -1.10328e-07-0j -4.07318e-06-0j 1.35485e-05-0j -1.57644e-07-0j -0.00934625-0j -2.37602e-06-0j 4.69083e-06-0j 3.95159e-08-0j 0.0310881-0j -6.5025e-08-0j -0.00545198-0j 0.0107635-0j 6.70258e-06-0j 3.99254e-08-0j -1.6801e-06-0j 0.0153796-0j 2.76467e-06-0j 1.80402e-08-0j -0.00385513-0j -1.69751e-06-0j 0.00634377-0j 3.9775e-09-0j -7.67017e-07-0j -0.00389508-0j -0.00175998-0j -1.69111e-07-0j -0.00038804-0j 
0.000251475-0j -0.000574246-0j 0.000179662-0j 0.000235102-0j 0.00012321-0j -0.0030844-0j 0.00681962-0j -0.00284484-0j -0.00263234-0j 0.00487217-0j -0.00795102-0j 0.00850092-0j 2.06945e-05-0j 0.013364-0j -4.48312e-05-0j -0.0289509-0j 1.81077e-05-0j 1.20718e-05-0j 0.0116935-0j 1.67551e-05-0j 0.00779567-0j 0.01082-0j -4.13492e-05-0j 7.46905e-06-0j -0.0267023-0j 4.77147e-05-0j 0.00482332-0j 1.19704e-05-0j 0.030813-0j 0.00773021-0j 8.8719e-06-0j 0.00572925-0j -8.7989e-05-0j -0.0568211-0j -0.00226562-0j -0.000262732-0j 0.0031397-0j 0.00483943-0j 0.000561205-0j -0.00670651-0j -0.00191519-0j -0.00177214-0j -0.00174833-0j -0.000222096-0j 0.00265409-0j -0.000205506-0j -0.000202745-0j 0.0042345-0j 0.00245584-0j 0.002823-0j 0.00242284-0j -0.00488639-0j -0.00124906-0j 0.000491054-0j 0.00032737-0j -0.0016345-0j -0.0058682-0j -0.00056665-0j -0.000144848-0j 0.00174664-0j -0.00391213-0j -0.000856596-0j 0.00677158-0j 0.00173096-0j -0.000189544-0j -0.003491-0j 0.00020255-0j 0.00226509-0j -9.93351e-05-0j 0.00527847-0j -0.00242051-0j -0.000404834-0j 0.00118707-0j 0.00884052-0j 0.000612118-0j 0.00483785-0j -0.00731493-0j 0.00102519-0j -0.0122512-0j 
0.000217783-0j -0.000497312-0j 0.000155592-0j 0.000203604-0j 0.000106703-0j -0.00132161-0j 0.00292209-0j -0.00121897-0j -0.00112791-0j 0.00208765-0j -0.00340688-0j 0.0036425-0j -0.00346661-0j -0.000247313-0j 0.00750983-0j 0.000535761-0j -0.00303329-0j -0.00202219-0j -0.000216399-0j -0.00280671-0j -0.000144266-0j -0.000200234-0j 0.00692655-0j -0.00125117-0j 0.000494149-0j -0.00799286-0j -8.92599e-05-0j -0.00200521-0j -0.000570221-0j -0.000143054-0j -0.00148616-0j -0.000106025-0j 0.0147393-0j 0.00105152-0j 1.34629e-05-0j 0.0217754-0j -2.85408e-05-0j -2.87572e-05-0j -0.046513-0j 6.0964e-05-0j 1.13806e-05-0j 1.05305e-05-0j 1.0389e-05-0j 0.0184074-0j -2.41264e-05-0j 0.0170325-0j 0.0168036-0j -2.51625e-05-0j -2.23242e-05-0j -1.6775e-05-0j -2.20243e-05-0j 2.90362e-05-0j 7.42226e-06-0j -0.0406989-0j -0.0271326-0j 9.7126e-06-0j 5.33435e-05-0j 0.0469643-0j 0.0120051-0j -1.0379e-05-0j 3.55623e-05-0j 5.09011e-06-0j -6.15555e-05-0j -1.57349e-05-0j 0.0157096-0j 2.07444e-05-0j -0.0167874-0j -2.05903e-05-0j 0.00823296-0j -3.1366e-05-0j 2.20031e-05-0j 0.0335529-0j -1.07908e-05-0j -5.25327e-05-0j -0.0507328-0j -4.39774e-05-0j 6.64948e-05-0j -0.0849686-0j 0.000111367-0j 
4.39989e-05-0j 7.30651e-07-0j -9.32945e-05-0j 4.29369e-05-0j -5.45253e-05-0j -0.000812309-0j -1.3061e-05-0j 0.000737199-0j 0.000735432-0j 2.76942e-05-0j -0.00104155-0j 0.000678873-0j -0.00034837-0j 0.00716506-0j -5.48821e-06-0j 0.000112878-0j 0.000299934-0j -0.000203216-0j -0.00616886-0j 0.000299215-0j 0.00417962-0j -0.00615407-0j 4.98075e-06-0j 0.000622617-0j -0.000102441-0j 0.000406041-0j -0.0128056-0j -0.000634451-0j -0.00835119-0j 0.013049-0j -0.000371691-0j 0.00764471-0j 0.00016456-0j -0.00338457-0j 2.71991e-06-0j 0.00665736-0j -0.0254278-0j 4.22501e-08-0j 0.000103413-0j -0.000394986-0j -2.26234e-06-0j -2.25692e-06-0j 2.0989e-06-0j -0.0055374-0j 0.0211501-0j -0.00552412-0j 0.00513734-0j -3.63758e-08-0j 0.0210994-0j 2.46459e-08-0j -0.0196221-0j -2.96543e-06-0j -4.45046e-06-0j -8.90348e-05-0j 6.03242e-05-0j 2.04824e-06-0j 0.000340069-0j -0.0072583-0j -0.0108931-0j -7.55105e-08-0j -0.000230409-0j -2.60104e-06-0j 0.0277231-0j 0.0416064-0j 0.00501334-0j 6.28785e-06-0j -0.000184822-0j -0.0191485-0j -0.00636641-0j 1.89071e-06-0j 0.00070593-0j 0.0153904-0j 0.0243165-0j -6.36256e-07-0j 0.00462778-0j -0.0587837-0j -0.0176759-0j -0.00155732-0j 0.00594821-0j 
-2.00827e-06-0j -3.33495e-08-0j 4.25829e-06-0j -1.95979e-06-0j 2.48873e-06-0j 6.19662e-05-0j 9.96343e-07-0j -5.62365e-05-0j -5.61017e-05-0j -2.11263e-06-0j 7.94539e-05-0j -5.17872e-05-0j -1.65266e-07-0j -0.0011016-0j -2.60359e-09-0j -1.73545e-05-0j 1.42288e-07-0j -9.64049e-08-0j 0.000948434-0j 1.41947e-07-0j -0.000642597-0j 0.00094616-0j 2.36285e-09-0j 2.95367e-07-0j 1.57498e-05-0j 1.92624e-07-0j 0.0019688-0j -3.00981e-07-0j 0.00128396-0j -0.00200622-0j -1.76329e-07-0j -0.00117534-0j 7.80669e-08-0j 0.000520363-0j -1.24147e-07-0j 5.27834e-06-0j 0.0121116-0j -1.92844e-09-0j 8.19917e-08-0j 0.000188137-0j 1.03261e-07-0j 1.03014e-07-0j -9.58011e-08-0j -4.39037e-06-0j -0.0100741-0j -4.37984e-06-0j 4.07318e-06-0j 1.66032e-09-0j -0.0100499-0j -1.12493e-09-0j 0.00934625-0j 1.35353e-07-0j 2.03135e-07-0j -7.05919e-08-0j 4.78285e-08-0j -9.34888e-08-0j -0.000161979-0j -5.7548e-06-0j -8.6367e-06-0j 3.44657e-09-0j 0.000109747-0j 1.18721e-07-0j -0.0132049-0j -0.0198176-0j 3.97487e-06-0j -2.87e-07-0j -1.46538e-07-0j 0.00912066-0j -5.04766e-06-0j -8.62989e-08-0j -0.000336243-0j 1.22024e-05-0j -0.0115823-0j 2.9041e-08-0j 3.66917e-06-0j 0.0279994-0j 0.00841923-0j -1.23474e-06-0j -0.00283321-0j 
-2.5666e-05-0j 5.86087e-05-0j -1.83367e-05-0j -2.3995e-05-0j -1.25751e-05-0j 0.000473847-0j -0.00104768-0j 0.000437044-0j 0.000404398-0j -0.000748497-0j 0.00122149-0j -0.00130597-0j 0.000203216-0j -0.00417962-0j -0.000440233-0j 0.00905444-0j 0.000177814-0j 0.000118543-0j -0.00365716-0j 0.000164532-0j -0.00243811-0j -0.00338399-0j -0.000406041-0j 7.33445e-05-0j 0.00835119-0j 0.000468549-0j -0.0015085-0j 0.000117547-0j -0.00963682-0j -0.00241764-0j 8.71203e-05-0j -0.00179183-0j -0.000864034-0j 0.0177709-0j -1.58662e-06-0j -0.00388346-0j 0.0148329-0j 3.38906e-06-0j 0.0082952-0j -0.0316836-0j -1.34121e-06-0j -1.24103e-06-0j -1.22436e-06-0j -0.00328281-0j 0.0125387-0j -0.00303759-0j -0.00299678-0j 2.96543e-06-0j 0.0116021-0j 1.97695e-06-0j 0.0114462-0j -3.42195e-06-0j -8.74722e-07-0j 0.0072583-0j 0.00483887-0j -1.14464e-06-0j -0.0277231-0j -0.00837568-0j -0.002141-0j 1.22318e-06-0j -0.0184821-0j -5.99876e-07-0j 0.031991-0j 0.00817758-0j -0.00280167-0j -2.44476e-06-0j 0.0029939-0j 0.010701-0j -0.00146828-0j 3.69652e-06-0j -0.0114352-0j -0.00598388-0j 0.0056081-0j 6.19104e-06-0j 0.00904775-0j 0.0228555-0j -0.034558-0j 0.0151534-0j -0.0578786-0j 
1.17149e-06-0j -2.67511e-06-0j 8.36951e-07-0j 1.09521e-06-0j 5.73973e-07-0j -3.61469e-05-0j 7.9921e-05-0j -3.33394e-05-0j -3.08491e-05-0j 5.70983e-05-0j -9.31802e-05-0j 9.96246e-05-0j 9.64049e-08-0j 0.000642597-0j -2.08845e-07-0j -0.00139208-0j 8.43543e-08-0j 5.62362e-08-0j 0.000562273-0j 7.80533e-08-0j 0.000374848-0j 0.000520273-0j -1.92624e-07-0j 3.47944e-08-0j -0.00128396-0j 2.22278e-07-0j 0.000231926-0j 5.5764e-08-0j 0.00148162-0j 0.000371701-0j 4.13295e-08-0j 0.000275487-0j -4.09894e-07-0j -0.0027322-0j 7.24188e-08-0j -3.07903e-06-0j -0.0070651-0j -1.54689e-07-0j 6.57692e-06-0j 0.0150913-0j 6.12178e-08-0j 5.6645e-08-0j 5.5884e-08-0j -2.6028e-06-0j -0.00597234-0j -2.40838e-06-0j -2.37602e-06-0j -1.35353e-07-0j -0.00552623-0j -9.02352e-08-0j -0.00545198-0j 1.5619e-07-0j 3.99254e-08-0j 5.7548e-06-0j 3.83653e-06-0j 5.22455e-08-0j 0.0132049-0j -6.64073e-06-0j -1.69751e-06-0j -5.58302e-08-0j 0.00880325-0j 2.73804e-08-0j -0.0152377-0j -0.00389508-0j -2.22132e-06-0j 1.11587e-07-0j 2.37373e-06-0j -0.00509701-0j -1.16414e-06-0j -1.68722e-07-0j 0.00544673-0j -4.74436e-06-0j -0.00267121-0j -2.82581e-07-0j 7.17358e-06-0j -0.0108863-0j 0.0164604-0j 1.20145e-05-0j 0.0275683-0j 
-0.043434-0j 0.0167897-0j 0.0102816-0j 0.014691-0j 0.00605974-0j 0.00184626-0j -0.00629446-0j 0.00170286-0j 0.00172051-0j 0.00149001-0j 0.00122919-0j 0.000392733-0j 0.00118429-0j 0.000170938-0j 0.00131077-0j 0.000189193-0j -0.00312752-0j 0.000690837-0j -0.000451418-0j -0.00315993-0j 9.97137e-05-0j -0.000456096-0j 0.00120896-0j 0.000427433-0j 0.000174499-0j 0.000705229-0j 6.16947e-05-0j 0.000748008-0j 0.000101791-0j 0.000107966-0j 0.000436338-0j 6.298e-05-0j 0.00011383-0j 1.64299e-05-0j 0.000889633-0j 0.000157266-0j 1.31055e-05-0j 0.000970871-0j 0.000171627-0j 1.43023e-05-0j 0.000752034-0j 0.000759827-0j -0.00207195-0j 0.000132942-0j 1.10785e-05-0j 0.00013432-0j -0.000366273-0j -0.00256391-0j 1.11933e-05-0j 0.000566342-0j -3.05227e-05-0j -0.00149561-0j 0.000490466-0j -0.000453239-0j 0.000100116-0j 0.000700812-0j -3.77699e-05-0j -0.00026439-0j 8.6703e-05-0j 0.000350406-0j 8.343e-06-0j 0.00028907-0j -2.20325e-05-0j 7.22525e-06-0j 0.000123887-0j 0.000354037-0j 6.19436e-05-0j 1.03239e-05-0j 5.11009e-05-0j 0.000159971-0j 5.16197e-06-0j 6.25855e-05-0j 4.25841e-06-0j 3.52703e-05-0j 2.82791e-05-0j 5.21546e-06-0j 2.3566e-06-0j 6.23497e-06-0j 5.19581e-07-0j 
-0.0167897-0j 0.000556147-0j -0.0119952-0j 0.0166516-0j 0.0208066-0j -0.00215397-0j -3.46333e-05-0j 0.00396281-0j -0.00388989-0j -2.47432e-05-0j 0.00280688-0j 0.00180014-0j -0.00138167-0j -0.000199427-0j -2.17668e-05-0j -3.14177e-06-0j -0.00120896-0j 0.00402133-0j -0.000174499-0j 0.00118672-0j 0.000580429-0j 0.000171288-0j 4.00459e-05-0j -0.000498672-0j 5.78013e-06-0j -0.00321226-0j -7.19771e-05-0j 0.000847833-0j -0.00046365-0j 0.000122374-0j 0.0014982-0j 0.000216247-0j 0.000652664-0j 9.4204e-05-0j -0.0010379-0j -0.000183477-0j -1.52898e-05-0j -1.61224e-05-0j -2.85007e-06-0j -2.37506e-07-0j -0.000877373-0j 0.000861229-0j 0.00159761-0j -0.000155099-0j -1.29249e-05-0j 0.000152245-0j 0.00028242-0j -1.41071e-05-0j 1.26871e-05-0j 4.69239e-05-0j 2.3535e-05-0j 0.00113159-0j 0.00114139-0j -2.49381e-06-0j 8.29506e-06-0j -0.00158446-0j -2.07817e-07-0j 0.000200039-0j 0.00020177-0j -5.81889e-06-0j 6.91255e-07-0j -0.00197982-0j 1.66699e-05-0j 1.68142e-05-0j -0.000280096-0j 0.000808449-0j -1.02864e-06-0j -2.33413e-05-0j -0.000349987-0j 0.000733249-0j -8.57203e-08-0j 0.000142915-0j -2.91656e-05-0j 0.000242792-0j 0.000129621-0j 1.19096e-05-0j 1.08018e-05-0j 4.292e-05-0j 3.57667e-06-0j 
-0.0102816-0j -0.0119952-0j -0.00687797-0j 0.0311506-0j -0.00432929-0j -0.00131903-0j -0.00149001-0j 0.00361072-0j -0.00122919-0j -0.000996755-0j 0.00260636-0j -0.000280582-0j -0.000846099-0j -0.000122124-0j -0.00093646-0j -0.000135166-0j 0.00219726-0j -0.000493558-0j 0.000317147-0j -0.000748008-0j -7.12389e-05-0j -0.000107966-0j 0.00256347-0j -0.00388215-0j 0.000370005-0j -0.00050384-0j -0.00056034-0j -0.000500388-0j -7.2723e-05-0j -7.22248e-05-0j 0.000925204-0j 0.000133542-0j -8.13238e-05-0j -1.17381e-05-0j -0.000635584-0j -0.000112357-0j -9.36304e-06-0j -0.000693624-0j -0.000122617-0j -1.0218e-05-0j 0.0015946-0j -0.000542847-0j -0.000490466-0j 0.000281888-0j 2.34907e-05-0j -9.59626e-05-0j -8.6703e-05-0j 0.00180129-0j -7.99689e-06-0j -0.000404614-0j -7.22525e-06-0j -0.000354037-0j -0.000328103-0j 0.000318426-0j -7.15263e-05-0j 0.00148599-0j 2.65355e-05-0j -6.25855e-05-0j -5.80009e-05-0j -0.00318255-0j -5.96053e-06-0j -0.000206522-0j -5.21546e-06-0j -4.83341e-06-0j 0.000262688-0j -0.000236837-0j -0.000562601-0j 2.18907e-05-0j -3.65082e-05-0j 0.0003392-0j -4.68834e-05-0j -4.18673e-05-0j -3.04235e-06-0j -2.51983e-05-0j 5.99626e-05-0j -3.48894e-06-0j 4.99689e-06-0j -4.45447e-06-0j -3.71206e-07-0j 
0.00686752-0j -0.00265469-0j -0.00162566-0j -0.00232286-0j -0.000958129-0j 0.0138085-0j -0.0470774-0j 0.012736-0j 0.012868-0j 0.011144-0j 0.00919336-0j 0.00293732-0j -0.000187253-0j 0.00258398-0j -0.000207251-0j 0.00285994-0j 0.000494504-0j -0.000109231-0j -0.00682386-0j 0.000499628-0j 0.00150732-0j -0.00689457-0j -0.000191154-0j -6.75832e-05-0j 0.00263781-0j -0.000111507-0j 0.000932607-0j -0.000118271-0j 0.00153872-0j 0.00163206-0j -6.89911e-05-0j 0.000952037-0j -1.7998e-05-0j 0.000248362-0j -0.000140663-0j 0.00117622-0j 0.000298201-0j -0.000153508-0j 0.00128363-0j 0.000325431-0j -0.000118907-0j -0.000120139-0j 0.000327604-0j 0.000994298-0j 0.000252078-0j 0.0010046-0j -0.00273942-0j 0.00040539-0j 0.00025469-0j -8.95465e-05-0j -0.000694508-0j 0.000236477-0j -7.75495e-05-0j -0.00338986-0j 0.000748786-0j -0.000110808-0j -0.000859409-0j -0.00197742-0j 0.000648468-0j -5.5404e-05-0j 0.000189835-0j -4.5706e-05-0j -0.000501322-0j 0.000164402-0j 0.000926576-0j -5.59782e-05-0j 0.000463288-0j 0.000234909-0j 0.000382193-0j -2.52936e-05-0j 0.000117454-0j 0.000468089-0j 9.68949e-05-0j -5.57672e-06-0j 0.000211505-0j 0.000118672-0j 5.36215e-05-0j 4.66325e-05-0j 1.18224e-05-0j 
0.014691-0j -0.0166516-0j -0.0311506-0j 0.0147505-0j 0.0295362-0j 0.00188472-0j -0.00206841-0j -0.00171045-0j -0.00175564-0j 0.00438583-0j -0.00113073-0j 0.00424049-0j 0.00120896-0j 0.000174499-0j -0.00129999-0j -0.000187637-0j -0.00104087-0j 0.000705229-0j -0.000150237-0j -0.00106837-0j 0.000101791-0j -0.000154206-0j 0.00117978-0j -0.00216069-0j 0.000170287-0j 0.000659313-0j -0.000311869-0j 0.00226536-0j 9.51636e-05-0j 0.000326977-0j -0.00209267-0j -0.000302051-0j 0.00212913-0j 0.000307314-0j 0.000908167-0j 0.000160543-0j 1.33786e-05-0j -0.000962883-0j -0.000170215-0j -1.41846e-05-0j -0.000755386-0j -0.000775342-0j 0.000700812-0j -0.000133535-0j -1.11279e-05-0j -0.000137062-0j 0.000123887-0j 0.000829008-0j -1.14219e-05-0j -0.000561682-0j 1.03239e-05-0j 0.000463285-0j -0.00148599-0j 0.000146549-0j -9.92923e-05-0j 0.000703651-0j 1.22124e-05-0j 8.18979e-05-0j -0.000262688-0j 0.00172089-0j -8.27436e-06-0j 0.00140897-0j 6.82483e-06-0j -2.18907e-05-0j 0.000124389-0j -0.000982341-0j 0.000304213-0j 1.03658e-05-0j 0.000249074-0j -0.00169956-0j 2.53511e-05-0j -0.000173655-0j 2.07562e-05-0j 0.00100858-0j -0.000300443-0j -1.44712e-05-0j -2.50369e-05-0j 0.000178293-0j 1.48578e-05-0j 
-0.00605974-0j 0.0208066-0j -0.00432929-0j -0.0295362-0j 0.0359866-0j -0.000777409-0j 0.00258453-0j -0.000717028-0j -0.00345907-0j 0.00184648-0j -0.000602245-0j 0.00309102-0j -0.000498672-0j -7.19771e-05-0j 0.00162436-0j 0.000234457-0j -0.000436338-0j -0.000290892-0j -6.298e-05-0j -0.00210497-0j -4.19867e-05-0j -0.000303826-0j 0.0014982-0j -0.00017998-0j 0.000216247-0j -0.000345528-0j -2.59779e-05-0j -0.00150386-0j -4.98727e-05-0j -0.000217064-0j 0.00259126-0j 0.000374016-0j -0.0015528-0j -0.000224128-0j -0.0003746-0j -6.62205e-05-0j -5.51838e-06-0j 0.00120315-0j 0.000212688-0j 1.7724e-05-0j -0.00031666-0j -0.00152762-0j -0.00028907-0j -5.59782e-05-0j -4.66485e-06-0j -0.000270048-0j -5.11009e-05-0j 0.00105275-0j -2.2504e-05-0j 0.000701835-0j -4.25841e-06-0j -0.000242795-0j -0.000206522-0j 0.000186102-0j 0.000124068-0j -0.00140897-0j 1.55085e-05-0j -4.29205e-05-0j -3.65082e-05-0j 0.000434238-0j 1.0339e-05-0j 0.00171668-0j -3.57671e-06-0j -3.04235e-06-0j -0.000249074-0j -0.000173461-0j 7.67632e-05-0j -2.07562e-05-0j 0.00030347-0j 0.00125906-0j 6.39693e-06-0j -3.06639e-05-0j 2.52892e-05-0j -0.00307159-0j 0.000222573-0j -2.55532e-06-0j 1.85477e-05-0j -0.000542986-0j -4.52489e-05-0j 
0.00542925-0j -0.00209872-0j -0.0012852-0j -0.00183638-0j -0.000757467-0j -0.000230783-0j 0.000786807-0j -0.000212858-0j -0.000215064-0j -0.000186251-0j -0.000153649-0j -4.90916e-05-0j 0.0142432-0j -2.13672e-05-0j 0.0157643-0j -2.36492e-05-0j -0.0376138-0j 0.00830852-0j 5.64273e-05-0j -0.0380036-0j -1.24642e-05-0j 5.7012e-05-0j 0.0145399-0j 0.00514063-0j -2.18124e-05-0j 0.00848161-0j -7.71184e-06-0j 0.00899611-0j -1.27239e-05-0j -1.34957e-05-0j 0.00524773-0j -7.8725e-06-0j 0.001369-0j -2.05374e-06-0j -0.000111204-0j 0.0018914-0j -1.63819e-06-0j -0.000121359-0j 0.00206412-0j -1.78779e-06-0j -9.40042e-05-0j -9.49784e-05-0j 0.000258994-0j 0.00159886-0j -1.38481e-06-0j 0.00161543-0j -0.00440507-0j 0.000320489-0j -1.39916e-06-0j -7.07927e-05-0j 3.81534e-06-0j 0.000186952-0j -6.13083e-05-0j -0.00545099-0j 0.00120407-0j -8.76015e-05-0j 4.72124e-06-0j -0.00317975-0j 0.00104275-0j -4.38007e-05-0j -1.04287e-06-0j -3.61338e-05-0j 2.75406e-06-0j -9.03156e-07-0j 0.00148996-0j -4.42546e-05-0j 0.00074498-0j -1.29049e-06-0j 0.000614577-0j -1.99964e-05-0j -6.45246e-07-0j 0.0007527-0j -5.32301e-07-0j -4.40879e-06-0j 0.000340106-0j -6.51933e-07-0j -2.94574e-07-0j 7.49864e-05-0j -6.49476e-08-0j 
0.00265469-0j -8.79345e-05-0j 0.0018966-0j -0.00263285-0j -0.00328981-0j -0.01611-0j -0.000259029-0j 0.0296386-0j -0.0290933-0j -0.000185059-0j 0.0209932-0j 0.0134636-0j 0.000218462-0j -0.00301464-0j 3.44164e-06-0j -4.74926e-05-0j 0.000191154-0j -0.000635828-0j -0.00263781-0j -0.000187637-0j 0.00877405-0j 0.00258928-0j -6.33182e-06-0j 7.8847e-05-0j 8.73754e-05-0j 0.000507903-0j -0.00108804-0j -0.000134054-0j -0.00700876-0j 0.00184987-0j -0.000236886-0j 0.00326889-0j -0.000103195-0j 0.00142403-0j 0.000164107-0j -0.00137226-0j -0.000347901-0j 2.54918e-06-0j -2.13162e-05-0j -5.40415e-06-0j 0.000138725-0j -0.000136172-0j -0.000252604-0j -0.00116001-0j -0.000294091-0j 0.00113867-0j 0.00211227-0j 2.23053e-06-0j 0.00028868-0j -7.41933e-06-0j 0.00053551-0j -0.000178921-0j -0.000180469-0j -1.86517e-05-0j 6.20403e-05-0j 0.000250526-0j -4.72864e-06-0j 0.00149613-0j 0.00150908-0j 9.20047e-07-0j 1.57287e-05-0j 0.000313038-0j 0.000379304-0j 0.000382587-0j -0.00209489-0j -0.000127827-0j -7.69342e-06-0j -0.000531104-0j -0.00261762-0j -0.000115937-0j -1.95046e-06-0j 0.00106889-0j -0.000663627-0j -3.83888e-05-0j 0.000969462-0j 0.000270988-0j 0.000245781-0j 0.000321007-0j 8.13827e-05-0j 
0.0036195-0j -0.00139915-0j -0.000856798-0j -0.00122425-0j -0.000504978-0j -0.000153855-0j 0.000524538-0j -0.000141905-0j -0.000143376-0j -0.000124167-0j -0.000102433-0j -3.27277e-05-0j -9.8691e-05-0j -1.42448e-05-0j -0.000109231-0j -1.57661e-05-0j 0.000260626-0j -5.75697e-05-0j 3.76182e-05-0j 0.000263327-0j -8.30947e-06-0j 3.8008e-05-0j -0.000100747-0j -3.56194e-05-0j -1.45416e-05-0j -5.87691e-05-0j -5.14122e-06-0j -6.2334e-05-0j -8.48259e-06-0j -8.99714e-06-0j -3.63615e-05-0j -5.24833e-06-0j -9.4858e-06-0j -1.36916e-06-0j 0.0216833-0j -1.31055e-05-0j -1.09213e-06-0j 0.0236634-0j -1.43023e-05-0j -1.19186e-06-0j 0.0183296-0j 0.0185195-0j -0.0505004-0j -1.10785e-05-0j -9.23208e-07-0j -1.11933e-05-0j 3.05227e-05-0j -0.062491-0j -9.32776e-07-0j 0.0138036-0j 2.54356e-06-0j -0.0364531-0j 0.0119543-0j 3.77699e-05-0j -8.343e-06-0j 0.0170811-0j 3.1475e-06-0j 2.20325e-05-0j -7.22525e-06-0j 0.00854057-0j -6.9525e-07-0j 0.00704561-0j 1.83604e-06-0j -6.02104e-07-0j -1.03239e-05-0j 0.00862907-0j -5.16197e-06-0j -8.60328e-07-0j -4.25841e-06-0j 0.00389903-0j -4.30164e-07-0j -5.21546e-06-0j -3.54867e-07-0j 0.000859655-0j -2.3566e-06-0j -4.34622e-07-0j -1.96383e-07-0j -5.19581e-07-0j -4.32984e-08-0j 
