0.0292744-0.00791915j 0.0223568-0.0439307j 0.0110709-0.125623j 0.0247518-0.0160913j -0.0288945+0.032176j 0.00703455+0.0605377j -0.120192-0.0200783j 0.0745833+0.214804j 0.0187435-0.0478444j -0.0194838-0.0104142j -0.0313536+0.00649946j 0.0152376-0.00332626j -0.0275833+0.0361648j -0.00595619-0.0102238j -0.0168654+0.0330822j -0.00642836-0.00397635j 0.0255836-0.0432282j 0.0244435+0.0170174j 0.00662168+0.00815083j 0.0283993-0.00945392j -0.00662812-0.00661054j -0.000911787-0.0173627j -0.0101576+0.0366134j 0.0102467+0.0130285j -0.00530912+0.0306551j -0.00712671+0.0151825j 0.00447253+0.000213622j -0.0254946+0.0162079j 0.00427189+0.0267947j 0.00604487-0.00882755j 0.0112081+0.0419434j 0.0327748-0.0263648j 0.00385076-0.0489916j 0.0320913-0.058902j 
-0.0125383+0.0292675j -0.0263715+2.2639e-05j -0.0824317-0.134682j -0.0295206-0.106694j -0.0539269-0.160202j -0.132147-0.278844j 0.0292808+0.0961496j 0.0520856+0.11451j -0.0106483+0.0446042j -0.000119083-0.0043941j -0.0122973+0.027682j 0.00977627+0.0496636j 0.0300693-0.0140766j 0.0243179+9.09315e-05j -0.0194885-0.0260473j -0.0355991+0.0211126j -0.0207831-0.018901j -0.0332844+0.0240575j -0.0215323+0.00745565j -0.00627543+0.0100099j -0.0196712+0.0494227j -0.0116655-0.017529j -0.0101619-7.46649e-06j -0.0144336-0.0267109j -0.0225313+0.00553328j 0.00816306+0.0249381j -0.00841843-0.0182727j 0.0271807+0.00118011j 0.0164022+0.00285848j 0.00506414-0.00460352j 0.017494+0.00855106j -0.0157472+0.00382999j 0.00797144-0.000178373j -0.0104095-0.00912374j 
0.0334345-0.0662929j 0.04229+0.07725j -0.0506729+0.0302166j -0.178132-0.290197j -0.13945-0.0080151j 0.226209+0.0511998j 0.0336802+0.0175532j 0.146786+0.027625j -0.00551704+0.0477427j 0.055532+0.0920967j -0.0487212-0.0424812j 0.041635-0.00680498j -0.0542363-0.0566899j -0.014177-0.020041j -0.0158646-0.0397343j 0.019768-0.00710327j -0.0258647+0.0113183j 0.0206616-0.0213305j 0.0223466+0.00871417j -0.00768202+0.0247877j -0.000426034-0.0154873j -0.00693992-0.0252984j 0.00379035-0.0213705j 0.00671215-0.024468j 0.0117073-0.00657132j -0.00434263-0.0269433j -0.0236857-0.00261739j 0.00550871-0.0186705j 0.0266839+0.0132579j -0.0144582+0.0300683j 0.0248759-0.0152099j 0.017304-0.00227077j -0.0280783-0.00784739j -0.0175514+0.0286616j 
-0.0636116-0.0355728j -0.0194611-0.0125265j -0.101538+0.020275j -0.133044+0.0264731j 0.0798717+0.0453978j -0.126295+0.264429j 0.0754125-0.04862j 0.131887+0.0281858j 0.0462455-0.0259743j -0.000317396-0.0126523j 0.0339062-0.0654047j -0.0650228+0.0075316j 0.0390275+0.023596j 0.00915727+0.0303416j -0.00622171+0.0118271j 0.016013-0.0172585j -0.0319107+0.0148324j -0.00782616+0.0096691j 0.0136081-0.0392797j 0.00603366-0.0291512j 0.0334741-0.0328554j -0.0247811-0.036582j 0.0172872+0.0073188j 0.00583499+0.0161151j 0.0215303-0.00107601j -0.00950729-0.0104055j 0.0100022-0.0374272j -0.0125107-0.0207025j 0.0160825-0.00482795j -0.0196175-0.00206107j 0.0157106+0.0128415j -0.0243642+0.00407208j 0.0215635+0.00070483j -0.0161733+0.00537231j 
0.0379728-0.0225861j -0.0151175-0.0595742j -0.0699379-0.0960658j 0.00798604+0.104512j -0.0141584+0.0869459j 0.0981873-0.164797j 0.0333186+0.00573804j 0.100379+0.0976461j -0.0617121-0.0390117j -0.0102338-0.0338112j -0.0353146-0.0338772j 0.0408559-0.0258163j 0.0235334+0.0524869j -0.0756558-0.0105501j 0.010359-0.0444914j 0.0382233+0.0112971j 0.0177247-0.0330732j 0.0276386+0.011748j 0.00818896-0.0110929j -0.0239346-0.015083j 0.00874951+0.0228841j -0.0285596-0.00768406j 0.0234545-0.00126019j -0.000283118-0.0411475j 0.0278314+0.014798j 0.00813965+0.00563455j -0.0076173+0.00101025j -0.00342512-0.0148098j 0.0160906+0.0110762j -0.0195319-0.0101271j 0.0101685+0.0030105j -0.00459123-0.0165848j -0.0057762+0.018452j -0.0322893+0.000770489j 
0.0512574-0.0164955j 0.0353208+0.0737421j -0.069848+0.0340843j -0.150454-0.166446j -0.170322-0.04699j -0.182275+0.089256j 0.0740513-0.00172608j 0.0854169-0.0085107j 0.0621692+0.0604647j 0.0254119+0.0691758j 0.0016335-0.0202441j 0.0604277+0.00465969j -0.000394519-0.0463095j -0.0341395+0.0372419j 0.0324982-0.0208528j 0.000358069-0.0191344j 0.0282271+0.00103673j 0.00928469+0.0100137j 0.049812+0.0318631j 0.000598963-0.00622943j -0.00669042+0.000612033j -0.0262428+0.00379739j 0.0187017-0.00428058j 0.00299926+0.0339173j -0.00739438-0.00867002j 0.00918224-0.0296134j 0.0266502+0.000724008j 0.0184667-0.00592097j 0.00699744-0.00512749j 0.00182912+0.0162515j 0.0111205-0.00736357j 0.0166765+0.0060712j -0.0177499-0.0102834j -0.00749128+0.0132054j 
0.00437113+0.0415031j 0.00615458-0.0838395j -0.145354+0.0217456j -0.0147823+0.324257j -0.100352+0.0438921j -0.0581974+0.0235339j 0.0783251-0.0614235j 0.198803+0.0556032j -0.014113-0.0478815j -0.0418356-0.116258j 0.0117225-0.0424589j 0.017544+0.0356318j -0.0130139+0.0244287j 0.0276125+0.00457499j -0.0240494+0.0188555j -0.00090923-0.000816759j -0.0281044+0.0354852j -0.0146123+0.0310494j 0.0553278+0.0293205j 0.00481718-0.0099517j 0.0131078+0.0185224j -0.0086072+0.0289187j 0.00560081-0.0149927j -0.00905362+0.00555187j 0.00237627-0.00412519j 0.00154473-0.00485198j 0.0018995+5.53787e-05j 0.0222081+0.000761077j 0.0291514-0.023948j -0.0236247-0.0053328j 0.02684-0.00723718j -0.00478024+0.00705037j -0.00758672-0.0043904j -0.0344401+0.00583192j 
0.148195+0.0421008j -0.0365817+0.102876j -0.00287568+0.0487432j 0.308934-0.0926678j -0.0957373-0.128832j -0.0173412+0.00703536j -0.00788367-0.0102957j 0.0161199-0.0807189j -0.0756814-0.00324025j -0.110051-0.0136185j -0.00360141+0.00602168j 0.0709428+0.0580286j 0.00515946-0.0751042j -0.032692+0.0236908j 0.0253185-0.0190014j 0.0434244+0.0207471j 0.0132906+0.0171364j 0.0452556+0.027076j 0.0202201+0.00161889j -0.0113468+0.0322342j -0.00303312-0.0166865j 0.032172-0.0232155j 0.00771667-0.000796993j 0.00882608+0.00512807j 0.00927368-0.0311224j 0.037382-0.00662837j 0.00086632-0.00277703j 0.0279142-0.0062051j -0.0171564-0.0123027j -0.0296357+0.0291174j 0.00628439-0.0113519j 0.0342048+0.0228803j -0.022363-0.0216098j -0.0153392+0.0170445j 
0.0230054+0.0185792j 0.163761+0.00908176j 0.0914301-0.03031j -0.172426-0.0176041j -0.226593-0.106467j 0.0462674-0.0232541j -0.0129239-0.0290342j -0.162582-0.072722j 0.0574887+0.00855934j 0.0669048+0.0287946j 0.0444571+0.0108596j 0.0400822+0.0729547j -0.11023-0.0361715j 0.0253575+0.0143194j -0.0217134+0.000135456j 0.0161313-0.00998488j -0.0014249-0.033793j 0.00702783-0.00808908j -0.00506571-0.0374455j 0.0364231-0.0115307j -0.0145294+0.00367049j -0.00400958+0.0117969j -0.00750351+0.0118119j 0.00694811+0.00474665j -0.0235171+0.000883394j -0.00771235+0.010922j -0.0163018+0.0043677j 0.00725706-0.00189601j 0.00765921-0.00353057j 0.0296188+0.000640651j -0.00366559+0.000124167j 0.0364518-0.00466128j -0.0305061+0.00318987j 0.0433642-0.00952086j 
-0.128446+0.0515619j 0.0318246+0.100372j -0.0497051+0.0376456j -0.178143-0.15162j 0.243688-0.0489511j 0.0352627+0.00317254j 0.0657023+0.0276721j 0.0977906-0.0591628j 0.00816688+0.0167901j 0.0260691+0.0764134j 0.00593766-0.0121749j -0.108197-0.00764789j 0.0264161-0.0238224j 0.028078-0.0178544j -0.0610174-0.0217769j 0.00129904+0.0353148j -0.0106937+0.00885094j -0.00411627+0.0517021j -0.00363973+0.0193175j 0.00306791+0.00740584j 0.00512733-0.0190284j -0.0257218+0.0176226j -0.00415498-0.00889823j -0.00214652+0.00805626j 0.00672953-0.0148773j -0.020391+0.00961564j 0.011914-0.00474364j -0.0235713+0.0132398j 0.0124773-0.00831745j -0.00304754+0.0142614j -0.0108522-0.00809964j -0.0275226+0.0342692j 0.0149078-0.0260034j 0.00194376+0.0146577j 
-0.0429604-0.182463j -0.0136776+0.0480732j -0.0557885-0.0836758j 0.130606-0.149267j -0.0236077+0.208958j -0.00139923+0.0344243j -0.0453372+0.0373983j 0.000939493+0.0724743j -0.0292788-0.00209675j -0.0424945+0.0405857j -0.00179477-0.00922165j 0.0340859-0.068726j 0.00423522+0.0224874j 0.0373893+0.0366412j -0.0129305-0.0562869j -0.0261327-0.0438486j -0.0132998+0.00863807j -0.0131539-0.0201236j -0.00604403-0.00268831j -0.010056-0.0267708j -0.000413394+0.00982697j 0.00170037-0.03012j -0.00598461+0.000263726j -0.00712508-0.0111737j 0.00056208+0.0258422j -0.0150126-0.0327728j -0.010342+0.00798324j 5.70831e-05-0.0228696j 0.00689249+0.0390067j -0.000702046-0.0035265j 0.0112763-0.00482972j -0.0140663-0.0318068j 0.0123895+0.0206064j -0.00720067+0.00403501j 
