0.112184+0.0170158j -0.0393321-0.0134033j 0.136859+0.0179079j -0.0311085+0.0268135j 0.103806+0.00323246j 0.019591-0.0521742j -0.163385+0.00916863j 0.0300347+0.125639j -0.0222699-0.047979j 0.103596-0.0733004j 0.0193278-0.0810412j 0.0286319-0.0321583j -0.0181591+0.0298801j -0.117113+0.00740593j 0.063366-0.0758506j 0.1118+0.012207j 0.0463239+0.00333724j -0.0424447+0.0391586j 0.049154+0.0560228j 0.0856217-0.0250039j -0.0697283-0.00106346j -0.0606749+0.0428985j 0.0668706-0.0850817j -0.116021+0.0031692j 0.0177713+0.0230574j -0.0256685-0.0108509j 0.0113132+0.00848682j -0.0629581+0.00825452j 0.0224466+0.156294j 0.0601945-0.0039127j 0.0866921+0.0327537j 0.0367778-0.00216156j 0.0262697-0.0514265j -0.0708393-0.0626716j -0.0641156-0.102104j 0.022968+0.0399903j 0.084161-0.0760632j 0.00617786-0.0505405j -0.0141136+0.190475j -0.390391-0.103518j 
-0.0753226+0.028044j 0.0211866-0.00661407j 0.0324934+0.0166763j 0.0291339+0.00800673j 0.00780534-0.0249041j -0.0400942+0.0117729j -0.0175322+0.00804377j 0.015122-0.00723252j -0.00939124+0.0378721j -0.00355497-0.00425788j 0.000472721-0.0128847j -0.0552272+0.0177542j 0.0293482-0.00505966j 0.034722+0.0322316j -0.0123711-0.00750519j 0.00886192+0.0141555j 0.00320894+0.00382677j -0.0325224+0.00964947j 0.0098449-0.000899736j 0.0293273-0.00678855j 0.0211915-0.0188083j 0.00760206+0.0347474j -0.0577323-0.0104936j -0.0325362-0.00601255j -0.0067294-0.00802969j -0.010894-0.00459288j -0.0113954-0.00437677j -0.0149194+0.0812292j 0.0541804+0.0213546j -0.053736+0.0127367j -0.00850378+0.0147196j -0.011415-0.0336255j 0.0135334-0.0298248j -0.00257793-0.0262076j 0.00270426-0.0417929j -0.01832-0.0380875j 0.0101668-0.0307015j 0.0289376-3.14062e-05j -0.0314939+0.0369611j -0.0554977-0.0155264j 
-0.0152123+0.0117187j -0.00800176-0.0179209j 0.00326666+0.026684j 0.0162513+0.00251769j 0.00543571-0.0163701j -0.024651-0.013789j -0.00439954-0.00263134j -0.00135991+0.0123667j 0.0161518+0.0335286j -0.017003-0.000455386j 0.00739648+0.0152492j 0.00908736-0.0321068j -0.0102872-0.0129772j -0.0143107+0.00420596j 0.0085415+0.00944928j 0.00381522+0.0131265j 0.028046+0.000677505j 0.0202555+0.0173703j 0.0385926-0.0369705j 0.0115955+0.0333974j -0.0232756+0.0437207j 0.0231471-0.0381063j 0.0266443-0.0275866j -0.0170494-0.0162879j -0.0172244+0.00349987j -0.00472356+0.0165376j 0.00186138+0.0114932j 0.00203075+0.0167454j -0.0222666-0.0240392j -0.00771204-0.0430297j -0.0250271-0.00169743j 0.00679973-0.00784681j 0.00665717+0.011343j 0.0063166+0.00086325j 0.0145898+0.000607012j 0.00382343+0.0111114j 0.0115813-0.00697671j -0.00581707-0.00707226j 0.00378521+0.00996882j -0.00701641-0.00944249j 
-0.00484065-0.0128024j -0.021342+0.0194193j -0.000686045-0.000350805j -0.00715558+0.0347712j 0.0237936+0.0183553j 0.0169801+0.0250003j 0.00369015+0.00503423j -0.00822336-0.000287097j -0.0327258-0.00826343j 0.00711066+0.0126249j -0.00320694+0.0014183j -0.0378907+0.0211431j -0.00869198-0.0260876j 0.0140774-0.00498408j 0.0244247-0.0215258j -0.0217634-0.0238744j -0.00348628-0.00145474j 0.00707618+0.0143261j 0.0215809+0.0166863j -0.00252824-0.036603j -0.0277154+0.0344495j -0.0077647+0.0159267j -0.0564752+0.0648083j -0.0213047-0.0096315j -0.00512957-0.0500399j 0.00132573-0.00213279j 0.00889578-0.0236127j -0.00502767+0.00872082j -0.0235521-0.0557367j -0.0390599-0.025578j -0.047171+0.0162287j -0.0301707-0.00303729j -0.0145734+0.0418826j -0.0173058-0.0375086j 0.0284205+0.00139966j -0.004456+0.0424107j -0.0122811-0.00133231j 0.0131358-0.00557044j 0.0286089+0.00318614j 0.0196459+0.0234546j 
0.0151552+0.00915185j 0.0066902+0.0181902j 0.00206737+0.0151013j -0.00144978+0.00502575j 0.0254605-0.0056745j 2.38647e-05-0.0423661j -0.00754152-0.0253424j 0.0125795+0.0138097j -0.0179305+0.00209877j 0.021643-0.00926098j -0.0296932+0.0310453j -0.000166081+0.0332581j -0.0399271-0.0240454j 0.0206175+0.00249959j -0.00633025+0.0167172j -0.00852578-0.0162921j -0.0125429-0.0145294j 0.0457131+0.00646604j 0.040429-0.0375781j 0.0459038+0.0315942j -0.00268745+0.0633864j 0.0100937-0.0706728j -0.0189983+0.00165817j -0.00626936-0.032504j -0.0274483-0.024473j -0.00714747+0.0106227j 0.00285165+0.00234884j -0.00914479+0.0263233j -0.0143148-0.0431867j -0.0351726-0.00775407j -0.0449385+0.00331542j -0.0204493+0.00810981j -0.0242121+0.0247427j -0.010822-0.0201979j 0.00673456+0.0107719j -0.0173514+0.0324963j -0.0149712+0.0126828j 0.0100239+0.00172703j 0.0201661-0.00912899j 0.0344368+0.0230495j 
0.0535849+0.0199353j -0.0111829-0.0101406j 0.0157432+0.00452099j -0.0393105-0.0363184j -0.0440299+0.0198989j 0.0315485+0.035363j 0.0170229-0.0313894j -0.0484216-0.0309307j 0.034891-0.0489935j 0.0147597+0.0135814j 0.0120546+0.0106791j 0.00229787+0.0171579j -0.0261702+0.0108126j 0.000414696-0.00115091j -0.0494945+0.0253713j -0.0434849-0.010771j -0.00765215-0.0324094j -0.00756784-0.033691j -0.00315838-0.0140901j -0.0475937+0.0633294j -0.00877619+0.0412736j 0.0102342-0.00590436j -0.0102945+0.0197573j 0.0512369-0.00107346j 0.0806438-0.0562729j -0.0110351+0.00566181j -0.00871939+0.00991496j -0.0149628+0.060167j -0.022184-0.104692j -0.00623737-0.0287131j 0.0200652-0.0400423j 0.0182645+0.0327379j 0.0111899+0.0346685j 0.0306812+0.0775631j -0.0146259+0.0083943j 3.88985e-05-0.00240577j -0.0528828+0.00131646j -0.0202155+0.0302994j -0.00967894-0.0688873j 0.106341+0.0470401j 
0.0188366+0.0260406j -0.0177709+0.0165174j 0.0629355+0.00568624j 0.0100245-0.0376422j 0.0386677-0.0398643j -0.0214013+0.0177163j 0.00385302+0.0158564j 0.0241231+0.0190176j 0.0247404-0.0254484j -0.00582808-0.0115628j 0.0350632+0.0213184j -0.0454824-0.00898857j -0.0213094-0.043028j -0.0326348+0.021355j 0.00912538-0.0521113j 0.0196722-0.0147533j 0.023366-0.000940638j 0.0139237+0.00826102j -0.0447843-0.0380106j -0.0418181+0.0406496j 0.0471816+0.062383j 0.0358632+0.0608476j -0.0277003+0.00833723j -0.000721453-0.0310871j 0.0711749-0.0434123j 0.00888772-0.0229514j 0.00182483-0.037964j 0.0192814+0.00155999j -0.0349288-0.0524868j -0.0260302-0.0436083j 0.00637157+0.0261156j -0.0369099-0.000433212j 0.0132642+0.00152642j 0.0195937-0.00424384j -0.002093-0.0491996j -0.0288672+0.00253219j -0.0376722-0.0157627j 0.023695+0.00872516j 0.0180111-0.00379116j 0.0170511+0.0331713j 
-0.0938141-0.0164007j 0.0340455+0.0197859j 0.00849021+0.0429961j 0.028472+0.0619929j 0.0668403+0.0197821j 0.00614476-0.0330376j 0.0591303+0.00513317j -0.00979742+0.0439615j -0.0635428+0.0392389j 0.0188449-0.00765044j 0.021818-0.00678114j -0.0192325+0.00142854j 0.0168728+0.00887611j 0.0155512-0.00888561j -0.0201198-0.048527j -0.0187067+0.0127656j -0.0653553+0.0287499j -0.0847846+0.0304983j -0.0906827+0.0175856j 0.0360155-0.0146296j 0.00629815-0.0430116j 0.00697895+0.0317902j -0.035199+0.0548212j 0.00887696+0.0406362j -0.0067281-0.00555991j 0.00761314-0.0184095j 0.00281152-0.0222164j 8.61704e-05-0.00984104j 0.0324849-0.0311803j 0.0173309+0.0434529j 0.00778327-0.00871867j 0.00541533+0.0162001j -0.0217545+0.0130599j 0.00597517+0.0062798j 0.00432547+0.00977407j 0.00849576+0.00334257j 0.00198561+0.0157469j 0.0109276-0.0102633j 0.0120342+0.000828658j 0.0138745+0.013029j 
0.015057-0.0447129j 0.0192648+0.01367j -0.0745692-0.0316008j 0.0402435+0.0018966j 0.0133131-0.0707848j -0.0568127+0.00370557j 0.0185315+0.0330012j 0.0349428-0.00118266j 0.0268754+0.0353907j -0.0202138+0.038644j 0.00801026+0.0305212j -0.0150923-0.00752245j -0.0617854-0.0213684j -0.00466482+0.0063277j -0.0238222-0.0298095j 0.0521777+0.00468782j -0.0560413-0.00877615j 0.0402738+0.00880498j -0.0294858-0.0214805j -0.00340139+0.0162804j 0.0411151-0.0291654j 0.0324221-0.0554295j -0.0197393+0.0338678j -0.000636294-0.034305j 0.00528504+0.0715178j -0.00882029-0.0257395j -0.0180623-0.0192508j 0.0251831-0.0303386j -0.0126195-0.0808399j 0.0142967-0.0117044j -0.028799+0.0405791j -0.000698576+0.0190496j -0.0514076+0.00851538j 0.0197417-0.00580099j 0.00932493-0.00602154j 0.0012105+0.0217068j -0.00837775+0.00607172j -0.0118752-0.00431787j 0.0442696-0.015909j 0.0506396+0.0442339j 
-0.0487186-0.0924294j 0.0157101+0.0115195j -0.181329+0.0369663j -0.00110528-0.0312053j -0.0946191-0.0162415j 0.0222651+0.0283806j 0.0323213+0.073104j 0.00366947-0.0227469j 0.0567512-0.00737507j 0.0392096+0.0517694j -0.06841+0.0204754j 0.0390165+0.0253583j -0.00476337+0.00622449j 0.0370071-0.00674821j 0.00429006-0.0358049j -0.0503333-0.0158486j 0.0235261-0.0468681j 0.0418564-0.0502858j 0.0398254+0.0212805j -0.0424582-0.0417195j -0.0164798-0.0403673j 0.0608094-0.000938851j 0.042041+0.0336622j -0.0148377+0.00310466j -0.00999906+0.0341387j 0.00773094+0.0590335j 0.0194991+0.0652818j 0.0245427-0.0184714j -0.00326527-0.0210062j -0.0327738-0.0316287j -0.0207057+0.0160138j 0.00795786+0.0126973j -0.0223935-0.0219557j 0.0231251+0.00509443j -0.00452768+0.010223j 0.00515515+0.00277748j -0.0348557-0.0206038j -0.0310082+0.0315255j -0.023437-0.0507767j 0.0590833+0.0335837j 
-0.197722+0.0694448j 0.0669443-0.0289261j 0.030164+0.120203j 0.100086-0.0331361j -0.0214795-0.0194098j -0.0611814-0.00283142j 0.0656381-0.022035j 0.0619571-0.00555891j 0.0371872+0.055958j 0.0169456-0.0309233j 0.0246771-0.00697337j -0.0455415-0.0132441j 0.0635146+0.0639322j 0.0788075+0.0141557j -0.045758-0.0432653j 0.0254509-0.013854j -0.0397187+0.0589609j 0.02396+0.0586462j -0.0172582-0.0333048j 0.0163688-0.0286929j 0.02627-0.0405197j 0.0119657+0.0127461j -0.000792193-0.0184161j -0.0597012-0.00965644j -0.0236218+0.0229441j 0.014527-0.012674j -0.00574922-0.00947976j 0.0265937+0.00803449j 0.00966078+0.0504112j -0.0469601-0.0258188j 0.00237057-0.0224483j 0.00473956-0.0596394j 0.0413708-0.052049j 0.0209237-0.0262823j -0.0146562-0.0147958j 0.00201052-0.0850268j -0.0260568-0.042976j -0.0068748+0.062388j -0.0606877-0.0375195j 0.00818117-0.0101278j 
