-0.216755-0j -0.229691-0j 0.164635-0j -0.172976-0j -0.148265-0j 0.176432-0j -0.107023-0j -0.137267-0j -0.132612-0j -0.160144-0j 0.286681-0j 0.134752-0j -0.149801-0j -0.0577991-0j -0.103785-0j 0.117621-0j -0.12358-0j 0.111585-0j 0.31286-0j -0.077357-0j -0.117238-0j 0.0849035-0j -0.0749006-0j -0.028209-0j 0.130183-0j 0.0891301-0j 0.233804-0j -0.0789686-0j -0.0873841-0j -0.0540661-0j 0.244852-0j 0.221226-0j 0.0469855-0j 0.0396134-0j 0.103985-0j -0.0127462-0j -0.0416201-0j 0.26411-0j -0.0446023-0j 0.182502-0j 0.159689-0j 0.151121-0j 0.049527-0j 0.0237362-0j 0.21788-0j -0.0164552-0j -0.00544205-0j 0.107591-0j 0.093152-0j 0.109085-0j 0.0113053-0j 0.0497343-0j -0.00224473-0j 0.0113657-0j 0.000890394-0j -0.000126143-0j 
-0.0018784-0j 0.00191171-0j -0.00148363-0j 0.00149783-0j 0.00249819-0j 0.001527-0j -0.000819503-0j -0.00118955-0j -0.00114922-0j -0.00259154-0j -0.000849858-0j 0.00121338-0j 0.00124679-0j -0.00234817-0j 0.000863802-0j 0.0020609-0j -0.00208063-0j -0.00100557-0j 0.000890751-0j 0.00327723-0j 0.00101519-0j -0.000676056-0j 0.00126204-0j -0.00254581-0j -0.0021907-0j 0.000771413-0j -0.000414775-0j 0.0011757-0j -0.00355548-0j -0.000413998-0j 0.000725287-0j 0.00127512-0j -0.00198498-0j 0.00279622-0j -0.00182055-0j -0.00199507-0j -0.00282298-0j 0.000449991-0j 0.00352317-0j -0.00254016-0j -0.000418288-0j 0.000371909-0j 0.00192791-0j -0.00222759-0j -0.000750937-0j 0.00725991-0j -0.0013031-0j 0.000101664-0j 0.00251708-0j -0.000122001-0j 0.00357777-0j -0.000918832-0j 0.00147969-0j -0.000930981-0j -0.000421531-0j -9.3054e-05-0j 
-0.00759148-0j 0.0156114-0j 0.00576607-0j -0.00535297-0j -0.00519272-0j -0.0119915-0j -0.0143257-0j -0.00480752-0j -0.00464451-0j 0.0108845-0j 0.0100405-0j 0.00417009-0j 0.0101815-0j -0.00247694-0j 0.00705397-0j 0.00411948-0j -0.00382435-0j 0.00390808-0j -0.0212642-0j -0.0027093-0j -0.0036281-0j 0.0113648-0j -0.00262326-0j 0.012411-0j -0.00884813-0j -0.0060579-0j 0.00818859-0j -0.0105704-0j 0.00593923-0j -0.00723707-0j 0.00757729-0j 0.00774804-0j 0.00201353-0j 0.00138739-0j 0.00321796-0j 0.0192787-0j -0.00128799-0j -0.0179507-0j -0.0019114-0j -0.0124041-0j 0.0213753-0j 0.00529274-0j 0.00662949-0j -0.0104431-0j 0.00674259-0j 0.00723974-0j 0.0183544-0j -0.00731264-0j 0.00399196-0j 0.0146016-0j -0.0170994-0j -0.0218814-0j 0.0139587-0j -0.0383332-0j -0.00912439-0j 0.00285687-0j 
-0.00162675-0j -3.41188e-05-0j 0.00375604-0j 0.00124679-0j -0.00111273-0j 7.96679e-05-0j 0.00155872-0j -0.00103018-0j -0.000995252-0j -2.37882e-05-0j -0.000625253-0j -0.00295257-0j -2.22518e-05-0j 0.001267-0j -1.54165e-05-0j 0.00268344-0j 0.000890751-0j 0.00254574-0j -1.35054e-05-0j -0.000580564-0j 0.00084504-0j -0.00375901-0j -0.000562128-0j 0.00082588-0j 5.87842e-05-0j 4.02468e-05-0j -0.00442486-0j 0.00115013-0j -1.29802e-05-0j 0.000787438-0j 0.000512884-0j -0.000482494-0j -0.00313095-0j 0.00090375-0j -0.00227844-0j 0.000466939-0j 0.000299994-0j -9.8931e-05-0j 0.000977717-0j -7.87814e-06-0j 0.000675885-0j -0.00521535-0j -0.00219275-0j -0.00211251-0j 0.00396025-0j 0.000481764-0j 0.000239397-0j -0.000105862-0j 0.00059341-0j 0.00730574-0j -0.00125898-0j 0.00367184-0j 0.000115259-0j 0.000145298-0j -0.000158891-0j 9.26089e-06-0j 
0.000156534-0j -0.000159309-0j 0.000123636-0j -0.00012482-0j -0.000208182-0j -0.00012725-0j 6.82919e-05-0j 9.91294e-05-0j 9.57681e-05-0j 0.000215961-0j 7.08215e-05-0j -0.000101115-0j -0.000103899-0j 0.000195681-0j -7.19835e-05-0j -0.000171742-0j 0.000173385-0j 8.37971e-05-0j -7.42292e-05-0j -0.000273103-0j -8.45992e-05-0j 5.6338e-05-0j -0.00010517-0j 0.000212151-0j 0.000182559-0j -6.42844e-05-0j 3.45645e-05-0j -9.79747e-05-0j 0.00029629-0j 3.44998e-05-0j -6.04406e-05-0j -0.00010626-0j 0.000165415-0j -0.000233018-0j 0.000151712-0j 0.000166256-0j 0.000235249-0j -3.74992e-05-0j -0.000293598-0j 0.00021168-0j 3.48573e-05-0j -3.09924e-05-0j -0.000160659-0j 0.000185632-0j 6.25781e-05-0j -0.000604993-0j 0.000108592-0j -8.47198e-06-0j -0.000209756-0j 1.01667e-05-0j -0.000298147-0j 7.65694e-05-0j -0.000123308-0j 7.75818e-05-0j 3.51276e-05-0j 7.7545e-06-0j 
0.00242552-0j -0.0100267-0j 0.00191576-0j 0.0201576-0j 0.0016591-0j -0.00800895-0j -0.0150444-0j 0.00153603-0j 0.00148394-0j -0.00699078-0j 0.00109739-0j 0.0163295-0j -0.00653928-0j -0.0120035-0j -0.00453054-0j 0.00136869-0j 0.0144013-0j 0.00129845-0j -0.00467188-0j 0.000865633-0j 0.0136623-0j -0.012411-0j 0.000838146-0j 0.0154316-0j -0.00590952-0j -0.00404597-0j 0.000535583-0j -0.0111007-0j -0.00381458-0j -0.00760015-0j 0.00976079-0j 0.000846831-0j -0.010147-0j 0.000460957-0j 0.0126011-0j 0.0199462-0j 0.00485018-0j -0.00236015-0j -0.00926287-0j -0.00272527-0j -0.00767891-0j 0.000246993-0j -0.00723974-0j 0.0135026-0j 0.0051977-0j 0.00900176-0j -0.000645026-0j -0.000533215-0j -0.00661771-0j -0.00223968-0j 0.018397-0j 0.00556956-0j -0.0248901-0j -0.000460829-0j -0.0395964-0j -0.0309423-0j 
0.000135562-0j 2.84323e-06-0j -0.000313003-0j -0.000103899-0j 9.27271e-05-0j -6.639e-06-0j -0.000129894-0j 8.58486e-05-0j 8.29376e-05-0j 1.98235e-06-0j 5.21044e-05-0j 0.000246048-0j 1.85432e-06-0j -0.000105584-0j 1.28471e-06-0j -0.00022362-0j -7.42292e-05-0j -0.000212145-0j 1.12545e-06-0j 4.83803e-05-0j -7.042e-05-0j 0.000313251-0j 4.6844e-05-0j -6.88234e-05-0j -4.89868e-06-0j -3.3539e-06-0j 0.000368739-0j -9.58439e-05-0j 1.08169e-06-0j -6.56198e-05-0j -4.27403e-05-0j 4.02078e-05-0j 0.000260913-0j -7.53125e-05-0j 0.00018987-0j -3.89116e-05-0j -2.49995e-05-0j 8.24425e-06-0j -8.14764e-05-0j 6.56512e-07-0j -5.63237e-05-0j 0.000434612-0j 0.00018273-0j 0.000176042-0j -0.000330021-0j -4.0147e-05-0j -1.99497e-05-0j 8.82182e-06-0j -4.94508e-05-0j -0.000608811-0j 0.000104915-0j -0.000305987-0j -9.60494e-06-0j -1.21082e-05-0j 1.32409e-05-0j -7.71741e-07-0j 
0.001342-0j -0.00275973-0j -0.00101931-0j 0.000946281-0j 0.000917951-0j 0.00211982-0j 0.00253245-0j 0.000849858-0j 0.000821041-0j -0.00192413-0j -0.00177493-0j -0.000737175-0j -0.00179986-0j 0.000437865-0j -0.00124698-0j -0.000728228-0j 0.000676056-0j -0.000690858-0j 0.00375901-0j 0.00047894-0j 0.000641363-0j -0.00200904-0j 0.000463732-0j -0.00219397-0j 0.00156414-0j 0.0010709-0j -0.00144755-0j 0.0018686-0j -0.00104992-0j 0.00127935-0j -0.00133949-0j -0.00136967-0j -0.000355944-0j -0.000245258-0j -0.000568861-0j -0.00340803-0j 0.000227687-0j 0.00317327-0j 0.00033789-0j 0.00219275-0j -0.00377866-0j -0.000935633-0j -0.00117194-0j 0.0018461-0j -0.00119193-0j -0.00127982-0j -0.00324463-0j 0.00129271-0j -0.000705685-0j -0.00258123-0j 0.00302278-0j 0.00386813-0j -0.00246757-0j 0.00677641-0j 0.00161298-0j -0.000505028-0j 
-0.000428775-0j 0.00177249-0j -0.000338662-0j -0.0035634-0j -0.00029329-0j 0.00141579-0j 0.0026595-0j -0.000271534-0j -0.000262326-0j 0.00123581-0j -0.000193993-0j -0.00288668-0j 0.00115599-0j 0.00212195-0j 0.000800895-0j -0.000241952-0j -0.00254581-0j -0.000229536-0j 0.00082588-0j -0.000153024-0j -0.00241517-0j 0.00219397-0j -0.000148165-0j -0.00272795-0j 0.00104467-0j 0.000715233-0j -9.46786e-05-0j 0.00196235-0j 0.000674328-0j 0.00134353-0j -0.00172548-0j -0.0001497-0j 0.00179375-0j -8.14864e-05-0j -0.00222759-0j -0.00352602-0j -0.000857398-0j 0.000417219-0j 0.00163746-0j 0.000481764-0j 0.00135745-0j -4.36625e-05-0j 0.00127982-0j -0.00238695-0j -0.000918832-0j -0.0015913-0j 0.000114026-0j 9.42599e-05-0j 0.00116986-0j 0.000395923-0j -0.00325216-0j -0.000984568-0j 0.00439999-0j 8.14638e-05-0j 0.00699972-0j 0.00546988-0j 
-0.000111833-0j 0.000229977-0j 8.49422e-05-0j -7.88567e-05-0j -7.6496e-05-0j -0.000176652-0j -0.000211037-0j -7.08215e-05-0j -6.84201e-05-0j 0.000160344-0j 0.000147911-0j 6.14312e-05-0j 0.000149988-0j -3.64887e-05-0j 0.000103915-0j 6.06857e-05-0j -5.6338e-05-0j 5.75715e-05-0j -0.000313251-0j -3.99117e-05-0j -5.34469e-05-0j 0.00016742-0j -3.86443e-05-0j 0.000182831-0j -0.000130345-0j -8.92413e-05-0j 0.000120629-0j -0.000155717-0j 8.74931e-05-0j -0.000106612-0j 0.000111624-0j 0.000114139-0j 2.9662e-05-0j 2.04382e-05-0j 4.74051e-05-0j 0.000284003-0j -1.89739e-05-0j -0.000264439-0j -2.81575e-05-0j -0.00018273-0j 0.000314888-0j 7.79694e-05-0j 9.76616e-05-0j -0.000153842-0j 9.93277e-05-0j 0.000106651-0j 0.000270386-0j -0.000107725-0j 5.88071e-05-0j 0.000215102-0j -0.000251898-0j -0.000322344-0j 0.000205631-0j -0.000564701-0j -0.000134415-0j 4.20857e-05-0j 
3.57312e-05-0j -0.000147707-0j 2.82218e-05-0j 0.00029695-0j 2.44408e-05-0j -0.000117983-0j -0.000221625-0j 2.26278e-05-0j 2.18605e-05-0j -0.000102984-0j 1.61661e-05-0j 0.000240557-0j -9.63326e-05-0j -0.000176829-0j -6.67412e-05-0j 2.01627e-05-0j 0.000212151-0j 1.9128e-05-0j -6.88234e-05-0j 1.2752e-05-0j 0.000201264-0j -0.000182831-0j 1.23471e-05-0j 0.000227329-0j -8.70554e-05-0j -5.96028e-05-0j 7.88989e-06-0j -0.000163529-0j -5.6194e-05-0j -0.000111961-0j 0.00014379-0j 1.2475e-05-0j -0.000149479-0j 6.79053e-06-0j 0.000185632-0j 0.000293835-0j 7.14499e-05-0j -3.47683e-05-0j -0.000136455-0j -4.0147e-05-0j -0.000113121-0j 3.63854e-06-0j -0.000106651-0j 0.000198913-0j 7.65694e-05-0j 0.000132608-0j -9.50213e-06-0j -7.85499e-06-0j -9.74881e-05-0j -3.29936e-05-0j 0.000271013-0j 8.20473e-05-0j -0.000366666-0j -6.78865e-06-0j -0.00058331-0j -0.000456476-0j 
0.0090088-0j 0.00954643-0j 0.00711549-0j 0.00718922-0j 0.00616219-0j 0.00762532-0j 0.00444811-0j 0.00570508-0j -0.0270056-0j 0.00665593-0j 0.00407591-0j 0.00582394-0j -0.0305061-0j 0.00240225-0j 0.00431353-0j -0.0249081-0j -0.0251662-0j 0.00482268-0j -0.0217946-0j 0.00321512-0j 0.00487266-0j -0.0179796-0j 0.00311303-0j -0.00574458-0j 0.00562646-0j 0.00385217-0j 0.00198925-0j 0.0032821-0j 0.00363186-0j 0.0022471-0j 0.00348119-0j 0.00314529-0j 0.0020307-0j 0.00171208-0j 0.0044942-0j 0.000529757-0j 0.00172982-0j 0.0022471-0j 0.00185376-0j 0.00259473-0j 0.00227039-0j 0.000917375-0j 0.00214054-0j 0.00102587-0j 0.00185376-0j 0.000683913-0j 0.000226183-0j 0.000507674-0j 0.00132439-0j 0.000662196-0j 0.000488611-0j 0.00042315-0j 9.32958e-05-0j 0.000161593-0j 3.84825e-05-0j 5.24276e-06-0j 
-0.00150147-0j -0.00159107-0j -0.00118591-0j -0.0011982-0j -0.00102703-0j -0.00127089-0j -0.000741351-0j -0.000950847-0j 0.00450094-0j -0.00110932-0j -0.000679318-0j -0.000970656-0j 0.00508435-0j -0.000400375-0j -0.000718922-0j 0.00415135-0j 0.00419437-0j -0.00080378-0j 0.00363243-0j -0.000535853-0j -0.000812109-0j 0.00299661-0j -0.000518838-0j 0.00095743-0j -0.000937743-0j -0.000642029-0j -0.000331542-0j -0.000547017-0j -0.00060531-0j -0.000374517-0j -0.000580199-0j -0.000524214-0j -0.000338449-0j -0.000285346-0j -0.000749033-0j -8.82928e-05-0j -0.000288303-0j -0.000374517-0j -0.000308961-0j -0.000432455-0j -0.000378398-0j -0.000152896-0j -0.000356757-0j -0.000170978-0j -0.000308961-0j -0.000113986-0j -3.76972e-05-0j -8.46123e-05-0j -0.000220732-0j -0.000110366-0j -8.14352e-05-0j -7.0525e-05-0j -1.55493e-05-0j -2.69322e-05-0j -6.41376e-06-0j -8.73793e-07-0j 
-0.000919457-0j -0.000974328-0j -0.000726221-0j -0.000733747-0j -0.000628926-0j -0.000778256-0j -0.000453983-0j -0.000582272-0j 0.00275625-0j -0.000679318-0j -0.000415995-0j -0.000594403-0j 0.00311352-0j -0.000245179-0j -0.000440248-0j 0.00254217-0j 0.00256852-0j -0.000492213-0j 0.0022244-0j -0.000328142-0j -0.000497313-0j 0.00183504-0j -0.000317722-0j 0.000586304-0j -0.000574248-0j -0.000393161-0j -0.000203027-0j -0.000334978-0j -0.000370675-0j -0.000229344-0j -0.000355298-0j -0.000321014-0j -0.000207257-0j -0.000174738-0j -0.000458687-0j -5.40681e-05-0j -0.000176549-0j -0.000229344-0j -0.000189199-0j -0.000264823-0j -0.00023172-0j -9.36292e-05-0j -0.000218468-0j -0.000104702-0j -0.000189199-0j -6.98016e-05-0j -2.30847e-05-0j -5.18143e-05-0j -0.00013517-0j -6.75851e-05-0j -4.98687e-05-0j -4.31875e-05-0j -9.52196e-06-0j -1.64925e-05-0j -3.92761e-06-0j -5.35087e-07-0j 
-0.00997092-0j -0.000209126-0j -0.0078754-0j 0.00764203-0j -0.0068203-0j -0.000167042-0j 0.00955398-0j -0.00631437-0j 0.0238726-0j -0.000145806-0j -0.0045112-0j 0.00619076-0j -0.000136389-0j 0.00776592-0j 0.000834069-0j -0.00562646-0j 0.00545973-0j 0.0208885-0j -9.74413e-05-0j 0.0139257-0j -0.0202695-0j 0.00788163-0j -0.00344549-0j 0.00506212-0j 0.000482341-0j -8.43867e-05-0j 0.00861607-0j -0.0275875-0j -7.95605e-05-0j 0.00482649-0j -0.0144813-0j -0.00348119-0j -0.0256904-0j -0.00189492-0j 0.00477727-0j -0.0112002-0j 0.00183877-0j -4.92256e-05-0j 0.00599278-0j -5.68408e-05-0j 0.00487651-0j -0.00101535-0j 0.00459762-0j 0.00442936-0j 0.00197052-0j 0.0029529-0j 0.00146735-0j -1.11212e-05-0j 0.00428145-0j 0.00142232-0j 0.00263975-0j 0.00182702-0j 0.000706466-0j 0.00104832-0j 0.000333152-0j 5.67634e-05-0j 
0.000187683-0j 0.000198884-0j 0.000148239-0j 0.000149775-0j 0.000128379-0j 0.000158861-0j 9.26689e-05-0j 0.000118856-0j -0.000562617-0j 0.000138665-0j 8.49147e-05-0j 0.000121332-0j -0.000635544-0j 5.00469e-05-0j 8.98653e-05-0j -0.000518919-0j -0.000524297-0j 0.000100472-0j -0.000454054-0j 6.69816e-05-0j 0.000101514-0j -0.000374576-0j 6.48547e-05-0j -0.000119679-0j 0.000117218-0j 8.02536e-05-0j 4.14428e-05-0j 6.83771e-05-0j 7.56638e-05-0j 4.68146e-05-0j 7.25249e-05-0j 6.55268e-05-0j 4.23062e-05-0j 3.56683e-05-0j 9.36292e-05-0j 1.10366e-05-0j 3.60379e-05-0j 4.68146e-05-0j 3.86201e-05-0j 5.40568e-05-0j 4.72997e-05-0j 1.9112e-05-0j 4.45946e-05-0j 2.13723e-05-0j 3.86201e-05-0j 1.42482e-05-0j 4.71215e-06-0j 1.05765e-05-0j 2.75915e-05-0j 1.37958e-05-0j 1.01794e-05-0j 8.81562e-06-0j 1.94366e-06-0j 3.36652e-06-0j 8.0172e-07-0j 1.09224e-07-0j 
-1.10593e-05-0j -1.17193e-05-0j -8.73508e-06-0j -8.82561e-06-0j -7.5648e-06-0j -9.36097e-06-0j -5.46056e-06-0j -7.00365e-06-0j 3.31525e-05-0j -8.17092e-06-0j -5.00365e-06-0j -7.14956e-06-0j 3.74498e-05-0j -2.94904e-06-0j -5.29536e-06-0j 3.05776e-05-0j 3.08945e-05-0j -5.9204e-06-0j 2.67554e-05-0j -3.94693e-06-0j -5.98175e-06-0j 2.20721e-05-0j -3.8216e-06-0j 7.05214e-06-0j -6.90713e-06-0j -4.72899e-06-0j -2.44204e-06-0j -4.02916e-06-0j -4.45853e-06-0j -2.75858e-06-0j -4.27357e-06-0j -3.8612e-06-0j -2.49291e-06-0j -2.10177e-06-0j -5.51715e-06-0j -6.50338e-07-0j -2.12355e-06-0j -2.75858e-06-0j -2.27571e-06-0j -3.18533e-06-0j -2.78716e-06-0j -1.12618e-06-0j -2.62776e-06-0j -1.25937e-06-0j -2.27571e-06-0j -8.39583e-07-0j -2.77666e-07-0j -6.23229e-07-0j -1.62585e-06-0j -8.12923e-07-0j -5.99827e-07-0j -5.19465e-07-0j -1.14531e-07-0j -1.98374e-07-0j -4.72418e-08-0j -6.43609e-09-0j 
-0.0078827-0j -0.00835312-0j 0.00598726-0j -0.00629057-0j -0.00539192-0j 0.00641626-0j -0.00389209-0j 0.0146176-0j -0.00482268-0j -0.00582394-0j 0.0104257-0j 0.0049005-0j 0.0159524-0j -0.00210197-0j -0.00377434-0j 0.00427751-0j -0.0044942-0j -0.0118827-0j 0.0113777-0j -0.00281323-0j 0.0124847-0j 0.00308767-0j 0.0186763-0j -0.00102587-0j 0.00473433-0j -0.0222244-0j 0.00850271-0j -0.00287184-0j 0.00930556-0j 0.0134813-0j 0.00890448-0j -0.0235584-0j 0.00170871-0j 0.00144061-0j -0.0110734-0j -0.000463537-0j -0.00151359-0j -0.0281251-0j 0.00474971-0j 0.00663701-0j -0.0170053-0j 0.00549578-0j 0.00180114-0j -0.00252767-0j 0.00792358-0j -0.000598424-0j 0.000579526-0j 0.00391275-0j 0.00338764-0j 0.00396706-0j 0.000411138-0j 0.00180868-0j -8.16338e-05-0j 0.000413336-0j 3.23808e-05-0j -4.58741e-06-0j 
0.00166182-0j 3.48544e-05-0j 0.00131257-0j -0.00127367-0j 0.00113672-0j 2.78404e-05-0j -0.00159233-0j 0.00105239-0j -0.00397876-0j 2.43011e-05-0j 0.000751867-0j -0.00103179-0j 2.27316e-05-0j -0.00129432-0j -0.000139011-0j 0.000937743-0j -0.000909956-0j -0.00348142-0j 1.62402e-05-0j -0.00232094-0j 0.00337826-0j -0.0013136-0j 0.000574248-0j -0.000843687-0j -8.03902e-05-0j 1.40644e-05-0j -0.00143601-0j 0.00459791-0j 1.32601e-05-0j -0.000804415-0j 0.00241354-0j 0.000580199-0j 0.00428173-0j 0.00031582-0j -0.000796211-0j 0.0018667-0j -0.000306462-0j 8.20426e-06-0j -0.000998797-0j 9.47346e-06-0j -0.000812751-0j 0.000169225-0j -0.000766269-0j -0.000738226-0j -0.00032842-0j -0.000492151-0j -0.000244558-0j 1.85354e-06-0j -0.000713575-0j -0.000237053-0j -0.000439958-0j -0.000304503-0j -0.000117744-0j -0.000174721-0j -5.55253e-05-0j -9.46056e-06-0j 
-0.00525513-0j -0.00556875-0j -0.0041507-0j -0.00419371-0j 0.0175728-0j -0.00444811-0j -0.00259473-0j -0.00332796-0j -0.00321512-0j 0.0189808-0j -0.00237761-0j -0.0033973-0j -0.00363186-0j -0.00140131-0j -0.00251623-0j 0.0144968-0j 0.014647-0j -0.00281323-0j -0.00259473-0j -0.0123046-0j -0.00284238-0j -0.00214054-0j 0.00887744-0j -0.000683913-0j 0.016045-0j -0.0022471-0j -0.0011604-0j 0.00935959-0j -0.0138995-0j -0.00131081-0j -0.0020307-0j 0.00896943-0j -0.00118457-0j -0.0353027-0j 0.0128161-0j -0.000309025-0j -0.0356685-0j -0.00131081-0j 0.00528639-0j -0.00993031-0j -0.00132439-0j 0.00261608-0j -0.00819209-0j -0.000598424-0j 0.00528639-0j -0.00261741-0j -0.00013194-0j -0.000296143-0j 0.00377678-0j -0.000386281-0j 0.00139338-0j -0.000246837-0j 0.000266052-0j -9.42626e-05-0j -2.24481e-05-0j -3.05828e-06-0j 
0.00796439-0j -0.0081056-0j 0.00629057-0j -0.00635078-0j 0.00544779-0j -0.00647445-0j 0.00347467-0j -0.014769-0j 0.00487266-0j -0.00565136-0j 0.00360338-0j -0.00514472-0j 0.0154797-0j 0.0099562-0j -0.0036625-0j 0.0044942-0j -0.00453722-0j -0.0124847-0j -0.00377676-0j 0.00284238-0j 0.0126042-0j 0.00286646-0j -0.0188698-0j 0.0107942-0j -0.00477727-0j 0.0224259-0j 0.00175863-0j 0.00256384-0j 0.00902981-0j -0.0120354-0j -0.0030752-0j -0.00814236-0j 0.00841628-0j 0.00151359-0j 0.0116253-0j 0.00845904-0j -0.00152808-0j 0.00558691-0j -0.0224975-0j -0.00220311-0j -0.0051933-0j 0.000811021-0j 0.0016721-0j -0.0276569-0j -0.00163757-0j 0.00629661-0j -0.0161788-0j -0.000431052-0j 0.00548898-0j 0.00051728-0j 0.00780204-0j 0.00389583-0j 0.00322676-0j 0.00394734-0j 0.00178728-0j 0.000394546-0j 
0.00101765-0j 2.13439e-05-0j 0.00080378-0j -0.000779962-0j 0.000696094-0j 1.70487e-05-0j -0.000975099-0j 0.000644457-0j -0.00243648-0j 1.48813e-05-0j 0.000460423-0j -0.000631841-0j 1.39202e-05-0j -0.000792606-0j -8.51268e-05-0j 0.000574248-0j -0.000557232-0j -0.00213192-0j 9.94506e-06-0j -0.00142128-0j 0.00206875-0j -0.000804415-0j 0.000351654-0j -0.00051665-0j -4.92287e-05-0j 8.61268e-06-0j -0.000879374-0j 0.00281563-0j 8.12011e-06-0j -0.000492602-0j 0.00147799-0j 0.000355298-0j 0.00262201-0j 0.0001934-0j -0.000487578-0j 0.00114312-0j -0.000187669-0j 5.02406e-06-0j -0.000611636-0j 5.80129e-06-0j -0.000497707-0j 0.000103629-0j -0.000469242-0j -0.000452069-0j -0.000201116-0j -0.000301379-0j -0.000149761-0j 1.13506e-06-0j -0.000436974-0j -0.000145164-0j -0.000269418-0j -0.000186469-0j -7.21034e-05-0j -0.000106994-0j -3.40022e-05-0j -5.79339e-06-0j 
-0.000207727-0j -4.3568e-06-0j -0.000164071-0j 0.000159209-0j -0.00014209-0j -3.48005e-06-0j 0.000199041-0j -0.000131549-0j 0.000497345-0j -3.03763e-06-0j -9.39834e-05-0j 0.000128974-0j -2.84145e-06-0j 0.00016179-0j 1.73764e-05-0j -0.000117218-0j 0.000113744-0j 0.000435177-0j -2.03003e-06-0j 0.000290118-0j -0.000422282-0j 0.000164201-0j -7.1781e-05-0j 0.000105461-0j 1.00488e-05-0j -1.75806e-06-0j 0.000179501-0j -0.000574739-0j -1.65751e-06-0j 0.000100552-0j -0.000301693-0j -7.25249e-05-0j -0.000535216-0j -3.94775e-05-0j 9.95264e-05-0j -0.000233338-0j 3.83077e-05-0j -1.02553e-06-0j 0.00012485-0j -1.18418e-06-0j 0.000101594-0j -2.11531e-05-0j 9.57837e-05-0j 9.22782e-05-0j 4.10525e-05-0j 6.15188e-05-0j 3.05698e-05-0j -2.31692e-07-0j 8.91969e-05-0j 2.96316e-05-0j 5.49947e-05-0j 3.80628e-05-0j 1.4718e-05-0j 2.18401e-05-0j 6.94066e-06-0j 1.18257e-06-0j 
0.00131378-0j 0.00139219-0j -0.000997877-0j 0.00104843-0j 0.000898653-0j -0.00106938-0j 0.000648682-0j -0.00243626-0j 0.00080378-0j 0.000970656-0j -0.00173762-0j -0.00081675-0j -0.00265873-0j 0.000350328-0j 0.000629057-0j -0.000712918-0j 0.000749033-0j 0.00198046-0j -0.00189629-0j 0.000468871-0j -0.00208079-0j -0.000514611-0j -0.00311271-0j 0.000170978-0j -0.000789056-0j 0.00370406-0j -0.00141712-0j 0.00047864-0j -0.00155093-0j -0.00224688-0j -0.00148408-0j 0.0039264-0j -0.000284785-0j -0.000240102-0j 0.00184557-0j 7.72562e-05-0j 0.000252265-0j 0.00468752-0j -0.000791618-0j -0.00110617-0j 0.00283422-0j -0.000915963-0j -0.00030019-0j 0.000421279-0j -0.0013206-0j 9.97374e-05-0j -9.65877e-05-0j -0.000652125-0j -0.000564607-0j -0.000661177-0j -6.8523e-05-0j -0.000301447-0j 1.36056e-05-0j -6.88893e-05-0j -5.3968e-06-0j 7.64569e-07-0j 
0.00919649-0j 0.000192884-0j -0.00698514-0j -0.00704849-0j -0.0122309-0j -0.000148159-0j -0.00881193-0j 0.00582394-0j 0.00562646-0j -0.000261476-0j -0.0121633-0j 0.00549093-0j 0.000125796-0j -0.00716275-0j 8.71542e-05-0j 0.00970299-0j 0.00979098-0j -0.00473433-0j -0.000262726-0j -0.016045-0j -0.00477727-0j 0.00699067-0j -0.00617882-0j -0.00466895-0j 0.000212556-0j -7.48473e-05-0j -0.00991983-0j 0.012642-0j -0.000358734-0j -0.00445162-0j 0.00997733-0j 0.0182497-0j 0.00582267-0j 0.013165-0j -0.00823853-0j -0.00263975-0j 0.0132844-0j -0.000221787-0j 0.0107469-0j 0.000749217-0j 0.0131483-0j 0.0124665-0j -0.0199353-0j 0.00392865-0j -0.0172622-0j 0.0133145-0j -0.00135338-0j -9.03501e-05-0j -0.0224449-0j 0.00898167-0j -0.00455232-0j 0.00823168-0j 0.00126691-0j 0.00282654-0j 0.000295491-0j -5.23546e-05-0j 
1.22405e-05-0j 2.56727e-07-0j 9.66797e-06-0j -9.38148e-06-0j 8.3727e-06-0j 2.05064e-07-0j -1.17286e-05-0j 7.75162e-06-0j -2.93064e-05-0j 1.78994e-07-0j 5.53802e-06-0j -7.59987e-06-0j 1.67434e-07-0j -9.53356e-06-0j -1.02392e-06-0j 6.90713e-06-0j -6.70246e-06-0j -2.56431e-05-0j 1.19621e-07-0j -1.70954e-05-0j 2.48832e-05-0j -9.67561e-06-0j 4.22974e-06-0j -6.21434e-06-0j -5.92129e-07-0j 1.03594e-07-0j -1.05772e-05-0j 3.38668e-05-0j 9.76698e-08-0j -5.92508e-06-0j 1.77774e-05-0j 4.27357e-06-0j 3.15379e-05-0j 2.32624e-06-0j -5.86465e-06-0j 1.37496e-05-0j -2.2573e-06-0j 6.04301e-08-0j -7.35684e-06-0j 6.97786e-08-0j -5.98648e-06-0j 1.24646e-06-0j -5.64411e-06-0j -5.43755e-06-0j -2.41904e-06-0j -3.62503e-06-0j -1.80134e-06-0j 1.36526e-08-0j -5.25598e-06-0j -1.74606e-06-0j -3.24059e-06-0j -2.24287e-06-0j -8.67269e-07-0j -1.28694e-06-0j -4.08982e-07-0j -6.96836e-08-0j 
