-0.321702-0j -0.00678126-0j -0.256964-0j 0.249349-0j -0.224296-0j -0.00549345-0j -0.20981-0j 0.314198-0j -0.145361-0j -0.00484476-0j -0.149895-0j -0.00459615-0j 0.205703-0j 0.258041-0j -0.189604-0j -0.129813-0j 0.183986-0j -0.122389-0j 0.125967-0j -0.00328365-0j 0.265601-0j -0.00423917-0j 0.170587-0j -0.00163166-0j -0.0757244-0j 0.242459-0j -0.087439-0j 0.127272-0j 0.119993-0j 0.225786-0j -0.00174857-0j 0.150524-0j 0.0984358-0j -0.017108-0j 0.173221-0j 0.037121-0j 0.157338-0j 0.0931319-0j 0.0521225-0j 0.0703259-0j 0.026617-0j 0.00515768-0j -0.044245-0j -0.000927979-0j -0.0349463-0j 0.0339108-0j -0.0302644-0j -0.000741234-0j 0.0423949-0j -0.0280194-0j -0.0270693-0j -0.000647002-0j -0.020018-0j 0.0274709-0j -0.000605215-0j 0.0344605-0j -0.000419305-0j -0.0249669-0j 0.024227-0j -0.0236857-0j -0.000432387-0j -0.0157904-0j 0.0229838-0j 0.034974-0j -0.015289-0j 0.0224627-0j -0.000546931-0j -0.000374458-0j -0.00976983-0j 0.0312817-0j -0.000353042-0j 0.0214171-0j 0.0164204-0j -0.0154475-0j 0.0291305-0j -0.00840853-0j 0.0211987-0j 0.0127-0j 0.00815937-0j -0.000218434-0j 0.0265924-0j -0.000252226-0j 0.021639-0j -0.00450551-0j 0.0204015-0j 0.0196548-0j 0.008744-0j 0.0131032-0j 0.00651122-0j -4.93494e-05-0j 0.0189985-0j 0.00631139-0j 0.0117136-0j 0.00810721-0j 0.00313488-0j 0.00465184-0j 0.00147833-0j 0.000251882-0j 
-1.64037e-05-0j -1.74702e-05-0j -1.31026e-05-0j -1.32384e-05-0j -1.14369e-05-0j -1.41525e-05-0j 5.24188e-05-0j -8.2556e-06-0j -7.41196e-06-0j 6.11552e-05-0j 3.74498e-05-0j -1.18408e-05-0j 5.35108e-05-0j 2.20721e-05-0j -9.66797e-06-0j -6.6192e-06-0j -9.76816e-06-0j -6.24065e-06-0j -6.6878e-06-0j -8.45947e-06-0j -6.97871e-06-0j -1.09211e-05-0j -2.22973e-06-0j -4.20354e-06-0j -3.8612e-06-0j -6.37066e-06-0j -4.45853e-06-0j -6.7571e-06-0j -6.37066e-06-0j -3.94164e-06-0j -4.50474e-06-0j -2.62776e-06-0j -1.02827e-06-0j -8.72338e-07-0j -4.55142e-06-0j -1.97082e-06-0j -2.05655e-06-0j -1.62585e-06-0j -4.53427e-07-0j -7.34635e-07-0j -1.98374e-07-0j -2.98783e-08-0j 0.000322821-0j 0.000342086-0j 0.000254976-0j 0.000257618-0j 0.000220816-0j 0.000273246-0j 0.000159393-0j 0.000204436-0j -0.000967718-0j 0.000238508-0j 0.000146056-0j 0.000208695-0j -0.00109315-0j 8.60822e-05-0j 0.000154571-0j -0.000892557-0j -0.000901806-0j 0.000172816-0j -0.000780987-0j 0.00011521-0j 0.000174607-0j -0.000644282-0j 0.000111552-0j -0.000205851-0j 0.000201618-0j 0.000138039-0j 7.12828e-05-0j 0.000117611-0j 0.000130144-0j 8.05225e-05-0j 0.000124745-0j 0.000112708-0j 7.27679e-05-0j 6.13505e-05-0j 0.000161045-0j 1.89833e-05-0j 6.19863e-05-0j 8.05225e-05-0j 6.64277e-05-0j 9.29794e-05-0j 8.1357e-05-0j 3.28732e-05-0j 7.67041e-05-0j 3.6761e-05-0j 6.64277e-05-0j 2.45073e-05-0j 8.10504e-06-0j 1.8192e-05-0j 4.74582e-05-0j 2.37291e-05-0j 1.75089e-05-0j 1.51631e-05-0j 3.34316e-06-0j 5.79052e-06-0j 1.37898e-06-0j 1.87869e-07-0j 
7.48722e-07-0j 7.974e-07-0j 5.9805e-07-0j 6.04248e-07-0j 5.22021e-07-0j 6.45968e-07-0j -2.39258e-06-0j 3.76815e-07-0j 3.38308e-07-0j -2.79134e-06-0j -1.70934e-06-0j 5.40456e-07-0j -2.44242e-06-0j -1.00745e-06-0j 4.4128e-07-0j 3.02124e-07-0j 4.45853e-07-0j 2.84845e-07-0j 3.05255e-07-0j 3.8612e-07-0j 3.18533e-07-0j 4.98479e-07-0j 1.01773e-07-0j 1.91865e-07-0j 1.76239e-07-0j 2.90779e-07-0j 2.03503e-07-0j 3.08418e-07-0j 2.90779e-07-0j 1.79911e-07-0j 2.05612e-07-0j 1.1994e-07-0j 4.69341e-08-0j 3.98166e-08-0j 2.07743e-07-0j 8.99553e-08-0j 9.38682e-08-0j 7.42093e-08-0j 2.0696e-08-0j 3.35313e-08-0j 9.0545e-09-0j 1.36375e-09-0j -2.46265e-05-0j -2.60961e-05-0j -1.94509e-05-0j -1.96525e-05-0j -1.6845e-05-0j -2.08446e-05-0j -1.21594e-05-0j -1.55954e-05-0j 7.38226e-05-0j -1.81947e-05-0j -1.11419e-05-0j -1.59203e-05-0j 8.33915e-05-0j -6.5668e-06-0j -1.17915e-05-0j 6.80889e-05-0j 6.87945e-05-0j -1.31833e-05-0j 5.95778e-05-0j -8.78886e-06-0j -1.33199e-05-0j 4.91492e-05-0j -8.50977e-06-0j 1.57034e-05-0j -1.53805e-05-0j -1.05303e-05-0j -5.43783e-06-0j -8.97196e-06-0j -9.92807e-06-0j -6.14268e-06-0j -9.5162e-06-0j -8.59796e-06-0j -5.55111e-06-0j -4.68014e-06-0j -1.22854e-05-0j -1.44814e-06-0j -4.72864e-06-0j -6.14268e-06-0j -5.06745e-06-0j -7.09295e-06-0j -6.20634e-06-0j -2.50774e-06-0j -5.85139e-06-0j -2.80432e-06-0j -5.06745e-06-0j -1.86955e-06-0j -6.18295e-07-0j -1.38778e-06-0j -3.62036e-06-0j -1.81018e-06-0j -1.33567e-06-0j -1.15672e-06-0j -2.55033e-07-0j -4.41731e-07-0j -1.05196e-07-0j -1.38117e-08-0j 
0.00123244-0j 2.59789e-05-0j 0.000984425-0j -0.000955254-0j 0.000859277-0j 2.10453e-05-0j 0.00080378-0j -0.00120369-0j -0.00491539-0j 1.85603e-05-0j 0.000574248-0j -6.89059e-05-0j -0.000788045-0j -0.000988553-0j -0.00284257-0j 0.000497313-0j 0.00275833-0j 0.000468871-0j -0.000482577-0j -4.92287e-05-0j 0.00398191-0j 1.62402e-05-0j 0.00255745-0j 6.25086e-06-0j 0.000290099-0j -0.000928859-0j 0.000334978-0j -0.000487578-0j -0.000459693-0j -0.000864984-0j 6.69875e-06-0j -0.000576656-0j -0.000377107-0j 6.55404e-05-0j -0.000663609-0j -0.00014221-0j -0.000602759-0j -0.000356788-0j -0.000199681-0j -0.000269418-0j -0.00010197-0j -1.9759e-05-0j 0.000169502-0j 3.55508e-06-0j 0.000133879-0j -0.000129912-0j 0.000115943-0j 2.83966e-06-0j -0.000162414-0j 0.000107342-0j -0.000405826-0j 2.47866e-06-0j 7.66889e-05-0j -0.000105241-0j 2.31857e-06-0j -0.000132018-0j -1.41789e-05-0j 9.56479e-05-0j -9.28136e-05-0j -0.000355097-0j 1.65647e-06-0j -0.000236732-0j 0.000344575-0j -0.000133985-0j 5.85721e-05-0j -8.60543e-05-0j -8.19963e-06-0j 1.43454e-06-0j -0.00014647-0j 0.000468978-0j 1.3525e-06-0j -8.20487e-05-0j 0.000246176-0j 5.91791e-05-0j 0.000436727-0j 3.2213e-05-0j -8.12119e-05-0j 0.0001904-0j -3.12585e-05-0j 8.36818e-07-0j -0.000101875-0j 9.66274e-07-0j -8.2899e-05-0j 1.72606e-05-0j -7.81579e-05-0j -7.52975e-05-0j -3.34982e-05-0j -5.01984e-05-0j -2.49444e-05-0j 1.89057e-07-0j -7.27832e-05-0j -2.41789e-05-0j -4.48748e-05-0j -3.10586e-05-0j -1.20097e-05-0j -1.78212e-05-0j -5.66347e-06-0j -9.64958e-07-0j 
0.00862707-0j 0.000181853-0j -0.00662669-0j -0.00668678-0j -0.011695-0j -0.000141667-0j 0.00562646-0j -0.00842582-0j 0.00389812-0j -0.00025261-0j -0.0117509-0j 0.000123255-0j 0.00530475-0j -0.00691987-0j 0.00950695-0j -0.00334768-0j 0.00959316-0j -0.016045-0j -0.00337804-0j -0.000257418-0j 0.00684943-0j 0.000212556-0j -0.00457462-0j -0.000342739-0j -0.00991983-0j 0.012642-0j 0.03351-0j 0.00997733-0j -0.0151276-0j 0.00582267-0j 0.000445368-0j 0.0197334-0j -0.00263975-0j -0.00404107-0j -0.0264028-0j 0.00681558-0j -0.00788906-0j 0.0122002-0j 0.00271771-0j 0.00551312-0j 0.000686412-0j -0.000138313-0j 0.00118652-0j 2.48856e-05-0j -0.000901211-0j -0.000909384-0j -0.00157801-0j -1.91153e-05-0j -0.0011369-0j 0.000751395-0j 0.000725916-0j -3.37352e-05-0j -0.00156929-0j 0.000708431-0j 1.623e-05-0j -0.000924126-0j 1.12445e-05-0j 0.00125186-0j 0.00126322-0j -0.000610816-0j -3.38964e-05-0j -0.0020701-0j -0.000616355-0j 0.000901924-0j -0.000797181-0j -0.00060238-0j 2.74236e-05-0j -9.65668e-06-0j -0.00127984-0j 0.00163105-0j -4.62833e-05-0j -0.000574341-0j 0.00128726-0j 0.00235454-0j 0.000751231-0j 0.00169852-0j -0.00106292-0j -0.000340576-0j 0.00171393-0j -2.86146e-05-0j 0.00138655-0j 9.66627e-05-0j 0.00169637-0j 0.0016084-0j -0.00257202-0j 0.000506868-0j -0.00222714-0j 0.00171781-0j -0.000174611-0j -1.16568e-05-0j -0.00289581-0j 0.0011588-0j -0.000587332-0j 0.00106204-0j 0.000163455-0j 0.000364676-0j 3.81238e-05-0j -6.7547e-06-0j 
0.0011933-0j 0.00127089-0j -0.000916609-0j 0.000963043-0j 0.000831991-0j -0.000990051-0j -0.00227891-0j 0.000600563-0j 0.000539192-0j 0.000907966-0j -0.00162539-0j -0.00252229-0j -0.000764-0j 0.000327702-0j -0.000676333-0j 0.00317491-0j 0.000710596-0j -0.00132937-0j -0.00333574-0j -0.00179898-0j -0.000488203-0j 0.00223717-0j 0.000162204-0j 0.000305792-0j 0.00401788-0j -0.00135706-0j -0.000948144-0j 0.00420773-0j -0.000445667-0j 0.000807436-0j -0.00160081-0j 0.00019116-0j -0.00021904-0j -0.000558964-0j -0.000967897-0j -0.000981593-0j -0.000143868-0j -0.000577761-0j 3.2985e-05-0j -0.000156226-0j -1.38775e-05-0j 2.17353e-06-0j -0.00771858-0j -0.00817921-0j 0.00586261-0j -0.0061596-0j -0.00527966-0j 0.00628267-0j -0.00381106-0j 0.0143132-0j -0.00472227-0j -0.00570268-0j 0.0102086-0j 0.00479847-0j 0.0156202-0j -0.00205821-0j -0.00369576-0j 0.00418845-0j -0.00440063-0j -0.0116353-0j 0.0111408-0j -0.00275466-0j 0.0122248-0j 0.00302338-0j 0.0182874-0j -0.00100451-0j 0.00463576-0j -0.0217616-0j 0.00832568-0j -0.00281205-0j 0.00911181-0j 0.0132006-0j 0.00871909-0j -0.0230679-0j 0.00167314-0j 0.00141062-0j -0.0108429-0j -0.000453886-0j -0.00148208-0j -0.0275396-0j 0.00465082-0j 0.00649883-0j -0.0166513-0j 0.00538135-0j 0.00176364-0j -0.00247505-0j 0.00775861-0j -0.000585965-0j 0.00056746-0j 0.00383128-0j 0.00331711-0j 0.00388447-0j 0.000402578-0j 0.00177102-0j -7.99342e-05-0j 0.00040473-0j 3.17066e-05-0j -4.4919e-06-0j 
0.00305013-0j 0.00324844-0j -0.0119013-0j 0.00246158-0j 0.0021266-0j -0.0128549-0j 0.00198925-0j 0.00153506-0j 0.0013782-0j 0.0023208-0j 0.0175069-0j 0.0022017-0j -0.00991983-0j 0.000837619-0j -0.00878156-0j -0.00601233-0j 0.00181631-0j 0.0011604-0j 0.00124354-0j 0.0193766-0j -0.00633887-0j -0.00991983-0j 0.0004146-0j 0.000781615-0j 0.00525477-0j 0.00118457-0j 0.0102124-0j 0.0154773-0j -0.00578657-0j -0.00358026-0j 0.00613057-0j 0.000488611-0j 0.000191199-0j -0.0406246-0j 0.0104251-0j -0.0238837-0j -0.001868-0j 0.00221264-0j 8.4311e-05-0j 0.0016827-0j -0.000180186-0j 5.55563e-06-0j 0.000419497-0j 0.000444531-0j -0.00161855-0j 0.000334768-0j 0.000286944-0j -0.00173452-0j 0.000207127-0j 0.000265658-0j 0.00025665-0j 0.000309935-0j 0.00233799-0j -0.00132476-0j 0.000289917-0j 0.000111861-0j 0.000200861-0j -0.00115635-0j 0.000239169-0j -0.00109701-0j 0.00255149-0j 0.000149713-0j 0.000226896-0j -0.000834695-0j 0.000144959-0j 5.45941e-05-0j -0.00127984-0j -0.000876247-0j 0.000677962-0j 0.000152832-0j 0.000169118-0j 0.000104637-0j 0.00199685-0j 0.00180417-0j -0.000461919-0j -0.000389443-0j -0.00102229-0j 2.46682e-05-0j 8.05493e-05-0j 0.00076584-0j 8.63208e-05-0j 0.00148837-0j 0.00130232-0j -0.00278411-0j -0.000486905-0j -0.000233353-0j 0.000631785-0j 3.18466e-05-0j 1.05323e-05-0j -0.0059207-0j 0.000759688-0j -0.00200967-0j -0.000111144-0j 0.000144215-0j 4.34433e-06-0j 9.26917e-05-0j -8.75355e-06-0j 2.4413e-07-0j 
-0.000177887-0j -3.74974e-06-0j -0.00014209-0j 0.000137879-0j -0.000124026-0j -3.03763e-06-0j -0.000116016-0j 0.000173737-0j 0.000709476-0j -2.67894e-06-0j -8.28855e-05-0j 9.9457e-06-0j 0.000113744-0j 0.000142685-0j 0.000410289-0j -7.1781e-05-0j -0.000398131-0j -6.76758e-05-0j 6.9654e-05-0j 7.10555e-06-0j -0.000574739-0j -2.34407e-06-0j -0.000369137-0j -9.02235e-07-0j -4.18722e-05-0j 0.000134069-0j -4.83499e-05-0j 7.03758e-05-0j 6.63509e-05-0j 0.00012485-0j -9.66881e-07-0j 8.32331e-05-0j 5.44306e-05-0j -9.45995e-06-0j 9.57837e-05-0j 2.05263e-05-0j 8.70008e-05-0j 5.14979e-05-0j 2.88215e-05-0j 3.88871e-05-0j 1.4718e-05-0j 2.85197e-06-0j 0.0023257-0j 4.87784e-05-0j 0.00183693-0j -0.00178249-0j 0.00159082-0j 3.89624e-05-0j -0.00222845-0j 0.00147282-0j -0.00556824-0j 3.40091e-05-0j 0.00105223-0j -0.00144398-0j 3.18126e-05-0j -0.00181139-0j -0.000194545-0j 0.00131236-0j -0.00127347-0j -0.00487221-0j 2.27281e-05-0j -0.00324814-0j 0.00472784-0j -0.00183838-0j 0.000803655-0j -0.00118073-0j -0.000112505-0j 1.96831e-05-0j -0.00200969-0j 0.00643474-0j 1.85574e-05-0j -0.00112577-0j 0.00337773-0j 0.000811983-0j 0.00599224-0j 0.000441988-0j -0.00111429-0j 0.00261243-0j -0.000428891-0j 1.14818e-05-0j -0.00139781-0j 1.3258e-05-0j -0.00113744-0j 0.000236828-0j -0.00107239-0j -0.00103314-0j -0.000459621-0j -0.000688761-0j -0.000342257-0j 2.59401e-06-0j -0.000998642-0j -0.000331753-0j -0.000615717-0j -0.000426149-0j -0.000164782-0j -0.00024452-0j -7.77072e-05-0j -1.324e-05-0j 
-0.00503246-0j 0.0104011-0j -0.00401974-0j -0.00358863-0j 0.00682206-0j 0.00842582-0j -0.0032821-0j -0.00967985-0j -0.00227391-0j -0.014448-0j -0.00234485-0j 0.00704954-0j -0.00296047-0j -0.00169101-0j 0.0057669-0j -0.0020307-0j 0.00514841-0j 0.00935959-0j -0.00181291-0j 0.00503644-0j -0.00818267-0j -0.012642-0j 0.00859318-0j -0.019603-0j -0.00118457-0j 0.0145235-0j 0.00668681-0j -0.0018317-0j 0.00844238-0j -0.00147963-0j -0.00521456-0j 0.00482226-0j 0.0136236-0j -0.000267623-0j 0.0103761-0j -0.000534245-0j -0.0154102-0j -0.000610317-0j -0.0260456-0j 0.00973314-0j 0.0108056-0j 0.00409806-0j -0.000692134-0j 0.00142333-0j -0.000546673-0j -0.000488044-0j 0.000920505-0j 0.0011369-0j -0.00130611-0j -0.000438314-0j -0.000423451-0j -0.00192948-0j -0.000313146-0j -0.000395361-0j 0.000928275-0j -0.000225828-0j 0.000643128-0j 0.000759378-0j 0.000677936-0j -0.00037052-0j 0.000663192-0j 0.00120756-0j -0.000330782-0j -0.00107748-0j 0.000465022-0j 0.00113154-0j -0.00163105-0j 0.000574341-0j -0.000152832-0j 0.0018738-0j -0.00264717-0j -0.000659822-0j -0.000236322-0j 0.000469841-0j -0.0001909-0j 0.00103032-0j 0.000593194-0j 0.00175769-0j 0.000919821-0j 0.000335032-0j 0.00033883-0j -0.00189123-0j -0.000666659-0j 0.000137037-0j 0.00307267-0j 0.000990098-0j 0.00024468-0j -0.00322682-0j 0.00167341-0j 7.56919e-05-0j 0.000242072-0j -0.000194442-0j -0.00315208-0j 0.000408394-0j -0.00247443-0j 0.00119554-0j 0.000865071-0j 0.000260468-0j 
0.000795536-0j 0.000847258-0j 0.000635444-0j 0.000642029-0j -0.00271154-0j 0.000686358-0j 0.000518838-0j 0.000400375-0j 0.000359461-0j -0.00295915-0j 0.000370675-0j 0.000574248-0j 0.000529647-0j 0.000218468-0j -0.00229214-0j 0.000321014-0j -0.0023159-0j 0.00198565-0j 0.000324341-0j 0.000410263-0j 0.000338449-0j -0.00258925-0j 0.000108136-0j 0.00720612-0j 0.000187258-0j -0.0015104-0j 0.00141862-0j 0.000327702-0j 0.00202702-0j 0.00019116-0j -0.00106801-0j 0.000836102-0j 4.98687e-05-0j 4.23062e-05-0j -0.00107908-0j 9.55798e-05-0j -0.00048758-0j 7.88493e-05-0j -0.000107501-0j 3.56279e-05-0j 9.62063e-06-0j 1.44902e-06-0j -0.00514572-0j -0.00545281-0j -0.00406428-0j -0.0041064-0j 0.0172069-0j -0.00435549-0j -0.00254071-0j -0.00325867-0j -0.00314818-0j 0.0185856-0j -0.00232811-0j -0.00332656-0j -0.00355625-0j -0.00137214-0j -0.00246384-0j 0.014195-0j 0.0143421-0j -0.00275466-0j -0.00254071-0j -0.0120484-0j -0.0027832-0j -0.00209597-0j 0.00869261-0j -0.000669674-0j 0.0157109-0j -0.00220032-0j -0.00113624-0j 0.00916472-0j -0.0136102-0j -0.00128352-0j -0.00198842-0j 0.00878269-0j -0.00115991-0j -0.0345676-0j 0.0125493-0j -0.000302591-0j -0.0349259-0j -0.00128352-0j 0.00517633-0j -0.00972356-0j -0.00129682-0j 0.00256162-0j -0.00802153-0j -0.000585965-0j 0.00517633-0j -0.00256292-0j -0.000129193-0j -0.000289977-0j 0.00369815-0j -0.000378239-0j 0.00136437-0j -0.000241698-0j 0.000260513-0j -9.23e-05-0j -2.19808e-05-0j -2.9946e-06-0j 
-0.00120567-0j 0.00123323-0j -0.000963043-0j 0.000972261-0j -0.000840613-0j 0.000999029-0j 0.00230253-0j -0.000536154-0j -0.000544779-0j 0.000881061-0j -0.000561775-0j -0.00244755-0j 0.000802074-0j -0.0015522-0j -0.000710596-0j 0.00333574-0j 0.000717397-0j 0.00134314-0j -0.00336767-0j 0.000597158-0j -0.000453227-0j -0.00225745-0j -0.00170671-0j 0.00029673-0j 0.000831026-0j 0.00121152-0j -0.000327702-0j -0.00145316-0j 0.000467877-0j 0.00397703-0j 0.000317992-0j -0.000905447-0j 0.00399724-0j -6.41169e-05-0j -0.000295589-0j 0.000144742-0j -0.00157415-0j -0.000560217-0j -0.000920854-0j -0.000975254-0j -0.000570416-0j -0.000149043-0j 0.00779857-0j -0.00793684-0j 0.0061596-0j -0.00621856-0j 0.00533437-0j -0.00633965-0j 0.00340233-0j -0.0144615-0j 0.00477121-0j -0.0055337-0j 0.00352835-0j -0.00503761-0j 0.0151574-0j 0.00974891-0j -0.00358625-0j 0.00440063-0j -0.00444275-0j -0.0122248-0j -0.00369813-0j 0.0027832-0j 0.0123418-0j 0.00280678-0j -0.0184769-0j 0.0105694-0j -0.0046778-0j 0.021959-0j 0.00172202-0j 0.00251046-0j 0.00884181-0j -0.0117848-0j -0.00301117-0j -0.00797284-0j 0.00824105-0j 0.00148208-0j 0.0113832-0j 0.00828292-0j -0.00149626-0j 0.00547059-0j -0.0220291-0j -0.00215724-0j -0.00508518-0j 0.000794136-0j 0.00163729-0j -0.027081-0j -0.00160347-0j 0.00616551-0j -0.015842-0j -0.000422077-0j 0.0053747-0j 0.00050651-0j 0.0076396-0j 0.00381472-0j 0.00315958-0j 0.00386515-0j 0.00175007-0j 0.000386332-0j 
-0.000154055-0j -3.24737e-06-0j -0.000123053-0j 0.000119407-0j -0.00010741-0j -2.63067e-06-0j -0.000100472-0j 0.000150461-0j 0.000614424-0j -2.32003e-06-0j -7.1781e-05-0j 8.61323e-06-0j 9.85056e-05-0j 0.000123569-0j 0.000355321-0j -6.21642e-05-0j -0.000344792-0j -5.86089e-05-0j 6.03221e-05-0j 6.15359e-06-0j -0.000497739-0j -2.03003e-06-0j -0.000319682-0j -7.81358e-07-0j -3.62624e-05-0j 0.000116107-0j -4.18722e-05-0j 6.09472e-05-0j 5.74616e-05-0j 0.000108123-0j -8.37344e-07-0j 7.2082e-05-0j 4.71383e-05-0j -8.19255e-06-0j 8.29511e-05-0j 1.77763e-05-0j 7.53449e-05-0j 4.45985e-05-0j 2.49601e-05-0j 3.36772e-05-0j 1.27462e-05-0j 2.46988e-06-0j 0.000996465-0j 2.08995e-05-0j 0.000787045-0j -0.000763723-0j 0.000681601-0j 1.66937e-05-0j -0.000954797-0j 0.00063104-0j -0.00238576-0j 1.45715e-05-0j 0.000450837-0j -0.000618686-0j 1.36304e-05-0j -0.000776103-0j -8.33544e-05-0j 0.000562292-0j -0.00054563-0j -0.00208754-0j 9.73801e-06-0j -0.00139169-0j 0.00202568-0j -0.000787667-0j 0.000344332-0j -0.000505894-0j -4.82038e-05-0j 8.43336e-06-0j -0.000861065-0j 0.00275701-0j 7.95105e-06-0j -0.000482346-0j 0.00144721-0j 0.0003479-0j 0.00256742-0j 0.000189373-0j -0.000477426-0j 0.00111932-0j -0.000183761-0j 4.91946e-06-0j -0.000598902-0j 5.6805e-06-0j -0.000487344-0j 0.000101471-0j -0.000459473-0j -0.000442657-0j -0.000196928-0j -0.000295105-0j -0.000146643-0j 1.11142e-06-0j -0.000427876-0j -0.000142142-0j -0.000263809-0j -0.000182587-0j -7.06022e-05-0j -0.000104767-0j -3.32942e-05-0j -5.67277e-06-0j 
-0.00533773-0j 0.00545973-0j 0.0124637-0j 0.00430438-0j -0.00372155-0j -0.0129294-0j -0.00348119-0j -0.00237365-0j -0.00241184-0j 0.00390062-0j -0.00211285-0j 0.00370045-0j -0.0103804-0j -0.00687186-0j 0.00919651-0j 0.00629642-0j 0.00317605-0j -0.0020307-0j 0.00217449-0j 0.00224593-0j 0.00586565-0j -0.00997733-0j -0.00755593-0j 0.00131368-0j -0.0154773-0j -0.0018317-0j -0.0012325-0j 0.00186644-0j -0.00605525-0j 0.0175774-0j 0.0173421-0j -0.00400859-0j -0.00604343-0j -0.0165616-0j -0.00111172-0j 0.0201746-0j 0.0203726-0j -0.0305521-0j -0.00407679-0j -0.00366796-0j 0.00738231-0j -0.000659841-0j -0.000734119-0j 0.000747135-0j 0.00169503-0j 0.000585384-0j -0.000502151-0j -0.00174457-0j -0.000320279-0j -0.000464902-0j -0.000449138-0j 0.000520915-0j -0.000282165-0j -0.00138627-0j 0.000487271-0j -0.000917714-0j 0.000337592-0j 0.00121099-0j 0.000418219-0j 0.00114884-0j 0.000295742-0j -0.000261997-0j 0.000396757-0j 0.000772382-0j -0.000253678-0j -0.000994956-0j -0.00128726-0j -0.000881326-0j -0.00199685-0j -0.000236322-0j 0.000284242-0j -0.000161799-0j 0.000240805-0j -0.00021774-0j 0.00226781-0j 0.000407845-0j -0.00106975-0j -0.000779713-0j 0.000140851-0j 0.0021664-0j -0.000708179-0j 0.000172516-0j -0.000138878-0j -0.00235358-0j 0.000450556-0j 0.00254498-0j 0.00185939-0j -0.000580391-0j -0.000509279-0j 0.00231817-0j -0.000429818-0j -0.00150115-0j 0.0021023-0j -0.00442355-0j -0.000297427-0j -0.000309099-0j 0.000481592-0j -3.63674e-05-0j 
0.000974328-0j 0.00103768-0j -0.000748408-0j 0.000786321-0j 0.000679318-0j -0.000808373-0j -0.00186072-0j 0.000490358-0j 0.000440248-0j 0.000741351-0j -0.00132713-0j -0.00205944-0j -0.000623803-0j 0.000267568-0j -0.000552224-0j 0.0025923-0j 0.000580199-0j -0.00108542-0j -0.00272362-0j -0.00146886-0j -0.000398616-0j 0.00182664-0j 0.000132439-0j 0.000249678-0j 0.00328058-0j -0.00110804-0j -0.000774157-0j 0.0034356-0j -0.000363885-0j 0.000659268-0j -0.00130705-0j 0.000156081-0j -0.000178846-0j -0.000456392-0j -0.000790285-0j -0.000801468-0j -0.000117468-0j -0.00047174-0j 2.69322e-05-0j -0.000127558-0j -1.13309e-05-0j 1.77468e-06-0j 0.000134003-0j 0.000142-0j -0.000101781-0j 0.000106938-0j 9.16608e-05-0j -0.000109074-0j 6.61642e-05-0j -0.000248493-0j 8.19839e-05-0j 9.9005e-05-0j -0.000177233-0j -8.33069e-05-0j -0.000271185-0j 3.57328e-05-0j 6.41625e-05-0j -7.27162e-05-0j 7.63999e-05-0j 0.000202003-0j -0.000193418-0j 4.78239e-05-0j -0.000212236-0j -5.24893e-05-0j -0.00031749-0j 1.74394e-05-0j -8.04821e-05-0j 0.000377806-0j -0.000144543-0j 4.88203e-05-0j -0.000158191-0j -0.000229177-0j -0.000151373-0j 0.000400485-0j -2.90475e-05-0j -2.44899e-05-0j 0.000188244-0j 7.87998e-06-0j 2.57305e-05-0j 0.000478118-0j -8.07435e-05-0j -0.000112827-0j 0.000289085-0j -9.34264e-05-0j -3.06188e-05-0j 4.29696e-05-0j -0.000134698-0j 1.0173e-05-0j -9.85175e-06-0j -6.65154e-05-0j -5.75887e-05-0j -6.74387e-05-0j -6.9892e-06-0j -3.07469e-05-0j 1.38775e-06-0j -7.02657e-06-0j -5.50463e-07-0j 7.79845e-08-0j 
