-0.0063643-0j 0.0458029-0j -0.000726223-0j 0.0100214-0j -0.000633899-0j 0.00530066-0j -0.000592959-0j 0.00134384-0j -0.000410814-0j 0.00467474-0j -6.05186e-05-0j 0.00443485-0j 0.00118104-0j 0.000139915-0j -7.65506e-05-0j -5.24106e-05-0j 0.00105635-0j -4.94132e-05-0j 0.000723236-0j 0.00045263-0j 0.000162284-0j 0.000584343-0j 1.23797e-05-0j 0.000224914-0j -4.36755e-06-0j 0.000148145-0j -5.04322e-06-0j 0.00010439-0j 9.84199e-05-0j 1.74893e-05-0j 3.44327e-05-0j 1.16596e-05-0j 9.79379e-07-0j -1.40962e-07-0j 1.51199e-05-0j 4.34959e-06-0j 1.63117e-06-0j 1.03057e-06-0j 7.20132e-08-0j 9.99575e-08-0j 5.14571e-09-0j 1.38469e-10-0j 
2.66665e-05-0j -0.000387887-0j 3.04289e-06-0j 0.00196502-0j -0.000387093-0j -4.48892e-05-0j 2.48451e-06-0j 0.000536435-0j 1.72132e-06-0j 0.00576964-0j 2.53574e-07-0j -3.7557e-05-0j 0.00023158-0j 8.42177e-05-0j -4.67459e-05-0j 2.19601e-07-0j -0.0301873-0j -6.05557e-05-0j 0.000141813-0j -3.83315e-06-0j 6.47807e-05-0j 0.000721205-0j 9.95974e-06-0j 0.000836585-0j 1.83001e-08-0j -0.00861854-0j -6.18044e-06-0j 2.0469e-05-0j -0.00564437-0j 1.05272e-05-0j 4.24974e-05-0j -0.00205267-0j 9.86285e-07-0j 5.90634e-10-0j -0.000879626-0j 8.52873e-07-0j -0.000191256-0j 6.20322e-07-0j -1.26944e-05-0j 1.00662e-07-0j 7.26576e-09-0j 2.51583e-10-0j 
0.000263985-0j -0.00189986-0j 3.0123e-05-0j -0.00041568-0j 2.62935e-05-0j -0.000219866-0j -0.0048179-0j -5.57412e-05-0j 1.70402e-05-0j -0.000193904-0j 2.51025e-06-0j 0.036034-0j -4.89883e-05-0j -5.80352e-06-0j 3.17525e-06-0j -0.000853866-0j -4.38165e-05-0j -0.000401492-0j 0.0117828-0j -1.87746e-05-0j -6.73139e-06-0j 0.00474789-0j -5.13498e-07-0j -9.3292e-06-0j -3.54872e-05-0j 0.0012037-0j 2.09188e-07-0j 0.000848189-0j -4.08236e-06-0j 0.000142104-0j -1.42824e-06-0j -4.83627e-07-0j 7.95764e-06-0j 5.84697e-09-0j -6.2716e-07-0j -1.80417e-07-0j -6.76593e-08-0j -4.2747e-08-0j -2.98704e-09-0j -4.14614e-09-0j -2.13439e-10-0j -5.74357e-12-0j 
0.000161657-0j -0.00116342-0j 1.84465e-05-0j -0.000254551-0j 1.61014e-05-0j -0.00013464-0j -0.00295035-0j -3.41344e-05-0j 1.04349e-05-0j -0.000118741-0j 1.53721e-06-0j 0.0220662-0j -2.99991e-05-0j -3.55392e-06-0j 1.94443e-06-0j -0.000522884-0j -2.6832e-05-0j -0.000245862-0j 0.00721549-0j -1.14971e-05-0j -4.12212e-06-0j 0.00290748-0j -3.14452e-07-0j -5.71294e-06-0j -2.17314e-05-0j 0.000737114-0j 1.28101e-07-0j 0.000519407-0j -2.49993e-06-0j 8.70206e-05-0j -8.74612e-07-0j -2.9616e-07-0j 4.87304e-06-0j 3.58053e-09-0j -3.84056e-07-0j -1.10482e-07-0j -4.14327e-08-0j -2.61771e-08-0j -1.82918e-09-0j -2.53898e-09-0j -1.30704e-10-0j -3.51721e-12-0j 
2.30939e-05-0j -0.000166203-0j -0.000509724-0j -3.63644e-05-0j 2.3002e-06-0j 0.00372045-0j 2.15164e-06-0j -4.87634e-06-0j 1.4907e-06-0j -1.6963e-05-0j 0.00406554-0j -1.60926e-05-0j 0.000828952-0j -5.07703e-07-0j -5.37297e-05-0j -3.67862e-05-0j -3.83315e-06-0j 1.79304e-07-0j -2.62438e-06-0j -0.0304069-0j 0.000113905-0j 0.000410141-0j -4.49217e-08-0j -8.16135e-07-0j 0.000889427-0j -5.37566e-07-0j 0.000338795-0j -0.00701275-0j 6.90794e-05-0j 1.22755e-05-0j -0.00701203-0j -4.23086e-08-0j -3.55383e-09-0j 9.61832e-05-0j -0.00101573-0j -0.00177766-0j 1.14489e-06-0j -0.000209869-0j -2.61311e-10-0j -6.71497e-06-0j 3.61169e-09-0j -5.02458e-13-0j 
0.000215543-0j 3.27938e-05-0j -0.00236642-0j 3.55003e-06-0j -0.00312883-0j -0.000365146-0j 2.0082e-05-0j 3.16262e-07-0j 1.39132e-05-0j -0.000487792-0j -0.000396452-0j 3.17525e-06-0j -4.02536e-05-0j 2.4653e-08-0j 0.0363537-0j -0.000170781-0j -5.45369e-05-0j -0.000489466-0j 2.56202e-07-0j -6.26846e-05-0j -3.67463e-06-0j 0.00586656-0j 1.74323e-09-0j -7.07288e-05-0j -4.29912e-05-0j -5.08117e-06-0j 0.00966287-0j -7.15287e-06-0j 0.000981114-0j -2.96495e-07-0j 0.00104426-0j -6.00876e-07-0j 1.14845e-10-0j -2.31574e-06-0j 0.000100311-0j -5.97613e-07-0j 3.22078e-06-0j -5.27767e-08-0j -1.05437e-09-0j -2.26724e-09-0j -4.35042e-11-0j 9.72896e-15-0j 
-0.000230987-0j 0.00166238-0j -2.63576e-05-0j 0.00036372-0j -2.30068e-05-0j 0.000192383-0j 0.00421566-0j 4.87736e-05-0j -1.49101e-05-0j 0.000169666-0j -2.19647e-06-0j -0.0315297-0j 4.28648e-05-0j 5.07808e-06-0j -2.77834e-06-0j 0.000747133-0j 3.83394e-05-0j 0.000351305-0j -0.01031-0j 1.64278e-05-0j 5.88997e-06-0j -0.00415441-0j 4.49311e-07-0j 8.16305e-06-0j 3.10513e-05-0j -0.00105324-0j -1.83039e-07-0j -0.000742165-0j 3.57207e-06-0j -0.000124341-0j 1.24971e-06-0j 4.23174e-07-0j -6.96293e-06-0j -5.1161e-09-0j 5.48765e-07-0j 1.57865e-07-0j 5.92019e-08-0j 3.74036e-08-0j 2.61366e-09-0j 3.62787e-09-0j 1.86759e-10-0j 5.02563e-12-0j 
-2.72164e-06-0j 5.95899e-05-0j 2.98805e-05-0j -0.000614563-0j -2.71082e-07-0j -0.00066351-0j -2.53574e-07-0j 0.00253428-0j -1.75681e-07-0j 6.08187e-06-0j 5.00597e-06-0j 5.76977e-06-0j 0.00696849-0j 0.000815987-0j 3.14968e-06-0j 2.15644e-06-0j -6.47807e-05-0j -2.11311e-08-0j -4.43523e-05-0j -0.000113905-0j -0.0294457-0j -7.31451e-05-0j 0.000145772-0j 2.92614e-07-0j 5.42846e-07-0j 0.000279378-0j 4.17164e-07-0j 0.00123827-0j 0.000580707-0j -0.00981367-0j -1.30199e-05-0j 6.79989e-05-0j 1.93078e-05-0j 2.92406e-08-0j -0.00551539-0j 0.000103456-0j -0.001848-0j -0.00174685-0j 2.13516e-06-0j -0.000381169-0j -2.0586e-05-0j 9.89074e-09-0j 
0.000131992-0j 2.0082e-05-0j -0.00144913-0j 2.17394e-06-0j -0.00191601-0j -0.000223605-0j 1.22977e-05-0j 1.9367e-07-0j 8.52008e-06-0j -0.000298711-0j -0.000242776-0j 1.94443e-06-0j -2.46502e-05-0j 1.50968e-08-0j 0.022262-0j -0.000104582-0j -3.33969e-05-0j -0.000299735-0j 1.56891e-07-0j -3.83863e-05-0j -2.25024e-06-0j 0.00359252-0j 1.06751e-09-0j -4.33124e-05-0j -2.63266e-05-0j -3.11157e-06-0j 0.00591728-0j -4.38022e-06-0j 0.000600807-0j -1.81566e-07-0j 0.000639474-0j -3.6796e-07-0j 7.03282e-11-0j -1.4181e-06-0j 6.14275e-05-0j -3.65962e-07-0j 1.97232e-06-0j -3.2319e-08-0j -6.45666e-10-0j -1.38839e-09-0j -2.66408e-11-0j 5.95775e-15-0j 
-3.11109e-05-0j 0.000452535-0j -3.55003e-06-0j -0.00229252-0j 0.000451608-0j 5.23707e-05-0j -2.89859e-06-0j -0.000625841-0j -2.0082e-06-0j -0.00673125-0j -2.95836e-07-0j 4.38165e-05-0j -0.000270176-0j -9.8254e-05-0j 5.45369e-05-0j -2.56202e-07-0j 0.0352185-0j 7.06483e-05-0j -0.000165449-0j 4.472e-06-0j -7.55775e-05-0j -0.000841406-0j -1.16197e-05-0j -0.000976016-0j -2.13501e-08-0j 0.010055-0j 7.21051e-06-0j -2.38804e-05-0j 0.0065851-0j -1.22818e-05-0j -4.95803e-05-0j 0.00239478-0j -1.15067e-06-0j -6.89072e-10-0j 0.00102623-0j -9.95019e-07-0j 0.000223132-0j -7.23709e-07-0j 1.48101e-05-0j -1.17439e-07-0j -8.47672e-09-0j -2.93513e-10-0j 
9.52772e-05-0j -0.000685696-0j 1.0872e-05-0j -0.000150027-0j 9.48984e-06-0j -7.93539e-05-0j -0.00173887-0j -2.01181e-05-0j 6.15012e-06-0j -6.99836e-05-0j 9.05998e-07-0j 0.0130054-0j -1.76808e-05-0j -2.0946e-06-0j 1.14601e-06-0j -0.000308177-0j -1.58142e-05-0j -0.000144906-0j 0.00425265-0j -6.77613e-06-0j -2.42949e-06-0j 0.00171361-0j -1.85331e-07-0j -3.36709e-06-0j -1.2808e-05-0j 0.000434439-0j 7.54998e-08-0j 0.000306128-0j -1.4734e-06-0j 5.12881e-05-0j -5.15478e-07-0j -1.7455e-07-0j 2.87206e-06-0j 2.11028e-09-0j -2.26354e-07-0j -6.51158e-08-0j -2.44195e-08-0j -1.54282e-08-0j -1.07808e-09-0j -1.49642e-09-0j -7.70342e-11-0j -2.07296e-12-0j 
1.24225e-07-0j -4.54576e-06-0j 1.41752e-08-0j 9.44864e-05-0j 1.23731e-08-0j -5.26069e-07-0j 1.1574e-08-0j -0.00120711-0j 8.01871e-09-0j -4.63949e-07-0j 1.18127e-09-0j -4.40141e-07-0j 1.11353e-05-0j 0.00890094-0j 1.4942e-09-0j 1.02301e-09-0j 9.95974e-06-0j 9.645e-10-0j 6.81897e-06-0j -4.49217e-08-0j -0.000145772-0j -5.79937e-08-0j -0.0284863-0j -2.23218e-08-0j 8.52506e-11-0j -0.000133071-0j 9.84389e-11-0j 9.84233e-07-0j 9.27944e-07-0j 0.00111262-0j -3.41731e-09-0j 0.000741745-0j -0.011891-0j 2.75145e-12-0j -1.35815e-05-0j 4.10097e-08-0j -0.0037534-0j 6.55616e-05-0j -0.0026684-0j -0.00121362-0j -0.000448639-0j -4.38189e-05-0j 
-0.0001886-0j -2.86946e-05-0j 0.00207061-0j -3.10628e-06-0j 0.00273773-0j 0.000319503-0j -1.75718e-05-0j -2.76729e-07-0j -1.21741e-05-0j 0.000426818-0j 0.000346896-0j -2.77834e-06-0j 3.52219e-05-0j -2.15714e-08-0j -0.0318095-0j 0.000149434-0j 4.77197e-05-0j 0.000428283-0j -2.24176e-07-0j 5.4849e-05-0j 3.2153e-06-0j -0.00513324-0j -1.52533e-09-0j 6.18877e-05-0j 3.76173e-05-0j 4.44603e-06-0j -0.00845501-0j 6.25876e-06-0j -0.000858475-0j 2.59434e-07-0j -0.000913724-0j 5.25767e-07-0j -1.0049e-10-0j 2.02627e-06-0j -8.77719e-05-0j 5.22912e-07-0j -2.81818e-06-0j 4.61796e-08-0j 9.22572e-10-0j 1.98383e-09-0j 3.80662e-11-0j -8.51284e-15-0j 
-2.69429e-05-0j 0.000193904-0j 0.000594679-0j 4.24251e-05-0j -2.68357e-06-0j -0.00434052-0j -2.51025e-06-0j 5.68907e-06-0j -1.73915e-06-0j 1.97902e-05-0j -0.00474313-0j 1.87746e-05-0j -0.000967111-0j 5.9232e-07-0j 6.26846e-05-0j 4.29172e-05-0j 4.472e-06-0j -2.09188e-07-0j 3.06177e-06-0j 0.0354747-0j -0.000132889-0j -0.000478498-0j 5.24086e-08-0j 9.52157e-07-0j -0.00103766-0j 6.2716e-07-0j -0.000395261-0j 0.00818154-0j -8.05926e-05-0j -1.43214e-05-0j 0.0081807-0j 4.936e-08-0j 4.14614e-09-0j -0.000112214-0j 0.00118502-0j 0.00207393-0j -1.33571e-06-0j 0.000244848-0j 3.04863e-10-0j 7.83414e-06-0j -4.21364e-09-0j 5.86201e-13-0j 
-1.90515e-05-0j 0.00027712-0j -2.17394e-06-0j -0.00140388-0j 0.000276552-0j 3.20704e-05-0j -1.77502e-06-0j -0.000383248-0j -1.22977e-06-0j -0.00412203-0j -1.81162e-07-0j 2.6832e-05-0j -0.000165449-0j -6.01681e-05-0j 3.33969e-05-0j -1.56891e-07-0j 0.0215669-0j 4.32631e-05-0j -0.000101316-0j 2.73853e-06-0j -4.62816e-05-0j -0.000515254-0j -7.11558e-06-0j -0.000597685-0j -1.30742e-08-0j 0.00615738-0j 4.41552e-06-0j -1.46237e-05-0j 0.00403254-0j -7.52101e-06-0j -3.03616e-05-0j 0.0014665-0j -7.04636e-07-0j -4.21969e-10-0j 0.000628435-0j -6.09322e-07-0j 0.00013664-0j -4.4318e-07-0j 9.0693e-06-0j -7.19166e-08-0j -5.19091e-09-0j -1.79739e-10-0j 
-1.64991e-05-0j 0.000118741-0j 0.000364165-0j 2.598e-05-0j -1.64335e-06-0j -0.00265802-0j -1.53721e-06-0j 3.48383e-06-0j -1.06501e-06-0j 1.2119e-05-0j -0.00290456-0j 1.14971e-05-0j -0.000592232-0j 3.6272e-07-0j 3.83863e-05-0j 2.62813e-05-0j 2.73853e-06-0j -1.28101e-07-0j 1.87494e-06-0j 0.0217237-0j -8.13775e-05-0j -0.000293019-0j 3.20936e-08-0j 5.83075e-07-0j -0.000635437-0j 3.84056e-07-0j -0.000242047-0j 0.00501015-0j -4.93527e-05-0j -8.77003e-06-0j 0.00500963-0j 3.02267e-08-0j 2.53898e-09-0j -6.87166e-05-0j 0.000725674-0j 0.00127002-0j -8.1795e-07-0j 0.000149938-0j 1.8669e-10-0j 4.79741e-06-0j -2.58032e-09-0j 3.58973e-13-0j 
2.72221e-05-0j -0.000395968-0j 3.10628e-06-0j 0.00200596-0j -0.000395157-0j -4.58244e-05-0j 2.53627e-06-0j 0.000547611-0j 1.75718e-06-0j 0.00588984-0j 2.58857e-07-0j -3.83394e-05-0j 0.000236404-0j 8.59723e-05-0j -4.77197e-05-0j 2.24176e-07-0j -0.0308162-0j -6.18173e-05-0j 0.000144768-0j -3.913e-06-0j 6.61303e-05-0j 0.00073623-0j 1.01672e-05-0j 0.000854014-0j 1.86814e-08-0j -0.0087981-0j -6.3092e-06-0j 2.08954e-05-0j -0.00576196-0j 1.07465e-05-0j 4.33828e-05-0j -0.00209543-0j 1.00683e-06-0j 6.02938e-10-0j -0.000897952-0j 8.70641e-07-0j -0.000195241-0j 6.33246e-07-0j -1.29588e-05-0j 1.02759e-07-0j 7.41713e-09-0j 2.56824e-10-0j 
7.77935e-05-0j 1.18359e-05-0j -0.000854085-0j 1.28127e-06-0j -0.00112926-0j -0.000131788-0j 7.24798e-06-0j 1.14145e-07-0j 5.02155e-06-0j -0.000176054-0j -0.000143087-0j 1.14601e-06-0j -1.45283e-05-0j 8.89774e-09-0j 0.0131208-0j -6.16383e-05-0j -1.96834e-05-0j -0.000176658-0j 9.2468e-08-0j -2.26241e-05-0j -1.32624e-06-0j 0.00211735-0j 6.29165e-10-0j -2.55274e-05-0j -1.55163e-05-0j -1.83389e-06-0j 0.00348751-0j -2.58161e-06-0j 0.000354103-0j -1.07011e-07-0j 0.000376892-0j -2.16868e-07-0j 4.14499e-11-0j -8.35795e-07-0j 3.62041e-05-0j -2.1569e-07-0j 1.16244e-06-0j -1.90481e-08-0j -3.80542e-10-0j -8.1829e-10-0j -1.57015e-11-0j 3.51137e-15-0j 
3.17525e-06-0j -6.95215e-05-0j -3.48606e-05-0j 0.000716991-0j 3.16262e-07-0j 0.000774095-0j 2.95836e-07-0j -0.00295666-0j 2.04961e-07-0j -7.09551e-06-0j -5.84029e-06-0j -6.73139e-06-0j -0.0081299-0j -0.000951985-0j -3.67463e-06-0j -2.51585e-06-0j 7.55775e-05-0j 2.4653e-08-0j 5.17443e-05-0j 0.000132889-0j 0.0343533-0j 8.53359e-05-0j -0.000170068-0j -3.41383e-07-0j -6.3332e-07-0j -0.000325941-0j -4.86691e-07-0j -0.00144465-0j -0.000677492-0j 0.0114493-0j 1.51899e-05-0j -7.93321e-05-0j -2.25258e-05-0j -3.41141e-08-0j 0.00643462-0j -0.000120698-0j 0.002156-0j 0.00203799-0j -2.49102e-06-0j 0.000444697-0j 2.4017e-05-0j -1.15392e-08-0j 
2.3575e-05-0j -0.000169666-0j -0.000520344-0j -3.7122e-05-0j 2.34813e-06-0j 0.00379796-0j 2.19647e-06-0j -4.97793e-06-0j 1.52176e-06-0j -1.73164e-05-0j 0.00415024-0j -1.64278e-05-0j 0.000846222-0j -5.1828e-07-0j -5.4849e-05-0j -3.75526e-05-0j -3.913e-06-0j 1.83039e-07-0j -2.67905e-06-0j -0.0310404-0j 0.000116278-0j 0.000418686-0j -4.58576e-08-0j -8.33138e-07-0j 0.000907957-0j -5.48765e-07-0j 0.000345853-0j -0.00715885-0j 7.05185e-05-0j 1.25312e-05-0j -0.00715811-0j -4.319e-08-0j -3.62787e-09-0j 9.8187e-05-0j -0.00103689-0j -0.00181469-0j 1.16874e-06-0j -0.000214242-0j -2.66755e-10-0j -6.85487e-06-0j 3.68693e-09-0j -5.12926e-13-0j 
1.94443e-06-0j -4.25731e-05-0j -2.13477e-05-0j 0.000439065-0j 1.9367e-07-0j 0.000474034-0j 1.81162e-07-0j -0.00181058-0j 1.25513e-07-0j -4.3451e-06-0j -3.57644e-06-0j -4.12212e-06-0j -0.00497853-0j -0.000582969-0j -2.25024e-06-0j -1.54064e-06-0j 4.62816e-05-0j 1.50968e-08-0j 3.16868e-05-0j 8.13775e-05-0j 0.021037-0j 5.22574e-05-0j -0.000104145-0j -2.09053e-07-0j -3.87828e-07-0j -0.000199597-0j -2.98036e-07-0j -0.000884662-0j -0.000414877-0j 0.00701123-0j 9.30189e-06-0j -4.85808e-05-0j -1.37942e-05-0j -2.08905e-08-0j 0.00394038-0j -7.39124e-05-0j 0.00132027-0j 0.00124801-0j -1.52543e-06-0j 0.00027232-0j 1.47074e-05-0j -7.06629e-09-0j 
-1.44929e-07-0j 5.30338e-06-0j -1.65377e-08-0j -0.000110234-0j -1.44353e-08-0j 6.13747e-07-0j -1.3503e-08-0j 0.00140829-0j -9.35516e-09-0j 5.41274e-07-0j -1.37814e-09-0j 5.13498e-07-0j -1.29912e-05-0j -0.0103844-0j -1.74323e-09-0j -1.19351e-09-0j -1.16197e-05-0j -1.12525e-09-0j -7.95546e-06-0j 5.24086e-08-0j 0.000170068-0j 6.76593e-08-0j 0.033234-0j 2.60421e-08-0j -9.9459e-11-0j 0.00015525-0j -1.14845e-10-0j -1.14827e-06-0j -1.0826e-06-0j -0.00129805-0j 3.98686e-09-0j -0.000865369-0j 0.0138728-0j -3.21003e-12-0j 1.58451e-05-0j -4.78447e-08-0j 0.00437896-0j -7.64885e-05-0j 0.00311313-0j 0.00141589-0j 0.000523412-0j 5.11221e-05-0j 
-1.12285e-05-0j 0.000163328-0j -1.28127e-06-0j -0.000827415-0j 0.000162994-0j 1.89016e-05-0j -1.04616e-06-0j -0.000225878-0j -7.24798e-07-0j -0.00242944-0j -1.06773e-07-0j 1.58142e-05-0j -9.75118e-05-0j -3.54618e-05-0j 1.96834e-05-0j -9.2468e-08-0j 0.012711-0j 2.54983e-05-0j -5.97135e-05-0j 1.61403e-06-0j -2.72773e-05-0j -0.000303679-0j -4.19377e-06-0j -0.000352263-0j -7.70567e-09-0j 0.00362903-0j 2.60241e-06-0j -8.61891e-06-0j 0.00237669-0j -4.43272e-06-0j -1.78945e-05-0j 0.000864322-0j -4.15297e-07-0j -2.48699e-10-0j 0.000370386-0j -3.59121e-07-0j 8.05327e-05-0j -2.612e-07-0j 5.34525e-06-0j -4.23861e-08-0j -3.05941e-09-0j -1.05935e-10-0j 
-8.87508e-08-0j 3.24764e-06-0j -1.01273e-08-0j -6.75043e-05-0j -8.83979e-09-0j 3.75842e-07-0j -8.26887e-09-0j 0.000862401-0j -5.72884e-09-0j 3.31461e-07-0j -8.43938e-10-0j 3.14452e-07-0j -7.95546e-06-0j -0.00635914-0j -1.06751e-09-0j -7.30872e-10-0j -7.11558e-06-0j -6.89072e-10-0j -4.8717e-06-0j 3.20936e-08-0j 0.000104145-0j 4.14327e-08-0j 0.0203516-0j 1.59474e-08-0j -6.0906e-11-0j 9.50707e-05-0j -7.03282e-11-0j -7.0317e-07-0j -6.62955e-07-0j -0.000794892-0j 2.44144e-09-0j -0.000529928-0j 0.00849532-0j -1.96573e-12-0j 9.70312e-06-0j -2.92987e-08-0j 0.00268156-0j -4.68395e-05-0j 0.00190639-0j 0.00086705-0j 0.000320523-0j 3.13057e-05-0j 
-2.77834e-06-0j 6.08313e-05-0j 3.0503e-05-0j -0.000627367-0j -2.76729e-07-0j -0.000677333-0j -2.58857e-07-0j 0.00258708-0j -1.79341e-07-0j 6.20857e-06-0j 5.11026e-06-0j 5.88997e-06-0j 0.00711367-0j 0.000832987-0j 3.2153e-06-0j 2.20137e-06-0j -6.61303e-05-0j -2.15714e-08-0j -4.52763e-05-0j -0.000116278-0j -0.0300591-0j -7.46689e-05-0j 0.000148809-0j 2.9871e-07-0j 5.54155e-07-0j 0.000285199-0j 4.25855e-07-0j 0.00126407-0j 0.000592806-0j -0.0100181-0j -1.32912e-05-0j 6.94156e-05-0j 1.97101e-05-0j 2.98498e-08-0j -0.00563029-0j 0.000105611-0j -0.0018865-0j -0.00178324-0j 2.17964e-06-0j -0.00038911-0j -2.10149e-05-0j 1.00968e-08-0j 
-9.72419e-06-0j 6.99836e-05-0j 0.000214631-0j 1.5312e-05-0j -9.68553e-07-0j -0.00156658-0j -9.05998e-07-0j 2.05329e-06-0j -6.27694e-07-0j 7.14267e-06-0j -0.00171188-0j 6.77613e-06-0j -0.000349049-0j 2.1378e-07-0j 2.26241e-05-0j 1.54896e-05-0j 1.61403e-06-0j -7.54998e-08-0j 1.10505e-06-0j 0.0128035-0j -4.79621e-05-0j -0.000172699-0j 1.89153e-08-0j 3.43652e-07-0j -0.000374513-0j 2.26354e-07-0j -0.000142657-0j 0.00295287-0j -2.90874e-05-0j -5.16887e-06-0j 0.00295257-0j 1.7815e-08-0j 1.49642e-09-0j -4.05001e-05-0j 0.000427697-0j 0.000748522-0j -4.82082e-07-0j 8.83702e-05-0j 1.10031e-10-0j 2.82749e-06-0j -1.52078e-09-0j 2.11571e-13-0j 
1.14601e-06-0j -2.50916e-05-0j -1.25819e-05-0j 0.000258776-0j 1.14145e-07-0j 0.000279386-0j 1.06773e-07-0j -0.00106712-0j 7.39744e-08-0j -2.56091e-06-0j -2.10787e-06-0j -2.42949e-06-0j -0.00293424-0j -0.00034359-0j -1.32624e-06-0j -9.08017e-07-0j 2.72773e-05-0j 8.89774e-09-0j 1.86755e-05-0j 4.79621e-05-0j 0.0123988-0j 3.07994e-05-0j -6.13807e-05-0j -1.23212e-07-0j -2.28577e-07-0j -0.000117638-0j -1.75656e-07-0j -0.0005214-0j -0.00024452-0j 0.00413227-0j 5.48234e-06-0j -2.86325e-05-0j -8.13e-06-0j -1.23124e-08-0j 0.00232238-0j -4.35624e-05-0j 0.000778142-0j 0.00073555-0j -8.99056e-07-0j 0.0001605-0j 8.6682e-06-0j -4.16472e-09-0j 
1.26813e-07-0j -4.64046e-06-0j 1.44705e-08-0j 9.64548e-05-0j 1.26309e-08-0j -5.37029e-07-0j 1.18151e-08-0j -0.00123226-0j 8.18576e-09-0j -4.73615e-07-0j 1.20588e-09-0j -4.49311e-07-0j 1.13673e-05-0j 0.00908637-0j 1.52533e-09-0j 1.04432e-09-0j 1.01672e-05-0j 9.84594e-10-0j 6.96103e-06-0j -4.58576e-08-0j -0.000148809-0j -5.92019e-08-0j -0.0290797-0j -2.27868e-08-0j 8.70267e-11-0j -0.000135844-0j 1.0049e-10-0j 1.00474e-06-0j 9.47276e-07-0j 0.0011358-0j -3.4885e-09-0j 0.000757198-0j -0.0121387-0j 2.80877e-12-0j -1.38645e-05-0j 4.18641e-08-0j -0.00383159-0j 6.69275e-05-0j -0.00272399-0j -0.0012389-0j -0.000457986-0j -4.47318e-05-0j 
-5.23078e-08-0j 1.91409e-06-0j -5.96879e-09-0j -3.97856e-05-0j -5.20998e-09-0j 2.21513e-07-0j -4.87349e-09-0j 0.00050828-0j -3.37645e-09-0j 1.95356e-07-0j -4.97399e-10-0j 1.85331e-07-0j -4.68878e-06-0j -0.00374794-0j -6.29165e-10-0j -4.3076e-10-0j -4.19377e-06-0j -4.06124e-10-0j -2.87128e-06-0j 1.89153e-08-0j 6.13807e-05-0j 2.44195e-08-0j 0.0119948-0j 9.39908e-09-0j -3.58967e-11-0j 5.60326e-05-0j -4.14499e-11-0j -4.14433e-07-0j -3.90731e-07-0j -0.000468492-0j 1.43893e-09-0j -0.000312328-0j 0.00500696-0j -1.15856e-12-0j 5.71881e-06-0j -1.7268e-08-0j 0.00158045-0j -2.76062e-05-0j 0.00112359-0j 0.000511021-0j 0.00018891-0j 1.84509e-05-0j 
