0.999998+5.42101e-20j 0.524998-0.000293442j 0.0177821-0.207318j 0.295413+0.000497729j -0.114638-0.0252785j -0.0176677-0.207725j 0.0767089+0.030752j -0.0619201+0.00177579j -0.0378059+0.177959j 0.218146+0.00106268j 0.0648575+0.0014508j -0.0832888-0.0592891j 0.035668+0.178209j -0.0616305+0.00461642j 0.0769023-0.0309285j 0.0187373-0.0260294j -0.010097+0.0219575j 0.0747036+0.0496517j -0.0406101+0.0280529j 0.0508638+0.00766348j -0.0218619+0.0940181j -0.0448396-0.00290035j 0.0317435-0.118267j -0.00231477+0.0222675j -0.0417572-0.00439j 0.132362+0.00225669j -0.0115244+0.0846346j -0.119928-0.00149729j -0.000305377-0.0300637j -0.0307289-0.000242466j -0.0410128+0.00362704j -0.00102053+0.0223722j -0.0282974-0.120038j 0.0448679-0.00328111j 0.0183528+0.0928075j 0.050349-0.00921699j -0.0408235-0.0291471j -0.0752094+0.0486566j -0.00997064-0.0219959j 0.0183429+0.0257748j 
-0.119928+0.00149729j 0.00287954-0.000574013j 0.0334955-0.097314j -0.1614+0.0015564j -0.0845897-0.0187998j -0.0331431-0.0964353j -0.140683+0.131736j 0.026692+0.0905189j -0.0236158-0.10691j -0.0578492-0.00344067j -0.161415-0.00081504j -0.16537-0.117335j 0.0289597-0.104726j 0.0191713-0.0929458j -0.139306-0.134948j -0.0427513+0.0115429j -0.0751283+0.0126255j 0.00871834-0.0021719j -0.0429629+0.137953j 0.100398-0.0278286j 0.0141782-0.0688036j -0.093121-0.0112578j -0.0359509+0.0399915j -0.0291118+0.180874j -0.0231963-0.116381j 0.0664801-0.00337123j 0.0198248-0.164369j -0.0980778+4.16434e-12j -0.000316657-0.0623783j 0.0200294+0.000311823j -0.0244227+0.115576j -0.00130441+0.18058j 0.0388877+0.0449858j 0.0925872-0.0126986j -0.0155624-0.0668349j 0.100504+0.0279492j -0.0397017-0.136317j -0.00625521-0.00332058j -0.073279-0.0132137j -0.046161-0.0156881j 
0.000432042+0.0300621j 3.65562e-05+0.0121692j -0.0466251-0.0472416j 0.00278914+0.0813524j 0.00650985-0.032399j -0.0458436+0.0490255j 0.0799751-0.0887906j -0.110003+0.123381j -0.102679-0.0194582j -0.00193317+0.0713463j -0.00314257-0.277355j -0.0928239+0.130945j -0.100804+0.024834j 0.122698+0.112182j -0.0821328-0.0861852j 0.0357554-0.0105035j 0.0318975+0.002893j -0.0332928+0.0220553j -0.00812708-0.0260831j -0.0823299+0.0283665j -0.0923625+0.0149503j -0.059523+0.0394768j -0.0379371+0.0147199j -0.0114006-0.0981218j 0.0264927+0.0201781j -0.000783271-0.0531426j -0.00576898-0.000351975j 0.0012133+0.0623673j 0.0497984-0.0012217j -0.000771099+0.144815j -0.0246562+0.0207527j -0.0298683+0.093775j -0.0358158-0.0161138j -0.06078-0.0410635j -0.0939823-0.0134321j 0.0839845+0.0247982j 0.00999924-0.0266773j -0.0343468-0.0196701j -0.0305685+0.00486617j -0.0376879-0.0111833j 
-0.0307289+0.000242466j 0.0993667-0.000151581j 0.154309+0.0168415j 0.263234+0.000903857j 0.0600885+0.0127484j -0.154117+0.0167469j -0.00620234+0.0673578j 0.0317306+0.0839694j -0.0253183-0.158985j 0.219179-0.00156992j -0.084276-0.0020448j -0.0261651-0.0183524j 0.0237945-0.157217j 0.024552-0.0862639j -0.00605344-0.0701945j -0.0207651-0.00711107j -0.0266848+0.0281399j -0.0079488-0.00589561j -0.00799442-0.00927361j 0.0530073+0.0925622j 0.0599443+0.0691299j 0.00463468+0.0952035j 0.00489258+0.0753478j 0.207616-0.0569587j 0.0761171-0.162766j 0.0386779-0.00149252j 0.00524702-0.0451343j 0.0200294-0.000311823j -0.00432253-0.144753j -0.445981+1.04832e-10j 0.0824318+0.160009j -0.198127-0.086018j -0.00204497+0.0776431j -0.00120504+0.0989848j -0.0566286+0.0735194j 0.0468876-0.0955162j -0.008166+0.00914328j 0.00888535-0.00717421j -0.0253737-0.0294708j -0.0221981+0.00549933j 
-0.0410128-0.00362704j -0.0523525+0.00943635j -0.0267822+0.124922j 0.118404+0.00113779j 0.0237599-0.0344302j -0.0570333+0.172397j 0.0200783-0.107107j -0.121073-0.0260469j -0.0658777-0.170914j -0.0527571+0.073025j 0.0955882-0.115289j 0.0384069+0.0177404j -0.0410564-0.00877004j -0.0500541+0.0669718j 0.0270639-0.0275936j 0.00322552+0.00432589j 0.00719396-0.0717892j 0.0606247+0.0428763j 0.0779845-0.0128325j 0.163651+0.0687956j 0.118103+0.0136206j 0.0343862-0.0622747j -0.0116968+0.0295181j 0.086215+0.177073j -0.167666-0.0100395j -0.0119989-0.019231j 0.0175268-0.0307465j -0.0244227-0.115576j -0.0251578-0.0201418j 0.0824318-0.160009j 0.0282841+2.11298e-14j 0.129105+0.0216831j 0.0437917+0.0622064j 0.0717741+0.089847j 0.108295+0.0347806j -0.0746171+0.0130907j -0.0224067-0.0397884j -0.0163071-0.00960832j -0.0201129-0.00863145j -0.016669-0.00197635j 
0.00218119-0.022289j 0.0197397-0.0324797j -0.0154902+0.035688j 0.0905884+0.0252003j -0.150213-0.0975404j -0.0240383-0.00248241j -0.0463895-0.0963913j -0.148598-0.203397j -0.0168656+0.121964j -0.18966-0.114955j 0.107648+0.0690991j -0.0482093+0.0138516j 0.0484344+0.103291j 0.0305154+0.108092j 0.0356049+0.0839617j -0.00638629-0.014285j 0.0309277-0.0815054j 0.0974868+0.0360075j 0.193665-0.0795251j 0.0352979+0.091358j -0.0044467+0.00512663j -0.0532346-0.0783168j -0.104063+0.0123228j 0.311334-0.0433172j -0.0923418-0.175676j 0.0234378+0.0162088j 0.0488257+0.00204406j 0.0244679-0.17892j -0.0185623-0.0966504j -0.208371+0.0568765j 0.130878-0.00304507j -0.0158296-0.00228134j -0.0971458+0.0180539j -0.10336+0.0398429j -0.0509909-0.0281304j 0.00647083+0.0535589j -0.0648339-0.0379538j 0.0361914+0.0245916j -0.000454004-0.01608j 0.0139545-0.00689848j 
-0.0282974+0.120038j -0.00410518-0.0398894j -0.0527663+0.0814371j -0.00193709+0.0519027j -0.0591086-0.0930774j 0.0230455-0.023322j 0.0326863-0.132316j -0.116476+0.0312226j -0.0325046+0.0138809j 0.0509102-0.118303j 0.0235792-0.107376j 0.0870378+0.085564j 0.155202+0.03712j -0.0303817+0.033843j 0.0220333-0.0598915j 0.14883-0.0590085j -0.118646+0.0423715j 0.0574811+0.142548j -0.125637+0.0676704j 0.0223614+0.115171j 0.074834-0.094028j -0.212043-0.22987j -0.129427-0.23126j -0.102675+0.011065j 0.0125788-0.0239268j -0.125582-0.107854j -0.0735761-0.0285893j 0.0388877-0.0449858j -0.0354099+0.0169873j -0.00204497-0.0776431j 0.0437917-0.0622064j -0.093577-0.0317267j 0.0345708+2.69229e-15j 0.0242233+0.0120873j -0.0708671+0.00564671j 0.0388448+0.00226454j 0.0537783-0.0450571j 0.0197975-0.000782491j -0.0281286+0.00650554j -0.00228982-0.0163462j 
0.0446665+0.00536636j -0.0063613-0.0510979j 0.134805+0.103339j 0.0189811-0.0444564j 0.124755-0.0747214j -0.00179006-0.0500605j -0.0174745+0.143128j 0.124589-0.0845523j 0.0718881-0.0433212j -0.0544074+0.0357714j -0.0026659+0.125669j -0.10374-0.142434j 0.0600651-0.0379565j -0.101297+0.0238741j -0.0148292-0.0555937j -0.108393+0.0835841j 0.0969265-0.136098j -0.00930286+0.0226164j 0.0223533-0.0802408j 0.000855753-0.111237j -0.0757002-0.0472544j -0.0567099-0.294534j -0.200963-0.240766j -0.0531201-0.0752621j -0.0344424+0.064903j -0.00639984+0.000596496j 0.00956031+0.100645j 0.0918956+0.0169952j -0.0616704+0.0397138j 0.00340446-0.0989336j 0.075879-0.0864082j -0.0939924-0.0586185j 0.0247597-0.0109464j 0.00724928+0.000337853j -0.0595398-0.00525694j 0.0301333-0.00264965j 0.0633274-0.0181732j 2.90451e-05-0.000804415j -0.027585+0.012066j -0.00268167-0.004906j 
0.0183528-0.0928075j -0.0165433-0.0746203j -0.0164409+0.110373j -0.0324938+0.138311j -0.0162756-0.12291j 0.0539893-0.00804861j -0.0304198-0.0122519j -0.0985404+0.0991518j -0.183414-0.0973601j 0.112595+0.0956383j -0.0487611-0.0472976j 0.0161417+0.0404399j -0.0394267-0.0484663j 0.000105517-0.00311352j -0.0434884-0.00197242j 0.00301318-0.0801097j -0.0288565+0.0151404j -0.180656-0.201135j 0.0828336+0.0425699j -0.222528-0.378191j -0.0895141-0.187023j -0.0826376-0.0477391j 0.0691926-0.101442j -0.0034233+0.014918j -0.122164-0.0124411j 0.0681455+0.0995088j 0.0451803+0.0654053j -0.0155624+0.0668349j -0.0936246+0.015733j -0.0566286-0.0735194j 0.108295-0.0347806j -0.0544821+0.0205691j -0.0708671-0.00564671j -0.05972+0.00247939j 0.0184604+3.14471e-14j -0.0248149-0.000600833j -0.0106265+0.0178689j -0.0169182-0.00265574j -0.00225307-0.00821156j 0.0030078+0.0100513j 
0.0507485+0.00667611j 0.0904252-0.0298618j -0.0984114+0.0381881j -0.0532575-0.0310409j -0.133385+0.0150101j -0.0779538+0.0163362j -0.0842042-0.0463406j -0.0597539-0.00533741j -0.108311-0.086875j -0.105385+0.0155643j 0.0274252-0.0405038j 0.0354726-0.000435674j 0.0426453+0.00185589j -0.0479482-0.0268944j 0.00186683-0.048786j -0.0493778-0.0707985j -0.107308-0.131208j -0.234905-0.112833j -0.0885035-0.180873j -0.0188512+0.0261885j 0.23127+0.377393j 0.00667301+0.10921j -0.0243535-0.107985j -0.0302624-0.0949582j 0.161508+0.061012j -0.0462478+0.0654991j -0.046997+0.141278j 0.0989731-0.0329626j 0.081897-0.0310036j 0.0516265+0.0930402j -0.0751805-0.0093259j 0.0114102-0.0527279j 0.038682-0.00421301j 0.0301429+0.00253863j -0.0247534+0.00184663j -0.0132992+0.000668916j 0.0488938-0.0160167j -0.00264447-0.00595402j -0.0274373+0.0124662j -0.00367881-0.00203998j 
-0.0408235+0.0291471j 0.0559294-0.0349215j -0.0305552+0.00976782j 0.0364593+0.0847775j 0.0360627+0.00159187j 0.102779+0.0706093j -0.0746513-0.185344j -0.173567-0.245045j -0.0147057-0.0690805j -0.100466-0.10187j 0.0306131-0.00441608j 0.0348072-0.0312362j 0.065452+0.0824127j 0.12124+0.0910775j 0.0723271+0.0372766j -0.0537925-0.122578j -0.101016+0.0736139j -0.115223-0.128169j -0.145344+0.188176j -0.0873508-0.177569j -0.0828711-0.0380139j -0.02121+0.082397j 0.124763-0.0734628j -0.196429+0.0761275j 0.0810839-0.0116836j -0.0127891+0.00758194j -0.0286152-0.00927039j -0.0397017+0.136317j 0.0106505+0.026424j -0.008166-0.00914328j -0.0224067+0.0397884j -0.0695848+0.0283174j 0.0537783+0.0450571j 0.0624127+0.0211016j -0.0106265-0.0178689j 0.0496367+0.0135404j -0.0011428+8.3461e-14j 0.00954484+0.019387j 0.0156585+0.00133234j 0.0019624+0.00204816j 
-0.0752094-0.0486566j 0.0688738+0.0969585j 0.00209862-0.0212568j 0.0659883+0.00141702j -0.0342544-0.0292405j 0.0139044-0.0516275j -0.0193693-0.0672638j -0.0373357-0.0293503j -0.0309423-0.0881612j -0.171641-0.0151184j 0.0224485-0.0525759j 0.0796439-0.0133255j 0.0470284-0.0528675j -0.0465066-0.0398579j -0.00794467-0.0490289j -0.134553-0.163038j 0.215114+0.116719j 0.0387146-0.264954j 0.1129+0.131089j 0.238096+0.120357j -0.183128-0.201838j -0.00956838+0.0223884j 0.0555855+0.133592j 0.0936345+0.035976j -0.0572746-0.0405791j 0.156847+0.00799419j 0.129722+0.0210994j -0.00625521+0.00332058j -0.0338541+0.0205065j 0.00888535+0.00717421j -0.0163071+0.00960832j 0.0393292-0.0191776j 0.0197975+0.000782491j -8.43552e-06+0.000804895j -0.0169182+0.00265574j -0.00234203+0.00607935j 0.00954484-0.019387j -0.010142-9.4369e-16j -0.00604146+0.00650943j -0.00221433-0.0050403j 
-0.0101761+0.0219016j 0.0555168-0.0256263j -0.0261043+0.11971j -0.014623-0.0440437j 0.0591035-0.0973385j -0.00144093-0.0492106j 0.0855846+0.0921392j 0.0172143-0.00280306j 0.0215814+0.11765j -0.123047+0.0279918j 0.140872+0.0558715j -0.0928744-0.00257538j -0.0234546-0.0421789j -0.0787809-0.0116275j -0.00511165-0.0165409j 0.115979-0.0242677j -0.166938+0.239507j -0.218083-0.115287j -0.101556+0.0719564j -0.107497-0.131329j 0.0286782-0.0138083j -0.0897732+0.142191j 0.11802-0.0466591j -0.0285052+0.0824115j 0.00508164-0.0715901j -0.0378986-0.0454661j -0.0688984-0.0807345j -0.0733994+0.0125273j -0.0306388-0.00440193j -0.0256484+0.029232j -0.0201928+0.00844284j -0.00289132+0.0158245j -0.0280664-0.0067685j -0.0268674-0.0135891j -0.00232982+0.00819011j -0.027924-0.011334j 0.0156703-0.00118574j -0.00598028-0.00656569j -0.00303352-2.83908e-05j 0.00367188-0.00145098j 
0.0183429-0.0257748j -0.0923147+0.071749j -0.184372+0.00814989j 0.0638467-0.0538929j 0.0399668+0.016395j 0.0318869-0.0405991j 0.00481139-0.122184j -0.212839-0.00455337j -0.168112-0.0333758j -0.0651631+0.040447j 0.0644762-0.0153454j -0.0217946+0.0196135j -0.00256087-0.0121287j -0.0032259-0.00190854j 0.00371627-0.00908309j -0.0728336+0.407581j 0.119689-0.0221928j 0.136011+0.158121j -0.0570228-0.118568j -0.047821-0.0714771j -0.00436815+0.0764995j 0.104034-0.0890953j -0.145917+0.0653947j 0.00408036+0.0180489j 0.00531993+0.00173382j -0.000987359+0.0351067j -0.0238705+0.019978j -0.046161+0.0156881j -0.0374023+0.0121042j -0.0221981-0.00549933j -0.016669+0.00197635j 0.0128278+0.00881849j -0.00228982+0.0163462j -0.00290716+0.00477583j 0.0030078-0.0100513j -0.00357169+0.0022222j 0.0019624-0.00204816j -0.00221433+0.0050403j 0.00365814+0.00148528j 0.000281607+1.02973e-14j 
