-0.225061-0j 0.754544-0j -0.207581-0j -0.209732-0j -0.181633-0j -0.14984-0j -0.0478745-0j -0.0295614-0j -0.0327184-0j 0.0767687-0j -0.0172441-0j 0.0775643-0j -0.0301772-0j -0.0106693-0j -0.0176034-0j -0.0186712-0j -0.0108915-0j -0.00284133-0j -0.0192918-0j -0.00278453-0j -0.0210534-0j -0.0030388-0j -0.0163079-0j -0.00235384-0j -0.0164769-0j 0.0441834-0j -0.00237824-0j 0.00637733-0j 0.0546742-0j -0.0122812-0j 0.00789154-0j 0.0318933-0j -0.0106358-0j -0.00177263-0j 0.0046034-0j -0.00153514-0j -0.0151972-0j -0.00759858-0j -0.00219352-0j -0.00626851-0j -0.00767732-0j -0.00109676-0j -0.000904781-0j -0.00110813-0j -0.00346898-0j -0.000500705-0j -0.000764839-0j -0.000110395-0j 
-0.000991138-0j 0.00328124-0j 0.000888134-0j -0.00436544-0j -0.00689922-0j 0.00076753-0j 0.00392543-0j 0.0124068-0j -0.0402439-0j -0.0105469-0j 0.00723732-0j 0.0518413-0j 0.0360615-0j -0.0220069-0j 0.00884524-0j -0.109003-0j 0.0617869-0j 0.0374966-0j -8.49583e-05-0j -0.054513-0j 0.000271724-0j 0.17435-0j 6.97733e-05-0j 0.0447696-0j -0.000342957-0j -6.55604e-05-0j -0.220056-0j -0.0420664-0j -0.00023099-0j 0.000158505-0j -0.148213-0j -5.66576e-05-0j 0.000137849-0j 0.101704-0j -0.036354-0j 0.08845-0j 0.000307315-0j -0.000481976-0j 0.197187-0j 0.000384071-0j 0.00011913-0j -0.309257-0j 0.246437-0j 0.076439-0j -0.000276339-0j -0.177312-0j -0.000683816-0j -0.438766-0j 
-0.00179138-0j 0.00990751-0j -0.00165224-0j -0.0303446-0j 0.00707827-0j 0.0520591-0j -0.0538131-0j -0.000235294-0j 0.00127504-0j -0.000205882-0j -0.000137255-0j -0.00378118-0j 0.00117601-0j -8.49221e-05-0j 0.00611598-0j -0.00270141-0j -0.0027259-0j 0.00343865-0j 0.0146804-0j -2.21635e-05-0j -0.0784396-0j 0.000118422-0j 0.0124098-0j -1.87354e-05-0j 0.227916-0j 0.0113286-0j -0.00034409-0j -1.7103e-05-0j -0.0686347-0j -0.0457564-0j 0.00010362-0j -0.356942-0j 0.00809352-0j 6.90797e-05-0j 0.000538886-0j -1.2219e-05-0j 0.210214-0j -0.0283104-0j -0.000317365-0j 0.149991-0j -0.255012-0j 4.27409e-05-0j -0.000226446-0j 0.000384999-0j 0.372793-0j -0.000562815-0j -0.573109-0j 0.000865237-0j 
0.000258563-0j -0.00143003-0j 0.00023848-0j 0.00437987-0j -0.00102166-0j -0.00751408-0j 0.00776725-0j -0.00323663-0j 0.0175391-0j -0.00283205-0j -0.00188803-0j -0.0520127-0j 0.0161768-0j -0.00116816-0j 0.0841294-0j -0.0371596-0j -0.0374966-0j 0.0473009-0j 2.21635e-05-0j 0.0142211-0j -0.000118422-0j -0.075985-0j 1.87354e-05-0j 0.0120215-0j 0.00034409-0j 1.7103e-05-0j 0.220783-0j 0.0109741-0j -0.00010362-0j -6.90797e-05-0j -0.0664869-0j -0.000538886-0j 1.2219e-05-0j -0.0443246-0j -0.345773-0j 0.00784025-0j 0.000317365-0j -4.27409e-05-0j 0.203635-0j 0.000226446-0j -0.000384999-0j -0.0274244-0j 0.145298-0j -0.247032-0j 0.000562815-0j 0.361127-0j -0.000865237-0j -0.555174-0j 
0.0140445-0j 0.015865-0j 0.0129537-0j 0.0130879-0j 0.0113345-0j 0.00935047-0j 0.00298752-0j 0.00184472-0j 0.00204173-0j 0.00161413-0j 0.00107609-0j 0.00163086-0j 0.00188315-0j 0.000665796-0j 0.00109851-0j 0.00116514-0j 0.000679666-0j 0.000177308-0j -0.00723477-0j -0.00104425-0j 0.0013138-0j 0.000189631-0j 0.00101766-0j 0.000146887-0j 0.00102821-0j 0.000928997-0j 0.000148409-0j 0.000134089-0j 0.00114957-0j 0.000766383-0j 0.000165927-0j 0.000670585-0j 0.000663707-0j 0.000110618-0j 9.67907e-05-0j 9.57979e-05-0j 0.000948351-0j 0.000474175-0j 0.000136883-0j 0.000391175-0j 0.000479089-0j 6.84413e-05-0j 5.64612e-05-0j 6.91506e-05-0j 0.000216476-0j 3.12456e-05-0j 4.77284e-05-0j 6.889e-06-0j 
-0.00248274-0j -0.00280456-0j -0.00228991-0j -0.00231364-0j -0.00200367-0j -0.00165295-0j -0.000528124-0j 0.0153761-0j 0.0170183-0j 0.0134541-0j 0.00896942-0j 0.0135935-0j 0.0156965-0j 0.00554954-0j 0.00915628-0j 0.0097117-0j 0.00566516-0j 0.0014779-0j -0.122273-0j -0.0175927-0j 0.0222042-0j 0.00319474-0j 0.0171993-0j 0.00247464-0j 0.0173775-0j 0.0157007-0j 0.00250028-0j 0.00225902-0j 0.0194287-0j 0.0129525-0j 0.0027954-0j 0.0113334-0j 0.0112172-0j 0.0018636-0j 0.00163065-0j 0.00161392-0j 0.0160278-0j 0.00801392-0j 0.00230609-0j 0.00661115-0j 0.00809697-0j 0.00115304-0j 0.000951212-0j 0.00116499-0j 0.0036586-0j 0.0005264-0j 0.000806645-0j 0.00011606-0j 
0.000206895-0j 0.000233713-0j 0.000190826-0j 0.000192803-0j 0.000166973-0j 0.000137745-0j 4.40103e-05-0j -0.00389839-0j -0.00431472-0j -0.00341109-0j -0.00227406-0j -0.00344644-0j -0.0039796-0j -0.001407-0j -0.00232143-0j -0.00246225-0j -0.00143631-0j -0.000374698-0j -0.000106578-0j -0.209569-0j 1.93541e-05-0j 0.0380568-0j 1.49916e-05-0j 0.0294787-0j 1.5147e-05-0j 1.36854e-05-0j 0.0297842-0j 0.0269102-0j 1.69348e-05-0j 1.12899e-05-0j 0.0332997-0j 9.87865e-06-0j 9.77733e-06-0j 0.0221998-0j 0.0194248-0j 0.0192256-0j 1.39705e-05-0j 6.98526e-06-0j 0.0274709-0j 5.76255e-06-0j 7.05765e-06-0j 0.0137354-0j 0.0113311-0j 0.0138778-0j 3.18899e-06-0j 0.00627064-0j 7.03105e-07-0j 0.00138255-0j 
-0.015327-0j -0.000299975-0j -0.0141366-0j 0.0137881-0j -0.000214312-0j 0.0198783-0j 0.0127589-0j 0.0100445-0j -3.86051e-05-0j -0.00176153-0j -0.00117435-0j 0.00171811-0j -3.56067e-05-0j -0.000726594-0j 0.00233533-0j 0.00122748-0j 0.00217379-0j 0.000947379-0j -0.0013138-0j -0.000189631-0j 0.000123943-0j 1.78896e-05-0j -0.00111059-0j -0.000160301-0j 0.00108322-0j -0.00101383-0j 0.000156349-0j -0.000146334-0j -2.17361e-05-0j -1.44908e-05-0j -3.13734e-06-0j 0.0014256-0j -0.000724315-0j -2.09156e-06-0j 0.000205768-0j -0.000104546-0j 0.000999088-0j -8.9657e-06-0j 0.000144206-0j 0.0012511-0j 0.0010185-0j -1.29409e-06-0j 0.000180581-0j 0.000147008-0j 0.000924508-0j 0.000133441-0j 0.000306204-0j 4.41967e-05-0j 
0.00270946-0j 5.30285e-05-0j 0.00249902-0j -0.00243742-0j 3.78854e-05-0j -0.00351401-0j -0.00225547-0j 0.0837232-0j -0.000321781-0j -0.0146827-0j -0.00978847-0j 0.0143208-0j -0.000296789-0j -0.00605631-0j 0.0194654-0j 0.0102313-0j 0.018119-0j 0.0078966-0j -0.0222042-0j -0.00319474-0j 0.00209473-0j 0.00030139-0j -0.0187699-0j -0.00270061-0j 0.0183072-0j -0.0171345-0j 0.00263405-0j -0.00246531-0j -0.000367357-0j -0.000244905-0j -5.28554e-05-0j 0.0240938-0j -0.0122415-0j -3.52369e-05-0j 0.00346661-0j -0.0017613-0j 0.0168853-0j -0.000151527-0j 0.00242946-0j 0.0211446-0j 0.0172134-0j -2.18017e-05-0j 0.00304228-0j 0.00247667-0j 0.0156249-0j 0.00224811-0j 0.00517507-0j 0.000744589-0j 
-0.000225788-0j -4.41904e-06-0j -0.000208251-0j 0.000203119-0j -3.15712e-06-0j 0.000292834-0j 0.000187956-0j -0.0212267-0j 8.15827e-05-0j 0.00372258-0j 0.00248172-0j -0.00363082-0j 7.52463e-05-0j 0.00153548-0j -0.00493516-0j -0.00259399-0j -0.00459379-0j -0.00200206-0j -1.93541e-05-0j -0.0380568-0j 1.82585e-06-0j 0.00359025-0j -1.63606e-05-0j -0.0321706-0j 1.59574e-05-0j -1.49351e-05-0j 0.0313776-0j -0.0293676-0j -3.20204e-07-0j -2.13469e-07-0j -0.00062963-0j 2.10011e-05-0j -1.06702e-05-0j -0.000419754-0j 0.0412954-0j -0.0209812-0j 1.4718e-05-0j -1.32077e-07-0j 0.0289406-0j 1.84305e-05-0j 1.50039e-05-0j -0.000259709-0j 0.0362406-0j 0.0295029-0j 1.36193e-05-0j 0.0267802-0j 4.5108e-06-0j 0.00886979-0j 
0.0471982-0j -0.0134111-0j 0.0106384-0j -0.0110636-0j 0.0281986-0j 0.00767922-0j -0.00252544-0j -0.0015594-0j 0.00686148-0j 0.00132563-0j -0.00090965-0j -0.00137862-0j 0.00154657-0j 0.00276602-0j -0.000928601-0j 0.00289871-0j 0.000558187-0j -0.000149884-0j -0.00101766-0j -0.000146887-0j -0.00111059-0j -0.000160301-0j -0.00332262-0j -0.000479579-0j 0.00345542-0j -0.000785309-0j 0.000498747-0j -0.00011335-0j 0.000944106-0j -0.000647847-0j 0.00013627-0j -0.000566866-0j 0.00165121-0j -9.35087e-05-0j -8.18201e-05-0j 0.000238332-0j 0.000778848-0j 0.00196994-0j 0.000112417-0j -0.000330672-0j 0.00119191-0j 0.000284337-0j -4.77284e-05-0j 0.000172037-0j 0.000177784-0j 2.56609e-05-0j -4.03462e-05-0j -5.82348e-06-0j 
-0.0476873-0j -0.0130806-0j 0.0110636-0j -0.0111716-0j -0.00934522-0j 0.00717033-0j 0.0267568-0j 0.00157556-0j 0.00669236-0j 0.00137862-0j 0.000919077-0j -0.00139207-0j -0.00155265-0j 0.00056865-0j 0.000842381-0j -0.00099454-0j 0.00274365-0j 0.00275272-0j 0.00102821-0j 0.000148409-0j -0.00108322-0j -0.000156349-0j -0.00345542-0j -0.000498747-0j 0.00348913-0j 0.000793447-0j 0.000503613-0j 0.000114524-0j -0.000947818-0j -0.000631879-0j -0.000136806-0j 0.000514233-0j 0.000566866-0j -9.12039e-05-0j 7.42231e-05-0j 8.18201e-05-0j -0.000809491-0j -0.000390955-0j -0.00011684-0j 0.00157908-0j 0.000367386-0j -5.64295e-05-0j 0.000227921-0j 5.30276e-05-0j 0.0019388-0j 0.000279841-0j 0.00113324-0j 0.000163569-0j 
-0.0108378-0j 0.0363351-0j 0.0196583-0j 0.019862-0j -0.00874656-0j -0.00721555-0j -0.0023054-0j -0.00142353-0j -0.00157556-0j 0.00369681-0j 0.0040965-0j 0.00373512-0j 0.00285784-0j -0.00051378-0j 0.00166708-0j -0.000899114-0j -0.000524483-0j -0.000136824-0j -0.000928997-0j -0.000134089-0j -0.00101383-0j -0.000146334-0j -0.000785309-0j -0.00011335-0j -0.000793447-0j -0.00418426-0j -0.000114524-0j -0.000603946-0j 0.00263284-0j 0.0029175-0j 0.000380018-0j 0.00153582-0j 0.00100723-0j 0.000421105-0j 0.000221677-0j 0.000145381-0j 0.0014392-0j -0.00036591-0j 0.000207731-0j 0.00059364-0j -0.000369702-0j -5.28146e-05-0j 8.56846e-05-0j -5.33619e-05-0j -0.000167049-0j -2.41115e-05-0j -3.68309e-05-0j -5.31608e-06-0j 
-0.00834354-0j 0.00237078-0j -0.00188063-0j 0.00195579-0j -0.00498486-0j -0.00135751-0j 0.000446439-0j -0.0129979-0j 0.0571918-0j 0.0110494-0j -0.00758212-0j -0.011491-0j 0.012891-0j 0.0230553-0j -0.00774008-0j 0.0241614-0j 0.0046526-0j -0.00124931-0j -0.0171993-0j -0.00247464-0j -0.0187699-0j -0.00270061-0j -0.0561548-0j -0.00807955-0j 0.0583992-0j -0.0132723-0j 0.00840248-0j -0.00190962-0j 0.0159561-0j -0.0109491-0j 0.00229577-0j -0.00958046-0j 0.0279067-0j -0.00157536-0j -0.00137844-0j 0.00401522-0j 0.0131631-0j 0.0332935-0j 0.00189391-0j -0.0055886-0j 0.0201441-0j 0.00479027-0j -0.000804089-0j 0.00289834-0j 0.00300468-0j 0.000432314-0j -0.000681882-0j -9.81092e-05-0j 
0.000695295-0j -0.000197565-0j 0.000156719-0j -0.000162983-0j 0.000415405-0j 0.000113126-0j -3.72033e-05-0j 0.00329542-0j -0.0145001-0j -0.00280141-0j 0.00192233-0j 0.00291338-0j -0.00326831-0j -0.00584533-0j 0.00196238-0j -0.00612575-0j -0.0011796-0j 0.000316744-0j -1.49916e-05-0j -0.0294787-0j -1.63606e-05-0j -0.0321706-0j -4.89468e-05-0j -0.0962462-0j 5.09031e-05-0j -1.15687e-05-0j 0.100093-0j -0.022748-0j 1.3908e-05-0j -9.54369e-06-0j 0.0273479-0j -8.35073e-06-0j 2.43247e-05-0j -0.0187662-0j -0.0164204-0j 0.0478306-0j 1.14735e-05-0j 2.902e-05-0j 0.0225609-0j -4.87126e-06-0j 1.75585e-05-0j 0.0570632-0j -0.00957856-0j 0.034526-0j 2.61901e-06-0j 0.00514986-0j -5.94356e-07-0j -0.00116871-0j 
0.00843-0j 0.00231234-0j -0.00195579-0j 0.00197487-0j 0.00165202-0j -0.00126755-0j -0.00472998-0j 0.0131326-0j 0.0557822-0j 0.011491-0j 0.00766069-0j -0.0116031-0j -0.0129417-0j 0.00473981-0j 0.00702142-0j -0.00828969-0j 0.0228689-0j 0.0229445-0j 0.0173775-0j 0.00250028-0j -0.0183072-0j -0.00263405-0j -0.0583992-0j -0.00840248-0j 0.058969-0j 0.0134099-0j 0.00848446-0j 0.00192941-0j -0.0160188-0j -0.0106792-0j -0.00230479-0j 0.00869092-0j 0.00958046-0j -0.00153653-0j 0.00125045-0j 0.00137844-0j -0.013681-0j -0.00660744-0j -0.00196842-0j 0.0266876-0j 0.00620909-0j -0.000950678-0j 0.00383982-0j 0.000893365-0j 0.0327671-0j 0.00471453-0j 0.0191526-0j 0.00275568-0j 
0.0134111-0j -0.000779012-0j -0.0120174-0j -0.0120646-0j -0.000551893-0j 0.0168983-0j -0.011164-0j 0.00176153-0j 3.37794e-05-0j 0.00444434-0j 0.00102756-0j 0.00446181-0j -3.02689e-05-0j -0.00312455-0j -0.00204341-0j 0.00316098-0j 0.00184792-0j -0.000828957-0j 0.00114957-0j 0.000165927-0j 2.17361e-05-0j 3.13734e-06-0j -0.000944106-0j -0.00013627-0j -0.000947818-0j -0.00263284-0j -0.000136806-0j -0.000380018-0j 5.48403e-05-0j 1.26794e-05-0j 7.91551e-06-0j 0.00370219-0j -0.00186524-0j 1.83012e-06-0j 0.000534365-0j -0.000269225-0j 0.000849316-0j -3.8555e-05-0j 0.000122588-0j -0.00109471-0j 0.00262282-0j -5.56493e-06-0j -0.000158008-0j 0.000378572-0j 0.000785916-0j 0.000113437-0j -0.000267928-0j -3.86721e-05-0j 
0.00191588-0j -0.00642321-0j -0.00347513-0j -0.00351114-0j 0.00154619-0j 0.00127554-0j 0.000407541-0j -0.0118654-0j -0.0131326-0j 0.0308136-0j 0.0341452-0j 0.031133-0j 0.0238207-0j -0.00428246-0j 0.0138954-0j -0.0074943-0j -0.00437168-0j -0.00114046-0j -0.0157007-0j -0.00225902-0j -0.0171345-0j -0.00246531-0j -0.0132723-0j -0.00190962-0j -0.0134099-0j -0.0707171-0j -0.00192941-0j -0.0101748-0j 0.044497-0j 0.049308-0j 0.00640224-0j 0.0259566-0j 0.017023-0j 0.00709444-0j 0.00373464-0j 0.00244927-0j 0.0243236-0j -0.00618416-0j 0.00349968-0j 0.010033-0j -0.00624825-0j -0.000889778-0j 0.00144354-0j -0.000898999-0j -0.00282326-0j -0.000406211-0j -0.00062247-0j -8.9561e-05-0j 
-0.0007025-0j -0.000192695-0j 0.000162983-0j -0.000164573-0j -0.000137668-0j 0.000105629-0j 0.000394165-0j -0.00332957-0j -0.0141427-0j -0.00291338-0j -0.00194225-0j 0.0029418-0j 0.00328116-0j -0.00120171-0j -0.00178017-0j 0.00210172-0j -0.00579806-0j -0.00581723-0j 1.5147e-05-0j 0.0297842-0j -1.59574e-05-0j -0.0313776-0j -5.09031e-05-0j -0.100093-0j 5.13998e-05-0j 1.16886e-05-0j 0.10107-0j 0.0229838-0j -1.39627e-05-0j -9.30846e-06-0j -0.0274554-0j 7.57536e-06-0j 8.35073e-06-0j -0.0183036-0j 0.0148958-0j 0.0164204-0j -1.19249e-05-0j -5.75931e-06-0j -0.0234485-0j 2.3262e-05-0j 5.4121e-06-0j -0.0113248-0j 0.0457412-0j 0.010642-0j 2.85612e-05-0j 0.056161-0j 1.66942e-05-0j 0.0328266-0j 
0.00894076-0j 0.000174985-0j -0.0406809-0j 0.0396782-0j 0.000125015-0j -0.0115956-0j -0.00744268-0j 0.00117435-0j 2.25196e-05-0j 0.00102756-0j 0.00461378-0j -0.00100223-0j -0.000102465-0j 0.000423846-0j 0.00672038-0j -0.000716029-0j -0.00126804-0j -0.000552638-0j 0.000766383-0j 0.000110618-0j 1.44908e-05-0j 2.09156e-06-0j 0.000647847-0j 9.35087e-05-0j -0.000631879-0j -0.0029175-0j -9.12039e-05-0j -0.000421105-0j 1.26794e-05-0j 5.69311e-05-0j 1.83012e-06-0j -0.000831602-0j -0.00208436-0j 8.2173e-06-0j -0.000120031-0j -0.000300852-0j 0.00287508-0j 5.22999e-06-0j 0.000414982-0j 0.0036003-0j -0.000594125-0j 7.54884e-07-0j 0.000519659-0j -8.57546e-05-0j -0.000539296-0j -7.78407e-05-0j -0.000178619-0j -2.57814e-05-0j 
-0.000159656-0j 0.000535267-0j 0.000289594-0j 0.000292595-0j -0.000128849-0j -0.000106295-0j -3.39618e-05-0j 0.0030083-0j 0.00332957-0j -0.00781233-0j -0.00865699-0j -0.00789329-0j -0.00603938-0j 0.00108575-0j -0.00352297-0j 0.00190007-0j 0.00110837-0j 0.000289146-0j -1.36854e-05-0j -0.0269102-0j -1.49351e-05-0j -0.0293676-0j -1.15687e-05-0j -0.022748-0j -1.16886e-05-0j -6.164e-05-0j -0.0229838-0j -0.121205-0j 3.87854e-05-0j 4.29789e-05-0j 0.0762655-0j 2.26248e-05-0j 1.48379e-05-0j 0.0845112-0j 0.0444882-0j 0.0291764-0j 2.12014e-05-0j -5.39037e-06-0j 0.0416893-0j 8.74515e-06-0j -5.44623e-06-0j -0.0105993-0j 0.017196-0j -0.0107092-0j -2.46087e-06-0j -0.00483891-0j -5.42571e-07-0j -0.00106688-0j 
-0.00782316-0j -0.0510929-0j -0.00721555-0j -0.00654559-0j 0.012299-0j -0.0200218-0j 0.0211948-0j -0.00102756-0j 0.00221548-0j 0.0026685-0j -0.000599409-0j 0.00242073-0j 0.00204341-0j -0.000370866-0j -0.00235219-0j -0.000582715-0j -0.000453261-0j 0.00431109-0j -0.000670585-0j -9.67907e-05-0j 0.0014256-0j 0.000205768-0j -0.000566866-0j -8.18201e-05-0j -0.000514233-0j 0.00153582-0j -7.42231e-05-0j 0.000221677-0j -0.00370219-0j 0.000831602-0j -0.000534365-0j 0.00426163-0j -0.000369702-0j 0.000120031-0j 0.000615114-0j -5.33619e-05-0j -0.000474293-0j 0.000514528-0j -6.84583e-05-0j -0.00026087-0j -0.00102586-0j 7.42657e-05-0j -3.76533e-05-0j -0.00014807-0j 0.00153577-0j 0.00022167-0j 0.00258514-0j 0.000373133-0j 
0.00774292-0j 0.00874656-0j 0.0413341-0j -0.0141901-0j 0.00554741-0j -0.0151716-0j 0.00164706-0j 0.00101702-0j 0.00112563-0j -0.00261901-0j -0.00292668-0j 0.000899114-0j 0.00600898-0j 0.0045855-0j -0.00119102-0j 0.000570254-0j -0.00110279-0j 9.7752e-05-0j 0.000663707-0j 9.57979e-05-0j 0.000724315-0j 0.000104546-0j -0.00165121-0j -0.000238332-0j 0.000566866-0j -0.00100723-0j 8.18201e-05-0j -0.000145381-0j -0.00186524-0j -0.00208436-0j -0.000269225-0j 0.000369702-0j -0.000638826-0j -0.000300852-0j 5.33619e-05-0j -9.22066e-05-0j 0.0030261-0j 0.00326576-0j 0.000436781-0j -0.000424117-0j 0.00023448-0j 0.000471372-0j -6.12161e-05-0j 3.38442e-05-0j -0.000351242-0j -5.06975e-05-0j 2.63133e-05-0j 3.79799e-06-0j 
-0.00237078-0j 0.000137711-0j 0.00212439-0j 0.00213274-0j 9.75618e-05-0j -0.00298723-0j 0.00197354-0j 0.0146827-0j 0.000281559-0j 0.0370445-0j 0.00856491-0j 0.0371901-0j -0.000252297-0j -0.0260438-0j -0.0170322-0j 0.0263474-0j 0.0154028-0j -0.00690952-0j 0.0194287-0j 0.0027954-0j 0.000367357-0j 5.28554e-05-0j -0.0159561-0j -0.00229577-0j -0.0160188-0j -0.044497-0j -0.00230479-0j -0.00640224-0j 0.000926842-0j 0.000214292-0j 0.000133354-0j 0.0625698-0j -0.031524-0j 3.08323e-05-0j 0.00900255-0j -0.00453568-0j 0.0143541-0j -0.000651608-0j 0.00206527-0j -0.0185015-0j 0.0443277-0j -9.37534e-05-0j -0.002662-0j 0.00637787-0j 0.0132826-0j 0.0019111-0j -0.00452819-0j -0.000651516-0j 
-0.00158052-0j -3.09333e-05-0j 0.00719143-0j -0.00701418-0j -2.20998e-05-0j 0.00204984-0j 0.00131569-0j 0.00978847-0j 0.000187706-0j 0.00856491-0j 0.0384568-0j -0.00835381-0j -0.00085407-0j 0.00353285-0j 0.0560157-0j -0.00596825-0j -0.0105694-0j -0.00460635-0j 0.0129525-0j 0.0018636-0j 0.000244905-0j 3.52369e-05-0j 0.0109491-0j 0.00157536-0j -0.0106792-0j -0.049308-0j -0.00153653-0j -0.00709444-0j 0.000214292-0j 0.000962178-0j 3.08323e-05-0j -0.0140547-0j -0.0352273-0j 0.000138438-0j -0.00202219-0j -0.00506851-0j 0.048591-0j 8.83908e-05-0j 0.00699128-0j 0.0608478-0j -0.0100412-0j 1.27177e-05-0j 0.00875478-0j -0.00144472-0j -0.00911451-0j -0.0013114-0j -0.00301879-0j -0.000434344-0j 
-0.0110636-0j 0.0120646-0j -0.0194966-0j -0.0202637-0j -0.0253674-0j 0.00642515-0j -0.0246786-0j -0.00145319-0j 0.00155265-0j 0.00123534-0j 0.00418185-0j 0.00128395-0j 0.00273612-0j 0.00257762-0j 0.00152796-0j -0.00269966-0j 0.00245852-0j -0.00253892-0j -0.000948351-0j -0.000136883-0j 0.000999088-0j 0.000144206-0j 0.000778848-0j 0.000112417-0j 0.000809491-0j 0.0014392-0j 0.00011684-0j 0.000207731-0j -0.000849316-0j -0.00287508-0j -0.000122588-0j -0.000474293-0j -0.0030261-0j -0.000414982-0j -6.84583e-05-0j -0.000436781-0j 0.0014265-0j -0.00177215-0j 0.000205898-0j 0.00286423-0j 0.000997261-0j -0.000255789-0j 0.000413416-0j 0.000143942-0j 0.00173731-0j 0.000250758-0j -0.00104522-0j -0.000150865-0j 
0.00138295-0j 0.00903204-0j 0.00127554-0j 0.00115711-0j -0.00217418-0j 0.00353939-0j -0.00374674-0j -0.00856491-0j 0.0184665-0j 0.0222425-0j -0.0049962-0j 0.0201773-0j 0.0170322-0j -0.00309124-0j -0.019606-0j -0.00485705-0j -0.00377802-0j 0.0359338-0j -0.0113334-0j -0.00163065-0j 0.0240938-0j 0.00346661-0j -0.00958046-0j -0.00137844-0j -0.00869092-0j 0.0259566-0j -0.00125045-0j 0.00373464-0j -0.0625698-0j 0.0140547-0j -0.00900255-0j 0.0720248-0j -0.00624825-0j 0.00202219-0j 0.0103629-0j -0.000898999-0j -0.0080159-0j 0.0086959-0j -0.00115333-0j -0.00440889-0j -0.0173377-0j 0.00125117-0j -0.000634352-0j -0.00249456-0j 0.0259557-0j 0.00373451-0j 0.0436909-0j 0.00628625-0j 
0.000197565-0j -1.14759e-05-0j -0.000177033-0j -0.000177729-0j -8.13015e-06-0j 0.000248936-0j -0.000164462-0j -0.00372258-0j -7.13849e-05-0j -0.00939206-0j -0.0021715-0j -0.00942899-0j 6.39662e-05-0j 0.006603-0j 0.00431827-0j -0.00667998-0j -0.00390514-0j 0.0017518-0j 1.69348e-05-0j 0.0332997-0j 3.20204e-07-0j 0.00062963-0j -1.3908e-05-0j -0.0273479-0j -1.39627e-05-0j -3.87854e-05-0j -0.0274554-0j -0.0762655-0j 8.07874e-07-0j 1.86785e-07-0j 0.00158856-0j 5.45384e-05-0j -2.74776e-05-0j 0.000367284-0j 0.107241-0j -0.0540304-0j 1.25116e-05-0j -5.67968e-07-0j 0.0246021-0j -1.61267e-05-0j 3.86378e-05-0j -0.00111682-0j -0.0317105-0j 0.0759753-0j 1.15776e-05-0j 0.0227656-0j -3.94695e-06-0j -0.00776107-0j 
-0.00136877-0j -0.00154619-0j -0.00730691-0j 0.00250848-0j -0.000980654-0j 0.00268199-0j -0.000291162-0j 0.00847707-0j 0.00938239-0j -0.02183-0j -0.0243945-0j 0.0074943-0j 0.0500861-0j 0.0382211-0j -0.00992737-0j 0.00475318-0j -0.009192-0j 0.000814783-0j 0.0112172-0j 0.00161392-0j 0.0122415-0j 0.0017613-0j -0.0279067-0j -0.00401522-0j 0.00958046-0j -0.017023-0j 0.00137844-0j -0.00244927-0j -0.031524-0j -0.0352273-0j -0.00453568-0j 0.00624825-0j -0.0107966-0j -0.00506851-0j 0.000898999-0j -0.00155342-0j 0.0511434-0j 0.0551939-0j 0.00735852-0j -0.0071679-0j 0.00396288-0j 0.0079413-0j -0.00103132-0j 0.00057018-0j -0.00593626-0j -0.00085411-0j 0.000444714-0j 6.39855e-05-0j 
-0.00553181-0j -0.000108267-0j 0.0250751-0j 0.0049764-0j -0.000966283-0j -0.0352595-0j 0.00460492-0j -0.000726594-0j -1.39333e-05-0j 0.00312455-0j -0.000423846-0j 0.000620099-0j 6.31581e-05-0j -0.00189909-0j 0.000842864-0j 0.00553441-0j -0.00385581-0j 0.000341927-0j -0.000474175-0j -6.84413e-05-0j -8.9657e-06-0j -1.29409e-06-0j 0.00196994-0j 0.000284337-0j 0.000390955-0j -0.00036591-0j 5.64295e-05-0j -5.28146e-05-0j 3.8555e-05-0j -5.22999e-06-0j 5.56493e-06-0j 0.000514528-0j -0.00326576-0j -7.54884e-07-0j 7.42657e-05-0j -0.000471372-0j -0.00177215-0j -2.34336e-05-0j -0.000255789-0j 0.000451546-0j 0.00459218-0j -3.38234e-06-0j 6.51751e-05-0j 0.000662823-0j -0.00163987-0j -0.000236694-0j 0.000110515-0j 1.59514e-05-0j 
0.00013171-0j 2.57777e-06-0j -0.000599286-0j 0.000584515-0j 1.84165e-06-0j -0.00017082-0j -0.000109641-0j -0.00248172-0j -4.75899e-05-0j -0.0021715-0j -0.00975014-0j 0.00211798-0j 0.000216537-0j -0.000895699-0j -0.0142019-0j 0.00151316-0j 0.00267971-0j 0.00116787-0j 1.12899e-05-0j 0.0221998-0j 2.13469e-07-0j 0.000419754-0j 9.54369e-06-0j 0.0187662-0j -9.30846e-06-0j -4.29789e-05-0j -0.0183036-0j -0.0845112-0j 1.86785e-07-0j 8.38674e-07-0j 0.000367284-0j -1.22507e-05-0j -3.07056e-05-0j 0.00164912-0j -0.024089-0j -0.0603777-0j 4.23539e-05-0j 7.70451e-08-0j 0.0832824-0j 5.30374e-05-0j -8.75229e-06-0j 0.000151497-0j 0.10429-0j -0.01721-0j -7.94459e-06-0j -0.0156218-0j -2.6313e-06-0j -0.00517404-0j 
