-0.0168944-0.18966j 0.0516783+0.187733j -0.0561006-0.0784421j 0.11414+0.518119j -0.287615-0.219061j -0.0338117+0.285022j -0.000727713-0.60685j -0.197074+0.259668j -0.432593+0.622944j -0.534245-0.162526j -0.108167+0.316224j -0.0496027+0.36993j -0.144061+0.00952858j -0.705694-0.247938j 0.454658+1.31503j 0.28383-0.661734j -0.385202+0.536403j 0.125711+0.127367j 0.158126-0.274624j 0.926267-0.467142j 0.340188-0.0981235j -1.22287-0.49455j -0.390176-1.04877j -0.244654+0.148075j 0.429807-0.816711j -0.976078-0.458799j -0.08965+0.0895197j 0.396713-0.373375j 0.579918+1.06096j -0.0503208+0.301249j -0.000421069+0.0441867j 0.67036+0.16366j -0.647955-0.877786j 0.170694+0.209622j 0.325571+0.290284j 0.645237-0.185322j 0.0118823+0.771493j -0.162255+0.694231j 0.776252-0.877916j 0.654586+1.02528j 0.246014+0.933665j -1.50017-0.407394j 0.412702-0.0654394j 0.452263-1.42607j 0.106919+0.363688j 0.782323-0.935809j -0.357879-0.111758j -0.374156-0.226071j -0.31881+0.19j 1.27277+0.4046j 1.25383-1.4781j -1.74617-0.992678j 
0.160292+0.102931j -0.59022-0.214856j 0.848954+0.177626j -0.841982+0.635605j 0.128076+0.0472876j 0.409628+0.447337j 0.733151-0.662406j 1.63331+0.420575j 1.53749+1.12463j -0.391702-0.0858723j -2.88161+0.836862j 0.00387296-0.420495j -1.01066-0.515929j -1.60295+0.641644j -0.0731539+0.97949j 2.70248+0.606839j -1.1228-0.652853j -0.0554914+0.685923j 2.05345-0.415025j 0.155174-0.296452j 0.611922-0.912976j 4.04525+1.49387j -0.26623-1.48723j 3.25214+0.280583j 0.215811-1.09352j 0.198429+0.493923j 3.07916+1.10142j 0.222097+0.243478j 2.37547-0.144868j -0.241521-0.310816j 4.4192-0.507572j 0.584993+0.626421j -1.768-0.0251606j -0.564358-0.229177j -0.14657-0.148058j 2.65882-0.612567j -3.88337+0.302403j 0.712127+0.908102j 1.03067-0.699146j 2.15088-1.15955j -0.0312323+0.0941317j 2.92253+0.98869j 0.880741-2.16137j 0.368554-1.30226j -0.919792+1.43478j 0.252834-1.13118j 2.57869-0.274498j 1.16392-0.946595j -1.92031+0.100739j -0.173798-0.700198j 0.884752+1.52543j -0.447363+1.79559j 
-0.342186-0.0499559j 0.465929+0.4594j -0.0976897-0.463812j 0.776079+0.160493j -0.34113+0.0478131j 0.312016+0.387347j -0.555108-0.135134j 0.215032-0.55917j 0.345907-0.0459179j 0.0249734+1.04393j 0.792392+1.16009j -0.14932+0.424395j 0.151911+0.466196j 0.455958+0.298259j 1.46099-0.480881j -0.849801-0.324027j -0.239318+0.181447j 0.0728067+0.216618j -0.239566-0.656519j -0.159614-0.634153j -0.594973-0.0297667j -0.0485527-0.62538j -0.883259+0.203189j 0.453402-0.594415j -0.555354+0.758727j -0.366177-0.080938j -0.0909907-0.369841j -0.211185-0.0460672j -0.425122-0.938774j -0.535575+0.549938j -1.01393-1.07302j 1.0059-0.93918j 0.442541+1.19749j -0.549857+0.130605j -0.134352+0.28385j -1.09078-0.079836j 0.944271+0.406687j 1.03844+0.7605j -2.02328-0.447047j -1.0562-1.22854j 0.148095-0.539223j 0.474814-1.10072j -2.19401-0.393866j -1.25302+0.732441j 1.43121-0.265194j 0.373209+0.0842307j -1.0494-1.51583j -0.922578-1.50742j -0.447572+1.43634j 0.7353-0.450263j 0.123894-0.77124j 0.813011-0.444869j 
0.379924+0.00395188j -0.595939+0.0599694j 0.217922-0.113384j -0.417167+0.116457j 0.122596-0.452723j 0.228056-0.424433j -0.369508-0.0527192j 0.0430572-0.327845j 0.311544-0.771045j -0.0843306-0.841706j -0.0843032+0.0463432j -0.327334+0.0553885j -0.920508-0.316026j 0.205726+0.0854314j -0.702701+0.832189j 2.22269+0.239762j -0.962805-0.580784j 0.426581-0.747859j -0.010174-0.700544j 0.0472828+1.13519j 0.0174751+0.0198668j 2.00364-1.32105j -0.620497+0.294422j -0.117329-0.913741j -0.583114-1.09121j 0.879911+0.138459j 1.67682-1.04679j 0.520824-0.0680617j 0.406163+0.468187j 0.284159+0.38137j 1.04831-0.72724j -0.584106+0.758063j -0.0696044+0.169683j 0.249069-0.185588j 0.133625+0.256617j 0.768333-1.19136j -1.06615+1.39256j -0.242364-1.71592j 1.92503+1.03431j -0.401605+0.106283j 0.603344+1.11072j 0.263682-1.19413j 0.17392+0.555457j 0.439465+0.189053j -0.11604+0.116995j -1.58129-0.165854j 0.105847-0.365809j 0.0861558+1.521j 1.70972+0.795263j -1.76894+1.03148j 1.35856-0.12416j 0.958568+0.337065j 
-0.130454+0.316346j 0.0660657-0.169746j 0.49085-0.0837105j -0.592362+0.304687j -1.52026+0.495798j 0.527919+0.160569j 0.497736+0.0411642j 1.39071+0.590406j 1.37334+1.66867j 0.157257+0.59805j -2.43868+0.194282j 0.377048-0.241602j -1.32178-0.529776j -0.486272+0.595525j 0.392245-0.00628778j 3.74574+1.28506j -2.99456+0.364328j -1.61157-1.03582j 1.85618+0.178995j 0.0581015-0.327286j 1.57982-0.731359j 3.85528+0.3484j 0.270323+0.164753j 2.97444-0.126721j -1.15447+0.242811j 0.643757+0.523702j 3.34571+0.0707163j 0.201004+0.717431j 1.84009-0.415077j 0.498878+1.62222j 4.24118-1.49157j 0.602776+0.567084j -0.163345-1.07436j -0.148018-0.435874j -0.359802+0.630533j 2.52078-0.859797j -3.37926+1.07687j 0.061073+0.093324j 0.241603+0.231075j -0.385473+0.77996j 1.25372-1.78809j 0.582025-1.67897j 1.36933-0.911459j 1.30945-0.745904j -0.383272-0.886484j 0.495962-0.954121j -2.61776-0.521616j 1.64724+0.362682j 0.163505-0.380953j 0.29144+0.732496j 0.31394+0.770818j -0.533327+0.602318j 
0.15956+0.327166j -0.0444278-0.582743j -0.143047+0.126398j -0.0237362-0.415466j 0.365238+0.086841j 0.286486-0.301519j 0.166972-0.0981703j -0.224615-0.215925j 0.27186-0.440593j 0.957294-0.280728j 0.627479-0.434665j 0.135754-0.296024j 0.401979-0.552148j 0.340455+0.134721j -0.94937-0.88459j -0.315045+1.22764j 0.628692-0.326336j 0.547647-0.0748825j 0.0293502+0.0925511j -1.05737+0.0987809j 0.0892916+0.190768j 0.160835+0.582828j 0.0800787+0.189924j -0.169176-0.638258j 0.993646-0.253919j 0.076457+0.878255j 0.206299+0.56074j 0.0286626+0.517968j -0.835126+0.274419j 0.14371+0.185006j -0.351795+0.828089j -1.07879-0.611266j 0.556147-0.308488j 0.566835+0.414005j -0.142142+0.203853j 0.648082+0.457671j -0.533043-0.510793j 1.16943-1.22331j -0.405457+2.21049j -0.789849+0.139569j -0.909226+0.435018j -0.151534-0.306455j -0.0476176+1.18755j 0.348883+0.540589j -0.269061-0.470878j -0.29426-1.03755j -0.552026+0.559924j -1.53171+1.05549j 0.359313+1.04544j -1.27432-1.13321j -0.143256+0.674139j -0.364645+0.336955j 
0.192353-0.0222319j -0.0521968-0.0183345j -0.254286-0.218157j 0.478693+0.0975176j 0.690744+0.706273j -0.189711-0.0550507j -0.175673-0.218068j -0.0641044-0.637329j 0.558743-0.983472j 0.557456-0.3056j 0.898339+0.811421j -0.320592+0.151507j 0.124884+0.621768j 0.736207-0.531264j -0.204721-0.209212j -0.305229-1.33502j 1.05374+0.980129j -0.550137+1.32849j -0.494403-1.02498j -0.440639+0.490424j -0.943066-0.701491j -1.22796-1.24973j 0.116401-0.287552j -1.01766-0.735773j 0.50402+0.920453j 0.178669-0.454665j -0.939005-1.09412j 0.614254-0.213289j -1.18535+0.253151j 1.22763-0.852966j -2.39538-0.796324j 0.282632-0.296231j -0.871893+0.00996539j -0.251768-0.141094j 0.568539+0.398602j -1.38456-0.46928j 1.83068+0.296175j -0.0214163+0.126099j 0.1251+0.725331j 0.430668+0.87026j -1.68682-0.0648658j -1.7316+1.151j -1.1055-0.562313j -0.715709-0.246109j -0.665669-0.404696j -0.713081+0.0896865j 0.30668+2.76816j -0.105126-0.84733j -0.0875007+0.273031j 0.455331-0.336385j 0.327463-0.421915j 0.57529+0.0383284j 
0.203198-0.692388j -0.0890283+0.902492j -0.664474-0.36628j 1.89589-0.317514j 0.596942-0.152994j -1.6636-0.260151j -0.952877-0.906226j -1.21612-0.06157j -1.09569-1.9676j 0.276095-0.0663419j 2.98978+0.0987175j -0.632481-0.689623j 2.3571+0.61729j 3.52261+0.115576j -0.451689-0.0536981j -6.6353-0.0662385j 3.01796-0.404697j -0.405862-1.16902j -1.03252+0.798153j -1.87144+0.632945j -0.0939569+0.125833j -6.10862-0.0454059j 1.04626+0.325037j -4.12433+1.09431j 0.346547+0.76499j -0.369724-0.516988j -4.37905+0.296857j 0.271291+1.38056j -4.67822-0.138129j -0.645559-0.191174j -5.4562+1.01787j -0.936833+0.726434j -0.942163-0.365974j 1.09977-1.0484j -1.76277-0.661181j -2.80122+0.371599j 5.72289-0.120017j -0.974635-0.491223j -1.56889-0.104107j -3.25805+0.0528062j -0.325153+0.829773j -4.31725-0.418632j -0.340447-1.80763j -1.5901-0.282185j 1.15268+0.946711j -0.435322+1.01052j -2.43826+0.243192j -1.05312+1.00695j -2.36409+1.27745j -0.183774-0.505527j -0.82656-1.004j 0.998581-0.285843j 
0.351496-0.0808675j -0.600573+0.0434256j 0.148032-0.554054j 0.788015+1.08576j -0.217623+0.0148035j -0.112123-0.476061j 0.373365-0.7353j 0.112762-0.292227j 1.37044-0.387018j 0.338542+0.149892j 0.389308+1.32152j 0.385178-0.166433j -0.14638+1.12301j 0.899969+2.17081j -0.0841053+0.0405382j -0.882026-2.75776j 0.426817+0.541588j 0.390779-0.322482j -1.15835+0.025629j -0.886869-0.608279j -0.329277+0.152206j -1.31035-1.95056j -0.307878+0.888115j -1.21325-1.06887j -0.35263+0.662629j 0.501817-0.121844j -0.827288-1.5961j -0.629897+0.867341j -0.7273-1.31213j -0.121258-0.690325j -1.28971-1.23057j -0.855462-0.447167j -0.793295-1.36525j 1.25954-0.0173146j 0.260615-1.33149j -0.460848-0.0987751j 0.683449+1.97087j 0.129829-0.415344j 0.295437+0.295738j -0.678103-1.8362j -0.870337+0.590895j -0.360729-1.76777j 1.03415-0.673249j 0.227299-0.628949j -1.2873+0.458654j -0.534644-0.104152j -0.893855-1.55805j -0.660787-0.438853j -1.43037-1.04414j 0.518108-0.223264j 0.563062-0.635479j 0.423649+0.66554j 
-0.544098+0.210492j -0.0545115-0.503792j 0.243509+0.0541727j -0.54686-0.298932j -1.80697-0.367244j 1.21032+0.421151j 0.213694+0.256386j 1.41812-0.0309498j 0.765067+0.91123j 0.405543-0.190104j -1.3262-0.00763295j 1.21218-0.870082j -1.03697-0.673881j -0.496244+0.989984j -0.238629+0.465096j 3.70935+0.299201j -3.48545-0.914j -0.620178+0.85714j 0.389978+1.07623j 1.64292+0.629238j -0.50088-0.713069j 1.76537+0.890208j -0.905093-0.642587j 2.95612-0.416936j 0.888019+0.875005j 0.671353+0.180051j 2.20691-0.888082j 1.25389-0.0220138j 1.81992+0.58373j -0.732771-0.458228j 3.97499+0.553173j -0.00102473-1.12234j -2.29655+1.40543j 0.815992-0.0154764j 0.792923+0.500416j 1.82961+0.999106j -2.3409+0.194356j -0.210796+0.415991j 2.34992+0.260659j 0.502321+0.221403j -0.00234628+0.388654j 1.91381+1.85943j -0.903965+0.159321j 0.238283+0.0111288j -2.34837+1.20051j 0.448465-0.719166j -0.165117-1.74348j 1.14419+0.0671998j 0.838752+0.0741708j -0.0509698-0.114604j 0.226709+0.605241j -0.649301-0.0836576j 
0.23362-0.494902j -0.434273+0.243908j -0.453742-0.22908j 0.864309+0.371396j -1.15537-0.138557j 0.0280946+0.724551j 0.350715-1.71722j -0.398066-0.666081j -1.56889+0.159326j 0.182131+0.35592j 0.0510949-0.370521j -0.333151+0.896137j 0.903998-1.08533j -0.49781-0.177691j 0.685354+0.119142j -0.496401+0.626937j 1.23375+0.430337j -1.06096+0.984443j -1.08386-0.7531j -0.570662-0.361856j 0.822629+0.916658j -1.28945+0.901878j 0.353412+1.20035j -0.74745-0.613208j -0.773059+0.164108j 0.483245+1.5549j -1.21227+0.399898j 0.514115-0.440536j 0.450569+1.02959j -0.3756-0.987233j -2.25412+0.415915j 0.0435215-0.6709j 0.80158-0.733969j 0.171554-0.97025j 1.54208-0.312956j -0.253051+0.944548j 1.08301-0.0189367j 0.667433-0.888997j 0.23233-0.243482j -1.21935-0.0112087j -0.63378-0.481227j -0.406376+0.060109j 0.354646+0.968611j -1.33504+0.734529j 0.217231-0.635385j 1.13014+1.34239j -0.124443-0.362862j 0.941626-1.15335j -0.487091+0.819469j -0.376675+0.47456j -0.675619+0.153678j 0.495086+0.34579j 
-0.539944-0.151869j 0.390993-0.596989j 0.187421+0.24578j -0.494881-0.30574j -0.339152-1.05924j 0.776567+1.51168j 0.380454+0.475237j 1.43663+0.350164j 0.0780786+0.742523j 0.170296+0.317145j -1.2848+0.18818j 1.33784+0.731921j -0.388537-0.494096j -2.09318+0.96965j -0.429274-0.34001j 2.77269+1.45497j -0.953878-1.78572j -0.667397+0.255448j -0.674178+0.725896j 0.760088+0.828192j 1.13894-0.431968j 2.21843-0.65247j 0.283591-0.7921j 2.1386+1.0566j -0.811479+0.991088j -0.00286914+0.860278j 3.27107+0.435324j 0.27859+1.21377j 1.84924-0.151339j 0.0324333-0.10028j 1.93708+1.69103j 1.38915+0.0677721j -1.78925-0.880431j -0.119243+1.36058j 0.302084+0.612033j 0.852915-0.307993j -2.77601+0.252346j -0.461922-0.213656j 1.22004+1.82356j 0.553245-0.56659j 0.443228-0.153816j 0.121096+1.01897j -0.217786-0.39132j 0.196066-0.74471j -1.86831-0.940603j 0.628629-0.291337j 2.03301-1.26867j 0.556517-0.0141224j 0.7028+0.0870031j 0.334754-0.131927j -0.112054+0.651399j -0.451608-0.48386j 
0.487897-0.180877j -0.11682+0.455691j 0.021408-0.0292983j 0.536075+0.297198j 0.354321-1.02911j -0.834214-1.61762j -0.681269-0.570953j -1.86607+1.0749j -0.573311+0.480812j 0.155967+0.527686j 0.905991-1.00146j 0.528346-0.461131j 0.581115-0.502426j 0.446278-0.0373313j 0.0184102+0.0111485j -1.72318+0.0527657j 0.636807-1.37359j 0.044931-0.79861j 0.0399847-1.28336j -1.19893+0.545097j -1.19771-1.54518j -3.2276+0.417j -0.310393-0.89973j -0.817632-0.403414j 0.0850854+0.275236j 0.588703-0.415408j -2.24063-0.883239j -0.291925-0.791562j -2.65532+0.0362051j 0.799182-1.39404j -1.24224-0.139437j -0.351734-2.22234j 0.315993-1.25757j 0.544535+0.468283j -0.385773+0.0288719j -2.28771+1.96613j 3.07206-0.511687j 0.179028-0.109735j -1.53298-1.22488j -0.613127+0.763212j -2.00809-0.855474j -1.41669+0.376364j 0.18996-0.555944j -0.162773+1.27665j 0.141337-1.13195j 0.222966+0.178271j -0.452105-0.424354j -0.725841+1.16831j -0.556762-0.0777566j -0.297616+0.162062j -0.14456-0.353417j 0.265649+0.00764285j 
0.499667+0.0275515j -0.19145-0.303069j 0.120203-0.618815j -0.178812+0.807691j -0.25665-1.10743j -0.373222+0.209882j 1.47868-0.160231j 0.403042-0.522468j -0.496777-1.01467j -0.441387+0.283769j 0.102015-0.116072j -0.735443+0.0273195j 0.94403+0.306555j -0.197888-0.32221j 0.0988649+0.764128j -0.218632-0.181874j -0.0858012+0.742605j -1.07896-0.623309j 0.283184-1.14452j 0.0970499-0.563259j -0.346081+0.738597j -1.04052-0.837631j -0.884358+0.717263j 0.603915-0.706761j -0.448507-0.589207j -1.20667+0.994095j -0.468687-0.89031j 0.577587+0.232269j -0.667649+0.732874j 0.862461-0.688302j -0.762062-1.5112j 0.779025-0.109186j 0.782546+0.246489j 0.964148-0.125195j 0.688399+1.16076j -0.900225+0.128502j 0.0318325+0.67159j 1.0518+0.268255j 0.356865+0.273265j -0.103237-1.06924j 0.146523-0.794271j 0.00656383-0.247537j -0.517546+0.599271j -0.969241-0.854619j 0.497664-0.20945j -0.704374+1.27433j 0.356643-0.334067j 1.17195+0.41141j -0.696204-0.187089j -0.450818-0.10852j -0.322369-0.491222j -0.147352+0.578208j 
-0.804154-0.0863589j 0.202942-1.02958j -0.358378-0.357178j -1.61428-0.200672j -1.41256-0.21642j 1.2121-0.626845j 0.611932+0.567239j -0.428044+0.0538801j 1.11373-0.648068j -0.152732+1.25707j -2.72543+0.941256j 0.863576+0.951121j -1.8358+1.01213j -1.06084-0.632659j 0.567205-0.52164j 3.62845-0.647101j -2.23432-0.387289j -0.583966+1.00252j 1.11086-0.219223j -1.34837+1.48316j 1.04695-0.393283j 4.84347+0.46533j 0.388744-0.77622j 2.87574-0.782094j -0.712473-1.32556j 0.700022+0.494074j 3.06849-0.710691j -0.160778-1.33501j 3.44248+0.377414j -0.376168+0.828542j 4.37213-1.20916j 0.496371+0.715194j -1.58245-0.5707j -2.41772-0.619757j 0.0523822+0.556273j 2.50558+0.733702j -4.34497+1.4973j 0.358354-0.21148j 2.27401-1.28661j 1.07299-1.10682j -0.288853+0.213091j 2.17592-0.866222j 0.551822-0.388551j -0.478921-1.42107j -0.640043+0.225915j 0.255931-0.7201j 1.04229-0.233712j 0.404657+0.154081j 1.66143-0.347884j 0.378185-0.475526j 0.327979+0.606971j -0.254824-0.500219j 
-0.299663-0.485265j 0.651307-0.0201602j -0.0614532+0.0818508j 0.0276019-0.666376j -0.502757-0.245173j -1.21561+1.44994j -0.240116+0.815662j 1.74132+1.38249j 0.385733+0.0376627j 0.201493+0.0946867j -1.58732-0.155765j -0.407975-0.214891j -0.375433-0.223207j -1.26333-0.448391j 0.159548-0.409685j 0.760815+1.2347j -1.0456+0.173723j -1.03452-0.065065j -1.30003-0.230742j 0.779598+1.01591j -0.555214+1.48369j 2.15661+1.46508j -0.395521+0.459154j 0.113504+0.567174j -0.304527-0.292183j -0.810499-0.226416j 0.56294+2.01463j -1.04345+0.756566j 1.26669+1.55441j -1.25199-0.363465j 0.0288027+0.441954j -1.31614+0.898641j -1.02273-0.369177j -0.281902+0.216464j -0.12972+0.445825j 2.55663+0.513448j -1.84173-1.88085j -0.107045-0.521575j -0.955729+1.66773j 1.07089-0.0310323j 0.146336+1.58419j 0.409867+0.446093j -0.500149-0.230808j 1.2308-0.730735j -0.833065-0.147337j 0.235044-0.0626589j 0.754242+0.563846j 1.26894+0.198498j 0.0892057+0.507653j 0.295513+0.178019j -0.535147+0.219605j -0.0101601-0.442738j 
-0.289009-0.621322j 1.00133-0.215954j 0.307659-0.494773j -0.541622-1.65621j -0.342354-1.13559j 1.16233+0.62589j -0.215236+0.739111j 0.294698-0.679833j 1.3046+0.212464j -1.39962+0.573481j -2.16174-1.29924j -0.294016+0.608153j -1.77781-0.911562j -0.351978-0.377919j 0.736089+0.139302j 2.47463+1.50467j -0.859413-1.02596j -1.35318-0.163464j 0.683698+0.432446j -1.71538-0.984599j 0.799018+0.581645j 1.9096+2.49483j 0.777807+0.00525022j 2.20624+1.07293j 1.04435-1.05843j -0.157949+0.731611j 2.13664+1.05827j 0.93576-0.529192j 1.1495+1.79412j -0.811292-0.162582j 2.92244+1.6625j -0.341371+0.286098j -0.175001-1.34185j -0.377688-1.65521j -0.553602+0.103955j 0.412374+1.34473j -3.19185-1.88147j 0.203062-0.0193547j 2.08885+0.822298j 1.46698+0.182923j -0.0799836-0.569346j 1.67345+0.665678j 0.529798+0.145849j 1.05846-1.60477j -0.407474+0.10785j 0.669104-0.203937j 0.668113+0.457643j -0.00774211+0.32315j 0.940241+1.11174j 0.604408+0.031808j -0.416163+0.479156j 0.339533-0.476982j 
-0.447445-0.271476j -0.125259-0.304058j 0.243523-0.200171j 0.586425-0.335716j -0.738762+0.691521j -1.2002+2.05869j 0.680686+0.381345j -0.547169+0.20212j 0.853467+0.11875j -1.65311-0.694712j -1.37165-1.4953j 1.73323+0.659171j 0.791266-1.0227j 0.287146-1.10118j 0.115167-0.30525j 2.03088+0.248877j -1.42365-0.0787924j 0.910617-0.89881j -0.105826-0.241552j -0.151183-0.446124j -0.171521-0.638352j 2.99653+0.314169j -0.930777-1.22457j 1.23783+1.10763j 0.681498+0.581739j 0.252494+0.0428234j 0.963168-0.453406j 0.945337-0.63384j 1.33616-0.472291j 0.353494-0.421345j 1.92974-0.817547j 1.35624-0.472709j -0.291636-0.897748j -1.10922+1.23447j -0.122653-1.63936j 1.14055-0.465126j -0.244929+0.669323j 0.474587-0.18103j 0.310738+1.11817j 0.338952-0.296152j 0.381745+0.450077j 1.40897-0.402309j 0.697063+0.686008j 0.0324389-1.23198j -0.277389+0.806739j 0.307169-0.0162276j 0.150069+0.0896098j 1.02081-0.400709j 0.326577+0.263711j 0.394813-0.00266228j 0.0367291-0.114552j -0.176759-0.0444428j 
0.22991+0.625452j -0.622666+0.926396j 1.69342-0.115039j 0.388504-0.550613j -0.536483-1.56879j -0.118535+0.421738j 0.735555-0.795519j -0.704198+0.121563j -0.633885-0.0457139j 1.05645-0.531954j 0.640659+0.230387j 0.627922+0.696617j -0.0148938-0.167344j 0.665275-2.17606j -0.652602-1.58904j -2.28741+0.128726j 1.6321+0.17615j -0.0729481-0.231587j 0.849546-0.08158j 0.00555171+0.99952j 1.55372+0.0195802j -1.30735+0.898757j 0.146131-0.173312j 0.0728328+0.1568j -0.0246721-0.924599j 0.407922-0.935693j -1.25757+0.711869j 0.889642+1.13477j -0.409369-0.694305j -0.574189+0.0197458j -1.84472+0.568903j -0.443427+0.228405j -0.930835-0.337843j 0.322931-0.0455152j 0.497935+0.425188j -0.209919+0.675096j 1.02545-1.35074j 1.39155-0.230396j -0.170346-0.355101j -0.155045+0.720058j -0.146969-0.511866j -0.475703+0.566875j 0.620758+0.924999j -0.370009-0.140474j 0.136905-0.1336j -0.0778717-0.217565j -0.191299-0.44768j 0.312603+0.0697155j -0.584009+0.357513j -0.0789477+0.264245j 0.501044-0.64829j -0.354523+0.235283j 
-0.136243+0.641426j -0.420977+0.269657j -0.315963-0.0391974j -0.424974-0.400379j 1.05266+0.577812j 2.36141+0.76508j 0.161811-0.898554j 0.166634+0.523583j -0.543511-0.738857j 0.0230503+1.84987j -0.774422+1.5724j 0.0456131-1.80362j -0.962166-0.560354j -0.705359-0.153301j -0.413413+0.0760396j -0.939339-1.66496j 0.842802+1.07688j -1.06972-0.576623j -0.295239+0.382084j -0.611298+0.55063j -0.543221+0.466317j -1.31398-2.52579j -1.02395+1.29125j 0.161439-1.175j 0.388039-0.832152j 0.0413299-0.196616j -1.13867-0.371137j -0.939518-0.624787j -1.2445-0.745921j -0.60071-0.141343j -2.04404-0.930163j -0.934607-1.06524j -0.672561+0.517734j 1.7071+0.495454j -1.55407+0.615149j -0.979143-0.600103j 1.30494-0.486219j -0.369367-0.166082j 0.821653-0.336842j -0.642114-0.0336857j 0.223218-0.320083j -1.09973-0.825685j 0.342062-0.777222j -1.3636+0.710012j 0.952679-0.232379j -0.12915-0.24259j -0.109831-0.0176575j -0.712193-0.847817j 0.0626679-0.375254j -0.200252-0.352032j -0.0755529+0.00797089j -0.0222451+0.228356j 
-0.283487+0.427538j -1.15513-0.233889j 0.559799+1.53999j 0.371111+0.41738j 1.51951-1.04645j -0.6274+0.35359j 1.0033+0.535572j -0.563022-0.563775j -0.386622-0.814874j 1.103+0.97416j 0.0916991+0.423368j -0.334579+0.920747j 0.462328-0.233996j 2.68596-0.214697j 1.47682-1.04053j -1.31773-1.86454j 0.57186+1.3957j 0.275903-0.226097j 0.333728+0.919748j -1.00698+0.677201j 0.359751+1.56051j -1.69264-0.532649j 0.0900656-0.229726j -0.524094+0.39709j 0.83039-0.346287j 1.23463+0.0818392j -1.16426-0.564743j -0.665757+1.1541j 0.327741-0.171415j -0.464258-0.523545j -1.24689-1.01651j -0.315758-0.354761j 0.0313374-1.00522j 0.154088+0.0505633j -0.374652+0.577936j -0.732014+0.245929j 1.8285+0.400717j 0.708833+1.32277j 0.214832-0.0706631j -0.825716+0.111259j 0.315605-0.219921j -1.03177+0.0436967j -0.633332+1.02194j 0.00610567-0.119358j 0.213949-0.173384j 0.0334844-0.11553j 0.440274-0.246193j 0.0856084+0.383583j -0.58371-0.413955j -0.390591+0.10413j 0.873073+0.250207j -0.373326-0.26507j 
1.01084+0.752251j 0.107832+0.809092j -0.422514-0.653303j -1.43632+0.587498j 0.855442+0.990975j -1.54287+0.87618j -0.630956-0.344086j -1.01503-0.445612j -0.568838-1.17408j 0.839992+1.20534j 0.558335-1.90214j 0.230697-0.211685j 2.41315-0.460783j 0.469598+0.834687j 0.403638+1.28348j -1.31606+1.04012j 1.1838-0.377398j 0.0667573+0.428151j -0.116852-0.151676j -1.52686+0.801574j -0.224052+0.159682j -1.4049+0.460981j -0.431376-1.36657j -1.20305-0.023326j -0.0337608+0.125428j -0.197811+0.355262j -0.359585+0.909854j 0.892196+0.184057j -1.18286+1.01319j -1.11969-0.997012j -0.477663+1.73202j -0.565321-0.376809j 0.204635+0.497484j 0.76124-0.961686j -0.561961-0.878449j 0.48671-0.177238j 0.184655-0.00404452j 0.306405+0.352034j -0.936275+0.0457205j 0.0479105+0.160709j -0.334215-0.532906j -1.59209+0.379272j -0.268658+0.323027j -0.241469+0.851704j 0.535634-0.641042j -0.690736-0.175077j 0.0842149+0.273022j 0.139087-0.18713j -0.596401-0.0852399j -0.30472+0.335518j 0.153423-0.355959j 0.0223028+0.0526398j 
0.581093-1.26055j 1.05146-0.21068j -0.355128+0.441793j 1.10153+1.32064j 0.468405-1.40352j 1.55947+1.08095j -0.172268+0.608016j 0.139494+0.991794j -1.00365+1.12126j 1.13301-1.56495j -2.12178+0.0957497j -0.23942-0.309674j -1.41553-1.98403j 0.385024-0.759719j 1.04094-1.02063j 1.72335+1.06915j -0.83228-1.10701j 0.381468-0.0896149j 0.0706152-0.0231018j 1.60334+1.33229j 0.647225-0.0525809j 1.05968+1.35253j -1.04202+1.06835j 0.686288+0.760344j -0.00055059-0.144005j 0.246406-0.0996663j 1.30019-0.0487427j 0.139862-0.784118j 1.53323+0.541008j -0.607736+1.44801j 2.17873-0.224022j -0.287198+0.731129j 0.285898-0.104982j -1.10924-0.423435j -0.513578+0.915237j -0.153534-0.56128j -0.473664+0.0462156j 0.299848-0.640801j 0.261885+0.627151j 0.287797-0.0949236j -0.431047+0.270435j 0.983627+1.46526j 0.428843+0.0359993j 1.11044-0.201886j -0.967606-0.193878j -0.0265489+0.739825j 0.188291-0.40394j -0.279286-0.127119j 0.0341217+0.637281j 0.548156+0.241136j -0.474838-0.203071j 0.0598655+0.00519995j 
0.819995+0.992823j -0.945278-0.557461j 1.45793+0.84475j 1.27652-2.28324j 0.711807-0.514038j -0.984929-0.174041j -1.08131-0.473738j 0.581641-0.053921j -0.370019+1.14742j -0.360414+0.262455j -0.668938-0.302395j -0.946702+0.963252j -1.0873-1.21668j -0.233859+0.44718j -0.250412+0.273041j 0.638366+0.0826805j 0.565332-0.0038641j -0.471272-0.874795j -0.244565-1.48503j 0.84867+0.171694j -0.0159088-0.34849j 0.178801-0.091154j -0.335328-0.606635j -0.511361+0.116205j -0.648009+0.147148j 1.48229+0.112743j -0.275629+0.761494j 1.03022+0.402773j -0.332415+0.141128j -0.92924-0.0550941j -0.442886+0.277068j 0.0989539-0.0299964j -0.469074+0.871919j -0.491629-0.512645j -0.248546-0.259213j -0.2541-0.0133649j -0.0377763-0.276059j 0.413828+0.32893j 0.223682+0.193638j 0.0867847+0.3088j -0.331434-0.252778j 0.0603065-0.387301j 0.0116413+0.813207j -0.178943+0.128261j 0.083778+0.094755j -0.529392-0.0281566j 0.0935314+0.20303j -0.0660207+0.416713j -0.595216-0.397854j -0.541395-0.233903j 0.23239+0.392415j -0.013116-0.0781514j 
