-0.257036-0j -0.290353-0j 0.472887-0j 0.477788-0j -0.207438-0j -0.171128-0j -0.0546762-0j -0.0336554-0j -0.0372497-0j -0.0294484-0j 0.0979532-0j -0.0297536-0j 0.0685308-0j -0.0121469-0j 0.0399763-0j -0.021257-0j -0.0123999-0j -0.00323482-0j -0.0218946-0j -0.00316021-0j -0.0238939-0j -0.00344879-0j -0.0185082-0j -0.00267142-0j -0.0187-0j 0.0337015-0j -0.00269911-0j 0.0048644-0j -0.0209072-0j 0.0695428-0j -0.00301769-0j -0.0121959-0j 0.0240775-0j 0.0100376-0j -0.00176032-0j 0.00347529-0j 0.0344036-0j -0.00862378-0j 0.00496574-0j 0.0141908-0j -0.00871315-0j -0.00124474-0j 0.00204826-0j -0.00125763-0j -0.00393702-0j -0.00056826-0j -0.000868031-0j -0.00012529-0j 
0.00229903-0j -0.00783809-0j -0.00208645-0j 0.00214244-0j -0.0055067-0j -0.00150608-0j 0.000489045-0j -0.0142393-0j -0.01576-0j -0.0370005-0j -0.00830627-0j 0.0379933-0j 0.0143028-0j 0.0254489-0j -0.00847932-0j 0.0266925-0j 0.00516215-0j -0.00136863-0j -0.0188419-0j -0.00270239-0j -0.0205625-0j -0.00294916-0j 0.0156722-0j 0.00224777-0j -0.0160927-0j 0.0438828-0j -0.00230809-0j 0.00629385-0j -0.0534311-0j -0.0119948-0j -0.00766331-0j 0.0316763-0j 0.0308302-0j -0.00172035-0j 0.00454314-0j 0.00442179-0j 0.0146047-0j 0.0367499-0j 0.00209467-0j -0.00612235-0j 0.0222544-0j 0.00527082-0j -0.000878093-0j 0.00319182-0j 0.00333375-0j 0.00047814-0j -0.000747006-0j -0.000107139-0j 
0.00153269-0j 0.00173135-0j -0.00705323-0j -0.00712632-0j 0.00123694-0j 0.00102042-0j 0.00032603-0j -0.00949288-0j -0.0105067-0j -0.00830627-0j -0.0385279-0j -0.00839235-0j 0.0483504-0j -0.00342616-0j 0.0282044-0j -0.00599578-0j -0.00349754-0j -0.000912419-0j -0.0125613-0j -0.00180159-0j -0.0137084-0j -0.00196611-0j -0.0106184-0j -0.00152294-0j -0.0107285-0j 0.0483635-0j -0.00153872-0j 0.0069365-0j -0.0119948-0j -0.0556369-0j -0.00172035-0j -0.00699697-0j 0.0345526-0j -0.00797967-0j -0.00100353-0j 0.00495567-0j 0.0493711-0j -0.00494761-0j 0.00708101-0j 0.0203645-0j -0.00499888-0j -0.000709606-0j 0.00292077-0j -0.00071696-0j -0.00225873-0j -0.000323957-0j -0.000498004-0j -7.14258e-05-0j 
0.0151728-0j 0.000243961-0j 0.0274667-0j 0.0274009-0j -0.000517291-0j 0.0194548-0j -0.0126804-0j 0.00198667-0j 3.1298e-05-0j -0.00171045-0j -0.00578217-0j -0.00170635-0j 5.66574e-05-0j -0.00355064-0j 0.00461883-0j 0.00361812-0j 0.00211967-0j -0.00093845-0j 0.00129244-0j 0.000186547-0j 2.00762e-05-0j 2.89775e-06-0j -0.00107501-0j -0.000155164-0j -0.00107243-0j -0.0019894-0j -0.000154792-0j -0.000287145-0j -1.72849e-05-0j -5.84314e-05-0j -2.49486e-06-0j -0.0014091-0j 0.00421829-0j -8.43385e-06-0j -0.000203386-0j 0.000608857-0j -0.00194138-0j -3.58808e-05-0j -0.000280214-0j 0.00246535-0j 0.00298783-0j -5.17894e-06-0j 0.000355842-0j 0.000431257-0j 0.000898422-0j 0.000129676-0j -0.000302334-0j -4.36381e-05-0j 
-0.000191586-0j 0.000653174-0j 0.000173871-0j -0.000178537-0j 0.000458892-0j 0.000125507-0j -4.07538e-05-0j 0.00361-0j 0.00399554-0j 0.00938048-0j 0.00210583-0j -0.0096322-0j -0.00362609-0j -0.00645189-0j 0.00214971-0j -0.00676717-0j -0.00130873-0j 0.00034698-0j -1.63195e-05-0j -0.0322941-0j -1.78097e-05-0j -0.0352431-0j 1.35741e-05-0j 0.0268613-0j -1.39383e-05-0j 3.8008e-05-0j -0.0275821-0j 0.0752128-0j -4.6278e-05-0j -1.0389e-05-0j -0.0915781-0j 2.74356e-05-0j 2.67028e-05-0j -0.0205585-0j 0.0542915-0j 0.0528413-0j 1.26495e-05-0j 3.183e-05-0j 0.0250317-0j -5.30272e-06-0j 1.92751e-05-0j 0.0629874-0j -0.0104934-0j 0.0381428-0j 2.88745e-06-0j 0.00571387-0j -6.47001e-07-0j -0.00128033-0j 
-0.00232286-0j -0.00769387-0j -0.00214244-0j 0.00216377-0j 0.00182127-0j -0.0014163-0j -0.00522625-0j 0.0143869-0j -0.0154701-0j -0.0379933-0j 0.00839235-0j 0.0383715-0j -0.0142685-0j 0.0051925-0j 0.00784594-0j -0.00908319-0j 0.0253091-0j 0.0253371-0j 0.0190372-0j 0.00273039-0j -0.0201842-0j -0.0028949-0j 0.0160927-0j 0.00230809-0j -0.0162529-0j -0.0443376-0j -0.00233106-0j -0.00635908-0j 0.0533031-0j -0.0117741-0j 0.00764495-0j -0.0293102-0j 0.0104955-0j -0.00168869-0j -0.00420379-0j 0.0015053-0j -0.0149906-0j -0.00728486-0j -0.00215001-0j 0.0295353-0j 0.00693822-0j -0.00104482-0j 0.00423607-0j 0.000995108-0j 0.0362074-0j 0.00519302-0j 0.0211421-0j 0.00303228-0j 
0.0053644-0j 0.00605974-0j -0.0245007-0j 0.00499903-0j 0.0550374-0j -0.0176855-0j 0.00114111-0j 0.000702395-0j 0.000777409-0j -0.0030434-0j 0.000409731-0j 0.000620965-0j -0.00355064-0j 0.00180999-0j 0.000418267-0j 0.00563989-0j -0.00128149-0j 6.75115e-05-0j 0.000456946-0j 6.59544e-05-0j 0.000498672-0j 7.19771e-05-0j -0.00191276-0j -0.000276083-0j 0.000390273-0j 0.000352615-0j 5.6331e-05-0j 5.08955e-05-0j -0.00216069-0j 0.000290892-0j -0.000311869-0j 0.000254531-0j 0.00320261-0j 4.19867e-05-0j 3.67383e-05-0j 0.000462257-0j -0.00178248-0j 0.00128502-0j -0.000257279-0j 0.000148476-0j 0.00231177-0j 0.000185476-0j 2.14307e-05-0j 0.000333675-0j -0.000406878-0j -5.87279e-05-0j 1.8116e-05-0j 2.61482e-06-0j 
-0.000127724-0j -0.00014428-0j 0.000587769-0j 0.00059386-0j -0.000103078-0j -8.50352e-05-0j -2.71692e-05-0j 0.00240667-0j 0.00266369-0j 0.00210583-0j 0.00976773-0j 0.00212766-0j -0.012258-0j 0.000868612-0j -0.00715048-0j 0.00152007-0j 0.000886708-0j 0.00023132-0j -1.08797e-05-0j -0.0215294-0j -1.18731e-05-0j -0.0234954-0j -9.1969e-06-0j -0.0181995-0j -9.29221e-06-0j 4.18889e-05-0j -0.0183881-0j 0.0828925-0j -1.0389e-05-0j -4.81885e-05-0j -0.0205585-0j -6.06025e-06-0j 2.99268e-05-0j -0.0953587-0j -0.0119924-0j 0.0592213-0j 4.27615e-05-0j -4.28525e-06-0j 0.0846194-0j 1.76382e-05-0j -4.32965e-06-0j -0.00847994-0j 0.0349037-0j -0.00856781-0j -1.95635e-06-0j -0.00387135-0j -4.31334e-07-0j -0.000853552-0j 
-0.00885082-0j 0.0195692-0j 0.0162835-0j 0.0150671-0j 0.0139809-0j -0.0228158-0j 0.0243937-0j -0.00115889-0j 0.00251055-0j -0.00101403-0j 0.00337293-0j -0.000938286-0j -0.00461883-0j -0.000418267-0j 0.00532988-0j -0.000670344-0j -0.000496827-0j 0.00492738-0j -0.000753922-0j -0.000108819-0j 0.0016104-0j 0.000232441-0j -0.000637313-0j -9.19882e-05-0j -0.000589708-0j 0.00116048-0j -8.5117e-05-0j 0.000167501-0j 0.0014091-0j -0.00468704-0j 0.000203386-0j -0.00162603-0j 0.000829089-0j -0.000676516-0j -0.000234697-0j 0.000119669-0j 0.00108493-0j 0.000581225-0j 0.000156596-0j 0.000568581-0j -0.00116169-0j 8.38925e-05-0j 8.20675e-05-0j -0.000167675-0j 0.0017565-0j 0.000253529-0j 0.00294183-0j 0.000424617-0j 
0.000193571-0j 0.000641156-0j 0.000178537-0j -0.000180314-0j -0.000151772-0j 0.000118025-0j 0.000435521-0j -0.00364741-0j 0.00392202-0j 0.0096322-0j -0.00212766-0j -0.00972808-0j 0.0036174-0j -0.00131642-0j -0.00198913-0j 0.0023028-0j -0.00641645-0j -0.00642354-0j 1.64886e-05-0j 0.0326288-0j -1.7482e-05-0j -0.0345946-0j 1.39383e-05-0j 0.0275821-0j -1.4077e-05-0j -3.84019e-05-0j -0.0278566-0j -0.0759922-0j 4.61671e-05-0j -1.01979e-05-0j 0.0913586-0j -2.53863e-05-0j 9.09038e-06-0j -0.0201802-0j -0.0502361-0j 0.0179887-0j -1.29837e-05-0j -6.3096e-06-0j -0.025693-0j 2.55812e-05-0j 6.00936e-06-0j -0.0124859-0j 0.0506219-0j 0.0118917-0j 3.13602e-05-0j 0.0620576-0j 1.83117e-05-0j 0.0362364-0j 
-0.00938771-0j 0.0103027-0j 0.0256979-0j 0.00874476-0j 0.00689207-0j 0.0169881-0j -0.0211216-0j -0.00122919-0j 0.00132174-0j 0.00319212-0j -0.000717028-0j 0.00108625-0j -0.00361812-0j -0.00563989-0j -0.000670344-0j 0.000726657-0j 0.00641773-0j -0.00216476-0j -0.000799655-0j -0.00011542-0j 0.000847833-0j 0.000122374-0j 0.00200623-0j 0.000289574-0j 0.000682701-0j -0.000617075-0j 9.85393e-05-0j -8.90672e-05-0j -0.00220176-0j 0.00049457-0j -0.000317797-0j -0.000407929-0j -0.000412799-0j 7.1385e-05-0j -5.88795e-05-0j -5.95824e-05-0j -0.00186883-0j 0.00389011-0j -0.000269742-0j -0.00124062-0j -0.000272889-0j 0.000561489-0j -0.000179069-0j -3.93881e-05-0j 0.00451387-0j 0.000651521-0j -0.00088807-0j -0.000128182-0j 
-0.0026822-0j -4.31267e-05-0j -0.00485548-0j -0.00484384-0j 9.1445e-05-0j -0.00343916-0j 0.0022416-0j 0.0166125-0j 0.000261713-0j -0.0143028-0j -0.0483504-0j -0.0142685-0j 0.000473768-0j -0.0296904-0j 0.0386226-0j 0.0302547-0j 0.0177246-0j -0.0078473-0j 0.0219823-0j 0.00315279-0j 0.000341464-0j 4.89742e-05-0j -0.0182842-0j -0.0026224-0j -0.0182404-0j -0.0338365-0j -0.00261611-0j -0.00485297-0j -0.000293988-0j -0.000993824-0j -4.2165e-05-0j -0.0239665-0j 0.0717463-0j -0.000142538-0j -0.00343738-0j 0.0102901-0j -0.0330198-0j -0.000610274-0j -0.00473583-0j 0.0419316-0j 0.0508182-0j -8.7528e-05-0j 0.006014-0j 0.00728856-0j 0.0152807-0j 0.00219162-0j -0.00514221-0j -0.000737517-0j 
-0.000948302-0j -0.00107122-0j 0.00433115-0j -0.000883712-0j -0.00972933-0j 0.00312639-0j -0.000201721-0j 0.00587342-0j 0.00650068-0j -0.0254489-0j 0.00342616-0j 0.0051925-0j -0.0296904-0j 0.0151351-0j 0.00349754-0j 0.0471607-0j -0.0107158-0j 0.000564531-0j 0.00777191-0j 0.00111468-0j 0.00848161-0j 0.00121647-0j -0.032533-0j -0.00466601-0j 0.00663791-0j 0.00599741-0j 0.000952037-0j 0.000860173-0j -0.0367499-0j 0.00494761-0j -0.00527082-0j 0.00432916-0j 0.0544712-0j 0.000709606-0j 0.000620905-0j 0.00781249-0j -0.0303171-0j 0.0218561-0j -0.00434821-0j 0.00252534-0j 0.0393194-0j 0.00313469-0j 0.000362195-0j 0.00563935-0j -0.00692035-0j -0.000992545-0j 0.000308124-0j 4.41924e-05-0j 
0.000223517-0j 3.59389e-06-0j 0.000404623-0j 0.000403653-0j -7.62042e-06-0j 0.000286597-0j -0.0001868-0j -0.00421167-0j -6.63505e-05-0j 0.00362609-0j 0.012258-0j 0.0036174-0j -0.000120111-0j 0.00752721-0j -0.00979173-0j -0.00767028-0j -0.00449361-0j 0.00198948-0j 1.90394e-05-0j 0.0376764-0j 2.95751e-07-0j 0.000585251-0j -1.58364e-05-0j -0.0313381-0j -1.57984e-05-0j -2.93066e-05-0j -0.031263-0j -0.0579939-0j -2.54631e-07-0j -8.60776e-07-0j -0.00050388-0j -2.0758e-05-0j 6.21412e-05-0j -0.00170336-0j -0.0410774-0j 0.122969-0j -2.85992e-05-0j -5.28574e-07-0j -0.0565941-0j 3.6318e-05-0j 4.40149e-05-0j -0.00104598-0j 0.0718685-0j 0.0870998-0j 1.3235e-05-0j 0.0261903-0j -4.45379e-06-0j -0.00881347-0j 
0.00156462-0j -0.00345938-0j -0.00287854-0j -0.00266352-0j -0.0024715-0j 0.0040333-0j -0.00431225-0j -0.00969065-0j 0.0209932-0j -0.00847932-0j 0.0282044-0j -0.00784594-0j -0.0386226-0j -0.00349754-0j 0.0445684-0j -0.00560541-0j -0.00415446-0j 0.0412027-0j -0.012823-0j -0.00183913-0j 0.0273903-0j 0.00392843-0j -0.0108397-0j -0.00155467-0j -0.01003-0j 0.0197379-0j -0.00143854-0j 0.0028309-0j 0.0239665-0j -0.079719-0j 0.00343738-0j -0.0276561-0j 0.0141015-0j -0.0114336-0j -0.00396655-0j 0.00202249-0j 0.0184528-0j 0.00988569-0j 0.00264658-0j 0.00967064-0j -0.0197585-0j 0.00141785-0j 0.001387-0j -0.00283384-0j 0.0298752-0j 0.00428483-0j 0.0500358-0j 0.00717634-0j 
0.00547616-0j -0.0182058-0j -0.00496981-0j 0.0243661-0j 0.0386032-0j -0.00417423-0j -0.0217735-0j 0.000717028-0j -0.00233563-0j -0.000617336-0j 0.000418267-0j 0.00302668-0j 0.00211967-0j -0.00128149-0j 0.000496827-0j -0.00641773-0j 0.00366614-0j 0.00223274-0j 0.000466465-0j 6.73285e-05-0j -0.0014982-0j -0.000216247-0j -0.000387992-0j -5.60018e-05-0j 0.00190225-0j 0.000359961-0j 0.000274567-0j 5.19558e-05-0j 0.0012899-0j -0.00087395-0j 0.000186181-0j 0.000302337-0j -0.000763254-0j -0.000126144-0j 4.36386e-05-0j -0.000110166-0j -0.00172636-0j 0.00267762-0j -0.000249179-0j -0.00213768-0j -0.000641071-0j 0.000386482-0j -0.000308547-0j -9.25306e-05-0j 0.00154268-0j 0.000222666-0j 0.00382486-0j 0.000552071-0j 
7.90251e-05-0j 8.92684e-05-0j -0.000360929-0j 7.36427e-05-0j 0.000810777-0j -0.000260532-0j 1.68101e-05-0j -0.00148905-0j -0.00164808-0j 0.00645189-0j -0.000868612-0j -0.00131642-0j 0.00752721-0j -0.0038371-0j -0.000886708-0j -0.0119563-0j 0.00271671-0j -0.000143122-0j 6.73144e-06-0j 0.0133206-0j 7.34614e-06-0j 0.014537-0j -2.81776e-05-0j -0.0557598-0j 5.74926e-06-0j 5.1945e-06-0j 0.011377-0j 0.0102792-0j -3.183e-05-0j 4.28525e-06-0j -0.0629874-0j 3.74959e-06-0j 4.71789e-05-0j 0.00847994-0j 0.00741994-0j 0.0933608-0j -2.62584e-05-0j 1.89301e-05-0j -0.0519619-0j 2.18726e-06-0j 3.40555e-05-0j 0.0374601-0j 0.0043283-0j 0.0673914-0j -5.99389e-06-0j -0.0118611-0j 2.66874e-07-0j 0.000528109-0j 
0.00165953-0j -0.00182127-0j -0.0045428-0j -0.00154587-0j -0.00121836-0j -0.0030031-0j 0.00373381-0j -0.0102785-0j 0.0110523-0j 0.0266925-0j -0.00599578-0j 0.00908319-0j -0.0302547-0j -0.0471607-0j -0.00560541-0j 0.0060763-0j 0.053665-0j -0.0181017-0j -0.0136008-0j -0.00195069-0j 0.0144203-0j 0.00206822-0j 0.0341227-0j 0.00489402-0j 0.0116116-0j -0.0104955-0j 0.00166539-0j -0.0015053-0j -0.0374484-0j 0.00841183-0j -0.00537101-0j -0.00693822-0j -0.00702105-0j 0.00120646-0j -0.000995108-0j -0.00100699-0j -0.0317857-0j 0.0661645-0j -0.00455884-0j -0.021101-0j -0.0046414-0j 0.00948958-0j -0.00302639-0j -0.000665688-0j 0.0767736-0j 0.0110112-0j -0.0151046-0j -0.00216637-0j 
-0.000130385-0j 0.000288281-0j 0.000239878-0j 0.00022196-0j 0.000205958-0j -0.000336108-0j 0.000359354-0j 0.00245681-0j -0.00532226-0j 0.00214971-0j -0.00715048-0j 0.00198913-0j 0.00979173-0j 0.000886708-0j -0.0112991-0j 0.0014211-0j 0.00105325-0j -0.0104459-0j -1.11063e-05-0j -0.0219779-0j 2.37234e-05-0j 0.0469456-0j -9.3885e-06-0j -0.0185786-0j -8.68721e-06-0j 1.70955e-05-0j -0.0171908-0j 0.0338298-0j 2.0758e-05-0j -6.90466e-05-0j 0.0410774-0j -2.39536e-05-0j 1.22136e-05-0j -0.136634-0j -0.0474011-0j 0.0241692-0j 1.59825e-05-0j 8.56225e-06-0j 0.0316272-0j 8.37598e-06-0j -1.71133e-05-0j 0.0169436-0j 0.016575-0j -0.0338649-0j 2.58757e-05-0j 0.0512045-0j 4.33372e-05-0j 0.0857587-0j 
-0.00142859-0j 0.00793101-0j -0.00131763-0j -0.024393-0j 0.00566619-0j 0.0420738-0j -0.0434409-0j -0.000187055-0j 0.00101748-0j -0.000163673-0j -0.000109115-0j -0.00303003-0j 0.00093845-0j -6.75115e-05-0j 0.00492738-0j -0.00216476-0j -0.00223274-0j 0.00283429-0j -0.000121689-0j -1.75643e-05-0j 0.000652664-0j 9.4204e-05-0j -0.000102867-0j -1.48476e-05-0j -0.00190436-0j -9.39046e-05-0j -0.00027487-0j -1.3554e-05-0j 0.000571081-0j 0.000380721-0j 8.24285e-05-0j 0.00299849-0j -6.70887e-05-0j 5.49523e-05-0j 0.000432795-0j -9.68342e-06-0j -0.00175645-0j 0.000235559-0j -0.000253521-0j -0.001281-0j 0.00214223-0j 3.4e-05-0j -0.000184896-0j 0.000309204-0j -0.00312801-0j -0.00045149-0j 0.00483962-0j 0.000698539-0j 
-0.000968058-0j 0.00321835-0j 0.000878547-0j -0.00430736-0j -0.00682414-0j 0.000737907-0j 0.00384906-0j 0.00599578-0j -0.0195305-0j -0.00516215-0j 0.00349754-0j 0.0253091-0j 0.0177246-0j -0.0107158-0j 0.00415446-0j -0.053665-0j 0.0306562-0j 0.0186701-0j 0.00793382-0j 0.0011379-0j -0.025482-0j -0.00365473-0j -0.00659912-0j -0.000946473-0j 0.0323543-0j 0.00612235-0j 0.00464038-0j 0.000878093-0j 0.0219391-0j -0.0148645-0j 0.00314659-0j 0.00514227-0j -0.0129817-0j -0.00213193-0j 0.000737526-0j -0.00186189-0j -0.0293626-0j 0.0455421-0j -0.00421131-0j -0.0363585-0j -0.0109036-0j 0.00653183-0j -0.00521468-0j -0.00156384-0j 0.0262385-0j 0.00376323-0j 0.0650547-0j 0.00933042-0j 
-0.000138294-0j 0.000151772-0j 0.000378566-0j 0.000128822-0j 0.00010153-0j 0.000250258-0j -0.000311151-0j 0.00260584-0j -0.00280203-0j -0.00676717-0j 0.00152007-0j -0.0023028-0j 0.00767028-0j 0.0119563-0j 0.0014211-0j -0.00154048-0j -0.0136053-0j 0.0045892-0j -1.178e-05-0j -0.0233111-0j 1.24898e-05-0j 0.0247156-0j 2.95546e-05-0j 0.0584846-0j 1.00571e-05-0j -9.09038e-06-0j 0.0199017-0j -0.0179887-0j -3.2435e-05-0j 7.2857e-06-0j -0.0641846-0j -6.00936e-06-0j -6.08111e-06-0j 0.0144174-0j -0.0118917-0j -0.0120337-0j -2.75304e-05-0j 5.73067e-05-0j -0.054479-0j -1.82761e-05-0j -4.02003e-06-0j 0.113402-0j -0.036166-0j -0.00795511-0j 6.64956e-05-0j 0.131586-0j -1.30825e-05-0j -0.0258885-0j 
0.000252542-0j -0.00140202-0j 0.000232927-0j 0.00431212-0j -0.00100165-0j -0.00743766-0j 0.00767934-0j -0.00156415-0j 0.00850812-0j -0.00136863-0j -0.000912419-0j -0.0253371-0j 0.0078473-0j -0.000564531-0j 0.0412027-0j -0.0181017-0j -0.0186701-0j 0.0237003-0j -0.00206973-0j -0.00029685-0j 0.0111008-0j 0.00159212-0j -0.00174961-0j -0.000250936-0j -0.03239-0j -0.00159717-0j -0.00464551-0j -0.000229072-0j 0.00971317-0j 0.00647545-0j 0.0013931-0j 0.0509995-0j -0.00114107-0j 0.000928735-0j 0.00731457-0j -0.000163657-0j -0.0298743-0j 0.00400648-0j -0.0042847-0j -0.0217877-0j 0.0364358-0j 0.000574626-0j -0.00312488-0j 0.00522578-0j -0.0532024-0j -0.00763051-0j 0.0823142-0j 0.0118058-0j 
8.06715e-05-0j -0.000268196-0j -7.32123e-05-0j 0.000358946-0j 0.000568678-0j -6.14923e-05-0j -0.000320755-0j -0.00152007-0j 0.00495144-0j 0.00130873-0j -0.000886708-0j -0.00641645-0j -0.00449361-0j 0.00271671-0j -0.00105325-0j 0.0136053-0j -0.00777206-0j -0.00473332-0j 6.87168e-06-0j 0.0135981-0j -2.20706e-05-0j -0.0436747-0j -5.71566e-06-0j -0.0113105-0j 2.80228e-05-0j 5.30272e-06-0j 0.0554535-0j 0.0104934-0j 1.9002e-05-0j -1.28745e-05-0j 0.0376024-0j 4.45385e-06-0j -1.12438e-05-0j -0.0254769-0j 0.00881358-0j -0.02225-0j -2.54317e-05-0j 3.94451e-05-0j -0.050326-0j -3.1491e-05-0j -9.44386e-06-0j 0.0780567-0j -0.0623165-0j -0.0186882-0j 2.27258e-05-0j 0.0449714-0j 5.63455e-05-0j 0.1115-0j 
-2.10451e-05-0j 0.000116835-0j -1.94106e-05-0j -0.000359343-0j 8.34708e-05-0j 0.000619805-0j -0.000639945-0j 0.000396548-0j -0.00215701-0j 0.00034698-0j 0.00023132-0j 0.00642354-0j -0.00198948-0j 0.000143122-0j -0.0104459-0j 0.0045892-0j 0.00473332-0j -0.00600858-0j -1.79265e-06-0j -0.00354741-0j 9.61465e-06-0j 0.0190261-0j -1.51538e-06-0j -0.00299873-0j -2.80538e-05-0j -1.38335e-06-0j -0.0555148-0j -0.00273746-0j 8.41282e-06-0j 5.60855e-06-0j 0.0166479-0j 4.4172e-05-0j -9.8831e-07-0j 0.0110986-0j 0.0874105-0j -0.00195573-0j -2.58749e-05-0j 3.47011e-06-0j -0.051203-0j -1.88709e-05-0j 3.1558e-05-0j 0.00686689-0j -0.037343-0j 0.0624491-0j -4.608e-05-0j -0.0911862-0j 7.12944e-05-0j 0.141082-0j 
