-0.0510762-0j -0.00737222-0j -0.0420036-0j -0.00742525-0j -0.000618771-0j -0.0256411-0j -0.0259069-0j -0.00427352-0j -0.00261699-0j -0.00431781-0j -0.00053419-0j -0.00264411-0j -0.000539726-0j -3.14775e-05-0j -3.18037e-05-0j -0.0186669-0j -0.0230991-0j -0.0134745-0j -0.00301236-0j -0.00245958-0j -0.0037276-0j -0.00035501-0j -0.00217444-0j -0.000307448-0j -0.00304358-0j -0.000439302-0j -0.00177542-0j -3.6233e-05-0j -0.000380447-0j -0.00025626-0j -1.6538e-06-0j -0.000221927-0j -4.48361e-05-0j -2.61544e-05-0j -2.04648e-06-0j -1.19378e-06-0j 0.0436616-0j -0.0171631-0j -0.0105102-0j 0.00690351-0j -0.0150177-0j -0.00619448-0j 0.0054577-0j -0.00271372-0j 0.00363847-0j 0.000787751-0j -0.00166181-0j -0.0023745-0j 0.000909617-0j -0.00214538-0j -0.000979433-0j -0.00143026-0j 0.000321598-0j -0.00131377-0j 7.58014e-05-0j -0.000309659-0j -0.000875849-0j 8.03995e-05-0j -0.000189627-0j -0.00187721-0j -0.00125147-0j -0.000357564-0j -0.000270952-0j -0.00077431-0j 6.69996e-06-0j -0.000218962-0j -0.000126418-0j -0.000516206-0j -2.9797e-05-0j -0.000111762-0j 2.49693e-07-0j -7.74148e-05-0j -0.000312868-0j -3.16045e-05-0j -1.82469e-05-0j -0.000110616-0j -1.93537e-05-0j -0.000129052-0j -2.63371e-06-0j -2.60724e-05-0j -2.76539e-05-0j -1.61281e-06-0j -4.56266e-05-0j -1.07543e-05-0j -9.81524e-08-0j -2.30449e-06-0j -6.01058e-08-0j -1.14067e-05-0j -8.58834e-08-0j -9.50555e-07-0j -3.54251e-08-0j 
0.240803-0j -0.000363546-0j 0.00403498-0j -0.0681942-0j 5.94409e-05-0j -0.00126444-0j -0.00114704-0j -0.00021074-0j 0.024805-0j -0.000191173-0j 0.00251848-0j 0.0225019-0j 0.00228464-0j -1.55225e-06-0j -1.40812e-06-0j 0.0018103-0j 0.00221897-0j -0.00255428-0j 0.000292136-0j -0.0228045-0j 0.000358084-0j 3.44286e-05-0j -0.000412195-0j -0.00573094-0j -0.0279525-0j 4.22006e-05-0j 0.0321764-0j -0.000335942-0j -0.00702467-0j -4.85776e-05-0j 1.60385e-07-0j 0.00808618-0j -0.000411779-0j 0.000474004-0j 1.96591e-07-0j -2.26298e-07-0j -0.000725454-0j -0.0032424-0j -0.000518289-0j -0.000114704-0j -0.000664915-0j -0.000365715-0j 0.00866963-0j -0.000512669-0j -6.04545e-05-0j -1.30888e-05-0j -8.19487e-05-0j -0.000105132-0j 0.00144494-0j 0.0387488-0j -5.78247e-05-0j -0.0002702-0j 0.00154328-0j 0.00619388-0j -1.25947e-06-0j -5.85001e-05-0j -4.31908e-05-0j 0.000256767-0j -9.35107e-06-0j 0.00794616-0j -5.54096e-05-0j 0.00645813-0j -1.19965e-05-0j 0.00437053-0j 1.0643e-05-0j 0.00103231-0j 0.00689765-0j -3.04763e-05-0j -5.62917e-06-0j -6.59831e-06-0j -4.14874e-09-0j 0.00110257-0j 0.00132436-0j 0.00114762-0j -8.99807e-07-0j 0.00141449-0j 0.000183443-0j 0.000728422-0j 4.75686e-05-0j -1.15437e-06-0j 0.00023534-0j 7.60371e-06-0j 0.000777996-0j -6.34923e-07-0j -1.85427e-08-0j 9.75483e-06-0j -2.964e-09-0j 0.000129441-0j -3.80253e-09-0j 5.36533e-06-0j -2.09146e-09-0j 
-0.000220342-0j -0.141381-0j -0.000181203-0j 0.00305276-0j -0.0363655-0j 0.000543631-0j -0.000111762-0j -0.00863487-0j 5.54841e-05-0j 0.00177519-0j 0.0503475-0j -1.14067e-05-0j -0.0103506-0j 0.0183113-0j -0.00376452-0j -8.05289e-05-0j 0.000489737-0j -5.81288e-05-0j 0.00123848-0j -1.06106e-05-0j -0.00753181-0j -0.00680823-0j 0.000893981-0j 0.000126402-0j 6.45285e-05-0j 0.0414043-0j -7.65914e-06-0j -0.00212943-0j -0.000768712-0j -0.00491444-0j -0.000327402-0j 9.12415e-05-0j 0.0129502-0j -0.00153711-0j 0.00199109-0j -0.000236331-0j -6.3464e-05-0j -7.40413e-05-0j -0.000566418-0j 0.000956312-0j 0.000318398-0j -2.67229e-05-0j -7.933e-06-0j 0.0011157-0j -5.28866e-06-0j -0.00509016-0j 0.00853512-0j -0.0047978-0j 0.000126005-0j -9.25516e-06-0j 0.000402676-0j -6.17011e-06-0j -4.67456e-07-0j -7.08023e-05-0j -0.00150101-0j -0.00593852-0j -4.72015e-05-0j -0.000519512-0j -0.0454298-0j 3.97997e-05-0j 2.65331e-05-0j 0.000147006-0j 0.0255372-0j -3.34036e-06-0j -0.00026721-0j 0.0011246-0j -5.45366e-07-0j -2.22691e-06-0j -0.00175118-0j -0.00214332-0j -2.50351e-05-0j -4.17206e-06-0j -0.000632166-0j -0.000606098-0j -0.0133966-0j 2.34522e-06-0j -0.00463666-0j 5.30573e-05-0j -0.000311745-0j 0.00753056-0j 0.00260638-0j -0.00238486-0j -1.96833e-07-0j -0.000632035-0j -2.92076e-05-0j 0.00134059-0j -0.000223439-0j -0.000218752-0j 0.000125601-0j -0.000112515-0j -1.05416e-05-0j 
0.25541-0j -0.000385599-0j 0.00212084-0j -0.0358438-0j 3.12429e-05-0j 0.00394707-0j 0.00135423-0j 0.000657845-0j -0.0774312-0j 0.000225705-0j -0.00786167-0j -0.0265664-0j -0.00269731-0j 4.84549e-06-0j 1.66247e-06-0j -0.000976361-0j -0.00343255-0j -0.000632779-0j -0.00015756-0j 0.0122993-0j -0.000553926-0j -1.85686e-05-0j -0.000102114-0j 0.0030909-0j 0.0432401-0j -6.52808e-05-0j 0.00797116-0j 0.000181186-0j 0.0108666-0j -1.20343e-05-0j -8.65012e-08-0j 0.00200321-0j 0.000636987-0j 0.000117426-0j -3.04109e-07-0j -5.60614e-08-0j -0.00076946-0j 0.000866596-0j -0.000488022-0j -0.000121662-0j -0.00231036-0j -0.00153134-0j 0.00919553-0j 0.000137021-0j -6.41216e-05-0j -1.38827e-05-0j -7.7163e-05-0j -0.0003653-0j 0.00153259-0j -0.0103564-0j -0.000242126-0j 7.22163e-05-0j 0.00163689-0j 0.00583217-0j -1.33587e-06-0j 1.56353e-05-0j -4.06685e-05-0j 0.000272343-0j -8.80498e-06-0j 0.0276103-0j -0.00019253-0j -0.00172606-0j -4.1684e-05-0j 0.0183005-0j 1.12886e-05-0j 0.000972028-0j -0.00184353-0j -0.000127612-0j 1.50451e-06-0j -2.76288e-05-0j -4.4004e-09-0j 0.00103818-0j 0.00460171-0j -0.000306723-0j -8.4726e-07-0j 0.00491489-0j 0.000172731-0j 0.00305008-0j -1.27136e-05-0j -4.01104e-06-0j 0.00081773-0j 7.15966e-06-0j 0.00325766-0j -2.65858e-06-0j 4.95591e-09-0j 3.38948e-05-0j -2.79091e-09-0j 0.000542003-0j -1.32125e-08-0j 2.2466e-05-0j -8.75746e-09-0j 
0.000363546-0j 0.233267-0j -0.0005824-0j 0.00981179-0j -0.116881-0j 0.000182507-0j 0.000165561-0j -0.00289887-0j 1.8627e-05-0j -0.00262972-0j 0.0169025-0j 1.68975e-05-0j 0.0153331-0j 0.00614744-0j 0.00557665-0j -0.000261294-0j -0.00032028-0j 0.000368678-0j 0.00401853-0j -3.44286e-05-0j 0.00492569-0j -0.0220909-0j -0.00567002-0j 0.000410139-0j -4.22006e-05-0j -0.0270778-0j 4.85776e-05-0j -0.00690944-0j 0.000502726-0j 0.0311696-0j -0.00106233-0j -0.000578694-0j -0.00846921-0j 0.009749-0j -0.00130215-0j 0.00149892-0j 0.00010471-0j 0.000468001-0j 7.48086e-05-0j -0.00157783-0j 9.59723e-05-0j 5.27865e-05-0j 1.30888e-05-0j -0.00705211-0j 8.72585e-06-0j 0.00839833-0j -0.00112726-0j -0.00144617-0j -0.000207898-0j 5.85001e-05-0j -0.000795417-0j 3.90001e-05-0j 7.71263e-07-0j 9.35107e-06-0j 0.00247655-0j 0.0375362-0j 6.23405e-06-0j 0.000857151-0j 0.00600006-0j 1.19965e-05-0j 7.99769e-06-0j -0.000929197-0j 0.0076975-0j 6.59831e-06-0j 0.000440874-0j -0.000148529-0j 3.44715e-06-0j 4.39887e-06-0j 0.0110689-0j 0.00423377-0j 4.13058e-05-0j 5.51017e-07-0j -0.000190549-0j 0.00383103-0j 0.00176933-0j 7.06902e-07-0j 0.000612379-0j -0.000104805-0j 0.00197048-0j 0.00226988-0j 0.000785623-0j 0.000314976-0j 3.88809e-07-0j 0.00124848-0j 0.000184616-0j 0.000404084-0j 2.95103e-05-0j 0.000432107-0j 3.78589e-05-0j 0.000222253-0j 2.08231e-05-0j 
0.000385599-0j 0.247417-0j -0.000306117-0j 0.00515721-0j -0.0614343-0j -0.000569711-0j -0.000195466-0j 0.0090491-0j -5.81459e-05-0j 0.00310472-0j -0.0527628-0j -1.99497e-05-0j -0.0181028-0j -0.0191898-0j -0.00658396-0j 0.000140926-0j 0.000495446-0j 9.13338e-05-0j -0.00216734-0j 1.85686e-05-0j -0.00761962-0j 0.0119144-0j -0.00140465-0j -0.000221203-0j 6.52808e-05-0j 0.041887-0j 1.20343e-05-0j 0.00372651-0j -0.000777674-0j 0.00772172-0j 0.000572953-0j -0.000143361-0j 0.0131011-0j 0.00241515-0j 0.00201431-0j 0.000371331-0j 0.000111062-0j -0.000125082-0j 7.04399e-05-0j -0.00167355-0j 0.000333472-0j 0.00022103-0j 1.38827e-05-0j 0.00188481-0j 9.25516e-06-0j 0.00890778-0j -0.00106143-0j -0.00502495-0j -0.000220509-0j -1.56353e-05-0j -0.00333061-0j -1.04235e-05-0j 8.18048e-07-0j 8.80498e-06-0j 0.00262677-0j -0.0100323-0j 5.86999e-06-0j 0.000909146-0j 0.00564966-0j 4.1684e-05-0j 2.77893e-05-0j 0.000248346-0j 0.0267463-0j 2.76288e-05-0j 0.000467618-0j -0.000139855-0j -9.21319e-07-0j 1.84192e-05-0j -0.00295838-0j 0.0177278-0j 4.38114e-05-0j 5.18839e-07-0j -0.000662095-0j -0.00102392-0j 0.001666-0j 2.45625e-06-0j 0.000576616-0j -0.000438846-0j -0.00052665-0j 0.00788709-0j 0.00272978-0j 0.000296582-0j 1.62804e-06-0j 0.00522768-0j -4.93422e-05-0j 0.00140406-0j 2.77869e-05-0j 0.00180934-0j 0.000131547-0j 0.00093063-0j 8.71914e-05-0j 
-0.148989-0j 0.000224933-0j -0.00375588-0j 0.0634772-0j -5.53293e-05-0j -0.000760063-0j 0.00373593-0j -0.000126677-0j 0.0149104-0j 0.000622655-0j 0.00151387-0j -0.0732891-0j -0.00744113-0j -9.33065e-07-0j 4.58629e-06-0j 0.000569544-0j 0.00200668-0j 0.000492203-0j 9.19097e-05-0j -0.00717458-0j 0.000323827-0j 1.08317e-05-0j 7.94288e-05-0j -0.00180303-0j -0.0252783-0j 3.81633e-05-0j -0.00620031-0j -0.000105692-0j -0.00635263-0j 9.36078e-06-0j 5.0459e-08-0j -0.00155818-0j -0.000372385-0j -9.13392e-05-0j 1.77783e-07-0j 4.3607e-08-0j 0.000448851-0j -0.00153469-0j -0.000943767-0j 7.09697e-05-0j -0.00210399-0j -0.0026295-0j -0.00536406-0j -0.000242656-0j 3.74043e-05-0j 8.09827e-06-0j -0.000149223-0j -0.00033267-0j -0.00089401-0j 0.0183405-0j -0.00041576-0j -0.000127891-0j -0.000954853-0j 0.0112786-0j 7.79256e-07-0j -2.76892e-05-0j -7.86473e-05-0j -0.000158867-0j -1.70276e-05-0j 0.025144-0j -0.000175333-0j 0.00305675-0j -3.79606e-05-0j 0.0314241-0j -6.58501e-06-0j 0.00187977-0j 0.00326478-0j -0.000219125-0j -2.66439e-06-0j -4.74419e-05-0j 2.5669e-09-0j 0.0020077-0j 0.00419067-0j 0.000543188-0j -1.63848e-06-0j 0.00447588-0j 0.000334037-0j 0.00523736-0j 2.25151e-05-0j -3.65276e-06-0j 0.000744688-0j 1.38458e-05-0j 0.00559379-0j -4.5651e-06-0j -8.77661e-09-0j 3.08672e-05-0j -5.39723e-09-0j 0.000930685-0j -1.20324e-08-0j 3.85768e-05-0j -1.50376e-08-0j 
-0.000224933-0j -0.144327-0j 0.000542115-0j -0.0091331-0j 0.108796-0j 0.000109706-0j -0.000539235-0j -0.00174253-0j 1.11968e-05-0j 0.00856504-0j 0.0101602-0j -5.50355e-05-0j -0.0499404-0j 0.00369526-0j -0.0181633-0j -8.22065e-05-0j -0.000289639-0j -7.10433e-05-0j 0.00126428-0j -1.08317e-05-0j 0.00445445-0j -0.00695007-0j 0.0010926-0j 0.000129035-0j -3.81633e-05-0j -0.0244873-0j -9.36078e-06-0j -0.0021738-0j 0.000454631-0j -0.00600629-0j -0.000334223-0j 0.000111513-0j -0.00765896-0j -0.00187861-0j -0.00117757-0j -0.000288837-0j -6.47861e-05-0j 0.000221513-0j 0.000136221-0j 0.000976235-0j 0.000303685-0j 0.000379535-0j -8.09827e-06-0j -0.00333789-0j -5.39884e-06-0j -0.0051962-0j -0.00205266-0j -0.0045761-0j 0.00012863-0j 2.76892e-05-0j -0.00571905-0j 1.84594e-05-0j -4.77195e-07-0j 1.70276e-05-0j -0.00153228-0j 0.0177666-0j 1.13518e-05-0j -0.000530335-0j 0.0109257-0j 3.79606e-05-0j 2.53071e-05-0j -0.000439806-0j 0.0243572-0j 4.74419e-05-0j -0.000272777-0j -0.000270461-0j 1.6316e-06-0j 3.16279e-05-0j 0.00523911-0j 0.0304408-0j -2.55567e-05-0j 1.00336e-06-0j -0.000602955-0j 0.00181329-0j 0.00322182-0j 2.23685e-06-0j 0.0011151-0j -0.000753552-0j 0.000932665-0j 0.00718259-0j 0.00248595-0j 0.000573549-0j 2.79554e-06-0j 0.00897655-0j 8.7382e-05-0j 0.00127864-0j 5.37361e-05-0j 0.00310685-0j 0.000119797-0j 0.001598-0j 0.000149718-0j 
0.0388675-0j -5.86792e-05-0j 0.00163688-0j -0.0276646-0j 2.41136e-05-0j -0.000204091-0j -0.00374828-0j -3.40152e-05-0j 0.00400373-0j -0.000624714-0j 0.000406503-0j 0.0735314-0j 0.00746572-0j -2.50545e-07-0j -4.60145e-06-0j -0.000148579-0j 0.000900176-0j 0.00468147-0j -2.39769e-05-0j 0.00187167-0j 0.000145265-0j -2.82571e-06-0j 0.000755469-0j 0.000470364-0j -0.0113396-0j 1.71197e-05-0j -0.0589728-0j 2.75723e-05-0j -0.00284972-0j 8.90328e-05-0j -1.31635e-08-0j -0.0148203-0j -0.000167048-0j -0.000868751-0j 7.97516e-08-0j 4.14757e-07-0j -0.000117094-0j 0.000668847-0j -8.3656e-05-0j -1.85142e-05-0j -0.0021728-0j -0.00155033-0j 0.00139935-0j 0.000105754-0j -9.75783e-06-0j -2.11263e-06-0j -1.32272e-05-0j -0.00034355-0j 0.000233225-0j -0.00799314-0j -0.000245129-0j 5.57372e-05-0j 0.000249097-0j 0.000999742-0j -2.03288e-07-0j 1.20675e-05-0j -6.97133e-06-0j 4.14443e-05-0j -1.50934e-06-0j 0.0259664-0j -0.000181067-0j -0.00133219-0j -3.92021e-05-0j 0.0185275-0j 1.71786e-06-0j 0.000166624-0j -0.00142285-0j -0.000129194-0j 1.16119e-06-0j -2.79714e-05-0j -6.69639e-10-0j 0.000177963-0j 0.00432773-0j -0.000236732-0j -1.45236e-07-0j 0.00462226-0j 2.96092e-05-0j 0.00308791-0j -9.81251e-06-0j -3.77223e-06-0j 0.000769043-0j 1.2273e-06-0j 0.00329806-0j -2.69155e-06-0j 3.82501e-09-0j 3.18767e-05-0j -4.78413e-10-0j 0.000548726-0j -1.24259e-08-0j 2.27446e-05-0j -8.86607e-09-0j 
5.86792e-05-0j 0.0376512-0j -0.000236264-0j 0.00398038-0j -0.0474156-0j 2.9458e-05-0j 0.000541018-0j -0.000467901-0j 3.00654e-06-0j -0.00859335-0j 0.0027282-0j 5.52174e-05-0j 0.0501055-0j 0.000992245-0j 0.0182233-0j 2.14456e-05-0j -0.000129929-0j -0.000675712-0j -0.000329818-0j 2.82571e-06-0j 0.00199822-0j 0.0018131-0j 0.010392-0j -3.3662e-05-0j -1.71197e-05-0j -0.0109847-0j -8.90328e-05-0j 0.000567088-0j 0.000203943-0j -0.0571274-0j 8.71902e-05-0j 0.00106063-0j -0.00343573-0j -0.0178679-0j -0.000528246-0j -0.0027472-0j 1.69011e-05-0j -9.65397e-05-0j 1.20747e-05-0j -0.000254675-0j 0.000313617-0j 0.000223771-0j 2.11263e-06-0j 0.00145472-0j 1.40842e-06-0j 0.00135556-0j -0.000181949-0j -0.00472576-0j -3.35564e-05-0j -1.20675e-05-0j -0.00337192-0j -8.04498e-06-0j 1.24488e-07-0j 1.50934e-06-0j 0.000399734-0j -0.00774302-0j 1.00622e-06-0j 0.000138351-0j 0.000968457-0j 3.92021e-05-0j 2.61348e-05-0j 0.000191676-0j 0.0251538-0j 2.79714e-05-0j 7.11606e-05-0j -2.39738e-05-0j -7.11082e-07-0j 1.86476e-05-0j -0.0022833-0j 0.0179477-0j 6.66709e-06-0j 8.89385e-08-0j -0.000622674-0j -0.000790268-0j 0.000285584-0j 2.31001e-06-0j 9.88427e-05-0j -0.000444289-0j -0.000406473-0j 0.00741749-0j 0.00256725-0j 5.08396e-05-0j 1.64823e-06-0j 0.00529251-0j -3.80827e-05-0j 0.00132046-0j 4.7632e-06-0j 0.00183178-0j 0.000123715-0j 0.000942172-0j 8.82727e-05-0j 
0.00318732-0j 0.00046005-0j -0.378399-0j 0.000463359-0j 3.86133e-05-0j 0.00160009-0j 0.00161667-0j -0.0384991-0j 0.000163308-0j -0.038898-0j 3.33352e-05-0j 0.000165001-0j 3.36806e-05-0j 1.96429e-06-0j 1.98465e-06-0j 0.00116487-0j 0.00144146-0j 0.00084085-0j 0.000187981-0j -0.0221577-0j 0.000232614-0j -0.00319819-0j 0.000135692-0j 1.91857e-05-0j -0.0274188-0j -0.00395756-0j -0.0159943-0j 2.26106e-06-0j 2.37411e-05-0j -0.00230858-0j 1.03203e-07-0j 1.3849e-05-0j 2.79791e-06-0j 1.63212e-06-0j 1.27707e-07-0j 7.44956e-08-0j 0.000918025-0j 0.00107103-0j 0.000655869-0j 0.000145153-0j 0.000937151-0j 0.000386555-0j 0.000114753-0j 0.000169345-0j -0.0221647-0j 1.65632e-05-0j 0.000103702-0j 0.000148177-0j -0.00276103-0j 0.000133879-0j 6.11197e-05-0j -0.0258589-0j 6.76189e-06-0j 8.19836e-05-0j -0.000230086-0j 1.93237e-05-0j -0.0158353-0j 1.69047e-06-0j 1.18333e-05-0j 0.000117144-0j -0.0226265-0j -0.0032212-0j 1.69083e-05-0j 4.83194e-05-0j 1.40873e-07-0j -0.00197257-0j 7.88888e-06-0j -0.00933296-0j -0.000268433-0j 6.9743e-06-0j 5.25002e-09-0j 4.83093e-06-0j -0.00281855-0j 1.97222e-06-0j -0.000164381-0j 6.90277e-06-0j 1.20773e-06-0j -0.00116259-0j 1.64352e-07-0j -0.000234879-0j 1.72569e-06-0j 1.00644e-07-0j 2.84725e-06-0j -9.68827e-05-0j 6.12502e-09-0j 1.43808e-07-0j 3.75079e-09-0j 7.11811e-07-0j 5.35939e-09-0j 5.93176e-08-0j 2.21064e-09-0j 
0.0538681-0j 0.00775054-0j -0.000463359-0j -0.369245-0j 0.0009792-0j -0.000282858-0j -0.00028579-0j 0.00222284-0j 0.00554894-0j 0.00224588-0j -0.0536922-0j 0.00560644-0j -0.0542486-0j 6.65329e-05-0j 6.72224e-05-0j -0.000205923-0j -0.000254816-0j -0.000148643-0j 0.00156686-0j 0.00259402-0j 0.00193889-0j 0.000373228-0j 0.00113102-0j -0.0307376-0j 0.00320994-0j 0.000461846-0j 0.00187246-0j -0.00548185-0j -0.0380359-0j 0.00026941-0j 4.37405e-06-0j -0.0221876-0j -0.00678345-0j -0.00395701-0j 5.41261e-06-0j 3.15736e-06-0j -0.000162285-0j -0.000189333-0j -0.000115942-0j 0.00120988-0j -0.000165666-0j -6.83339e-05-0j 0.00193941-0j 0.00141152-0j -1.35238e-05-0j 0.000279043-0j 0.000864377-0j 0.00123508-0j -0.0152409-0j 0.00226265-0j 0.000509445-0j -1.57778e-05-0j 0.000345234-0j 0.00138558-0j 4.04173e-05-0j 0.00032555-0j -9.66186e-06-0j -0.00547409-0j 0.000199358-0j 0.00197982-0j -1.38055e-05-0j -0.017781-0j 0.000284857-0j 0.000816634-0j -0.000456182-0j -0.0108886-0j 0.000402773-0j -5.69449e-06-0j 4.71535e-05-0j 0.000117497-0j 2.672e-07-0j 0.000246647-0j -0.0155584-0j -0.00638644-0j 2.88755e-05-0j 0.000352426-0j -0.00391088-0j -0.00641752-0j -0.000532212-0j 4.12593e-05-0j -0.00558813-0j -0.000325912-0j 0.000145368-0j 1.70186e-05-0j 3.11734e-07-0j -0.000465686-0j 1.90897e-07-0j -0.00230499-0j 2.72767e-07-0j -0.000192086-0j 1.12511e-07-0j 
4.69536e-05-0j 0.0923269-0j 3.86133e-05-0j -0.0009792-0j -0.357527-0j 2.35715e-05-0j 2.38158e-05-0j -0.000563568-0j 2.40576e-06-0j -0.000569408-0j 0.00669-0j 2.43069e-06-0j 0.00675933-0j -0.075133-0j -0.0759116-0j 1.71602e-05-0j 2.12347e-05-0j 1.23869e-05-0j -0.000397253-0j 2.26106e-06-0j -0.000491575-0j 0.00444601-0j -0.000286752-0j -4.05445e-05-0j 2.79791e-06-0j 0.00550166-0j 1.63212e-06-0j -0.0209355-0j -5.01712e-05-0j 0.0032093-0j -0.00997324-0j -2.92665e-05-0j -0.0259064-0j -0.0151121-0j -0.0123412-0j -0.00719906-0j 1.35238e-05-0j 1.57778e-05-0j 9.66186e-06-0j -0.000306746-0j 1.38055e-05-0j 5.69449e-06-0j 1.69047e-06-0j -0.00035787-0j 1.12698e-06-0j 0.00332405-0j -0.00021915-0j -0.000313136-0j -4.04173e-05-0j 1.97222e-06-0j -0.000129162-0j 1.31481e-06-0j 9.96121e-08-0j 1.20773e-06-0j -0.0147572-0j 0.00387806-0j 8.05155e-07-0j 0.00033926-0j 0.00237482-0j 1.72569e-06-0j 1.15046e-06-0j -4.71535e-05-0j 0.0033933-0j 7.11811e-07-0j -0.00538829-0j -2.88755e-05-0j 1.16214e-07-0j 4.74541e-07-0j -0.0172168-0j 0.00139967-0j -0.00102003-0j 7.11663e-08-0j -4.12593e-05-0j 0.000395803-0j -0.0105431-0j 1.01687e-07-0j 0.000242379-0j -1.70186e-05-0j -0.00628634-0j -0.0150647-0j 0.000346327-0j -0.00384958-0j 4.19439e-08-0j -0.00621386-0j -0.00119004-0j -0.00550055-0j -0.000728745-0j 0.000142853-0j -0.00104128-0j -0.00226886-0j -0.000429507-0j 
-0.00347837-0j -0.00050206-0j 0.00715477-0j -8.76119e-06-0j -7.30099e-07-0j -0.0017462-0j 0.00170316-0j 0.0420147-0j -0.000178221-0j -0.0409791-0j -3.63792e-05-0j 0.000173828-0j 3.54826e-05-0j -2.14367e-06-0j 2.09083e-06-0j -0.00127125-0j -2.72551e-05-0j 0.00178757-0j -0.000205147-0j 0.0241811-0j -4.39827e-06-0j 0.00349024-0j 0.000288468-0j -2.09377e-05-0j 0.000518434-0j 7.48295e-05-0j -0.0340024-0j -2.46753e-06-0j -4.48896e-07-0j -0.00490783-0j -1.12627e-07-0j 2.94417e-05-0j -5.29029e-08-0j 3.46973e-06-0j -2.41468e-09-0j 1.58371e-07-0j -0.00100186-0j -2.0251e-05-0j -0.000715761-0j -0.000158407-0j 0.000987289-0j 0.00123633-0j -0.000125232-0j -3.20197e-06-0j 0.0241887-0j -1.80757e-05-0j -0.000113172-0j 0.000156104-0j 0.00301316-0j -2.53138e-06-0j 0.00019548-0j 0.000488939-0j -7.37937e-06-0j -8.94701e-05-0j 0.000251096-0j -3.65373e-07-0j 0.0172813-0j -1.84484e-06-0j -1.29139e-05-0j 0.000123411-0j -0.023837-0j 6.09064e-05-0j 1.78129e-05-0j 0.000154541-0j -1.53737e-07-0j 0.0021527-0j -1.49163e-07-0j -0.0298498-0j 5.07553e-06-0j 2.2306e-05-0j -5.72943e-09-0j -5.27208e-06-0j -0.00296935-0j -3.72907e-08-0j 0.000179392-0j 7.27207e-06-0j -1.31802e-06-0j -0.00371834-0j -3.10756e-09-0j -0.000247445-0j 1.81802e-06-0j -1.09835e-07-0j 9.1064e-06-0j -0.000309862-0j -1.15812e-10-0j 1.51501e-07-0j -4.0933e-09-0j 2.2766e-06-0j 5.64613e-09-0j 1.89717e-07-0j 7.07032e-09-0j 
-0.0587871-0j -0.00845829-0j 8.76119e-06-0j 0.00698168-0j -1.85147e-05-0j 0.000308688-0j -0.00030108-0j -0.00242583-0j -0.00605565-0j 0.00236604-0j 0.0585952-0j 0.00590639-0j -0.0571509-0j -7.26085e-05-0j 7.08188e-05-0j 0.000224727-0j 4.81806e-06-0j -0.000316001-0j -0.00170994-0j -0.0028309-0j -3.66605e-05-0j -0.00040731-0j 0.00240444-0j 0.0335445-0j -6.06935e-05-0j -8.73258e-06-0j 0.00398069-0j 0.00598244-0j 0.000719182-0j 0.000572742-0j -4.77347e-06-0j -0.0471688-0j 0.000128261-0j -0.00841225-0j -1.02342e-07-0j 6.71226e-06-0j 0.000177105-0j 3.57991e-06-0j 0.00012653-0j -0.00132036-0j -0.00017453-0j -0.000218554-0j -0.00211652-0j -2.6689e-05-0j 1.47587e-05-0j -0.000304524-0j -0.000943309-0j 0.00130116-0j 0.0166326-0j -4.27822e-05-0j 0.00162937-0j 2.98326e-07-0j -0.00037676-0j -0.00151211-0j -4.4108e-05-0j -6.1555e-06-0j 1.05442e-05-0j 0.00597397-0j -0.000217563-0j 0.00208574-0j -1.45441e-05-0j 0.000336204-0j 0.000300097-0j 0.00261185-0j 0.000497839-0j 0.0118829-0j -7.61562e-06-0j -1.82128e-05-0j -8.91577e-07-0j 0.000375794-0j -2.916e-07-0j -0.00026917-0j -0.0163908-0j 0.000120755-0j -3.15123e-05-0j 0.000371281-0j 0.00426801-0j -0.0205253-0j 1.00631e-05-0j 4.34667e-05-0j -0.0058871-0j 0.000355673-0j 0.000464935-0j 5.44309e-05-0j -5.89426e-09-0j -0.0004906-0j -2.08329e-07-0j -0.00737209-0j 2.8736e-07-0j -0.000614351-0j 3.59845e-07-0j 
