-0.00832018-0j -0.00590699-0j -0.0008526-0j -0.00338904-0j -0.00342416-0j -0.000599103-0j -4.99253e-05-0j -0.000605312-0j -5.04427e-05-0j -0.0023814-0j -0.00294684-0j -0.000396901-0j -0.00171899-0j -0.000243051-0j -4.96126e-05-0j -0.000491139-0j -0.00030076-0j -2.92345e-06-0j -0.000286498-0j -6.13924e-05-0j -0.000175443-0j -3.61758e-06-0j -3.58123e-05-0j -2.11026e-06-0j -0.00183307-0j -0.00213859-0j -0.000295811-0j -0.00130961-0j -0.00187126-0j -0.000241529-0j -0.000771856-0j -0.000345113-0j -3.48617e-05-0j -3.01911e-05-0j -0.000211338-0j -0.000281783-0j -3.55805e-06-0j -0.000301974-0j -0.000172556-0j -4.06719e-05-0j -1.62402e-07-0j -0.000124558-0j -2.49064e-05-0j -3.52229e-05-0j -0.000246561-0j -2.15696e-05-0j -4.15106e-06-0j -3.55879e-05-0j -0.000101701-0j -3.08201e-05-0j -2.542e-06-0j -1.89469e-07-0j -1.46793e-05-0j -3.63218e-06-0j -1.16026e-07-0j -1.27126e-05-0j -1.65786e-07-0j -1.4982e-06-0j -6.8383e-08-0j 
-0.00020118-0j 1.0577e-08-0j 4.21545e-05-0j -6.21343e-05-0j 6.0991e-05-0j -1.44862e-05-0j -0.0164631-0j 1.42196e-05-0j 0.0161602-0j 2.99577e-07-0j 5.27659e-09-0j 0.00139866-0j -4.23258e-07-0j 3.05755e-08-0j 0.000172333-0j 2.46353e-05-0j 5.3854e-10-0j 0.0441293-0j -0.0019761-0j 3.03538e-06-0j -4.31986e-08-0j 0.000777269-0j -0.000243481-0j -0.0623481-0j 2.30598e-07-0j 3.82934e-09-0j -7.15264e-06-0j 1.64747e-07-0j -2.28701e-07-0j -4.42816e-06-0j -2.85767e-07-0j -1.18778e-07-0j -0.0176483-0j -7.30013e-07-0j -5.11009e-06-0j -7.35346e-08-0j -0.00117329-0j 7.09379e-06-0j -3.16363e-06-0j -0.000293071-0j 0.0127984-0j 8.86386e-06-0j -0.0126086-0j -1.21227e-08-0j 4.39173e-06-0j -5.21547e-07-0j -1.94838e-05-0j 0.0175031-0j 5.48757e-06-0j 7.24007e-07-0j -0.000838237-0j 0.000212533-0j 0.0218706-0j 0.00116363-0j 0.00914364-0j 9.04663e-07-0j -0.0126931-0j 0.00145399-0j -0.0158604-0j 
-0.000184475-0j -2.5057e-06-0j 2.56346e-05-0j 5.22153e-07-0j -5.12546e-07-0j 0.00256937-0j -0.00488149-0j -0.00252209-0j 0.00479167-0j 3.66906e-07-0j 6.46248e-09-0j -8.80008e-06-0j -5.18383e-07-0j 0.000693269-0j -0.0202707-0j -1.55e-07-0j 1.22109e-05-0j -0.00118068-0j 1.24332e-05-0j -0.000357038-0j -0.000979487-0j -2.07959e-05-0j 0.0286396-0j 0.00166813-0j 2.82424e-07-0j 4.68997e-09-0j -6.55872e-06-0j 2.01773e-07-0j -2.801e-07-0j -7.19796e-06-0j -3.49992e-07-0j -1.08915e-07-0j 7.36388e-05-0j -0.0123927-0j -4.68578e-06-0j -1.1953e-07-0j 0.067292-0j 6.50476e-06-0j -5.14247e-06-0j 1.22286e-06-0j -0.000165705-0j 8.12785e-06-0j 5.26101e-05-0j -0.000205795-0j 7.13873e-06-0j -0.00885379-0j 0.00111746-0j -7.30329e-05-0j 8.92002e-06-0j 0.0122908-0j 0.0480757-0j -2.75172e-06-0j -9.12564e-05-0j -0.0667384-0j -0.000118386-0j 0.0153576-0j 0.000164342-0j -0.0833912-0j 0.000205349-0j 
1.99015e-05-0j 8.04529e-08-0j -5.5737e-06-0j -3.37048e-08-0j 3.30847e-08-0j -0.000137878-0j 0.00328821-0j 0.000135341-0j -0.00322771-0j -2.36836e-08-0j -4.17151e-10-0j 9.4937e-07-0j 3.34615e-08-0j 4.67555e-07-0j 0.00219233-0j 1.67217e-08-0j 8.23526e-09-0j -0.0182138-0j -1.34132e-06-0j 3.86145e-05-0j -6.60586e-07-0j -0.000320808-0j -0.00309744-0j 0.0257334-0j -1.82304e-08-0j -3.02736e-10-0j 7.07568e-07-0j -1.30244e-08-0j 1.80804e-08-0j 2.31112e-07-0j 2.25919e-08-0j 1.175e-08-0j -1.60112e-05-0j -1.39686e-05-0j 5.05511e-07-0j 3.83788e-09-0j -0.022547-0j -7.01746e-07-0j 1.65114e-07-0j -2.65884e-07-0j 0.0457943-0j -8.76848e-07-0j -1.1439e-05-0j -2.31964e-07-0j -2.29211e-07-0j -9.97962e-06-0j -0.000374419-0j 1.58795e-05-0j -2.86404e-07-0j 1.38536e-05-0j -0.0161084-0j 0.000760467-0j 1.98418e-05-0j 0.0223615-0j 0.0327171-0j 1.73104e-05-0j -0.0454176-0j 0.0279412-0j -0.0567503-0j 
-8.78617e-07-0j 2.63374e-11-0j 3.69946e-07-0j 1.0616e-09-0j -1.04207e-09-0j -6.32658e-08-0j -0.000365532-0j 6.21017e-08-0j 0.000358806-0j 7.45965e-10-0j 1.3139e-11-0j -4.1913e-08-0j -1.05394e-09-0j 7.61347e-11-0j 1.51239e-06-0j -7.38233e-10-0j 1.341e-12-0j 0.00410121-0j 5.92169e-08-0j 2.66384e-08-0j -1.07567e-10-0j 7.22364e-05-0j -2.13678e-06-0j -0.0057944-0j 5.74203e-10-0j 9.53529e-12-0j -3.12379e-08-0j 4.1023e-10-0j -5.69479e-10-0j 7.56578e-11-0j -7.11577e-10-0j -5.1874e-10-0j 1.06272e-06-0j -3.1882e-09-0j -2.23174e-08-0j 1.25638e-12-0j -2.60506e-05-0j 3.09809e-08-0j 5.40526e-11-0j 1.76477e-08-0j -0.0325565-0j 3.87113e-08-0j 7.59245e-07-0j -5.29437e-11-0j -7.50354e-11-0j -2.27776e-09-0j -4.32599e-07-0j -1.05398e-06-0j -9.37585e-11-0j 3.16197e-09-0j -1.86114e-05-0j -0.000540638-0j -1.31697e-06-0j 2.58363e-05-0j -0.0232595-0j 3.95096e-09-0j 0.0322886-0j 3.2283e-05-0j 0.0403454-0j 
0.00508356-0j 0.00360912-0j 0.000520932-0j -0.00203746-0j 0.00209214-0j -0.000360176-0j -3.00146e-05-0j 0.000369841-0j 3.08201e-05-0j 0.00145502-0j -0.00177161-0j 0.000242503-0j 0.00105029-0j 0.000148502-0j 3.03129e-05-0j -0.000295269-0j -0.000180814-0j 1.7862e-06-0j 0.000175048-0j -3.69086e-05-0j 0.000107195-0j -2.17486e-06-0j 2.1881e-05-0j 1.28935e-06-0j 0.00111999-0j 0.00130666-0j 0.000180738-0j -0.00237481-0j -0.00112499-0j 0.000147572-0j 0.000471598-0j 0.000210861-0j 2.13002e-05-0j 1.84465e-05-0j -0.000383234-0j 0.000172167-0j 2.17394e-06-0j -0.000181544-0j -0.000312909-0j 2.48502e-05-0j 9.92264e-08-0j 7.61038e-05-0j -4.51646e-05-0j 2.15209e-05-0j -0.00014823-0j -3.91137e-05-0j 2.53627e-06-0j -2.13952e-05-0j 6.21385e-05-0j -1.85287e-05-0j -4.60959e-06-0j 1.15764e-07-0j 8.96892e-06-0j -2.18363e-06-0j -2.10398e-07-0j 7.76731e-06-0j -9.96688e-08-0j 9.15387e-07-0j 4.17815e-08-0j 
-0.00513624-0j 0.00354272-0j 0.000511347-0j -0.00209214-0j 0.00211296-0j -0.000369841-0j -3.08201e-05-0j 0.000373522-0j 3.11268e-05-0j -0.0014701-0j 0.00176737-0j -0.000245016-0j -0.000971835-0j -0.000150041-0j -3.0627e-05-0j 0.000294561-0j 0.000180381-0j -1.80471e-06-0j -0.000161972-0j 3.68201e-05-0j -9.91875e-05-0j 2.16965e-06-0j -2.02466e-05-0j -1.19304e-06-0j -0.0011316-0j 0.00128262-0j -0.000182611-0j -0.000808454-0j 0.00115471-0j -0.000149101-0j -0.00227507-0j 0.000206981-0j -2.15209e-05-0j -1.86377e-05-0j -0.000130464-0j 0.000169-0j -2.19647e-06-0j 0.00018634-0j -0.000106523-0j 2.4393e-05-0j -1.00255e-07-0j -0.000367138-0j -1.53753e-05-0j 2.1125e-05-0j 0.000152146-0j -1.33154e-05-0j 2.4896e-06-0j 2.19604e-05-0j -0.000299767-0j 1.90182e-05-0j -1.56923e-06-0j 1.13634e-07-0j -4.32676e-05-0j 2.24132e-06-0j -7.16254e-08-0j -3.74708e-05-0j 1.02302e-07-0j -4.41598e-06-0j -2.01561e-07-0j 
0.0371046-0j -0.0005569-0j 0.00768489-0j 0.000314387-0j -0.000322823-0j -0.0026289-0j -0.000666488-0j 0.00269945-0j 0.000684373-0j -0.000224514-0j 0.000273366-0j 0.00177002-0j -0.000162063-0j -2.29144e-05-0j 0.000447181-0j -0.00215515-0j 2.79003e-05-0j 5.29764e-05-0j 0.00127767-0j -0.000544482-0j -1.65405e-05-0j -6.45034e-05-0j 0.000322793-0j 3.82404e-05-0j -0.000172819-0j -0.000201622-0j 0.0013192-0j 0.000366442-0j 0.000173589-0j -2.27709e-05-0j -7.27692e-05-0j 0.00153906-0j 0.000314224-0j 0.00013464-0j -0.0027972-0j -2.6566e-05-0j 4.82733e-05-0j -0.00132508-0j 4.8283e-05-0j 0.000366595-0j 3.68248e-06-0j 0.000555477-0j -0.000666276-0j 0.00015708-0j 2.28724e-05-0j -0.000285488-0j 5.63189e-05-0j -0.000315625-0j -9.58818e-06-0j -0.00013524-0j -0.000102358-0j 4.29623e-06-0j 0.000132311-0j -4.84885e-05-0j -7.80827e-06-0j 5.66932e-05-0j -3.6989e-06-0j 2.03266e-05-0j 1.55059e-06-0j 
-0.0374891-0j -0.000546653-0j 0.00754349-0j 0.000322823-0j -0.000326037-0j -0.00269945-0j -0.000684373-0j 0.00272631-0j 0.000691185-0j 0.000226841-0j -0.00027271-0j -0.00178836-0j 0.000149957-0j 2.31519e-05-0j -0.000451815-0j 0.00214998-0j -2.78334e-05-0j -5.35254e-05-0j -0.00118223-0j 0.000543177-0j 1.5305e-05-0j 6.43488e-05-0j -0.000298681-0j -3.5384e-05-0j 0.00017461-0j -0.000197912-0j -0.00133287-0j 0.000124747-0j -0.000178175-0j 2.30068e-05-0j 0.000351051-0j 0.00151074-0j -0.000317481-0j -0.000136035-0j -0.000952247-0j -2.60772e-05-0j -4.87736e-05-0j 0.00136008-0j 1.64369e-05-0j 0.00035985-0j -3.72064e-06-0j -0.00267972-0j -0.000226819-0j 0.00015419-0j -2.34766e-05-0j -9.71883e-05-0j 5.52826e-05-0j 0.000323964-0j 4.6255e-05-0j 0.000138813-0j -3.48455e-05-0j 4.21718e-06-0j -0.000638292-0j 4.97695e-05-0j -2.65816e-06-0j -0.000273497-0j 3.79662e-06-0j -9.80588e-05-0j -7.48032e-06-0j 
-0.000599103-0j 0.0409236-0j -6.13924e-05-0j 0.000240117-0j -0.000246561-0j -0.004084-0j 3.53726e-06-0j 0.0041936-0j -3.63218e-06-0j -0.000171476-0j 0.000208786-0j -2.85793e-05-0j -0.000123778-0j 0.00338521-0j 0.000343716-0j 3.47977e-05-0j -0.00412179-0j -2.10506e-07-0j -2.06296e-05-0j -0.000418504-0j 0.00244358-0j 2.5631e-07-0j 0.000248107-0j -1.51951e-07-0j -0.000131992-0j -0.000153991-0j -2.13002e-05-0j 0.000279875-0j 0.000132581-0j 0.00167331-0j -5.55784e-05-0j -2.48502e-05-0j -2.51025e-06-0j 0.000420501-0j 4.51646e-05-0j 0.00195219-0j 2.46502e-05-0j 2.13952e-05-0j -0.00354806-0j -2.92863e-06-0j -1.16939e-08-0j -8.96892e-06-0j 5.3227e-06-0j 0.000490585-0j -0.00168077-0j -0.000891624-0j 2.87585e-05-0j 2.52144e-06-0j 0.000704584-0j -0.000422376-0j -5.22678e-05-0j -1.36429e-08-0j -1.057e-06-0j -2.47601e-05-0j 2.47956e-08-0j 0.000177061-0j 1.17461e-08-0j 1.03795e-05-0j -4.924e-09-0j 
-0.00826727-0j 6.13924e-05-0j 0.0396457-0j -3.46579e-05-0j 3.55879e-05-0j 0.000585745-0j -0.00699977-0j -0.000601463-0j 0.0071876-0j 2.47504e-05-0j -3.01357e-05-0j -0.000394377-0j 1.78658e-05-0j 2.52607e-06-0j 0.00230697-0j 0.000480188-0j -3.07572e-06-0j 0.000838968-0j -0.000284676-0j -0.00280894-0j 1.82342e-06-0j -0.00102152-0j 0.00166526-0j 0.000605599-0j 1.90515e-05-0j 2.22267e-05-0j -0.00029393-0j -4.03964e-05-0j -1.91364e-05-0j 2.51025e-06-0j 8.02205e-06-0j -0.000342918-0j 0.00162106-0j -2.99991e-05-0j 0.000623244-0j 2.92863e-06-0j 0.000506989-0j 0.00029524-0j -5.3227e-06-0j 0.00189123-0j 7.79473e-05-0j -0.000123766-0j -0.00343726-0j -3.4999e-05-0j -2.52144e-06-0j 6.36096e-05-0j 0.000591487-0j -0.00162828-0j 1.057e-06-0j 3.01328e-05-0j -0.00107501-0j 9.09385e-05-0j 0.000682583-0j -0.000509249-0j -0.000165278-0j -1.26318e-05-0j -7.82948e-05-0j 0.000213479-0j 3.28214e-05-0j 
0.000605312-0j 0.0401706-0j -6.02628e-05-0j 0.000246561-0j -0.000249015-0j -0.0041936-0j 3.63218e-06-0j 0.00423534-0j -3.66833e-06-0j 0.000173253-0j -0.000208286-0j 2.88754e-05-0j 0.000114532-0j -0.00342029-0j -0.000347278-0j -3.47143e-05-0j 0.00411191-0j 2.12688e-07-0j 1.90886e-05-0j 0.000417501-0j -0.00226105-0j -2.55695e-07-0j -0.000229574-0j 1.40601e-07-0j 0.00013336-0j -0.000151158-0j 2.15209e-05-0j 9.52772e-05-0j -0.000136083-0j -0.00169065-0j 0.00026812-0j -2.4393e-05-0j 2.53627e-06-0j -0.000424859-0j 1.53753e-05-0j 0.00191627-0j -2.49056e-05-0j -2.19604e-05-0j -0.00120786-0j -2.87474e-06-0j 1.18151e-08-0j 4.32676e-05-0j 1.812e-06-0j 0.000481558-0j 0.00172517-0j -0.000303534-0j 2.82294e-05-0j -2.58806e-06-0j -0.00339903-0j 0.000433534-0j -1.77934e-05-0j -1.33919e-08-0j 5.09914e-06-0j 2.54142e-05-0j 8.44114e-09-0j -0.000854174-0j -1.20564e-08-0j -5.00725e-05-0j 2.37542e-08-0j 
0.00835294-0j 6.02628e-05-0j 0.0389162-0j -3.55879e-05-0j 3.59422e-05-0j 0.000601463-0j -0.0071876-0j -0.00060745-0j 0.00725915-0j -2.50069e-05-0j 3.00635e-05-0j 0.000398464-0j -1.65312e-05-0j -2.55225e-06-0j -0.00233088-0j -0.000479037-0j 3.06834e-06-0j -0.000847662-0j 0.000263412-0j 0.00280221-0j -1.68721e-06-0j 0.00101907-0j -0.00154087-0j -0.000560363-0j -1.92489e-05-0j 2.18178e-05-0j 0.000296976-0j -1.37521e-05-0j 1.9642e-05-0j -2.53627e-06-0j -3.86997e-05-0j -0.000336609-0j -0.00163786-0j 3.031e-05-0j 0.00021217-0j 2.87474e-06-0j -0.000512243-0j -0.00030304-0j -1.812e-06-0j 0.00185644-0j -7.8755e-05-0j 0.000597067-0j -0.00117014-0j -3.4355e-05-0j 2.58806e-06-0j 2.16545e-05-0j 0.000580604-0j 0.0016713-0j -5.09914e-06-0j -3.09289e-05-0j -0.000365964-0j 8.92652e-05-0j -0.00329289-0j 0.000522703-0j -5.62653e-05-0j 6.09379e-05-0j 8.03632e-05-0j -0.00102986-0j -0.000158336-0j 
-0.000535854-0j -0.000380435-0j -5.49111e-05-0j -0.0313002-0j 0.0321401-0j 3.79658e-05-0j 3.16382e-06-0j -3.89846e-05-0j -3.24872e-06-0j -0.000153372-0j 0.000186744-0j 0.00372542-0j -0.00011071-0j -1.56535e-05-0j -3.19526e-06-0j -0.00453602-0j 1.90595e-05-0j -1.88282e-07-0j 0.00268915-0j 3.89051e-06-0j -1.12993e-05-0j 2.2925e-07-0j -2.30646e-06-0j -1.35909e-07-0j 0.02912-0j 0.0339734-0j -1.90515e-05-0j -0.0617456-0j -0.0292499-0j 0.00226705-0j 0.0122616-0j -2.22267e-05-0j 0.000327221-0j -1.94443e-06-0j 4.03964e-05-0j 0.0026449-0j -2.29154e-07-0j 1.91364e-05-0j -0.00480702-0j 0.000381758-0j -1.04594e-08-0j -8.02205e-06-0j -0.000693834-0j -2.26851e-06-0j -0.00227716-0j 4.12294e-06-0j -2.67346e-07-0j -0.00032868-0j 0.000954594-0j 1.9531e-06-0j 4.85893e-07-0j -1.22026e-08-0j 0.000137784-0j 2.30175e-07-0j 2.21779e-08-0j -8.18747e-07-0j 1.0506e-08-0j -9.64902e-08-0j -4.40416e-09-0j 
-0.000366874-0j -0.000260466-0j -3.7595e-05-0j 0.000147041-0j -0.000150987-0j 2.59934e-05-0j 2.16612e-06-0j -2.6691e-05-0j -2.22425e-06-0j 0.0412439-0j -0.0502181-0j -1.75012e-05-0j 0.0297714-0j -1.07172e-05-0j -2.18764e-06-0j 2.13092e-05-0j 1.30492e-05-0j -1.28908e-07-0j -1.2633e-05-0j 2.66365e-06-0j -7.7361e-06-0j 1.56957e-07-0j -1.57913e-06-0j -9.30508e-08-0j -8.08286e-05-0j -9.43e-05-0j 0.0051232-0j 0.000171387-0j 8.11889e-05-0j -1.06501e-05-0j -3.40347e-05-0j 0.00597706-0j -1.53721e-06-0j -1.33126e-06-0j -0.0108631-0j -1.24251e-05-0j -1.56891e-07-0j -0.00514604-0j 2.25823e-05-0j -1.79341e-06-0j -7.16105e-09-0j 0.00215724-0j 3.25947e-06-0j -1.55314e-06-0j 1.06976e-05-0j 2.82279e-06-0j -1.83039e-07-0j 1.54406e-06-0j -4.48446e-06-0j 1.3372e-06-0j 3.32668e-07-0j -8.35456e-09-0j -6.47276e-07-0j 1.5759e-07-0j 1.51842e-08-0j -5.60558e-07-0j 7.19297e-09-0j -6.60623e-08-0j -3.01532e-09-0j 
0.000541407-0j -0.000373435-0j -5.39007e-05-0j -0.0321401-0j 0.03246-0j 3.89846e-05-0j 3.24872e-06-0j -3.93727e-05-0j -3.28106e-06-0j 0.000154962-0j -0.000186297-0j -0.00376403-0j 0.00010244-0j 1.58157e-05-0j 3.22837e-06-0j 0.00452515-0j -1.90138e-05-0j 1.90234e-07-0j -0.00248828-0j -3.88118e-06-0j 1.04553e-05-0j -2.28701e-07-0j 2.13417e-06-0j 1.25757e-07-0j -0.0294218-0j 0.0333483-0j 1.92489e-05-0j -0.02102-0j 0.0300226-0j -0.00229055-0j -0.0591523-0j -2.18178e-05-0j -0.000330612-0j 1.96458e-06-0j 1.37521e-05-0j 0.00259623-0j 2.31528e-07-0j -1.9642e-05-0j -0.00163645-0j 0.000374734-0j 1.05678e-08-0j 3.86997e-05-0j -0.000236201-0j -2.22677e-06-0j 0.00233732-0j 1.40357e-06-0j -2.62427e-07-0j 0.000337363-0j -0.00460512-0j -2.0047e-06-0j 1.65412e-07-0j -1.19781e-08-0j -0.000664692-0j -2.36256e-07-0j 7.54998e-09-0j 3.94977e-06-0j -1.07836e-08-0j 4.65485e-07-0j 2.12464e-08-0j 
0.000370676-0j -0.000255674-0j -3.69033e-05-0j 0.000150987-0j -0.00015249-0j 2.6691e-05-0j 2.22425e-06-0j -2.69566e-05-0j -2.24639e-06-0j -0.0416713-0j 0.0500977-0j 1.76825e-05-0j -0.0275476-0j 1.08283e-05-0j 2.21031e-06-0j -2.12581e-05-0j -1.30179e-05-0j 1.30244e-07-0j 1.16894e-05-0j -2.65726e-06-0j 7.15824e-06-0j -1.56581e-07-0j 1.46117e-06-0j 8.61002e-08-0j 8.16662e-05-0j -9.25649e-05-0j -0.00517629-0j 5.83451e-05-0j -8.33338e-05-0j 1.07605e-05-0j 0.000164189-0j 0.00586709-0j 1.55314e-06-0j 1.34506e-06-0j -0.00369812-0j -1.21965e-05-0j 1.58517e-07-0j 0.00528199-0j 7.68765e-06-0j -1.76041e-06-0j 7.23526e-09-0j -0.0104069-0j 1.10962e-06-0j -1.52456e-06-0j -1.09802e-05-0j 9.60956e-07-0j -1.79671e-07-0j -1.58485e-06-0j 2.16338e-05-0j -1.37252e-06-0j 1.1325e-07-0j -8.20084e-09-0j 3.12257e-06-0j -1.61753e-07-0j 5.16912e-09-0j 2.70423e-06-0j -7.383e-09-0j 3.18696e-07-0j 1.45464e-08-0j 
-0.00448081-0j -0.00647059-0j -0.000928038-0j -3.79658e-05-0j 3.89846e-05-0j -0.030545-0j 8.0486e-05-0j 0.0313647-0j -8.26459e-05-0j 2.71127e-05-0j -3.3012e-05-0j -0.00021375-0j 1.9571e-05-0j -0.000535249-0j 0.00519577-0j 0.000260259-0j 0.000651712-0j -6.39751e-06-0j -0.000154293-0j -0.00632631-0j -0.000386363-0j 7.78953e-06-0j 0.00375051-0j -4.61797e-06-0j -0.00514775-0j -0.0060057-0j -0.000159308-0j 0.0109152-0j 0.00517069-0j -0.000264573-0j -0.00216757-0j -0.00018586-0j -3.79462e-05-0j 0.00314501-0j 0.000337794-0j -0.000308669-0j 0.000560885-0j 0.000160018-0j 0.000560997-0j -4.42706e-05-0j -4.44702e-07-0j -6.70803e-05-0j 8.04605e-05-0j 0.00366918-0j 0.000265753-0j -0.00666862-0j 0.000654366-0j 3.81154e-05-0j -0.000111405-0j -0.00315903-0j -0.00118929-0j -5.18819e-07-0j -1.59781e-05-0j -0.000563385-0j 9.42939e-07-0j 0.00132428-0j 4.46685e-07-0j 0.000236173-0j -1.87252e-07-0j 
0.00113599-0j -5.60434e-06-0j -0.0110902-0j 3.16382e-06-0j -3.24872e-06-0j -8.0486e-05-0j -0.0295778-0j 8.26459e-05-0j 0.0303715-0j -2.25939e-06-0j 2.751e-06-0j 5.41906e-05-0j -1.63091e-06-0j -2.30598e-07-0j -0.000645338-0j -6.59817e-05-0j 2.80773e-07-0j 0.0072706-0j 3.91168e-05-0j 0.000785755-0j -1.66454e-07-0j -0.00885259-0j -0.00046583-0j 0.0052482-0j 0.000428979-0j 0.000500475-0j 4.03884e-05-0j -0.000909599-0j -0.000430891-0j -2.29154e-07-0j 0.000180631-0j 4.71197e-05-0j -0.000453465-0j 4.12212e-06-0j -8.56388e-05-0j -2.67346e-07-0j 0.0021423-0j -4.05684e-05-0j 4.85893e-07-0j -0.000529042-0j 0.00102041-0j 1.70064e-05-0j 0.000961519-0j 4.80914e-06-0j 2.30175e-07-0j -8.74047e-06-0j 0.00249936-0j 0.000455486-0j -9.64902e-08-0j -4.1405e-06-0j -0.00454251-0j 0.00119047-0j -0.000190941-0j -0.00215185-0j -0.00216365-0j 1.73571e-06-0j -0.00102496-0j 0.000902065-0j 0.000429665-0j 
0.00452724-0j -0.00635153-0j -0.000910963-0j -3.89846e-05-0j 3.93727e-05-0j -0.0313647-0j 8.26459e-05-0j 0.0316769-0j -8.34685e-05-0j -2.73936e-05-0j 3.29329e-05-0j 0.000215965-0j -1.81091e-05-0j 0.000540796-0j -0.00524962-0j -0.000259635-0j -0.00065015-0j 6.46381e-06-0j 0.000142768-0j 0.00631114-0j 0.000357503-0j -7.77086e-06-0j -0.00347036-0j 4.27302e-06-0j 0.00520109-0j -0.0058952-0j 0.000160959-0j 0.00371584-0j -0.0053073-0j 0.000267315-0j 0.0104567-0j -0.00018244-0j 3.83394e-05-0j -0.0031776-0j 0.000114995-0j -0.00030299-0j -0.000566697-0j -0.000164246-0j 0.000190979-0j -4.3456e-05-0j 4.49311e-07-0j 0.000323607-0j 2.7391e-05-0j 0.00360166-0j -0.000272774-0j -0.00227019-0j 0.000642326-0j -3.91223e-05-0j 0.000537434-0j 0.00324249-0j -0.000404868-0j -5.09273e-07-0j 7.7081e-05-0j 0.000578269-0j 3.21003e-07-0j -0.00638853-0j -4.58485e-07-0j -0.00113934-0j 9.03334e-07-0j 
-0.0040904-0j 6.13924e-05-0j -0.000847179-0j 0.00505105-0j -0.00518659-0j 0.000289809-0j 7.34734e-05-0j -0.000297586-0j -7.5445e-05-0j -0.00484827-0j 0.00590319-0j 0.0284377-0j -0.00349966-0j 2.52607e-06-0j -4.92971e-05-0j -0.0346253-0j -3.07572e-06-0j -5.8401e-06-0j 0.0205274-0j 6.00235e-05-0j 1.82342e-06-0j 7.11083e-06-0j -3.55845e-05-0j -4.21561e-06-0j 1.90515e-05-0j 2.22267e-05-0j 0.0284874-0j -4.03964e-05-0j -1.91364e-05-0j -0.000365844-0j 8.02205e-06-0j 0.0332353-0j 0.00504843-0j -1.48427e-05-0j -0.0604041-0j -0.000426818-0j -5.32163e-06-0j -0.0286144-0j 0.00077573-0j 0.00588984-0j -4.05956e-07-0j 0.0119952-0j -0.0107046-0j -1.73164e-05-0j 0.000367475-0j 3.14721e-05-0j -6.20857e-06-0j -0.00507094-0j -0.000154047-0j 1.49088e-05-0j 1.12839e-05-0j -4.73615e-07-0j 0.00212576-0j 5.34536e-06-0j 8.60781e-07-0j -6.24983e-06-0j 4.07765e-07-0j -2.24079e-06-0j -1.70937e-07-0j 
-0.00114776-0j -5.50122e-06-0j -0.0108862-0j 3.24872e-06-0j -3.28106e-06-0j -8.26459e-05-0j -0.0303715-0j 8.34685e-05-0j 0.0306738-0j 2.2828e-06-0j -2.74441e-06-0j -5.47521e-05-0j 1.50909e-06-0j 2.32988e-07-0j 0.000652026-0j 6.58236e-05-0j -2.801e-07-0j -0.00734594-0j -3.61949e-05-0j -0.000783872-0j 1.54021e-07-0j 0.00883137-0j 0.000431034-0j -0.00485617-0j -0.000433424-0j 0.000491267-0j -4.08069e-05-0j -0.000309653-0j 0.000442275-0j 2.31528e-07-0j -0.000871395-0j 4.62528e-05-0j 0.000458164-0j -4.16484e-06-0j -2.91539e-05-0j -2.62427e-07-0j -0.00216451-0j 4.16402e-05-0j 1.65412e-07-0j -0.000519308-0j -0.00103098-0j -8.20418e-05-0j 0.000327328-0j 4.72065e-06-0j -2.36256e-07-0j -2.9755e-06-0j 0.00245337-0j -0.00046752-0j 4.65485e-07-0j 4.24988e-06-0j -0.0015464-0j 0.00116857-0j 0.000921134-0j 0.0022087-0j -0.000736568-0j -8.37336e-06-0j 0.00105203-0j -0.00435172-0j -0.00207278-0j 
5.29538e-05-0j -0.00727193-0j 5.42638e-06-0j -2.12236e-05-0j 2.17931e-05-0j 0.000725709-0j -3.12652e-07-0j -0.000745183-0j 3.21042e-07-0j -0.00296895-0j 0.00361495-0j 2.52607e-06-0j -0.0021431-0j 0.0286381-0j -6.10767e-05-0j -3.07572e-06-0j -0.0348694-0j 1.86063e-08-0j 1.82342e-06-0j 7.43662e-05-0j 0.0206721-0j -2.26548e-08-0j -4.40875e-05-0j 1.34307e-08-0j 1.16666e-05-0j 1.3611e-05-0j -0.000368794-0j -2.47377e-05-0j -1.17186e-05-0j -0.000297339-0j 4.91248e-06-0j -0.000430259-0j 2.21877e-07-0j 0.00355734-0j 0.000781984-0j -0.000346896-0j -4.38022e-06-0j 0.000370438-0j 0.000630473-0j 2.58857e-07-0j 1.03361e-09-0j -0.000155289-0j -4.70464e-07-0j 0.00415024-0j 0.000298665-0j -0.00754293-0j -5.11026e-06-0j -2.22866e-07-0j -0.000125201-0j -0.0035732-0j 9.28775e-06-0j 1.20588e-09-0j 9.34263e-08-0j 4.39975e-06-0j -2.19165e-09-0j 0.0014979-0j -1.03822e-09-0j -1.84439e-06-0j 4.35224e-10-0j 
