-0.301269+0.050357j 0.249148+0.0367282j 0.0159562+0.100938j -0.182539-0.00426826j 0.0955074-0.0845173j -0.595818-0.0127089j -0.36147+0.0235372j 0.211196+0.0219546j -0.0288476-0.0452852j -0.106598+0.0156402j 0.0894499-0.0109668j 0.0570445+0.0467764j -0.0562766+0.0304083j -0.0187453+0.00298908j 0.106716+0.0734682j 0.0552917+0.0167963j -0.0979578-0.0646769j 0.0524221+0.0591362j -0.0765345+0.063106j 0.022814+0.0373117j 0.00551172+0.0787809j 0.0643726+0.018226j -0.00566809-0.0262512j -0.0244724-0.00180109j 0.0254917-0.0459967j -0.00718601+0.0209883j 0.0448071+0.00683962j 0.0791687+0.0332886j -0.00710012+0.0493531j -0.00110278-0.0434941j -0.0998481-0.0465771j 0.0205855+0.0249234j -0.00858219-0.0189786j 0.0418869-0.0622638j -0.0110532+0.126611j -0.160263+0.0385412j 
-0.00542619+0.00414718j -0.0026513-0.0016267j -0.0257715-0.0260169j -0.0167033-0.0118874j 0.0180633-0.0191934j -0.00372555-0.0141204j 0.00286023+0.000180279j -0.0117526-0.00657732j 0.0148183-0.000372595j 0.03222+0.0308115j -0.00694559-0.00544168j 0.0219842-0.0104955j 0.0383844-0.000507302j -0.00747624+0.00921609j 0.0181203-0.0342468j 0.00342324+0.0397166j 0.026508+0.0247052j 0.0152798+0.00102342j -0.00301081+0.0113258j 0.00595534-0.00618661j -0.0137646+0.00961883j -0.00499038+0.015731j -0.0338476+0.0265971j 0.0126589+0.00458293j 0.0233354-0.0224681j 0.000335903+0.00892333j 0.00525981-0.0156301j 0.00361553-0.0135452j 0.0406194+0.0332912j 0.0159141+0.0240246j 0.0291986+0.00340043j -0.00849613-0.0150331j 0.0109243-0.0319652j 0.012625+0.0018122j 0.00468965+0.021978j -0.0223164-0.00604976j 
0.0122209-0.0217173j -0.00352807+0.00791875j 0.000111642+0.0125186j 0.0229078-0.00724688j -0.00145733-0.00584977j -0.00695857+0.00330082j -0.0287694+0.0384163j 0.00644705+0.0231429j 0.0230182+0.0142214j 0.0205964-0.0475812j 0.00965133-0.0236283j -0.00403594+0.0102001j -0.0322877-0.0139917j -0.0267909-0.011638j 0.0402069-0.0328564j 0.0157888-0.0233348j 0.00878131-0.00485219j 0.00252493+0.0248213j -0.000349085-0.00723831j -0.0212103+0.0267893j 0.0319533+0.0182854j -0.00350929+0.0184506j 0.0165733+0.0189716j -0.011071-0.0292809j -0.00659227-0.0366522j 0.00648931-0.00247001j -0.0077187-0.00988243j -0.0167202-0.00525826j 0.0207757-0.00754753j 0.0177972+0.00270343j 0.0332399-0.0103794j -0.0121456-0.00710754j -0.0285476-0.0352907j 0.00474036+0.00798673j 0.0174636-0.015883j 0.0240107+0.00360561j 
-0.0376887+0.00498175j 0.0115151+0.00994663j 0.00886498+0.0127388j -0.0226648-0.0183876j 0.0252812-0.0259308j -0.000229705-0.0150574j 0.0553048-0.00471151j 0.00370547-0.0441458j -0.0484957-0.0488174j -0.00669738-0.00113828j 0.00487295-0.0196771j 0.0200665-0.0247078j 0.0256291-0.0313748j -0.0218579-0.00159091j 0.0362833-0.00423007j -0.0110649-0.0235137j 0.0158132+0.0118895j -0.0278043-0.0207003j -0.00147362+0.0175432j -0.0141595+0.0119401j -0.018774+0.0099775j 0.00738491+0.021739j -0.0412012+0.0299181j 0.0127877-0.00260133j 0.0172997-0.0276839j 0.00352279+0.00338453j 0.0103384-0.0173589j 0.0106484-0.00503558j 0.0458839+0.0494528j 0.00731839+0.000911259j 0.0032684+0.00421789j -0.00619367-0.0075177j 0.0105226-0.0336225j 0.0158426-0.0170393j 0.00155097+0.0280179j -0.0251242-0.00359287j 
0.0580461-0.0444082j -0.0512846-0.0453832j 0.0208059-0.0110914j 0.0716813+0.0199307j -0.0212253+0.0614378j 0.0276065+0.0372018j -0.0271456-0.00169772j 0.035509+0.0240259j -0.0123612+0.0114211j -0.0581736-0.0439547j 0.0198914+0.0214837j -0.0512202+0.0183641j -0.0378126+0.0193651j 0.00901935-0.00939605j -0.00383766+0.0527046j 0.00331326-0.0018072j -0.0273046-0.0128161j 0.0238643-0.0308611j -0.00402509-0.0137899j 0.0252747+0.0270154j 0.000144754-0.0141648j 0.0211979-0.00660005j 0.016869+0.000253936j -0.00879856+0.00203049j 0.00243667-0.00976481j 0.00378886-0.000590327j 0.00370509+0.00880592j 0.00728395+0.00484859j -0.0636125-0.0035589j -0.000181739+0.0080791j -0.0268905-0.0348737j -0.0010975+0.0157955j -0.00229544+0.0330522j 0.0331665+0.00809988j -0.0125371-0.047124j 0.049482+0.00624235j 
-0.0215245+0.00398597j 0.0228733-0.00527812j -0.0136424+0.0165971j -0.0381618-0.0215396j -0.00925126-0.0141306j -0.00200345-0.00401545j 0.0224805+0.0410922j -0.018612+0.0188913j 0.0437395-0.0120537j -0.00775567+0.0136954j -0.0388312-0.00321853j 0.027207-0.00778686j 0.00345063-0.0072769j -0.0172079-0.00185531j -0.039363-0.0159913j -0.0269096-0.0320668j -0.0115649-0.0281507j -0.0130579+0.00143305j 0.00401082-0.013205j -0.00250065-0.0322361j -0.00819417-0.0197939j 0.00988992+0.00619676j 0.0161191+0.00295671j -0.0118355+0.0179495j -0.0327699+0.0129089j -0.00274443+0.0138978j -0.00950292+0.0135172j -0.0151782+0.0100511j 0.0480291+0.00938164j 0.0129662-0.00844202j -0.00522114-0.0233957j -0.000444675+0.0097081j -0.0124965+0.0499232j 0.0219008+0.0014905j 0.00105688-0.0210281j -0.00129704-0.0437521j 
-0.00766319+0.00905915j -0.0044279+0.0049413j -0.00895-0.0165455j -0.0273389-0.00693693j 0.00866256-0.00918719j -0.00462303-0.00143049j 0.0249883-0.0043464j 0.00952533-0.00802994j -0.0113369-0.00322082j -0.00272525-0.000281838j 0.00891285-0.00312425j 0.00143626+0.00160117j -0.00315649-0.00140299j -0.0138332-0.00167195j 0.00567207-0.00333471j -0.0138826+0.0121848j -0.00220059+0.000758152j -0.0143948+0.000250388j 0.00122148+0.00044508j -0.00365144-0.00863995j 0.00172869-0.00710927j -0.0130152-0.00660532j -0.00607663-0.00283367j -0.00304003+0.00207761j -0.00482517+0.00952475j -0.0123771+0.00566833j 0.00161163-0.00937412j 0.00318832-0.00350463j 0.00656767-0.00546542j -0.00248159-0.00737193j 0.00162216+0.00422673j 0.00271571-0.00257807j -0.00287577+0.000562565j -0.00895173-0.000758361j 0.00180038+0.0020521j -0.00763695+0.000934292j 
0.00257623+0.0235778j 0.0269618-0.00857518j 0.00153759-0.0324452j -0.0204488+0.020936j -0.00307011-0.00819635j -0.00401806-0.00841447j 0.0154906-0.00567673j -0.0080755+0.000745872j 0.0205374-0.0430854j 0.0102689-0.00929768j -0.0151006+0.0109034j 0.0136209-0.00633854j 0.0198358-0.00229171j -0.00511118+0.0177076j -0.0471117+0.004185j 0.0262914+0.0173701j 0.0188749-0.00393878j 0.041649-0.011631j -0.00939445+0.00280781j -0.0162646-0.000985911j -0.00609229+0.00507477j 0.00139995+0.00358097j -0.00925829-0.00350749j -0.00454885+0.0147162j -0.00520692+0.0127667j 0.00477366+0.00635347j 0.0136532+0.00446419j -0.00750741+0.0122575j 0.0230309-0.0311429j 0.00956877-0.0177382j 0.000147277-0.00672004j 0.00242822+0.00844531j 0.0187598+0.0140171j 0.00800756-0.0158451j -0.00942976-0.00573362j -0.0292666-0.0105264j 
0.0275652-0.00685003j -0.0125272-0.0191777j -0.0188455-0.00637507j 0.0300889+0.0141525j -0.0209874+0.0125403j 0.00863851+0.00845019j 0.00514852-0.00953791j 0.0167443+0.0216553j 0.0107916+0.0236797j -0.0182735-0.00806579j 0.024913+0.0101393j -0.021574+0.0342396j -0.0374054+0.0304907j -0.0219192+0.00834411j -0.00853672-0.0211506j 0.00166641+0.0626606j -0.0113621+0.00756549j 0.0294029-0.0137407j -0.00263774-0.000869916j 0.019572+0.000515008j -0.00452234+0.00212085j 0.0168533-0.0168595j 0.0143567-0.00112614j -0.00136733+0.000399933j -0.00579515-0.00371491j 0.000642167-0.0037915j -0.00163438+0.0101622j -0.00936488-0.0072397j -0.0164623-0.00443826j 0.00588473+0.0261127j -0.00556199-0.00538441j -0.00111373+0.00595528j 0.00120904+0.0177367j 0.00757211+0.0122557j -0.00231655-0.00696576j 0.00787481-0.00411272j 
0.00778187+0.0210323j 0.0328606+0.0339731j 0.00409262+0.0111167j -0.0116709+0.0249364j -0.0561123-0.0259916j -0.0384237-0.0157204j 0.0163424+0.0122936j 0.0187499+0.0395311j 0.0172946-0.0379361j -0.0290452-0.0274411j -0.00432126-0.0344751j 0.0278381+0.00590409j -0.0810054-0.00174494j -0.00422059+0.0513035j -0.0590403-0.0176506j 0.00322903-0.0180888j -0.00756222-0.0064393j 0.0171155-0.00651521j 0.0140795+0.0172933j -0.00655383+0.0100389j 0.0271913+0.0732901j -0.0118033-0.0240452j 0.055258-0.00333265j -0.025893-0.0411101j -0.0305318-0.00595126j 0.01118+0.0286391j -0.00247959+0.0442031j -0.0182797+0.0230507j -0.0270231-0.0118667j 0.0228084+0.0138527j -0.0180529+0.000682168j 0.0128121-0.00132615j 0.0181552-0.00466012j -0.00477606-0.00755747j 0.00631663+0.0452021j -0.00697865+0.000818579j 
0.0794445+0.0261672j -0.00311396-0.0627497j 0.00843969-0.00540548j 0.0375484+0.0479875j -0.084284+0.0317256j -0.0484033+0.0123447j -0.0240145-0.0457423j 0.0310226+0.0470515j -0.0178554+0.000414947j 0.0385892-0.0166178j 0.0143991+0.0239124j -0.014564-0.000619542j -0.0589019-0.00135919j 0.0488254-0.018229j -0.0470947+0.0408483j 0.00762358+0.0216651j 0.0179383+0.0204153j -0.0163617-0.00410631j 0.0228427+0.00696932j -0.023111-0.0152572j 0.0713612+0.0266307j 0.0289368+0.0102063j 0.018376+0.0431964j 0.0209352+0.0367784j 0.0114451+0.044266j -0.0105354-0.00250317j -0.0354674+0.000755089j 0.00805536-0.00190658j -0.0167872+0.017288j -0.0231836+0.0340183j 0.00403209-0.0185519j -0.0128984-0.00451203j -0.0306456-0.00725585j 0.0160193+0.00722254j 0.0161708+0.0130841j 0.0332614+0.0171409j 
0.0375884-0.0500653j -0.0543961-0.0528147j 0.00482805-0.0136603j 0.0696986-0.0100731j 0.0303943+0.0861968j 0.0381004+0.0474814j -0.0222513-0.00482338j 0.0520364-0.0071126j -0.00554637+0.0212872j -0.0622023-0.03634j 0.00673978+0.0114254j -0.0490802-0.0239021j 0.0369311+0.0604065j 0.0342349-0.00494672j 0.00290086+0.0436711j -0.0111196+0.0168774j 0.00419738-0.016086j -0.00630224-0.00651587j 0.0165054-0.0379028j 0.0119608+0.0195663j 0.0238763-0.0151259j -0.000956472-0.00689607j -0.00983167+0.0223804j 0.0167706-0.0151078j 0.0454074+0.00342542j -0.00719934+0.0109152j 0.00508651-0.0126113j 0.0203288+0.0188537j -0.0444024-0.0866877j 0.00281014-0.0180141j -0.0134594-0.0470753j -0.0044182+0.0133129j 0.00218282-0.0262932j 0.0279662-0.00491808j 0.00664697-0.0766779j 0.0373382+0.0523873j 
