-0.448006-0j -0.045438-0j -0.0459089-0j -0.0260693-0j -0.00376278-0j -0.0322591-0j -0.0188178-0j -0.00465621-0j -0.00271612-0j -0.0183183-0j -0.00323826-0j -0.0213714-0j -0.000269855-0j -0.0130873-0j -0.0187-0j -0.00377796-0j -0.00231352-0j -0.00771334-0j -0.00031483-0j -0.00330572-0j -0.000192793-0j -0.00136354-0j -0.000275477-0j -0.000113628-0j 0.0571671-0j 0.00952785-0j -0.0159282-0j 0.00583459-0j 0.00119098-0j -0.0130053-0j 7.01793e-05-0j -0.00265469-0j -0.0131401-0j -0.0113796-0j -0.00162566-0j -0.00216755-0j -0.00938771-0j -0.000331836-0j -0.00132735-0j -0.00219001-0j -0.00299942-0j -1.95537e-05-0j -0.0013411-0j -0.0018966-0j -0.000270943-0j -0.00116143-0j -0.00156462-0j -0.000273751-0j -1.59655e-05-0j -0.000237075-0j -0.000958129-0j -0.000499903-0j -1.61309e-05-0j -0.000195577-0j -0.000306127-0j -1.39698e-05-0j -6.24879e-05-0j -1.15245e-05-0j -3.68213e-06-0j 
0.00465621-0j 0.0444248-0j -0.045617-0j 0.000270943-0j 0.174968-0j -0.000329897-0j 0.000195577-0j -0.213039-0j 0.126299-0j 0.000190386-0j -0.00321766-0j 0.000222117-0j 0.0384517-0j -0.000403691-0j -0.000191235-0j -0.00375394-0j 0.00682268-0j 8.01662e-05-0j 0.0448604-0j 0.00323201-0j -0.0815324-0j -0.00135487-0j -0.0386232-0j 0.016191-0j -0.000594148-0j 0.00946727-0j 0.000165544-0j -6.064e-05-0j -0.0553803-0j -0.000132998-0j -0.02014-0j -0.00263781-0j 0.000136567-0j -0.000351017-0j 1.68958e-05-0j 0.00211922-0j -9.60031e-05-0j 0.0154303-0j -1.35741e-05-0j -0.00217608-0j 3.11735e-05-0j 0.00561148-0j 1.39383e-05-0j 0.00559317-0j -0.0123967-0j -3.58255e-05-0j 0.00152973-0j 0.0127294-0j -0.00450826-0j -0.0327182-0j -9.79827e-06-0j -0.000496724-0j 0.00462924-0j -0.00894841-0j 3.18163e-06-0j -0.0118985-0j 0.00290567-0j -0.00325423-0j 0.00105669-0j 
-0.0294484-0j -0.00298674-0j -0.00301769-0j -0.328869-0j 0.000493361-0j 0.204019-0j 0.119011-0j -0.000306063-0j -0.000178537-0j 0.00363411-0j -0.0618103-0j 0.00280213-0j 5.35354e-05-0j -0.000860255-0j -0.00122919-0j -0.0476597-0j 0.0146316-0j -0.000507016-0j 4.12793e-05-0j 0.0209066-0j -1.26728e-05-0j 0.00862352-0j -1.81077e-05-0j -7.46905e-06-0j -0.000926855-0j -0.000154476-0j 0.00315993-0j 0.0182976-0j 0.00185784-0j 0.0017052-0j -1.13782e-06-0j 0.000526654-0j 0.00172287-0j -0.000748008-0j -0.0623822-0j 0.0002842-0j -0.000617075-0j -0.00633394-0j -0.0336635-0j 0.000287145-0j -0.000197159-0j 3.87918e-06-0j -0.0340123-0j -0.000124668-0j -0.003418-0j 0.0147669-0j -0.000102846-0j -0.00345342-0j 2.09333e-06-0j 0.00149935-0j 0.0121821-0j -3.28598e-05-0j 2.11502e-06-0j 0.0012369-0j 0.00389224-0j -9.18267e-07-0j 0.000395196-0j -7.57532e-07-0j -2.42035e-07-0j 
0.00457053-0j 0.045617-0j -0.046071-0j -0.000273751-0j -0.176782-0j 0.000329106-0j -0.000180968-0j 0.212529-0j -0.116865-0j -0.000192359-0j 0.00325101-0j 0.00021803-0j -0.0388502-0j -0.000137428-0j 0.000196287-0j -0.00368487-0j 0.00232263-0j -0.000386735-0j 0.0440349-0j -0.00331739-0j -0.0277559-0j 0.00653612-0j 0.0396435-0j -0.0781079-0j 0.000600306-0j -0.00956538-0j 0.000162498-0j 6.12684e-05-0j 0.0559542-0j -0.000136567-0j 0.0203487-0j -0.00258928-0j 0.000137926-0j 0.000116094-0j 1.65849e-05-0j 0.00217608-0j -9.02802e-05-0j 0.0151464-0j -1.39383e-05-0j -0.00219774-0j -0.00033314-0j 0.00550823-0j 1.4077e-05-0j -0.00184987-0j -0.0127294-0j 1.18488e-05-0j 0.00143854-0j 0.0128561-0j -0.00462924-0j 0.0108211-0j -9.21418e-06-0j 0.00530832-0j 0.00467532-0j -0.00841498-0j -3.4001e-05-0j 0.00393527-0j -0.0310519-0j -0.00306024-0j -0.0112925-0j 
0.00425052-0j -0.0412153-0j -0.0416424-0j -0.000493361-0j -0.3186-0j 0.000306063-0j 0.000178537-0j 0.197648-0j 0.115295-0j -0.000524538-0j 0.00886509-0j -0.000404453-0j -0.10594-0j 0.000124167-0j 0.000177419-0j 0.00683555-0j -0.00209852-0j 7.31814e-05-0j -0.0816862-0j -0.00299851-0j 0.0250777-0j -0.00123682-0j 0.0358328-0j 0.0147803-0j 0.00013378-0j -0.00213167-0j -0.000456096-0j 1.36539e-05-0j 0.0124696-0j -0.000246124-0j 0.00453476-0j 0.00726752-0j -0.000248675-0j 0.000107966-0j -4.65501e-05-0j 0.00392179-0j 8.90672e-05-0j -0.0425125-0j -2.512e-05-0j 0.00396243-0j 2.84574e-05-0j -0.0154604-0j -2.53803e-05-0j -0.00172035-0j -0.0229411-0j 1.10192e-05-0j -0.00141921-0j -0.0231789-0j -0.00834292-0j 0.0100634-0j 9.09038e-06-0j -0.000453445-0j -0.00842938-0j 0.00830192-0j 2.90442e-06-0j 0.00365973-0j 0.0026525-0j 0.00301913-0j 0.000964625-0j 
0.000518689-0j -0.00363662-0j -0.0036279-0j -0.204019-0j 0.000306063-0j 0.00353583-0j 0.288248-0j -5.30436e-06-0j -0.000432422-0j -0.00449698-0j 0.0764863-0j 2.47432e-05-0j -6.62467e-05-0j -0.00315938-0j 0.00145404-0j -0.000420842-0j 0.053736-0j -0.00184648-0j 3.64502e-07-0j -0.0247309-0j -4.65421e-05-0j 0.0314056-0j 2.14201e-05-0j -2.72012e-05-0j 0.00114692-0j 0.000191154-0j -5.56572e-05-0j -0.0226422-0j -0.00229896-0j -0.00104087-0j 1.40798e-06-0j -9.27621e-06-0j -0.00103838-0j -3.91024e-05-0j 0.00109877-0j -0.000173479-0j 0.0014706-0j 0.000111563-0j 0.0205486-0j -0.000173063-0j -0.000958522-0j -6.83257e-08-0j 0.0204993-0j -6.51706e-06-0j 0.00208639-0j 0.000771946-0j 0.0002451-0j 0.00208139-0j -1.27779e-06-0j 7.83791e-05-0j -0.0290321-0j -0.000159754-0j -1.27473e-06-0j -0.00294776-0j 0.0189228-0j -4.80027e-08-0j 0.00192132-0j 1.80534e-06-0j -1.1767e-06-0j 
0.000345793-0j 0.00246394-0j -0.0024186-0j 0.678619-0j -0.00101805-0j -0.00239565-0j 0.192165-0j 3.59389e-06-0j -0.000288281-0j 0.000993337-0j -0.0168951-0j -8.23024e-05-0j 1.46332e-05-0j 0.000709674-0j -0.000985164-0j 0.00139983-0j -0.0120704-0j -0.00123099-0j -1.21243e-06-0j 0.0167561-0j 1.04545e-05-0j 0.0209371-0j -1.45128e-05-0j -1.81341e-05-0j 0.000764616-0j 0.000127436-0j 1.22941e-05-0j -0.0150948-0j -0.00153264-0j -0.00351866-0j 9.38655e-07-0j 2.04902e-06-0j 0.00345392-0j 8.78335e-06-0j -0.000242706-0j -0.000586444-0j -0.000996385-0j -2.46431e-05-0j 0.0694643-0j 0.000575654-0j -0.000639015-0j 1.50925e-08-0j -0.0681861-0j 1.46389e-06-0j 0.00705301-0j -0.000173398-0j -0.000166064-0j -0.00692324-0j -4.31957e-06-0j -1.76058e-05-0j 0.0196703-0j -0.000106502-0j 4.24009e-06-0j 0.00199721-0j 0.0126152-0j 1.07826e-08-0j 0.00128088-0j -1.22318e-06-0j -7.84465e-07-0j 
0.0416063-0j -0.00215595-0j -0.0019949-0j 0.119011-0j -0.000178537-0j -0.288248-0j 0.332623-0j 0.000432422-0j -0.000498992-0j 0.00262324-0j -0.044617-0j 0.00198476-0j 3.86439e-05-0j -0.000620965-0j -0.00081258-0j -0.0337576-0j 0.0105616-0j -0.000425851-0j 2.92383e-05-0j 0.0138207-0j -9.14768e-06-0j 0.00724305-0j -1.19704e-05-0j -6.27338e-06-0j -0.000669039-0j -0.000111507-0j -0.00446451-0j 0.0132079-0j 0.00134106-0j -0.000617075-0j -8.21323e-07-0j -0.000744085-0j -0.000570982-0j 0.00105683-0j 0.0881368-0j -0.000102846-0j -0.00172466-0j 0.00894892-0j 0.0121821-0j -9.51636e-05-0j 0.00184394-0j -5.4807e-06-0j 0.0112721-0j 0.000176138-0j 0.0012369-0j -0.0208635-0j -0.000287443-0j 0.00114451-0j -7.57532e-07-0j -0.00211836-0j 0.0340477-0j 0.000307323-0j -7.00946e-07-0j 0.00345701-0j -0.0364024-0j 1.29738e-06-0j -0.0036961-0j -2.11722e-06-0j 2.26365e-06-0j 
-7.48663e-05-0j -0.0501832-0j -0.0500629-0j -0.000306063-0j -0.197648-0j 5.30436e-06-0j 0.000432422-0j 0.00342542-0j 0.279247-0j 0.000649083-0j -0.01097-0j -3.57138e-06-0j 0.131094-0j 0.000456017-0j -0.000209873-0j 6.0359e-05-0j -0.00770704-0j 0.000266516-0j -0.000721302-0j 0.00354701-0j 0.0921006-0j -0.00450432-0j -0.0423875-0j 0.0538276-0j -0.000165544-0j 0.00263781-0j 8.03343e-06-0j -1.68958e-05-0j -0.0154303-0j 0.000150237-0j -0.00561148-0j -0.000128006-0j 0.000149877-0j 5.64394e-06-0j 8.19909e-07-0j -0.00239391-0j -0.000212263-0j 0.000748793-0j 1.53335e-05-0j -0.00238817-0j 0.000138351-0j 0.000272311-0j 1.52968e-05-0j -8.99316e-05-0j 0.0140036-0j 5.76032e-07-0j 0.00338224-0j 0.01397-0j 0.00509262-0j 0.00052607-0j -2.1664e-05-0j -0.00220451-0j 0.00508041-0j -0.019785-0j 1.41204e-05-0j 0.000191314-0j 0.0128956-0j -0.00719513-0j 0.0046897-0j 
0.021039-0j -0.00633304-0j 0.00215595-0j 0.234956-0j -0.000352474-0j 0.432598-0j -0.0850255-0j -0.000648971-0j 0.000127553-0j 0.000860255-0j -0.0146316-0j -0.00200194-0j 1.26728e-05-0j 0.000575477-0j -0.00260636-0j 0.0340497-0j -0.00978793-0j 0.00036223-0j -2.94913e-05-0j 0.0443299-0j 8.47757e-06-0j -0.00616094-0j -3.83953e-05-0j 5.33614e-06-0j 0.000662177-0j 0.000110363-0j 0.000748008-0j -0.0130725-0j -0.00132731-0j 0.00361567-0j 8.12899e-07-0j 0.000124668-0j -0.00123088-0j 0.000500388-0j -0.0147669-0j 0.000602612-0j -0.00130844-0j -0.00149935-0j -0.0713794-0j -0.000205146-0j 0.000140857-0j 9.18267e-07-0j 0.0242996-0j 8.3398e-05-0j -0.00724747-0j -0.00987849-0j -0.000218073-0j 0.00246724-0j 4.43866e-06-0j -0.00100301-0j 0.0258307-0j 2.34761e-05-0j -1.51105e-06-0j 0.00262271-0j -0.00278075-0j 6.14285e-07-0j -0.000282342-0j -1.60626e-06-0j 1.72918e-07-0j 
-4.99109e-05-0j 0.0340009-0j -0.0333753-0j 0.00101805-0j 0.657428-0j -3.59389e-06-0j 0.000288281-0j -0.00232084-0j 0.186165-0j -0.000143376-0j 0.00242316-0j 1.18793e-05-0j -0.0289572-0j -0.000102433-0j 0.000142196-0j -0.00020077-0j 0.00173119-0j 0.000177677-0j 0.00239924-0j -0.00240322-0j -0.020688-0j -0.00300288-0j 0.028719-0j 0.035885-0j -0.000110363-0j 0.00175854-0j -1.7745e-06-0j -1.12639e-05-0j -0.0102869-0j 0.000507875-0j -0.00374099-0j 2.82753e-05-0j -0.000498531-0j -1.26777e-06-0j -1.8111e-07-0j -0.00809258-0j 0.000143816-0j -0.000165401-0j 5.18348e-05-0j 0.00794368-0j 9.22338e-05-0j -6.01507e-05-0j -5.08811e-05-0j 2.02008e-05-0j 0.0473389-0j -1.29391e-07-0j -0.00229159-0j -0.0464678-0j 0.0172155-0j -0.000118168-0j 1.46781e-05-0j -0.00146967-0j -0.0168988-0j 0.013405-0j 9.41357e-06-0j -4.29737e-05-0j 0.00859708-0j 0.00487495-0j 0.00312647-0j 
-0.00600535-0j -0.0297508-0j -0.0275285-0j 0.000178537-0j 0.115295-0j -0.000432422-0j 0.000498992-0j -0.279247-0j 0.322236-0j -0.000378632-0j 0.00639916-0j -0.000286476-0j -0.0764712-0j 8.96286e-05-0j 0.000117286-0j 0.00484166-0j -0.00151479-0j 6.14664e-05-0j -0.0578587-0j -0.00198222-0j 0.018102-0j -0.00103883-0j 0.0236879-0j 0.0124142-0j 9.65675e-05-0j -0.00153872-0j 0.000644397-0j 9.85588e-06-0j 0.00900102-0j 8.90672e-05-0j 0.00327337-0j -0.0102679-0j 8.24141e-05-0j -0.00015254-0j 6.57684e-05-0j -0.00141921-0j 0.000248933-0j 0.0600639-0j 9.09038e-06-0j -0.0013132-0j -0.00026615-0j 0.0218432-0j 8.41136e-06-0j 0.00243059-0j 0.00830192-0j -1.55685e-05-0j -0.00396655-0j 0.00768179-0j 0.00301913-0j -0.0142182-0j 2.54067e-05-0j 0.00424088-0j 0.00279361-0j 0.023203-0j -2.71638e-05-0j -0.00517067-0j -0.0248077-0j 0.00843814-0j -0.00902173-0j 
-0.00303672-0j -0.0873922-0j 0.0297508-0j 0.000352474-0j 0.227619-0j 0.000648971-0j -0.000127553-0j 0.419089-0j -0.0823705-0j -0.000124167-0j 0.00209852-0j 0.000288955-0j -0.0250777-0j -8.30629e-05-0j 0.000376195-0j -0.00488355-0j 0.00140383-0j -5.22833e-05-0j 0.0583594-0j -0.00635798-0j -0.016776-0j 0.000883627-0j 0.0759791-0j -0.0105595-0j -9.5577e-05-0j 0.00152294-0j -0.000107966-0j -9.75479e-06-0j -0.0089087-0j -0.000521878-0j -0.00323979-0j 0.00172035-0j 0.000177662-0j -7.22248e-05-0j -1.10192e-05-0j 0.00831569-0j 0.000188856-0j -0.0100634-0j -5.32639e-05-0j -0.0028309-0j -2.03309e-05-0j -0.00365973-0j 1.81325e-05-0j 0.00115084-0j -0.048644-0j -7.37142e-06-0j -0.00300927-0j 0.0165598-0j -0.0176902-0j -0.00673205-0j 1.92751e-05-0j 0.000323957-0j 0.00602224-0j 0.0176032-0j -2.07502e-06-0j -0.00244822-0j -0.00189504-0j 0.0064017-0j -0.000689162-0j 
0.0292062-0j 0.00300006-0j 0.00307932-0j -0.335721-0j 0.000503639-0j 0.199094-0j 0.111262-0j -0.000298676-0j -0.000166913-0j -0.00122919-0j 0.0209066-0j -0.00277907-0j -1.81077e-05-0j 0.00260636-0j -0.00123417-0j 0.0472676-0j -0.0443299-0j -0.00247128-0j -4.09396e-05-0j 0.0209913-0j 3.83953e-05-0j 0.0420324-0j -1.81811e-05-0j -3.64053e-05-0j -0.000946164-0j -0.000157694-0j 0.00103838-0j 0.0186788-0j 0.00189655-0j -0.0017128-0j -1.16153e-06-0j 0.000173063-0j -0.00175805-0j -0.00220176-0j -0.0204993-0j -0.000285467-0j 0.000567645-0j -0.00208139-0j 0.0338135-0j -0.000293008-0j -0.0021288-0j 1.27473e-06-0j 0.0347068-0j -0.00036696-0j 0.00343324-0j 0.0434664-0j 9.46075e-05-0j 0.00352394-0j -2.10266e-06-0j 0.00441334-0j -0.0112063-0j -0.0003548-0j -2.15821e-06-0j -0.00113782-0j 0.042026-0j -2.70292e-06-0j 0.00426709-0j 6.9685e-07-0j -2.61335e-06-0j 
-0.000213948-0j 0.00754905-0j 0.00149643-0j 0.0841534-0j -0.000126245-0j -0.00733983-0j -0.118896-0j 1.1011e-05-0j 0.000178365-0j -0.000614596-0j 0.0104533-0j -1.02061e-05-0j -9.05385e-06-0j -0.00558205-0j -0.00301836-0j 0.000173589-0j 0.0949416-0j 0.000761634-0j -1.50349e-07-0j 0.0513375-0j -8.22313e-05-0j -0.0129542-0j -4.44647e-05-0j 1.12199e-05-0j -0.000473082-0j -7.8847e-05-0j -7.6066e-06-0j 0.00933942-0j 0.000948273-0j 0.00216069-0j -5.80763e-07-0j -1.26777e-06-0j 0.00042831-0j -6.90867e-05-0j 0.000150167-0j 0.000360116-0j -0.00305274-0j 1.52471e-05-0j -0.0426557-0j 7.1385e-05-0j 0.00039537-0j -9.33799e-09-0j -0.00845555-0j -1.15144e-05-0j -0.00433102-0j 0.00136389-0j -0.00050879-0j -0.000858529-0j 2.6525e-06-0j 0.000138481-0j 0.0602662-0j 6.5895e-05-0j 5.258e-07-0j 0.00611909-0j -0.00780526-0j -8.48119e-08-0j -0.000792503-0j -3.74759e-06-0j 4.85363e-07-0j 
-0.00421555-0j 0.041399-0j 0.0424927-0j -0.000503639-0j -0.325238-0j 0.000298676-0j 0.000166913-0j 0.192877-0j 0.107788-0j 0.000177419-0j -0.00299851-0j 0.000401125-0j 0.0358328-0j -0.000376195-0j 0.000178137-0j -0.00677931-0j 0.00635798-0j 0.000356698-0j 0.0810141-0j -0.00301065-0j -0.0759791-0j -0.00602847-0j 0.0359779-0j 0.0720414-0j 0.000136567-0j -0.00217608-0j -0.000149877-0j 1.39383e-05-0j 0.0127294-0j 0.000247221-0j 0.00462924-0j 0.00238817-0j 0.000253753-0j 0.000317797-0j -1.52968e-05-0j -0.00393927-0j -8.19325e-05-0j -0.01397-0j 2.52319e-05-0j -0.00404334-0j 0.000307266-0j -0.00508041-0j 2.58985e-05-0j -0.00506384-0j 0.0230434-0j 3.2435e-05-0j 0.00130553-0j 0.0236522-0j 0.00838011-0j 0.0296217-0j -8.3622e-06-0j -0.00489603-0j 0.0086015-0j -0.00763689-0j 3.13602e-05-0j 0.0107724-0j 0.0286401-0j -0.00277728-0j 0.0104154-0j 
-0.0364938-0j 0.00125763-0j 0.00606704-0j 0.138478-0j -0.00020774-0j 0.252829-0j -0.0583096-0j -0.000379287-0j 8.74744e-05-0j 0.000507016-0j -0.00862352-0j 0.00347252-0j 7.46905e-06-0j 0.00036223-0j 0.00247128-0j -0.059062-0j -0.00616094-0j -0.00301099-0j 5.1155e-05-0j -0.0420324-0j 5.33614e-06-0j 0.051212-0j 3.64053e-05-0j -4.4356e-05-0j 0.000390273-0j 6.50455e-05-0j -0.00129748-0j -0.00770463-0j -0.000782285-0j -0.000718012-0j 4.79105e-07-0j -0.000216247-0j -0.00346381-0j -0.000926964-0j 0.0256144-0j -0.000119669-0j 0.000302337-0j 0.00260074-0j 0.0141747-0j -0.000577302-0j -0.00155175-0j -1.59281e-06-0j 0.0683814-0j -0.000154494-0j 0.00143922-0j 0.0182998-0j 5.03895e-05-0j 0.00694307-0j -8.81443e-07-0j 0.00185806-0j -0.00596864-0j -0.000258625-0j -4.25223e-06-0j -0.000606022-0j 0.0306341-0j -1.13796e-06-0j 0.00311041-0j 3.71154e-07-0j -1.90495e-06-0j 
3.08808e-05-0j 0.104172-0j 0.0206499-0j 0.000126245-0j 0.0815256-0j -1.1011e-05-0j -0.000178365-0j -0.00711064-0j -0.115184-0j 8.87093e-05-0j -0.00149925-0j 1.47312e-06-0j 0.0179164-0j 0.000805699-0j 0.000435663-0j -2.48968e-05-0j -0.0136169-0j -0.000109932-0j 0.000297522-0j -0.00736304-0j 0.162725-0j 0.00185794-0j 0.0879897-0j -0.0222027-0j 6.82835e-05-0j -0.00108804-0j 1.09792e-06-0j 6.96916e-06-0j 0.00636468-0j -0.000311869-0j 0.00231462-0j -1.74944e-05-0j -6.18212e-05-0j 9.97181e-06-0j 1.12056e-07-0j 0.00496938-0j 0.000440625-0j 0.000102337-0j -3.183e-05-0j 0.00098507-0j -5.70668e-05-0j 3.72163e-05-0j -6.3096e-06-0j -0.000158893-0j -0.0290692-0j 1.01774e-06-0j -0.007021-0j -0.00576233-0j -0.0105715-0j 0.000929468-0j 4.49711e-05-0j 0.000909312-0j -0.00209556-0j 0.0410705-0j -5.82435e-06-0j 0.000338016-0j -0.00531917-0j 0.014936-0j -0.0019344-0j 
-0.029725-0j -0.00457143-0j 0.00142523-0j -0.0850255-0j 0.000127553-0j -0.611197-0j -0.237637-0j 0.0009169-0j 0.000356497-0j 0.000620965-0j -0.0105616-0j -0.00141798-0j 9.14768e-06-0j 0.000415401-0j -0.00172298-0j 0.0241176-0j -0.0070653-0j 0.000304243-0j -2.08889e-05-0j 0.0293051-0j 6.11944e-06-0j -0.00517468-0j -2.53819e-05-0j 4.48192e-06-0j 0.000477985-0j 7.96641e-05-0j -0.00105683-0j -0.00943621-0j -0.0009581-0j -0.00130844-0j 5.86782e-07-0j -0.000176138-0j 0.000407929-0j -0.000706975-0j 0.0208635-0j -0.000218073-0j -0.00365694-0j 0.00211836-0j 0.0258307-0j 6.79882e-05-0j -0.00131737-0j -1.29738e-06-0j -0.0080532-0j -0.000117829-0j 0.00262271-0j 0.0139569-0j -0.00060949-0j -0.000817677-0j -1.60626e-06-0j 0.0014171-0j 0.0721941-0j -0.000219562-0j 5.0078e-07-0j 0.00733018-0j 0.0260071-0j -8.67894e-07-0j 0.00264062-0j -4.48932e-06-0j -1.61723e-06-0j 
0.00526742-0j 0.0173546-0j 0.0837216-0j 0.00020774-0j 0.134154-0j 0.000379287-0j -8.74744e-05-0j 0.244934-0j -0.0564888-0j -7.31814e-05-0j 0.00123682-0j -0.000501215-0j -0.0147803-0j -5.22833e-05-0j -0.000356698-0j 0.00847091-0j 0.000883627-0j 0.000434598-0j -0.101229-0j 0.00602847-0j -0.0105595-0j -0.00734504-0j -0.0720414-0j 0.0877747-0j -5.6331e-05-0j 0.000897589-0j 0.000187275-0j -5.74926e-06-0j -0.00525059-0j 0.000103636-0j -0.00190946-0j -0.00298407-0j 0.000499958-0j 0.000133796-0j 1.91137e-05-0j -0.00165136-0j -4.36386e-05-0j 0.0174558-0j 1.05773e-05-0j -0.00796642-0j 0.000223975-0j 0.0063481-0j 5.10268e-05-0j -0.00213193-0j 0.00965988-0j 1.36555e-05-0j 0.000695346-0j 0.0466009-0j 0.00351297-0j 0.012471-0j -4.45385e-06-0j -0.00356887-0j 0.0169472-0j -0.00406754-0j 2.28594e-05-0j 0.0045353-0j 0.0208767-0j -0.00147923-0j 0.00759214-0j 
0.02696-0j 0.000684809-0j -0.00743762-0j 0.0384186-0j -5.76345e-05-0j 0.183783-0j -0.359313-0j -0.000275706-0j 0.000539031-0j -0.000280582-0j 0.00477224-0j 0.00128608-0j -4.13336e-06-0j 0.000594941-0j 0.00298095-0j -0.0218742-0j -0.010119-0j 0.00220833-0j 1.89458e-05-0j -0.0507012-0j 8.76431e-06-0j -0.0375602-0j 4.39136e-05-0j 3.25318e-05-0j -0.000215976-0j -3.59961e-05-0j 0.000958522-0j 0.00426373-0j 0.000432916-0j 0.000196006-0j -2.65136e-07-0j 0.000159754-0j -0.0021288-0j -0.00203243-0j -0.0189228-0j 3.26677e-05-0j -0.00183316-0j -0.00192132-0j -0.00386949-0j -0.0003548-0j -0.0023349-0j 1.1767e-06-0j 0.042026-0j -0.000338739-0j -0.000392886-0j 0.0401236-0j -0.000305527-0j 0.00426709-0j 2.4062e-07-0j 0.00407393-0j 0.0361897-0j -0.00038915-0j -2.61335e-06-0j 0.0036745-0j 0.0460948-0j -2.49505e-06-0j 0.0046802-0j -2.25042e-06-0j -2.86636e-06-0j 
0.00429043-0j -0.063083-0j 0.0196673-0j -0.000127553-0j -0.0823705-0j -0.0009169-0j -0.000356497-0j -0.592111-0j -0.230217-0j -8.96286e-05-0j 0.00151479-0j 0.000204668-0j -0.018102-0j -5.9958e-05-0j 0.000248691-0j -0.00345905-0j 0.00101334-0j -4.39137e-05-0j 0.0413363-0j -0.00420306-0j -0.0121096-0j 0.000742174-0j 0.0502274-0j -0.00886913-0j -6.89911e-05-0j 0.00109932-0j 0.00015254-0j -7.04138e-06-0j -0.00643064-0j 0.000188856-0j -0.00233861-0j -0.00243059-0j -5.88795e-05-0j 0.000102043-0j 1.55685e-05-0j -0.00300927-0j 0.000527834-0j 0.0142182-0j 1.92751e-05-0j 0.000938197-0j 0.000190147-0j 0.00517067-0j -6.00936e-06-0j -0.00162597-0j 0.0176032-0j 1.04147e-05-0j -0.0084106-0j -0.00548814-0j 0.0064017-0j 0.00951139-0j 5.38718e-05-0j -0.00302983-0j -0.00199585-0j 0.0491992-0j 1.94068e-05-0j 0.00345897-0j 0.0177235-0j 0.0178921-0j 0.00644543-0j 
-0.00389134-0j 0.00944996-0j -0.102635-0j 5.76345e-05-0j 0.0372189-0j 0.000275706-0j -0.000539031-0j 0.178044-0j -0.348093-0j 4.04985e-05-0j -0.000684455-0j -0.00018563-0j 0.00817937-0j -8.58723e-05-0j -0.000430264-0j 0.00313729-0j 0.00145131-0j -0.000318746-0j -0.0374913-0j 0.00727178-0j -0.0173434-0j 0.00538704-0j -0.0868992-0j -0.0643762-0j 3.11735e-05-0j -0.000496724-0j -0.000138351-0j 3.18163e-06-0j 0.00290567-0j -2.82911e-05-0j 0.00105669-0j 0.00220451-0j 0.000307266-0j 0.000293357-0j -1.41204e-05-0j 0.000450795-0j 0.000264594-0j -0.0128956-0j -2.88745e-06-0j -0.00489603-0j 0.000337013-0j -0.0046897-0j 3.13602e-05-0j -0.0046744-0j -0.002637-0j 2.99406e-05-0j -0.00421609-0j 0.0286401-0j -0.000958988-0j 0.0273436-0j 2.7005e-05-0j -0.00537003-0j 0.0104154-0j 0.0246627-0j 3.43963e-05-0j 0.00994396-0j 0.0314129-0j 0.008969-0j 0.0114238-0j 
-0.00892696-0j 0.000153448-0j 0.00434294-0j -0.0084705-0j 1.27072e-05-0j 0.0618459-0j 0.601786-0j -9.27795e-05-0j -0.000902783-0j 6.18625e-05-0j -0.00105218-0j -0.000425846-0j 9.1132e-07-0j 4.41967e-05-0j 0.001769-0j 0.00724296-0j -0.000751714-0j 0.00538743-0j -6.27331e-06-0j -0.0300879-0j 6.51079e-07-0j -0.0916316-0j 2.60599e-05-0j 7.93644e-05-0j 4.76183e-05-0j 7.93639e-06-0j -0.000317384-0j -0.000940065-0j -9.54489e-05-0j 4.39199e-05-0j 5.8457e-08-0j -5.28974e-05-0j 0.00124304-0j -0.00022675-0j 0.00626569-0j 7.31998e-06-0j -0.00312028-0j 0.000636183-0j -0.000867051-0j 0.000207173-0j -0.000169448-0j -3.89626e-07-0j -0.0245396-0j -3.77917e-05-0j -8.80355e-05-0j 0.00447643-0j -0.000520047-0j -0.00249162-0j 5.39167e-08-0j 0.000454511-0j 0.0615995-0j -2.82413e-05-0j 1.52597e-06-0j 0.00625447-0j 0.00334519-0j -2.78362e-07-0j 0.000339651-0j -3.83051e-06-0j -2.08017e-07-0j 
0.0012885-0j 0.00211749-0j 0.05993-0j -1.27072e-05-0j -0.008206-0j 9.27795e-05-0j 0.000902783-0j 0.0599147-0j 0.582995-0j -8.92908e-06-0j 0.000150908-0j 6.14656e-05-0j -0.00180338-0j -6.37924e-06-0j -0.000255333-0j -0.00103881-0j 0.000107814-0j -0.000777609-0j 0.012414-0j 0.00431533-0j -0.0012884-0j 0.0131422-0j -0.051569-0j -0.157052-0j -6.87311e-06-0j 0.000109517-0j 4.58105e-05-0j -7.01484e-07-0j -0.00064064-0j -6.33928e-06-0j -0.000232979-0j -0.000729952-0j -0.000179417-0j 3.27286e-05-0j 4.67551e-06-0j 0.000101011-0j 0.000450374-0j 0.00426997-0j -6.47001e-07-0j 0.00285887-0j 2.44577e-05-0j 0.00155285-0j -1.83117e-05-0j -0.000521503-0j -0.000590882-0j 3.34035e-06-0j -0.00717634-0j -0.0167234-0j -0.000214884-0j 0.00305062-0j 4.59661e-05-0j -0.000389714-0j -0.00608174-0j 0.0419792-0j 2.49621e-06-0j 0.00110941-0j 0.00227969-0j 0.0152664-0j 0.000829048-0j 
