-0.0640008-0j -0.045438-0j -0.00655841-0j -0.0260693-0j -0.0263395-0j -0.00460845-0j -0.000384037-0j -0.00465621-0j -0.000388017-0j -0.0183183-0j -0.0226678-0j -0.00305306-0j -0.0132229-0j -0.00186961-0j -0.000381632-0j -0.00377796-0j -0.00231352-0j -2.24879e-05-0j -0.00220381-0j -0.000472246-0j -0.00134955-0j -2.78273e-05-0j -0.000275477-0j -1.62326e-05-0j -0.0141004-0j -0.0164505-0j -0.00227545-0j -0.0100738-0j -0.0143942-0j -0.0018579-0j -0.00593731-0j -0.00265469-0j -0.000268164-0j -0.000232237-0j -0.00162566-0j -0.00216755-0j -2.73694e-05-0j -0.00232286-0j -0.00132735-0j -0.000312858-0j -1.24924e-06-0j -0.000958129-0j -0.000191586-0j -0.000270943-0j -0.0018966-0j -0.000165918-0j -3.1931e-05-0j -0.000273751-0j -0.000782309-0j -0.000237075-0j -1.95537e-05-0j -1.45744e-06-0j -0.000112917-0j -2.79396e-05-0j -8.92498e-07-0j -9.77886e-05-0j -1.27526e-06-0j -1.15245e-05-0j -5.26019e-07-0j 
0.00465621-0j 0.309002-0j -0.000463556-0j 0.0018966-0j -0.00191548-0j -0.0322582-0j 2.79396e-05-0j 0.0325793-0j -2.82177e-05-0j 0.0013327-0j -0.00160219-0j 0.000222117-0j 0.000881007-0j -0.0263097-0j -0.00267134-0j -0.000267031-0j 0.0316298-0j 1.63605e-06-0j 0.000146834-0j 0.00321152-0j -0.0173925-0j -1.96687e-06-0j -0.00176594-0j 1.08154e-06-0j 0.00102584-0j -0.00116274-0j 0.000165544-0j 0.000732896-0j -0.00104679-0j -0.0130049-0j 0.00206244-0j -0.000187637-0j 1.95096e-05-0j -0.00326812-0j 0.000118271-0j 0.0147404-0j -0.00019158-0j -0.000168925-0j -0.00929114-0j -2.21132e-05-0j 9.08849e-08-0j 0.000332825-0j 1.39383e-05-0j 0.00370426-0j 0.0132704-0j -0.00233486-0j 0.000217147-0j -1.9908e-05-0j -0.0261462-0j 0.00333485-0j -0.000136871-0j -1.03014e-07-0j 3.92238e-05-0j 0.000195492-0j 6.49313e-08-0j -0.00657052-0j -9.27407e-08-0j -0.00038517-0j 1.82723e-07-0j 
-0.00420692-0j 0.287366-0j -0.000431099-0j -0.0017136-0j -0.00173135-0j 0.0291455-0j -2.52437e-05-0j 0.0294475-0j -2.55053e-05-0j 0.00240183-0j -0.00149001-0j 0.000400304-0j -0.00086917-0j -0.047416-0j -0.00481436-0j -0.000248334-0j 0.0294152-0j 2.94852e-06-0j -0.000144862-0j 0.00298665-0j 0.0171589-0j -1.82915e-06-0j 0.00174221-0j -1.06701e-06-0j 0.00279734-0j 0.00215692-0j 0.000451418-0j -0.000662177-0j -0.000946164-0j -0.0354627-0j -0.000390273-0j 0.000348072-0j 5.32001e-05-0j -0.00891174-0j -0.000106858-0j -0.027344-0j -0.000522414-0j -0.000152687-0j 0.00839462-0j 4.10207e-05-0j 2.47831e-07-0j -6.298e-05-0j -1.25934e-05-0j -0.00687152-0j 0.0119948-0j 0.00210956-0j -0.000402815-0j -1.79943e-05-0j 0.00494761-0j 0.00301429-0j 0.000123664-0j 1.91094e-07-0j -7.42226e-06-0j 0.0001767-0j -5.86659e-08-0j 0.00124333-0j -8.38259e-08-0j 7.28851e-05-0j -3.45764e-08-0j 
0.0642529-0j 0.000463556-0j 0.299353-0j -0.000273751-0j 0.000276476-0j 0.0046266-0j -0.0552888-0j -0.00467265-0j 0.0558391-0j -0.000192359-0j 0.000231256-0j 0.00306508-0j -0.000127162-0j -1.96325e-05-0j -0.0179297-0j -0.00368487-0j 2.36024e-05-0j -0.00652042-0j 0.00202623-0j 0.0215553-0j -1.29785e-05-0j 0.00783892-0j -0.0118528-0j -0.00431045-0j -0.000148067-0j 0.000167827-0j 0.00228441-0j -0.000105784-0j 0.000151091-0j -1.95096e-05-0j -0.000297688-0j -0.00258928-0j -0.0125988-0j 0.000233152-0j 0.00163206-0j 2.21132e-05-0j -0.0039403-0j -0.00233106-0j -1.39383e-05-0j 0.0142802-0j -0.000605803-0j 0.00459279-0j -0.00900102-0j -0.000264267-0j 1.9908e-05-0j 0.000166572-0j 0.00446615-0j 0.0128561-0j -3.92238e-05-0j -0.000237913-0j -0.00281508-0j 0.00068665-0j -0.0253298-0j 0.00402076-0j -0.000432806-0j 0.000468749-0j 0.000618173-0j -0.00792193-0j -0.00121796-0j 
-0.058053-0j 0.000431099-0j 0.278393-0j 0.000247336-0j 0.000249899-0j -0.00418017-0j 0.0499539-0j -0.00422349-0j 0.0504715-0j -0.000346674-0j 0.000215064-0j 0.00552396-0j 0.000125454-0j -3.53822e-05-0j -0.0323133-0j -0.00342686-0j 2.19499e-05-0j -0.0117513-0j -0.001999-0j 0.020046-0j 1.28041e-05-0j 0.00729006-0j 0.0116935-0j 0.00425253-0j -0.000403761-0j -0.000311325-0j 0.0062293-0j 9.5577e-05-0j 0.000136567-0j -5.32001e-05-0j 5.6331e-05-0j 0.00480319-0j -0.0343553-0j 0.000635775-0j -0.00147458-0j -4.10207e-05-0j -0.0107447-0j -0.00210698-0j 1.25934e-05-0j -0.0264902-0j -0.00165195-0j -0.000869087-0j 0.00813249-0j 0.000490224-0j 1.79943e-05-0j -0.000150499-0j -0.00828484-0j 0.0116203-0j 7.42226e-06-0j -0.000215043-0j 0.00254345-0j -0.00127376-0j 0.00479311-0j 0.00363426-0j 0.000391044-0j -8.87008e-05-0j 0.000558751-0j 0.00149906-0j 0.000230473-0j 
0.0052058-0j -0.00506152-0j 7.59315e-06-0j -0.00208645-0j -0.00208145-0j 0.0354872-0j -3.07363e-05-0j 0.0354021-0j -3.06627e-05-0j 0.00149001-0j -2.58232e-05-0j 0.000248334-0j -0.00210516-0j -0.0294152-0j -0.00298665-0j -4.30386e-06-0j 0.000509792-0j 1.82915e-06-0j -0.00035086-0j 5.17615e-05-0j 0.0415593-0j -3.17009e-08-0j 0.0042197-0j -2.58433e-06-0j -0.00346153-0j 1.9046e-05-0j -0.000558601-0j -0.00243192-0j 0.00111924-0j 0.0438828-0j -0.00142132-0j 3.07353e-06-0j -6.58318e-05-0j 0.0110277-0j -0.000392449-0j -0.000241452-0j 0.000646455-0j 0.000180617-0j 0.0308302-0j 3.62219e-07-0j -3.06676e-07-0j -0.000229364-0j -4.62506e-05-0j -6.06766e-05-0j -0.014189-0j 0.0077476-0j -3.55692e-06-0j 2.12859e-05-0j 0.0180185-0j -0.00356568-0j 0.000454171-0j 1.68739e-09-0j -2.70308e-05-0j -0.000209023-0j -2.15457e-07-0j 0.00452803-0j 9.91598e-08-0j 0.000265437-0j -1.25922e-07-0j 
0.00347053-0j -0.00337435-0j 5.0621e-06-0j 0.00141364-0j -0.00138763-0j -0.0240438-0j 2.0825e-05-0j 0.0236014-0j -2.04418e-05-0j -0.00495615-0j 1.74961e-05-0j -0.000826024-0j -0.00140344-0j 0.0978425-0j 0.00993439-0j 2.91602e-06-0j -0.000345402-0j -6.08424e-06-0j -0.000233906-0j -3.50702e-05-0j 0.0277062-0j 2.14785e-08-0j 0.00281313-0j -1.72288e-06-0j 0.000764616-0j -6.33519e-05-0j 0.000123389-0j 0.000546268-0j -0.000758325-0j -0.00969327-0j -0.000947545-0j -1.02234e-05-0j 1.45416e-05-0j -0.00243591-0j 8.81536e-05-0j 0.000803131-0j -0.000142795-0j -0.000122374-0j -0.00692521-0j -1.20484e-06-0j 6.77416e-08-0j -0.000152909-0j 1.0389e-05-0j 0.000201826-0j 0.00961352-0j -0.0017403-0j 1.18312e-05-0j -1.44219e-05-0j 0.0120123-0j 0.00241587-0j -0.000102018-0j -5.61269e-09-0j -1.80205e-05-0j 0.000141621-0j 4.83969e-08-0j 0.00301869-0j -6.71842e-08-0j 0.000176958-0j -8.39483e-08-0j 
0.0718369-0j -7.59315e-06-0j -0.00490347-0j 0.000301153-0j 0.000300432-0j -0.00508972-0j 0.0608232-0j -0.00507752-0j 0.0606774-0j -0.000215064-0j 3.72725e-06-0j 0.00342686-0j 0.000303853-0j -2.19499e-05-0j -0.020046-0j -5.93907e-05-0j 3.80411e-07-0j -0.00729006-0j -0.00484166-0j 0.000347416-0j 3.10119e-05-0j 0.000126343-0j 0.0283221-0j 0.0102998-0j 0.000499628-0j -2.74905e-06-0j -0.00770837-0j 0.000351017-0j -0.000161549-0j 6.58318e-05-0j 0.00020515-0j 4.24129e-05-0j 0.0425125-0j -0.000786732-0j -0.00541556-0j -3.62219e-07-0j 0.0132959-0j 0.0024924-0j 4.62506e-05-0j -0.000233912-0j 0.00204418-0j -0.00316509-0j 0.0298675-0j 4.32875e-06-0j -2.12859e-05-0j -0.000552724-0j -7.31564e-05-0j -0.0137459-0j 2.70308e-05-0j 0.00025438-0j 0.00934111-0j -1.12475e-05-0j 0.0174558-0j -0.00429906-0j 0.00143615-0j -0.000323036-0j -0.00066096-0j 0.00545934-0j 0.000839349-0j 
-0.00303672-0j -0.406007-0j 0.00060908-0j -0.00123694-0j -0.00114454-0j 0.0210383-0j -1.82218e-05-0j 0.0194668-0j -1.68607e-05-0j -0.00086917-0j 0.00210516-0j -0.000144862-0j -0.00242924-0j 0.0171589-0j 0.00174221-0j 0.00035086-0j -0.0415593-0j -1.06701e-06-0j -0.000404873-0j -0.0042197-0j 0.0479572-0j 2.58433e-06-0j 0.00486931-0j -2.98217e-06-0j 0.00201922-0j 0.00152776-0j 0.000325851-0j -0.000477985-0j -0.000625479-0j -0.0255983-0j -0.000327797-0j 0.000246541-0j 3.84019e-05-0j -0.00643283-0j -7.71344e-05-0j -0.0193679-0j -0.000377099-0j -0.000100936-0j 0.00605956-0j 2.90552e-05-0j 1.78894e-07-0j -5.2898e-05-0j -9.09038e-06-0j -0.00486713-0j 0.00792939-0j 0.00152276-0j -0.000285316-0j -1.18955e-05-0j 0.00415558-0j 0.00199265-0j 8.92657e-05-0j 1.35353e-07-0j -6.23409e-06-0j 0.000116811-0j -4.23473e-08-0j 0.00104429-0j -5.54147e-08-0j 6.12175e-05-0j -2.90414e-08-0j 
0.00300557-0j -0.205305-0j 0.000307992-0j -0.00363348-0j 0.00123694-0j 0.0617996-0j -5.35262e-05-0j -0.0210383-0j 1.82218e-05-0j -0.00171595-0j -0.00315938-0j -0.000285991-0j 0.000620965-0j 0.0338756-0j 0.00343954-0j -0.000526564-0j 0.0623714-0j -2.10652e-06-0j 0.000103494-0j 0.00633285-0j -0.0122589-0j -3.87851e-06-0j -0.0012447-0j 7.62306e-07-0j 0.000662177-0j -0.00154098-0j 0.000106858-0j 0.00044297-0j -0.00200623-0j -0.00839462-0j 0.000278824-0j -0.000248675-0j 1.25934e-05-0j -0.00210956-0j 7.1484e-05-0j 0.0195355-0j -0.000123664-0j -0.000323754-0j -0.00561567-0j -2.93066e-05-0j 5.86659e-08-0j 4.49951e-05-0j 8.42447e-06-0j 0.00490925-0j 0.0254336-0j -0.00141121-0j 0.000287785-0j -3.81548e-05-0j -0.00353474-0j 0.00639144-0j -8.27266e-05-0j -1.36524e-07-0j 5.30272e-06-0j 0.000374672-0j 3.92452e-08-0j -0.000888278-0j -1.77743e-07-0j -5.20717e-05-0j 2.47026e-08-0j 
0.0478913-0j -5.0621e-06-0j -0.00326898-0j -0.000204042-0j 0.000200288-0j 0.00344846-0j -0.0412098-0j -0.00338501-0j 0.0404516-0j 0.000715358-0j -2.52535e-06-0j -0.0113986-0j 0.000202569-0j 7.30109e-05-0j 0.0666782-0j 4.02393e-05-0j -2.57742e-07-0j 0.0242486-0j -0.00322777-0j -0.000235386-0j 2.06746e-05-0j -8.56021e-05-0j 0.0188814-0j 0.00686652-0j -0.000110363-0j 9.14406e-06-0j 0.0017027-0j -7.8847e-05-0j 0.000109455-0j -1.45416e-05-0j 0.000136766-0j -0.000141076-0j -0.00939059-0j 0.000173781-0j 0.00121647-0j 1.20484e-06-0j -0.00293692-0j -0.00168869-0j -1.0389e-05-0j 0.000778053-0j -0.000451539-0j -0.00211006-0j -0.00670896-0j -1.43985e-05-0j 1.44219e-05-0j 0.000124155-0j 0.000243337-0j 0.00931333-0j 1.80205e-05-0j -0.000172351-0j -0.00209824-0j 3.7412e-05-0j 0.0116372-0j 0.00291276-0j -0.000322595-0j -0.000215357-0j 0.000447824-0j 0.00363956-0j 0.000559566-0j 
-0.0419049-0j -0.00060908-0j -0.393329-0j 0.000178537-0j 0.000165201-0j -0.00301741-0j 0.0360586-0j -0.00279202-0j 0.0333651-0j 0.000125454-0j -0.000303853-0j -0.001999-0j 0.00035063-0j 1.28041e-05-0j 0.0116935-0j 0.00484166-0j -3.10119e-05-0j 0.00425253-0j -0.00558701-0j -0.0283221-0j 3.57861e-05-0j -0.0102998-0j 0.0326821-0j 0.0118854-0j -0.00029145-0j -0.000220513-0j 0.00449655-0j 6.89911e-05-0j 9.02802e-05-0j -3.84019e-05-0j 4.73134e-05-0j 0.00340212-0j -0.024799-0j 0.000458927-0j -0.00106441-0j -2.90552e-05-0j -0.00775593-0j -0.00139286-0j 9.09038e-06-0j -0.0187631-0j -0.00119244-0j -0.000729961-0j 0.00587034-0j 0.000347228-0j 1.18955e-05-0j -0.000108636-0j -0.0058682-0j 0.00768179-0j 6.23409e-06-0j -0.000142158-0j 0.00183596-0j -0.000902209-0j 0.00402582-0j 0.00240249-0j 0.000282271-0j -7.45013e-05-0j 0.000369373-0j 0.00125908-0j 0.000193578-0j 
0.0414751-0j -0.000307992-0j -0.198894-0j 0.000524448-0j -0.000178537-0j -0.00886356-0j 0.105921-0j 0.00301741-0j -0.0360586-0j 0.000247676-0j 0.000456017-0j -0.00394651-0j -8.96286e-05-0j 2.52783e-05-0j 0.0230857-0j -0.00726626-0j 4.65421e-05-0j 0.0083955-0j 0.00142816-0j 0.0425052-0j -9.14768e-06-0j 0.0154577-0j -0.00835424-0j -0.00303816-0j -9.5577e-05-0j 0.000222422-0j 0.00147458-0j -6.39373e-05-0j 0.000289574-0j -1.25934e-05-0j -4.02448e-05-0j -0.00343156-0j -0.00813249-0j 0.000150499-0j 0.000986437-0j 2.93066e-05-0j -0.00254345-0j -0.00446761-0j -8.42447e-06-0j 0.0189255-0j -0.000391044-0j 0.000620905-0j -0.00544032-0j -0.000350233-0j 3.81548e-05-0j 0.000100678-0j 0.00591898-0j 0.0246394-0j -5.30272e-06-0j -0.000455974-0j -0.00170147-0j 0.000910016-0j -0.00342437-0j 0.00770602-0j -0.000261593-0j 6.33709e-05-0j 0.00118477-0j -0.00107098-0j -0.000164658-0j 
-0.00429456-0j -0.285002-0j 0.000427552-0j 0.00172124-0j 0.00176671-0j -0.0292754-0j 2.53562e-05-0j -0.0300489-0j 2.60261e-05-0j 0.00245186-0j -0.00145404-0j 0.000408644-0j -0.00081258-0j -0.0484038-0j -0.00491466-0j -0.00024234-0j 0.0287052-0j 3.00995e-06-0j -0.00013543-0j 0.00291457-0j 0.0160417-0j -1.785e-06-0j 0.00162878-0j -9.97536e-07-0j -0.000946164-0j -0.00213918-0j -0.000152687-0j 0.00200623-0j -0.000949997-0j 0.0119948-0j -0.00190225-0j -0.000345209-0j -1.79943e-05-0j 0.00301429-0j 0.000323754-0j 0.027119-0j 0.0001767-0j -0.000153305-0j -0.0254336-0j -4.06832e-05-0j -8.38259e-08-0j -0.000306975-0j 3.81548e-05-0j 0.00681499-0j 0.0120434-0j -0.00639144-0j 0.000399501-0j -1.80672e-05-0j 0.0241154-0j 0.0030265-0j -0.000374672-0j -1.89522e-07-0j -3.61773e-05-0j 0.000177416-0j 1.77743e-07-0j 0.00606019-0j -8.41655e-08-0j 0.000355254-0j -1.68531e-07-0j 
-0.00214728-0j 0.00208777-0j -3.13202e-06-0j 0.00433115-0j 0.000858555-0j -0.0736659-0j 6.38039e-05-0j -0.0146026-0j 1.26477e-05-0j -0.000614596-0j 5.36049e-05-0j -0.000102433-0j 0.000868333-0j 0.0121331-0j 0.00123193-0j 8.93414e-06-0j -0.00105825-0j -7.54488e-07-0j 0.000144722-0j -0.000107449-0j -0.0171423-0j 6.58062e-08-0j -0.00174054-0j 1.06598e-06-0j -0.000473082-0j -7.85606e-06-0j -7.63433e-05-0j -0.00429675-0j -0.00232337-0j 0.00599741-0j 0.000586264-0j -1.26777e-06-0j -8.99714e-06-0j 0.00150714-0j -0.000693385-0j 9.95937e-05-0j 8.83501e-05-0j -0.000374932-0j 0.0544712-0j -1.49408e-07-0j -4.1913e-08-0j 9.46079e-05-0j -8.17162e-05-0j 2.50278e-05-0j 0.0294541-0j 0.0136886-0j 1.46715e-06-0j -4.41862e-05-0j -0.00743224-0j 0.00740178-0j 0.000802437-0j -6.96012e-10-0j 1.11496e-05-0j 0.000433899-0j -3.80673e-07-0j -0.00186772-0j -2.0584e-07-0j -0.000109487-0j 5.19403e-08-0j 
-0.0592624-0j -0.000427552-0j -0.276103-0j -0.000248439-0j -0.000255002-0j 0.0041988-0j -0.0501766-0j 0.00430973-0j -0.0515021-0j -0.000353896-0j 0.000209873-0j 0.00563904-0j 0.000117286-0j -3.61194e-05-0j -0.0329865-0j -0.00334415-0j 2.14201e-05-0j -0.0119961-0j -0.00186885-0j 0.0195622-0j 1.19704e-05-0j 0.0071141-0j 0.0109322-0j 0.00397566-0j 0.000136567-0j 0.000308764-0j -0.00210698-0j -0.000289574-0j 0.00013712-0j 1.79943e-05-0j 0.000274567-0j -0.00476367-0j 0.0116203-0j -0.000215043-0j 0.00446761-0j 4.06832e-05-0j 0.00363426-0j -0.00211552-0j -3.81548e-05-0j 0.0262722-0j 0.000558751-0j -0.00423607-0j -0.0246394-0j -0.00048619-0j 1.80672e-05-0j 0.000455974-0j 0.00821668-0j 0.0116673-0j 3.61773e-05-0j -0.000215914-0j -0.00770602-0j 0.00126328-0j 0.0233624-0j 0.00364898-0j -0.00118477-0j -0.000432342-0j 0.000561014-0j 0.00730664-0j 0.00112336-0j 
0.00177142-0j 0.356117-0j -0.000534237-0j 0.000721548-0j 0.00348087-0j -0.0122724-0j 1.06294e-05-0j -0.059204-0j 5.12781e-05-0j -0.00101134-0j -0.00184648-0j -0.000168557-0j 0.000425851-0j 0.0199656-0j 0.00202719-0j -0.000307746-0j 0.0364525-0j -1.24154e-06-0j 7.09752e-05-0j 0.00370119-0j -0.00840701-0j -2.26677e-06-0j -0.000853601-0j 5.22782e-07-0j 0.000390273-0j 0.00267295-0j 6.298e-05-0j 0.000278824-0j 0.00190225-0j -0.00494761-0j -0.00231769-0j 0.000431346-0j 7.42226e-06-0j -0.00124333-0j 4.49951e-05-0j -0.0338859-0j -7.28851e-05-0j 0.000306975-0j -0.00353474-0j 5.08346e-05-0j 3.45764e-08-0j -0.000374016-0j 5.30272e-06-0j -0.00851549-0j -0.0241154-0j -0.000888278-0j -0.000499186-0j 3.61773e-05-0j 0.0293821-0j -0.00606019-0j -5.20717e-05-0j 2.36812e-07-0j -4.40782e-05-0j -0.000355254-0j 2.47026e-08-0j 0.00738369-0j 1.68531e-07-0j 0.000432839-0j -2.05337e-07-0j 
0.00216953-0j 0.290065-0j -0.000435148-0j -0.00262278-0j 0.000817702-0j 0.0446093-0j -3.86373e-05-0j -0.0139078-0j 1.20459e-05-0j 0.000620965-0j 0.00446374-0j 0.000103494-0j 0.00173553-0j -0.0122589-0j -0.0012447-0j 0.000743957-0j -0.0881217-0j 7.62306e-07-0j 0.000289255-0j -0.00894738-0j -0.0342623-0j 5.47976e-06-0j -0.0034788-0j 2.13057e-06-0j 0.000477985-0j -0.00109148-0j 7.71344e-05-0j 0.000319753-0j -0.00132626-0j -0.00605956-0j 0.000234189-0j -0.000176138-0j 9.09038e-06-0j -0.00152276-0j 5.15999e-05-0j 0.0138371-0j -8.92657e-05-0j -0.000214024-0j -0.00405361-0j -2.0758e-05-0j 4.23473e-08-0j 3.77922e-05-0j 6.08111e-06-0j 0.00347725-0j 0.0168133-0j -0.00101867-0j 0.00020384-0j -2.52229e-05-0j -0.00296889-0j 0.00422518-0j -5.97153e-05-0j -9.67007e-08-0j 4.45385e-06-0j 0.000247684-0j 2.83287e-08-0j -0.00074608-0j -1.175e-07-0j -4.37359e-05-0j 2.07481e-08-0j 
-0.0296312-0j 3.13202e-06-0j 0.00202258-0j -0.000625148-0j -0.000123922-0j 0.0105655-0j -0.126259-0j 0.00209437-0j -0.0250281-0j 8.87093e-05-0j -7.7372e-06-0j -0.00141351-0j -0.000125333-0j 9.05385e-06-0j 0.00826856-0j 0.000123286-0j -7.89674e-07-0j 0.00300699-0j 0.00199708-0j -0.000721181-0j -1.27918e-05-0j -0.000262269-0j -0.0116823-0j -0.00424844-0j 6.82835e-05-0j 1.13393e-06-0j -0.00105349-0j 0.000620183-0j 0.00033535-0j 8.99714e-06-0j -8.46199e-05-0j -1.74944e-05-0j 0.00581013-0j -0.000107522-0j -0.0095683-0j 1.49408e-07-0j 0.00181713-0j -0.00517384-0j 8.17162e-05-0j 9.64838e-05-0j 0.000279375-0j 0.00130553-0j 0.0527703-0j -1.78552e-06-0j 4.41862e-05-0j -0.000976561-0j 3.01755e-05-0j 0.0285343-0j -1.11496e-05-0j -0.000528053-0j 0.016504-0j 4.63935e-06-0j -0.00720016-0j 0.00892417-0j 0.00253742-0j 0.000133245-0j 0.00137205-0j -0.00225186-0j -0.000346214-0j 
0.0244445-0j 0.000534237-0j 0.344997-0j -0.000104146-0j -0.00050242-0j 0.00176015-0j -0.0210342-0j 0.00849128-0j -0.101472-0j 0.000145975-0j 0.000266516-0j -0.00232599-0j -6.14664e-05-0j 1.48985e-05-0j 0.0136062-0j -0.00424672-0j 2.72012e-05-0j 0.00494813-0j 0.000979416-0j 0.0248419-0j -6.27338e-06-0j 0.00903415-0j -0.00572925-0j -0.00208354-0j -5.6331e-05-0j -0.000385808-0j 0.000869087-0j -4.02448e-05-0j -0.000274567-0j -7.42226e-06-0j 0.00033453-0j 0.00595232-0j -0.00479311-0j 8.87008e-05-0j 0.000620905-0j -5.08346e-05-0j -0.00149906-0j 0.00423607-0j -5.30272e-06-0j -0.0328277-0j -0.000230473-0j -0.0051612-0j -0.00342437-0j 0.000607506-0j -3.61773e-05-0j 6.33709e-05-0j -0.0102669-0j -0.0233624-0j 4.40782e-05-0j 0.000432342-0j -0.00107098-0j -0.00157849-0j 0.0284646-0j -0.00730664-0j -0.000164658-0j -0.000526762-0j -0.00112336-0j 0.00890235-0j 0.0013687-0j 
0.0299383-0j 0.000435148-0j 0.281007-0j 0.000378566-0j -0.000118025-0j -0.00639806-0j 0.076458-0j 0.00199471-0j -0.0238372-0j -8.96286e-05-0j -0.000644286-0j 0.00142816-0j -0.000250502-0j -9.14768e-06-0j -0.00835424-0j 0.0102662-0j -6.57571e-05-0j -0.00303816-0j 0.00399155-0j -0.0600536-0j -2.55668e-05-0j -0.0218395-0j -0.0233492-0j -0.00849133-0j -6.89911e-05-0j 0.000157542-0j 0.00106441-0j -4.61524e-05-0j 0.000191429-0j -9.09038e-06-0j -3.38023e-05-0j -0.00243059-0j -0.00587034-0j 0.000108636-0j 0.000712048-0j 2.0758e-05-0j -0.00183596-0j -0.0029534-0j -6.08111e-06-0j 0.013405-0j -0.000282271-0j 0.000521509-0j -0.00392703-0j -0.000248072-0j 2.52229e-05-0j 7.26731e-05-0j 0.00419244-0j 0.0162883-0j -4.45385e-06-0j -0.00030143-0j -0.00122819-0j 0.000644569-0j -0.00287618-0j 0.00509421-0j -0.000188828-0j 5.32263e-05-0j 0.000783211-0j -0.000899532-0j -0.000138299-0j 
-0.0009803-0j -0.263084-0j 0.000394671-0j 0.000392898-0j -0.00426722-0j -0.00668257-0j 5.78794e-06-0j 0.0725785-0j -6.2862e-05-0j -0.000280582-0j -0.00134222-0j -4.67636e-05-0j 0.00262416-0j 0.00553915-0j 0.000562414-0j -0.000223703-0j 0.0264976-0j -3.44447e-07-0j 0.00043736-0j 0.00269042-0j -0.0518053-0j -1.64773e-06-0j -0.00526002-0j 3.22146e-06-0j -0.000215976-0j 0.000989957-0j -3.4853e-05-0j 0.000457953-0j 0.00229457-0j 0.002738-0j 0.00169985-0j 0.000159754-0j -4.10747e-06-0j 0.000688057-0j 7.39018e-05-0j -0.01255-0j 4.03345e-05-0j 0.000370285-0j -0.00580561-0j 1.88271e-05-0j -1.91345e-08-0j 0.000274313-0j 8.70941e-06-0j -0.0031538-0j -0.029089-0j -0.00145894-0j -0.000184879-0j 4.36385e-05-0j -0.0215496-0j -0.00731005-0j -8.55247e-05-0j 8.77058e-08-0j 3.23281e-05-0j -0.000428522-0j 4.05726e-08-0j -0.00541539-0j 2.03289e-07-0j -0.000317455-0j 1.506e-07-0j 
-0.0135276-0j -0.000394671-0j -0.254869-0j -5.671e-05-0j 0.00061592-0j 0.000958441-0j -0.0114536-0j -0.0104095-0j 0.124396-0j 4.04985e-05-0j 0.000193732-0j -0.00064531-0j -0.000378765-0j 4.13336e-06-0j 0.00377485-0j -0.00308697-0j 1.97727e-05-0j 0.00137278-0j 0.00603531-0j 0.0180577-0j -3.86575e-05-0j 0.00656698-0j -0.0353045-0j -0.0128391-0j 3.11735e-05-0j -0.000142888-0j -0.000480951-0j -6.60998e-05-0j -0.000331193-0j 4.10747e-06-0j -0.000245353-0j 0.00220451-0j 0.0026525-0j -4.90869e-05-0j 0.0010198-0j -1.88271e-05-0j 0.000829575-0j 0.00510972-0j -8.70941e-06-0j -0.0121581-0j 0.000127543-0j 0.00378535-0j -0.00562432-0j 0.000224996-0j -4.36385e-05-0j 0.000104083-0j -0.00380247-0j -0.0281807-0j -3.23281e-05-0j 0.000521508-0j -0.00175902-0j -0.000584613-0j -0.0208767-0j -0.00881356-0j -0.000270441-0j 0.000386341-0j -0.00135505-0j -0.00652922-0j -0.00100384-0j 
0.000216136-0j 0.0871119-0j -0.000130683-0j 8.80382e-05-0j 0.00249169-0j -0.00149739-0j 1.29692e-06-0j -0.0423797-0j 3.67061e-05-0j 6.18625e-05-0j -0.000451678-0j 1.03104e-05-0j -0.00439501-0j -0.00122127-0j -0.000124001-0j -7.52797e-05-0j 0.00891687-0j 7.59433e-08-0j -0.000732502-0j 0.00090537-0j 0.0867648-0j -5.54487e-07-0j 0.00880962-0j -5.39539e-06-0j 4.76183e-05-0j -0.000327793-0j 7.68437e-06-0j 3.40202e-05-0j 0.00136168-0j -0.000603672-0j 0.00414695-0j -5.28974e-05-0j 9.05612e-07-0j -0.000151702-0j 5.48998e-06-0j 0.00415553-0j -8.89293e-06-0j 0.00021974-0j -0.000431284-0j -6.23401e-06-0j 4.21877e-09-0j 0.000669211-0j 6.47001e-07-0j 0.00104428-0j -0.0172624-0j -0.000108381-0j 6.12168e-05-0j 2.58966e-05-0j -0.0525722-0j -0.00433804-0j -6.35342e-06-0j -2.9041e-08-0j 7.88673e-05-0j -0.0002543-0j 3.01404e-09-0j -0.0132113-0j 1.20639e-07-0j -0.000774461-0j 3.67401e-07-0j 
