0.012307+0.0698281j -0.135583+0.0231128j 0.0904688+0.097554j -0.201261-0.30312j 0.398574+0.426299j 0.537433-0.440904j 0.00883897+0.0520976j 0.0656365-0.0292076j -0.00766205-0.0640067j 0.00143673+0.033483j -0.0981025+0.00884969j -0.0752532+0.0341528j 0.0870622+0.00370135j -0.00818634-0.0563523j 0.0181384+0.0811393j 0.00201525-0.0148191j -0.0197736-0.000987083j 0.00829695-0.00850434j 0.00464942+0.00616755j 0.0249131+0.0196357j -0.0117645-0.00874233j -0.00649971-0.0187342j 0.00162761-0.00641715j -0.0209987+0.0203924j -0.0381943+0.0250612j -0.000638098+0.00316708j 0.0110142+0.00469552j -0.0111917-0.0457396j -0.00418637+0.00504052j 0.0159717-0.0357685j -0.017685-0.0239477j -0.0140931-0.0369705j 0.0367812-0.000336722j -0.0272989+0.00654736j 0.0203149-0.0194797j 0.0185229-0.00981107j 0.0231018-0.00767118j -0.000905112-0.023454j 0.017367+0.0284876j 0.0245014+0.00261458j 
-0.00163352+0.00200496j -0.00383038-0.0248944j -0.00217344+0.0189261j -0.0212765+0.00950603j -0.0083829-0.017534j -0.0131809+0.00291774j -0.0122059-0.0071897j 0.0116804-0.0136676j 0.0141159-0.00795092j 0.0395943-0.0171922j 0.0230403+0.00557653j 0.0149336+0.00848758j -0.001094+0.0304952j -0.00817001+0.00045328j 0.000120179-0.00163887j 0.00530036+0.00183322j -0.0104598-0.00727425j -0.00640489-0.00459371j -0.000318384-0.00632425j 0.00801232+0.0012314j -0.00191254+0.00884044j 0.0184788-0.00333458j -0.00868523-0.00944158j -0.021982-0.0110668j 0.0307877+0.0143337j -0.0180495+0.0401495j -0.0251521-0.00940721j -0.00631407-0.0164768j 0.00674998-0.0134057j -0.00967796+0.00756779j 0.0101209+0.0012481j 0.00415653-0.0425479j 0.0194481-0.0111488j 0.000737727-0.0104764j -0.00113696+0.024114j -0.0242266-0.00198295j -0.00346709-0.00157358j 0.0085904+0.00250442j 0.0138113-0.0114113j -0.000757891-0.000601102j 
0.00127504-0.00294481j -0.00282366-0.0082203j 0.002235+0.00737725j -0.0120744-0.0111366j 0.00323757+0.0221387j 0.0253325-0.00516073j -0.0135011+0.0290865j -0.00229743+0.00864785j -0.00461036+0.0322173j 0.0236447-0.00145459j 0.010935+0.014633j 0.0199068-0.0296408j 0.000409255+0.0121378j 0.00248769-0.0126889j -0.0111678+0.0140155j 0.0114697-0.00514042j 0.0226012+0.00798151j 0.00880977-0.00134769j 0.0172563+0.00150097j -0.0258151-0.0359663j 0.00939559-0.00913791j -0.0165549-0.00216286j 0.00464538+0.0176949j 0.0375463+0.0244041j -0.0270438+0.0409512j 0.0518981+0.0515311j 0.0108018+0.0273555j -0.0128718-0.015774j -0.016482+0.018925j 0.00289453+0.021289j 0.040958+0.00398131j 0.040317-0.00809531j -0.0036217+0.00276301j -0.0179057+0.00536501j -0.0054533+0.00425128j 0.0133367-0.0322054j -0.00748421-0.00891502j -0.0050478+0.00561807j -0.00518393-0.000937416j 0.0019247-0.00265572j 
0.00561991+0.0112368j 0.00418875-0.0250804j -0.0099933+0.00211464j -0.00129419-0.0143941j 0.00678198-0.00082042j 0.0063812-0.00282137j -0.00351249-0.00595721j 0.005545+0.0035461j -0.0163348+0.0257191j 0.00151305+0.0160516j 0.00339317-0.00478797j -0.0106917-0.0242052j -0.00547371-0.00742669j -0.00996766-0.0105438j -0.00223808+0.0106008j 0.0176805-0.00767883j -0.0275649+0.00881547j 0.00814269+0.0123862j 0.0281224-0.0203809j -0.00551698-0.00407346j -0.0130099-0.00544439j 0.0052321+0.0119275j 0.00615984+0.0136405j -0.071872+0.0120358j 0.0293141-0.000458708j 0.00126382+0.0150943j 0.0160419-0.0344515j -0.00315357+0.0496916j 0.0207693-0.00284068j 0.0117677-0.0314836j -0.0157743-0.00701613j 0.0238505+0.00488333j 0.0330622-0.0212408j 0.0373578-0.0100468j 0.0349418+0.027713j -0.00312169-0.0116621j 0.00814331+0.00270697j 0.0371834-0.0150016j 0.0509499+0.00442123j -0.0329558+0.00388951j 
0.00151211+0.0299516j -0.00116352+0.0038089j 0.00386254+0.00349838j -0.00312726-0.0028468j 0.00698958-0.00550908j -0.00688284-0.00196448j -0.0388726+0.00369839j -0.00277344-0.0259919j -0.0083357+0.00566911j 0.0139573+0.00169838j 0.0164303+0.00623117j 0.0139814+0.000940642j -0.00342946+0.00954577j -0.00122081-0.0117481j -0.00490038+0.00124394j -0.0308795+0.00402064j 0.00658277-0.00488212j -0.0082033+0.0175981j -0.0246129+0.0158956j 0.00150651+0.000628282j 0.00538388-0.000985066j -0.0203837+0.00621629j 0.000726349-0.0141273j 0.00569195-0.0297832j 0.000552045+0.0164745j -0.003601+0.0011047j 0.0124728+0.0196346j 0.0152437+0.0195331j 0.0134139+0.00487458j -0.0154334+0.00605348j -0.00201954-0.036792j 0.00253773+0.0334556j -0.00478082+0.0182806j -0.0181243-0.012182j 0.0181682-0.0105887j -0.0102411+0.00347005j -0.00368956-0.0313257j -0.011175+0.0112939j -0.00991928-0.0149436j 0.00262727-0.0112045j 
-0.00431614-0.00223495j -0.00441807+0.0184886j 0.00577184+0.00935863j 0.00509462+0.000577249j -0.018116+0.00198641j 0.00650147+0.0220886j -0.0401605-0.0103023j -0.00765205-0.0313823j -0.0490899-0.00246521j 0.00697354+0.0219486j 0.0110144-0.0198974j 0.00830659-0.00672997j -0.00680678+0.0179423j -0.00551325-0.000384411j 0.00494227-0.0051706j -0.00383599+0.00594058j 0.00924741+0.0109828j -0.00470131+0.00606986j -0.0105388+0.0109331j -0.0154097-0.00101955j -0.00453627-0.0288613j -0.000683837+0.00700354j 0.0106909-0.0124558j 0.0146034+0.046482j 0.0246538+0.011176j -0.0124183+0.0455361j 0.00974768+0.00483376j -0.013276+0.00430419j 0.0160695+0.00481609j 0.00514757-0.00775345j 0.0139769-0.0262026j 0.00652418-0.0276752j 0.00727216+0.00536271j 0.00591306-0.00502452j -0.00762+0.0100249j -0.0200391+0.00892183j -0.00074131+0.00559325j 0.00205037+0.00440181j 0.00208158-0.00171614j 0.00135519-0.00109551j 
-0.0123299+0.00417547j -0.0036887-0.00662277j 0.0010849+0.021838j -0.0192626+0.0038954j -0.0109677-0.005427j 0.001765-0.00661088j 0.0255282-0.0155139j 0.00526311+0.0250822j 0.0118404-0.0125867j 0.00609504-0.00171719j -0.0181194-0.0197662j -0.00626653+0.0148667j 0.00154159+0.0066105j -0.0201754+0.0149628j 0.00862244-0.0192853j -0.0160227-0.0213935j 6.20656e-05+0.0489519j 0.0147514+0.0545189j -0.0044477-0.0372961j 0.00761569+0.0016412j 0.0237093-0.0358016j -0.0246163+0.018335j -0.0138774+0.0312547j 0.0289383+0.0586919j -0.0193849-0.034451j -0.00959863-0.00484136j 0.0376589-0.0111065j -0.0410667+0.00169877j 0.00255821+0.010632j 0.0312107-0.00484975j -0.0024059+0.0247099j 0.00341172-0.0210088j 0.0286539+0.00402923j 0.0160651+0.017779j -0.0248198+0.0237201j 0.0140147-0.008853j -0.0150657+0.0347968j 0.0286771+0.00716971j 0.00530624+0.0345674j -0.0208415-0.0141208j 
0.00352342-0.00126147j -0.00589809+0.00980516j 0.0120879+0.00743708j -0.00321514+0.00363531j -0.000431457+0.00733294j 0.00388672-0.00210219j 0.0214126-0.0359561j -0.0090537+0.00363365j 0.00402976+0.00223847j 0.000169593-0.0115227j 0.00598537-0.011926j -0.00403174+0.0325778j 0.00244268-0.0116408j 0.0132127-0.0186606j -0.0108066+0.0132585j 0.0395113+0.00893538j -0.0182051-0.0159044j 0.0266939+0.0124854j 0.137848+0.0378872j -0.013864-0.000432629j -0.0131853+0.0460256j -0.00304132-0.00042904j -0.0331766+0.0812703j -0.0195419-0.0259426j 0.0088007+0.0182593j 0.00152713+0.00558154j 0.018636-0.0088007j 0.00901606+0.0252298j -0.0868833-0.0184591j -0.0214549-0.0186505j 0.00577687-0.0100439j 0.00843634+0.0120976j 0.0238093-0.0123448j 0.0385414-0.00996402j 0.0472855+0.00942674j -0.00368912-0.00142231j 0.0257987-0.00607214j 0.0204323-0.00961965j 0.0374023-0.00735919j -0.0137532+0.00532501j 
-0.00403563-0.00466895j 0.00587918-0.0286817j 0.0143384+0.0017558j 0.00568638+0.0127332j 0.00108977+0.00384988j -0.00438939-0.0038065j -0.00672286-0.00743192j -0.0133339-0.0247285j -0.0393168-0.0220863j -0.00162141+0.0191206j 0.0169222-0.0250117j -8.05252e-05-0.000703134j -0.00566122+0.0154565j -0.00321453+0.000111122j 0.00427204-0.00989217j -0.00504377-0.00787498j -0.035771+0.0151558j -0.0350136+0.0135416j -0.0103865+0.0203845j -0.000349311+0.00691583j 0.0329711+0.0409621j -0.0249849-0.0212391j -0.0121524-0.0160375j 0.0106974-0.0325789j -0.00369565+0.0135117j 0.000914403-0.0106298j 0.0035474+0.0251369j 0.00937739-0.00929595j 0.000470545+0.0194195j -0.00762951+0.0149823j -0.00609347-0.00804689j 0.00171781+0.0111208j -0.00613363+0.0239665j -0.0190662+0.00612955j -0.00729909-0.00259132j 0.00285768+0.0019432j -0.0118442-0.00460012j -0.00364184+0.0238118j -0.0123057+0.0123408j 0.00152393-0.0196068j 
-0.000179724-0.000733905j -0.00123364-0.00494778j -0.0044867+0.0181388j -0.00701808-0.0109834j -0.00592659-0.00150582j 0.00531172+0.00903503j 0.00824673+0.0343535j -0.0340434-0.0169077j 0.0148345+0.0117272j 0.000498677-0.00839327j 0.0202142-0.00676385j -0.0219416+0.0178108j 4.38423e-05-0.0105894j 0.0128238-0.0122848j -0.00119566+0.0201491j 0.0129535+0.10493j -0.0178147+0.0414678j 0.0629593-0.062569j 0.00410683+0.0905149j 0.0012533-0.00470939j 0.0335971-0.00394118j 0.0060325+0.000543041j 0.0916838-0.0109977j 0.0045601-0.0176001j 0.00357458+0.00502839j 0.00543694-0.00153747j -0.0245542-0.00646632j 0.0245198-0.00927518j 0.0151856+0.0574423j -0.0170757+0.0194854j 0.00220671-0.0161675j -0.00715984+0.00790993j -0.0260332-0.0079606j -0.0238153-0.0164647j -0.000529922-0.0262976j -0.00550132+0.00298318j 0.00218592-0.0245312j -0.0227564-0.00682881j -0.016472-0.0209101j 0.0157437+0.00778184j 
0.000520955+0.000676884j 0.00312077-0.00577382j 0.015168+0.0210332j -0.0020753-0.00306635j 0.0012936+0.00373613j 0.000213264+0.000702911j -0.0748208-0.0531851j 0.027907-0.0524197j -0.0152015+0.0315558j 0.0102562-0.0101198j 0.00248026+0.00540973j -0.0137961+0.0106116j 0.0100687-0.00931207j 0.00650398-0.00710059j -0.0131763+0.0100946j -0.0777931+0.0547291j -0.0325073-0.0117414j 0.0552303+0.0716841j -0.00296134-0.0136697j -0.00251605+0.00182305j 0.00353469+6.58218e-05j 0.00310059+0.0119778j 0.00918386+0.0230595j 0.00146322+0.00282515j 0.00171416+0.000970716j 0.000459932+0.00269551j 0.000276667-0.0201561j 0.000325479+0.0019887j -0.00792689+0.0354j -0.00301629+0.00654223j 0.00251668-0.00656632j -0.00235398-0.0018045j 0.00157164-0.0201307j 0.00220324-0.0168209j 0.00443332-0.0122263j -0.000520217-0.000498916j 0.00184564-0.00888966j 0.00125726-0.0188961j -0.000449708-0.0149048j -0.00302773+0.00981842j 
