0.496315-0.520001j 0.513052+0.498755j 0.0757602+0.00456994j 0.00223216-0.109122j -0.0760107-0.0211258j 0.00951132-0.00239094j -0.0158005+0.0180691j 0.0086039-0.0345877j 0.0513483+0.0413346j 0.00172984+0.00231033j -0.0342657+0.021534j -0.000969602+0.00191277j 0.0311775-0.0322937j -0.0162888-0.0300034j -0.0113988-0.00723387j -0.00396137-4.29089e-05j -0.000872812+0.0102654j -0.00619145+0.00218879j -0.0108401-0.0225936j -0.0064395+0.00423308j 0.0232176-0.00941822j 0.00518989+0.0220079j -0.0305465+0.00682287j -0.0217542-0.0053734j 0.00452876-0.00413588j 0.00549146-0.0409809j 0.00153735-0.00263652j -0.00825182+0.00465329j 0.0312671+0.00825239j -0.00211105-0.0175865j -0.00193063-0.000603668j 0.0182319+0.0166388j -0.01398+0.0101965j 0.00227942+0.00208214j 0.00484035-0.00650523j -0.000792328+0.000190041j 
-0.00907813+0.00303058j 0.000838175-0.0078599j 0.00977646+0.0112536j 0.00462851-0.0120438j -0.00849067-0.0111421j -0.0164064-0.00763993j -0.0047284-0.00582866j -0.0143628-0.0229584j 0.0167062+0.00331102j -0.000435754-0.00854315j 0.0390003-0.0191233j 0.00856465-0.000806071j 0.00870015+0.00180376j 0.0206043-0.0185734j 0.0149312+0.0133591j -0.0318868-0.0177402j -0.000438501+0.0155075j 0.0137305+0.0357007j -0.0129213-0.00131393j -0.0100046-0.0356317j -0.00693521-0.00192558j 0.00640082-0.0108574j -0.0111979-0.00195967j 0.00354273+0.0204087j 0.0198998+0.06466j 0.0157165-0.00912209j 0.0183975-0.0145015j 0.00846207-0.0276627j 0.0415564-0.00932224j -0.0155192+0.0141566j -0.00659614+0.0172387j -0.0441377-0.03764j -0.00210481-0.0357917j 0.0456888+0.0476597j 0.0207826-0.0329561j 0.0146578-0.0397487j 
-0.0114718+0.0149883j 0.0069612+0.0225925j 0.00381943+0.0116041j 0.00825267+0.0237657j -0.00322042-0.0081533j -0.0106287-0.00218553j 0.0317397+0.00941723j -0.0198837+0.00175482j -0.0102015-0.0261721j 0.0181305-0.00529387j -0.0311048+0.00407129j 0.00157487-0.00536536j 0.0355671+0.00979j -0.00118478-0.00192203j -0.000967065-0.00358127j -0.00176512-0.00114064j 0.00314232+0.015838j -0.00217925+0.0100525j 0.00752033-0.0141741j -0.0031673+0.00663406j -0.000214769-0.00216586j -0.0132924+0.00541966j 0.0102191+0.013885j -0.00219177-0.00852756j 0.00585935+0.0305914j 0.00421862-0.00298657j -0.01107+0.00772339j -0.0239216+0.0235382j -0.0242242-0.0130898j 0.00220267-0.00728642j 0.0120603-0.0110376j -0.00808284-0.00309302j 0.00144739+0.0152267j -0.00265334+0.00379275j 0.0018676-0.00964023j 0.00599446-0.00439795j 
0.0135641-0.0226034j -0.00635853-0.0250918j -0.0194691+0.004882j 0.0157516-0.0122967j 0.0220863-0.00333671j -0.006183+0.000757252j 0.0257519+0.00653479j -0.0231408+0.00442774j -0.0057405-0.0237751j 0.00240838-0.00145728j -0.030854-0.00318723j 0.0153462-0.00483642j 0.0368669+0.00535466j -0.00260897+0.00557779j 0.00295643+0.00176027j 0.0112512+0.00588812j -0.00452735+0.00505507j -0.00945529-0.00688301j 0.00316941-0.00702406j 0.00884992+0.0183355j 0.00431597-0.00618419j -0.00667557+0.00300004j -0.00650936+0.0113395j 0.00983176-0.00555421j -0.02046+0.0115796j 0.016557-0.0187468j -0.0201021+0.0255055j 0.0134914+0.00414217j -0.0249138-0.0129788j 0.00782892+0.007301j -0.00942233+0.0114506j 0.000546686-0.0036734j 0.00263514+0.0152366j -0.00333714-0.00275936j 0.00221121+0.00749883j -0.00312966+0.0127214j 
-0.0211924+0.00949937j -0.00332177-0.0142696j -0.00295213+0.00873682j 0.0173691+0.0145399j 0.0108512-0.00684579j 0.00411617-0.0119681j -0.0211612-0.00435516j 0.00303661+0.000398711j 0.00527611+0.00875172j -0.00186884+0.00821647j 0.0121645+1.96183e-05j -0.00722289-0.00767818j -0.00639867-0.00683779j 0.0099311+0.0141668j -0.00326357-0.00209089j 0.00621656-0.0266468j 0.019871+0.026782j -0.0214594+0.0221353j 0.013821-0.00552699j 0.00949534+0.00114784j 0.0138997-0.00808936j -0.039356-0.00815434j 0.0108896+0.00578752j -0.00226869-0.000667519j 0.00420205+0.0599942j 0.0101096-0.0161283j -0.0250132-0.0105612j -0.0205984+0.00713677j -0.0243691-0.0435098j -0.0299842+0.0154197j -0.0050579-0.0148326j -0.0142938+0.0182043j -0.0094815-0.00306684j 0.0347957+0.0297951j -0.00463451-0.00631462j 0.00569766-0.024043j 
-0.0175021+0.00624999j 0.00191442-0.0102326j -0.0070204-0.00973026j -0.0169223-0.00932323j -0.0112177-0.00276907j -0.0155502-0.0312964j 0.0495493-0.000903648j 0.027971+0.0248967j 0.0174747+0.00197768j -0.00216306-0.00169981j -0.00357106-0.00769055j -0.00337033-0.00989967j 0.0113058+0.00589246j -0.0234798-0.0225751j 0.0359423+0.0409951j -0.0349296-0.0406708j 0.0210851+0.0178136j 0.00935463-0.0124716j 0.0129492-0.00236474j -0.0179496-0.0605688j -0.0327891-0.00834374j 0.0510416-0.0194151j 0.0175485+0.023028j -0.0101522-0.0456224j 0.0412413-0.0267746j 0.0225735-0.00582124j -0.0237806+0.00106521j -0.047835-0.00624406j -0.00535329+0.0407979j -0.0426345-0.0171323j 0.00763893-0.0156483j -0.00167916-0.0494011j 0.0215961+0.0218823j 0.0087356+0.0705536j 0.0345738+0.0198569j 0.047037-0.00182108j 
-0.015931-0.00159026j 0.0089147-0.000832398j 0.0150319+0.00132578j -0.00151835+0.00217318j -0.0103522-0.00463973j 0.0268833-0.031494j 0.0196146+0.0186833j 0.0185561-0.00510777j 0.00494685-0.0145919j 0.0122846+0.00766772j -0.0109741+0.0145737j -0.0102856+0.00195874j 0.0174795+0.0125288j 0.0271245+0.0111656j -0.0172919+0.00154389j 0.0169083+0.0376392j 0.0493728-0.00520139j -0.00466205-0.0111104j 0.00345128+0.00507612j 0.0118624+0.065756j 0.0189797+0.0296459j -0.0208338-0.00367749j 0.0217255-0.0375642j -0.0111456+0.0389777j 0.0521928-0.027362j -0.0129286+0.0184897j -0.0232846+0.00103649j -0.0574657+0.0299882j -0.0114118-0.0280993j -0.0229556-0.00787726j 0.00818645-0.0290257j 0.0283958+0.0379964j -0.0402219-0.0242302j -0.0327578-0.0197627j -0.0277677+0.0225795j 0.00756129+0.0365885j 
0.00414986+0.000414418j -0.00236556+0.00152335j -0.00404401-0.00284534j -0.0144881+0.0164772j -0.00329246+0.0039589j -0.0103775-0.0212554j 0.00469103+0.0658989j 0.0227126-0.0537521j -0.0477368-0.016321j -0.0083026+0.0168511j -0.000139766+0.000880229j -0.00362168+0.0148418j 0.000712525-0.00244524j -0.00123027-0.00561391j 0.015141+0.0116975j -0.0133909-0.0119601j -0.0210543+0.00331958j 0.00251362-0.00535723j 0.0263452-0.00818702j -0.0133822-0.0244511j -0.0204367-0.00611529j 0.029283-0.00240941j -0.00270929+0.0115416j 0.024685-0.0157652j -0.0382941+0.00376456j -0.0123119-0.0191589j -0.0179608+0.00702954j -0.0081105-0.0220562j 0.00485227+0.0294088j -0.0128144-0.0109625j -0.001954-0.000321598j -0.00267147-0.00813468j 0.0230575+0.00272864j 0.0113667+0.0213111j 0.0109828+0.00218396j 0.00784242-0.00950695j 
-0.00398582-0.00109643j 0.00672011-0.00764781j -0.00594564-0.0099665j 0.00872159-0.0174527j 0.00754971+0.00653593j -0.00396088-0.00706516j 0.0109189+0.00272639j 0.000585667-0.00610996j 0.00719171-0.00483339j 0.0199879-0.00156661j -0.0110182+0.000496071j -0.00859262+0.00177896j 0.0105789+0.00601781j 0.00896131+0.0158977j 0.00292881+0.00131724j -0.0195893-0.0175932j 0.0262046-0.00935099j -0.0095941+0.0113737j 0.00396251+0.00166953j -0.0433127-0.0131343j -0.0080038+0.00186521j -0.0170176+0.024344j 0.0347616-0.0252503j -0.0435635+0.0351741j 0.00189723+0.00312045j -0.00659115+0.0202913j 0.000344914-0.0105392j -0.0506915+0.0219745j -0.00943709-0.0043693j -0.0184937-0.0163339j 0.0150963-0.025897j 0.0162462+0.00494473j -0.0121804-0.01642j -0.0209536+0.00958029j -0.00213464+0.00156882j 0.019407+0.00870299j 
0.0138801+0.000673012j -0.00684408+0.00619227j 0.00855799+0.00344007j 0.0160418-0.0143101j -0.00438739-0.00660851j -0.0179843-0.0254547j -0.014462+0.0297577j 0.00109211+0.00100626j -0.00552418-0.0131395j 0.00668561+0.0159456j -0.0220823-0.0203877j -0.00747823-0.0038906j -0.000460631-0.0117902j 0.00518636+0.0137628j 0.0056073+0.00200567j 0.0188428-0.0498573j 0.0556163-0.000783419j -0.00509203-0.0213407j -0.00818003-0.00364369j 0.0284993-0.0591629j 0.0341366-0.0101386j 0.00863006-0.0303756j 0.0190398+0.00103158j -0.0137301-0.00339027j 0.0556026+0.0155382j 0.0307208+0.00098223j -0.0152428-0.0122601j -0.0199068+0.00804504j 0.0026783-0.0142826j -0.0366774-0.000430332j -0.0034477-0.0105132j -0.0290939-0.0182533j -0.000408156-0.00565787j 0.0364414+0.0443811j 0.00641056-0.0155912j 0.00922155-0.0296057j 
0.00850859+0.00337552j -0.00456863-4.24849e-05j -0.0245486+0.000780654j -0.000873644-0.0111494j 0.0104059-0.0099061j 0.0326158-0.0152661j 0.0484917+0.000333885j 0.0587016-0.0204685j -0.0050871+0.00156814j -0.00386525+0.00366437j 0.0451525+0.0348949j -0.0080652-0.00207697j 0.0235019+0.0152583j -0.00602249-0.023706j 0.030491+0.0307446j -0.0793459+0.0195314j 0.0104147+0.0035101j -0.000561762+0.0299917j -0.00841156+0.00346574j -0.109032+0.0532169j -0.023936+0.00451885j -0.00458438+0.0223943j 0.0465318-0.00657134j -0.0638543+0.0066828j 0.0377047+0.00832269j 0.0308097+0.0204782j -0.00396774-0.01678j -0.0405861+0.0173237j -0.0521567-0.00308532j -0.021124-0.0122602j 0.00753937-0.0192795j 0.030915-0.0111722j 0.00656577+0.0362375j -0.0145923+0.0353113j 0.0286782+0.0368287j 0.0363275+0.0145141j 
0.000228896+0.00273679j -0.000472244-0.00122152j -0.00463278-0.0042269j 0.0132182-0.00717947j 0.0132783-0.000301715j 0.040755-0.0265269j -0.00753815+0.0260717j 0.0084816+0.0201269j -0.0115028-0.000173399j -0.00991812+0.0054953j -0.0138429+0.00971186j 0.00620508-0.00268174j -0.0149865+1.60755e-05j 0.00576217+0.00076077j -0.0280363-0.00978845j 0.0623892+0.00592492j -0.00109891-0.00336552j -0.0449903+0.00150006j 9.49036e-05+0.0020077j 0.0813902+0.0307679j 0.0276403+0.00727258j -0.038481-0.0278305j -0.0199041-0.00221608j 0.021371-0.00494715j -0.0135523-0.00902724j -0.025632-0.0145775j 0.00420637+0.00933357j 0.0173657-0.000468005j -0.00127038-0.0161235j 0.0236049+0.0182553j -0.00219034+0.0080893j 0.0124977+0.0327713j -0.0112616-0.00197108j -0.0146605-0.0425841j -0.0135828+0.00698278j -0.0148446+0.0181652j 
