-0.00386969-0j -0.000644948-0j -0.000394948-0j -8.06184e-05-0j -4.75049e-06-0j -0.00348605-0j -0.000562559-0j -0.000459328-0j -6.62982e-05-0j -5.74159e-05-0j -6.76653e-06-0j -3.08849e-07-0j -0.00224318-0j -0.00226642-0j -0.000354678-0j -0.000358353-0j -0.000280397-0j -0.000186931-0j -0.000283303-0j -4.04719e-05-0j -0.000188869-0j -4.08913e-05-0j -4.67329e-05-0j -1.65226e-05-0j -4.72172e-05-0j -3.89441e-06-0j -1.66938e-05-0j -4.13064e-06-0j -3.93476e-06-0j -4.17345e-06-0j -3.4422e-07-0j -3.47787e-07-0j -1.28283e-08-0j -1.29613e-08-0j 0.578901-0j 0.716353-0j 0.417873-0j -0.000263532-0j -0.000326104-0j -0.000190227-0j -0.000204131-0j -2.94638e-05-0j -0.000186345-0j -0.000252599-0j -0.000147349-0j -3.64595e-05-0j -3.29415e-05-0j -0.00023059-0j -2.12681e-05-0j -2.1961e-05-0j -0.000134511-0j -2.74512e-06-0j -1.90188e-05-0j -4.0763e-05-0j -2.71753e-05-0j -3.88219e-06-0j -3.39692e-06-0j -2.37784e-05-0j -2.35345e-05-0j -1.9411e-06-0j -1.58523e-05-0j -2.2876e-07-0j -1.98153e-06-0j -1.37285e-05-0j -4.80397e-06-0j -2.80173e-07-0j -2.40198e-06-0j -2.80231e-06-0j -2.83076e-07-0j -1.80851e-08-0j -1.40116e-06-0j -3.46696e-07-0j -1.65128e-07-0j -5.69627e-10-0j -2.23792e-08-0j -2.0224e-07-0j -7.04877e-10-0j -1.30545e-08-0j -4.11178e-10-0j 
-5.16803e-06-0j -0.0237829-0j -5.27459e-07-0j -0.000478628-0j -0.000174077-0j -8.06635e-08-0j 1.24055e-06-0j 3.07932e-06-0j 0.00197583-0j 1.26613e-07-0j -2.13299e-06-0j -3.27949e-07-0j -2.9958e-06-0j 2.92196e-06-0j 4.51424e-05-0j -4.40298e-05-0j -3.74475e-07-0j -0.0104056-0j 3.65245e-07-0j -0.00024028-0j 0.0101491-0j 0.000234357-0j -0.00172331-0j -2.20661e-08-0j 0.00168083-0j 0.0205286-0j 2.15223e-08-0j -2.45234e-05-0j -0.0200226-0j 2.3919e-05-0j -1.26136e-05-0j 1.23027e-05-0j -1.18178e-06-0j 1.15265e-06-0j -2.25751e-06-0j -4.84002e-08-0j 3.17441e-06-0j 3.35416e-05-0j 7.19121e-07-0j -4.71648e-05-0j -2.7262e-07-0j -0.000174925-0j 7.21035e-05-0j -5.84487e-09-0j 3.83346e-07-0j -3.75033e-06-0j 4.19271e-06-0j 1.54587e-06-0j 0.000245972-0j 0.116503-0j -0.000101389-0j -4.99449e-05-0j 7.35903e-06-0j 8.98901e-08-0j 0.00249779-0j 0.00667774-0j -1.0708e-06-0j -5.8956e-06-0j 1.57775e-07-0j 2.47058e-07-0j -0.163822-0j 0.00242869-0j 7.02303e-05-0j -1.0348e-05-0j 0.000143168-0j -5.09748e-06-0j 5.29683e-09-0j -0.00938996-0j 5.20702e-05-0j -1.10838e-06-0j -3.47402e-07-0j -1.09288e-07-0j -0.00341512-0j -7.35677e-08-0j -2.37632e-08-0j 7.16785e-06-0j -1.57727e-09-0j 1.55855e-06-0j 1.03448e-07-0j 
-8.83566e-05-0j -1.45872e-05-0j 4.66213e-08-0j 0.000261115-0j 0.0664295-0j 7.12971e-09-0j 4.26413e-05-0j 9.39422e-10-0j 3.72043e-06-0j -2.24997e-08-0j -3.59323e-05-0j 0.000390713-0j 2.64794e-07-0j -2.58267e-07-0j -8.022e-06-0j 7.82427e-06-0j -6.40231e-06-0j 2.20661e-08-0j 6.24451e-06-0j -0.0253554-0j -2.15223e-08-0j 0.0247304-0j -1.05699e-06-0j 1.95039e-09-0j 1.03094e-06-0j -0.00119362-0j -1.90232e-09-0j 1.33787e-05-0j 0.0011642-0j -1.3049e-05-0j 0.00481348-0j -0.00469483-0j 0.00284996-0j -0.00277972-0j 1.99537e-07-0j 4.27801e-09-0j -2.80581e-07-0j -5.96049e-06-0j -1.27791e-07-0j 8.38138e-06-0j 2.40964e-08-0j 9.54301e-05-0j -4.25482e-06-0j 5.16619e-10-0j -3.38834e-08-0j 2.04599e-06-0j 0.000144116-0j -9.12218e-08-0j -0.00013419-0j -4.96707e-07-0j 5.98295e-06-0j 0.162744-0j 2.24505e-09-0j 3.08979e-06-0j -1.06492e-08-0j 1.2574e-05-0j 0.00348918-0j -0.000202649-0j 4.81331e-11-0j -4.39032e-08-0j 6.98449e-07-0j 0.00319892-0j -0.228844-0j -3.1569e-09-0j 2.69582e-07-0j -8.58718e-05-0j -9.41268e-10-0j -1.7681e-05-0j 6.85837e-05-0j 0.0013205-0j 6.17347e-08-0j -1.84106e-06-0j -0.00449818-0j 0.000297358-0j 2.83111e-05-0j 0.000120749-0j 6.37524e-06-0j -0.00185683-0j -0.000418131-0j 
-6.32951e-06-0j -0.00718072-0j -0.0118087-0j -0.0024155-0j 1.4888e-06-0j -9.87922e-08-0j 7.51707e-07-0j -0.000361198-0j -2.58494e-05-0j 0.00140243-0j -5.28739e-06-0j 2.09847e-09-0j -3.66909e-06-0j 3.57865e-06-0j 2.73539e-05-0j -2.66797e-05-0j 8.81545e-05-0j 8.85862e-05-0j -8.59817e-05-0j 6.30885e-06-0j -8.64028e-05-0j -6.15335e-06-0j 0.10001-0j -0.00149766-0j -0.0975447-0j -0.000131918-0j 0.00146074-0j 0.0117702-0j 0.000128666-0j -0.0114801-0j -2.07354e-05-0j 2.02243e-05-0j 6.04109e-09-0j -5.89219e-09-0j -2.76487e-06-0j -5.92778e-08-0j 3.88784e-06-0j 2.03245e-05-0j 4.35749e-07-0j -2.85794e-05-0j 6.4177e-05-0j 4.59288e-06-0j 4.40018e-05-0j 1.37593e-06-0j -9.0243e-05-0j 9.84697e-08-0j -0.000488321-0j 9.43383e-07-0j -6.45831e-06-0j -0.000490712-0j -6.18734e-05-0j 6.44119e-07-0j 0.0820924-0j -1.04694e-05-0j -1.05207e-05-0j 0.0167922-0j 1.38097e-08-0j 0.000686656-0j 0.00176003-0j 0.00829608-0j 0.000690018-0j -1.03499e-05-0j -9.05733e-07-0j -0.115435-0j 0.000360019-0j 0.00120171-0j 0.000177865-0j -0.0236125-0j -2.21899e-07-0j -1.3632e-06-0j -0.0116656-0j 2.57642e-05-0j 1.45536e-05-0j 3.13111e-10-0j -2.92265e-08-0j -0.00168979-0j 6.71299e-12-0j 1.91687e-06-0j -4.40283e-10-0j 
-1.58238e-06-0j -2.6373e-07-0j -0.0179619-0j 1.27058e-05-0j -1.94255e-09-0j -2.46981e-08-0j -3.98563e-09-0j 1.25426e-06-0j -4.69711e-10-0j -4.52417e-05-0j 1.84769e-08-0j -2.18814e-12-0j -9.17272e-07-0j 8.94664e-07-0j -1.45033e-07-0j 1.41459e-07-0j 4.41919e-05-0j -7.64394e-08-0j -4.31027e-05-0j -1.65496e-08-0j 7.45553e-08-0j 1.61417e-08-0j 7.36532e-06-0j 0.14393-0j -7.18378e-06-0j -1.59249e-09-0j -0.140382-0j -0.000187858-0j 1.55324e-09-0j 0.000183228-0j 5.42507e-08-0j -5.29136e-08-0j -5.24571e-12-0j 5.11642e-12-0j -6.91218e-07-0j -1.48195e-08-0j 9.71961e-07-0j -1.07763e-07-0j -2.31039e-09-0j 1.51531e-07-0j 3.2172e-05-0j -1.20482e-08-0j -7.61996e-08-0j 6.89756e-07-0j -4.52389e-05-0j -2.58309e-10-0j 5.19173e-06-0j -1.63369e-09-0j 1.69417e-08-0j -8.98021e-09-0j 1.07149e-07-0j -1.12253e-09-0j -0.000864957-0j 1.11309e-07-0j -1.92532e-10-0j 6.11852e-07-0j -2.40666e-11-0j -7.30039e-06-0j -1.85444e-05-0j 0.0169091-0j 1.26276e-08-0j -9.35438e-11-0j 1.57845e-09-0j 0.00121627-0j 1.31179e-08-0j -1.2742e-05-0j 0.000362525-0j -8.60359e-07-0j -2.00555e-12-0j 2.8503e-09-0j -0.0237768-0j -2.73184e-07-0j 1.31537e-10-0j -2.3293e-13-0j 6.11093e-11-0j 1.79173e-05-0j -4.99393e-15-0j -4.00796e-09-0j 3.27536e-13-0j 
7.4594e-07-0j 0.00257466-0j -1.46334e-05-0j -0.0202406-0j -0.00237764-0j 1.16428e-08-0j -2.69526e-07-0j 2.11731e-05-0j -0.000435474-0j 5.28739e-06-0j 0.001358-0j -6.76659e-06-0j 4.32406e-07-0j -4.21748e-07-0j -9.80781e-06-0j 9.56607e-06-0j -5.16753e-06-0j -1.044e-05-0j 5.04016e-06-0j 0.000106282-0j 1.01827e-05-0j -0.000103663-0j -0.0178361-0j -9.19869e-07-0j 0.0173965-0j 0.0681171-0j 8.97196e-07-0j -0.00208498-0j -0.0664382-0j 0.00203359-0j 0.0164712-0j -0.0160652-0j -3.26142e-05-0j 3.18104e-05-0j 3.25843e-07-0j 6.98596e-09-0j -4.58187e-07-0j -7.28738e-06-0j -1.56239e-07-0j 1.02472e-05-0j -3.76199e-06-0j 7.73742e-05-0j -5.18566e-06-0j -8.06558e-08-0j 5.28995e-06-0j 1.65888e-06-0j 8.70888e-05-0j -1.11179e-07-0j -0.0001088-0j 0.000175946-0j 7.29185e-06-0j -0.000332598-0j 0.000101729-0j 1.86715e-06-0j 3.77222e-06-0j 0.14071-0j -7.13077e-06-0j -0.000122461-0j 2.18103e-06-0j 1.55026e-05-0j -0.000247408-0j 0.016529-0j 0.000467685-0j -0.000143047-0j 0.00301676-0j 0.00652469-0j 3.32371e-07-0j -0.19786-0j 0.000354376-0j 0.00218641-0j -2.17991e-05-0j 0.000139887-0j -0.0232424-0j -2.54231e-06-0j 4.68758e-05-0j -0.00917474-0j -5.45062e-08-0j -0.00307443-0j 3.57488e-06-0j 
4.56793e-07-0j -7.25556e-06-0j 0.00258359-0j -0.0122184-0j 1.53863e-05-0j 7.12971e-09-0j -1.0965e-07-0j -2.7132e-07-0j 6.02775e-07-0j -0.000620174-0j -5.44509e-05-0j 2.89869e-08-0j 2.64794e-07-0j -2.58267e-07-0j -3.99007e-06-0j 3.89172e-06-0j -9.55956e-06-0j 2.20661e-08-0j 9.32394e-06-0j 2.12379e-05-0j -2.15223e-08-0j -2.07144e-05-0j 0.000151841-0j -0.0102245-0j -0.000148098-0j 6.26275e-06-0j 0.00997253-0j 0.12012-0j -6.10839e-06-0j -0.11716-0j -0.000321998-0j 0.000314062-0j 1.04455e-07-0j -1.01881e-07-0j 1.99537e-07-0j 4.27801e-09-0j -2.80581e-07-0j -2.96469e-06-0j -6.35619e-08-0j 4.16882e-06-0j -6.95942e-06-0j 1.54613e-05-0j 2.19969e-08-0j -1.49207e-07-0j 9.78603e-06-0j 3.31485e-07-0j 0.000107031-0j 4.71606e-10-0j -2.17411e-05-0j -2.47058e-07-0j -3.09311e-08-0j 4.41454e-06-0j 0.000124413-0j 2.29471e-06-0j -5.29683e-09-0j -0.000588377-0j 9.46462e-08-0j -0.000150502-0j 2.66737e-06-0j 0.114476-0j 3.47402e-07-0j 7.40931e-07-0j -6.20754e-06-0j -0.000174945-0j -1.26146e-05-0j 0.0249684-0j 0.00245433-0j 0.00082735-0j 1.58853e-08-0j -2.82945e-05-0j -0.160972-0j 0.000535313-0j -1.04187e-06-0j 6.50253e-09-0j -6.06624e-07-0j -0.0351095-0j 1.39412e-10-0j 3.97865e-05-0j -9.14358e-09-0j 
-3.40474e-08-0j -0.000196407-0j -3.47494e-09-0j -3.25506e-05-0j -0.0258535-0j -5.31418e-10-0j 2.05607e-08-0j 1.01084e-08-0j 6.69544e-05-0j 2.09847e-09-0j 6.76659e-06-0j 0.00131365-0j -1.97366e-08-0j 1.92501e-08-0j 7.48186e-07-0j -7.29745e-07-0j -2.46707e-09-0j 4.76518e-07-0j 2.40626e-09-0j -1.6341e-05-0j -4.64773e-07-0j 1.59382e-05-0j -1.42317e-05-0j -1.45373e-10-0j 1.38809e-05-0j -0.0324495-0j 1.4179e-10-0j -1.66779e-06-0j 0.0316497-0j 1.62669e-06-0j -0.00187335-0j 0.00182717-0j 0.0199577-0j -0.0194658-0j -1.48726e-08-0j -3.18864e-10-0j 2.09133e-08-0j 5.55916e-07-0j 1.19186e-08-0j -7.81704e-07-0j -1.79604e-09-0j -1.18963e-05-0j 2.36692e-07-0j -3.85065e-11-0j 2.52552e-09-0j -2.55053e-07-0j 6.94894e-08-0j 5.07459e-09-0j 1.67281e-05-0j -1.3422e-05-0j -3.32826e-07-0j 0.000158442-0j 2.41573e-08-0j 1.48983e-09-0j -2.87763e-07-0j 0.000226287-0j 3.39695e-06-0j -9.77131e-08-0j 5.17923e-10-0j 4.0947e-09-0j 1.88734e-05-0j 0.17973-0j -0.000222795-0j -3.39689e-08-0j 4.85151e-06-0j 1.61709e-05-0j 8.7789e-11-0j -0.000318195-0j 0.00385334-0j 0.00443976-0j -5.7578e-09-0j 3.46699e-07-0j -0.252728-0j 0.0031571-0j 9.51869e-05-0j -2.27389e-05-0j 6.76872e-05-0j -0.00624301-0j -0.00443938-0j 
-4.66213e-08-0j 1.4888e-06-0j -8.69794e-05-0j 0.00512239-0j -0.00677993-0j -7.27673e-10-0j 2.24997e-08-0j 1.8429e-08-0j -3.79715e-07-0j 4.19767e-05-0j -0.000704897-0j -3.9877e-05-0j -2.70254e-08-0j 2.63593e-08-0j 8.18742e-07-0j -7.98562e-07-0j 6.4932e-07-0j -2.25212e-09-0j -6.33315e-07-0j -1.33787e-05-0j 2.19661e-09-0j 1.3049e-05-0j -2.07354e-05-0j -1.10313e-05-0j 2.02243e-05-0j 0.000121823-0j 1.07594e-05-0j -0.0249602-0j -0.00011882-0j 0.0243449-0j 0.0944277-0j -0.0921003-0j -0.000290873-0j 0.000283704-0j -2.03652e-08-0j -4.36623e-10-0j 2.86367e-08-0j 6.0834e-07-0j 1.30426e-08-0j -8.55421e-07-0j 4.72709e-07-0j -9.73979e-06-0j -2.24505e-09-0j 1.01347e-08-0j -6.64702e-07-0j -2.08818e-07-0j -1.46161e-05-0j -4.81331e-11-0j 1.36957e-05-0j 5.0695e-08-0j 3.1569e-09-0j 8.58718e-05-0j -4.18851e-06-0j -3.13365e-07-0j 1.08688e-09-0j 0.000246669-0j 1.84106e-06-0j 2.05526e-05-0j -8.98e-08-0j 0.000248313-0j -7.12851e-08-0j -0.000326488-0j -0.000120749-0j 5.8897e-06-0j 5.2885e-06-0j 0.160208-0j 5.32375e-06-0j -0.000346856-0j -6.99979e-06-0j 0.0259048-0j -0.000349168-0j 0.00343479-0j 0.000459094-0j -3.03489e-05-0j 0.000555389-0j -0.225277-0j -6.5067e-07-0j -0.0364262-0j 4.26754e-05-0j 
2.45716e-09-0j -1.17905e-07-0j -4.82029e-08-0j -0.000337589-0j 0.00567702-0j 3.83518e-11-0j -1.78185e-09-0j -4.8312e-10-0j 5.03117e-08-0j 3.49552e-08-0j 9.38658e-05-0j -0.0006008-0j 1.42436e-09-0j -1.38926e-09-0j -6.48398e-08-0j 6.32417e-08-0j -1.7022e-08-0j 1.18697e-10-0j 1.66025e-08-0j 1.77266e-06-0j -1.15771e-10-0j -1.72897e-06-0j 8.16792e-07-0j -3.03008e-09-0j -7.9666e-07-0j -3.26142e-05-0j 2.9554e-09-0j -3.4775e-05-0j 3.18104e-05-0j 3.39179e-05-0j -0.0393278-0j 0.0383585-0j 0.0642219-0j -0.062639-0j 1.07334e-09-0j 2.3012e-11-0j -1.50928e-09-0j -4.81772e-08-0j -1.0329e-09-0j 6.77447e-08-0j -1.23922e-08-0j 1.29051e-06-0j 1.18325e-10-0j -2.65683e-10-0j 1.74253e-08-0j 2.76681e-08-0j 5.75748e-07-0j 2.53684e-12-0j -1.81466e-06-0j -4.01476e-09-0j -1.66383e-10-0j -2.29894e-05-0j -2.32122e-09-0j 1.23438e-08-0j -8.60751e-11-0j -1.62566e-05-0j -4.92885e-07-0j -8.09592e-07-0j -4.97661e-11-0j 1.02488e-07-0j 5.64539e-09-0j 0.000273378-0j 3.23267e-05-0j 3.264e-09-0j -3.48537e-07-0j 0.000450992-0j 2.19732e-09-0j 2.28594e-05-0j 5.86112e-06-0j 0.19413-0j -1.44115e-07-0j 9.6691e-06-0j -0.000384412-0j 0.0213289-0j 0.00416207-0j -0.000634165-0j 0.000457285-0j -0.272977-0j -0.0299918-0j 
-6.70244e-11-0j 4.29189e-09-0j -6.84065e-12-0j -1.80223e-07-0j -0.000730784-0j -1.04613e-12-0j 6.48615e-11-0j -1.3784e-13-0j -2.56786e-09-0j 6.6199e-12-0j 7.53797e-08-0j 0.000157061-0j -3.88527e-11-0j 3.78951e-11-0j 2.36025e-09-0j -2.30207e-09-0j -4.85659e-12-0j -3.23772e-12-0j 4.73688e-12-0j -9.0475e-08-0j 3.15792e-12-0j 8.8245e-08-0j 3.1099e-10-0j -2.86177e-13-0j -3.03325e-10-0j 2.504e-06-0j 2.79124e-13-0j -9.23407e-09-0j -2.44229e-06-0j 9.00647e-09-0j -5.29526e-05-0j 5.16474e-05-0j -0.053539-0j 0.0522194-0j -2.92778e-11-0j -6.27705e-13-0j 4.11691e-11-0j 1.75371e-09-0j 3.75989e-11-0j -2.46599e-09-0j -3.53562e-12-0j -6.58663e-08-0j -3.22757e-12-0j -7.58025e-14-0j 4.97164e-12-0j -1.41215e-09-0j 2.19213e-10-0j -6.91979e-14-0j 9.26184e-08-0j 1.46142e-10-0j 4.53847e-12-0j 1.76504e-06-0j -3.29412e-13-0j 4.69986e-12-0j 3.13324e-12-0j -8.67865e-09-0j 3.78419e-08-0j -3.08249e-10-0j -7.06248e-15-0j 1.29173e-11-0j -2.05499e-10-0j -3.5191e-05-0j -2.48193e-06-0j 4.63206e-13-0j -1.86067e-10-0j 1.80144e-07-0j 2.76942e-13-0j 1.22035e-08-0j -7.54483e-07-0j 0.000530821-0j -1.81637e-11-0j 3.86222e-09-0j 4.94841e-05-0j 0.221735-0j 1.13806e-05-0j -2.53311e-07-0j 0.00475391-0j -0.000746418-0j -0.311794-0j 
