-0.0103352-0j -0.00736065-0j -0.00106242-0j -0.00423634-0j -0.00428024-0j -0.000748886-0j -0.000756647-0j -6.24072e-05-0j -6.30539e-05-0j 0.577605-0j 0.714749-0j -0.000497692-0j 0.416937-0j -0.000304773-0j -0.000615862-0j -6.22114e-05-0j -0.000377137-0j -0.000359253-0j -3.66584e-06-0j -0.000219996-0j -7.69827e-05-0j -4.53625e-06-0j -4.49066e-05-0j -2.64615e-06-0j -0.00230581-0j -0.00269011-0j 0.0719741-0j -0.00164735-0j -0.00235384-0j -0.000303817-0j -0.000970911-0j 0.0839698-0j -4.38521e-05-0j 0.0514208-0j -3.79771e-05-0j -0.000354453-0j 0.0734736-0j -4.47564e-06-0j -0.000217057-0j -5.11608e-05-0j 0.0303063-0j -2.04284e-07-0j -0.000310146-0j -4.43066e-05-0j -3.13295e-05-0j -2.71321e-05-0j -4.47657e-05-0j -5.22158e-06-0j -0.000127929-0j -3.87683e-05-0j -3.19755e-06-0j -2.38331e-07-0j -1.84649e-05-0j -1.45948e-07-0j -1.59911e-05-0j -4.56888e-06-0j -2.0854e-07-0j -1.88457e-06-0j -8.60184e-08-0j 
4.41285e-05-0j -0.00907691-0j 4.53625e-06-0j -1.75732e-05-0j 1.82755e-05-0j 0.000897212-0j -0.000933072-0j -2.58877e-07-0j 2.69224e-07-0j 1.27501e-05-0j -1.53283e-05-0j 2.12502e-06-0j 9.2035e-06-0j 0.0721137-0j -2.55471e-06-0j -7.67171e-05-0j -0.0866958-0j 1.53392e-06-0j 1.56522e-08-0j 0.0520544-0j 9.22301e-05-0j -1.88172e-08-0j -5.53773e-05-0j 1.12984e-08-0j 9.8452e-06-0j 1.14861e-05-0j 1.58876e-06-0j -2.07008e-05-0j -9.7642e-06-0j -0.000374657-0j 4.14554e-06-0j 1.85356e-06-0j 1.87237e-07-0j -3.34057e-06-0j 0.00898594-0j -0.000437099-0j -1.57569e-06-0j -5.51921e-06-0j 0.000787763-0j 2.18444e-07-0j 6.68984e-07-0j 8.72241e-10-0j 0.000371574-0j 0.0104836-0j -3.9369e-07-0j -0.0188941-0j -1.85697e-07-0j -6.43908e-06-0j -0.000157758-0j -0.00891201-0j 1.16048e-05-0j 1.01761e-09-0j 7.88405e-08-0j -1.834e-09-0j 0.00378373-0j 5.4738e-06-0j -8.65065e-10-0j -2.32399e-06-0j 3.67276e-10-0j 
0.00594611-0j -0.00828906-0j -0.00119263-0j 0.0074623-0j -0.00753511-0j -0.0411919-0j 0.0415938-0j 0.000109237-0j -0.000110303-0j -3.64364e-05-0j 4.35254e-05-0j -0.0413365-0j -2.36144e-05-0j 0.000714787-0j 0.0493788-0j -0.00691636-0j -0.000853854-0j -0.0267901-0j 8.57044e-06-0j 0.000463253-0j 0.00826199-0j -1.02379e-05-0j -0.00448249-0j 5.5545e-06-0j -2.8135e-05-0j 3.16868e-05-0j 0.000214078-0j -2.01006e-05-0j 2.87039e-05-0j -0.0511652-0j -5.59929e-05-0j -0.000241103-0j -0.00736165-0j 0.000152945-0j -0.00419965-0j 0.0576242-0j -0.000218407-0j -0.00074898-0j -0.0365542-0j 0.00829098-0j 0.000426048-0j 5.97622e-07-0j 0.0521997-0j 0.00472981-0j -0.00525942-0j -0.00300038-0j 0.0075105-0j 0.000843531-0j -0.101826-0j 0.00428457-0j -0.000535097-0j -6.73066e-07-0j -0.0146508-0j 4.26962e-07-0j -0.00835794-0j 0.000764125-0j -6.09707e-07-0j -0.00149058-0j 1.18936e-06-0j 
0.00149208-0j -7.40767e-06-0j -0.014566-0j -0.000597959-0j 0.000621858-0j -0.000105039-0j 0.000109237-0j -0.0383519-0j 0.0398847-0j -3.00523e-06-0j 3.61291e-06-0j -0.0103727-0j -2.16929e-06-0j -3.0672e-07-0j 0.0124702-0j -0.000852935-0j 3.68741e-07-0j -0.00748744-0j 0.00957899-0j -2.21402e-07-0j 0.00102541-0j -0.011516-0j -0.000615681-0j 0.00691448-0j -2.32054e-06-0j -2.70729e-06-0j 5.37196e-05-0j 4.87922e-06-0j 2.30144e-06-0j 4.41402e-05-0j -9.77113e-07-0j 6.26728e-05-0j 0.0867949-0j -0.000112952-0j 5.48273e-06-0j 5.14969e-05-0j -5.32776e-05-0j 0.00283107-0j -9.28105e-05-0j 0.101261-0j 2.26198e-05-0j 0.00134866-0j -4.37771e-05-0j 6.39652e-06-0j -0.182497-0j -1.15281e-05-0j -0.0860808-0j 0.00330291-0j 1.85862e-05-0j -5.43762e-06-0j -0.00595267-0j 0.00157343-0j 0.0365469-0j -0.00283572-0j 2.30863e-06-0j -0.00280777-0j -0.00133756-0j 0.00119208-0j 0.000567882-0j 
-4.45859e-05-0j -0.00885318-0j 4.42444e-06-0j -1.82755e-05-0j 1.84538e-05-0j 0.000933072-0j -0.000942176-0j -2.69224e-07-0j 2.71851e-07-0j -1.28822e-05-0j 1.53886e-05-0j -2.14704e-06-0j -8.34896e-06-0j -0.072861-0j 2.56476e-06-0j 7.75121e-05-0j 0.0870367-0j -1.39149e-06-0j -1.58144e-08-0j -0.0472212-0j -9.25927e-05-0j 1.88912e-08-0j 5.02356e-05-0j -1.02493e-08-0j -9.94723e-06-0j 1.1203e-05-0j -1.60523e-06-0j -7.10664e-06-0j 1.01484e-05-0j 0.000378539-0j -1.97965e-05-0j 1.80787e-06-0j -1.89178e-07-0j -1.14683e-06-0j -0.00907906-0j -0.000426326-0j 1.63769e-06-0j 5.57641e-06-0j 0.000270441-0j 2.1306e-07-0j -3.19464e-06-0j -8.8128e-10-0j -0.000386193-0j 0.0102252-0j -1.35155e-07-0j -0.00648639-0j 1.93003e-07-0j -6.28037e-06-0j 0.00075335-0j 0.00926264-0j 3.98398e-06-0j 9.92532e-10-0j -3.76492e-07-0j -6.29617e-10-0j -0.0180687-0j -5.68917e-06-0j 8.991e-10-0j 1.10979e-05-0j -1.75388e-09-0j 
0.00105139-0j 0.0015102-0j -0.00504141-0j 4.39329e-06-0j -4.56888e-06-0j 0.0142264-0j -0.014795-0j 0.000881685-0j -0.000916925-0j -3.18752e-06-0j 3.83207e-06-0j 5.06296e-05-0j -2.30088e-06-0j -0.00594684-0j -6.08674e-05-0j 0.0567418-0j 0.00714934-0j 3.65464e-05-0j -0.000107367-0j -0.00429265-0j -0.0682156-0j 0.000129077-0j 0.0409584-0j -7.75013e-05-0j -2.4613e-06-0j -2.87152e-06-0j 3.78531e-05-0j 5.1752e-06-0j 2.44105e-06-0j 6.23347e-05-0j -1.03639e-06-0j 4.41619e-05-0j -0.000208088-0j -7.95909e-05-0j 0.070621-0j 7.27238e-05-0j -3.75417e-05-0j 0.0125099-0j -0.000131067-0j -0.00024277-0j 1.59389e-05-0j -1.00068e-05-0j -6.18218e-05-0j 0.0823912-0j 0.000437532-0j -0.14849-0j 0.000206376-0j 0.0145949-0j 2.62474e-05-0j -0.07004-0j -0.0263036-0j -1.16746e-05-0j -8.76202e-05-0j 2.10405e-05-0j 0.0297365-0j -0.012407-0j 9.92444e-06-0j 0.00526757-0j -4.21357e-06-0j 
-0.00150755-0j -7.22508e-06-0j -0.014207-0j -0.000621858-0j 0.000627925-0j -0.000109237-0j 0.000110303-0j -0.0398847-0j 0.0402739-0j 3.03637e-06-0j -3.62712e-06-0j 0.0104802-0j 1.96787e-06-0j 3.09898e-07-0j -0.0125192-0j 0.000861774-0j -3.70191e-07-0j 0.00679223-0j -0.00967826-0j 2.00845e-07-0j -0.00102944-0j 0.0115612-0j 0.000558515-0j -0.00627247-0j 2.34458e-06-0j -2.64056e-06-0j -5.42763e-05-0j 1.67505e-06-0j -2.39199e-06-0j -4.45977e-05-0j 4.66608e-06-0j 6.11281e-05-0j -0.0876943-0j -3.87768e-05-0j -5.53955e-06-0j 5.02277e-05-0j 5.53738e-05-0j -0.0028604-0j -3.18621e-05-0j 0.0987648-0j -0.000108018-0j -0.00136263-0j 4.54995e-05-0j 6.23886e-06-0j -0.0626519-0j -3.95765e-06-0j 0.0894675-0j 0.0032215-0j -8.87561e-05-0j 5.65156e-06-0j -0.00204357-0j 0.00153465-0j -0.174525-0j -0.000973512-0j -1.10245e-05-0j 0.00291824-0j 0.00139019-0j -0.00569264-0j -0.00271185-0j 
-0.00106228-0j 0.00147298-0j -0.00491715-0j 4.56888e-06-0j -4.61346e-06-0j 0.014795-0j -0.0149393-0j 0.000916925-0j -0.000925871-0j 3.22056e-06-0j -3.84714e-06-0j -5.11543e-05-0j 2.08724e-06-0j 0.00600846-0j 6.11067e-05-0j -0.0573298-0j -0.00717745-0j -3.31531e-05-0j 0.000108479-0j 0.00389408-0j 0.0684838-0j -0.000129585-0j -0.0371554-0j 7.03053e-05-0j 2.48681e-06-0j -2.80074e-06-0j -3.82454e-05-0j 1.77666e-06-0j -2.53709e-06-0j -6.29806e-05-0j 4.94912e-06-0j 4.30734e-05-0j 0.000210245-0j -2.73238e-05-0j -0.0713528-0j 7.09313e-05-0j 3.90187e-05-0j -0.0126395-0j -4.49955e-05-0j -0.000236786-0j -7.6114e-05-0j 1.01105e-05-0j 6.42541e-05-0j 0.0803604-0j 0.000150206-0j -0.0509769-0j -0.000214496-0j 0.0142351-0j -0.000125341-0j 0.0727956-0j -0.00903011-0j -1.13868e-05-0j 0.000418419-0j 7.22327e-06-0j -0.142003-0j 0.0128951-0j -1.03149e-05-0j -0.0251546-0j 2.01214e-05-0j 
-0.00017615-0j -6.25976e-05-0j 0.00259304-0j -3.66108e-07-0j 3.8074e-07-0j -0.00118555-0j 0.00123293-0j 0.0140034-0j -0.0145631-0j 2.65627e-07-0j -3.19339e-07-0j -8.48254e-06-0j 1.9174e-07-0j -5.2109e-06-0j 1.01978e-05-0j -0.0145166-0j 6.2646e-06-0j -6.12302e-06-0j 0.038629-0j -3.76143e-06-0j 0.017452-0j -0.0464401-0j -0.0104786-0j 0.0278839-0j 2.05108e-07-0j 2.39293e-07-0j -6.34195e-06-0j -4.31266e-07-0j -2.03421e-07-0j -2.58377e-06-0j 8.63654e-08-0j -7.39894e-06-0j 0.00010703-0j 1.33347e-05-0j 0.000124412-0j -3.01439e-06-0j 6.28977e-06-0j 0.0988273-0j 5.43269e-06-0j 0.000124868-0j -2.67042e-06-0j 0.0112401-0j 2.56251e-06-0j 0.000145148-0j -0.000225044-0j -0.000261593-0j -0.000106149-0j 0.115299-0j -1.08795e-06-0j -0.000123389-0j -0.207797-0j 0.0131134-0j 4.50673e-05-0j -0.0236337-0j 5.23866e-05-0j -0.0980142-0j -0.0111476-0j 0.0416134-0j 0.00473289-0j 
0.000177976-0j -6.10547e-05-0j 0.00252913-0j -3.8074e-07-0j 3.84455e-07-0j -0.00123293-0j 0.00124496-0j 0.0145631-0j -0.0147052-0j -2.6838e-07-0j 3.20595e-07-0j 8.57044e-06-0j -1.73937e-07-0j 5.2649e-06-0j -1.02379e-05-0j 0.014667-0j -6.28923e-06-0j 5.5545e-06-0j -0.0390293-0j 3.41218e-06-0j -0.0175206-0j 0.0466227-0j 0.0095057-0j -0.0252949-0j -2.07234e-07-0j 2.33395e-07-0j 6.40767e-06-0j -1.48055e-07-0j 2.11424e-07-0j 2.61054e-06-0j -4.12427e-07-0j -7.21657e-06-0j -0.000108139-0j 4.57786e-06-0j -0.000125702-0j -2.94009e-06-0j -6.53723e-06-0j -0.0998515-0j 1.86506e-06-0j 0.00012179-0j 1.27522e-05-0j -0.0113566-0j -2.66333e-06-0j 0.00014157-0j -7.72582e-05-0j -8.98055e-05-0j 0.000110326-0j 0.112457-0j 5.19537e-06-0j 0.000128243-0j -0.0713373-0j 0.0127902-0j -0.000215213-0j -0.00811352-0j -0.000250165-0j 0.101871-0j 0.0115862-0j -0.19872-0j -0.0226013-0j 
9.86423e-06-0j -2.44011e-08-0j -0.000242944-0j 1.3644e-08-0j -1.41894e-08-0j -6.94414e-07-0j 7.22169e-07-0j -0.00265091-0j 0.00275686-0j -9.89933e-09-0j 1.19011e-08-0j 4.75013e-07-0j -7.14571e-09-0j -1.01035e-09-0j -5.71065e-07-0j -1.42259e-05-0j 1.21465e-09-0j 3.42883e-07-0j -0.0228715-0j -7.29306e-10-0j 1.71025e-05-0j 0.0274963-0j -1.02688e-05-0j -0.0165095-0j -7.64394e-09-0j -8.91793e-09-0j 3.55142e-07-0j 1.60723e-08-0j 7.58105e-09-0j -1.00718e-09-0j -3.21865e-09-0j 4.14333e-07-0j -1.00277e-05-0j -7.46732e-07-0j 3.62466e-08-0j -1.17504e-09-0j -3.5222e-07-0j 0.000195685-0j 2.11772e-09-0j -1.1699e-05-0j 1.49541e-07-0j 0.119746-0j 9.98891e-10-0j 4.22877e-08-0j 2.10845e-05-0j -7.6213e-08-0j 9.94519e-06-0j 0.0002283-0j -4.24094e-10-0j -3.59484e-08-0j -0.000411453-0j 0.139704-0j -4.22238e-06-0j -0.251782-0j 1.52624e-08-0j -0.000194075-0j -0.118761-0j 8.23977e-05-0j 0.0504218-0j 
-9.96645e-06-0j -2.37997e-08-0j -0.000236956-0j 1.41894e-08-0j -1.43278e-08-0j -7.22169e-07-0j 7.29214e-07-0j -0.00275686-0j 0.00278376-0j 1.00019e-08-0j -1.19479e-08-0j -4.79936e-07-0j 6.48224e-09-0j 1.02082e-09-0j 5.73311e-07-0j 1.43733e-05-0j -1.21942e-09-0j -3.11046e-07-0j 0.0231085-0j 6.61591e-10-0j -1.71698e-05-0j -0.0276044-0j 9.31536e-06-0j 0.0149766-0j 7.72315e-09-0j -8.69812e-09-0j -3.58823e-07-0j 5.51769e-09-0j -7.87932e-09-0j 1.01761e-09-0j 1.53702e-08-0j 4.0412e-07-0j 1.01316e-05-0j -2.56355e-07-0j -3.66222e-08-0j -1.14608e-09-0j 3.66078e-07-0j -0.000197713-0j 7.27019e-10-0j -1.14106e-05-0j -7.14111e-07-0j -0.120987-0j -1.03819e-09-0j 4.12454e-08-0j 7.23837e-06-0j -2.61642e-08-0j -1.03365e-05-0j 0.000222673-0j 2.02521e-09-0j 3.73627e-08-0j -0.000141253-0j 0.136261-0j 2.01634e-05-0j -0.0864374-0j -7.28837e-08-0j 0.000201711-0j 0.123434-0j -0.000393479-0j -0.240783-0j 
0.00451463-0j 0.00321529-0j 0.000464088-0j 0.00185053-0j 0.0018697-0j 0.00032713-0j 0.00033052-0j 2.72608e-05-0j 2.75433e-05-0j -0.00256527-0j 0.00161413-0j -0.000427545-0j 0.000941577-0j -0.000261817-0j 0.000269022-0j -5.34431e-05-0j 0.000164742-0j 0.00015693-0j -3.14917e-06-0j 9.60993e-05-0j 3.36278e-05-0j 1.98153e-06-0j 1.96162e-05-0j 1.1559e-06-0j 0.00100723-0j -0.00231095-0j 0.000162541-0j 0.000719598-0j 0.00102821-0j 0.000132714-0j 0.000424115-0j -0.000372928-0j 1.91556e-05-0j 0.000116125-0j 1.65892e-05-0j -0.000304495-0j 0.000165927-0j 1.95506e-06-0j 9.48153e-05-0j -4.395e-05-0j 6.84413e-05-0j 8.92358e-08-0j 0.000135479-0j -3.80618e-05-0j 1.36854e-05-0j 1.18519e-05-0j 1.95547e-05-0j -4.48563e-06-0j 5.58821e-05-0j 1.69348e-05-0j 1.39676e-06-0j -2.0474e-07-0j 8.06589e-06-0j 6.37532e-08-0j 6.98526e-06-0j 1.99579e-06-0j 9.10949e-08-0j 8.23221e-07-0j 3.75747e-08-0j 
-0.00558657-0j -6.89347e-05-0j -9.94987e-06-0j 0.00222472-0j 0.00223347-0j 0.000393279-0j 0.000394825-0j 3.27733e-05-0j 3.29021e-05-0j -0.00161413-0j 3.36213e-05-0j -0.000269022-0j 0.00226972-0j -0.000164742-0j 5.60354e-06-0j -3.36278e-05-0j 3.43146e-06-0j 0.000378287-0j -1.98153e-06-0j 0.000231653-0j 7.00443e-07-0j 4.1274e-08-0j 4.72859e-05-0j 2.78635e-06-0j -0.00124638-0j -2.51937e-05-0j -0.000201134-0j 0.00262067-0j -0.00119329-0j -0.000164225-0j 0.00153808-0j -4.06561e-06-0j -2.37038e-05-0j 0.000422909-0j -2.05281e-05-0j -3.31956e-06-0j -0.000192567-0j -2.41926e-06-0j 0.000345304-0j -4.79137e-07-0j 0.000248206-0j -1.10424e-07-0j -0.00015723-0j -4.14945e-07-0j 4.98403e-05-0j 4.3163e-05-0j -2.26942e-05-0j -4.89017e-08-0j 0.000202659-0j -1.96537e-05-0j 5.08681e-06-0j -2.23205e-09-0j 2.92514e-05-0j 2.3218e-07-0j 2.53324e-05-0j -2.31622e-06-0j -1.0572e-07-0j 2.98545e-06-0j 1.36267e-07-0j 
0.00325883-0j -0.00452121-0j -0.00065258-0j 0.00133578-0j 0.00121175-0j 0.000236135-0j 0.00021421-0j 1.96779e-05-0j 1.78508e-05-0j 0.000941577-0j -0.00226972-0j 0.00015693-0j 0.0026127-0j 9.60993e-05-0j -0.000378287-0j 1.96162e-05-0j -0.000231653-0j 0.000435451-0j 1.1559e-06-0j 0.000266658-0j -4.72859e-05-0j -2.78635e-06-0j 5.44314e-05-0j 3.2074e-06-0j 0.000727055-0j -0.00165237-0j 0.000117328-0j 0.000519433-0j 0.000666383-0j 9.57979e-05-0j 0.000366523-0j -0.00026665-0j 1.38272e-05-0j 8.38232e-05-0j 1.19747e-05-0j -0.000217719-0j 0.000107537-0j 1.41124e-06-0j 6.84413e-05-0j -3.14251e-05-0j 5.91473e-05-0j 6.44138e-08-0j 8.78037e-05-0j -2.72149e-05-0j 9.87865e-06-0j 8.55517e-06-0j 1.26734e-05-0j -3.20731e-06-0j 4.82936e-05-0j 1.09755e-05-0j 1.00824e-06-0j -1.46393e-07-0j 6.97058e-06-0j 4.60195e-08-0j 6.0367e-06-0j 1.29347e-06-0j 5.90386e-08-0j 7.11432e-07-0j 3.24723e-08-0j 
0.0331869-0j -0.000501272-0j 0.00689533-0j -0.000288502-0j -0.000291491-0j 0.00240472-0j 0.00242964-0j 0.00060968-0j 0.000615998-0j 0.000399932-0j -0.000251647-0j -0.00314287-0j -0.000146794-0j 4.08179e-05-0j 0.00197757-0j -0.000794048-0j -2.56836e-05-0j 0.00115358-0j -9.40704e-05-0j -1.49821e-05-0j 0.000499635-0j 5.91915e-05-0j 0.000291454-0j 3.45284e-05-0j -0.000157029-0j 0.000360283-0j 0.00119483-0j -0.000112187-0j -0.000160301-0j -2.06904e-05-0j -6.61206e-05-0j -0.00274138-0j 0.00028461-0j 0.000853627-0j 0.000121947-0j 4.74715e-05-0j 0.00121972-0j 4.37243e-05-0j -1.47819e-05-0j -0.000653002-0j 0.000503109-0j 3.33549e-06-0j -2.11215e-05-0j -0.000279791-0j 0.000203335-0j 8.7123e-05-0j 0.00029054-0j -0.00010032-0j -8.71215e-06-0j 0.000124487-0j 3.12381e-05-0j -7.65286e-06-0j 0.000119842-0j 2.38299e-06-0j 5.13484e-05-0j 4.46352e-05-0j 3.40498e-06-0j 1.84111e-05-0j 1.40448e-06-0j 
-0.0410667-0j 1.07471e-05-0j -0.000147833-0j -0.00034684-0j -0.000348203-0j 0.00289098-0j 0.00290234-0j 0.000732963-0j 0.000735845-0j 0.000251647-0j -5.24163e-06-0j -0.00197757-0j -0.000353855-0j 2.56836e-05-0j 4.11914e-05-0j -0.000499635-0j -5.34972e-07-0j 0.00278077-0j -5.91915e-05-0j -3.61152e-05-0j 1.04071e-05-0j 1.23292e-06-0j 0.000702566-0j 8.32325e-05-0j 0.000194314-0j 3.92776e-06-0j -0.00147853-0j -0.000408569-0j 0.000186037-0j 2.56031e-05-0j -0.00023979-0j -2.98862e-05-0j -0.000352187-0j 0.00310879-0j -0.000150901-0j 5.17527e-07-0j -0.00141555-0j -5.4106e-05-0j -5.38337e-05-0j -7.11893e-06-0j 0.00182455-0j -4.12746e-06-0j 2.45125e-05-0j -3.05024e-06-0j 0.000740518-0j 0.000317289-0j -0.000337186-0j -1.09367e-06-0j -3.15951e-05-0j -0.000144474-0j 0.000113765-0j -8.34304e-08-0j 0.000434611-0j 8.67851e-06-0j 0.000186218-0j -5.18014e-05-0j -3.95166e-06-0j 6.67687e-05-0j 5.09343e-06-0j 
0.0239556-0j 0.000704867-0j -0.00969591-0j -0.000208251-0j -0.000188915-0j 0.00173582-0j 0.00157465-0j 0.00044009-0j 0.000399228-0j -0.000146794-0j 0.000353855-0j 0.00115358-0j -0.000407327-0j -1.49821e-05-0j -0.00278077-0j 0.000291454-0j 3.61152e-05-0j 0.00320098-0j 3.45284e-05-0j -4.15726e-05-0j -0.000702566-0j -8.32325e-05-0j 0.000808731-0j 9.58099e-05-0j -0.00011335-0j 0.000257609-0j 0.000862473-0j -8.09809e-05-0j -0.000103891-0j -1.49351e-05-0j -5.71418e-05-0j -0.00196014-0j 0.000205443-0j 0.000616181-0j 8.80258e-05-0j 3.39429e-05-0j 0.000790501-0j 3.15619e-05-0j -1.06702e-05-0j -0.000466908-0j 0.00043479-0j 2.40769e-06-0j -1.36888e-05-0j -0.000200056-0j 0.000146775-0j 6.28887e-05-0j 0.000188299-0j -7.17304e-05-0j -7.52909e-06-0j 8.06802e-05-0j 2.25489e-05-0j -5.47193e-06-0j 0.000103568-0j 1.72013e-06-0j 4.43755e-05-0j 2.89281e-05-0j 2.20677e-06-0j 1.59109e-05-0j 1.21376e-06-0j 
-0.000545194-0j 0.0371219-0j -5.60439e-05-0j -0.000223472-0j -0.000225788-0j 0.00377685-0j 0.00381599-0j -3.29206e-06-0j -3.32618e-06-0j 0.000309786-0j -0.000194925-0j 5.1631e-05-0j -0.000113706-0j -0.00607718-0j -3.24875e-05-0j -0.000617023-0j 0.00382392-0j -1.8951e-05-0j 3.80298e-07-0j 0.00223062-0j 0.000388246-0j -2.39293e-07-0j 0.000226477-0j -1.39588e-07-0j 0.0295327-0j -0.0677591-0j -1.96286e-05-0j 0.0210992-0j 0.030148-0j 0.00153224-0j 0.0124354-0j 4.50354e-05-0j -2.31326e-06-0j -1.40234e-05-0j 0.000385062-0j -0.00351552-0j -2.00376e-05-0j 2.2572e-05-0j 0.00109468-0j 5.30747e-06-0j -8.26508e-06-0j -1.07763e-08-0j 0.00156416-0j -0.000883476-0j -1.65267e-06-0j 0.000275102-0j -2.36145e-06-0j -5.17885e-05-0j 0.000645182-0j 0.000393084-0j 1.61262e-05-0j 2.47247e-08-0j -9.74048e-07-0j -7.69893e-09-0j 0.000162139-0j 2.30422e-05-0j -1.10008e-08-0j 9.50443e-06-0j -4.53758e-09-0j 
-0.0074995-0j 5.60439e-05-0j 0.0359602-0j 3.22555e-05-0j 3.25897e-05-0j -0.000543414-0j -0.000549045-0j 0.00647332-0j 0.0065404-0j -4.47137e-05-0j 2.8135e-05-0j 0.000710218-0j 1.64121e-05-0j -4.56357e-06-0j -0.000446887-0j -0.00414109-0j 2.87152e-06-0j -0.000260684-0j -0.00150611-0j 1.67505e-06-0j 0.00260568-0j 0.000947682-0j 0.00151998-0j 0.000552815-0j -0.00426269-0j 0.00978018-0j -0.000270005-0j -0.00304541-0j -0.00435149-0j 2.31326e-06-0j -0.0017949-0j 0.000619492-0j 0.00148429-0j -0.000192901-0j -2.75573e-05-0j -5.30747e-06-0j -0.00027563-0j 0.000464245-0j 1.65267e-06-0j -0.00340551-0j -0.000113692-0j 7.1378e-05-0j 2.36145e-06-0j 6.32266e-05-0j 0.00106043-0j -1.96879e-05-0j 0.00151521-0j -0.00106515-0j 9.74048e-07-0j -2.81314e-05-0j 0.000331673-0j -0.000163768-0j 0.000624992-0j 5.09949e-05-0j -1.16036e-05-0j 0.000473917-0j 7.28651e-05-0j 0.000195481-0j 3.00553e-05-0j 
-0.000497692-0j -0.000354453-0j -5.11608e-05-0j 0.0294504-0j 0.0297556-0j -3.60627e-05-0j -3.64364e-05-0j -3.00523e-06-0j -3.03637e-06-0j -0.0547003-0j 0.0344188-0j -0.0068042-0j 0.0200777-0j 2.88626e-05-0j 0.00428138-0j 5.89155e-06-0j -1.81611e-05-0j 0.00249747-0j 3.47163e-07-0j -1.0594e-05-0j -3.70711e-06-0j -2.18444e-07-0j -2.16248e-06-0j -1.27425e-07-0j -0.000111036-0j 0.000254759-0j 0.00346592-0j -7.93282e-05-0j -0.00011335-0j 0.00211209-0j -4.67543e-05-0j -0.00795211-0j 0.000304853-0j 0.00247617-0j -1.82879e-06-0j -0.00484591-0j 0.00353813-0j -2.15525e-07-0j 0.00150895-0j -0.000699447-0j 0.0014594-0j -9.83733e-09-0j 0.00215609-0j 4.19592e-06-0j 0.000217798-0j -1.30655e-06-0j 0.000311204-0j 4.94494e-07-0j 0.000889341-0j -1.86689e-06-0j -1.53979e-07-0j 2.25705e-08-0j 0.000128365-0j -7.02813e-09-0j -7.70053e-07-0j -2.20015e-07-0j -1.00423e-08-0j -9.07516e-08-0j -4.14223e-09-0j 
0.000674643-0j -0.00079588-0j 1.20156e-06-0j -0.000268661-0j -0.000269717-0j 0.00454057-0j 0.00455842-0j -3.95775e-06-0j -3.97331e-06-0j 0.000194925-0j -4.06015e-06-0j 3.24875e-05-0j -0.000274095-0j -0.00382392-0j -6.76692e-07-0j -0.000388246-0j 7.96495e-05-0j -4.56825e-05-0j 2.39293e-07-0j 0.00537703-0j 8.0869e-06-0j -4.98431e-09-0j 0.000545935-0j -3.36484e-07-0j -0.0365449-0j -0.0007387-0j 2.42892e-05-0j 0.0768403-0j -0.0349883-0j -0.00189604-0j 0.0450977-0j 4.90969e-07-0j 2.86251e-06-0j -5.10711e-05-0j -0.00047649-0j -3.83257e-05-0j 2.32546e-05-0j -2.79314e-05-0j 0.00398667-0j 5.78613e-08-0j -2.99737e-05-0j 1.33349e-08-0j -0.00181528-0j -9.63153e-06-0j -6.01879e-06-0j 0.00100188-0j 2.74058e-06-0j -5.64591e-07-0j 0.00233979-0j -0.000456195-0j 5.87293e-05-0j 2.69545e-10-0j -3.53244e-06-0j -2.80384e-08-0j 0.000588006-0j -2.67417e-05-0j 1.27669e-08-0j 3.44683e-05-0j -1.64558e-08-0j 
-0.000393542-0j -0.0521992-0j 7.88065e-05-0j -0.000161311-0j -0.000146333-0j 0.00272628-0j 0.00247314-0j -2.37633e-06-0j -2.15569e-06-0j -0.000113706-0j 0.000274095-0j -1.8951e-05-0j -0.000315514-0j 0.00223062-0j 4.56825e-05-0j 0.000226477-0j -0.00537703-0j -5.25857e-05-0j -1.39588e-07-0j 0.00618956-0j -0.000545935-0j 3.36484e-07-0j 0.000628432-0j -3.8733e-07-0j 0.0213179-0j -0.048449-0j -1.41687e-05-0j 0.0152302-0j 0.0195389-0j 0.00110603-0j 0.0107468-0j 3.22011e-05-0j -1.6698e-06-0j -1.01226e-05-0j 0.000277953-0j -0.00251366-0j -1.29863e-05-0j 1.62933e-05-0j 0.000790183-0j 3.79494e-06-0j -7.14272e-06-0j -7.77871e-09-0j 0.00101373-0j -0.000631701-0j -1.19296e-06-0j 0.000198579-0j -1.53045e-06-0j -3.70297e-05-0j 0.000557569-0j 0.000254758-0j 1.16405e-05-0j 1.76786e-08-0j -8.41778e-07-0j -5.55738e-09-0j 0.000140121-0j 1.49336e-05-0j -7.12958e-09-0j 8.21377e-06-0j -3.9214e-09-0j 
