-0.0266865-0.0244487j 0.2568+0.0164192j 0.00207821-0.0245766j 0.0969742+0.0278804j 0.0778085+0.019342j -0.0481603+0.0176486j -0.086537+0.00882514j 0.0330812-0.00199725j -0.0771767+0.0636288j -0.0175968-0.0116919j -0.0550574+0.0325177j 0.0509294-0.0467745j -0.0335276+0.0307423j -0.0758542+0.034363j 0.00964015-0.00121759j 0.016839-0.00847858j -0.0463082+0.0271934j -0.000925909-0.0124279j -0.0174795-0.0334875j 0.0134376-0.00570524j -0.0351236+0.016723j 0.0241016-0.0190123j -0.0027939-0.000191681j -0.00142474+0.0242687j -0.01806+0.017932j 0.013504-0.0245204j 0.00738979+0.0180716j 0.0273443-0.00131057j -0.0170515-0.0107431j -0.0145914+0.0209688j -0.054238+0.012935j 0.018935-0.0097001j -0.0348116+0.00762458j -0.00686589+0.012464j -0.000722621-0.0654318j -0.0553433-0.00685015j 
-0.0984641-0.0724864j 0.0182422+0.00176819j -0.0429183+0.0601399j -0.0626775-0.0286216j 0.0807243+0.0467855j -0.0302103-0.00507722j -0.00811377+0.0373489j 0.0949261+0.0183195j -0.0761438-0.0988823j 0.133033+0.135951j 0.109319+0.0722149j 0.163548-0.043559j -0.0741015-0.0298853j 0.0258955+0.0999832j 0.0448698-0.00410981j 0.0202445+0.00284427j -0.0916662-0.226156j -0.247037-0.467224j -0.26005-0.0735498j -0.00131134+0.0651119j 0.145235-0.0162994j -0.00572403-0.0431777j 0.051819+0.101302j -0.038673-0.0604262j -0.000525357-0.0267768j 0.0177149+0.0420031j 0.00196172+0.0170567j 0.0227725+0.00306258j 0.021343+0.0333687j 0.0395324-0.0278605j -0.00263571+0.00242091j 0.00251389+0.0105944j -0.0586904+0.029796j -0.00225487-0.0381202j -0.0380113-0.00834274j -0.0305088-0.0120109j 
-0.0648594+0.0795745j 0.0655778+0.00731787j 0.0231536-0.000471404j -0.0523572+0.061178j -0.0110825+0.0620088j -0.0351366+0.00870806j 0.202216+0.070196j 0.144472+0.123195j -0.129514-0.090573j 0.0820068+0.0333661j -0.0031931+0.134977j -0.257028+0.150527j -0.0453621+0.0265635j -0.092184-0.0076899j -0.0282677+0.0648463j -0.1232+0.129572j 0.0409489+0.00973377j -0.151856-0.10699j 0.123649-0.216984j 0.23126-0.0440352j -0.136324+0.0460421j -0.0259365+0.037807j 0.0671905+0.0141614j -0.0377138+0.000950268j 0.0151398-0.0974454j 0.0553066-0.0294956j 0.0266359-0.0473397j 0.0435538-0.0560676j -0.0610629+0.030625j -0.0585622+0.0434533j -0.0306288+0.00512532j 0.00896685-0.014889j 0.0138649+0.0239331j -0.0014689-0.0606736j 0.0306747+0.00270954j -0.0439602-0.00973516j 
-0.140034-0.086491j 0.0142042+0.0209841j -0.000558164-0.0440361j -0.082357-0.0549936j 0.076198+0.0313402j -0.0201576+0.00690281j 0.00319112+0.0435907j 0.062737-0.0562663j -0.092626-0.182804j 0.0680387-0.0591353j 0.0918653+0.00146662j 0.0838434-0.100125j -0.104648-0.183704j 0.0185997+0.0727967j 0.00756586+0.119427j 0.0134221-0.140666j 0.0725288+0.317709j -0.0137119+0.158265j -0.0775948+0.0793872j 0.0688898+0.371323j 0.0826888-0.0306196j -0.00885006-0.0188423j 0.0159681+0.0687768j -0.024729-0.0717364j 0.0374993-0.00806175j 0.0343396+0.0244656j 0.0273921-5.00679e-05j 0.0275227+0.0372824j 0.00588055+0.00396313j 0.0227244+0.0261612j -0.0158856-0.0017604j 0.00639435-0.0172097j -0.0465853+0.0619645j 0.0251946-0.00926082j -0.0264712+0.0039989j -0.0206+0.00474224j 
0.0840833+0.0914507j -0.0116686+0.0807228j 0.00892599+0.00859575j -0.0428517-0.0148038j 0.0658075-0.121327j 0.0575692-0.0490706j -0.0110041+0.0877514j -0.293992+0.0387256j 0.0284302-0.0687916j 0.148615-0.0194943j -0.0441936+0.0107774j 0.138074-0.0515918j -0.0689074+0.089451j -0.0289532-0.0520662j 0.0786493-0.0165667j 0.0265685+0.230926j 0.000459724+0.109555j -0.115621-0.0547653j -0.0472552-0.0239417j 0.0707785+0.125982j 0.176504-0.0331378j -0.034415-0.0807974j 0.0987421+0.0411334j -0.044826-0.034587j 0.0862078-0.0141135j 0.0631058+0.0398782j 0.0486247+0.0345571j 0.0795553-0.00607156j -0.0187035-0.0281258j 0.00662408+0.0233966j -0.0102021-0.00742753j 0.0103933-0.00265018j -0.0236363-0.00452738j 0.0212886-0.00118277j -0.0224046+0.00760099j -0.0546813-0.0653143j 
-0.0539631+0.0378088j 0.00354522-0.0188088j -0.0262289-0.0138155j -0.0240379+0.0257245j 0.0203989+0.0082955j 0.0769058+0.0314404j -0.0258224-0.0834139j -0.00842901-0.0010007j 0.0685226+0.0836451j 0.0177287-0.0145649j 0.136244+0.0298312j 0.0782689+0.181834j -0.0483165+0.028153j 0.210804-0.00709284j 0.150415+0.0635087j -0.00866321+0.181675j -0.164464+0.0204118j -0.145939+0.0985258j 0.211096-0.0824975j -0.0128185-0.0562445j 0.00847539+0.11959j -0.0136032+0.0478505j 0.0453484-0.0357307j -0.0520566+0.0216434j -0.0801166-0.00359264j 0.0269036-0.0201272j -0.00912837-0.0215482j -0.0464665-0.000502328j 0.0757013+0.0234267j -0.0350747+0.0278567j 0.019066+0.00591928j 0.0062446-0.00174417j 0.101642-0.0437573j 0.00708796+0.0184854j 0.0148724-0.0129504j 0.0583678+0.0130822j 
-0.0314476-0.0206418j -0.0319681-0.0459097j 0.0132139-0.0197231j 0.0335413+0.0232276j 0.0216627+0.0748474j -0.0058252-0.00956414j 0.00553685+0.00150959j 0.0946451+0.0618155j 0.0017716-0.0271173j 0.0214821+0.0245863j -0.0356708-0.0755196j -0.13391-0.020421j -0.0283328-0.127268j -0.020832-0.0912697j -0.0780616+0.0134669j -0.204522-0.343272j -0.168804+0.116024j -0.0936181+0.126707j 0.0519103-0.253676j -0.0652924+0.0492656j -0.130413+0.00793726j -0.00948634+0.0254407j -0.00880426+0.0114863j 0.0104584-0.00448242j -0.00782209-8.22489e-05j -0.00742521-0.0424062j -0.00319034-0.0264344j -0.0229341+0.0181026j 0.00346445-0.00629082j -0.0561516+0.034004j 0.00336965+0.0141732j 0.010844-0.0169998j 0.0039944-0.0306026j -0.00429183-0.020697j 0.0172005-0.0210099j 0.0196091-0.0124747j 
-0.00542968-0.0440269j 0.0593825-0.071796j -0.0471859+0.0386697j -0.0600128+0.0362825j -0.0246064+0.103986j -0.00812861+0.0649548j -0.00223601-0.0647926j -0.116192+0.0441292j -0.135724-0.0077811j -0.0383327+0.00689212j 0.0661317+0.0523762j 0.110325+0.122102j 0.0837405-0.116113j 0.142776+0.0836109j 0.00817366+0.0741652j 0.346092-0.129985j 0.292145+0.0586669j -0.0321513+0.0784652j -0.0226657-0.125565j 0.174847+0.027075j 0.057223+0.018549j -0.0586692+0.00677929j 0.0509291+0.0257935j -0.0510111-0.0374876j -0.0651458-0.0786086j 0.0123083-0.0321245j 0.00690415-0.0395548j -0.00770275-0.0445728j -0.00210817+0.0631729j 0.0542596+0.0292926j 0.00269442+0.0319599j -0.0182288-0.017525j 0.0616133+0.0436459j -0.0283231-0.015513j -0.00372037-0.0100125j -0.0160341+0.0356655j 
0.0390813+0.0421833j 0.00262993+0.045835j -0.0431437+0.0287337j -0.0225005-0.00070591j 0.0400489-0.0814022j 0.0323097-0.0193923j -0.0518756+0.104331j -0.119135+0.0783443j -0.00595949+0.105873j 0.0168015+0.0171571j -0.0371807+0.0509108j 0.00225966+0.0249978j 0.0613943-0.113339j -0.0180356-0.0437636j -0.156702+0.3333j 0.191049-0.310153j 0.0139459-0.0824413j -0.0496469+0.0192075j 0.0115468+0.00488315j -0.0265547+0.0175992j -0.012708+0.112513j -0.0493796+0.0607706j 0.00537727+0.0340587j 0.0171464-0.0398272j 0.0293103-0.00661241j 0.00945052+0.0237195j 0.0284823-0.0188224j 0.010537+0.0134412j -0.0297241+0.0264352j -0.0105921+0.0110193j -0.00776954+0.00300599j 0.00727876-0.00400311j -0.000650638+0.00597009j 0.00365056+0.00634057j 0.00132176-0.00440093j -0.0167481-0.013593j 
0.126211+0.0274371j 0.117126-0.0279992j 0.0122294+0.0214258j 0.0034164+0.0948993j -0.184632+0.00725836j 0.00173555+0.0114943j 0.0234772+0.10244j 0.00648666+0.124098j 0.212416-0.0443368j -0.0839641-0.0450491j 0.0379417+0.0118814j 0.128955-0.0102797j 0.0946738+0.0149787j -0.00943499+0.125451j 0.269028+0.0711193j 0.0844389-0.0536432j -0.0876607+0.0116035j 0.0931566-0.0417012j 0.0543132-0.000546792j -0.14402+0.0805726j 0.148493-0.0906624j 0.0587038+0.00675492j -0.0384474-0.000954316j 0.0183113-0.0221344j -0.024813-0.0972008j -0.00145644-0.0113177j -0.0046588-0.0485748j -0.0184956-0.0663231j 0.0208478+0.0468761j 0.0380098-0.00752586j -0.00447641+0.0346966j -0.00907123-0.00459524j 0.00953367+0.0181221j 0.00717077-0.0235665j -0.0031802+0.00953464j -0.0071142+0.0545802j 
0.172923-0.029058j 0.129959+0.142531j 0.00637976-0.0031388j 0.00730049-0.154644j -0.194556-0.120283j -0.0273565-0.0273447j 0.0673948+0.0918729j -0.013586-0.0558463j -0.0305367+0.0658458j -0.0681027+0.0112084j 0.0294025-0.00426274j -0.0223208+0.0128624j 0.0860333-0.00450775j 0.0887055-0.0412504j 0.246263+0.131838j 0.13353+0.0293362j 0.0690959-0.00545014j -0.0982274-0.0350478j 0.0894047+0.0886604j 0.146108+0.0510674j 0.0472231+0.143783j -0.0078014+0.00540361j 0.00949074+0.0155349j -0.0186172+0.0119386j -0.0491574+0.075537j 0.021273+0.0366015j -0.0147231+0.0617771j -0.0241696+0.0658001j 0.0130923-0.0225329j 0.0110877+0.0211829j 0.00797762-0.044735j -0.00143033-0.00535149j -0.017005+0.000775353j -0.0231983+0.00678693j 0.0109239-0.00958121j 0.0133616-0.0497993j 
0.251469+0.0540737j -0.138474+0.0576196j 0.0218311+0.0124083j 0.221622-0.00140961j -0.0842367-0.0766603j -0.0537353-0.0325603j -0.0529733+0.0567128j 0.14387+0.0142819j -0.0442616-0.0604309j -0.0608547+0.0217489j -0.13725-0.0263651j 0.0177962-0.0379218j 0.171749+0.0307231j 0.0711507+0.0529616j 0.0446354+0.0406165j -0.00321311+0.0196432j -0.0115902+0.0241601j 0.00468841-0.0139378j -0.177669+0.00123752j -0.0234509+0.0201978j -0.174398+0.0260845j 0.0142026+0.00941432j -0.0314446-0.0496575j 0.00195924+0.0348584j -0.158014+0.013078j -0.0598873-0.0137492j -0.104078+5.12459e-05j -0.115924-0.00506598j 0.0374738-0.00188452j -0.012858+0.0126879j 0.0495647-0.00290443j -0.000891498-0.00350143j -0.039842-0.0515168j -0.0519758-0.0336741j 0.0271741+0.0169291j 0.0420344+0.0183928j 
