-0.050357+0.301269j 0.0708927+0.152402j 0.0565231+0.0797837j 0.0905215+0.0635251j 0.0778686-0.0914968j 0.0440766-0.0486765j -0.0518059+0.108548j 0.0109267+0.0387655j 0.116094-0.0652004j -0.00963153+0.0122059j 0.024325-0.11892j -0.0371195-0.0167458j -0.0322802+0.0130932j -0.0784758-0.0783087j 0.0421696-0.0701355j -0.00188925+0.0378734j 0.00719482-0.0184051j -0.0368733+0.0594615j 0.00103597-0.00364712j 0.01142+0.0287818j -0.0316007-0.0298052j -0.0275468+0.0380729j 0.0169851-0.0131191j -0.0197071-0.00748992j 0.0143527+0.0256765j 0.0362332+0.0109776j -0.0139902+0.0168035j -0.0334383+0.0332382j -0.00982808+0.0400325j -0.00414718+0.00542619j 0.0136199-0.0208683j -0.00498175+0.0376887j 0.0444082-0.0580461j -0.0164735-0.0144158j -0.00905915+0.00766319j -0.0236918-0.00111737j 0.00685003-0.0275652j -0.0210323-0.00778187j 0.082057+0.0162113j 0.0500653-0.0375884j 
-0.00683962-0.0448071j 0.0191985+0.00230696j 0.0275698+0.130434j -0.01872+0.0828632j 0.0692343+0.0181193j -0.0479387+0.00909353j -0.0594953-0.0544377j -0.0360438+0.0617654j -0.0626631+0.111156j -0.0236383+0.0558325j 0.17965+0.00852493j 0.0175+0.0974441j 0.0471948-0.0562872j -0.0365604+0.069076j -0.0980311+0.12121j 0.111726+0.119191j -0.295091-0.250771j 0.227502-0.0972271j 0.0284381+0.1219j -0.0558586-0.016892j 0.0299693+0.00204907j -0.0299591-0.00218101j -0.0488198-0.0191644j -0.0136778+0.0387966j 0.0243276+0.013985j 0.00985046+0.00171493j 0.0241959+0.019267j 0.00533557-0.024058j 0.0852953+0.0151822j 0.0156301-0.00525981j 0.01233+0.00228304j 0.0173589-0.0103384j -0.00880592-0.00370509j -0.00127074-0.0164744j 0.00937412-0.00161163j -0.00529764-0.0133519j -0.0101622+0.00163438j -0.0442031+0.00247959j -0.0305271-0.0180722j 0.0126113-0.00508651j 
-0.0332886-0.0791687j 0.0178534-0.0166438j 0.0422695+0.153272j -0.0773412+0.0248331j -0.0671242+0.0212847j 0.0192909+0.0119451j -0.111186+0.0139342j -0.0327167+0.0119132j -0.0317213+0.133479j 0.0466014-0.186945j 0.0339075-0.0518365j 0.11712+0.183039j -0.0590795+0.0373164j 0.0359801-0.0474038j -0.108897+0.0393025j 0.000745163-0.0841134j 0.0822897+0.197812j -0.0659598+0.0612264j 0.00478871-0.0484486j -0.0478221+0.0489232j -0.00922837-0.0228555j 0.0283708+0.0372883j -0.0025375+0.0555132j -0.00522675-0.00759546j -0.0190481-0.0231762j -0.0171506+0.0128864j 0.0053292-0.0172358j 0.0391234+0.0585865j -0.000736082+0.0233943j 0.0135452-0.00361553j 0.012385+0.0124026j 0.00503558-0.0106484j -0.00484859-0.00728395j -0.00792019-0.0163912j 0.00350463-0.00318832j -0.0117712+0.008249j 0.0072397+0.00936488j -0.0230507+0.0182797j 0.00608139+0.0056161j -0.0188537-0.0203288j 
0.0493531-0.00710012j 0.00507324-0.00545384j -0.0815572+0.0376951j -0.0337571-0.000823646j 0.0982632+0.0497488j 0.0280505-0.0114384j 0.0307812+0.0325359j 0.0323985-0.00426071j 0.0050446+0.124698j 0.0179784+0.0684274j 0.00344252+0.184194j -0.0803531+0.0995407j 0.0185019+0.0818921j 0.0239782-0.0794124j -0.102823-0.190462j 0.129862+0.194519j -0.00351634-0.0980438j -0.131311+0.060255j -0.118722-0.0481962j -0.244225-0.202889j 0.000868041-0.0284614j 0.00805751+0.0452338j -0.0180181-0.017489j -0.00221835+0.00804254j 0.0101615+0.00149927j -0.00262758+0.000257727j -0.0129684-0.00029352j 0.0532113+0.146629j -0.00355321+0.00380293j 0.0332912+0.0406194j 0.00289902+0.0219133j 0.0494528+0.0458839j -0.0035589-0.0636125j -0.0460884-0.016452j -0.00546542+0.00656767j -0.0296634+0.0249075j -0.00443826-0.0164623j -0.0118667-0.0270231j 0.00613595+0.0233031j -0.0866877-0.0444024j 
0.0434941+0.00110278j -0.00760112-0.016562j -0.0208026+0.0472279j 0.057375-0.0910018j 0.116425+0.0556441j 0.0703042-0.0372221j 0.121938+0.0571655j -0.0250642-0.00661724j -0.103147-0.114467j 0.0598809+0.060871j -0.160096+0.0723406j -0.00827592+0.0482795j -0.0694063+0.075634j -0.0796339+0.132405j -0.0127079-0.0271353j -0.029006-0.0435628j -0.00980354+0.0928791j 0.137413-0.0307045j 0.0482782+0.0445357j 0.122289+0.0575197j -0.0133247+0.04735j -0.0176449-0.000609723j -0.0158496-0.00058189j -0.0200223+0.0172568j 0.0041684+0.00386061j -0.010287-0.0128155j -0.00201807-0.0162537j -0.055805-0.0277021j 0.0129956-0.0161964j -0.0240246-0.0159141j -0.0106162-0.0145377j -0.000911259-0.00731839j -0.0080791+0.000181739j 0.00683966+0.0138784j 0.00737193+0.00248159j 0.0171144-0.0106444j -0.0261127-0.00588473j -0.0138527-0.0228084j -0.00349369-0.0410185j 0.0180141-0.00281014j 
-0.0465771-0.0998481j 0.000632232-0.00291274j 0.0947515+0.0790413j -0.150875+0.0203815j -0.0431572-0.0869586j -0.0372035+0.0302322j 0.0330016-0.0569691j 0.0209551-0.0356004j -0.116663+0.164945j 0.118457+0.0891132j -0.0369919-0.117376j 0.203981+0.126879j 0.0199799+0.00788492j -0.0516798+0.0430929j 0.0698727-0.0520043j -0.0304998+0.03145j -0.0106398+0.0870203j 0.0121029+0.195254j -0.144635-0.00580189j 0.0928652-0.0657141j -0.0104615+0.0498719j 0.0463734+0.038667j 0.0656234+0.0300062j 0.0154949-0.0104504j -0.00179315-0.00276805j -0.0166642-0.0175216j 0.0235193+0.00833484j 0.0357248+0.065643j 0.0107293+0.0538364j 0.00340043+0.0291986j 0.00614285+0.0342767j 0.00421789+0.0032684j -0.0348737-0.0268905j 0.0164331-0.017452j 0.00422673+0.00162216j -0.00669816+0.000561398j -0.00538441-0.00556199j 0.000682168-0.0180529j 0.00559633-0.0181414j -0.0470753-0.0134594j 
0.0249234+0.0205855j -0.00325049+0.0352173j -0.0119035+0.00795152j 0.0243458-0.0176448j 0.0552153+0.0209602j 0.0102521-0.0167832j 0.0421262+0.0266659j -0.0132921+0.0101875j -0.0352909-0.0556021j -0.190363+0.02212j 0.132274+0.0623162j -0.0788747+0.0013027j 0.0463118+0.0455034j -0.0436734-0.04287j -0.00732729+0.110467j -0.0306692+0.00885234j 0.0528537-0.214636j -0.0490426-0.0297359j -0.000480843-0.0325646j 0.0295172+0.0428922j -0.023198+0.00243877j -0.00547013-0.0387325j -0.0195246+0.0337184j 0.00920967+0.00496194j -0.00736139+0.0141221j 0.0131635+0.0117213j -0.0172279+0.026779j -0.00407406-0.0181997j -0.0158718-0.00951176j -0.0150331-0.00849613j -0.0119129-0.00749104j -0.0075177-0.00619367j 0.0157955-0.0010975j -0.00457366+0.00857476j -0.00257807+0.00271571j 0.00857898+0.0019028j 0.00595528-0.00111373j -0.00132615+0.0128121j 0.013452+0.00240241j 0.0133129-0.0044182j 
-0.0189786-0.00858219j 0.0194294-0.00363079j 0.0666693+0.0287905j 0.032225-0.119618j 0.0776606-0.0456524j -0.0216802-0.00557559j 0.05117+0.0532817j -0.00908298+0.0459627j -0.0698724+0.106696j -0.104488+0.0369091j 0.108935-0.0326078j -0.0168899+0.119864j -0.0208177+0.0941055j 0.0477459-0.0139611j 0.0640235+0.138769j -0.0733638-0.0422613j -0.031228+0.0451121j -0.185085-0.0932461j 0.0501663-0.100423j 0.0938496-0.0168569j 0.00601282-1.90182e-05j -0.0280593+0.0226165j 0.0510192+0.0808817j -0.0147674+0.0112724j -0.0252188-0.00533558j 0.0165041-0.00350558j 0.0156201+0.0176895j -0.0185642+0.0525231j -0.0528239-0.102831j -0.0319652+0.0109243j -0.0444853-0.0090254j -0.0336225+0.0105226j 0.0330522-0.00229544j -0.0147406+0.0493073j 0.000562565-0.00287577j 0.0151473+0.0178597j 0.0177367+0.00120904j -0.00466012+0.0181552j 0.0302598+0.0087259j -0.0262932+0.00218282j 
0.0622638-0.0418869j 0.000585774+0.00143336j -0.0710451+0.0796525j 0.0278415-0.112827j 0.0907022-0.0870844j 0.000725892-0.0471062j 0.104808+0.0497564j 0.0352668+0.0467218j -0.0680316-0.137444j -0.0723711+0.0120923j 0.113453-0.0367674j 0.0213353+0.173595j 0.0373417+0.0577085j -0.0695804+0.00884322j -0.052015+0.0735237j -0.0221228-0.111696j -0.0342698+0.00057103j -0.108666+0.0679357j 0.0251055-0.0659604j -0.0164213+0.192935j -0.0324393+0.0183845j -0.0264938+0.0263778j -0.0354946+0.0814193j -0.00933637-0.000377543j -0.0124507+0.000893254j 0.021042+0.00120866j -0.00429441+0.0225741j -0.00107761+0.0286845j -0.0449533+0.0497504j -0.0018122-0.012625j -0.00927319-0.000516635j 0.0170393-0.0158426j -0.00809988-0.0331665j 0.0195928+0.00989881j 0.000758361+0.00895173j 0.0153211-0.00896943j -0.0122557-0.00757211j 0.00755747+0.00477606j 0.0175016+0.00157343j 0.00491808-0.0279662j 
-0.126611+0.0110532j 0.0131379+0.0020982j 0.221871+0.0241889j 0.0196874+0.215192j 0.0531141-0.0606653j 0.00623409-0.0276062j -0.0289957+0.000953794j -0.140418-0.0364682j -0.0353307-0.0956892j 0.0479754-0.00200351j 0.0284191-0.00719308j -0.0378488+0.103758j -0.168766+0.00984528j -0.022728-0.0605652j -0.112708+0.0176949j -0.0512809-0.0425335j -0.0486324-0.00884622j 0.156899+0.047805j -0.0216937+0.0893913j 0.14398+0.00906114j -0.0193719-0.0288848j -0.0101625-0.00572234j -0.0807444-0.0393525j -0.0101611-0.00142042j -0.00620808+0.00422767j 0.00250017+0.0101109j -0.028718+0.0119135j -0.112277-0.0415664j -0.00547453-0.0389355j -0.021978-0.00468965j 0.00602402-0.0228245j -0.0280179-0.00155097j 0.047124+0.0125371j -0.00982615+0.0186211j -0.0020521-0.00180038j 0.00630421+0.00905824j 0.00696576+0.00231655j -0.0452021-0.00631663j 0.0205116-0.0034585j 0.0766779-0.00664697j 
0.0385412-0.160263j 0.00283614+0.00676066j -0.0655464+0.222499j -0.210802+0.00491006j 0.0576618+0.0545141j 0.0241673+0.00633261j 0.00863358-0.00755335j 0.0495792-0.158717j 0.0668196-0.0807834j -0.042458+0.00777855j -0.00328414+0.000619137j -0.101267+0.0141189j -0.0308534-0.159746j 0.0765334+0.049709j 0.0205665-0.0897989j -0.00496265-0.0758567j -0.0116445-0.0322332j -0.0838367+0.0563419j -0.0239877-0.0909972j 0.0395504+0.127316j 0.0353288-0.0064121j -0.0171668-0.0164106j 0.00188367-0.104235j 0.000444019-0.00526995j -0.00198397-0.00831954j -0.0118487+0.00347392j -0.00497579-0.0305085j -0.0161495-0.1298j 0.0130045+0.0151569j -0.00604976-0.0223164j 0.0142857+0.0196325j -0.00359287-0.0251242j 0.00624235+0.049482j 0.023451-0.0369592j 0.000934292-0.00763695j -0.0123111-0.0285618j -0.00411272+0.00787481j 0.000818579-0.00697865j -0.0373922-0.00139878j 0.0523873+0.0373382j 
