-0.0544315-0j -0.00553797-0j -0.00559536-0j -0.00318732-0j -0.00046005-0j -0.0039441-0j -0.00230073-0j -0.000569282-0j -0.000332081-0j -0.0022467-0j -0.000397165-0j -0.00262115-0j -3.30971e-05-0j -0.00160512-0j -0.00229351-0j -0.000463359-0j -0.000283748-0j -0.000946025-0j -3.86133e-05-0j -0.000405439-0j -2.36457e-05-0j -0.000167235-0j -3.37866e-05-0j -1.39363e-05-0j -0.00173483-0j -0.000289138-0j -0.0019597-0j -0.00017706-0j -3.61423e-05-0j -0.00160009-0j -2.12971e-06-0j -0.00161667-0j -0.000326617-0j -0.00140008-0j -0.000200011-0j -0.000266681-0j -0.001155-0j -4.08271e-05-0j -0.000163308-0j -0.000269445-0j -2.40576e-06-0j -0.00036903-0j -3.33352e-05-0j -0.000165001-0j -0.000233346-0j -0.000142895-0j -1.96429e-06-0j -0.000192501-0j -3.36806e-05-0j -2.91683e-05-0j -0.000117882-0j -1.98465e-06-0j -6.15049e-05-0j -2.40626e-05-0j -3.76639e-05-0j -1.71876e-06-0j -7.68812e-06-0j -1.4179e-06-0j -4.53027e-07-0j 
-1.3797e-06-0j 0.00116225-0j -0.0011336-0j -4.66299e-06-0j -0.00916905-0j -9.99729e-08-0j 6.5569e-06-0j -0.000196581-0j 0.0128931-0j -3.28689e-06-0j 8.33528e-05-0j -6.64396e-08-0j 0.0304339-0j -2.34827e-06-0j 3.2391e-06-0j 1.68485e-06-0j 5.95502e-05-0j 4.05614e-06-0j 0.000615176-0j -8.21409e-05-0j 0.0217431-0j -0.00010286-0j -0.0299914-0j -0.0375566-0j -2.53803e-06-0j 6.06814e-05-0j -4.96734e-08-0j -2.59037e-07-0j -0.000720337-0j -2.3409e-06-0j 0.00808983-0j 2.28321e-06-0j 1.18763e-06-0j -3.54884e-08-0j -5.06977e-09-0j 5.59683e-05-0j 3.29168e-06-0j -1.40982e-05-0j -2.38917e-07-0j -5.45888e-05-0j 0.000158331-0j 2.11277e-06-0j -0.000664389-0j 2.33029e-07-0j 8.48486e-07-0j -3.62202e-09-0j 0.0074615-0j -7.87002e-05-0j 0.000648013-0j -1.00722e-05-0j 3.35955e-07-0j -0.00727759-0j -5.05139e-05-0j 0.000934235-0j 2.15633e-07-0j 0.000113117-0j 0.00059964-0j -0.010492-0j -0.00673433-0j 
1.51138e-05-0j -0.00418477-0j 0.00408163-0j 5.10805e-05-0j -0.000702647-0j 1.09515e-06-0j -7.18273e-05-0j -1.50645e-05-0j 0.000988032-0j -0.00519797-0j -0.000300118-0j -0.000105069-0j -7.60904e-05-0j -0.00371361-0j 0.00512239-0j -6.06644e-06-0j -0.000214415-0j 0.00641448-0j -1.53805e-06-0j 0.000295754-0j -5.43616e-05-0j 0.000370356-0j 7.4984e-05-0j 9.38982e-05-0j -0.00537782-0j 0.0315417-0j -0.000105253-0j 2.8376e-06-0j -5.52012e-05-0j -0.00496013-0j -6.53965e-06-0j 0.00483788-0j 0.000617322-0j -7.51962e-05-0j 5.55365e-08-0j 0.0290919-0j 0.00697473-0j -1.08038e-06-0j 2.61721e-06-0j -0.0283748-0j -1.27992e-07-0j 0.00447674-0j -5.09138e-05-0j -2.5527e-06-0j 0.000441036-0j 3.96772e-08-0j -6.03173e-06-0j -0.0409077-0j 4.96589e-05-0j -7.71859e-07-0j -3.68021e-06-0j 5.88306e-06-0j -0.0262567-0j 7.15928e-05-0j -2.36215e-06-0j -9.14416e-08-0j 4.59519e-05-0j 8.48155e-06-0j 5.4439e-06-0j 
9.2553e-06-0j 5.43496e-05-0j -5.301e-05-0j -0.00601239-0j 4.51492e-06-0j -0.000128904-0j 0.00845437-0j 9.67984e-08-0j -6.34869e-06-0j 2.20491e-05-0j -0.000749192-0j 4.4569e-07-0j 3.24815e-07-0j 1.57527e-05-0j -2.17285e-05-0j -1.51438e-05-0j -0.000535249-0j -2.72094e-05-0j 6.56564e-09-0j 0.000738299-0j 2.32059e-07-0j 0.000924529-0j -3.20092e-07-0j -4.00833e-07-0j -0.00329323-0j 2.8376e-06-0j -6.44539e-05-0j 0.031764-0j -6.8177e-05-0j -0.00303745-0j 2.09009e-08-0j 0.00296258-0j 5.55365e-08-0j -4.60481e-05-0j 0.000621674-0j 2.61721e-06-0j 0.00427113-0j -1.33434e-06-0j 0.0292969-0j -2.5527e-06-0j 4.09065e-10-0j 0.00274143-0j -6.28818e-05-0j -0.0285748-0j 3.96772e-08-0j 0.000444145-0j 1.92776e-08-0j -3.68021e-06-0j 6.13319e-05-0j -9.53295e-07-0j -0.0411961-0j -1.88024e-08-0j -2.36215e-06-0j 8.84217e-05-0j -0.0264418-0j 2.9225e-10-0j 5.67536e-05-0j -2.71073e-08-0j -1.73989e-08-0j 
8.72598e-06-0j 5.12413e-05-0j -4.99783e-05-0j -0.00281952-0j 4.25671e-06-0j -6.04496e-05-0j 0.00396469-0j 9.12624e-08-0j -5.9856e-06-0j -0.00602289-0j -0.000351335-0j -0.000121744-0j 3.06238e-07-0j -0.00430296-0j 0.00593531-0j -7.10171e-06-0j -0.000251006-0j 0.00743245-0j 6.19014e-09-0j 0.000346227-0j 2.18787e-07-0j 0.00043356-0j -3.01785e-07-0j -3.77909e-07-0j 1.60519e-05-0j -0.000775112-0j 3.14162e-07-0j -0.000314896-0j -3.19718e-05-0j 1.48052e-05-0j 1.97056e-08-0j -1.44403e-05-0j -1.51702e-05-0j 2.24448e-07-0j -6.16303e-06-0j -0.00071491-0j -2.08184e-05-0j -6.25739e-07-0j -0.000290439-0j 0.000697289-0j 3.8567e-10-0j -1.33623e-05-0j -2.94885e-05-0j 0.00028328-0j -1.08381e-05-0j -4.40308e-06-0j 1.81751e-08-0j 0.00100528-0j 2.87617e-05-0j -4.4705e-07-0j 0.000408402-0j -1.77271e-08-0j 0.000645238-0j 4.14655e-05-0j 0.000262134-0j 2.75536e-10-0j 2.66147e-05-0j -2.5557e-08-0j -1.64038e-08-0j 
-1.88923e-06-0j 0.00105729-0j -0.00103123-0j 0.000610445-0j -0.00409694-0j 1.30877e-05-0j -0.000858381-0j -8.78369e-05-0j 0.00576094-0j -4.50076e-06-0j -0.00724927-0j -9.09761e-08-0j -0.000903254-0j -3.2155e-06-0j 4.43532e-06-0j -0.000146533-0j -0.00517913-0j 5.5541e-06-0j -1.82579e-05-0j 0.00714387-0j -0.000645316-0j 0.00894586-0j 0.00089012-0j 0.00111465-0j 0.000672228-0j 5.52012e-05-0j 1.31566e-05-0j 6.8177e-05-0j 0.0307717-0j 0.000620017-0j -0.000117061-0j -0.000604735-0j 1.08038e-06-0j 9.39953e-06-0j 1.33434e-06-0j 5.09138e-05-0j -0.000871841-0j 0.000602253-0j 6.28818e-05-0j -4.96589e-05-0j -2.29108e-06-0j -0.000559592-0j 0.0283817-0j -6.13319e-05-0j 7.71859e-07-0j 9.53295e-07-0j -0.000107969-0j -7.15928e-05-0j -0.0276822-0j 0.00043027-0j -8.84217e-05-0j 0.000105308-0j -4.59519e-05-0j -0.0399091-0j -5.67536e-05-0j -1.63683e-06-0j -0.0256157-0j 0.000151822-0j 9.7447e-05-0j 
-1.25949e-06-0j 0.000704858-0j -0.000687485-0j -4.25671e-06-0j -0.00273129-0j -9.12624e-08-0j 5.9856e-06-0j -5.85579e-05-0j 0.00384063-0j 0.000869329-0j 5.05501e-05-0j 1.75722e-05-0j -0.000602169-0j 0.000621079-0j -0.000856689-0j 1.02179e-06-0j 3.61148e-05-0j -0.00107278-0j -1.21719e-05-0j -4.98151e-05-0j -0.000430211-0j -6.23806e-05-0j 0.000593414-0j 0.000743098-0j -2.31689e-06-0j -0.0106622-0j -4.53454e-08-0j -2.36467e-07-0j -0.000214575-0j -2.13694e-06-0j -7.80408e-05-0j 2.08427e-06-0j -0.000208676-0j -3.23963e-08-0j -4.62804e-09-0j -0.00983407-0j 3.00488e-06-0j -4.19959e-06-0j -2.18101e-07-0j 0.00959168-0j -1.52739e-06-0j 1.92868e-06-0j -0.000197909-0j 2.12725e-07-0j -0.000149086-0j -3.30643e-09-0j -7.19795e-05-0j 0.0138282-0j 0.000193031-0j -3.00033e-06-0j 3.06684e-07-0j 7.02054e-05-0j 0.00887568-0j 0.000278292-0j 1.96846e-07-0j -1.09122e-06-0j 0.000178622-0j 0.000101214-0j 6.49646e-05-0j 
1.11324e-07-0j -0.000125256-0j 0.000122169-0j 3.76244e-07-0j 0.00149005-0j 8.06653e-09-0j -5.29058e-07-0j 3.19462e-05-0j -0.00209525-0j 2.6521e-07-0j -8.98297e-06-0j 5.36082e-09-0j -0.0101441-0j 1.89475e-07-0j -2.61354e-07-0j -1.81577e-07-0j -6.41774e-06-0j -3.27278e-07-0j -0.000205048-0j 8.85235e-06-0j -0.0072473-0j 1.10853e-05-0j 0.00999661-0j 0.0125182-0j -3.96114e-05-0j -6.53965e-06-0j -7.7526e-07-0j 2.09009e-08-0j 0.000117061-0j -3.65348e-05-0j 0.0297812-0j 3.56343e-05-0j -1.27992e-07-0j -5.53872e-07-0j 4.09065e-10-0j -6.03173e-06-0j 5.13737e-05-0j 2.29108e-06-0j 1.92776e-08-0j 5.88306e-06-0j 0.000582866-0j 3.29743e-05-0j 0.000107969-0j -1.88024e-08-0j -9.14416e-08-0j 2.9225e-10-0j 0.0274681-0j 8.48155e-06-0j -0.000105308-0j 1.63683e-06-0j -2.71073e-08-0j -0.0267911-0j 5.4439e-06-0j -0.000151822-0j -1.73989e-08-0j 0.00041642-0j -9.7447e-05-0j -0.0386245-0j -0.0247912-0j 
-1.54255e-06-0j 0.000427106-0j -0.000416579-0j 0.00100207-0j 7.17136e-05-0j 2.14839e-05-0j -0.00140906-0j 1.53751e-06-0j -0.000100841-0j 0.000530516-0j -0.00588753-0j 1.07236e-05-0j 7.76594e-06-0j 0.000379019-0j -0.000522802-0j -0.000119007-0j -0.00420625-0j -0.000654675-0j 1.56977e-07-0j 0.00580192-0j 5.54826e-06-0j 0.00726542-0j -7.65302e-06-0j -9.58345e-06-0j -2.8376e-06-0j -0.00321921-0j -5.55365e-08-0j -0.005294-0j -0.0010829-0j -2.61721e-06-0j 6.67451e-07-0j 2.5527e-06-0j -6.30052e-05-0j -3.96772e-08-0j -0.000103612-0j -0.00296918-0j 3.68021e-06-0j -2.11942e-05-0j -0.00488282-0j 0.00289599-0j 1.30631e-08-0j 2.36215e-06-0j -0.000998794-0j 0.00476247-0j -4.50131e-05-0j -7.40242e-05-0j 6.1561e-07-0j 0.00417513-0j 0.000974176-0j -1.51418e-05-0j 0.00686602-0j -6.00437e-07-0j 0.00267981-0j 0.00140446-0j 0.00440696-0j 9.33272e-09-0j 0.000901455-0j -8.65645e-07-0j -5.55615e-07-0j 
-3.85638e-07-0j -2.26457e-06-0j 2.20875e-06-0j 0.000502336-0j -1.88122e-07-0j 1.07699e-05-0j -0.000706364-0j -4.03326e-09-0j 2.64529e-07-0j -9.18714e-07-0j 6.25951e-05-0j -1.85704e-08-0j -1.35339e-08-0j -6.56361e-07-0j 9.05356e-07-0j 1.26526e-06-0j 4.47201e-05-0j 1.13373e-06-0j -2.73568e-10-0j -6.16849e-05-0j -9.66911e-09-0j -7.72445e-05-0j 1.33372e-08-0j 1.67014e-08-0j -7.09401e-07-0j -1.18233e-07-0j -1.38841e-08-0j -0.00805256-0j 5.6962e-06-0j -6.54302e-07-0j -8.70872e-10-0j 6.38175e-07-0j -2.31402e-09-0j -9.9193e-09-0j -0.000157602-0j -1.0905e-07-0j 9.20052e-07-0j 1.11484e-07-0j -0.00742712-0j 1.06363e-07-0j -1.70444e-11-0j 5.90537e-07-0j 5.25378e-06-0j 0.00724406-0j -1.65322e-09-0j -0.000112596-0j -8.03232e-10-0j 1.53342e-07-0j -5.12429e-06-0j 7.96479e-08-0j 0.0104437-0j 7.83434e-10-0j 9.84228e-08-0j -7.38764e-06-0j 0.0067033-0j -1.21771e-11-0j -4.74177e-06-0j 1.12947e-09-0j 7.24952e-10-0j 
1.81791e-07-0j -0.00015314-0j 0.000149365-0j -5.87401e-05-0j 0.00120813-0j -1.25937e-06-0j 8.25978e-05-0j 2.59018e-05-0j -0.00169882-0j -6.25219e-05-0j 0.00105-0j -1.26378e-06-0j -0.00401002-0j -4.46678e-05-0j 6.16128e-05-0j 2.12242e-05-0j 0.000750158-0j 7.71542e-05-0j -8.10566e-05-0j -0.00103473-0j -0.0028649-0j -0.00129574-0j 0.00395172-0j 0.00494851-0j 3.34415e-07-0j 0.00115426-0j 6.54504e-09-0j -6.56034e-06-0j -0.00907413-0j 3.08441e-07-0j -0.00106593-0j -3.00839e-07-0j 2.25906e-05-0j 4.676e-09-0j -1.28396e-07-0j 0.00106461-0j -4.33717e-07-0j -0.000177596-0j -6.0508e-06-0j -0.00103837-0j -2.0862e-05-0j -2.78382e-07-0j -0.00836936-0j 5.90166e-06-0j 1.61395e-05-0j -9.17309e-08-0j -0.000983139-0j -0.001497-0j 0.00816307-0j -0.00012688-0j 8.50838e-06-0j 0.000958907-0j -0.000960853-0j 0.0117686-0j 5.46111e-06-0j -1.49045e-05-0j 0.00755371-0j 0.00138245-0j 0.000887326-0j 
1.11324e-07-0j -6.23012e-05-0j 6.07656e-05-0j -0.000108665-0j 0.000241415-0j -2.32974e-06-0j 0.0001528-0j 5.17584e-06-0j -0.000339467-0j 2.6521e-07-0j 0.00129044-0j 5.36082e-09-0j 5.32247e-05-0j 1.89475e-07-0j -2.61354e-07-0j 2.60843e-05-0j 0.000921934-0j -3.27278e-07-0j 1.07586e-06-0j -0.00127168-0j 3.80256e-05-0j -0.00159245-0j -5.24508e-05-0j -6.56812e-05-0j 2.04786e-07-0j -3.25276e-06-0j 4.008e-09-0j 0.00115826-0j -0.00547766-0j 1.88881e-07-0j 6.8979e-06-0j -1.84225e-07-0j -6.36618e-08-0j 2.86346e-09-0j 2.2669e-05-0j -3.00012e-06-0j -2.65596e-07-0j -0.000107207-0j 0.0010683-0j 2.92618e-06-0j 1.35003e-07-0j -1.70473e-07-0j -0.00505221-0j -0.00104197-0j -4.54822e-08-0j 1.61955e-05-0j 6.36215e-06-0j 4.21864e-06-0j 0.00492769-0j -7.65921e-05-0j -0.00150219-0j -6.20534e-06-0j 2.70774e-06-0j 0.0071042-0j -0.000964186-0j 9.64509e-08-0j 0.00455984-0j -8.94618e-06-0j -5.74212e-06-0j 
-8.2976e-09-0j 1.16822e-05-0j -1.13943e-05-0j -2.80436e-08-0j -0.00018575-0j -6.01244e-10-0j 3.94336e-08-0j -3.98242e-06-0j 0.000261194-0j 2.85372e-06-0j 8.37812e-07-0j 5.76836e-08-0j 0.00191029-0j 2.0388e-06-0j -2.81223e-06-0j 1.69351e-08-0j 5.98562e-07-0j -3.52159e-06-0j 3.86136e-05-0j -8.2563e-07-0j 0.00136478-0j -1.03389e-06-0j -0.00188251-0j -0.00235736-0j -1.52639e-08-0j -8.8052e-05-0j -2.98739e-10-0j -1.55786e-09-0j -1.45929e-05-0j -1.40783e-08-0j -0.0115905-0j 1.37313e-08-0j -1.72332e-06-0j -2.13429e-10-0j -3.04899e-11-0j -8.12131e-05-0j 1.97964e-08-0j -2.85606e-07-0j -1.43687e-09-0j 7.92114e-05-0j -0.000226845-0j 1.27063e-08-0j -1.34595e-05-0j 1.40145e-09-0j -1.2312e-06-0j -2.1783e-11-0j -0.0106903-0j 0.000114198-0j 1.31277e-05-0j -2.04047e-07-0j 2.02046e-09-0j 0.0104268-0j 7.32984e-05-0j 1.89261e-05-0j 1.29683e-09-0j -0.000162066-0j 1.21478e-05-0j 0.0150322-0j 0.00964843-0j 
-1.1362e-08-0j 1.27839e-05-0j -1.24688e-05-0j 7.38091e-06-0j -0.000152078-0j 1.58244e-07-0j -1.03787e-05-0j -3.2605e-06-0j 0.000213846-0j -2.70679e-08-0j -0.000176222-0j -5.47136e-10-0j 0.00103533-0j -1.93382e-08-0j 2.66743e-08-0j -3.56206e-06-0j -0.000125899-0j 3.34027e-08-0j 2.09276e-05-0j 0.00017366-0j 0.000739675-0j 0.000217464-0j -0.00102027-0j -0.00127763-0j -2.09009e-08-0j 6.67451e-07-0j -4.09065e-10-0j -3.8994e-05-0j 0.00229643-0j -1.92776e-08-0j -0.00303953-0j 1.88024e-08-0j 1.30631e-08-0j -2.9225e-10-0j -7.63176e-07-0j 6.1561e-07-0j 2.71073e-08-0j 4.49449e-05-0j -3.59654e-05-0j -6.00437e-07-0j -5.94886e-05-0j 1.73989e-08-0j 0.00211807-0j 3.50789e-05-0j 9.33272e-09-0j -5.4524e-07-0j -0.00280345-0j -8.65645e-07-0j -0.00206587-0j 3.21102e-05-0j 5.0573e-05-0j 0.00273435-0j -5.55615e-07-0j -0.00297834-0j 3.24603e-05-0j -4.25007e-05-0j -0.00191165-0j 0.0039421-0j 0.00253024-0j 
5.98828e-10-0j -1.01241e-06-0j 9.87461e-07-0j -1.93492e-07-0j 2.01501e-05-0j -4.1484e-09-0j 2.7208e-07-0j 4.32011e-07-0j -2.83342e-05-0j 1.4266e-09-0j 6.94161e-06-0j 2.88366e-11-0j -0.000277176-0j 1.01921e-09-0j -1.40586e-09-0j 1.40314e-07-0j 4.95932e-06-0j -1.76048e-09-0j -5.60269e-06-0j -6.84067e-06-0j -0.000198024-0j -8.56619e-06-0j 0.000273146-0j 0.000342045-0j 1.10158e-09-0j -5.28584e-08-0j 2.15596e-11-0j -2.161e-08-0j -0.000151346-0j 1.01602e-09-0j 0.00254508-0j -9.90975e-10-0j -1.03452e-09-0j 1.54029e-11-0j -4.22943e-10-0j -4.87529e-08-0j -1.42868e-09-0j -2.96208e-06-0j -1.99316e-08-0j 4.75513e-08-0j 4.98114e-05-0j -9.17e-10-0j -0.000139591-0j 1.94403e-08-0j -7.391e-10-0j -3.02165e-10-0j 0.00234741-0j 6.85543e-08-0j 0.00013615-0j -2.11621e-06-0j 2.80269e-08-0j -0.00228955-0j 4.40017e-08-0j 0.000196287-0j 1.79891e-08-0j 3.5587e-05-0j 0.000125987-0j -0.00330083-0j -0.00211864-0j 
-1.63344e-11-0j 3.68531e-08-0j -3.59448e-08-0j -5.52056e-11-0j -1.02844e-06-0j -1.18359e-12-0j 7.76277e-11-0j -2.20494e-08-0j 1.44615e-06-0j -3.89138e-11-0j 2.64299e-09-0j -7.86583e-13-0j 2.12806e-05-0j -2.78013e-11-0j 3.8348e-11-0j 5.3424e-11-0j 1.88824e-09-0j 4.8021e-11-0j 4.30155e-07-0j -2.60456e-09-0j 1.52036e-05-0j -3.26154e-09-0j -2.09712e-05-0j -2.6261e-05-0j -3.00479e-11-0j 1.92411e-09-0j -5.88087e-13-0j -3.06675e-12-0j -8.07963e-08-0j -2.77141e-11-0j -0.00032762-0j 2.7031e-11-0j 3.7658e-11-0j -4.2015e-13-0j -6.00214e-14-0j 1.77467e-09-0j 3.89704e-11-0j -1.58131e-09-0j -2.82856e-12-0j -1.73093e-09-0j -6.41206e-06-0j 2.50132e-11-0j -7.45209e-08-0j 2.75884e-12-0j 2.69042e-11-0j -4.28813e-14-0j -0.000302174-0j -2.49546e-09-0j 7.26841e-08-0j -1.12975e-09-0j 3.9774e-12-0j 0.000294726-0j -1.60171e-09-0j 1.04788e-07-0j 2.5529e-12-0j -4.581e-06-0j 6.72584e-08-0j 0.000424905-0j 0.000272726-0j 
