0.0338001-0.0362864j -0.25783-0.0427655j -0.175863-0.0282422j 0.198215+0.195586j -0.277924+0.11863j -0.105968+0.319842j 0.128145-0.290291j -0.232852-0.185278j 0.191541-0.123675j -0.218303+0.103497j -0.00692669+0.0772259j -0.0454232+0.0150697j -0.0810448-0.0280784j 0.100085+0.0209715j -0.195009-0.0189679j -0.0992617+0.0290303j 0.00600055+0.0236565j -0.047208-0.0154366j 0.0114554+0.0232061j -0.0821774+0.0128081j 0.124083-0.0359658j -0.0659261+0.0176185j -0.0651266-0.0161207j 0.0312401-0.0529061j 0.037993-0.0430408j 0.0174564-0.00642757j 0.0244264-0.0137524j 0.0431101-0.012923j -0.0716388+0.0256528j 0.0426258-0.00428143j 0.0540691+0.0214239j -0.0344463+0.00693135j -0.0544381+0.0286621j -0.0858767-0.00829129j 0.0524929+0.0828277j 0.0171428+0.0313619j -0.00517725-0.0625024j -0.0624859+0.010084j -0.00751788+0.130858j 0.240333+0.0526056j 
-0.00741656+0.00511442j 0.0266799-0.0283685j 0.026176+0.00570877j 0.024331+0.00709267j 0.00586129-0.00268921j -0.0200862+0.00671318j 0.0112399-0.0257712j -0.0368735+0.0198009j -0.00497792+0.025353j 0.00378957+0.0061067j 0.0136818-0.00763531j 0.0493893-0.0312463j 0.0118201-0.0187111j -0.0405826-0.0380207j -0.0126954+0.00375524j -0.00763018+0.0179091j -0.0027609-0.017332j -0.0280181-0.00169543j 0.0144257+0.000904387j -0.0195197+0.00174086j -0.0242275+0.00267419j -0.00630731-0.00685179j -0.0542389+0.0135241j -0.0302155-0.00474005j 0.00838437-0.00238694j 0.0201182+0.0189249j -0.00676218+0.00430002j 0.0205344-0.0677187j 0.026218+0.0734354j -0.0657482+0.00359642j -0.0200389-0.00553012j 0.0127615+0.0360321j -0.0162031+0.014692j -0.0105476+0.00625972j -0.0192663+0.0235412j -0.013038-0.0254666j 0.0159076-0.0326582j -0.0313823+0.00699743j -0.0350356+0.0345621j 0.0342083+0.0112037j 
-0.0186282-0.0134277j -0.000222808-0.0205195j 0.00630373-0.00618544j 0.00560673+0.0279332j 0.00571801+0.00188831j -0.0203448-0.00548943j 0.00459395+0.0146095j -0.004035-0.00201752j 0.00738725+0.0346176j 0.0262169-0.00137322j -0.0122768-0.0115816j 0.00286674+0.0347581j -0.0241165-0.0251036j 0.022037-0.008301j -0.0179566-0.00519716j 0.00598296+0.000335172j 0.0166968-0.0140948j 0.0350335+0.030636j -0.0188352-0.0291334j 0.0101192-0.020903j 0.0352559-0.00113522j 0.0219065+0.0843834j 0.0180212-0.0416985j -0.0136645-0.00548381j 0.0037309+0.0151625j 0.00155857-0.00627984j 0.00638818+0.0116842j -0.00762347-0.0249273j 0.0304353-0.0437399j -0.0023444-0.0688835j -0.026509-0.00922364j -0.00990982+0.00971375j -0.0101416-0.0208001j 0.0193993-0.0053963j -0.0185411-0.00156614j 0.00741192+0.0145311j 0.0168092-0.0150737j 0.00396897+0.0109244j 0.00378196+0.0100994j 0.00360847+0.00887527j 
-0.0187925+0.0188671j 0.00271292-0.00635088j 0.00743782+0.0425057j -0.00163314+0.00196327j -0.0142957-0.0148534j -0.000726063-0.00287687j 0.000485404+0.0034324j -0.00762786-0.0145793j -0.0415008-0.0215144j -0.0265664-0.0162031j -0.00287717+0.0242114j 0.0254436-0.00512393j 0.000719335-0.0154317j -0.0126196+0.0123456j 0.0141535+0.0169067j -0.0291989-0.0187023j 0.0165277+0.0210628j -0.0164345-0.00963044j -0.0133564+0.0117914j 0.0137623+0.0219151j -0.0307475+0.0519731j -0.0182971-0.00831147j -0.0533772+0.0683201j -0.0114181-0.0324577j -0.000765656+0.0363459j 0.0129971+0.0103941j -0.0078565-0.0221385j -0.000787716+0.00109145j 0.0638594-0.0173572j -0.0302742-0.0292494j -0.021952-0.0200438j 0.0319617+0.0050641j 0.0205593-0.0370169j -0.0154374-0.0111544j -0.0238772-0.00202348j -0.00129235+0.0284314j -0.00728883-0.0105623j -0.0171383+0.0125069j 0.0144646+0.0106234j -0.0134061-0.0222195j 
0.0111425+0.0188653j 0.0039138-0.00149164j -0.0015026-0.0114333j -0.004801+0.0167992j -0.0279797+0.014876j -0.00626928-0.00739174j 0.0170899+0.0224511j -0.0133961-0.033632j -0.0211623+0.0148565j -0.0272252+0.0353411j 0.0285817-0.0270675j -0.01735-0.0245278j -0.0226647-0.00788791j 0.00336074+0.016286j 0.0245213+0.0183063j 0.00836414+0.00825155j -0.000538838-0.00428746j 0.0481527+0.00261322j -0.00818514+0.00349526j -0.0312092-0.0357932j -0.00650174+0.0134063j 0.0536432+0.10335j -0.00558629-0.026028j 0.0223986+0.0136178j 0.0307286+0.0445249j 0.000829267-0.00666591j 0.00645707+0.00248478j 0.0109509-0.012938j 0.0551913-0.0306976j -0.0350953-0.0283579j -0.0273541-0.0178654j 0.022129-0.0101871j 0.0309461-0.0158917j -0.00556553-0.00882405j -0.0120073-0.00517455j -0.00642671+0.0252966j -0.0146749+0.00604814j -0.00603586+0.00357734j 0.0130418-0.00176755j -0.0286073-0.0240036j 
0.0125227-0.00138752j -0.0231036-0.00526084j -0.0359725-0.033597j 0.019824-0.00180755j 0.00142614-0.0202363j -0.0042391+0.0109542j 0.0298179+0.022056j 0.0690852+0.0306628j 0.0212163-0.0453795j -0.0219915-0.0270352j -0.0111793+0.0192283j 0.00436982-0.0162363j -0.0114915+0.0349152j -0.000782969+0.022753j 0.0412233+1.90654e-05j 0.0518426+0.0396682j 0.0466454-0.00883496j -0.0407265-0.0357458j -0.0127406+0.00266261j 0.0234771-0.0622969j -0.027693-0.0271732j -0.00749978+0.0200782j 0.0092433+0.0283893j 0.0432845-0.0222367j -0.0878079+0.0447524j 0.00766529+0.00724105j -0.0200655+0.00966835j 0.0449476-0.0327893j 0.0684891-0.0505912j 0.00834961-0.0188022j 0.0391797-0.0303933j -0.019057-0.0227327j -0.00559481-0.0345716j 0.0631724+0.0276431j 0.011635-0.00172753j 0.0181417-0.0140898j -0.0343425-0.00144012j 0.0425933-0.0167427j 0.019736-0.0596598j -0.0650407-0.0479677j 
0.00573628-0.0290749j 0.0196124-0.00346863j 0.0228897+0.0334456j -0.0388337+0.0207171j 0.0166459-0.0253799j -0.000446141-0.0341599j -0.0129175-0.00136695j 0.00888252-0.0200834j -0.016187+0.0140335j -0.0279851+0.0122836j 0.0246537-0.00543948j -0.0234482-0.0114634j 0.0157493+0.0278513j -0.0112702+0.0042211j 0.0230685-0.00108366j 0.00394153-0.0164149j -0.00133178-0.00739812j -0.016121-0.00369485j 0.0588625-0.0217203j -0.0506645+0.0287421j 0.0214422-0.00807093j -0.0254943+0.00293327j 0.0141217+0.00374961j 0.0901537+0.00379936j 0.0758665-0.0298777j 0.00149447-0.0191605j -8.15208e-06+0.0272645j 0.00973381+0.0189671j -0.0468884+0.0249584j 0.0222724+0.0423224j -0.0126663-0.0082912j -0.0222075-0.0114353j 0.0248452+0.0238418j -0.0224473+0.00501497j 0.0076052-0.0381968j 0.0113719+0.00286363j 0.0183099+0.0257161j 0.0165506-0.0033486j -0.0135394-0.00646799j 0.0145665+0.0303045j 
0.000786148+0.00889491j 0.0556754-0.00460643j 0.0648765+0.0454708j 0.0106696+0.0321649j -0.0224349+0.00606022j -0.01735-0.00326108j -0.0336957+0.044264j -0.0583987-0.0687403j -0.0369791+0.0343402j -0.0181582+0.0263083j -0.024415+0.00750148j 0.00727267+0.0180092j 0.00535348+0.0209617j -0.00492947-0.0115635j 0.00976436-0.00980446j -0.0164902+0.0386916j -0.0543979-0.0116613j -0.101208+0.0549351j -0.0535261-0.0213959j -0.0695096-0.0149502j -0.0293837+0.0112573j 0.00951952-0.084904j -0.0335312+0.0416895j -0.0157943+0.0396636j 0.027044-0.0120424j 0.00572978-0.00191879j -0.01261-0.00955845j -0.005279+0.0180938j 0.0223727+0.0274615j 0.0202268+0.0432675j 0.00117624+0.000374906j 0.00725645-0.0202917j 0.0235318+0.00382883j 0.00442588+0.00312797j 0.00170296-0.00956569j -0.0034964+0.00688726j 0.00298932+0.0173725j -0.0184667+0.00940261j 0.0127604+0.00393218j -0.00287075-0.0103369j 
0.019078-0.00895188j -0.0134691+0.0325582j 0.00715005+0.0400391j -0.0565707-0.0216682j 0.00728543+0.0373167j -0.0138941+0.0252564j -0.0458549-0.0413141j -0.0324598+0.00668051j 0.0219693+0.0701993j 0.044947-0.0427397j -0.0040738-0.0174713j 0.0135823+0.000836753j -0.0508183-0.00640419j 0.00599439-0.00673603j 0.00660918+0.0178415j -0.032197+0.0318583j -0.0728378-0.00719824j 0.0363778-1.91291e-05j 0.00963168+0.0158693j 0.0163856-0.016707j 0.00843209+0.0787881j 0.0427317-0.00616845j -0.0207643-0.030251j -0.0251145+0.0731119j 0.00430309-0.0329031j 0.00704079+0.0183317j -0.0201247-0.018253j -0.0171623+0.0136803j 0.0690508-0.0337017j 0.0111422-0.0204241j -0.031461+0.032124j 0.00800932-0.0177807j 0.0329589-0.00568514j 0.0167163-0.00189934j -0.0166198+0.0109159j -0.00326816+0.0239709j -0.00363061+0.00102786j -0.00182479+0.0231989j 0.0325017-0.000315584j -0.0283438-0.0417274j 
-0.0114889-0.0206719j 0.0524081+0.0713957j 0.0630245+0.0199012j -0.0821093+0.0819809j 0.0416817+0.0121033j 0.0236961+0.00245626j -0.110743+0.0123931j -0.0168241+0.00470217j 0.0753419+0.0239075j -0.0420861-0.0329659j 0.0231392-0.0333466j -0.0194631-0.0179643j 0.0104186+0.0269308j -0.0340464-0.00436478j 0.0473172+0.0287941j -0.0789651+0.0227068j 0.0291351+0.0103869j 0.0180773-0.0640477j 0.0222091-0.0254615j 0.0155958+0.0194073j 0.0714642+0.0432255j -0.0394258+0.00430114j 0.00242842+0.0177468j -0.0170532+0.0408467j 0.00871998-0.0269838j 0.00658303-0.0416501j 0.0153545+0.0519649j -0.0236867-0.00223847j 0.0154144-0.00777892j -0.0304561-0.0426795j -0.0247139+0.00838813j -0.00251258-0.00309472j 0.00270454+0.0250389j 0.0204621-0.00606837j 0.00486199-0.00599525j -0.000377116-0.00423814j -0.0283424-0.0281632j 0.0281098-0.0268918j -0.0207295-0.0536658j -0.035416-0.0343912j 
0.0151407-0.00488183j -0.0734946+0.0487977j -0.114648+0.0605879j -0.0616147-0.0503878j -0.0201471+0.00495666j 0.0089767+0.00191775j -0.0127408-0.0898563j 0.0877712-0.0255789j -0.0444442-0.0153871j -0.0151862-0.0364838j 0.0360764-0.0261791j -0.0326044-0.0217854j -0.0502202-0.0457078j 0.0524371+0.0277609j -0.00508186-0.00651317j -0.00263513-0.0825679j 0.0876054-0.0358609j -0.00907932-0.0871776j 0.0112705+0.0306194j 0.0260044-0.0203379j -0.0537436-0.00721637j -0.0312981+0.0200958j 0.0344812+0.0394821j 0.0121223-0.0149733j -0.0239998+0.0105348j 0.00202554-0.021326j 0.00410723+0.0110861j 0.0219371+0.0081839j 0.0420947-0.00259934j 0.0302285+0.0318586j 0.000140537+0.0161353j 0.00904305-0.0519197j 0.0463937-0.0303272j 0.00376767+0.0236029j -0.0116541-0.0106058j 0.00869055+0.0637478j 0.0087828+0.0338487j -0.00371297+0.0500773j 0.0352739+0.0328671j -0.00644218-0.00974673j 
