0.208559-0.554601j 0.624183+0.231899j -0.188316+0.329476j -0.173843-0.203079j -0.0160017+0.1061j 0.0959642-0.00382172j 0.00273477-0.0270305j 0.0122577+0.0534733j 0.058065-0.0761464j -0.0583568-0.0612747j -0.00343782+0.0131703j 0.00239543+0.0668033j -0.0101511-0.00739509j 0.0412951-0.0331664j 0.00104132-0.00878382j -0.0279373+0.00136714j -0.0173762-0.0301567j -0.00355263-0.00325779j -0.00485172-0.00138502j 0.00824107+0.0339286j -0.05619+0.0193338j 0.0134485-0.00889577j -0.0157226-0.0460641j -0.0142877-0.039582j 0.00133635-0.00172636j 0.000774505+0.0361333j -0.023378-0.00509965j -0.0243304+0.0306032j 0.029152-0.0196254j -0.00510314-0.0123676j -0.0198953+0.00991941j -0.00178795-0.00587293j 0.00121596-0.0154948j -0.0271446-0.00256023j 0.0256743+0.029734j -0.00571275+0.0266207j 
0.00531157+0.0179102j 0.00150608-0.0162916j 0.036393+0.0167888j 0.0523597-0.0311487j 0.0138664-0.0110038j 0.0315543+0.033454j -0.0311923+0.030785j 0.0246224+0.00982801j -0.0127931+0.0464371j -0.0209749-0.00501121j -0.0181514-0.016864j 0.0266889-0.0205036j 0.00545742-0.00253533j 0.0213756+0.0128128j -0.0129812+0.0324577j 0.0356246+0.0126616j -0.0354556+0.0804448j -0.0010848-0.0341258j -0.0155315-0.0164821j 0.0185583-0.00208385j -0.0329727+0.0481257j 0.0445749+0.00992574j 0.0111623-0.00298264j 0.0558855-0.0245531j 0.00393875-0.0231026j 0.00787547+0.0108032j 0.00733168+0.0695171j -0.0015227+0.0437801j 0.0163695+0.040546j 0.0631442-0.011215j 0.0109991+0.0222795j 0.0105209+0.0213326j 0.0297949-0.0329206j 0.0359082-0.0175868j -0.0105249-0.0134411j -0.00651785+0.0117872j 
0.016948-0.0174822j 0.00232568-0.0294037j -0.00279453-0.00596697j -0.00834517-0.000630608j -0.0061942-0.00826436j -0.0180273-0.0164985j 0.0185033-0.0134217j 0.0272125-0.0156553j -0.0185388-0.0129154j 0.0141719+0.0135044j -0.0449283+0.0232183j -0.0467944+0.0116206j -0.0132538+0.0120284j 0.0299635-0.0116553j 0.00748119-0.0192235j -0.0117029-0.00343349j 0.0307344-0.0211063j 0.0218312+0.0211212j 0.0243058-0.00786689j -0.0145564+0.0144694j 0.0117776+0.00774071j 0.00830112+0.00571048j 0.00728974-0.00769743j -0.0241825-0.0157004j -0.0112829+0.0247186j -0.0104216-0.0260295j 0.00147459-0.0366308j 0.00957544-0.00518778j 0.00551968-0.0126429j 0.00385043+0.00149938j 0.016016+0.0118198j 0.00766325-0.00189777j 0.00837524+0.0203016j -0.00922457-0.00203861j 0.0173934+0.00354892j -0.0029442+0.0155093j 
0.00570142+0.00108181j -0.00832016+2.23357e-05j -0.0247237+0.0109454j -0.0019891+0.0367511j -0.0238508-0.0422044j -0.0132449+0.00723128j 0.0203188-0.01081j 0.0107063+0.00301799j 0.0155788-0.0334871j 0.0293678+0.0108578j 0.028198-0.0113306j -0.0131513+0.00308228j 0.00859959+0.00713293j -0.0148715-0.0180082j -6.40254e-05-0.02841j -0.00755902-0.00296883j 0.0174313-0.0199929j 0.0142075+0.0168716j -0.00817578+0.0251413j 0.00670309+0.0399742j 0.0182968+0.032567j 0.0242418-0.0402553j 0.0764717-0.0369248j -0.022426-0.0456073j 0.0150841+0.0319426j -0.00136135-0.0424508j -0.0199642-0.0247997j 0.02047-0.000395414j -0.0209732-0.008528j -0.0208381+0.00874575j 0.015261-0.00988497j 0.0343906-0.0104473j 0.00428123+0.00324032j -0.0340581+0.00443868j 0.00564448-0.00277744j -0.00413319-0.00103426j 
-0.0350906+0.0205197j -0.0155585+0.00803016j -0.0108518+0.0298461j 0.0426476+0.0400452j -0.00079652+0.02332j 0.0180322-0.00965319j -0.0160035-0.017836j -0.0122869+0.0153611j 0.014468-0.00853051j -0.0309375-0.0236583j 0.0147652-0.0380484j 0.0107462-0.0290108j -0.0133283+0.00767363j -0.00766293+0.0304413j 0.0337744+0.00637774j -0.00794052+0.0103969j -0.0120468-0.0143648j -0.000372992+0.0249733j 0.0247359+0.024105j 0.00190473+0.020248j -0.0108073+0.0224285j 0.00245162+0.0384904j 0.0340005-0.011097j 0.045267+0.0115348j 0.0163929-0.00325802j 0.0204705-0.029252j 0.0243853-0.00771994j -0.00411086-0.0193998j -0.000950859-0.0373782j -0.0188019-0.0162656j -0.0445483+0.00817737j -0.0184633+0.0138337j -0.00155762+0.00021497j -0.0180883-0.0356363j -0.0352581+0.0142075j -0.00930763+0.00758756j 
0.0187612-0.00239724j -0.0224671+0.00284495j 0.00344163+0.000627545j -0.027526-0.0402922j -0.0142142-0.00474091j 0.00239311-0.0296136j 0.0277432+0.00417921j -0.0167841-0.0137276j 0.0288871+0.00273932j -0.000873109+0.05011j 0.00872631+0.0390888j -0.00335724+0.00961699j 0.0233985-0.00238939j -0.00633165-0.014277j -0.010665-0.00953653j -0.00310956-0.00330257j -0.0425244-0.0204032j -0.0213264+0.0113933j -0.0022939-0.0175828j 0.00522769+0.00474511j -0.02482+0.00127722j -0.0042768+0.0467128j 0.0440367+0.0316247j -0.0441857+0.00223864j 0.0340143-0.0331791j -0.000556546+0.0393265j -0.0288399+0.00805361j 0.00617103+0.0379099j -0.0115728+0.0184802j 0.00576063-0.0208998j 0.0454213+0.00174571j -0.00466214+0.0165875j 0.00331444-0.00706699j 0.00445148+0.0113776j 0.0436951+0.00485857j 0.0167482-0.000880644j 
-0.002248-0.00840612j -7.12525e-05+0.00813903j 0.00613112-0.0266645j -0.00786825-0.0156578j -0.00604438+0.0154022j -0.0246121-0.000555001j 0.0171841-0.030176j 0.0138745-0.0142016j 0.0299638+0.032067j -0.022583+0.0147255j 0.0485621+0.0153422j 0.0209434+0.0173716j 0.0122471+0.0281389j -0.0149066+0.00333018j 0.0121497-0.0345672j -0.0188105+0.00630032j -0.00948741-0.0373734j 0.0217712+0.0119382j 0.00179349+0.00358998j -0.0223343-0.0040096j -0.00622966+0.0216465j 0.00133003+0.0324202j 0.0230594-0.0229976j -0.0183091+0.00223649j -0.0156441+0.00202792j -0.0239207-0.0207884j -0.020956-0.00565799j 0.000649933-0.020404j 0.00190126-0.0292921j -0.0183799+0.000594815j 0.031641+0.00616629j 0.028202-0.00518414j -0.00166588+0.0261935j 0.0120668-0.00102535j 0.00805971+0.00637323j -0.00163698+0.00233348j 
-0.025393+0.0246864j -0.00144771+0.00942464j -0.0223106+0.000158713j 0.011987+0.00432884j -0.00859387+0.00994927j -0.0036699-0.00757175j 0.0176027-0.0234573j -0.0260463-0.0283822j 0.0384829-0.0602399j 0.00147453+0.0406817j -0.00439671-0.0157169j -0.07365+0.0376359j -0.0115032-0.0381629j -0.0384457+0.00982981j 0.0411722-0.00631931j 0.00854479-0.00337317j 0.0148276-0.0487265j 0.00515185+0.0206983j 0.0330764+0.00951517j -0.0436104+0.0151441j -0.000551142-0.0259702j -0.0398565+0.0644376j -0.0109131+0.0171969j 0.00418099-0.016843j -0.00444082+0.0476052j 0.00780796+0.0218459j -0.00271312-0.015378j 0.0235294-0.0173745j 0.0109344-0.005677j 0.012566+0.00671406j -0.0064874+0.0238967j -0.026364+0.020907j -0.00461175+0.0166375j 0.0277941-0.0092054j 0.0245283-0.0109974j 0.0290639+0.00619912j 
4.74949e-05+0.0350451j 0.00465539-0.000522648j -0.0311507+0.0560995j 0.0372017+0.0163977j 0.0156544-0.0308655j -0.0316301+0.0584311j -0.0415476+0.000662821j -0.0590102+0.0324272j -0.0306828-0.0242878j -0.0223567-0.0553985j 0.0323411+0.0440475j 0.00710373-0.0252944j -0.0183778+0.00285208j -0.00378635+0.021861j -0.00979005+0.0494913j -0.0216569+0.00368333j -0.0542257-0.0797381j 0.00347461-0.0251741j 0.0423293-0.0543802j -0.01778+0.0640197j 0.0188814-0.0381164j -0.0011679-0.044171j 0.00718139+0.0561113j -0.0347629-0.0136386j 0.00853594-0.0343762j 0.0736994+0.00608589j 0.0220235+0.00344844j -0.01263+0.037445j 0.0329363-0.0149082j 0.0107621-0.0107478j -0.042225+0.0194026j 0.00339332-0.0176327j -0.0352272-0.00551373j 0.0223554-0.0196989j -0.00125671+0.00826313j -0.0338253+0.00343489j 
-0.00252833+0.0373546j 0.0257497-0.0264678j 0.0833408+0.00327408j 0.0533218-0.0843201j 0.0363545-0.0554178j 0.038975-0.0799947j 0.0461612+0.0107175j -0.0796839-0.01215j 0.0313036-0.0352103j -0.00350937+0.0265298j 0.0195724+0.0177334j 0.00361752+0.0238158j 0.000697521-0.0392764j -0.00807889-0.0167731j -0.00403715-0.0657856j 0.0634883-0.0657404j 0.0505186-0.0352092j -0.0532271+0.0495229j 0.0553614+0.0056205j -0.0367861+0.000192684j 0.0192208+0.0125731j -0.0197252+0.0560178j -0.000857732-0.0238648j 0.0205432-0.0313118j -0.000139473-0.0269835j -0.00830713-0.0120818j -0.0118867-0.00853061j 0.0389562-0.0174549j 0.0162204+0.00643577j -0.0295766-0.026876j -0.0199535+0.00233084j -0.0119626+0.0078182j 0.0237292+0.00623585j 0.0293637+0.00779949j -0.0428152-0.0165859j 0.0751052-0.00314449j 
0.0817139-0.0442514j -0.0176792-0.00994393j 0.073548-0.0816835j -0.0658672-0.0556879j 0.00223497-0.0380246j 0.0320245-0.0848623j 0.0752017-0.0201061j 0.00242635+0.0652106j -0.0263539+0.0105087j 0.0261602+0.00380963j 0.0067012+0.0124717j 0.0376285-0.0208793j -0.012451+0.0210248j 0.0418062-0.0283055j -0.0232254-0.0550702j 0.0291156-0.0332932j -0.0231503+0.0201134j -0.092323+0.0360728j 0.0161589-0.0666023j 0.0331576-0.0135004j 0.00313917+0.000361531j 0.0227157+0.0109765j -0.0109522-0.00165233j -0.00716923-0.00228325j 0.0181382-0.00744459j 0.0281838-0.0324828j 0.0133743-0.0161553j -0.0613625+0.00935535j -0.0213257-0.0399194j 0.030584-0.00346725j -0.031366-0.0100106j -0.0119377-0.0307722j 0.0280476+0.0132833j -0.0151761-0.00628426j -0.0579304+0.014685j -0.0238749+0.00355418j 
0.000139475-0.0587688j -0.024203+0.0204531j -0.0412721-0.0741195j -0.0934815+0.071054j -0.0439899+0.0386295j -0.0540794-0.00397333j 0.039359-0.0775368j 0.0545275-0.00212916j 0.0183625-0.00882428j 0.0449349+0.0070018j 0.0246561-0.0579346j -0.0190899+0.0319364j -0.0100851+0.0370839j -0.0350908-0.00356711j -0.016355-0.0247098j -0.0524321-0.00406494j 0.0519014-0.00868975j -0.0535517+0.0712506j -0.0332657+0.00373055j -0.0270591-0.00532833j 0.0152121-0.00189829j -0.0132192-0.0141163j 0.0413704-0.00361078j -0.0554412+0.0129188j -0.0141568+0.04128j 0.057225-0.0221071j 0.0263702-0.0211795j 0.0400776-0.00482252j 0.0368247-0.0124627j 0.01906-0.011802j 0.0145023-0.0460349j -0.0104758-0.00439297j -0.0613355+0.00385352j -0.024574+0.0388598j 0.0249689+0.0166828j -0.0575288+0.00808444j 
