-0.00429453-0.0163855j 0.0129642-0.0129027j 0.0603407-0.0059433j 0.0208505+0.000280586j 0.0325398+0.00191922j 0.0428719+0.0383799j 0.00677242+0.0224299j 0.0336366+0.025653j 0.0199358+0.030618j -0.0051045-0.0181035j 0.000922936+0.0354562j 0.00232816+0.0360474j -0.0199684+0.0177361j -0.011177+0.0234883j -0.0164307+0.00827057j 0.0108242+0.0186565j 0.00117461-0.00118189j 0.000883899+0.0172604j 0.0080433+0.0162795j 0.0143159+0.00459226j 0.000131474-0.00811887j -0.006171+0.023176j -0.00715918-0.000562864j -0.000161161+0.00976801j -0.00465933-0.0166901j 0.0123824+0.00581905j -0.000443577-0.0145957j -0.00859389+0.0204593j -0.0200996-0.000410545j -0.00576693+0.0211363j 0.0114505+0.00298955j -0.0168079-0.00148571j 0.00169008-0.00360627j 0.00939953-0.00373747j 
0.0394623+0.0106995j 0.0188566+0.0338404j 0.237029-0.137885j -0.247453+0.179003j -0.0342588+0.0193436j 0.0389531-0.00624058j -0.0482688+0.0275945j 0.0634181-0.00897267j -0.0258075-0.0206333j -0.0115479+0.00378075j 0.00843005-0.0128148j 0.00280498+0.0057818j 0.0263576-0.0148171j 0.0127069+0.0331375j -0.0196859-0.011407j 0.0101899+0.0470972j -0.0300141-0.0554398j 0.0156984-0.00921688j -0.016605+0.0155733j 0.0149935-0.0125762j 0.0444072+0.0362356j 0.0271452-0.00279043j 0.00763759-0.00958063j 0.0129909-0.0240749j 0.0146036+0.0232784j 0.0255513-0.0149175j -0.03088+0.0037741j -0.0131861-0.0319754j -0.00590963-0.0151128j -0.000144481+0.0165917j 0.00373983-0.0174162j 0.00823373+0.0154977j -0.0017703+0.0106301j -0.00550553+0.00406192j 
0.126949+0.0382562j -0.153726+0.115196j -0.169985+0.234267j -0.103916+0.222445j 0.187091+0.0251148j -0.00789471-0.0240011j -0.00271265-0.12252j -0.0195366+0.0798572j -0.00860343+0.0376519j -0.0506653+0.0335758j -0.00983207+0.00937648j 0.0474378-0.0172076j -0.0168806+0.00202414j -0.0487055+0.0331634j 0.0384379-0.0395472j 0.0176797+0.0114484j -0.0145988-0.0133755j 0.00915661+0.0212418j 0.00327088+0.0104485j 0.0324682+0.00793477j 0.0144713+0.00824353j -0.0122784-0.00710558j -0.0248414-0.000899164j -0.0296847-0.00731364j -0.00909158+0.00953189j 0.0251006-0.0041952j 4.39128e-05-0.0221221j 0.0203852+0.00688393j -0.00608923+0.0306318j 0.0240145+0.0106297j 0.0246454+0.0235752j 0.00899506+0.0164917j -0.0189591+0.0210098j -0.0216568-0.0213575j 
-0.053668+0.0950391j -0.0245864+0.0149724j -0.0637278-0.186278j 0.234073+0.117936j 0.078946+0.0535704j -0.0733126+0.0832954j -0.0251631-0.0948042j -0.00783667-0.0871205j 0.00889934+0.0504002j 0.0438038+0.0283272j 0.00384369+0.0134725j 0.0258979-0.0173078j 0.0135454+0.0297258j -0.0392378-0.00327013j 0.0204501-0.0233888j -0.0318078-0.000798083j 0.0134886+0.00365468j -0.0124568-0.0425999j -0.0252191+0.00101193j 0.0376361+0.0203266j -0.0464578-0.0227945j 0.029669-0.0246073j -0.005386+0.0165256j -0.00556171+0.0161833j -0.00856225-0.00942282j -0.00618203+0.014139j -0.0323563-0.00493961j -0.0247042+0.0133426j -0.00257296-0.0106602j -0.0015875-0.0195224j 0.0127766-0.017825j 0.00509534+0.0225753j 0.00143273+0.0234162j 0.0136946+0.00200675j 
0.0464434+0.0308195j 0.068699-0.102614j 0.0707618+0.0350588j 0.192319-0.103079j 0.0409502+0.123076j 0.011923-0.108804j -0.0407226+0.0270899j 0.0135551+0.0769485j 0.0234394+0.0823617j -0.0149446+0.00828514j -0.000196341-0.0204742j -0.0138887-0.0602895j 0.00397222+0.0219574j 0.000159161-0.00128472j 0.00306413+0.0409321j 0.0735374+0.0106284j -0.0206939-0.0388313j -0.0452411+0.0251051j 0.00977274-0.00183087j -0.00369124+0.0493825j -0.0126739+0.00617542j 0.0201419+0.0266563j -0.0145724-0.0143874j -0.0300616+0.0233044j 0.00671259+0.0399387j -0.00409942-0.000545874j -0.000561424-0.0139794j 0.00808798-0.025264j 0.0091531+0.0190898j 0.00691038+0.0148861j 0.00914569+0.00330788j 0.00233517-0.0134864j 0.00167254-0.00978819j -0.0318444-0.0115306j 
0.0357082+0.0632585j -0.109447+0.083314j -0.0376232+0.220156j -0.140617-0.145333j 0.0666845-0.0828686j -0.020753+0.0646308j 0.0282524-0.063382j 0.0114222+0.0683683j 0.0320612-0.0254461j -0.0424083+0.0220011j -0.0367904+0.0236715j -0.0182957-0.0173749j 0.00363563+0.0105668j -0.0213736-0.0138124j 0.0319157+0.0131712j 0.0361391+0.0641799j -0.00339833-0.0199516j -0.000350423-0.0479151j -0.0409468+0.0371162j -0.00686779-0.0102766j -0.00736898-0.0293439j 0.0117235+0.0248526j 0.000752452-0.0178118j 0.0374641-0.00494614j 0.0178669-0.000208443j 0.0316502+0.00287768j -0.00871747+0.0363243j -0.000264283+0.0125985j 0.00651424+0.00341763j 0.0103542-0.0048211j 0.0108586+0.00530834j -0.000928545+0.0153443j -0.010533+0.0130953j -0.00492147-0.00807135j 
-0.0776353+0.0371404j 0.166608-0.0350039j 0.276691+0.127912j 0.0227249-0.108721j -0.145818+0.165848j 0.0423357-0.0546562j 0.0229955-0.077355j -0.0201638+0.121155j -0.00196156-0.010723j -0.0537939+0.000276331j 0.0344063-0.0364039j -0.0056829+0.0300024j -0.0445964+0.0240217j 0.0233214+0.0169148j -0.0204044-0.0232996j -0.0154678-0.0192479j 0.0235448+0.017133j 0.0439266+0.0161747j -0.0252159+0.0449047j -0.0133073-0.0253154j -0.0306089+0.0143515j 0.0152202-0.0114825j -0.0106733-0.000778565j 0.00914848+0.00195336j 0.00926203-0.00354958j 0.0094971-0.00173239j -0.000334687+0.00076815j 0.0025824+0.0238512j 0.0287188+0.0201223j 0.00515+0.0151766j 0.0192983+0.0226797j -0.00470134-0.00241242j -0.00905018+0.0001197j -0.0112303-0.0254482j 
0.0442716-0.231352j 0.166551+0.0766111j 0.0373641+0.157343j 0.0228256+0.0998964j -0.0474142-0.20293j 0.104796-0.0346143j -0.0832027+0.0718896j -0.0397445-0.0379487j 0.0149937-0.0384665j -0.00458858+0.0057624j -0.0342057+0.0496009j 0.0321486-0.00341815j 0.0642156-0.0380082j 0.0222034+0.00245067j -0.0566213-0.0123611j -0.00759794-0.0565357j -0.0430665+0.0571394j -0.0115147+0.0107402j -0.0124565-0.00946621j -0.00903715-0.0243187j -0.0190901-0.0120198j 0.0208918+0.0280088j 0.00494142+0.0141343j 0.00825716+0.0130406j -0.0247896-0.00870218j -0.00587036-0.0325171j 0.00618502+0.00136948j -0.0160627-0.0236923j -0.0145035+0.00668011j -0.0262706-0.0236935j -0.0168488-0.0074541j 0.0147581-0.0371034j 0.0200125-0.0187749j 0.00351228+0.0181158j 
-0.0562638+0.0255231j -0.01041+0.273962j -0.0341955+0.0660878j 0.0321815+0.0888791j -0.00332927-0.115944j -0.0671088+0.203058j 0.0914291-0.135119j 0.0899237-0.097925j -0.0159626-0.0334282j 0.0217394-0.0200228j -0.0566715+0.0249781j -0.010866+0.0158945j -0.0306514+0.0023923j 0.0153447+0.0558557j 0.0346761-0.0676108j -0.0176211-0.00393832j -0.0213926-0.0237115j -0.0228632+0.00764643j 0.0355724-0.0180267j -0.0306629-0.0342653j -0.0150678-0.003395j 0.0144868+0.00374853j 0.0157007+0.0131869j 0.00781662+0.00272814j -0.00536506-0.0144164j -0.0190854-0.00430049j -0.00649977-0.0111158j 0.00277312+0.00570411j 0.00582625+0.00834254j -0.00783767-0.0232143j -0.00299269-0.00459185j 0.00573748+0.0303233j 0.0126157+0.0399257j 0.00965122+0.0263957j 
-0.0321211-0.216383j -0.162821+0.0391098j -0.0717071+0.095464j -0.0514536+0.0662191j 0.103361-0.0607672j -0.0551469-0.154699j -0.0271454+0.199836j -0.001453+0.0731574j -0.0195156-0.0264858j -0.0167488-0.0108956j -0.0252415-0.0191651j 0.0247696+0.00783046j 0.0167471-0.0159653j -0.0306463+0.0272537j 0.00232863-0.001362j 0.00704645-0.0697012j 0.0827414-9.19931e-05j -0.00291314+0.0291124j -0.0155664-0.00535455j -0.0167413-0.00634859j 0.00351573-0.00503085j 0.0260968+0.0146758j -0.0098868+0.00256505j -0.000241599+0.00037939j 0.0175193+0.0014418j -0.010592-0.0144847j 0.00612388+0.0107078j -0.00942491-0.0194695j 0.00652395+0.00610723j 0.0139735+0.00680787j 0.0103978-0.00776668j -0.0329288-0.0225373j -0.0266939-0.00851652j 0.00113619+0.00636272j 
0.267133-0.0401051j -0.0478444-0.0339167j -0.0963896-0.0538202j -0.0504495-0.0567978j 0.0309256+0.124111j 0.132455-0.014381j -0.138299-0.0743346j -0.00867146-0.0566369j 0.00694551+0.00527033j 0.00446149-0.0117844j -0.0231652+0.0139466j 0.00311408+0.0245057j -0.00577288+0.0325535j -0.00520677-0.0157562j 0.0161534-0.0167328j 0.074925-0.0339879j -0.0359609+0.0239854j 0.0121891+0.00678592j -0.0136146+0.00375773j -0.029687+0.00721339j 0.00526865-0.000546686j -0.0191715-0.00490404j 0.00330915+0.00821381j 0.000578219+0.00874751j -0.0307319-0.00146186j 0.0300217-0.0164821j -0.00489803-0.0117071j 0.011624+0.000453006j -0.0347749+0.00643915j -0.00825382-0.00377998j 0.00230772+0.00902523j 0.024553-0.014468j 0.0109004-0.0123875j -0.0116788+0.00192771j 
