-0.585687-0j -0.0595889-0j -0.0602064-0j 0.0674462-0j 0.00973502-0j -0.0424388-0j -0.024756-0j -0.00612552-0j -0.00357322-0j -0.0241747-0j -0.00427352-0j 0.0554657-0j -0.000356127-0j -0.0172712-0j -0.0246783-0j 0.00980505-0j -0.00305315-0j -0.0101793-0j 0.000817087-0j -0.00436256-0j -0.000254429-0j -0.00179946-0j -0.000363546-0j -0.000149955-0j -0.0186669-0j -0.00311115-0j -0.0210865-0j -0.00190518-0j -0.000388894-0j 0.0338591-0j -2.29158e-05-0j 0.03421-0j -0.00351442-0j -0.0150649-0j -0.00215213-0j 0.00564319-0j -0.0124279-0j -0.000439302-0j 0.00345573-0j 0.00570167-0j -2.58861e-05-0j -0.00397079-0j 0.000705399-0j 0.00349155-0j -0.00251082-0j -0.00153756-0j 4.1566e-05-0j -0.00207132-0j 0.000712709-0j -0.000313853-0j -0.00126842-0j 4.19968e-05-0j -0.000661798-0j -0.000258915-0j -0.000405267-0j -1.8494e-05-0j -8.27247e-05-0j -1.52567e-05-0j -4.8746e-06-0j 
0.00050364-0j -0.00735072-0j -0.00742689-0j 2.94914e-05-0j 0.0579901-0j 3.64937e-05-0j 2.1288e-05-0j 0.0717591-0j 0.0418595-0j 2.07881e-05-0j -0.00052717-0j 2.42528e-05-0j -0.192481-0j 1.48518e-05-0j 2.12212e-05-0j -0.000615031-0j -0.000376628-0j 8.75331e-06-0j -0.224561-0j -0.000538152-0j -0.137515-0j -0.000221977-0j -0.196491-0j -0.0810485-0j 1.60519e-05-0j -0.000383783-0j 1.81326e-05-0j 1.63829e-06-0j 0.00455581-0j 1.48052e-05-0j -0.0511646-0j 1.49586e-05-0j -0.000433529-0j 1.29545e-05-0j 1.85065e-06-0j -0.000353975-0j 1.06869e-05-0j 0.00514633-0j 1.51105e-06-0j -0.000357643-0j -0.0577965-0j 3.41453e-06-0j 0.00420196-0j 1.52671e-06-0j -0.000309728-0j 1.32217e-06-0j -0.0471907-0j -0.000255512-0j 0.00424551-0j 0.00367672-0j 1.09073e-06-0j -0.0476797-0j -8.16375e-05-0j 0.00303314-0j 3.48494e-07-0j -0.0412918-0j 0.000969102-0j -0.034064-0j -0.0108836-0j 
-0.000655599-0j -0.00384985-0j 0.00375496-0j -0.00221574-0j -0.000319815-0j -4.75047e-05-0j 0.00311568-0j -6.85671e-06-0j 0.00044971-0j 0.225474-0j -0.000276099-0j 0.00455763-0j -2.30082e-05-0j 0.161087-0j -0.222196-0j -5.58092e-06-0j -0.000197255-0j -0.278243-0j -4.65077e-07-0j 0.000272084-0j -1.64379e-05-0j 0.000340716-0j 2.26737e-05-0j 2.8393e-05-0j 0.0047945-0j -0.115358-0j -2.36036e-05-0j 0.000489336-0j 9.98854e-05-0j -0.00111234-0j 5.8858e-06-0j 0.00108492-0j 0.000567916-0j -1.68632e-05-0j -2.40903e-06-0j 0.0267636-0j 0.00156413-0j -4.91741e-07-0j -0.000113528-0j -0.0261039-0j -2.89761e-08-0j 0.00100394-0j -2.31738e-05-0j 0.00011073-0j 0.000405739-0j -1.72109e-06-0j -1.36553e-06-0j -0.0376338-0j 2.26026e-05-0j -3.51317e-07-0j 0.000159638-0j 1.33187e-06-0j -0.0241553-0j 3.25859e-05-0j 0.000102464-0j -2.07015e-08-0j 2.09153e-05-0j 1.92015e-06-0j 1.23245e-06-0j 
0.000115895-0j -0.0320893-0j 0.0312984-0j -0.0374477-0j -0.00538798-0j -0.000802865-0j 0.0526573-0j -0.000115516-0j 0.00757634-0j 0.000276099-0j 0.22002-0j 5.58092e-06-0j -0.00058347-0j 0.000197255-0j -0.000272084-0j 0.00444737-0j 0.15719-0j -0.000340716-0j -1.1794e-05-0j -0.216821-0j -0.000416851-0j -0.271512-0j 0.000574986-0j 0.000720022-0j -0.000847556-0j 0.00666052-0j 4.17256e-06-0j 0.0166268-0j -0.160883-0j 0.000196636-0j 0.000199359-0j -0.000191789-0j -3.27901e-05-0j 2.98102e-06-0j -8.18547e-05-0j -0.00154526-0j -0.000276501-0j 0.000792036-0j -0.00385748-0j 0.00150718-0j -9.81455e-07-0j -0.000177473-0j 0.0373254-0j 0.0037624-0j -2.34264e-05-0j -5.84798e-05-0j -4.6252e-05-0j 0.00217288-0j -0.0364054-0j 0.000565858-0j 0.00542422-0j 4.5112e-05-0j 0.00139467-0j -0.0524854-0j 0.00348154-0j -7.01185e-07-0j -0.0336878-0j 6.50375e-05-0j 4.17444e-05-0j 
-0.0299147-0j 0.00295693-0j -0.00307512-0j -0.0017517-0j -0.000252836-0j 0.00210591-0j -0.00126444-0j 0.000303962-0j -0.000182507-0j -0.529041-0j 0.000647823-0j 0.207962-0j 5.39853e-05-0j -0.3748-0j -0.176787-0j -0.000254655-0j 0.000458952-0j 0.0750575-0j -2.12212e-05-0j 0.00021648-0j 3.8246e-05-0j -9.19097e-05-0j 1.804e-05-0j -7.65914e-06-0j -0.000953435-0j 0.0229402-0j 0.0031965-0j -9.73095e-05-0j -1.98632e-05-0j 0.000854349-0j -1.17045e-06-0j -0.000888496-0j -0.0769098-0j 0.00226457-0j 0.000326242-0j -0.0205561-0j 0.000616701-0j 6.65938e-05-0j 8.71966e-05-0j 0.0213777-0j 3.92408e-06-0j -0.000202813-0j 1.77989e-05-0j -9.06817e-05-0j -0.0544869-0j 0.000231127-0j 1.04881e-06-0j -0.0148382-0j -1.85103e-05-0j 4.71785e-05-0j 6.29418e-05-0j -1.09073e-06-0j 0.00487979-0j 1.28479e-05-0j -2.06995e-05-0j 2.78002e-06-0j -4.22526e-06-0j 7.57072e-07-0j -2.48976e-07-0j 
-9.65789e-06-0j 0.00813575-0j -0.00793523-0j -3.2641e-05-0j -0.0641833-0j -6.9981e-07-0j 4.58983e-05-0j -0.00137607-0j 0.0902518-0j -2.30082e-05-0j 0.00058347-0j -4.65077e-07-0j 0.213038-0j -1.64379e-05-0j 2.26737e-05-0j 1.1794e-05-0j 0.000416851-0j 2.8393e-05-0j 0.00430623-0j -0.000574986-0j 0.152201-0j -0.000720022-0j -0.20994-0j -0.262896-0j 7.06296e-05-0j -0.00168867-0j -3.47714e-07-0j 7.20861e-06-0j 0.0200459-0j -1.63863e-05-0j -0.225128-0j 1.59824e-05-0j 8.31343e-06-0j -2.48419e-07-0j -3.54884e-08-0j 0.000391778-0j 2.30417e-05-0j -9.86871e-05-0j -1.67242e-06-0j -0.000382122-0j 0.00110832-0j 1.47894e-05-0j -0.00465072-0j 1.6312e-06-0j 5.9394e-06-0j -2.53541e-08-0j 0.0522305-0j -0.000550902-0j 0.00453609-0j -7.05055e-05-0j 2.35169e-06-0j -0.0509431-0j -0.000353597-0j 0.00653964-0j 1.50943e-06-0j 0.000791821-0j 0.00419748-0j -0.0734443-0j -0.0471403-0j 
-0.0199431-0j -0.00202905-0j -0.00205008-0j 0.00576099-0j 0.000831528-0j -0.00144508-0j -0.000842961-0j -0.000208579-0j -0.000121671-0j 0.118835-0j -0.000145517-0j -0.683947-0j -1.21264e-05-0j 0.0849002-0j 0.121311-0j 0.000837509-0j -0.000103962-0j 0.0500383-0j 6.97925e-05-0j -0.000148549-0j -8.66353e-06-0j -6.12731e-05-0j -1.2379e-05-0j -5.1061e-06-0j -0.000635623-0j 0.0152935-0j -0.000718013-0j -6.4873e-05-0j -1.32422e-05-0j 0.00289212-0j -7.80301e-07-0j 0.00292209-0j 0.0172758-0j -0.000512973-0j -7.32819e-05-0j -0.0695861-0j -0.000423181-0j -1.49586e-05-0j 0.000295176-0j -0.0703072-0j -8.81444e-07-0j -0.000135208-0j 6.02524e-05-0j 0.000298234-0j 0.0123424-0j -5.23551e-05-0j 3.55041e-06-0j 0.010182-0j 6.08768e-05-0j -1.06869e-05-0j -4.31908e-05-0j 3.5872e-06-0j 0.0032532-0j -8.81628e-06-0j -1.37997e-05-0j -6.29734e-07-0j -2.81684e-06-0j -5.19504e-07-0j -1.65984e-07-0j 
-0.0291773-0j 0.00307512-0j -0.00310512-0j 0.00176985-0j 0.000255456-0j -0.00211419-0j 0.00114704-0j -0.000305157-0j 0.000165561-0j 0.534523-0j -0.000654537-0j 0.202836-0j -5.45447e-05-0j -0.12867-0j 0.183742-0j -0.000248378-0j 0.00015756-0j -0.358427-0j -2.06982e-05-0j -0.000224997-0j 1.313e-05-0j 0.000438903-0j -1.87497e-05-0j 3.65752e-05-0j 0.000963315-0j -0.0231779-0j 0.00311772-0j 9.8318e-05-0j 2.00691e-05-0j 0.000888496-0j 1.18258e-06-0j -0.000897164-0j -0.0750141-0j -0.000750494-0j 0.000318201-0j -0.0213777-0j 0.000575834-0j 6.49524e-05-0j 9.06817e-05-0j 0.0215863-0j 3.82736e-06-0j 0.00214878-0j 1.85103e-05-0j -9.15664e-05-0j 0.0180573-0j -7.6597e-05-0j 1.09073e-06-0j -0.0138549-0j -1.86909e-05-0j -1.56353e-05-0j 5.87708e-05-0j -1.10137e-06-0j -0.0517009-0j 1.19965e-05-0j 0.000219309-0j -9.21319e-07-0j 4.47662e-05-0j 7.06902e-07-0j 2.63788e-06-0j 
0.00528822-0j 0.0246466-0j -0.0256317-0j -0.029605-0j -0.00425957-0j 0.0355914-0j -0.02137-0j 0.0051209-0j -0.00307472-0j -0.000647823-0j -0.516243-0j 0.000254655-0j 0.00136902-0j -0.000458952-0j -0.00021648-0j 0.202931-0j -0.365733-0j 9.19097e-05-0j -0.000538152-0j -0.17251-0j 0.000969886-0j 0.0732417-0j 0.000457478-0j -0.000194229-0j 0.000168545-0j -0.00132451-0j -0.000565067-0j -0.00330641-0j 0.0319932-0j -0.000151029-0j -3.96445e-05-0j 0.000157065-0j 0.00444059-0j -0.000400323-0j 0.0110851-0j 0.00118686-0j -0.000109018-0j -0.107261-0j 0.00296279-0j -0.0012343-0j 0.000132913-0j 3.58526e-05-0j -0.0286683-0j -0.00308121-0j 0.00314594-0j 0.00785329-0j 3.55245e-05-0j 0.000856722-0j 0.0298141-0j -0.0759894-0j 0.00213865-0j -3.69443e-05-0j -0.000281747-0j -0.0206939-0j -0.000703333-0j 9.41625e-05-0j 0.00680553-0j 2.56429e-05-0j -8.4331e-06-0j 
0.00060468-0j -0.00344975-0j -0.00346332-0j -0.00401904-0j -0.000580099-0j -4.25677e-05-0j -0.00287369-0j -6.14413e-06-0j -0.000414781-0j -0.207962-0j 0.000254655-0j 0.00826689-0j 2.12212e-05-0j 0.437267-0j -0.199104-0j -1.0123e-05-0j -0.000535444-0j 0.256633-0j -8.43584e-07-0j 0.000243808-0j -4.46203e-05-0j -0.000314253-0j 2.03173e-05-0j -2.61877e-05-0j 0.00111234-0j -0.0267636-0j 2.17703e-05-0j 0.000113528-0j 2.31738e-05-0j 0.00196019-0j 1.36553e-06-0j 0.0019679-0j -0.000523807-0j -4.57748e-05-0j 2.22192e-06-0j -0.0471634-0j 0.00140157-0j 4.53548e-07-0j 0.000200061-0j -0.0473488-0j 2.67256e-08-0j -0.000925961-0j 4.08373e-05-0j 0.000200848-0j 0.00110137-0j -4.67188e-06-0j 2.40636e-06-0j -0.0337227-0j 4.09979e-05-0j -9.53643e-07-0j 0.000143047-0j 2.41582e-06-0j 0.0222792-0j 2.91994e-05-0j -9.45055e-05-0j -5.61939e-08-0j -1.92909e-05-0j 1.72059e-06-0j -1.13672e-06-0j 
0.00352548-0j -0.0169126-0j -0.0170878-0j 0.0973651-0j 0.0140089-0j -0.0244229-0j -0.0142467-0j -0.00351397-0j -0.00204981-0j 0.000145517-0j 0.115961-0j -0.000837509-0j -0.000307516-0j 0.000103962-0j 0.000148549-0j -0.667401-0j 0.0828463-0j 6.12731e-05-0j 0.00176988-0j 0.118377-0j -0.0002197-0j 0.0488278-0j -0.000313922-0j -0.000129486-0j 0.000112363-0j -0.000883008-0j 0.000126928-0j -0.00220427-0j 0.0213288-0j -0.000511259-0j -2.64297e-05-0j -0.000516557-0j -0.000997464-0j 9.06817e-05-0j -0.00248999-0j 0.00401773-0j 7.48086e-05-0j 0.0240935-0j 0.0100296-0j 0.00405937-0j -2.98555e-05-0j 2.39017e-05-0j -0.0970472-0j 0.0101335-0j -0.000712623-0j -0.00177894-0j 0.000120256-0j -0.000587884-0j -0.0980529-0j 0.0172132-0j -0.00146755-0j 0.000121503-0j -0.000187832-0j 0.0142002-0j -0.000468889-0j -2.13298e-05-0j 0.00453702-0j -1.75962e-05-0j -5.62207e-06-0j 
0.00515787-0j 0.0256317-0j -0.0258818-0j 0.0299118-0j 0.00430371-0j -0.0357314-0j 0.0193858-0j -0.00514103-0j 0.00278923-0j 0.000654537-0j 0.521592-0j 0.000248378-0j -0.00138321-0j -0.00015756-0j 0.000224997-0j 0.197929-0j -0.125557-0j -0.000438903-0j -0.000524888-0j 0.179297-0j 0.000332965-0j -0.349756-0j -0.000475477-0j 0.000927517-0j -0.000170292-0j 0.00133824-0j -0.00055114-0j 0.00334067-0j -0.0323248-0j -0.000157065-0j 4.00554e-05-0j 0.000158598-0j 0.00433114-0j 0.00013267-0j 0.0108119-0j 0.0012343-0j -0.000101794-0j -0.104617-0j 0.00308121-0j -0.00124634-0j 0.000129637-0j -0.000379854-0j -0.0298141-0j -0.00311127-0j -0.00104259-0j -0.00260263-0j 3.69443e-05-0j 0.000799948-0j 0.030105-0j 0.0251834-0j 0.00199693-0j -3.73048e-05-0j 0.00298509-0j -0.0193225-0j 0.00745174-0j -3.12061e-05-0j -0.0721039-0j 2.39436e-05-0j 8.93479e-05-0j 
-0.000440685-0j -0.00624878-0j 0.00649853-0j -2.58049e-05-0j -0.0507414-0j 3.1023e-05-0j -1.8627e-05-0j 0.0610018-0j -0.0366271-0j 5.39853e-05-0j -0.00136902-0j -2.12212e-05-0j -0.49986-0j 3.8246e-05-0j 1.804e-05-0j 0.000538152-0j -0.000969886-0j -7.65914e-06-0j 0.196491-0j -0.000457478-0j -0.354127-0j 0.000194229-0j -0.167035-0j 0.0709174-0j -1.40454e-05-0j 0.00033581-0j 4.7089e-05-0j -1.4335e-06-0j -0.00398633-0j 1.25857e-05-0j 0.044769-0j -1.30888e-05-0j -0.00112584-0j 3.33603e-05-0j 4.806e-06-0j -0.000300911-0j 9.08487e-06-0j 0.0133647-0j 1.28453e-06-0j 0.000312938-0j -0.150093-0j -2.98771e-06-0j 0.00357205-0j -1.33587e-06-0j -0.000797605-0j 3.40482e-06-0j -0.0401164-0j -0.000217209-0j -0.00371482-0j 0.00946822-0j 9.27221e-07-0j 0.0417198-0j 7.14328e-05-0j 0.00257844-0j -3.04932e-07-0j -0.106334-0j -0.000847964-0j -0.0289575-0j 0.00952317-0j 
0.0123392-0j -0.00616984-0j 0.00126842-0j 0.000722538-0j 0.000104289-0j -0.00439412-0j 0.000521556-0j -0.000634237-0j 7.52801e-05-0j -0.0735257-0j 9.0034e-05-0j -0.08578-0j 7.50283e-06-0j -0.656219-0j 0.368877-0j 0.00010504-0j 0.000803557-0j -0.0309596-0j 8.75331e-06-0j -0.000451699-0j 6.6963e-05-0j 3.79108e-05-0j -3.76416e-05-0j 3.15924e-06-0j 0.000393272-0j -0.00946235-0j 0.000444248-0j 4.01381e-05-0j 8.19316e-06-0j -0.00178266-0j 4.82787e-07-0j 0.000366486-0j -0.0106889-0j 0.00396493-0j 4.53408e-05-0j 0.0428918-0j -0.00128679-0j 9.25516e-06-0j -0.000181942-0j -0.00881786-0j 5.45366e-07-0j 8.3656e-05-0j -3.71387e-05-0j 3.74043e-05-0j -0.0953985-0j 0.000404669-0j -2.18842e-06-0j 0.0309609-0j 7.63512e-06-0j 8.26026e-05-0j -0.000131332-0j 4.49904e-07-0j -0.00201281-0j -2.68081e-05-0j 8.5381e-06-0j 4.86741e-06-0j 1.74283e-06-0j -1.57968e-06-0j 1.02697e-07-0j 
-0.00029379-0j 0.00428792-0j 0.00433235-0j 8.48674e-05-0j 0.166878-0j -2.1288e-05-0j -1.2418e-05-0j -0.0418595-0j -0.024418-0j -1.21264e-05-0j 0.000307516-0j 6.97925e-05-0j 0.112281-0j -8.66353e-06-0j -1.2379e-05-0j -0.00176988-0j 0.0002197-0j -5.1061e-06-0j -0.646221-0j 0.000313922-0j 0.0802172-0j 0.000129486-0j 0.11462-0j 0.0472783-0j -9.36361e-06-0j 0.000223873-0j -1.05773e-05-0j -9.5567e-07-0j -0.00265755-0j 4.26049e-05-0j 0.029846-0j 4.30464e-05-0j 0.000252892-0j -7.55681e-06-0j -1.07954e-06-0j -0.00101863-0j -6.23405e-06-0j -0.00300203-0j 4.34835e-06-0j -0.00102919-0j 0.0337147-0j -1.99181e-06-0j 0.012092-0j 4.39341e-06-0j 0.000180675-0j -7.71263e-07-0j -0.135801-0j 0.000149049-0j 0.0122173-0j -0.00214475-0j -6.3626e-07-0j -0.137208-0j 4.76219e-05-0j -0.00176933-0j -2.03288e-07-0j 0.0240869-0j -0.00056531-0j 0.0198707-0j 0.00634878-0j 
0.039659-0j -0.00207132-0j -0.001879-0j 0.00234444-0j 0.000338391-0j 0.00287369-0j -0.00330794-0j 0.000414781-0j -0.000477459-0j 0.121311-0j -0.000148549-0j 0.542199-0j -1.2379e-05-0j 0.0866689-0j 0.111188-0j -0.000663936-0j -0.000106128-0j 0.0611554-0j -5.5328e-05-0j -0.000136152-0j -8.84402e-06-0j -7.48862e-05-0j -1.1346e-05-0j -6.24052e-06-0j -0.000648865-0j 0.0156121-0j 0.00142784-0j -6.62245e-05-0j -1.3518e-05-0j 0.00117695-0j -7.96557e-07-0j 0.00106767-0j -0.0343548-0j 0.0010201-0j 0.000145729-0j -0.0283181-0j -0.00166064-0j 2.97468e-05-0j 0.000120122-0j -0.0256888-0j 1.75284e-06-0j 0.00175793-0j 2.45198e-05-0j 0.000108969-0j -0.0245443-0j 0.000104114-0j 1.44484e-06-0j 0.039956-0j 2.22432e-05-0j 2.12521e-05-0j -0.000169488-0j 1.31069e-06-0j -0.0422968-0j -3.45967e-05-0j 0.000179418-0j 1.25229e-06-0j 3.66235e-05-0j -2.03863e-06-0j 2.15806e-06-0j 
-0.000429823-0j -0.00649853-0j 0.00656193-0j 2.60724e-05-0j 0.0512672-0j -3.11449e-05-0j 1.68975e-05-0j -0.0612416-0j 0.0332263-0j -5.45447e-05-0j 0.00138321-0j -2.06982e-05-0j 0.50504-0j 1.313e-05-0j -1.87497e-05-0j 0.000524888-0j -0.000332965-0j 3.65752e-05-0j 0.191648-0j 0.000475477-0j -0.121573-0j -0.000927517-0j 0.173607-0j -0.338657-0j 1.4191e-05-0j -0.00033929-0j 4.59283e-05-0j 1.44836e-06-0j 0.00402764-0j 1.30888e-05-0j -0.045233-0j -1.32165e-05-0j -0.00109809-0j -1.10558e-05-0j 4.68754e-06-0j -0.000312938-0j 8.48283e-06-0j 0.0130352-0j 1.33587e-06-0j 0.000315991-0j -0.146394-0j 3.16545e-05-0j 0.00371482-0j -1.3489e-06-0j 0.000264332-0j -1.12838e-06-0j -0.0417198-0j -0.000202815-0j -0.00375106-0j -0.00313783-0j 8.65775e-07-0j 0.0421268-0j -0.000756823-0j 0.00240757-0j 3.23072e-06-0j 0.0352398-0j 0.00898409-0j -0.0270386-0j -0.100897-0j 
0.0208453-0j 0.00646582-0j 0.0022184-0j -0.00126444-0j -0.000182507-0j -0.00444535-0j -0.000819484-0j -0.000641631-0j -0.000118282-0j 0.12867-0j -0.00015756-0j -0.144913-0j -1.313e-05-0j 0.0816076-0j 0.386341-0j 0.00017745-0j -9.99304e-05-0j 0.256073-0j 1.47875e-05-0j -0.000473084-0j -8.32754e-06-0j -0.000313567-0j -3.94237e-05-0j -2.61306e-05-0j -0.000688226-0j 0.0165591-0j 0.000750494-0j -7.02417e-05-0j -1.4338e-05-0j 0.00186817-0j -8.44877e-07-0j 0.000640965-0j -0.0180573-0j 0.000475993-0j 7.6597e-05-0j -0.0449494-0j 0.00121076-0j 1.56353e-05-0j 0.00019067-0j -0.015422-0j 9.21319e-07-0j -0.00153516-0j 3.89203e-05-0j 6.54182e-05-0j -0.0114527-0j 4.85808e-05-0j 2.2934e-06-0j -0.0291317-0j 1.33534e-05-0j 9.91652e-06-0j 0.000123573-0j 7.86859e-07-0j 0.0369369-0j 2.52242e-05-0j -0.000156682-0j 5.84337e-07-0j -3.19825e-05-0j 1.48635e-06-0j -1.88459e-06-0j 
-0.000106893-0j -0.0287544-0j -0.0288675-0j -0.0679249-0j -0.00977304-0j -0.000719427-0j -0.0485675-0j -0.000103511-0j -0.0069879-0j -0.000254655-0j -0.202931-0j 1.0123e-05-0j 0.000538152-0j 0.000535444-0j -0.000243808-0j 0.0080669-0j 0.426689-0j 0.000314253-0j -2.13926e-05-0j -0.194288-0j -0.00113153-0j 0.250424-0j 0.00051523-0j -0.000664099-0j -0.000196636-0j 0.00154526-0j -3.84848e-06-0j 0.00385748-0j -0.0373254-0j -0.000346516-0j 4.6252e-05-0j -0.000347879-0j 3.02433e-05-0j 8.09193e-06-0j 7.54971e-05-0j 0.0027231-0j -0.000247765-0j -0.000730519-0j 0.00679774-0j 0.00273381-0j 9.05226e-07-0j 0.000163688-0j -0.0657758-0j 0.00682447-0j -6.35904e-05-0j -0.000158742-0j 8.15063e-05-0j 0.00194707-0j -0.0660344-0j 0.00153601-0j 0.00486051-0j 8.18268e-05-0j -0.00128635-0j -0.0470308-0j -0.00321114-0j -1.90335e-06-0j 0.0310713-0j 5.82785e-05-0j -3.85022e-05-0j 
-0.00218128-0j -0.0514269-0j 0.0105725-0j 0.0122114-0j 0.00175698-0j -0.0742639-0j 0.00881468-0j -0.0106851-0j 0.00126826-0j -9.0034e-05-0j -0.071747-0j -0.00010504-0j 0.000190266-0j -0.000803557-0j 0.000451699-0j -0.0837048-0j -0.640344-0j -3.79108e-05-0j 0.000221977-0j 0.359954-0j 0.00169813-0j -0.0302107-0j -0.00095456-0j 8.01156e-05-0j -6.95213e-05-0j 0.000546333-0j -7.85327e-05-0j 0.00136382-0j -0.0131965-0j 0.000315132-0j 1.63525e-05-0j -6.47861e-05-0j 0.000617149-0j -0.000700907-0j 0.0015406-0j -0.00247647-0j 0.000227474-0j -0.0149071-0j -0.00618206-0j 0.000509122-0j 1.84722e-05-0j -1.47884e-05-0j 0.0598184-0j 0.00127093-0j 0.00550808-0j 0.0137499-0j -7.41242e-05-0j -0.00178761-0j -0.0122977-0j -0.133046-0j -0.00446245-0j 1.52388e-05-0j 0.000116215-0j 0.0431792-0j 0.00029011-0j 0.000164865-0j -0.00280714-0j -5.35057e-05-0j 3.47848e-06-0j 
8.90777e-06-0j 0.00729024-0j 0.0073189-0j -5.92061e-05-0j -0.11642-0j -6.27082e-07-0j -4.23334e-05-0j -0.00123306-0j -0.0832421-0j 2.12212e-05-0j -0.000538152-0j -8.43584e-07-0j -0.196491-0j -4.46203e-05-0j 2.03173e-05-0j 2.13926e-05-0j 0.00113153-0j -2.61877e-05-0j 0.0078109-0j -0.00051523-0j 0.413148-0j 0.000664099-0j -0.188122-0j 0.242477-0j 1.63863e-05-0j -0.000391778-0j 3.20707e-07-0j 1.67242e-06-0j 0.00465072-0j 2.88764e-05-0j -0.0522305-0j 2.89899e-05-0j -7.66774e-06-0j -6.74327e-07-0j 3.2732e-08-0j -0.000690401-0j 2.06471e-05-0j 9.10222e-05-0j 2.94718e-06-0j -0.000693115-0j -0.00102224-0j -1.36407e-05-0j 0.00819561-0j 2.95877e-06-0j 1.61224e-05-0j -6.88232e-08-0j -0.0920418-0j -0.000493649-0j 0.00822783-0j -0.000191386-0j 2.10729e-06-0j -0.0924037-0j 0.000326133-0j 0.00586001-0j -1.3922e-06-0j 0.00214938-0j -0.00387147-0j -0.0658116-0j 0.043479-0j 
-0.0369157-0j -0.00124508-0j 0.00611995-0j 0.000737591-0j 0.000106462-0j 0.00259876-0j 0.00063743-0j 0.000375099-0j 9.20051e-05-0j -0.0750575-0j 9.19097e-05-0j 0.256633-0j 7.65914e-06-0j 0.157818-0j 0.351832-0j -0.000314253-0j -0.000193252-0j 0.439708-0j -2.61877e-05-0j -0.000430827-0j -1.61043e-05-0j -0.000538432-0j -3.59023e-05-0j -4.48694e-05-0j 0.000401465-0j -0.00965949-0j -0.00132908-0j 4.09743e-05-0j 8.36385e-06-0j -0.000359742-0j 4.92845e-07-0j 0.00176824-0j 0.0319784-0j 0.00279456-0j -0.000135649-0j 0.00865562-0j -0.000310891-0j -2.76892e-05-0j -3.67161e-05-0j -0.0425449-0j -1.6316e-06-0j -0.00159001-0j -7.49463e-06-0j 0.00018047-0j -0.0672387-0j 0.000285218-0j -4.41626e-07-0j 0.00748023-0j 3.68383e-05-0j 5.822e-05-0j -3.17302e-05-0j 2.17072e-06-0j 0.0382567-0j -6.4769e-06-0j -0.00016228-0j 3.43064e-06-0j -3.31253e-05-0j -3.81655e-07-0j -1.95193e-06-0j 
-0.00701079-0j -0.0172649-0j -0.0156619-0j 0.0396228-0j 0.00570094-0j 0.0485675-0j -0.0559066-0j 0.0069879-0j -0.00804385-0j 0.000148549-0j 0.118377-0j 0.000663936-0j -0.000313922-0j 0.000106128-0j 0.000136152-0j 0.529082-0j 0.0845723-0j 7.48862e-05-0j -0.00140307-0j 0.108498-0j -0.000224277-0j 0.0596759-0j -0.000287726-0j -0.000158254-0j 0.000114704-0j -0.000901404-0j -0.00025241-0j -0.0022502-0j 0.0217732-0j -0.000208057-0j -2.69803e-05-0j -0.000188739-0j 0.00198356-0j -0.00018033-0j 0.00495161-0j 0.00163502-0j 0.000293563-0j -0.0479124-0j 0.00408154-0j 0.00148321-0j 5.93709e-05-0j -0.000310761-0j -0.0394935-0j 0.00370257-0j 0.00141713-0j 0.0035376-0j 4.89385e-05-0j -0.00230696-0j -0.0358265-0j -0.0342303-0j -0.00575893-0j 4.43946e-05-0j 0.00244211-0j 0.0557241-0j 0.00609631-0j 4.24166e-05-0j -0.0589886-0j -6.90507e-05-0j 7.3096e-05-0j 
-0.00368496-0j 0.053894-0j 0.0184908-0j -0.02137-0j -0.00307472-0j -0.0751297-0j -0.0138499-0j -0.0108097-0j -0.00199273-0j 0.00015756-0j 0.125557-0j -0.00017745-0j -0.000332965-0j 9.99304e-05-0j 0.000473084-0j -0.141408-0j 0.0796334-0j 0.000313567-0j 0.000374998-0j 0.376995-0j -0.000211179-0j 0.249878-0j -0.000999752-0j -0.00066265-0j 0.000121662-0j -0.000956084-0j -0.00013267-0j -0.00238669-0j 0.0230939-0j -0.00033025-0j -2.86169e-05-0j -0.000113308-0j 0.00104259-0j -8.41445e-05-0j 0.00260263-0j 0.00259527-0j -0.000214035-0j -0.0251834-0j 0.00647863-0j 0.000890429-0j 3.12061e-05-0j 0.000271381-0j -0.062688-0j 0.0022228-0j 0.00066125-0j 0.00165069-0j 7.76801e-05-0j 0.00168199-0j -0.0215081-0j -0.0159723-0j 0.0041988-0j 2.66518e-05-0j -0.00213265-0j -0.0406281-0j -0.00532378-0j 1.97921e-05-0j 0.0515135-0j 5.03444e-05-0j -6.38332e-05-0j 
