0.00193308-0j 0.00015793-0j -0.000892548-0j -0.0817496-0j -0.0784553-0j 0.0673079-0j -0.0231978-0j 0.0388602-0j 0.16985-0j 0.000701872-0j 0.000541758-0j -0.000188653-0j 0.000679492-0j 0.000405226-0j 5.26435e-05-0j 0.000376755-0j -0.00125957-0j 0.000193363-0j 0.0664751-0j -0.0229108-0j 0.0383794-0j 0.0269115-0j -0.0969299-0j 0.0462288-0j 0.0266902-0j -0.119296-0j -0.34867-0j -0.0284859-0j 0.0331169-0j 0.244238-0j -0.242475-0j 0.0511206-0j 0.0972475-0j 0.0267998-0j 0.0154729-0j -0.15146-0j 0.0483199-0j -0.0727778-0j 0.0336031-0j -0.0309541-0j 0.00522534-0j -0.0253209-0j -0.0804016-0j -0.0094953-0j 0.0824088-0j 0.13837-0j -0.0320133-0j 0.115306-0j 0.140103-0j -0.0559136-0j 0.20139-0j 0.0141095-0j 0.0328125-0j -0.0203964-0j -0.103095-0j -0.0112389-0j -0.00648881-0j -0.0438571-0j 0.0201693-0j 0.0232224-0j 0.0154628-0j 0.00798481-0j 0.00555287-0j -0.00113225-0j 0.000505765-0j 0.0172806-0j -0.00761749-0j 0.00332565-0j -0.0845952-0j -7.42036e-05-0j 
0.0269115-0j 0.0283672-0j 0.0516854-0j 0.0216979-0j -0.0145401-0j -0.0242609-0j -0.025936-0j -0.014007-0j -0.0456533-0j -0.0303082-0j -0.0313719-0j 0.251173-0j -0.0169428-0j -0.0174984-0j 0.00945573-0j 0.067672-0j 0.0543908-0j 0.0347315-0j -0.0236606-0j -0.0252942-0j -0.0136604-0j -0.22023-0j 0.0148555-0j 0.0510379-0j 0.0294667-0j 0.042461-0j 0.015535-0j 0.0163753-0j -0.0190374-0j 0.0211643-0j -0.0335103-0j -0.029387-0j 0.044077-0j -0.0505259-0j -0.0291711-0j -0.0920588-0j 0.048342-0j -0.0542953-0j -0.104278-0j -0.0427521-0j -0.0284588-0j -0.0283096-0j -0.214815-0j 0.00545843-0j -0.0297039-0j -0.0163925-0j -0.447375-0j 0.0301774-0j -0.0168084-0j 0.463374-0j -0.0312567-0j 0.015775-0j -0.0618616-0j 0.0632945-0j 0.0277106-0j 0.0481481-0j 0.0277983-0j -0.0490337-0j -0.0864063-0j 0.030406-0j 0.0170713-0j 0.0169848-0j -0.0366376-0j 0.00876696-0j -0.00449299-0j 0.0193203-0j -0.00851661-0j 0.00371819-0j 0.00836593-0j 0.000827836-0j 
0.0969299-0j -0.0141836-0j 0.186161-0j -0.0108489-0j -0.0523705-0j -0.087383-0j 0.012968-0j -0.0504506-0j 0.0228266-0j 0.0151541-0j -0.112996-0j 0.0169428-0j 0.154538-0j 0.00874922-0j -0.00472787-0j -0.033836-0j -0.0271954-0j -0.0173658-0j -0.0852207-0j 0.0126471-0j -0.0492022-0j -0.0148555-0j -0.1355-0j -0.0255189-0j -0.0147334-0j 0.152936-0j 0.0559539-0j -0.00818764-0j 0.00951872-0j 0.0762298-0j 0.0167551-0j 0.0146935-0j -0.0220385-0j 0.0252629-0j 0.0145856-0j -0.331578-0j 0.174118-0j 0.0271476-0j 0.0521389-0j -0.153985-0j 0.0142294-0j 0.0141548-0j 0.104382-0j -0.00272921-0j -0.106988-0j 0.00819626-0j -0.0301774-0j -0.275254-0j 0.00840422-0j 0.0312567-0j 0.285098-0j -0.00788748-0j 0.0309308-0j -0.0316472-0j -0.0138553-0j -0.0240741-0j -0.0138992-0j 0.0245168-0j 0.0432031-0j -0.015203-0j -0.00853566-0j 0.0611758-0j 0.0183188-0j -0.00438348-0j 0.0022465-0j -0.00966015-0j 0.0042583-0j -0.0018591-0j -0.323502-0j -0.000413918-0j 
-0.0462288-0j 0.25488-0j 0.010784-0j -0.0372728-0j 0.0249771-0j -0.217985-0j 0.0445531-0j 0.0240614-0j -0.00952545-0j -0.0915258-0j 0.0181126-0j 0.0195638-0j 0.00978192-0j 0.0101027-0j -0.0162431-0j 0.0141196-0j 0.0832664-0j 0.0960637-0j -0.071451-0j 0.0146036-0j 0.00788685-0j -0.0510379-0j -0.0255189-0j -0.0556994-0j 0.00614816-0j 0.0650032-0j -0.00896911-0j 0.0494507-0j 0.0327027-0j -0.0122192-0j -0.00699184-0j -0.0449882-0j -0.0254478-0j -0.453976-0j 0.0501104-0j -0.0192078-0j -0.0279102-0j 0.093269-0j -0.0217573-0j 0.0734399-0j 0.0488868-0j -0.0433389-0j -0.0167319-0j -0.00315143-0j -0.0821579-0j 0.00946422-0j -0.0348459-0j -0.0174229-0j 0.0288737-0j -0.0130433-0j -0.00652163-0j 0.0476378-0j -0.171103-0j -0.0365431-0j -0.0159987-0j 0.1454-0j -0.0160494-0j 0.392629-0j -0.132278-0j -0.0175549-0j 0.0678028-0j -0.00980615-0j -0.00764435-0j -0.00506161-0j 0.00771811-0j 0.127843-0j -0.0439824-0j -0.0021467-0j -0.00483007-0j -0.000477951-0j 
0.0266902-0j -0.143882-0j 0.0318416-0j -0.110054-0j 0.073749-0j -0.0240614-0j 0.13155-0j -0.103678-0j -0.0281255-0j -0.0101027-0j -0.0104573-0j 0.0577655-0j 0.0288828-0j -0.0435314-0j 0.363229-0j -0.00815196-0j -0.0480739-0j 0.283644-0j -0.00788685-0j 0.0431196-0j -0.0339835-0j 0.0294667-0j 0.0147334-0j -0.00614816-0j -0.0264917-0j -0.0375296-0j 0.00517832-0j -0.0279153-0j -0.0188809-0j -0.0360793-0j 0.00403674-0j -0.132835-0j -0.075139-0j -0.0501104-0j -0.21592-0j 0.0110896-0j -0.0824097-0j -0.0538489-0j -0.0642421-0j -0.0424006-0j 0.144346-0j 0.186742-0j 0.00966015-0j 0.0704721-0j 0.0474339-0j -0.00546417-0j 0.0201183-0j 0.0100591-0j -0.0166702-0j 0.00753053-0j 0.00376526-0j 0.0392439-0j 0.0987862-0j 0.0210982-0j 0.00923687-0j 0.0160494-0j 0.0691548-0j 0.0433389-0j 0.076371-0j 0.0101353-0j -0.039146-0j 0.00566159-0j 0.00441347-0j -0.0149452-0j -0.00445605-0j 0.0064401-0j 0.0253932-0j 0.109925-0j 0.00278864-0j 0.000252781-0j 
-0.119296-0j 0.0405405-0j 0.204185-0j 0.0310092-0j 0.0644547-0j 0.107546-0j -0.037066-0j 0.0620917-0j 0.0581452-0j -0.00874922-0j 0.0280909-0j -0.00978192-0j 0.0352326-0j -0.00505136-0j 0.0135135-0j -0.0861889-0j -0.0209132-0j 0.105913-0j 0.021186-0j -0.0073018-0j 0.0122317-0j 0.042461-0j -0.152936-0j -0.0650032-0j -0.0375296-0j 0.0506407-0j -0.0139102-0j 0.00472714-0j -0.027207-0j -0.0189508-0j 0.0426796-0j 0.0112992-0j 0.0127239-0j -0.0722083-0j -0.0416895-0j -0.363682-0j -0.0432861-0j -0.0775952-0j 0.132811-0j 0.189516-0j -0.0406714-0j 0.010885-0j -0.0259495-0j 0.00157571-0j 0.280967-0j -0.00473211-0j 0.0174229-0j -0.0627541-0j -0.0240215-0j 0.0796186-0j -0.286771-0j 0.00455384-0j -0.188646-0j 0.0182715-0j 0.00799936-0j 0.0138992-0j 0.00802469-0j 0.0188534-0j 0.0332231-0j 0.00877747-0j 0.152118-0j -0.0152084-0j 0.0466626-0j 0.0025308-0j -0.00642109-0j 0.00557729-0j -0.146205-0j 0.00107335-0j -0.027303-0j 0.000245367-0j 
0.34867-0j 0.0284859-0j -0.0541078-0j 0.0471909-0j 0.0887714-0j 0.0379017-0j -0.0130629-0j 0.0218825-0j 0.0321457-0j -0.129798-0j -0.100188-0j 0.0348879-0j -0.12566-0j -0.0749391-0j 0.0094953-0j 0.0228395-0j -0.0458906-0j 0.00503564-0j 0.039344-0j -0.01356-0j 0.0227153-0j -0.015535-0j 0.0559539-0j -0.00896911-0j -0.00517832-0j 0.0139102-0j -0.404494-0j -0.0330467-0j -0.0374714-0j -0.141011-0j 0.0922111-0j -0.0116838-0j 0.0171289-0j -0.00460401-0j -0.00265812-0j 0.00874513-0j -0.100182-0j -0.147169-0j 0.0228382-0j -0.166972-0j 0.051864-0j -0.0028801-0j 0.0464199-0j -0.0110156-0j 0.00670013-0j 0.0818957-0j -0.00563873-0j 0.0203096-0j 0.0788934-0j -0.0105822-0j 0.0381149-0j -0.00814615-0j -0.000813881-0j 0.0422881-0j 0.0595222-0j 0.0621582-0j 0.0358871-0j -0.00498848-0j 0.0219762-0j -0.236322-0j -0.00100278-0j -0.127779-0j 0.0291292-0j 0.0260475-0j 0.0153815-0j -0.00997696-0j -0.000394374-0j -0.00192007-0j 0.0488411-0j 0.00379985-0j 
0.0284859-0j 0.323076-0j -0.0378248-0j 0.0246003-0j 0.0620568-0j 0.06737-0j 0.028325-0j 0.0380309-0j 0.0167573-0j -0.172046-0j 0.0340472-0j -0.0756496-0j -0.0378248-0j -0.0971211-0j -0.0817855-0j 0.024075-0j 0.0116293-0j -0.0109191-0j 0.0699339-0j 0.029403-0j 0.0394782-0j -0.0163753-0j -0.00818764-0j 0.0494507-0j 0.0279153-0j -0.00472714-0j -0.0330467-0j -0.374803-0j -0.0394984-0j 0.0236984-0j -0.0233675-0j 0.0253346-0j 0.00892919-0j 0.0253839-0j 0.0143294-0j -0.00297187-0j -0.0700338-0j 0.0372946-0j -0.0495214-0j 0.0567424-0j -0.11246-0j 0.0155261-0j -0.015775-0j 0.0948799-0j -0.00227692-0j -0.00926326-0j -0.00594375-0j -0.00297187-0j -0.00892366-0j -0.0111546-0j -0.00557729-0j -0.229695-0j -0.000857906-0j 0.0445756-0j -0.0150837-0j -0.342706-0j -0.19346-0j 0.0275037-0j 0.023165-0j 0.0598873-0j -0.00105702-0j 0.0434233-0j 0.0307049-0j -0.0564804-0j 0.0162135-0j 0.120531-0j -0.000415707-0j 0.0227253-0j -0.00455384-0j 0.00400539-0j 
-0.0331169-0j -0.0349082-0j -0.0636032-0j 0.013903-0j 0.0350717-0j 0.0149741-0j -0.101087-0j 0.00864533-0j 0.0281778-0j 0.0372968-0j -0.243786-0j 0.0416991-0j 0.0208495-0j 0.0215333-0j -0.0116361-0j 0.525868-0j -0.0669325-0j -0.0427401-0j -0.0151606-0j 0.102345-0j -0.00875296-0j 0.0190374-0j 0.00951872-0j 0.0327027-0j 0.0188809-0j 0.027207-0j -0.0374714-0j -0.0394984-0j -0.289971-0j -0.0130629-0j 0.0808292-0j 0.0708835-0j -0.00492189-0j 0.00564202-0j 0.00325742-0j 0.0102798-0j 0.0386036-0j -0.0433576-0j -0.0832713-0j -0.0659671-0j -0.0635571-0j 0.0174731-0j -0.0178871-0j -0.0131661-0j 0.0183337-0j -0.0105036-0j -0.00673958-0j -0.00336979-0j 0.0103744-0j 0.0385841-0j 0.019292-0j -0.00973651-0j 0.00690783-0j -0.319172-0j 0.108003-0j 0.0742933-0j 0.0428932-0j 0.0302642-0j -0.133326-0j 0.0679059-0j 0.0109385-0j 0.0492374-0j -0.106209-0j 0.0311327-0j -0.0188494-0j -0.0119247-0j 0.00525656-0j -0.00229492-0j -0.00516357-0j 0.00454169-0j 
-0.244238-0j 0.0410469-0j -0.0779669-0j -0.132253-0j -0.0636597-0j 0.053601-0j 0.038002-0j -0.158266-0j -0.0935168-0j 0.0909217-0j 0.0701802-0j 0.050272-0j -0.18107-0j -0.268461-0j 0.0543495-0j -0.0159987-0j 0.0321457-0j 0.00725613-0j 0.053601-0j 0.038002-0j -0.158266-0j -0.0211643-0j 0.0762298-0j -0.0122192-0j 0.0360793-0j 0.0189508-0j -0.141011-0j 0.0236984-0j -0.0130629-0j 0.410222-0j 0.0321457-0j 0.00837866-0j -0.053992-0j -0.00705477-0j 0.0208304-0j 0.0134003-0j -0.020131-0j 0.014376-0j 0.00458918-0j 0.00489308-0j 0.00141625-0j 0.0208304-0j 0.0656476-0j 0.0313787-0j 0.00947541-0j 0.111572-0j -0.0086403-0j 0.0311207-0j 0.111572-0j -0.0149654-0j 0.0539026-0j 0.0589173-0j -0.00124712-0j -0.00413085-0j 0.0841771-0j -0.00182153-0j 0.00537839-0j -0.00705477-0j -0.00064401-0j 0.0031371-0j -0.00136615-0j 0.000924706-0j -0.000210802-0j 0.000236042-0j -4.44409e-05-0j -0.0141095-0j -0.000557729-0j 0.0304893-0j 0.0690717-0j -5.4703e-06-0j 
-0.242475-0j 0.0614466-0j -0.0135984-0j 0.101795-0j -0.0617343-0j -0.0263579-0j -0.0281778-0j -0.0152178-0j -0.025059-0j 0.0917813-0j -0.0228395-0j -0.0246695-0j -0.0123348-0j 0.05299-0j 0.0204822-0j -0.0178045-0j 0.436742-0j -0.121134-0j 0.00896911-0j 0.00958839-0j 0.00517832-0j -0.0335103-0j -0.0167551-0j 0.00699184-0j 0.00403674-0j 0.0426796-0j -0.0922111-0j 0.0233675-0j -0.0808292-0j -0.0321457-0j -0.0718828-0j 0.111195-0j -0.012112-0j -0.00993125-0j -0.00573381-0j 0.00219783-0j -0.0228382-0j -0.317456-0j -0.0178034-0j 0.116117-0j 0.111875-0j 0.0274099-0j 0.0105822-0j 0.00778918-0j 0.0519612-0j -0.057909-0j 0.00398719-0j 0.00199359-0j 0.17018-0j 0.00824928-0j 0.00412464-0j 0.0057602-0j 0.0195782-0j -0.0299022-0j -0.0420886-0j -0.0439525-0j -0.025376-0j 0.0474754-0j -0.209148-0j 0.167105-0j 0.0445177-0j -0.0291292-0j -0.0227076-0j -0.0184184-0j 0.0331792-0j 0.00705477-0j 0.0278169-0j 0.00135769-0j 0.00305481-0j -0.00267055-0j 
-0.0511206-0j 0.110848-0j -0.179989-0j -0.0441475-0j -0.111367-0j 0.0231147-0j -0.0508319-0j -0.06825-0j 0.0797398-0j 0.0116293-0j 0.0120375-0j -0.0267462-0j -0.0133731-0j -0.0343375-0j 0.146772-0j 0.114561-0j 0.0277975-0j 0.289593-0j -0.00472714-0j 0.0103955-0j 0.0139577-0j 0.029387-0j 0.0146935-0j -0.0449882-0j 0.132835-0j -0.0112992-0j -0.0116838-0j 0.0253346-0j 0.0708835-0j 0.00837866-0j -0.111195-0j 0.0605571-0j 0.00315694-0j 0.00870925-0j -0.0257155-0j -0.0141417-0j -0.0247607-0j -0.0669286-0j -0.235648-0j -0.10183-0j 0.201819-0j 0.0371118-0j -0.00557729-0j 0.0335451-0j 0.0603879-0j -0.00327506-0j -0.00210143-0j -0.00105072-0j 0.0160143-0j -0.0530791-0j -0.0265395-0j 0.0155261-0j 0.0227532-0j 0.0157599-0j -0.00533291-0j 0.023165-0j -0.0683985-0j -0.0125689-0j 0.0553711-0j 0.0211734-0j 0.105279-0j 0.0153524-0j 0.146109-0j -0.0199688-0j -0.0290967-0j -0.00371819-0j 0.0974698-0j 0.00803462-0j -0.00161002-0j 0.00102594-0j 
0.0972475-0j 0.0506945-0j 0.0310439-0j 0.27543-0j -0.0077329-0j 0.00705477-0j -0.0155143-0j -0.0208304-0j 0.0381781-0j 0.112292-0j -0.0279435-0j 0.0620878-0j 0.0310439-0j -0.33156-0j 0.0671237-0j -0.019759-0j 0.0397011-0j 0.0089616-0j 0.0359887-0j -0.0791433-0j -0.106263-0j 0.044077-0j 0.0220385-0j 0.0254478-0j -0.075139-0j 0.0127239-0j -0.0171289-0j -0.00892919-0j 0.00492189-0j 0.053992-0j -0.012112-0j -0.00315694-0j -0.339586-0j -0.0443715-0j 0.131014-0j -0.0271719-0j 0.050663-0j 0.112222-0j 0.0358241-0j 0.0252154-0j -0.134951-0j -0.00850398-0j 0.0086403-0j -0.011823-0j 0.00124712-0j -0.232361-0j -0.0543438-0j -0.0271719-0j -0.0455491-0j 0.00610961-0j 0.00305481-0j -0.0240529-0j -0.00784385-0j -0.0322463-0j -0.0343652-0j 0.0291163-0j -0.0859706-0j 0.0028801-0j 0.0102942-0j -0.298926-0j 0.00284516-0j 0.0805978-0j 0.0569912-0j -0.139616-0j 0.0497306-0j 0.0057602-0j 0.000227692-0j -0.0124472-0j 0.00249424-0j 0.016855-0j 
0.0267998-0j -0.147759-0j 0.0514709-0j -0.0368989-0j -0.00430916-0j 0.042299-0j -0.00864533-0j -0.00466901-0j -0.0152178-0j 0.157869-0j -0.0312418-0j -0.033745-0j -0.0168725-0j -0.0174258-0j 0.0094165-0j 0.0673912-0j 0.0541651-0j 0.0345874-0j -0.210458-0j 0.0430147-0j 0.0232306-0j -0.0505259-0j -0.0252629-0j 0.453976-0j -0.0501104-0j -0.0722083-0j 0.00460401-0j -0.0253839-0j -0.00564202-0j 0.00705477-0j -0.00993125-0j -0.00870925-0j -0.0443715-0j -0.266042-0j 0.0293661-0j 0.092674-0j -0.0275355-0j 0.0309265-0j 0.0593965-0j -0.0289047-0j -0.0752014-0j -0.00943654-0j 0.00966015-0j 0.00161768-0j -0.00990131-0j 0.0278767-0j -0.0607582-0j -0.0303791-0j -0.00560281-0j -0.0208378-0j -0.0104189-0j -0.0275037-0j 0.062275-0j -0.0360525-0j 0.00923687-0j -0.170269-0j 0.0187945-0j 0.0854904-0j -0.0584193-0j 0.080347-0j -0.0290311-0j 0.0901111-0j -0.194377-0j 0.0758817-0j -0.0570068-0j -0.0738101-0j -0.00283887-0j 0.0012394-0j 0.00278864-0j 0.0188444-0j 
-0.0154729-0j 0.0834113-0j 0.151976-0j -0.10895-0j -0.0127235-0j 0.00466901-0j -0.0255268-0j 0.0201182-0j -0.044933-0j 0.0174258-0j 0.0180374-0j -0.0996376-0j -0.0498188-0j 0.0750858-0j -0.210572-0j -0.0389083-0j -0.0312722-0j 0.102125-0j -0.0232306-0j 0.127008-0j -0.100098-0j 0.0291711-0j 0.0145856-0j 0.0501104-0j 0.21592-0j 0.0416895-0j -0.00265812-0j 0.0143294-0j 0.00325742-0j 0.0208304-0j 0.00573381-0j -0.0257155-0j -0.131014-0j -0.0293661-0j -0.126535-0j -0.0535054-0j -0.0813032-0j -0.0178554-0j 0.175378-0j 0.0166881-0j -0.222045-0j 0.0406609-0j -0.00557729-0j -0.0361746-0j 0.00571653-0j -0.0160946-0j 0.0350788-0j 0.0175394-0j 0.00323478-0j 0.0120307-0j 0.00601535-0j -0.0226575-0j -0.0359545-0j 0.0208149-0j -0.00533291-0j -0.0187945-0j -0.0809831-0j 0.00943654-0j 0.0337284-0j -0.0463883-0j 0.0167611-0j -0.0520256-0j 0.112224-0j 0.224053-0j 0.0329129-0j -0.00371819-0j 0.00163902-0j -0.0634654-0j -0.00161002-0j -0.0109136-0j 
0.15146-0j -0.0514709-0j -0.0353318-0j 0.0672302-0j -0.0243533-0j -0.0457037-0j 0.0157519-0j -0.026387-0j -0.00336776-0j 0.0184829-0j -0.0593425-0j 0.0206645-0j -0.0744294-0j 0.0106711-0j -0.017157-0j 0.014914-0j 0.0879508-0j 0.101468-0j 0.0764278-0j -0.026341-0j 0.0441256-0j 0.0920588-0j -0.331578-0j -0.0192078-0j -0.0110896-0j 0.363682-0j 0.00874513-0j -0.00297187-0j 0.0102798-0j 0.0134003-0j -0.00219783-0j -0.0141417-0j 0.0271719-0j -0.092674-0j -0.0535054-0j -0.0636154-0j -0.0523026-0j -0.0563485-0j 0.0131447-0j -0.163356-0j 0.137018-0j -0.0153226-0j 0.0183491-0j -0.000990625-0j 0.0900988-0j -0.0170709-0j 0.0372067-0j -0.134011-0j 0.0102084-0j -0.00461149-0j 0.0166097-0j -0.00322005-0j 0.182695-0j 0.0220775-0j -0.0056564-0j -0.0199345-0j -0.0115092-0j -0.0265395-0j -0.0948586-0j -0.0492023-0j -0.122298-0j 0.171162-0j -0.0430165-0j -0.0464678-0j 0.103867-0j -0.00394374-0j -0.0155501-0j -0.000758973-0j 0.0193061-0j -0.0115756-0j 
-0.0483199-0j -0.0337787-0j 0.0641613-0j 0.0726233-0j 0.188128-0j 0.0109413-0j 0.00775713-0j -0.0323059-0j 0.00458918-0j 0.0179879-0j -0.0577534-0j -0.0413703-0j 0.149008-0j -0.0531124-0j -0.0447258-0j 0.0131658-0j 0.0063597-0j -0.00597129-0j 0.122431-0j 0.0868014-0j -0.361499-0j -0.048342-0j 0.174118-0j -0.0279102-0j 0.0824097-0j 0.0432861-0j -0.100182-0j -0.0700338-0j 0.0386036-0j -0.020131-0j 0.0228382-0j -0.0247607-0j -0.050663-0j 0.0275355-0j -0.0813032-0j -0.0523026-0j -0.23996-0j -0.0411967-0j 0.0547028-0j 0.154418-0j -0.0122571-0j 0.00425199-0j 0.0134003-0j -0.0927306-0j 0.00193416-0j -0.0273463-0j 0.033724-0j -0.121467-0j -0.00244385-0j -0.00305481-0j 0.0110028-0j 0.0120264-0j 0.00486764-0j -0.0492395-0j -0.00413085-0j -0.0574849-0j 0.169734-0j -0.00144005-0j -0.020324-0j 0.00652717-0j -0.00312046-0j -0.229673-0j 0.0523578-0j -0.21917-0j 0.107394-0j -0.0028801-0j -0.000113846-0j 0.00622359-0j 0.0140992-0j 0.0550508-0j 
0.0727778-0j -0.0184429-0j -0.0336031-0j -0.164934-0j -0.0331149-0j 0.00396179-0j 0.00423533-0j 0.00228734-0j -0.0310103-0j -0.0819635-0j 0.0203964-0j 0.0220306-0j 0.0110153-0j -0.0473217-0j -0.00614763-0j -0.0439968-0j 0.147091-0j -0.0225806-0j -0.0432384-0j -0.0462238-0j -0.0249637-0j 0.0542953-0j 0.0271476-0j 0.093269-0j 0.0538489-0j 0.0775952-0j -0.147169-0j 0.0372946-0j -0.0433576-0j 0.014376-0j 0.317456-0j -0.0669286-0j -0.112222-0j -0.0309265-0j -0.0178554-0j -0.0563485-0j -0.0411967-0j -0.192464-0j 0.088865-0j 0.0559142-0j -0.00669225-0j 0.00462294-0j -0.00473249-0j 0.0124315-0j 0.00485063-0j 0.279168-0j 0.0369428-0j 0.0184714-0j -0.0255792-0j 0.0102084-0j 0.00510419-0j -0.00257604-0j -0.0378651-0j -0.0539392-0j 0.0188226-0j -0.0629715-0j -0.0363566-0j 0.00800717-0j 0.113008-0j -0.0297416-0j 0.0311969-0j 0.0811123-0j -0.174966-0j 0.116713-0j -0.12062-0j -0.00315499-0j 0.00139076-0j -0.000607178-0j -0.00136615-0j 0.0603051-0j 
0.0336031-0j -0.0728636-0j 0.016125-0j 0.156655-0j -0.13083-0j -0.00760888-0j 0.0167328-0j 0.0224665-0j -0.00357748-0j -0.0127194-0j -0.0131658-0j 0.0292532-0j 0.0146266-0j 0.0375561-0j -0.0964775-0j -0.0102634-0j -0.0605253-0j 0.143641-0j 0.0279102-0j -0.0613779-0j -0.0824097-0j -0.104278-0j -0.0521389-0j 0.0217573-0j -0.0642421-0j 0.132811-0j -0.0228382-0j 0.0495214-0j 0.0832713-0j -0.00458918-0j -0.0178034-0j 0.235648-0j 0.0358241-0j 0.0593965-0j -0.175378-0j -0.0131447-0j -0.0547028-0j -0.088865-0j -0.0426433-0j -0.107387-0j -0.0264396-0j -0.0404662-0j 0.00305481-0j 0.0655704-0j 0.0149999-0j 0.0193368-0j -0.0238465-0j -0.0119232-0j -0.00527159-0j 0.00238136-0j 0.00119068-0j -0.00850398-0j -0.117093-0j 0.0348176-0j 0.00292095-0j 0.0406479-0j -0.12002-0j 0.013705-0j 0.193423-0j -0.0046154-0j 0.138531-0j -0.0523578-0j -0.0408153-0j 0.154977-0j 0.231658-0j 0.00203654-0j 0.00803005-0j -0.00440074-0j 0.000881847-0j -0.0390448-0j 
-0.0309541-0j 0.0105192-0j -0.0594494-0j -0.0312217-0j -0.156279-0j 0.00560899-0j -0.00193315-0j 0.00323835-0j -0.0034028-0j -0.0112389-0j 0.0360846-0j -0.0125655-0j 0.0452586-0j -0.00648881-0j 0.0035064-0j 0.0250943-0j 0.0201693-0j 0.0128792-0j -0.105604-0j 0.0363966-0j -0.0609703-0j -0.0427521-0j 0.153985-0j -0.0734399-0j -0.0424006-0j 0.189516-0j 0.166972-0j -0.0567424-0j 0.0659671-0j -0.00489308-0j 0.116117-0j 0.10183-0j 0.0252154-0j -0.0289047-0j -0.0166881-0j 0.163356-0j -0.154418-0j -0.0559142-0j -0.107387-0j -0.10137-0j 0.0815146-0j -0.00211007-0j -0.00670013-0j -0.0189141-0j 0.0068674-0j 0.0235877-0j 0.0345276-0j -0.124362-0j -0.00125283-0j -0.00465947-0j 0.0167825-0j 0.0011758-0j -0.0353896-0j 0.0651817-0j 0.00206543-0j -0.0368059-0j -0.0212499-0j -0.00365476-0j 0.0660516-0j -0.0870921-0j -0.0245644-0j 0.0826232-0j 0.0574586-0j 0.0757861-0j -0.157806-0j 0.00144005-0j -0.000634791-0j 0.000277138-0j -0.0070496-0j 0.145052-0j 
-0.00522534-0j 0.0113304-0j 0.0206441-0j -0.0427532-0j 0.0998561-0j 0.000789207-0j -0.00173556-0j -0.00233026-0j -0.00305498-0j 0.00588487-0j 0.00609142-0j -0.0135346-0j -0.00676728-0j -0.0173761-0j 0.0150024-0j -0.0131397-0j -0.0105609-0j 0.0138724-0j -0.0226633-0j 0.0498393-0j 0.0669173-0j 0.0284588-0j 0.0142294-0j 0.0488868-0j -0.144346-0j 0.0406714-0j 0.051864-0j -0.11246-0j -0.0635571-0j 0.00141625-0j -0.111875-0j 0.201819-0j 0.134951-0j 0.0752014-0j -0.222045-0j 0.137018-0j -0.0122571-0j -0.00669225-0j 0.0264396-0j -0.0815146-0j -0.0170191-0j -0.0047097-0j -0.000942734-0j -0.148906-0j 0.000966269-0j -0.0157016-0j -0.0898306-0j -0.0449153-0j 0.000546778-0j 0.00203356-0j 0.00101678-0j 0.00262438-0j 0.0920732-0j 0.00780146-0j -0.000901426-0j 0.0918031-0j -0.271064-0j 0.00159507-0j -0.164749-0j -0.00883951-0j 0.0163518-0j -0.109331-0j 0.235836-0j 0.151404-0j -0.0632608-0j -0.000628489-0j 0.000277045-0j 0.0013581-0j -0.000272144-0j 0.244833-0j 
0.0253209-0j -0.1365-0j 0.221643-0j -0.105732-0j -0.06825-0j 0.0231147-0j -0.126374-0j 0.0995985-0j 0.198243-0j -0.0057602-0j -0.00596237-0j 0.0329358-0j 0.0164679-0j -0.02482-0j 0.344594-0j -0.0567439-0j -0.0137686-0j -0.356611-0j -0.00455384-0j 0.0248971-0j -0.0196219-0j 0.0283096-0j 0.0141548-0j -0.0433389-0j -0.186742-0j -0.010885-0j -0.0028801-0j 0.0155261-0j 0.0174731-0j 0.0208304-0j -0.0274099-0j 0.0371118-0j 0.00850398-0j 0.00943654-0j 0.0406609-0j -0.0153226-0j 0.00425199-0j 0.00462294-0j 0.0404662-0j 0.00211007-0j -0.0047097-0j -0.0541579-0j -0.00557729-0j -0.0391955-0j 0.0603879-0j -0.00315499-0j -0.00227692-0j -0.00113846-0j 0.0160143-0j -0.0530791-0j -0.0265395-0j -0.0226575-0j 0.0246533-0j -0.00108858-0j -0.00533291-0j -0.000480017-0j -0.00206833-0j -0.0125689-0j -0.00114738-0j -0.000198746-0j 0.10142-0j -7.85612e-05-0j -0.000747667-0j 0.000154643-0j 5.94446e-05-0j -0.00371819-0j 0.0974698-0j -0.0634654-0j -0.00161002-0j -5.70252e-06-0j 
