0.554601-0.208559j -0.182324-0.064355j 0.126771+0.00170634j -0.00755518-0.0936866j -0.11507-0.0497256j -0.0178508-0.018214j -0.0136949+0.0173568j -0.0278801-0.0176306j 0.00453614-0.00787874j -0.0914061+0.00489915j -0.0270314+0.00605005j 0.028439-0.00551483j 0.0119229-0.106058j -0.00449669+0.00497759j -0.0879553-0.0330452j -0.012484+0.0218319j 0.0429802-0.00255097j -0.0449695+0.00173726j 0.0184621-0.045817j -0.00086211-0.0214933j 0.0768259-0.00778139j -0.0264183-0.00996399j -0.0409911-0.0137436j 0.011125-0.0224271j 0.0116936-0.00747786j -0.0130982+0.00689687j 0.0146427+0.0130388j 0.0150176+0.00127818j -0.0269561-0.0376374j -0.0179102-0.00531157j 0.0174822-0.016948j -0.00108181-0.00570142j -0.0359479+0.0189777j 0.018168-0.00525881j 0.00840612+0.002248j 0.0119445-0.0333399j -0.0350451-4.74949e-05j -0.0373546+0.00252833j -0.0388848+0.0843998j 0.0587688-0.000139475j 
0.00509965+0.023378j -0.00895654-0.0448948j -0.0729616-0.0403015j -0.0561758+0.0132928j 0.0262737+0.111348j -0.0349729-0.0184805j -0.104531+0.0117223j 0.0621851-0.0242227j 0.0253378+0.0823409j 0.125315+0.0927426j -0.17601-0.168072j 0.166579-0.354213j 0.236968-0.0180729j 0.0874562+0.0780719j -0.00111387-0.0333486j 0.113637-0.146732j -0.0528497-0.0523199j -0.116391-0.0988616j -0.00132481-0.028281j 0.0246274-0.00206187j 0.0426808-0.0490161j -0.00162867-0.0254325j 0.00280427-0.0259291j -0.031456+0.00904116j -0.0352225-0.00571989j 0.00639331+0.0307972j -0.0277798+0.0225707j 0.0101043-0.0104349j 0.0717416-0.0204046j -0.0695171-0.00733168j 0.0366308-0.00147459j 0.0247997+0.0199642j 0.0194262-0.0166393j -0.0296646+0.00407538j 0.00565799+0.020956j -0.0151198+0.00390325j -0.00344844-0.0220235j 0.00853061+0.0118867j -0.0152583+0.0143892j 0.0211795-0.0263702j 
-0.0306032+0.0243304j -0.00926895-0.0172293j 0.00762406-0.0144597j 0.00642203-0.0449864j 0.0450349-0.00969638j -0.0256267-0.000999935j -0.049995-0.0295387j 0.01055-0.0201593j -0.0167644-0.00488362j 0.0312621+0.0249266j 0.0111096-0.177639j -0.0569464-0.0496039j -0.166988+0.183167j 0.130301-0.00755345j -0.0724919+0.231237j 0.0989259-0.0113663j 0.00963202-0.0606978j -0.019481+0.0126515j -0.0576416-0.00982595j -0.0151428-0.00808928j 0.0208067-0.00788204j -0.0374329+0.00294498j 0.0290887+0.0500946j -0.0459638-0.0242657j 0.0130254-0.0200005j -0.0243475-0.0451927j 0.032431+0.020597j -0.00917517+0.00121603j 0.00816488+0.0426422j -0.0437801+0.0015227j 0.00518778-0.00957544j 0.000395414-0.02047j 0.0143091+0.0137296j -0.00940856-0.0372387j 0.020404-0.000649933j -0.00606228+0.0286139j -0.037445+0.01263j 0.0174549-0.0389562j 0.00537515-0.0618384j 0.00482252-0.0400776j 
-0.0196254+0.029152j 0.0561151+0.00512172j 0.0214908+0.0154862j -0.0184662-0.0208364j -0.0265052+0.013687j 0.0114549+0.0140712j 0.0366696-0.0134151j -0.102536+0.0112871j -0.0930328+0.0674584j -0.0593041+0.060328j 0.108511+0.0137252j 0.322294+0.00473075j -0.10159-0.0776842j -0.101296+0.212828j 0.0246304-0.0875387j 0.0597781+0.114969j 0.137567-0.0944005j -0.0143815-0.0154717j -0.0379599-0.00166176j 0.00758675-0.0337329j -0.038208+0.0612354j 0.0415831+0.0225101j 0.0195964+0.00358754j 0.037187-0.0204624j 0.0202241+0.018217j 0.00631859-0.00626329j -0.026066-0.0142182j 0.011108+0.0118888j -0.0105225-0.0409433j 0.040546+0.0163695j -0.0126429+0.00551968j -0.008528-0.0209732j -0.0312478-0.0205331j 0.0179657+0.0123563j -0.0292921+0.00190126j 0.000635554-0.0123039j -0.0149082+0.0329363j 0.00643577+0.0162204j 0.0412127+0.0187046j -0.0124627+0.0368247j 
-0.0123676-0.00510314j 0.0541698-0.0297641j 0.0607698+0.0163745j -0.00222122-0.0104969j -0.0234029+0.00839928j -0.0353762-0.00867716j -0.0167098-0.0331409j -0.0830929+0.0170359j -0.153697+0.0585781j -0.0285266+0.0727958j -0.00935978-0.341677j 0.0810106+0.026398j 0.00671216+0.139019j -0.158167-0.145103j 0.105885-0.0152301j 0.127216+0.0202825j 0.132453-0.10731j -0.0134949-0.0941298j 0.00840644+0.0201239j 0.00880457+0.000144189j -0.0189808+0.0446717j 0.0246474-0.0194125j 0.0286284+0.0392365j 0.00821057-0.0193675j 0.00196617+0.00840606j -0.0135778-0.0126908j 0.0120751-0.00470218j 0.00151148+0.0190841j -0.0114115-0.00851171j -0.011215+0.0631442j 0.00149938+0.00385043j 0.00874575-0.0208381j -0.003894-0.0245543j -0.0135945-0.0168872j 0.000594815-0.0183799j -0.0113177-0.00865406j -0.0107478+0.0107621j -0.026876-0.0295766j 0.00148595-0.030744j -0.011802+0.01906j 
-0.00991941+0.0198953j 0.0407298+0.0276809j -0.00855901+0.0709559j 0.114479+0.0992749j 0.0384094+0.0465251j 0.0208112-0.0257385j -0.00459385+0.0634617j -0.0346462+8.32199e-05j 0.0676272+0.0834451j -0.0473368+0.163614j 0.118345-0.0288626j 0.065816-0.0574087j -0.0316955-0.20227j 0.0957181-0.0459351j -0.115516+0.164593j -0.10504-0.092198j 0.076831+0.0451563j -0.0331895-0.0811512j 0.0296632-0.0209066j -0.00993114+0.0303747j 0.0249592-0.0530766j -0.038754+0.000421392j 0.0157807+0.0173412j 0.0999742-0.0200643j 0.00371302-0.00553549j -0.00248409+0.00198336j -0.00293794+0.0185466j -0.0077463-0.0133587j -0.0722859-0.0492811j -0.0222795-0.0109991j -0.0118198-0.016016j 0.00988497-0.015261j -0.0304553+0.0335247j 0.0409838-0.019659j -0.00616629-0.031641j 0.0190601-0.0158067j -0.0194026+0.042225j -0.00233084+0.0199535j -0.0120143-0.0306545j 0.0460349-0.0145023j 
-0.00587293-0.00178795j 0.0203333-0.0496723j 0.00963694-0.109404j -0.0613043+0.0332092j -0.0595179+0.0258363j -0.0342766+0.067207j 0.0413742+0.0292979j 0.00751892+0.0960261j -0.1151+0.0677046j -0.00134539-0.0695992j -0.0581474+0.0115076j 0.0656096-0.0991628j -0.0897442-0.0260557j -0.019976+0.125612j 0.0189498-0.0258571j 0.0633011+0.00256589j -0.0123353-0.206457j -0.0390774+0.00350325j -0.0403093-0.0800305j -0.00494793-0.016824j 0.0399906-0.0298049j -0.00304132-0.00229401j 0.00322343-0.000337435j -0.0345016+0.00715576j -0.00012146-0.0141189j 0.0030439+0.0125395j 0.00979878+0.0159709j 0.00162903-0.00434818j 0.018395+0.0107963j 0.0213326+0.0105209j -0.00189777+0.00766325j -0.0104473+0.0343906j 0.0214941-0.00838262j 0.0108722+0.013367j -0.00518414+0.028202j -0.00810254+0.0326575j -0.0176327+0.00339332j 0.0078182-0.0119626j 0.0314786+0.00992656j -0.00439297-0.0104758j 
-0.0154948+0.00121596j 0.0287915-0.0421177j -0.0379675-0.0265835j -0.0292609+0.0869812j -0.0879556+0.122907j 0.046919+0.0736053j -0.0739682-0.0185918j 0.123216+0.0685111j -0.14321+0.190999j -0.225253-0.0836518j 0.0846573+0.0238251j 0.0203192+0.0843115j 0.0515213-0.0516667j -0.0353627-0.0844686j 0.00552341+0.000989479j 0.0379375-0.1361j -0.0606048-0.0646388j 0.101536-0.060156j -0.0610562-0.0148026j -0.018589+0.00814877j 0.0891215-0.101088j -0.0168259+0.00463436j -0.0369401+0.0677105j 0.0148397+0.0221616j -0.0611383+0.0394063j -0.00491563-0.00480708j 0.00101861-0.000460706j 0.00391293-0.0144747j 0.00717213-0.0290049j -0.0329206+0.0297949j 0.0203016+0.00837524j 0.00324032+0.00428123j 0.00100459-0.00120962j -0.00585073-0.00516689j 0.0261935-0.00166588j -0.0132307+0.0110915j -0.00551373-0.0352272j 0.00623585+0.0237292j -0.0150659-0.0271317j 0.00385352-0.0613355j 
-0.00256023-0.0271446j 0.0126378+0.100808j 0.0439638+0.0415041j -0.122166-0.0629174j -0.0971199-0.0447557j -0.0742616+0.044212j -0.0397646-0.047768j -0.118425-0.00555394j -0.152848-0.111743j 0.0782857-0.192478j -0.0373629+0.0431653j -0.00903387-0.0390732j 0.0455097-0.10763j 0.0218964-0.0471663j 0.0546793+0.0522255j 0.0947069+0.0568114j 0.177462+0.0173803j -0.0391527+0.0725843j 0.00469358-0.0578226j -0.0115622-0.0332504j 0.111783+0.0513967j 0.00140724-0.00729997j -0.047418-0.0110343j 0.0112939+0.0248347j -0.0248542-0.010025j 0.0193533-0.00465228j 0.000779279+0.000784797j 0.0182769-0.00337429j -0.000869361-0.0510474j -0.0175868+0.0359082j -0.00203861-0.00922457j 0.00443868-0.0340581j -0.0207243-0.0341707j 0.000438529+0.0122095j -0.00102535+0.0120668j -0.00313971-0.0291101j -0.0196989+0.0223554j 0.00779949+0.0293637j 0.0072507+0.0147388j 0.0388598-0.024574j 
-0.029734-0.0256743j 0.146143+0.163285j 0.126468+0.181842j -0.15944+0.15258j 0.0751573+0.000113517j 0.0402189+0.00529991j -0.148031+0.013589j 0.0167759-0.0533514j 0.0887651+0.0294098j -0.0535191-0.0606821j -0.0340597+0.0036681j 0.00529796-0.0299279j 0.0832645+0.0490487j 0.00716468+0.0453636j -0.0154351-0.0192776j 0.160826-0.0900332j 0.0956787+0.142765j 0.00834984+0.030177j -0.0947671+0.014004j -0.0135386-0.0268745j -0.0357638-0.0982995j -0.0299708+0.0167057j 0.0240356+0.0072459j 0.0488105-0.0106762j 0.0106065+0.0356233j -0.00228562-0.0023755j 0.00857256-0.00092799j 0.00237931-0.00937278j -0.0490179-0.0200414j 0.0134411+0.0105249j -0.00354892-0.0173934j 0.00277744-0.00564448j -0.0306747+0.0224511j 0.0381623-0.021829j -0.00637323-0.00805971j 0.000155473+0.0268804j -0.00826313+0.00125671j 0.0165859+0.0428152j 0.0109152-0.0587575j -0.0166828-0.0249689j 
0.0266207-0.00571275j -0.151339+0.0966445j -0.161423+0.125209j -0.136973-0.184669j 0.0496368+0.0647527j 0.0231222+0.0177993j -0.00731793-0.163248j 0.0989563-0.00619773j 0.107558+0.103703j 0.057109+0.00583333j -0.0147139+0.0081115j 0.0079932-0.0164985j -0.00867221+0.0193632j -0.00700997-0.000834591j 0.0303035+0.0171559j -0.00722832+0.10182j -0.184098+0.170317j -0.0490767+0.00474965j 0.00456899-0.0541414j 0.0224182-0.00150767j 0.121103-0.0796234j -0.00907588-0.0123408j 0.00908727+0.00982885j -0.00297953+0.0245383j -0.0360531+0.0183633j 0.00780679+0.00401862j -0.00407607-0.000922356j 0.0153303-0.00387744j 0.0149488+0.000319606j 0.0117872-0.00651785j 0.0155093-0.0029442j -0.00103426-0.00413319j 0.0113569-0.0039019j -0.015718+0.00585015j 0.00233348-0.00163698j -0.0176855-0.0238822j 0.00343489-0.0338253j -0.00314449+0.0751052j -0.00200575+0.0240545j 0.00808444-0.0575288j 
