0.0362864-0.0338001j 0.113775+0.0165715j -0.029688+0.00794688j -0.0482003-0.0322475j 0.00392927+0.0992577j 0.00977893+0.0078495j 0.00371838-0.0172097j -0.00884173+0.0287277j 0.0112161+0.00796685j -0.0331379-0.015759j -0.0175622+0.0115687j 0.00691086+0.0327215j 0.0124868-0.0171662j -0.00265029-0.0507988j 0.0258717+0.00633363j -0.0456168+0.00958723j 0.0110937-0.0109239j -0.00854736+0.00781854j -0.00948354-0.0148025j 0.0187346-0.000802401j -0.00871974-0.0226589j 0.025959-0.00689812j 0.00149521-0.019413j 0.00927676-0.0172341j 0.00475862-0.000444575j -0.00161393+0.0275746j -0.00511442+0.00741656j 0.0134277+0.0186282j 0.0188671-0.0187925j 0.0188653+0.0111425j 0.00138752-0.0125227j -0.0290749+0.00573628j 0.00889491+0.000786148j -0.00895188+0.019078j 0.0206719+0.0114889j -0.00488183+0.0151407j 
0.00428143-0.0426258j -0.0131291+0.0218006j -0.00706327+0.0160687j -0.0290695+0.0307129j 0.0085849+0.0210968j -0.0138128-0.0768247j 0.0403299-0.20293j -0.0607906+0.0432772j -0.00205617+0.0746669j 0.0884719+0.00169598j -0.16359-0.130008j -0.0250924+0.162735j -0.165053+0.138452j 0.0122406-0.0526925j 0.105311-0.0392419j -0.0838982+0.0507981j 0.0192618+0.00779728j -0.0395804-0.198661j -0.0252075-0.0489177j -0.00749747+0.00880098j 0.0127967+0.0445677j -0.000124159+0.0384792j 0.0771029+0.0104766j -0.0308536-0.0103858j 0.0482007-0.0357781j -0.0208261+0.0426048j -0.00359642+0.0657482j 0.0688835+0.0023444j -0.0292494-0.0302742j -0.0283579-0.0350953j 0.0188022-0.00834961j 0.0423224+0.0222724j 0.0432675+0.0202268j -0.0204241+0.0111422j 0.0426795+0.0304561j 0.0318586+0.0302285j 
-0.0214239-0.0540691j 0.0371766-0.0190617j 0.000909127-0.0697422j 0.0703071+0.070967j 0.0239358-0.0191883j -0.00366519-0.00890911j -0.0225986-0.031422j -0.249969+0.0938836j -0.105381-0.0180731j 0.332167+0.162583j -0.0306096-0.0368509j -0.202004+0.250382j -0.0768631+0.147196j 0.0754754+0.0455722j 0.0532852-0.046024j -0.0168922+0.0645332j 0.100007+0.0164604j -0.0411355-0.143078j -0.252353+0.0711288j 0.0715799-0.00690096j -0.0202158+0.0439239j -0.00264793+0.00837042j 0.0640723-0.00573661j -0.00224437+0.00555744j -0.0701255+0.0244196j -0.050968+0.00428709j 0.00553012+0.0200389j 0.00922364+0.026509j -0.0200438-0.021952j -0.0178654-0.0273541j 0.0303933-0.0391797j -0.0082912-0.0126663j 0.000374906+0.00117624j 0.032124-0.031461j -0.00838813+0.0247139j 0.0161353+0.000140537j 
-0.00693135+0.0344463j 0.00894246+0.0457987j -0.00855287+0.0420047j 0.00120318+0.115858j -0.0606483-0.0119122j -0.00541353+0.117254j -0.0457419+0.0142062j 0.0444195+0.0882093j -0.22686+0.00701823j 0.0531684+0.137093j 0.10757+0.214612j -0.0965416-0.120423j -0.108938+0.00710144j -0.00420047-0.0887706j 0.00776609-0.200947j -0.0363999-0.0124517j 0.100092+0.0523743j 0.00239088+0.038106j 0.0694778-0.00218754j 0.0101008+0.0903796j 0.026676+0.0625677j -0.020496+0.00338416j -0.0513493-0.0813186j -2.08404e-05-0.00932832j 0.0171168+0.0233833j -0.0237267-0.0472634j -0.0360321-0.0127615j -0.00971375+0.00990982j 0.0050641+0.0319617j -0.0101871+0.022129j 0.0227327+0.019057j -0.0114353-0.0222075j -0.0202917+0.00725645j -0.0177807+0.00800932j 0.00309472+0.00251258j -0.0519197+0.00904305j 
-0.0530743+0.0311149j -0.0416885+0.0526291j -0.029248-0.0277716j -0.0659845+0.00324698j -0.106404+0.0172014j -0.0815642-0.0747797j 0.075262+0.00322645j 0.123261-0.0980053j 0.0574274-0.287001j 0.0449658+0.297671j 0.145729-0.0296176j 0.0611945+0.00606288j 0.0937674+0.134315j 0.00816195+0.0169398j 0.125231+0.0859155j 0.0994503+0.0435877j -0.0734518+0.174585j 0.00422795+0.0231914j 0.0660633-0.144914j 0.0107307-0.0134953j -0.0623107-0.00250987j -0.0170186-0.105644j 0.0313593+0.0300449j 0.0931568+0.0871465j 0.0282511+0.0421184j -0.0726335-0.0431366j -0.0210304+0.00600985j 0.0123159+0.0195912j -0.0422924-0.00207133j -0.0298297+0.0178997j 0.0264131+0.0229966j 0.00714017+0.0336858j -0.00916606+0.0220089j -0.0222223+0.0249956j -0.0198411-0.0155109j -0.0502435+0.0234031j 
-0.0755027+0.041748j -0.018881-0.0219522j -0.0876357-0.0543366j -0.0688427-0.0933093j 0.0248852+0.0434148j -0.0260249-0.0563146j 0.00623153+0.0125182j -0.253455+0.0310291j 0.105731-0.279038j -0.0818365-0.21549j 0.195124-0.040126j -0.242607-0.0806323j -0.0543962+0.188476j 0.00231952-0.0378063j 0.178131+0.0853385j 0.00414663+0.0784624j -0.112497+0.0710089j -0.032028+0.0374772j -0.0620639+0.159753j -0.0638247-0.0381569j -0.0186024+0.014709j 0.111841+0.0855973j 0.0158394-0.0267209j 0.0118309-0.0992996j 0.0058875-0.0497674j -0.0229918+0.0556508j -0.0121668-0.00155062j 0.0199457-0.0027606j 0.00973064-0.0163722j 0.00159885-0.0103093j 0.0469764-0.0504788j 0.0225909-0.00432223j -0.00281759+0.00462967j -0.0160936+0.00490271j 0.0211881-0.00256642j 0.00592613+0.0231554j 
-0.0828277-0.0524929j 0.0224177+0.0159632j -0.0456469-0.0980883j 0.00586316-0.0747918j 0.00630216+0.0147274j 0.0227692-0.0538406j -0.0332293+0.0909861j -0.0306484+0.00901066j 0.409932-0.0141203j 0.144194+0.202808j 0.00613647-0.221574j 0.188937+0.0475134j 0.00748178+0.0262534j 0.0303851+0.0205856j -0.0586552+0.149967j -0.0169079+0.0664882j -0.223814+0.0247217j -0.13203-0.0397899j -0.0789424+0.0646583j 0.0801696+0.0309015j -0.0206115-0.0263715j -0.00290097-0.00578383j 0.0184029+0.0384436j 0.0286359+0.0489512j 6.79535e-05+0.0293135j -0.0459851+0.0176235j -0.0235412+0.0192663j 0.00156614+0.0185411j -0.00202348-0.0238772j -0.00517455-0.0120073j 0.00172753-0.011635j -0.0381968+0.0076052j -0.00956569+0.00170296j 0.0109159-0.0166198j 0.00599525-0.00486199j -0.0106058-0.0116541j 
0.0356462+0.00260573j 0.028109+0.0260094j 0.0238635+0.0317938j 0.00318729-0.0203248j -0.0535834-0.0238097j 0.0296999-0.105247j -0.0357038+0.049365j 0.174978+0.0208827j -0.239091+0.0275519j 0.165591+0.150219j 0.0205945-0.110908j 0.0313372-0.116104j 0.0198037+0.0664006j -0.0248705-0.0146404j 0.0285044+0.0438624j 0.038947+0.034293j 0.135447-0.0952703j -0.00591335-0.0137985j 0.148235-0.0179067j -0.00710026+0.109484j -0.0303866-0.0328613j -0.0271049+0.0164108j -0.0010632+0.00608431j 0.0710217+0.0425016j 0.041851+0.0249243j -0.0405132+0.00376524j -0.0285799-0.00131286j 0.0162962+0.000724075j -0.0253399+0.0129578j -0.0203593+0.0163316j -0.00530546+0.0223494j -0.00731857-0.00916293j -0.00481924+0.00603607j -0.0204617+0.0129076j -0.00401341+0.00141302j -0.0616181+0.018507j 
0.0625024+0.00517725j 0.0225711+0.0499188j 0.10713-0.0535025j 0.124682+0.165382j -0.00382006-0.0211107j 0.0889249-0.122198j -0.0267265-0.193044j 0.106273+0.0701422j 0.0411007-0.248387j -0.0359289+0.00251242j -0.000503969+0.0189232j 0.00470313+0.0158074j -0.00673173-0.0476631j -0.0424861+0.0244251j -0.166265-0.0450261j -0.0412339+0.0688825j 0.0149093+0.107448j -0.0248287-0.171078j -0.0714213+0.0172107j 0.00810303-0.0235698j -0.00950433+0.0338198j -0.00238905+0.0297792j 0.0517179-0.0152218j 0.0101961-0.0663763j -0.000207163-0.0234128j -0.0070067+0.00603529j 0.0326582-0.0159076j 0.0150737-0.0168092j -0.0105623-0.00728883j 0.00604814-0.0146749j 0.00144012+0.0343425j 0.0257161+0.0183099j 0.0173725+0.00298932j 0.00102786-0.00363061j 0.0281632+0.0283424j 0.0338487+0.0087828j 
-0.010084+0.0624859j 0.0412383-0.0662424j -0.0274953-0.0679159j 0.147521-0.175438j 0.037778+0.0312764j -8.02971e-05-0.108207j -0.0490705+0.0395082j -0.0279319-0.267219j -0.178083-0.0912795j -0.0759994-0.0347329j -0.0216105-0.0161401j -0.0284281+0.0360964j 0.0102044+0.0400312j 0.0125239+0.0143101j -0.0551177+0.232592j 0.0165839-0.0279185j 0.0196025-0.0136022j -0.107961+0.0489123j 0.0279892-0.119939j -0.0244743-0.0574782j 0.00567043-0.00753638j 0.0785256-0.0100996j 0.00269289+0.0182267j -0.0484041-0.0141479j -0.0184837-0.025937j 0.0495697+0.00942945j -0.00699743+0.0313823j -0.0109244-0.00396897j 0.0125069-0.0171383j 0.00357734-0.00603586j 0.0167427-0.0425933j -0.0033486+0.0165506j 0.00940261-0.0184667j 0.0231989-0.00182479j 0.0268918-0.0281098j 0.0500773-0.00371297j 
0.1301-0.0159485j -0.0298551-0.0941737j 0.143398-0.127727j -0.128781-0.277549j -0.0171529-0.0487943j -0.00764098-0.10508j 0.071136+0.0877645j 0.00132276+0.0964064j -0.0546508-0.00940227j 0.0199363-0.129688j 0.0089346-0.0911926j -0.00231351-0.0287863j 0.00791825+0.0816225j -0.00570876+0.0140391j 0.0246088+0.213639j -0.0531606+0.0769001j -0.0355625-0.100237j 0.117176+0.111214j -0.00435851+0.114893j 0.0490916-0.0323236j -0.0370887-0.0460232j -0.0203572-0.06697j 0.0298974+0.00339238j 0.0298119+0.0354376j 0.00452186+0.032006j 0.012962-0.0198913j 0.0322287-0.0371934j 0.0103225+0.0031222j -0.0115348-0.0137487j 0.000922076-0.0131287j -0.0582615+0.0235457j 0.00732841+0.0130937j -0.00474761-0.0124799j -0.00178292-0.0324543j -0.0548919-0.0172224j -0.0350754-0.033079j 
-0.0526056-0.240333j -0.0250169+0.0194906j -0.144356-0.287203j -0.0876237+0.028291j -0.0222085+0.00267872j -0.0776841-0.113803j -0.0210258-0.0506258j 0.0731534-0.078108j -0.0695584+0.100289j -0.0438547+0.0486134j -0.0141649+0.0272205j -0.0144193+0.0313218j 0.0274354-0.0385374j 0.00835292+0.0802007j 0.083217+0.166642j 0.0566668+0.153578j -0.0609045-0.0907732j -0.0733692-0.223385j -0.0301955+0.0276036j -0.019634-0.0618464j -0.00193653+0.0299576j -0.0233657+0.087237j 0.00701849-0.0289267j 0.00813113-0.00644059j 0.00251558-0.00772986j -0.0204267-0.0357125j -0.0112037-0.0342083j -0.00887527-0.00360847j -0.0222195-0.0134061j -0.0240036-0.0286073j 0.0479677+0.0650407j 0.0303045+0.0145665j -0.0103369-0.00287075j -0.0417274-0.0283438j 0.0343912+0.035416j -0.00974673-0.00644218j 
