-0.506424-0j -0.0515245-0j -0.0520585-0j -0.0296544-0j -0.00428024-0j -0.0366954-0j -0.0214057-0j -0.00529653-0j -0.00308964-0j 0.0620385-0j 0.010967-0j -0.0243869-0j 0.000913914-0j -0.0149339-0j -0.0213385-0j -0.00431103-0j -0.00263996-0j -0.00880169-0j -0.000359253-0j -0.00377215-0j -0.000219996-0j -0.00155593-0j -0.000314346-0j -0.000129661-0j -0.0161406-0j -0.00269011-0j 0.0541134-0j -0.00164735-0j -0.000336263-0j -0.014887-0j -1.98145e-05-0j -0.0150413-0j 0.00901891-0j -0.0130261-0j 0.00552293-0j -0.00248117-0j -0.010746-0j 0.00112736-0j -0.0015194-0j -0.00250688-0j 6.64305e-05-0j -0.0034334-0j -0.000310146-0j -0.00153514-0j -0.00217102-0j -0.00132947-0j -1.82755e-05-0j -0.001791-0j -0.00031336-0j -0.000271378-0j -0.00109676-0j -1.84649e-05-0j -0.000572234-0j -0.000223875-0j -0.00035042-0j -1.59911e-05-0j -7.15292e-05-0j -1.3192e-05-0j -4.2149e-06-0j 
0.0486485-0j -0.00254083-0j -0.00230491-0j -0.274947-0j 0.000415094-0j -0.337014-0j 0.387941-0j 0.0005088-0j -0.000585685-0j -0.00103079-0j 0.0174212-0j -0.00460711-0j -1.5185e-05-0j -0.000736434-0j -0.000944774-0j 0.0778637-0j 0.0124463-0j -0.000519643-0j -6.78692e-05-0j 0.0159674-0j -1.08487e-05-0j 0.00878235-0j -1.39178e-05-0j -7.65506e-06-0j -0.000795944-0j -0.000132657-0j 0.00175149-0j 0.0156143-0j 0.00158534-0j 0.00144373-0j -9.77113e-07-0j 0.00130968-0j 0.000291916-0j 0.00125133-0j -0.0343597-0j 0.000240622-0j -0.00203706-0j -0.00348858-0j -0.0283222-0j 0.00021828-0j 2.15016e-06-0j 0.0021564-0j -0.00287558-0j -0.0256925-0j 0.000208555-0j -0.0245478-0j 1.77235e-06-0j -0.00033951-0j -0.00260859-0j -0.00249236-0j 0.0399617-0j 1.60778e-06-0j 0.0003594-0j 0.00405736-0j -0.0423028-0j 1.53615e-06-0j -0.00429505-0j -2.50073e-06-0j 2.64723e-06-0j 
-0.000107061-0j -0.05821-0j -0.0584389-0j 0.00071159-0j 0.456588-0j 7.53682e-06-0j 0.0005088-0j 0.00483595-0j 0.326468-0j -0.000255055-0j 0.00429696-0j 1.01389e-05-0j -0.0511867-0j 0.000536285-0j -0.000244191-0j -0.000170812-0j -0.0090349-0j 0.000314747-0j 0.00203477-0j 0.00411393-0j 0.107627-0j -0.0053026-0j -0.0490065-0j 0.0631662-0j -0.000196945-0j 0.00312821-0j -3.85453e-06-0j -2.01006e-05-0j -0.0182397-0j -0.000347061-0j -0.00663378-0j -0.000348426-0j 6.12242e-05-0j 8.10465e-06-0j -3.93402e-07-0j 0.00551261-0j -0.000248155-0j -0.000356981-0j -3.54218e-05-0j 0.00553428-0j -0.000129834-0j 0.000163946-0j -0.0321425-0j -3.5561e-05-0j -0.000128732-0j 8.27177e-07-0j -0.0116902-0j 0.00394161-0j -0.0322689-0j 0.000750598-0j -2.53272e-05-0j -0.0117362-0j -0.00260406-0j -0.0229825-0j 1.67326e-05-0j 0.000272992-0j 0.0151836-0j -0.0083587-0j 0.00552225-0j 
-0.00218471-0j -0.104108-0j 0.0214029-0j -0.000127929-0j -0.0820847-0j 0.000777999-0j -9.23439e-05-0j 0.499198-0j -0.0592519-0j -9.01755e-05-0j 0.0015192-0j -0.000105205-0j -0.0180972-0j -0.00080482-0j 0.000452409-0j 0.0017724-0j 0.0135589-0j -3.79704e-05-0j -0.0211135-0j -0.00762182-0j -0.161519-0j 0.000639695-0j 0.0907936-0j -0.00762025-0j -6.96306e-05-0j 0.00110599-0j -7.86561e-05-0j -7.10664e-06-0j -0.00644872-0j 0.000315627-0j -0.00234539-0j -6.4888e-05-0j 0.00124935-0j -0.000702008-0j -8.02781e-06-0j -0.00501332-0j 0.000227832-0j -0.0072846-0j 3.22136e-05-0j 0.00103066-0j -0.0026494-0j -1.48117e-05-0j 0.0292313-0j -6.6226e-06-0j 0.0111505-0j -7.16484e-05-0j 0.0106314-0j -0.00361881-0j -0.00600949-0j -0.0650153-0j 2.3253e-05-0j -0.00218565-0j 0.000235264-0j 0.0211003-0j -1.51171e-06-0j -0.023646-0j -0.00137176-0j 0.00767415-0j -0.000498907-0j 
0.0255703-0j 0.00793143-0j 0.00272125-0j 0.148289-0j -0.000223875-0j 0.521332-0j 0.0961058-0j -0.00078707-0j -0.000145093-0j -0.00109332-0j 0.0184779-0j 0.00123134-0j -1.61061e-05-0j -0.000693427-0j -0.00328278-0j -0.0208106-0j 0.0117194-0j -0.00217587-0j 1.81394e-05-0j 0.0554814-0j -1.02151e-05-0j 0.0367739-0j -4.83599e-05-0j -3.20536e-05-0j -0.000844226-0j -0.000140704-0j 0.000920609-0j 0.0165615-0j 0.00168151-0j 0.00229163-0j -1.03639e-06-0j 0.000786253-0j 0.000153435-0j 0.000583886-0j -0.0180599-0j 0.000381939-0j 0.00148521-0j -0.00183364-0j -0.0449558-0j 0.000131042-0j 1.13015e-06-0j -0.00188314-0j -0.00456441-0j -0.0154242-0j 9.73144e-05-0j -0.0114543-0j 2.81325e-06-0j 0.000247535-0j -0.00156604-0j -0.00116297-0j -0.0291359-0j 9.65216e-07-0j -0.000313856-0j -0.00295819-0j 0.0369422-0j 7.16788e-07-0j 0.00375078-0j 1.82326e-06-0j -2.31177e-06-0j 
-0.00702181-0j -0.0349508-0j -0.0317056-0j -0.000415094-0j -0.266343-0j -0.0005088-0j 0.000585685-0j -0.326468-0j 0.375801-0j 0.000148782-0j -0.00250656-0j 0.000664979-0j 0.0298589-0j 0.000106295-0j 0.000136366-0j -0.011203-0j -0.00179077-0j 7.5004e-05-0j 0.133454-0j -0.00229739-0j 0.0213323-0j -0.00126361-0j 0.0273672-0j 0.0150525-0j 0.000114885-0j -0.00182479-0j -0.000252806-0j 1.17254e-05-0j 0.0106398-0j -0.000208385-0j 0.0038697-0j -0.000189036-0j 0.0040155-0j -0.000180614-0j -2.5802e-05-0j 0.00330991-0j 0.000294024-0j -0.0234132-0j -2.12682e-05-0j 0.00300259-0j -0.00851538-0j -0.000311249-0j -0.0192992-0j -1.92934e-05-0j 0.00286881-0j -1.84338e-05-0j -0.0070191-0j -0.00467018-0j -0.0175073-0j -0.0167272-0j 3.00087e-05-0j -0.00636738-0j 0.00494378-0j 0.0272306-0j -3.17667e-05-0j -0.00608368-0j -0.0288258-0j 0.00990373-0j -0.0104839-0j 
-0.00369076-0j 0.109102-0j 0.0374326-0j 0.000223875-0j 0.143648-0j 0.00078707-0j 0.000145093-0j 0.505018-0j 0.0930984-0j 0.000157807-0j -0.00265861-0j -0.000177729-0j 0.0316702-0j 0.000100088-0j 0.000473828-0j 0.00299423-0j -0.00168619-0j 0.00031406-0j -0.0356682-0j -0.00798267-0j 0.0200865-0j -0.00529103-0j 0.0950921-0j 0.0630284-0j 0.000121854-0j -0.00193548-0j -0.000132878-0j 1.24366e-05-0j 0.0112853-0j -0.000330769-0j 0.00410444-0j -0.000113486-0j 0.0021106-0j -8.42767e-05-0j -1.35618e-05-0j 0.00525383-0j -0.000214371-0j -0.0123063-0j -3.3759e-05-0j 0.00180257-0j -0.0044758-0j 0.000271808-0j -0.0306336-0j -1.15826e-05-0j 0.00133862-0j -8.60146e-06-0j -0.0111414-0j 0.003405-0j -0.0105103-0j -0.00780515-0j -2.18792e-05-0j -0.00382259-0j -0.0043173-0j -0.0198536-0j 2.77412e-05-0j -0.00283873-0j 0.025173-0j -0.00722075-0j 0.0091554-0j 
-0.0452834-0j -0.00152731-0j 0.00750716-0j -0.0865017-0j 0.000130594-0j -0.304772-0j -0.0747552-0j 0.000460123-0j 0.00011286-0j 0.00063777-0j -0.0107788-0j -0.00218063-0j 9.39524e-06-0j -0.00134099-0j -0.00298955-0j 0.0368543-0j 0.0226638-0j -0.00373623-0j -3.21237e-05-0j 0.0505256-0j -1.97547e-05-0j 0.0631452-0j -4.40402e-05-0j -5.50399e-05-0j 0.000492465-0j 8.20775e-05-0j -0.00163034-0j -0.00966087-0j -0.000980879-0j -0.000441285-0j 6.04558e-07-0j 0.00216905-0j -0.000271724-0j 0.003428-0j 0.031983-0j -7.35476e-05-0j -0.000381361-0j 0.00324727-0j 0.00865686-0j 0.000361508-0j -2.00143e-06-0j -0.00195042-0j 0.00087894-0j -0.042551-0j 0.000571334-0j -0.0672484-0j -5.41729e-07-0j -6.35602e-05-0j -0.00432025-0j -0.0068278-0j 0.0074813-0j 2.66276e-06-0j -0.000325071-0j 0.000759585-0j 0.0382622-0j 4.20827e-06-0j 0.0038848-0j -4.68165e-07-0j -2.39437e-06-0j 
0.0065361-0j -0.0210091-0j 0.103266-0j -0.000130594-0j -0.0837948-0j -0.000460123-0j -0.00011286-0j -0.295235-0j -0.0724159-0j -9.20542e-05-0j 0.00155085-0j 0.000314747-0j -0.0184743-0j 0.000193556-0j 0.000431504-0j -0.0053026-0j -0.00326087-0j 0.000539279-0j 0.0631662-0j -0.00726963-0j 0.0388445-0j -0.00908533-0j 0.0865982-0j 0.108227-0j -7.10812e-05-0j 0.00112903-0j 0.00023532-0j -7.2547e-06-0j -0.00658307-0j 6.36941e-05-0j -0.00239426-0j -0.000313075-0j -0.00373774-0j -0.000494789-0j 2.40172e-05-0j -0.0010117-0j 5.50447e-05-0j 0.0217937-0j 6.50075e-06-0j 0.00497278-0j 0.00792636-0j 0.000281519-0j 0.00589892-0j -3.19531e-05-0j 0.00785908-0j -5.04992e-05-0j 0.00214543-0j -0.000874313-0j -0.0289949-0j -0.0458241-0j 5.61798e-06-0j -0.0105454-0j -0.00447156-0j 0.00509788-0j 2.87324e-05-0j -0.0166662-0j 0.0260724-0j 0.00185409-0j 0.00948253-0j 
0.0197354-0j -0.00041011-0j -0.00753197-0j 0.0225661-0j -3.40686e-05-0j -0.136718-0j -0.711016-0j 0.000206406-0j 0.00107344-0j -0.000166378-0j 0.00281191-0j 0.00095036-0j -2.45098e-06-0j -0.000118866-0j -0.00308732-0j -0.0160618-0j 0.00200893-0j -0.00220286-0j 1.40001e-05-0j 0.052178-0j -1.75106e-06-0j 0.03723-0j -4.54805e-05-0j -3.24512e-05-0j -0.000128472-0j -2.14119e-05-0j 0.000710534-0j 0.00252028-0j 0.000255886-0j -0.000118493-0j -1.57714e-07-0j -0.00217622-0j 0.000118422-0j 0.00050763-0j -0.0139388-0j -1.97489e-05-0j 0.00373351-0j -0.00141522-0j 0.00232453-0j -0.000362703-0j 8.72263e-07-0j -0.0038593-0j 0.000236012-0j 0.0426917-0j 8.4605e-05-0j -0.00995837-0j -1.45464e-07-0j 0.000622252-0j 0.00433453-0j -0.00101108-0j -0.0732416-0j -2.67156e-06-0j -0.000643217-0j -0.0074363-0j 0.0757094-0j 6.23175e-07-0j 0.00768685-0j 4.58332e-06-0j -4.73774e-06-0j 
-0.00284856-0j -0.00564134-0j -0.103607-0j 3.40686e-05-0j 0.0218599-0j -0.000206406-0j -0.00107344-0j -0.132439-0j -0.688767-0j 2.40146e-05-0j -0.000404578-0j -0.000137173-0j 0.00481947-0j 1.71569e-05-0j 0.000445616-0j 0.00231097-0j -0.000289045-0j 0.000317955-0j -0.0275291-0j -0.00750738-0j 0.00344319-0j -0.00535665-0j 0.0894303-0j 0.0638101-0j 1.85433e-05-0j -0.000294536-0j -0.000102557-0j 1.89257e-06-0j 0.00171736-0j 1.7103e-05-0j 0.000624601-0j 0.00031411-0j 0.00162898-0j -7.32701e-05-0j -1.04672e-05-0j -0.000271659-0j -0.000538886-0j -0.00949813-0j 1.74557e-06-0j -0.00498922-0j -0.00345446-0j 0.000557042-0j 0.00158397-0j 3.20587e-05-0j 0.0011638-0j -7.4781e-06-0j 0.000576089-0j 0.00855949-0j 0.0290908-0j -0.00678579-0j -5.49998e-05-0j 0.0105803-0j -0.00884788-0j -0.049908-0j 5.68529e-05-0j -0.00246799-0j 0.0515895-0j -0.0181515-0j 0.0187631-0j 
0.0316024-0j 0.00321529-0j 0.00324861-0j 0.00185053-0j 0.000267101-0j 0.00228991-0j 0.00133578-0j 0.00033052-0j 0.000192803-0j -0.18831-0j 0.00023059-0j -0.219695-0j 1.92159e-05-0j -0.134535-0j -0.192233-0j 0.000269022-0j 0.000164742-0j -0.0792922-0j 2.24185e-05-0j 0.000235394-0j 1.37285e-05-0j 9.70952e-05-0j 1.96162e-05-0j 8.09127e-06-0j 0.00100723-0j -0.0242345-0j 0.00113778-0j 0.0001028-0j 2.09839e-05-0j 0.000928997-0j 1.23649e-06-0j 0.000938624-0j -0.0273758-0j 0.000812872-0j 0.000116125-0j -0.0223522-0j 0.000670585-0j 2.37038e-05-0j 9.48153e-05-0j -0.0225839-0j 1.39676e-06-0j 0.000214255-0j 1.93541e-05-0j 9.57979e-05-0j -0.0195582-0j 8.29634e-05-0j 1.14045e-06-0j -0.0161347-0j 1.95547e-05-0j 1.69348e-05-0j 6.84413e-05-0j 1.15227e-06-0j -0.00515511-0j 1.39705e-05-0j 2.18673e-05-0j 9.97895e-07-0j 4.46365e-06-0j 8.23221e-07-0j 2.63023e-07-0j 
-0.00558657-0j 0.0268001-0j 0.0270778-0j 0.0312753-0j 0.00449989-0j 0.0387012-0j 0.0225757-0j 0.00556833-0j 0.00324819-0j -0.00023059-0j -0.183755-0j -0.000269022-0j 0.000487298-0j -0.000164742-0j -0.000235394-0j -0.21438-0j -0.131281-0j -9.70952e-05-0j 0.000568515-0j -0.187583-0j 0.000348143-0j -0.077374-0j 0.00049745-0j 0.000205188-0j -0.000178054-0j 0.00139924-0j -0.000201134-0j 0.00349296-0j -0.0337983-0j -0.000164225-0j 4.18813e-05-0j -0.000165927-0j 0.00158061-0j -0.000143697-0j 0.00394571-0j 0.00129056-0j -0.000118544-0j -0.0381792-0j 0.00322166-0j 0.00130394-0j 4.73099e-05-0j -3.78753e-05-0j -0.0311732-0j 0.00325505-0j 0.00112924-0j 0.00281895-0j 3.86284e-05-0j 0.000931578-0j -0.0314962-0j -0.0272765-0j 0.00232552-0j 3.90287e-05-0j 0.000297644-0j -0.022502-0j 0.000743014-0j 3.37998e-05-0j -0.0071895-0j 2.78834e-05-0j 8.9089e-06-0j 
0.000465548-0j -0.00679476-0j -0.00686518-0j 2.72608e-05-0j 0.0536042-0j 3.37336e-05-0j 1.96779e-05-0j 0.0663318-0j 0.0386935-0j 1.92159e-05-0j -0.000487298-0j 2.24185e-05-0j -0.177923-0j 1.37285e-05-0j 1.96162e-05-0j -0.000568515-0j -0.000348143-0j 8.09127e-06-0j -0.207577-0j -0.00049745-0j -0.127115-0j -0.000205188-0j -0.18163-0j -0.0749185-0j 1.48379e-05-0j -0.000354756-0j 1.67611e-05-0j 1.51438e-06-0j 0.00421124-0j 1.36854e-05-0j -0.0472949-0j 1.38272e-05-0j -0.00040074-0j 1.19747e-05-0j 1.71068e-06-0j -0.000327203-0j 9.87865e-06-0j 0.0047571-0j 1.39676e-06-0j -0.000330593-0j -0.0534252-0j 3.15628e-06-0j 0.00388416-0j 1.41124e-06-0j -0.000286302-0j 1.22217e-06-0j -0.0436215-0j -0.000236187-0j 0.00392441-0j 0.00339864-0j 1.00824e-06-0j -0.0440736-0j -7.5463e-05-0j 0.00280373-0j 3.22136e-07-0j -0.0381688-0j 0.000895806-0j -0.0314877-0j -0.0100605-0j 
-0.000597538-0j -0.0035089-0j 0.00342242-0j -0.00201951-0j -0.000291491-0j -4.32976e-05-0j 0.00283975-0j -6.24947e-06-0j 0.000409883-0j 0.205506-0j -0.000251647-0j 0.00415399-0j -2.09706e-05-0j 0.146821-0j -0.202518-0j -5.08667e-06-0j -0.000179785-0j -0.253602-0j -4.23889e-07-0j 0.000247988-0j -1.49821e-05-0j 0.000310541-0j 2.06657e-05-0j 2.58784e-05-0j -0.0010992-0j 0.0264475-0j -2.15132e-05-0j -0.000112187-0j -2.29001e-05-0j -0.00101383-0j -1.3494e-06-0j 0.000988841-0j 0.000517621-0j -1.53698e-05-0j -2.19568e-06-0j 0.0243933-0j 0.0014256-0j -4.48192e-07-0j -0.000103474-0j -0.0237921-0j -2.641e-08-0j 0.000915026-0j -2.11215e-05-0j 0.000100923-0j 0.000369806-0j -1.56867e-06-0j -1.24459e-06-0j -0.0343009-0j 2.06009e-05-0j -3.20204e-07-0j 0.0001455-0j 1.21392e-06-0j -0.0220161-0j 2.97001e-05-0j 9.33894e-05-0j -1.88682e-08-0j 1.9063e-05-0j 1.75009e-06-0j 1.1233e-06-0j 
0.000105631-0j -0.0292474-0j 0.0285265-0j -0.0341313-0j -0.00491081-0j -0.000731762-0j 0.0479939-0j -0.000105286-0j 0.00690537-0j 0.000251647-0j 0.200535-0j 5.08667e-06-0j -0.000531797-0j 0.000179785-0j -0.000247988-0j 0.0040535-0j 0.143269-0j -0.000310541-0j -1.07495e-05-0j -0.197619-0j -0.000379934-0j -0.247467-0j 0.000524064-0j 0.000656256-0j 0.000194314-0j -0.00152701-0j 3.80303e-06-0j -0.00381192-0j 0.0368846-0j 0.000179221-0j -4.57057e-05-0j -0.000174804-0j -2.98862e-05-0j 2.71702e-06-0j -7.46055e-05-0j -0.00140841-0j -0.000252014-0j 0.000721892-0j -0.00351585-0j 0.0013737-0j -8.94535e-07-0j -0.000161755-0j 0.0340198-0j 0.0034292-0j -2.13517e-05-0j -5.33007e-05-0j -4.21558e-05-0j 0.00198045-0j -0.0331813-0j 0.000515744-0j 0.00494384-0j 4.11168e-05-0j 0.00127115-0j -0.0478372-0j 0.00317321-0j -6.39087e-07-0j -0.0307044-0j 5.92777e-05-0j 3.80475e-05-0j 
-8.80257e-06-0j 0.00741524-0j -0.00723247-0j -2.97502e-05-0j -0.0584991-0j -6.37834e-07-0j 4.18335e-05-0j -0.0012542-0j 0.082259-0j -2.09706e-05-0j 0.000531797-0j -4.23889e-07-0j 0.194171-0j -1.49821e-05-0j 2.06657e-05-0j 1.07495e-05-0j 0.000379934-0j 2.58784e-05-0j 0.00392487-0j -0.000524064-0j 0.138722-0j -0.000656256-0j -0.191347-0j -0.239613-0j -1.61928e-05-0j 0.000387151-0j -3.16919e-07-0j -1.65267e-06-0j -0.0045958-0j -1.49351e-05-0j 0.0516137-0j 1.4567e-05-0j 7.57718e-06-0j -2.26418e-07-0j -3.23455e-08-0j 0.000357082-0j 2.10011e-05-0j -8.99472e-05-0j -1.52431e-06-0j -0.00034828-0j 0.00101016-0j 1.34796e-05-0j -0.00423884-0j 1.48674e-06-0j 5.4134e-06-0j -2.31087e-08-0j 0.0476049-0j -0.000502113-0j 0.00413437-0j -6.42614e-05-0j 2.14342e-06-0j -0.0464315-0j -0.000322282-0j 0.00596048-0j 1.37576e-06-0j 0.000721696-0j 0.00382574-0j -0.0669399-0j -0.0429655-0j 
-0.0267145-0j 0.00264061-0j -0.00274615-0j -0.00156431-0j -0.000225788-0j 0.00188063-0j -0.00112918-0j 0.000271445-0j -0.000162983-0j 0.159184-0j -0.000194925-0j 0.185715-0j -1.62438e-05-0j -0.334705-0j -0.157875-0j -0.000227413-0j 0.000409855-0j 0.0670281-0j -1.8951e-05-0j 0.000193321-0j 3.41546e-05-0j -8.20775e-05-0j 1.61101e-05-0j -6.83979e-06-0j 0.0033849-0j -0.0814427-0j -0.000961803-0j 0.00034547-0j 7.05188e-05-0j 0.000762953-0j 4.15536e-06-0j -0.000793447-0j 0.0231416-0j 0.00202231-0j -9.81636e-05-0j -0.0183571-0j 0.000550729-0j -2.00376e-05-0j 7.78686e-05-0j 0.0190908-0j -1.18073e-06-0j -0.000181116-0j 1.58949e-05-0j -8.09809e-05-0j -0.0486581-0j 0.000206402-0j 9.36613e-07-0j -0.0132509-0j -1.65302e-05-0j 4.21315e-05-0j 5.62085e-05-0j -9.74048e-07-0j 0.00435777-0j 1.14735e-05-0j -1.84851e-05-0j 2.48262e-06-0j -3.77326e-06-0j 6.76083e-07-0j -2.22341e-07-0j 
-0.026056-0j 0.00274615-0j -0.00277294-0j 0.00158052-0j 0.000228128-0j -0.00188802-0j 0.00102433-0j -0.000272512-0j 0.00014785-0j -0.160834-0j 0.000196945-0j 0.181138-0j 1.64121e-05-0j -0.114905-0j 0.164086-0j -0.000221807-0j 0.000140704-0j -0.320084-0j -1.84839e-05-0j -0.000200927-0j 1.17254e-05-0j 0.00039195-0j -1.67439e-05-0j 3.26625e-05-0j -0.00341998-0j 0.0822867-0j -0.000938097-0j -0.00034905-0j -7.12496e-05-0j 0.000793447-0j -4.19842e-06-0j -0.000801188-0j 0.0225712-0j -0.000670209-0j -9.57441e-05-0j -0.0190908-0j 0.000514233-0j -1.95437e-05-0j 8.09809e-05-0j 0.0192771-0j -1.15162e-06-0j 0.00191891-0j 1.65302e-05-0j -8.17709e-05-0j 0.0161256-0j -6.84029e-05-0j 9.74048e-07-0j -0.0123727-0j -1.66914e-05-0j -1.39627e-05-0j 5.24837e-05-0j -9.83552e-07-0j -0.0461701-0j 1.07132e-05-0j 0.000195848-0j -8.22759e-07-0j 3.99773e-05-0j 6.3128e-07-0j 2.35568e-06-0j 
-0.0243869-0j -0.00248117-0j -0.00250688-0j 0.00280833-0j 0.000405348-0j -0.00176707-0j -0.00103079-0j -0.000255055-0j -0.000148782-0j -0.431282-0j 0.000528115-0j -0.333406-0j 4.40096e-05-0j 0.103818-0j 0.148342-0j 0.000408264-0j -0.000127127-0j 0.061188-0j 3.4022e-05-0j -0.000181648-0j -1.0594e-05-0j -7.49262e-05-0j -1.51374e-05-0j -6.24385e-06-0j -0.000777254-0j 0.0187012-0j 0.00260584-0j -7.93282e-05-0j -1.61928e-05-0j 0.00140983-0j -9.5417e-07-0j 0.00142444-0j -0.062698-0j -0.000627275-0j 0.000265957-0j -0.0339214-0j -0.000517476-0j 5.42883e-05-0j 0.00014389-0j -0.0342729-0j 3.19897e-06-0j -0.000165336-0j 2.93715e-05-0j 0.000145381-0j 0.0150926-0j -6.4021e-05-0j 1.73073e-06-0j 0.0124508-0j 2.96758e-05-0j -1.30682e-05-0j -5.28146e-05-0j 1.74867e-06-0j 0.00397808-0j -1.07807e-05-0j -1.68745e-05-0j -7.70053e-07-0j -3.4445e-06-0j -6.35261e-07-0j -2.02969e-07-0j 
0.0047225-0j 0.02201-0j -0.0228897-0j -0.026438-0j -0.0038039-0j 0.031784-0j -0.0190839-0j 0.00457308-0j -0.0027458-0j 0.000194925-0j 0.155333-0j 0.000227413-0j -0.000411928-0j -0.000409855-0j -0.000193321-0j 0.181222-0j -0.326608-0j 8.20775e-05-0j -0.000480583-0j -0.154055-0j 0.000866131-0j 0.0654066-0j 0.000408539-0j -0.000173451-0j -0.000598372-0j 0.00470231-0j 0.000170024-0j 0.0117385-0j -0.113583-0j -0.000134872-0j 0.000140747-0j 0.000140263-0j -0.00133614-0j -0.000357498-0j -0.00333543-0j 0.0010599-0j -9.7356e-05-0j 0.032274-0j 0.00264584-0j -0.00110226-0j -3.99925e-05-0j 3.20172e-05-0j -0.0256015-0j -0.00275159-0j 0.0028094-0j 0.00701317-0j 3.17242e-05-0j 0.000765073-0j 0.0266247-0j -0.0678603-0j 0.00190987-0j -3.29921e-05-0j -0.000251607-0j -0.0184801-0j -0.000628093-0j 8.40893e-05-0j 0.0060775-0j 2.28997e-05-0j -7.53096e-06-0j 
0.0046061-0j 0.0228897-0j -0.023113-0j 0.0267119-0j 0.00384332-0j -0.0319089-0j 0.017312-0j -0.00459106-0j 0.00249085-0j -0.000196945-0j -0.156943-0j 0.000221807-0j 0.000416197-0j -0.000140704-0j 0.000200927-0j 0.176756-0j -0.112126-0j -0.00039195-0j -0.000468737-0j 0.160117-0j 0.000297345-0j -0.31234-0j -0.000424612-0j 0.000828295-0j 0.000604573-0j -0.00475104-0j 0.000165834-0j -0.0118601-0j 0.11476-0j -0.000140263-0j -0.000142205-0j 0.000141631-0j -0.0013032-0j 0.000118477-0j -0.00325322-0j 0.00110226-0j -9.09044e-05-0j 0.0314786-0j 0.00275159-0j -0.00111301-0j -3.90068e-05-0j -0.000339219-0j -0.0266247-0j -0.00277844-0j -0.000931055-0j -0.00232421-0j 3.29921e-05-0j 0.000714373-0j 0.0268845-0j 0.0224894-0j 0.0017833-0j -3.3314e-05-0j 0.00266575-0j -0.0172555-0j 0.00665458-0j -2.78678e-05-0j -0.0643905-0j 2.13822e-05-0j 7.97897e-05-0j 
-0.000393542-0j -0.0055803-0j 0.00580334-0j -2.30444e-05-0j -0.0453132-0j 2.77042e-05-0j -1.66343e-05-0j 0.054476-0j -0.0327088-0j -1.62438e-05-0j 0.000411928-0j -1.8951e-05-0j 0.150404-0j 3.41546e-05-0j 1.61101e-05-0j 0.000480583-0j -0.000866131-0j -6.83979e-06-0j 0.175471-0j -0.000408539-0j -0.316243-0j 0.000173451-0j -0.149166-0j 0.0633309-0j 4.98643e-05-0j -0.0011922-0j -1.41687e-05-0j 5.08925e-06-0j 0.0141523-0j 1.12394e-05-0j -0.15894-0j -1.16886e-05-0j 0.000338757-0j 2.97915e-05-0j -1.44609e-06-0j -0.00026872-0j 8.113e-06-0j -0.00402132-0j 1.14711e-06-0j 0.000279461-0j 0.045162-0j -2.6681e-06-0j 0.00318992-0j -1.19296e-06-0j -0.00071228-0j 3.04058e-06-0j -0.0358249-0j -0.000193973-0j -0.00331742-0j 0.00845534-0j 8.2803e-07-0j 0.0372567-0j 6.37911e-05-0j 0.00230261-0j -2.72312e-07-0j -0.0949588-0j -0.000757252-0j -0.0258597-0j 0.00850441-0j 
0.000522846-0j -0.00298289-0j -0.00299461-0j 0.00176707-0j 0.000255055-0j -3.68069e-05-0j -0.00248478-0j -5.31262e-06-0j -0.000358647-0j 0.533684-0j -0.000653509-0j -0.00363474-0j -5.44591e-05-0j 0.37809-0j -0.172159-0j 4.45083e-06-0j -0.00046298-0j 0.221901-0j 3.70903e-07-0j 0.000210812-0j -3.85817e-05-0j -0.000271724-0j 1.75677e-05-0j -2.26436e-05-0j 0.000961803-0j -0.0231416-0j -5.58682e-05-0j 9.81636e-05-0j 2.00376e-05-0j -0.000861847-0j 1.18073e-06-0j -0.000865236-0j 0.00134422-0j -3.958e-05-0j -5.70203e-06-0j 0.0207366-0j 0.00121189-0j -1.16392e-06-0j -8.79619e-05-0j 0.0208181-0j -6.85847e-08-0j -0.000800647-0j -1.79552e-05-0j -8.83078e-05-0j 0.000952317-0j -4.03961e-06-0j -1.05802e-06-0j -0.0291589-0j -1.80257e-05-0j -8.24583e-07-0j 0.000123688-0j -1.06218e-06-0j 0.0192641-0j 2.52478e-05-0j -8.17157e-05-0j -4.8589e-08-0j -1.66802e-05-0j 1.48774e-06-0j -9.82888e-07-0j 
