-0.112079-0.2382j 0.112919-0.236132j -0.146581+0.124702j 0.227177+0.000377485j -0.145266-0.124327j 0.064659+0.0778749j -0.0578623-0.0417153j -0.0770643+0.131734j -0.0987685-0.063244j -0.062084-0.0147804j 0.0651225-0.0175548j 0.0961141-0.0616241j 0.0753948+0.132434j 0.0573255-0.040373j -0.0644934+0.0772351j -0.0360231+0.0255931j 0.0310802-0.0109101j -0.058009-0.0741279j 0.0569591-0.0392559j 0.0091034+0.0789621j -0.074768+0.0482946j 0.0144582-0.0775614j -0.0176473-0.0182502j -0.0731258-0.0562968j 0.0066094-0.00101667j 0.099952+0.000903093j -0.00676359-0.00116009j -0.0730464+0.0540622j 0.0180392-0.0245159j 0.0148262+0.07717j 0.0722396+0.0475117j -0.00907456+0.0798336j -0.0566501-0.0388078j 0.0580652-0.0723555j 0.0319432+0.0101574j -0.0353159-0.0251738j 
-0.0905313+0.0478116j -0.151474+0.0656564j -0.0990144-0.0121322j -0.195695+0.062411j -0.00667268+0.0149153j 0.0193366-0.0339073j -0.130125+0.00775476j 0.0972125-0.24384j -0.167102-0.264604j 0.10033-0.211415j -0.209553+0.00512246j 0.0829456+0.133382j 0.0143696+0.0547044j -0.0287678+0.00159446j 0.0092735+0.0144296j 0.0225553-0.000771463j -0.0143911+0.0553582j -0.0175528-0.124344j -0.124743-0.060442j 0.0815208+0.0486274j 0.100456+0.0232117j 0.0331998+0.0890104j -0.0636539+0.118613j -0.0281708-0.0466902j 0.0414868+0.148387j 0.122598+0.150871j 0.0802819-0.0361603j -0.0196681+0.0267322j 0.0044706+0.0269549j -0.0152821-0.154733j 0.0384905+0.01778j 0.0534085+0.0162926j 0.0322808+0.0341841j 0.03804+0.0126523j 0.0288376+0.0154447j -0.0163105+0.00466333j 
-0.107677+0.110546j -0.074649+0.0433501j 0.170215+0.0492978j 0.0527774-0.00385764j -0.0260062-0.0571418j -0.0190376+0.0377545j 0.0338153+0.00827725j -0.00455841+0.226644j -0.123625+0.240644j 0.08779+0.185397j -0.149111-0.0574867j 0.0792355-0.0693759j 0.0106618-0.067644j -0.0150479+0.0133659j 0.00842571+0.0214292j -0.0213647+0.0156657j -0.0167352-0.0169282j 0.0626657+0.117346j 0.133407+0.075371j 0.00476797+0.171171j -0.0669785+0.0550199j -0.0694922-0.0562906j 0.202326+0.165976j 0.0557194+0.0584943j -0.00357717+0.139381j -0.0342426+0.0182082j 0.0148412+0.0849854j 0.0811464+0.00548898j -0.0346475-0.0349438j -0.0674402-0.055939j 0.0354835+0.068776j 0.0638291+0.130677j 0.0267076+0.0317432j 0.004569+0.0615655j 0.00248586+0.0580784j -0.0226233-0.00708663j 
-0.0525191-0.00906714j -0.0831787+0.00940645j 0.00507715-0.00195294j -0.0329631+0.00761852j 0.105791+0.146053j -0.244903+0.048087j 0.0650279+0.116535j -0.0844153+0.229344j -0.0397025+0.022588j 0.0839443-0.0731387j 0.0769964+0.0457797j 0.148926-0.182663j 0.0067119+0.102412j -0.014165-0.0550496j -0.0184443-0.0380695j -0.133289+0.126905j -0.0187887+0.0578773j 0.0634266-0.0431708j -0.126065-0.0183859j 0.00710762-0.0574339j -0.0664868+0.156266j -0.0469822-0.0134134j 0.0120498+0.00600554j 0.136868-0.155978j -0.0242706+0.0153589j 0.110412+0.00287947j -0.0826629-0.064272j -0.00352343-0.00911881j 0.023843+0.0120166j 0.078685-0.00951717j -0.0292248-0.0020708j -0.0378074-0.0216392j 0.0961244-0.00151227j 0.000371521+0.00172171j -0.0125558+0.0566666j -0.0265937+0.00108353j 
-0.0718991+0.155601j 0.0577231+0.0351429j 0.0104693-0.0301401j 0.0432595-0.00526886j -0.0969007-0.134164j -0.271275-0.0224683j 0.0911873+0.277097j 0.00164559+0.208432j 0.146553+0.0150779j -0.125878+0.10988j -0.0913709-0.0859871j -0.101587+0.147976j -0.0313943-0.105521j 0.0374191+0.0693955j 0.0173613+0.0337211j -0.121792+0.146012j -0.0334034+0.0820274j 0.0976105+0.0278749j -0.150708-0.0138004j 0.0213788-0.0503856j -0.0310604+0.197512j 0.0162867-0.0432604j -0.0554691+0.0471167j 0.142983-0.151797j 0.0148897-0.0416302j -0.0517138+0.0799678j -0.0203025+0.0204426j -0.0258342+0.000902851j -0.0066098+0.0330688j 0.0180886+0.00869796j 0.0353661-0.00810746j 0.0540347+0.00634365j -0.103525-0.031489j -0.00775535-0.00546667j 0.00870581-0.0646223j 0.0246464+0.00413915j 
0.0451829-0.092939j -0.0205449-0.146437j -0.157822+0.108102j -0.0696572-0.0224248j 0.027349-0.0433302j -0.161604+0.0760909j 0.0545504+0.345491j 0.0397731+0.18485j 0.0933039+0.167424j 0.204752-0.125434j 0.0157692+0.108971j 0.0205857-0.0526386j -0.0288714-0.0187046j 0.0200107+0.0136696j 0.0190935+0.013191j -0.0345822+0.066379j 0.0452588+0.108799j 0.17323+0.131912j -0.0964077-0.0228455j 0.0250337+0.110774j 0.00766884+0.0980078j -0.0373176-0.0519671j 0.0370001+0.100409j 0.0941238-0.0257474j -0.000978291-0.0185539j 0.0759784+0.0243736j 0.0381487+0.0322289j 0.0529745+0.000518741j -0.0930976-0.0358818j 0.00474384+0.0409348j 0.0190794+0.00208395j 0.0555252-0.00173618j -0.00134911-0.00966289j -0.000661175+0.0217542j -0.00145749+0.00091191j -0.00421318-0.000191043j 
-0.0933085+0.0253125j -0.0145353-0.103218j 0.160495+0.0287617j -0.0705314-0.153139j -0.0223184-0.114712j 0.0812581-0.162165j -0.012079-0.126402j 0.0877044-0.33245j -0.00798343+0.12216j 0.171997-0.125497j 0.0257436+0.130278j -0.0533439+0.0398535j -0.0350018-0.0671177j 0.0210054+0.0259784j 0.0253854+0.01714j 0.00442792+0.00044526j -0.126382-0.0926445j -0.128545-0.0274914j 0.0600294+0.119371j -0.0505613-0.0875308j 0.011641-0.00195336j 0.0102901+0.014775j 0.0502738-0.0589617j 0.0441239+0.00151197j 0.000383049+0.0159105j 0.0703178+0.00240619j 0.0152866+0.0174565j 0.0108104+0.0215792j -0.0937383-0.0368929j -0.0698353+0.049101j 0.0203229-0.0133992j 0.0235823-0.00173866j -0.067265-0.0230731j -0.016025-0.0115423j 0.0109682-0.0553521j 0.0197846+0.00535134j 
-0.0778645-0.130513j 0.0105974+0.0904419j 0.0447982-0.00837184j 0.144468-0.109192j -0.0083806-0.0926096j 0.12962-0.0426449j -0.158356+0.136659j 0.1888+0.0943394j -0.152457+0.0748285j 0.0321085-0.0252364j -0.0244184+0.0491415j -0.0812823-0.00323293j 0.0329804-0.0397819j -0.041209+0.0158849j 0.0133099+0.00371862j 0.0466709-0.0385171j 0.0738856+0.0787129j -0.0290999-0.176007j -0.18721-0.2123j 0.0536755-0.0635427j 0.0634357-0.00344044j 0.00360153+0.142073j -0.129509-0.108471j -0.08919-0.0444689j 0.0209879-0.00278907j 0.0366661+0.104293j -0.0713034-0.0607163j -0.0430145-0.0242024j -0.0291396+0.0623461j -0.0678928-0.0652106j 0.0118406-0.0305792j -0.0580763-0.083052j -0.0755906-0.0433541j 0.00309018-0.046024j 0.0342104-0.0564264j 0.0180372+0.0194019j 
-0.0478522-0.0968437j -0.045-0.0075961j 0.0607891-0.0666298j 0.0917203+0.189135j 0.065687+0.0704721j -0.0363771-0.294988j 0.166012+0.0684615j 0.178122-0.114588j 0.0606571+0.0267544j 0.00249519+0.0334914j -0.00842236-0.0153547j 0.0117686+0.00337334j 0.0105001+0.0213133j 0.00348437-0.00470157j -0.0103822-0.000548107j 0.0500176+0.0247601j -0.00787964+0.133512j 0.0354552+0.070294j 0.0179875-0.0324353j -0.0313197+0.017545j 0.0933369+0.0680016j 0.0200446-0.0267254j -0.108032+0.0481605j -0.0686682-0.115381j 0.00899944-0.00895557j 0.0267264-0.0238573j -0.00133558+0.0350865j -0.0151861+0.00980822j 0.0649823+0.010986j 0.0787829-0.0104642j -0.0195647-0.00277803j 0.0106167+0.00124089j 0.0482341+0.051682j 0.0109135+0.0178589j -0.0319444+0.0241631j -0.00644267-0.0151874j 
-0.0954846-0.0762377j 0.0864821+0.0122046j 0.0763748-0.205013j -0.201099-0.20582j -0.0648709-0.0198517j -0.246905-0.0285951j 0.198813-0.134353j -0.0967953+0.0364237j -0.0170295-0.0899588j 0.00429824-0.0394034j 0.0125089+0.0308165j 0.0359562-0.0162909j -0.0147182-0.00209706j 0.00469924-0.009254j 0.0152081-0.0008596j -0.0491046+0.0421357j 0.10786+0.109209j 0.124233+0.0872556j -0.0282573-0.154305j -0.0340971+0.116185j -0.0209521+0.062846j -0.102613-0.0107333j 0.108957+0.0256499j -0.0185671-0.0519892j 0.0162604-0.00169596j -0.0644037+0.0109315j -0.0725-0.0199717j 0.050843-0.0150629j -0.0829498+0.0219915j -0.0463646-0.0531293j 0.0163936+0.0109132j -0.00643101-0.0340044j -0.015593-0.0683225j 0.000891712-0.0086342j 0.0309367+0.00643293j -0.00948456+0.0133885j 
0.108222-0.0555236j -0.0386453+0.0236329j 0.320541+0.14946j 0.114871+0.000140041j 0.011304-0.0103212j -0.341367+0.158153j -0.0626788-0.106917j -0.000469292-0.0632585j -0.00319295+0.0331409j -0.00412264-0.00994304j 0.00379323+0.00389521j -0.0205105+0.00208431j 0.00257199-0.00484966j -0.00842406+0.00744424j 0.00221379-0.00271989j -0.0832011+0.0851525j 0.0116665+0.0889005j 0.12957-0.0453223j -0.214496-0.081696j 0.0825028+0.0103007j 0.00643577+0.0324164j 0.0160017+0.0145449j -0.112681+0.0211554j 0.0381613+0.0124437j 0.00437163-0.0265594j 0.0428491+0.080501j 0.0271405+0.00975457j -0.0247249-0.0175856j 0.0394549+0.0261041j 0.0260019+0.014072j 0.00448538-0.00884472j 0.000989083-0.00441286j -0.0173994+0.0143589j 0.00139229+0.00270232j -0.0024535-0.0105708j 0.00405383+0.00226107j 
