0.00075932-0.0360147j 0.0676793+0.0122881j 0.0307732+0.0689649j -0.0353609+0.04353j -0.0027176+0.0368634j 0.0353809-0.0217303j 0.0258061-0.0421054j 0.0253875-0.0325784j -0.0837067+0.074575j 0.0743406-0.127228j 0.0458644-0.0256797j -0.0367505+0.0251639j 0.0325719-0.023961j 0.00914626-0.0598955j 0.139538-0.0294364j -0.081669-0.027894j 0.0725161+0.0399332j -0.00579057+0.0210424j -0.0862128+0.0897842j -0.14585+0.0828479j -0.0236317+0.0279839j -0.116364+0.119035j -0.0658064+0.163896j -0.00749183+0.0982152j 0.0619207+0.0785199j -0.154128-0.221448j 0.152227+0.121591j 0.0402647+0.0342528j -0.127339-0.0409712j -0.153213+0.213396j 0.201296-0.0923415j 0.00838286+0.0257979j -0.0730253-0.0476016j -0.155795+0.25812j 0.0181759+0.12309j 0.136556-0.0372363j -0.278378-0.177731j -0.207825-0.144051j -0.0695608+0.111182j -0.115925-0.0221282j -0.0593396+0.26407j 0.125432+0.310002j 0.398823+0.144854j -0.0250551-0.11603j 0.340057-0.244349j 0.0177582+0.29653j 0.38386-0.0634631j -0.0211642+0.510006j 0.371374+0.119593j 0.257369-0.308402j -1.04337+0.115391j 0.350793-0.87643j 
-0.0857553+0.837015j -1.02414-0.198114j 0.312167+0.266329j -0.313243+0.304909j 0.113538+0.522497j 0.509304-0.110129j -0.154088-0.237774j -0.516513-0.193204j 0.0691775+0.143087j -0.335527+0.355045j 0.204532-0.478924j 0.133171+0.268438j 0.151192-0.0111062j 0.239053+0.267373j -0.396434+0.202541j 0.461321-0.218131j -0.285434-0.0181171j 0.00577629-0.202119j -0.0906319-0.394284j -0.133948-0.0611669j -0.0244046+0.0421626j -0.218639-0.28173j -0.0964896-0.255371j -0.156363-0.0225948j -0.112334+0.055896j 0.343651+0.0704355j -0.224465+0.110018j -0.153107+0.0780397j 0.0392504-0.0720725j -0.130639-0.229753j 0.0393181+0.18968j 0.0133627+0.0175088j -0.0961022-0.16354j -0.0920697-0.133299j 0.00454484-0.00316562j -0.109152+0.0269777j 0.11115+0.0114293j 0.188579+0.0284743j 0.0210007-0.101174j -0.0166627-0.0379413j 0.100104+0.0820512j 0.0052048+0.00189311j -0.0442029-0.128036j -0.0632777-0.0340482j -0.0514693-0.0125682j 0.0812607+0.0073478j 0.0302107+0.0211276j -0.0122349+0.00550367j 0.102125+0.0461899j 0.0914909+0.00904747j 0.074849+0.0724067j 0.0219939+0.0280734j 
-0.128235+0.0589648j 0.027675-0.21877j 0.334816-0.0877145j -0.240853+0.0908967j 0.0473907+0.0547158j -0.00180525-0.0602746j 0.124713+0.136642j -0.10783-0.0323396j 0.177801+0.124265j 0.0174554-0.131119j -0.00357677-0.0892982j -0.215701+0.153576j 0.0447685-0.0159378j -0.0555175+0.023057j -0.036321+0.00644635j -0.105928+0.122474j 0.0939469-0.217872j 0.0288692-0.0182223j -0.0402343+0.0769804j -0.0658447+0.380325j -0.0515473+0.0992018j 0.00843332+0.214398j -0.0816137+0.200429j 0.0193462+0.0877382j 0.158109+0.017736j -0.273706-0.0914266j 0.0107965-0.0329975j 0.0763148+0.00735686j -0.140323+0.137865j -0.0518339+0.209402j 0.0481456-0.457046j 0.0413711-0.05182j -0.291626+0.249114j 0.146033+0.271745j 0.0022943+0.158681j 0.190428+0.0673577j -0.731846-0.248901j -0.565795-0.0637595j -0.332037+0.283479j -0.123656+0.138719j -0.205888-0.067988j 0.248779+0.612352j 0.110504+0.464025j 0.0357373-0.505568j 0.601833-0.296705j -0.385305-0.268965j 0.582732+0.377363j -0.488363+0.425225j -0.045328+0.842535j 0.565645-0.197996j -0.152697-0.188991j -1.70865+0.0235176j 
0.0807731+0.0369661j -0.0318044+0.378358j -0.159428+0.0183228j -0.120527-0.22272j 0.0539767-0.11938j -0.0328308+0.154038j 0.171171-0.113839j 0.013649+0.10648j -0.0275078-0.297441j 0.187489+0.277564j 0.067007+0.122645j -0.215284-0.108796j 0.0503153+0.00143637j 0.0496619+0.123084j 0.13035+0.129208j -0.092828-0.104574j -0.0313436+0.140522j -0.0145639+0.027082j -0.273099-0.177408j -0.210434-0.329829j -0.0949778-0.095115j -0.142796-0.383554j -0.406906-0.130995j -0.363881-0.308372j 0.147918+0.195625j 0.101971+0.239303j -0.113902+0.26017j -0.253409-0.0364573j 0.468553+0.138225j -0.0011534+0.0409018j -0.900024+0.0646773j -0.118271+0.0415653j -0.34817+0.301975j -0.276861+0.189326j -0.224772+0.437512j 0.83953+0.372333j -0.621338+0.456523j 0.305135+0.128707j -0.0425729-0.287329j 0.113383+0.00830144j -0.460699+0.445848j 0.778678-0.0872687j 0.484817+0.68636j -0.294269+0.591839j -0.318346-0.556264j -0.727031-0.00800574j 0.503863-0.347764j 0.500256+0.123112j -0.118276+0.190911j 0.0574965-0.71131j 0.314226+0.106865j -0.0570492-0.863799j 
0.21235+0.223453j 0.0888919+0.266651j -0.0306458-0.179303j -0.195521+0.0136353j 0.0251204-0.013011j -0.137615+0.0187741j 0.031505-0.268014j -0.23835+0.0294926j 0.24892+0.0410792j 0.191588-0.129455j 0.320153-0.261958j -0.0760226+0.197827j 0.0277036-0.0593409j -0.0386669+0.263119j -0.121814-0.156047j -0.0755165+0.11517j 0.0279511-0.220362j 0.0335525-0.215404j 0.0212396-0.126893j -0.388218+0.366539j -0.104483+0.214492j -0.48466-0.295827j 0.255586+0.158829j -0.308879-0.00465369j -0.0462007+0.188949j 0.286447+0.304316j -0.411537+0.412657j -0.116622+0.216428j 0.171338-0.080689j -0.479982-0.456468j -0.0554301+0.148695j -0.265119-0.276002j -0.185872+0.0032409j 0.132852-0.5696j -0.0804478-0.11231j -0.407274+0.196082j -0.45153-0.416168j -0.110516-0.302351j -0.11924-0.5573j -0.0238562+0.441069j -0.38079-0.506247j -0.59553+0.13825j -0.0356816-0.0731266j -0.262717-0.240595j 0.573856-0.599735j 0.136787-0.313588j -0.183891-0.387416j 0.587489+1.01697j -0.39994+0.223287j -0.51648-0.946551j -0.253099-0.129663j 0.481583-0.372262j 
-0.00465382+0.00632896j 0.0237784-0.231581j 0.0142417+0.00649007j 0.438038-0.0365037j -0.188527+0.195685j 0.0965045-0.0670831j -0.20651+0.169193j 0.357982+0.091515j -0.125997+0.0376912j 0.146169-0.13838j -0.809255-0.25155j 0.642161-0.205488j 0.354774+0.108396j 0.337614-0.211966j 0.429486+0.255744j 1.58024+0.0198111j -1.17685+0.225808j -0.454405-0.23623j 0.389342+0.226393j 0.086442+0.258295j 0.248435-0.0960309j 2.1659+0.294037j 0.00315527-0.240805j 1.1578-0.0878395j 0.190271+0.321619j -0.869475-0.470588j 0.199918-0.475783j 0.422382+0.282715j -1.25543+0.0220826j 0.388666-0.288195j 1.60421+0.775246j 0.597625+0.0591555j -0.456556-0.21194j -0.605839+0.281673j 0.669046+0.139002j -0.372043-0.197121j 2.26505+0.266338j -0.0826502-0.197981j 0.735471+0.314772j -0.0327705+0.0748778j 0.551001+0.312211j 0.913991-0.213524j -0.273249+0.57568j 1.01261-0.292389j 1.08183+0.134564j 0.00888481+0.594602j -0.371514+0.0554612j 0.58196+1.73335j -0.338064-0.127918j -0.726116-0.255958j 0.68541+0.352267j -0.556283-0.618548j 
0.178766+0.0725966j 0.106809+0.226485j -0.117892-0.0778716j -0.154934+0.0142136j -0.198785-0.046667j 0.0136997+0.0275882j 0.160028+0.0287769j 0.0623622+0.0413563j -0.054511-0.175737j 0.503078-0.0933329j -0.0483694+0.131028j -0.00237979+0.14114j 0.115083+0.244968j 0.366324-0.081701j 0.298352+0.385431j 0.378319+0.361934j -0.493006+0.0814276j -0.118851+0.345109j 0.124585+0.520274j -0.0768151+0.133209j 0.267505+0.0261698j 0.409849+0.00343355j -0.384925+0.276354j 0.860023-0.318236j -0.0525009+0.146695j -0.150041-0.27837j -0.165652+0.162827j -0.115764-0.230243j -0.193099+0.240928j 0.760773-0.0328166j 0.628915-0.190028j 0.116669-0.458065j 0.379631+0.248081j -0.0155808-0.238625j 0.321557-0.529722j -0.536685+0.138821j -0.203717+0.415216j -0.107148+0.491761j 0.797478+0.735491j 0.40864-0.0205507j -0.292263-3.58305e-05j 0.397017-0.443584j -0.710046-0.029172j -0.161927-0.828473j 0.513401+0.159719j -0.911541-0.742216j -0.146576-0.175888j 0.269908+0.259152j 0.518438-0.806118j -0.217344+1.25833j -0.419801-0.00233481j 0.0842444-0.232854j 
0.133453+0.1012j -0.0198925-0.0681507j -0.21278-0.149955j 0.414193+0.18805j -0.233104+0.0708165j 0.431929-0.145161j -0.104215+0.112527j 0.0873129+0.0324547j -0.197667-0.115396j -0.0413854-0.0898278j -0.528135-0.06947j 0.610069+0.224316j 0.528287+0.135373j 1.14999-0.157866j 0.398077+0.15535j 1.74733-0.058316j -1.22378+0.0991927j 0.180105+0.0695041j 0.366024-0.143667j 0.104149+0.110347j 0.0361842+0.205574j 1.7281+0.17943j -0.366514-0.292171j 1.13188+0.113242j -0.168411-0.161137j -0.807665-1.32298j 0.452001-0.944533j 0.0343144+0.356864j -1.15964-0.351394j -0.118647+0.0510212j 1.99771+0.18641j 1.21505+0.0390682j -0.502003-0.331732j -0.187933+0.432029j -0.548626-0.0203388j -0.969872-0.113948j 1.64079-0.421847j -0.243956-0.0221716j 1.43508+0.493165j 0.0679581+0.411064j 0.931752-0.628015j 1.2834-0.134545j 0.147995-1.10646j 0.954413+0.661741j 0.627222-0.03607j -1.02233-0.0986474j 0.346647+0.0934944j -0.205318-0.746433j -0.213058+0.868888j -0.138701-0.537414j -0.229207+0.179546j 0.195564-0.679138j 
0.00948557+0.0748631j -0.16944+0.00103304j 0.153402+0.0264454j 0.0307754+0.0230115j 0.0640341+0.43774j -0.326683+0.00226396j 0.101417-0.231168j -0.509555-0.116536j 0.296364+0.181356j -0.346863-0.182523j 0.900503-0.27792j -0.317785-0.00678943j -0.282828+0.025869j -0.887105+0.366365j -0.356205+0.368994j -1.11241-0.143271j 0.593976+0.150744j -0.150753+0.236378j -0.474332-0.395698j -0.434942-0.302783j -0.106484+0.121979j -2.07344-0.253414j -0.112208+0.100106j -1.11892+0.154757j 0.0883642-0.411639j 0.84024+0.00526747j 0.143192+0.138674j -0.252576+0.193775j 0.70401+0.463688j 0.0218194+0.199207j -1.67806+0.0113411j -0.765321-0.277471j 0.254194+0.0856088j 0.791159+0.199554j 0.0505327-0.0523126j 0.635662-0.25195j -1.14494+0.272296j 0.568666+0.0998394j -0.843205-0.530367j -0.552331+0.0650355j 0.109061+0.316713j -0.382116+1.1992j -0.397285+0.0937138j -0.506944-0.519964j -0.655539+1.05532j -0.699315+0.12733j -0.174078-1.03096j 0.691949-0.217822j -0.807687+0.478356j 0.467125+0.114669j -0.0682716-0.435641j -0.103448+0.0218691j 
-0.125893+0.000541731j -0.383313-0.0107513j 0.390693+0.232896j -0.193829-0.433432j 0.240135+0.345619j -0.858909-0.101016j 0.228535+0.121946j -1.05932+0.0751361j 0.940267-0.0909561j -0.244533-0.429938j 1.50319-0.22129j -1.04484+0.149365j -1.11101-0.191079j -1.55373+0.0262104j -0.77833-0.192949j -3.84866-0.151075j 2.41482-0.0165973j 0.354122+0.149951j -1.02298-0.168311j -0.65509-0.213297j -0.145417+0.313718j -3.79372-0.756951j 0.221001+0.289164j -2.64719-0.447843j -0.247162-0.390004j 1.89328+1.99221j 0.0825151+1.62028j -0.259425+0.226328j 2.96564-0.401336j -0.239618+0.100094j -3.98373+0.309266j -0.509971+0.388968j 0.79842+0.279363j 0.559118+0.393779j -0.469685+0.47784j 1.38335-0.140384j -3.4684+0.531123j 1.09543+0.0271181j -2.10621+1.04722j -1.64419-0.394612j -1.21151-0.818003j -1.36537-0.323375j -0.810014-0.572787j -0.694004+0.309662j -0.231294-0.613464j -0.600205+0.502739j 0.758495+0.890901j 0.66803+0.19865j -0.433955+0.030966j 0.0679568+0.154296j 0.114541-0.479727j -0.626969+0.375605j 
-0.0260033+0.0402612j -0.367617+0.0592879j 0.103322-0.00674915j -0.285312-0.203208j 0.134791-0.0934754j -0.133266-0.224005j 0.412028+0.0310291j -0.761406+0.191214j 0.451593-0.191015j -0.323369+0.068807j 1.1477-0.321428j -0.708334+0.0180459j -0.421313-0.236899j -1.14705-0.188211j -0.608159-0.214751j -1.8226-0.337245j 1.56955+0.501004j -0.362427-0.10854j -0.997501+0.0356896j -0.386364+0.20384j -0.448013-0.290204j -2.22966-0.187484j 0.205757+0.292058j -1.83162+0.242191j 0.0132391+0.619199j 1.59694+1.3714j 0.159556+0.6695j -0.183952+0.0259147j 1.04241+0.17634j 0.0603106+0.442788j -2.3864+0.264749j -0.378544+1.09021j 0.576963+0.639473j -0.010189-0.143794j -0.451203-1.18292j 0.950755+0.62813j -2.40512+0.283499j 0.333929+0.621475j -0.814264-0.310174j -0.677476+0.00655139j 0.646131+0.122166j -0.797933-0.125443j -0.139279-0.20387j -0.290474-0.645016j -0.636678-0.197686j -0.80162-0.207361j 0.219046+0.00727574j -0.0108207+0.230216j 0.0299632+0.448369j -0.264354+0.283515j -0.0295728-0.400275j -0.12225-0.034119j 
-0.073712+0.0619282j 0.109554+0.0469167j 0.0369787+0.0168523j 0.496315-0.0523996j 0.242012-0.00247382j 0.227757-0.244663j -0.0326841-0.00361264j 0.298883+0.0771144j -0.445071-0.0543274j 0.501547+0.163008j -0.478114+0.179285j -0.0125114+0.0681014j 0.479018+0.00300669j 0.864481-0.157106j 0.32621-0.0961095j 1.16738+0.100797j -0.287116+0.443551j -0.0654362-0.423052j 0.0989336-0.0989441j 0.644643+0.416389j 0.165648-0.145233j 1.28735-0.173924j 0.362696-0.581979j 0.565999+0.266225j 0.120509-0.477385j -0.280546-0.654102j -0.0908133+0.269835j 0.293529-0.257508j -0.204929+0.783794j -0.154126+0.36566j 1.34016-0.536487j 0.642234-0.513548j -0.905273-0.234996j 0.538807+0.130643j 0.545699+0.474274j -0.981726-0.165312j 0.844105-0.328651j 0.402396+0.2154j 0.624129-0.361825j -0.38951-1.3928j 0.586503-0.171444j 0.121916-0.0494594j 0.00989592+0.189688j 0.581799-0.763735j 1.61797+0.133868j -0.0267955+0.150995j -0.732818-0.498148j -0.0866141+0.360917j 0.177417+0.201104j -0.0700628-0.114835j -0.334339+0.00501291j 0.0568636-0.00359932j 
0.275691+0.150267j 0.164839+0.213475j -0.0706504-0.205883j -0.215273+0.19775j -0.219315+0.228978j 0.301969+0.0437049j 0.313322-0.151817j 0.130021+0.228971j -0.13021-0.276164j -0.0511339-0.485124j -0.0141601+0.0731049j 0.0229807+0.172263j 0.0935922-0.569425j 0.400492-0.0968258j 0.266963+0.448876j 0.570621+0.214084j -0.412222-0.145625j -0.00235351-0.191537j 0.362489-0.232335j 0.719586-0.190113j 0.0716787+0.130436j 1.10183+0.096886j 0.155799-0.557593j 0.335829+0.821489j -0.626647+0.0515279j -0.495578-0.206267j -0.555772-0.531j 0.266213-0.463731j -0.549039+0.661226j 0.727155+0.0943538j 0.271816-0.117424j 0.452197+0.121772j -0.881389-0.025153j -0.0155142-0.359746j -0.190876+0.303404j -1.07064-0.618785j 1.41533-0.202158j -1.38238-0.373238j 0.266831+0.598038j 0.0130431+0.58582j -0.00820442-0.20577j -0.0634598-0.248619j -0.0131354+0.587286j 0.528839+0.623307j 0.0541983-0.136317j 0.75474+0.113692j -0.372243+0.252013j -0.417009+0.429584j -0.154503+0.126597j -0.0231107+0.692228j -0.0504097-0.0582787j 0.43829+0.0308137j 
-0.0043285+0.0132156j -0.324774-0.177639j 0.0852854-0.0275541j 0.192017-0.0202677j 0.126688+0.190732j -0.446025-0.182275j 0.200689+0.218095j 0.190987-0.157406j 0.513751-0.10322j 0.234753-0.171065j 0.610425+0.0251845j -0.435853-0.0931489j -1.01109-0.130612j -0.434267-0.0279843j 0.0790772-0.139062j -1.38146-0.212817j 1.04146+0.0640063j 0.417299-0.0993519j -0.225824+0.242561j -0.69334-0.0292882j -0.667395-0.425114j -1.75547-0.101022j 0.473479+0.279309j -0.570834-0.003701j -0.0741229+0.0392577j 1.02912+0.467239j -0.242153+0.0769354j -0.812551+0.0584139j 0.649202-0.272783j -0.0497906+0.65904j -2.08805+0.0565019j -0.470122+0.151421j -0.616066-0.231069j 0.480669-0.367462j 0.0707953-0.594808j 1.41612+0.385225j -1.43309-0.0692435j -1.01907-0.158455j -0.731244-0.379217j -0.581524-0.268879j -0.874954-0.382273j -0.365662-0.378919j -0.162155-0.356353j -0.863929-0.641778j -0.547978-0.117326j -0.0208791+0.575868j 0.659395-0.116511j 0.317551+0.0310404j -0.199678+0.345364j -0.0250675-0.0931636j -0.259575-0.0924838j -0.203792-0.326024j 
0.134369-0.0821649j -0.4554-0.0963811j -0.00321879-0.0142723j -0.360781-0.158988j 0.310586+0.142665j -0.49106+0.411719j 0.320494-0.212925j -1.24479-0.157031j 1.28815-0.00670382j -0.093216+0.135524j 1.93082-0.47073j -1.33849+0.112295j -0.841779-0.163149j -1.65105-0.337447j -0.83082-0.0905835j -3.85774-0.588457j 1.8506-0.109614j 0.265578+0.180928j -1.12786-0.233585j -0.819221-0.124114j -0.362955+0.0642311j -3.4075+0.208503j 0.203974+0.0980739j -2.65618+0.0269173j -0.161723-0.911297j 2.08479+1.7687j 0.8499+0.990703j -0.830204-0.110831j 2.64231+0.543696j -0.29434-0.351781j -2.77253+0.531677j -0.21177-0.132968j 1.04465-0.26999j 1.04405-0.125402j -0.0699522+0.68402j 2.95428+0.419818j -2.66206-0.108347j -0.189305+0.204523j -0.85509-0.244894j -1.2121+0.227904j -0.974823+0.198925j -1.83142-0.294968j -0.586041-0.0582756j -1.41173+0.244692j -1.12896-0.0225824j -0.385328-0.52392j 0.629867+0.252737j -0.107691-0.0561773j -0.368097+0.385482j -0.186543+0.238213j 0.412836-0.479242j -0.170104-0.117402j 
0.25598-0.0844075j -0.245437-0.151415j -0.0558799-0.117718j -0.422181-0.15136j 0.00365623-0.258022j -0.672871-0.249076j 0.310973-0.152696j -0.762353+0.414786j 0.99077+0.193645j -0.0327365-0.338486j 1.25429-0.0583615j -1.27967-0.315735j -0.990741+0.154462j -1.69037+0.217799j -0.390251-0.165482j -2.55183+0.212433j 1.68593+0.036206j 0.676761+0.171056j -0.504816-0.198231j -1.0704+0.109834j 0.322142-0.656569j -2.43673+0.217192j -0.210165-0.721202j -2.72209+0.265159j 0.0422741-0.977384j 1.04347+0.376111j 0.37238+0.85789j 0.606853+0.1278j 2.31046+0.0582684j -0.482886-0.261365j -3.37882+0.418092j -0.555391+0.128971j 0.721447-0.65681j 1.48736+0.527639j -0.362639-0.480435j 1.11867-0.143167j -2.79113-0.525102j 0.879928-0.520917j -1.5151-0.036879j -0.878383+0.29808j -1.23109-0.306843j -2.22586-0.121781j 0.0365162+0.00401233j -1.3728+0.20852j -1.00342-0.517099j -0.443363+0.186266j 0.701403+0.166555j 0.439142-0.29328j 0.128524+0.18503j -0.102027+0.268822j 0.264106-0.143325j -0.00566222-0.353101j 
-0.0886799+0.100726j 0.00492137-0.00137993j -0.00716176-0.0149548j -0.0931986+0.0464551j -0.277525+0.0490538j 0.0397616+0.108552j -0.106249-0.226461j 0.395961-0.239489j -0.341849-0.0266623j -0.26591+0.262968j -0.46582-0.0647122j 0.10111+0.170418j 0.4333+0.0278498j 0.8054-0.102735j 0.354816+0.124063j 0.386656-0.62551j -0.64631-0.195706j -0.54723-0.0443411j 0.821652+0.461939j -0.207931+0.32468j 1.26992+0.140847j 1.04129-0.163476j 0.275008-0.282976j -0.0738897+0.104233j -0.513645+0.344216j -0.718522-1.15495j -0.579305-0.91551j -0.448896-0.686964j -0.178957+0.0808169j -0.483464-0.0629035j 0.654997+0.310563j 1.25391-0.16757j 0.034511-0.00292616j -0.885597+0.550537j 0.98487-0.343095j -0.77206+0.221488j 0.337888+0.760245j -0.377895+0.0453976j 0.925293+0.333383j 0.445148+0.000679402j 0.08543-0.334731j 0.198292+0.163823j -0.304028-0.534601j 0.330564+0.0280139j 0.271599+0.26626j 0.118506-0.0812873j -0.107883+0.226589j -0.110223-0.301407j 0.0674469-0.0142682j -0.0821164+0.0584035j -0.0931559-0.0269004j 0.0329446+0.0920383j 
-0.232611+0.175755j 0.0799365+0.22663j -0.0640634-0.187061j -0.161065+0.15998j -0.294477-0.3191j 0.681691-0.213019j -0.339305-0.225344j 1.03264-0.23075j -1.1798-0.296592j 0.293702-0.307476j -1.93166-0.233633j 1.23703-0.195502j 0.929974+0.283797j 1.21971+0.11575j 0.449716+0.191405j 2.69449-0.160031j -1.58522+0.226851j -0.111756+0.543614j 1.09043-0.578619j 0.630089+0.545266j 0.464371+0.270933j 3.39235+0.808648j -0.628294+0.124684j 2.2328-0.0519961j 0.0606388-0.201512j -0.486266-1.36256j 0.156912-0.611685j -0.0747937-1.19156j -2.92002-0.0799647j -0.366233+0.629033j 2.49317+0.670369j -0.626952-0.430523j -1.242-0.454654j -0.341509+0.0733635j 0.428819-0.296319j -1.50119-0.205933j 2.9354+0.18734j -0.642038+0.278999j 1.67823+0.276173j 0.818952+0.119188j 1.4325-0.0352492j 1.16123+0.337046j 0.0517883-0.35429j 1.06859-0.0477345j 0.577142+0.293128j 0.175139+0.287413j -0.770823+0.15273j 0.128471-0.185197j 0.415869-0.0589253j -0.175866+0.0336797j -0.484618-0.010749j 0.132581+0.134174j 
-0.161882-0.115559j 0.0765722+0.475497j -0.076843-0.156818j 0.236422+0.354908j 0.0295569+0.0669701j 0.526271-0.327597j -0.495071+0.329416j 0.953556+0.117664j -0.793183-0.23117j 0.578847-0.122906j -1.16229+0.00261245j 0.518978+0.117032j 1.10035+0.225834j 0.786166-0.182603j -0.125731-0.65065j 1.95733+0.429672j -2.35734+0.268934j 0.0544451-0.378682j 0.283149+0.0183892j 0.923011-0.0250178j 0.349136+0.0184211j 1.91839+0.647718j -0.251126+0.06113j 1.59758-0.509066j 1.04511-0.189191j -1.66434-1.81612j -0.0153203-1.64976j 0.200745-0.471328j -1.59969+0.00854191j 0.187943-0.631297j 2.60895+0.485081j 0.40762+0.406573j -0.459942+0.160621j -1.12881+0.348487j -0.0543323-0.0730458j -1.45834-0.0218735j 3.423-0.624348j -1.00118+0.0487974j 1.41641-0.274262j 0.471433-0.00609239j 1.04744+0.27794j 1.52682+0.671517j 0.170348+0.0681688j 0.95423+0.249011j 0.969668-0.150873j 0.224524+0.273915j -0.164305-0.410952j -0.335857+0.139493j 0.332078-0.163023j 0.031844-0.124885j -0.452725-0.140655j -0.0160913+0.0627847j 
-0.359147+0.1327j -0.409569-0.110225j -0.0860918+0.0811523j -0.0133424+0.24377j -0.237764+0.15539j 0.338904+0.296586j 0.00862379-0.327268j 0.25797-0.0464177j -0.682573+0.494147j 0.0662554-0.250001j -0.0463644+0.34559j 0.790216-0.35298j 0.2829-0.429891j 0.411128-0.360103j -0.624427-0.0261696j 0.910016+0.111534j -0.909516+0.554658j 0.30324+0.442807j 0.21641+0.492049j -0.88003+0.0745088j 0.301174+0.169848j 1.55279+0.0242985j 0.0226456-0.764729j 0.277938+0.311768j 1.15083-0.153391j -1.03973-0.593434j 0.676185-0.206081j 0.00255182+0.349831j -0.260577-0.0372339j 0.491766-0.556202j 1.2567-0.119266j 0.71564-0.338668j -0.63938-0.0916756j -0.157971-0.384276j 0.265277+0.0709001j -0.773819+0.0156109j 0.999262-0.129188j 0.28773+0.320362j 0.119696-0.101276j 0.809431-0.160423j 0.262274+0.0585834j 0.386918-0.0120919j -0.219934-0.115255j 0.27731+0.0347797j -0.23513-0.26663j 0.204176-0.0902295j -0.339668+0.28013j -0.199235+0.0996591j -0.317407-0.15507j 0.121524-0.0500391j -0.23181+0.0763492j -0.0767456+0.00931078j 
-0.344084-0.0406701j -0.051792-0.0196444j -0.06234+0.514391j -0.166862-0.315226j -0.248053-0.238515j 0.00560707+0.378828j -0.473814+0.0642025j -0.228397+0.0177797j -0.165421+0.382539j 0.0848823-0.389621j 0.0451661-0.0573892j -0.119512+0.296443j -0.31868-0.647898j 0.0429832-0.549867j 1.13799-0.332041j 1.09509+0.366853j -0.801143+0.67275j 0.270219+0.266336j -0.281869-0.275487j 0.801244-0.158783j 0.307418-0.234242j -0.352186-0.1008j -0.437364+0.168185j 0.295486+0.619695j 0.333379+0.392602j 0.168652-0.592817j -0.590088-0.447698j -0.765573+0.0397481j -0.265875+0.687171j -0.247796-0.55661j 0.635853-0.0576243j 0.092838-0.178119j -0.730345-0.370421j -0.0672241-0.208667j 0.0355895-0.129569j -0.355915+0.0921627j 0.199332-0.152399j -0.304289+0.490091j 0.0893231+0.0210093j -0.201992+0.37979j 0.0499432-0.205767j -0.232711-0.00366067j -0.199028+0.691414j -0.0689752-0.480662j 0.052074-0.20914j -0.400288-0.221564j -0.107375+0.168089j -0.0877992-0.436021j -0.232279-0.243229j 0.126394-0.259266j -0.105748+0.256933j -0.395849+0.0705651j 
0.0333747+0.0833344j 0.180451-0.172998j 0.0172252+0.224079j 0.119433-0.34011j 0.0208869-0.430084j 0.204616-0.0640833j 0.426914+0.171105j 0.335358+0.174072j 0.0859189-0.587582j -0.131682-0.169598j 0.365891+0.00743637j 0.812242+0.19056j -0.599896+0.780185j -0.106791+0.0957294j -0.768893+0.465331j -1.17918-0.157036j -0.449802-0.321141j -0.12231-0.584613j 0.00399159-0.0147214j 0.116697+0.461907j 0.195941-0.579326j -0.969758+0.195009j -0.167582+0.672906j -0.62358+0.506383j 0.638154+0.213379j 0.890172+1.01203j 0.00638727+0.0884579j -0.104936-0.119628j 0.991+0.419398j -0.241664-0.1137j -0.751479+0.285472j -0.0969805+0.216492j -0.369969+0.316538j 0.627122-0.0308456j 0.336272-0.241775j 1.24085-0.663009j -0.711546+0.192628j 0.313616-0.252244j -0.372494+0.154507j 0.0150951+0.215912j -0.570092-0.179821j -0.465792-0.13441j 0.01525-0.156791j 0.119279-0.168163j -0.418038-0.273228j -0.353701-0.142499j 0.0234211-0.40094j 0.199371+0.114048j -0.0108692+0.267949j -0.137832+0.00284359j 0.1134+0.206427j 0.0270169+0.128575j 
-0.0929575-0.200218j 0.0518496+0.248525j 0.0834523-0.102913j 0.0880151+0.0542371j -0.149276-0.123774j 0.515786-0.19024j -0.33506-0.0247693j 1.43376-0.157163j -0.243843-0.144596j 0.160927-0.218129j -0.310792+0.0491065j 0.190491-0.0157789j 0.0923988+0.647465j 0.99057+0.303198j 0.206505-0.200425j 1.73821+0.49656j -0.823339+0.174012j -0.652204+0.719812j -0.610555+0.0172519j 0.896331-0.681124j 0.92454+1.2679j 2.33684+0.640145j 0.180681-0.187918j 0.357607+0.924267j 0.316274+0.186571j -1.20849-0.555201j 0.257194-0.719855j -0.216073+1.17248j -1.09384+0.118234j -0.046885-0.837273j 2.20825-0.0791103j 0.378607+0.00778439j -0.552743+0.319389j -0.545778-0.0363063j -0.20948-0.318965j -1.14691-0.170952j 1.78609-0.121591j -0.684237+0.0697745j 1.16417+0.275648j 0.522586-0.000103417j 0.237456-0.0158078j 0.722074+0.373936j 0.683066-0.129029j 0.431244+0.153749j 0.472549+0.139545j 0.28197-0.0339208j -0.256623+0.0321234j 0.174045+0.0580625j 0.532355-0.0161708j 0.0969205-0.073722j -0.249573-0.115936j -0.0473779+0.00883109j 
