-0.0170158-0.112184j -0.0240915+0.160689j -0.0271016+0.0448322j -0.0687612-0.196348j 0.0466138-0.150958j -0.0434013+0.0898245j 0.0169456-0.0133069j 0.0106102+0.179056j -0.00139012-0.0886389j -0.031047+0.114172j -0.0258197+0.059509j -0.0474971+0.0402414j 0.0107334-0.0208632j 0.0159158-0.116967j -0.0198811-0.0547854j -0.0253305-0.0118368j -0.0545537+0.0369884j 0.0337147-0.107747j 0.0924742-0.115202j 0.0101841+0.0955632j 0.0285744-0.0634045j -0.013437-0.0525013j -0.0513862-0.0306766j -0.0325944+0.130888j 0.0325842-0.0845918j -0.0307409+0.123341j -0.028044+0.0753226j -0.0117187+0.0152123j -0.0128024-0.00484065j 0.00915185+0.0151552j -0.0199353-0.0535849j -0.0260406-0.0188366j -0.0164007-0.0938141j -0.0447129+0.015057j 0.0924294+0.0487186j -0.0694448+0.197722j 
0.0039127-0.0601945j -0.013874+0.0373783j -0.00843614-0.0242706j -0.00865862+0.0315262j -0.0211662-0.0762821j 0.0290685-0.0679249j -0.0382201+0.152706j -0.00455885+0.00576301j -0.0124786+0.154858j -0.0769552-0.0398701j 0.108199-0.00228639j 0.0535451+0.166885j 0.0931661+0.0209934j 0.201917-0.106587j -0.00932339+0.0367157j 0.0120056-0.0113122j -0.0797683+0.158739j -0.0514578-0.15248j 0.0467685+0.11059j 0.024283+0.0811973j -0.00526332+0.063075j -0.044255-0.0524243j 0.0604256-0.00760202j 0.0469052+0.000186163j 0.0280855-0.0365121j -0.0368802+0.0219777j -0.0127367+0.053736j 0.0430297+0.00771204j -0.025578-0.0390599j -0.00775407-0.0351726j 0.0287131+0.00623737j 0.0436083+0.0260302j 0.0434529+0.0173309j -0.0117044+0.0142967j 0.0316287+0.0327738j 0.0258188+0.0469601j 
-0.0327537-0.0866921j 0.0858733+0.00535938j -0.0373993-0.0156542j -0.0394131+0.0317925j -0.0950537+0.0180811j 0.0564592-0.0480072j -0.0832225+0.0101524j -0.130779+0.0397909j -0.0175747-0.0217318j -0.250418-0.169808j 0.186909-0.083303j -0.136992+0.215661j 0.116164+0.0162379j 0.117116-0.136881j 0.103883+0.10466j 0.16708+0.014933j -0.115766+0.16487j -0.219604-0.0259737j -0.0552572+0.0958125j 0.13927+0.0293115j -0.104233+0.064638j -0.0388174+0.0015362j 0.018421+0.0423335j -0.0148053-0.0224769j -0.0847137+0.0265221j -0.0466677-0.0183019j -0.0147196+0.00850378j 0.00169743+0.0250271j 0.0162287-0.047171j 0.00331542-0.0449385j 0.0400423-0.0200652j -0.0261156-0.00637157j -0.00871867+0.00778327j 0.0405791-0.028799j -0.0160138+0.0207057j 0.0224483-0.00237057j 
0.00216156-0.0367778j -0.000188799-0.134589j 0.0272556-0.000477479j -0.00643174-0.0258769j 0.00635724-0.0945846j 0.0937747+0.0717954j -0.0541312+0.0465051j 0.0404389-0.0329316j 0.203436+0.0172438j 0.0524847+0.10808j -0.0219609+0.0252106j 0.185745+0.228645j -0.0682539+0.222108j -0.0583927+0.0642215j -0.142038-0.130439j 0.0884064+0.0385012j 0.0805756-0.00433133j -0.0381802-0.0420533j -0.00578884+0.0893735j 0.0212403-0.0888305j -0.0237269-0.0369519j -0.0263401-0.0193295j 0.0393098+0.0937194j 0.0213501+0.0275196j -0.0256724-0.0284201j 0.0358722+0.0460992j 0.0336255+0.011415j 0.00784681-0.00679973j -0.00303729-0.0301707j 0.00810981-0.0204493j -0.0327379-0.0182645j 0.000433212+0.0369099j 0.0162001+0.00541533j 0.0190496-0.000698576j -0.0126973-0.00795786j 0.0596394-0.00473956j 
0.0574647-0.00570977j 0.111913-0.00881524j -0.0244111+0.0886022j 0.031678+0.0188218j -0.0484352+0.100966j 0.10424+0.0175584j 0.109364-0.00882839j -0.0507188+0.0511291j 0.0240227+0.220848j 0.0332738+0.230192j 0.137155-0.140649j 0.0255975-0.0100967j -0.13151-0.182744j 0.129795+0.153391j 0.0634355-0.168936j -0.0303721+0.0227003j -0.109952+0.100485j -0.072921+0.153917j 0.0283311+0.0456307j 0.011727-0.0612138j 0.0770847+0.0739351j -0.00858192-0.054049j -0.0450779-0.0992736j 0.0952453+0.0812507j -0.0329732-0.00655698j 0.0778252+0.0415103j 0.0327061-0.00172679j -0.00813475-0.0103348j 0.044313+0.00170139j 0.0318676-0.0135234j -0.0282016-0.0230606j 0.00341511-0.0129076j 0.020093-0.0154949j 0.0266736-0.0447635j 0.0122789+0.0288574j 0.0635505-0.0195442j 
-0.0846579-0.0421778j 0.0221107-0.123786j 0.0531205-0.0189863j -0.0365237+0.0130724j -0.0315504-0.0709151j 0.0917932+0.14239j -0.147462+0.0448136j -0.113069-0.105027j 0.208861-0.0705359j -0.0796181+0.204069j -0.0814798+0.051411j -0.191272-0.21074j -0.0180438+0.206803j 0.192318-0.1044j -0.165427-0.1197j 0.159694-0.0285314j -0.0244838-0.00729514j -0.149172+0.0261053j -0.0644503-0.0116074j 0.0120159-0.125734j -0.0295512+0.0213273j -0.0105954-0.105821j 0.00964833-0.116065j -0.0683717+0.0552245j 0.0281343-0.0289734j -0.0608641+0.0495231j -0.0252627+0.00743512j 0.00316834+0.0055323j 0.0412608+0.00198198j 0.0227819+0.00246071j 0.0834085-0.000634275j 0.00341119+0.0197557j -0.00806184-0.00318514j -0.0020231-0.0204767j 0.0133923+0.0195287j -0.0165213+0.0292507j 
0.102104+0.0641156j -0.00669572+0.0730411j -0.0597245+0.0317873j 0.0308165+0.0700432j -0.0364821+0.00211282j -0.0347395-0.040986j 0.0934539+0.0726484j -0.00224818-0.06799j -0.301351+0.0340915j 0.151066+0.152777j 0.148538-0.128336j -0.137054-0.155957j 0.149013-0.180452j -0.0582247-0.0281082j 0.148989-0.0123806j -0.181692-0.00690875j -0.161388-0.0454242j 0.0599245-0.0452981j -0.0399819-0.049496j -0.121654-0.0694782j -0.00767082+0.0637082j -0.0165606+0.0184945j -0.0228376-0.0499768j 0.0245706+0.0392447j -0.0115537-0.0271974j 0.0517437+0.00466621j 0.0417929-0.00270426j -0.000607012-0.0145898j 0.00139966+0.0284205j 0.0107719+0.00673456j -0.0083943+0.0146259j 0.0491996+0.002093j 0.00977407+0.00432547j -0.00602154+0.00932493j -0.010223+0.00452768j 0.0147958+0.0146562j 
0.0399915+0.0229659j 0.0135708-0.0388692j -0.0390931-0.0444842j 0.0251228-0.0667835j 0.0851712-0.0268821j -0.107635-0.0663275j 0.0654077-0.0325471j 0.0337897+0.0690243j -0.180374-0.00037757j -0.134644-0.0952633j -0.0158275+0.151139j -0.0147757-0.0146528j 0.0504699+0.118972j -0.0427638-0.0319321j 0.165271-0.0282054j -0.140563+0.0690626j 0.0158131+0.0562709j 0.084792+0.0760103j 0.0559223+0.00253956j -0.040588+0.10833j -0.0163078-0.0833887j 0.0231376-0.0319798j 0.0356103-0.0201469j -0.076137-0.0470483j 0.0459148+0.0383441j -0.061529-0.00377559j -0.0380885-0.0183179j 0.0111116+0.00382282j -0.0424105+0.0044583j -0.0324953+0.0173532j -0.00240577+3.9029e-05j 0.00253063-0.0288673j -0.00334303-0.00849558j -0.0217069-0.00120932j 0.00277776+0.005155j -0.0850267+0.00201513j 
0.0760632-0.084161j 0.139213+0.107279j 0.0379181-0.137416j 0.0305263+0.0887373j 0.0597524-0.109821j -0.0645734-0.162216j 0.0457864+0.131029j 0.0552521+0.0150755j 0.0285376-0.145456j 0.0339415+0.00356854j 0.0134537-0.0257236j -0.00816937-0.0308905j -0.201354+0.0728956j 0.00126745+0.025448j 0.04872+0.189137j -0.0199741-0.0863953j -0.00339465+0.0946849j -0.0483857-0.104128j 0.013969+0.0859246j 0.0315054-0.00710646j 0.00458179+0.0565063j -0.0301879-0.03315j 0.0214847-0.0419475j 0.00692962+0.0558053j -0.00791486-0.0294081j -0.00465448+0.000558176j 0.0307015-0.0101668j 0.00697671-0.0115813j -0.00133231-0.0122811j 0.0126828-0.0149712j -0.00131646+0.0528828j 0.0157627+0.0376722j 0.0157469+0.00198561j 0.00607172-0.00837775j 0.0206038+0.0348557j 0.042976+0.0260568j 
0.0505405-0.00617786j -0.100976+0.198732j 0.0558735+0.0469558j -0.0689193-0.0226833j 0.0642706+0.128675j 0.00955803-0.162639j -0.074047+0.0260575j 0.0247705+0.150969j 0.135178+0.0534168j -0.0659121+0.00068359j -0.0364873+0.00680323j 0.0260014-0.0343421j -0.0115679-0.239295j 0.0133092+0.0428434j -0.0752056+0.154837j 0.0214632-0.024425j -0.0519651+0.102973j 0.0588638+0.133522j -0.0753987+0.0333653j 0.028674+0.0456121j -0.0530746+0.0339372j 0.0674105-0.0143736j 0.0520538-0.0355001j -0.047746-0.00152508j 0.0161932+0.0362752j -0.0485604-0.00726311j 3.14062e-05-0.0289376j 0.00707226+0.00581707j -0.00557044+0.0131358j 0.00172703+0.0100239j -0.0302994+0.0202155j -0.00872516-0.023695j -0.0102633+0.0109276j -0.00431787-0.0118752j -0.0315255+0.0310082j -0.062388+0.0068748j 
0.184531-0.0492778j -0.0986762-0.314686j 0.0365358+0.0132508j -0.0618617-0.0260486j -0.000789934+0.069024j -0.0107108+0.0309045j 0.00528089+0.0287721j -0.000257287+0.0451618j -0.0546912-0.0213478j 0.00137042+0.123368j 0.0140375+0.0452381j 0.00649814+0.0814417j 0.0139692+0.20815j -0.0286901-0.0581977j -0.0597987-0.155211j 0.0159666+0.0029215j -0.095904+0.0608705j 0.0980203+0.173857j -0.043183-0.0168913j 0.00770856-0.093337j -0.064773-0.0407566j 0.0149126+0.051598j 0.0439641+0.0508316j -0.027821-0.00872577j 0.0111286+0.0320215j 0.0112953-0.00724755j 0.0304619-0.0378161j 0.0104987+0.00186597j -0.00844913-0.0275179j 0.00522088-0.0215117j -0.0694858+0.00329627j -0.000376734+0.0184019j -0.00305143-0.0116704j 0.00740173-0.0464555j -0.0542486-0.0135888j -0.0481476-0.0526547j 
0.103518+0.390391j 0.134781+0.035497j 0.0472917+0.0195645j -0.0062615+0.015126j -0.0151873+0.0213185j 0.0334821-0.069173j -0.0430698+0.0903265j -0.0393726+0.00280208j 0.044397-0.00926041j -0.0412903+0.0416873j -0.000204953+0.0896218j -0.00491977-0.0128308j -0.109728-0.17186j 0.0150434-0.07582j 0.0529503+0.045765j -0.0194129-0.0884368j -0.0903045-0.252069j 0.0329451+0.0963649j -0.0144124-0.0564247j 0.0026104+0.0181874j -0.000873163-0.0679828j -0.00996123+0.0602348j -0.0103189+0.0712425j 0.00331257-0.0105631j 0.00216414+0.00792803j 0.0156026+0.0399739j 0.0155264+0.0554977j 0.00944249+0.00701641j 0.0234546+0.0196459j 0.0230495+0.0344368j -0.0470401-0.106341j -0.0331713-0.0170511j 0.013029+0.0138745j 0.0442339+0.0506396j -0.0335837-0.0590833j 0.0101278-0.00818117j 
