-0.00672967-0j 0.0487342-0j -0.000778808-0j 0.0107471-0j -0.000686844-0j -0.000651597-0j 0.00574338-0j 0.00145608-0j 0.00513704-0j 0.00351709-0j -6.65034e-05-0j 0.00129783-0j -8.58555e-05-0j 0.000153751-0j -3.30458e-05-0j 0.00118475-0j 0.000507648-0j 0.000478615-0j 0.00018201-0j -5.05908e-06-0j 0.00012134-0j 1.38845e-05-0j 0.000120919-0j 2.1152e-05-0j 2.02585e-05-0j 1.07251e-05-0j 1.13445e-06-0j 1.41708e-06-0j 8.84753e-08-0j 2.7383e-09-0j 
-0.000199427-0j -3.0531e-05-0j 0.00222054-0j -3.3312e-06-0j 0.00296639-0j -1.93095e-05-0j 0.000346188-0j -2.99842e-07-0j 0.000469027-0j -2.20338e-06-0j 0.000381201-0j 3.8705e-05-0j -0.035676-0j -2.37046e-08-0j 0.00043012-0j 5.35202e-05-0j 6.1516e-05-0j -0.00843777-0j 3.60613e-06-0j -0.00635039-0j 7.30816e-06-0j -1.71073e-09-0j -0.00105658-0j 5.13959e-06-0j -4.37964e-05-0j 6.41896e-07-0j 1.69642e-08-0j 3.37727e-08-0j 7.48289e-10-0j -1.87094e-13-0j 
-1.74463e-05-0j 0.00012634-0j 0.000390533-0j 2.78612e-05-0j -1.7806e-06-0j -1.68923e-06-0j -0.00288002-0j 3.7748e-06-0j 1.33175e-05-0j 9.11784e-06-0j -0.0031918-0j -0.000650799-0j 4.30523e-05-0j 3.9859e-07-0j -8.56692e-08-0j 3.07141e-06-0j 0.0243643-0j -0.000240002-0j -9.12691e-05-0j -0.000736048-0j 3.14567e-07-0j 3.59946e-08-0j 0.00580343-0j 0.0061761-0j -1.01586e-05-0j 0.00156039-0j 2.94099e-09-0j 6.8012e-05-0j -4.4366e-08-0j 7.09887e-12-0j 
3.35753e-06-0j -7.39707e-05-0j -3.73848e-05-0j 0.000768907-0j 3.42677e-07-0j 3.25092e-07-0j 0.000838749-0j -0.00320361-0j -7.7972e-06-0j -5.33838e-06-0j -6.41785e-06-0j -0.00893389-0j -4.12129e-06-0j -0.00104613-0j 1.64871e-08-0j 8.4764e-05-0j 0.000149042-0j 6.98957e-05-0j 0.038529-0j -7.33596e-07-0j -0.000266967-0j -0.00019074-0j -0.00167338-0j 1.24523e-05-0j 0.0132621-0j 0.00685822-0j -2.60924e-05-0j 0.00376552-0j 0.000294459-0j -1.77327e-07-0j 
2.87849e-05-0j -0.000421309-0j 3.3312e-06-0j 0.00215121-0j -0.000428161-0j 2.78708e-06-0j -4.96517e-05-0j 0.000593348-0j 0.0064723-0j -3.04054e-05-0j 2.84455e-07-0j 0.000259783-0j -5.35202e-05-0j 9.44742e-05-0j -6.20825e-05-0j -0.034562-0j -4.38864e-06-0j 0.00121018-0j 7.41685e-05-0j -3.15371e-06-0j -0.0144619-0j 1.14031e-05-0j -0.00352747-0j -1.8286e-07-0j -0.00181418-0j 4.37042e-06-0j -0.000169969-0j 1.16382e-06-0j 1.09244e-07-0j 4.51295e-09-0j 
8.22596e-05-0j 1.25934e-05-0j -0.000915928-0j 1.37405e-06-0j -0.00122357-0j 7.96475e-06-0j -0.000142795-0j 1.23679e-07-0j -0.000193464-0j 9.08849e-07-0j -0.000157237-0j -1.5965e-05-0j 0.0147156-0j 9.77766e-09-0j -0.000177415-0j -2.20759e-05-0j -2.53741e-05-0j 0.0034804-0j -1.48745e-06-0j 0.0026194-0j -3.01446e-06-0j 7.05641e-10-0j 0.000435816-0j -2.11997e-06-0j 1.80651e-05-0j -2.64769e-07-0j -6.99739e-09-0j -1.39305e-08-0j -3.08654e-10-0j 7.71723e-14-0j 
2.49284e-05-0j -0.000180524-0j -0.000558021-0j -3.981e-05-0j 2.54425e-06-0j 2.41368e-06-0j 0.00411517-0j -5.3937e-06-0j -1.90289e-05-0j -1.30282e-05-0j 0.00456066-0j 0.000929907-0j -6.1516e-05-0j -5.69534e-07-0j 1.2241e-07-0j -4.38864e-06-0j -0.0348134-0j 0.000342931-0j 0.000130412-0j 0.00105172-0j -4.49475e-07-0j -5.14316e-08-0j -0.00829234-0j -0.00882483-0j 1.45153e-05-0j -0.0022296-0j -4.20229e-09-0j -9.71802e-05-0j 6.33932e-08-0j -1.01434e-11-0j 
2.05606e-06-0j -4.52976e-05-0j -2.28934e-05-0j 0.000470858-0j 2.09846e-07-0j 1.99077e-07-0j 0.000513627-0j -0.0019618-0j -4.77479e-06-0j -3.26908e-06-0j -3.93012e-06-0j -0.00547087-0j -2.52376e-06-0j -0.00064062-0j 1.00962e-08-0j 5.19072e-05-0j 9.12691e-05-0j 4.28022e-05-0j 0.0235941-0j -4.49234e-07-0j -0.000163483-0j -0.000116804-0j -0.00102473-0j 7.62542e-06-0j 0.00812134-0j 0.00419978-0j -1.59783e-05-0j 0.0023059-0j 0.000180319-0j -1.0859e-07-0j 
-1.5325e-07-0j 5.64279e-06-0j -1.77352e-08-0j -0.000118216-0j -1.5641e-08-0j -1.48383e-08-0j 6.65009e-07-0j 0.00152592-0j 5.94802e-07-0j 4.07233e-07-0j -1.51443e-09-0j -1.42759e-05-0j -1.95512e-09-0j -0.0114114-0j -7.52527e-10-0j -1.30321e-05-0j 5.8779e-08-0j 5.54174e-08-0j 0.00019074-0j -1.15207e-10-0j 0.00012716-0j 0.0372736-0j -1.33008e-06-0j 2.44913e-09-0j -0.00150358-0j 1.12394e-05-0j 0.0160693-0j 0.00380422-0j 0.00382479-0j 0.000559827-0j 
-1.18731e-05-0j 0.000173781-0j -1.37405e-06-0j -0.000887327-0j 0.000176608-0j -1.14961e-06-0j 2.04803e-05-0j -0.000244744-0j -0.00266969-0j 1.25416e-05-0j -1.17332e-07-0j -0.000107155-0j 2.20759e-05-0j -3.89686e-05-0j 2.56077e-05-0j 0.0142561-0j 1.81022e-06-0j -0.000499173-0j -3.0593e-05-0j 1.30084e-06-0j 0.00596522-0j -4.70353e-06-0j 0.00145501-0j 7.54258e-08-0j 0.000748312-0j -1.80271e-06-0j 7.01087e-05-0j -4.80052e-07-0j -4.50608e-08-0j -1.8615e-09-0j 
-2.93784e-06-0j 6.47244e-05-0j 3.27117e-05-0j -0.000672794-0j -2.99842e-07-0j -2.84455e-07-0j -0.000733905-0j 0.00280316-0j 6.82255e-06-0j 4.67108e-06-0j 5.61562e-06-0j 0.00781715-0j 3.60613e-06-0j 0.000915363-0j -1.44262e-08-0j -7.41685e-05-0j -0.000130412-0j -6.11588e-05-0j -0.0337129-0j 6.41896e-07-0j 0.000233596-0j 0.000166897-0j 0.00146421-0j -1.08957e-05-0j -0.0116043-0j -0.00600094-0j 2.28309e-05-0j -0.00329483-0j -0.000257652-0j 1.55161e-07-0j 
-9.38459e-08-0j 3.45549e-06-0j -1.08606e-08-0j -7.23922e-05-0j -9.57811e-09-0j -9.08659e-09-0j 4.07233e-07-0j 0.00093443-0j 3.6424e-07-0j 2.49378e-07-0j -9.27397e-10-0j -8.74219e-06-0j -1.19726e-09-0j -0.006988-0j -4.60827e-10-0j -7.98049e-06-0j 3.59946e-08-0j 3.39361e-08-0j 0.000116804-0j -7.05495e-11-0j 7.78692e-05-0j 0.0228253-0j -8.14506e-07-0j 1.49978e-09-0j -0.00092075-0j 6.88273e-06-0j 0.00984042-0j 0.0023296-0j 0.00234219-0j 0.000342823-0j 
-1.02824e-05-0j 7.44623e-05-0j 0.000230172-0j 1.64208e-05-0j -1.04945e-06-0j -9.95594e-07-0j -0.00169742-0j 2.22479e-06-0j 7.84902e-06-0j 5.37386e-06-0j -0.00188118-0j -0.000383567-0j 2.53741e-05-0j 2.34921e-07-0j -5.04916e-08-0j 1.81022e-06-0j 0.0143598-0j -0.000141452-0j -5.3792e-05-0j -0.000433811-0j 1.85399e-07-0j 2.12145e-08-0j 0.00342041-0j 0.00364006-0j -5.98727e-06-0j 0.000919662-0j 1.73335e-09-0j 4.00848e-05-0j -2.61483e-08-0j 4.18392e-12-0j 
1.34094e-07-0j -4.93744e-06-0j 1.55183e-08-0j 0.000103439-0j 1.36859e-08-0j 1.29836e-08-0j -5.81883e-07-0j -0.00133518-0j -5.20452e-07-0j -3.56329e-07-0j 1.32513e-09-0j 1.24914e-05-0j 1.71073e-09-0j 0.00998494-0j 6.58462e-10-0j 1.14031e-05-0j -5.14316e-08-0j -4.84902e-08-0j -0.000166897-0j 1.00806e-10-0j -0.000111265-0j -0.0326144-0j 1.16382e-06-0j -2.14298e-09-0j 0.00131563-0j -9.83452e-06-0j -0.0140607-0j -0.0033287-0j -0.00334669-0j -0.000489849-0j 
1.2118e-06-0j -2.66974e-05-0j -1.34929e-05-0j 0.000277513-0j 1.23679e-07-0j 1.17332e-07-0j 0.00030272-0j -0.00115624-0j -2.81416e-06-0j -1.92672e-06-0j -2.31633e-06-0j -0.00322441-0j -1.48745e-06-0j -0.000377568-0j 5.95049e-09-0j 3.0593e-05-0j 5.3792e-05-0j 2.52267e-05-0j 0.0139058-0j -2.64769e-07-0j -9.63536e-05-0j -6.88416e-05-0j -0.000603956-0j 4.49426e-06-0j 0.00478654-0j 0.00247526-0j -9.41725e-06-0j 0.00135905-0j 0.000106276-0j -6.40008e-08-0j 
-5.53108e-08-0j 2.03659e-06-0j -6.40098e-09-0j -4.26664e-05-0j -5.64513e-09-0j -5.35544e-09-0j 2.40014e-07-0j 0.000550733-0j 2.14675e-07-0j 1.46978e-07-0j -5.46588e-10-0j -5.15246e-06-0j -7.05641e-10-0j -0.00411858-0j -2.71602e-10-0j -4.70353e-06-0j 2.12145e-08-0j 2.00012e-08-0j 6.88416e-05-0j -4.15803e-11-0j 4.58944e-05-0j 0.0134528-0j -4.80052e-07-0j 8.83936e-10-0j -0.00054267-0j 4.05653e-06-0j 0.00579973-0j 0.00137302-0j 0.00138044-0j 0.000202052-0j 
