-0.407689-0j -0.00642271-0j -0.356728-0j -0.237818-0j 0.350164-0j -0.00592387-0j -0.147143-0j 0.475179-0j 0.250169-0j 0.442072-0j 0.192581-0j -0.0541384-0j -0.000840966-0j -0.0457649-0j 0.0449228-0j -0.0417774-0j -0.000735845-0j -0.000490563-0j 0.0590253-0j -0.0298472-0j 0.0414337-0j -0.000303521-0j 0.0517724-0j 0.0421697-0j 0.0382472-0j 0.0126643-0j -0.0355849-0j -0.00513624-0j -0.000547093-0j -7.89661e-05-0j -0.0293561-0j 0.0288159-0j -0.00423718-0j 0.00415922-0j -0.0262569-0j -0.0179768-0j -0.00378985-0j -0.00259473-0j -0.000462474-0j 0.0370971-0j -6.67524e-05-0j -0.000422179-0j 0.0053545-0j -0.0181631-0j -6.09364e-05-0j -0.0171244-0j 0.0252139-0j -0.00262162-0j -0.00247169-0j 0.0168093-0j 0.00363932-0j 0.0315054-0j -0.00030162-0j 0.00242621-0j 0.00454741-0j -0.00529758-0j -4.3535e-05-0j 0.0342158-0j 0.0104002-0j -0.00076464-0j 0.0219437-0j 0.00493862-0j 0.00150114-0j 0.0225085-0j 0.0031673-0j 0.00324883-0j 0.013867-0j 0.00200153-0j 0.00370995-0j 0.000535485-0j 
0.00241579-0j 3.80583e-05-0j -0.0063797-0j 0.00140921-0j 0.00626231-0j 3.51023e-05-0j 0.000871905-0j -0.00281571-0j -0.0014824-0j -0.00261953-0j -0.00114115-0j -0.0151747-0j -0.000235718-0j -0.0128277-0j 0.0125916-0j 0.0353419-0j 0.000622493-0j -0.000137502-0j -0.0499329-0j -0.00836602-0j 0.0116137-0j -8.50753e-05-0j 0.0145115-0j 0.01182-0j 0.0107205-0j 0.00354975-0j 0.000210861-0j -0.00290976-0j 3.24184e-06-0j -4.47355e-05-0j 0.000173952-0j -0.000170751-0j -0.00240043-0j 0.00235626-0j 0.000155587-0j -0.000749517-0j -0.00214701-0j 0.0103429-0j 2.74043e-06-0j -0.000219822-0j -3.78163e-05-0j -7.55023e-06-0j 0.00303341-0j -0.000324829-0j 0.000104189-0j 0.000101472-0j 0.000450925-0j 0.00448244-0j -0.00140025-0j -9.96047e-05-0j -0.00622249-0j 0.000563441-0j 1.78727e-06-0j 0.00137449-0j -0.00777515-0j 3.13912e-05-0j -2.46633e-05-0j -0.000202748-0j -6.16273e-05-0j -0.00043318-0j -0.000130029-0j 0.00279781-0j 0.00085042-0j -0.000133376-0j 0.00179433-0j 0.00184051-0j -8.21699e-05-0j 0.0011339-0j -2.19836e-05-0j 0.00030336-0j 
0.0119575-0j -0.0128578-0j 0.0104629-0j -0.0348022-0j -0.010567-0j 0.0236554-0j 0.00431571-0j -0.0130076-0j -0.00754943-0j 0.0210355-0j 0.0210587-0j 0.00158789-0j -0.00168356-0j 0.00134229-0j -0.00135565-0j -0.00244417-0j -0.00147311-0j 0.00489995-0j 0.000810031-0j -0.0017462-0j 0.00249408-0j -0.000607627-0j -0.00491398-0j 0.000578714-0j 0.00302005-0j 0.00176345-0j 0.00104371-0j 0.000150647-0j -0.00109524-0j -0.000158085-0j 0.000861017-0j -0.000869587-0j 0.000124277-0j -0.000125514-0j -0.00153615-0j 0.000527263-0j -0.000221724-0j 7.61038e-05-0j -0.000925842-0j 0.0005091-0j -0.000133634-0j 0.00168586-0j 7.34822e-05-0j 0.000532727-0j 0.000243334-0j -0.00250597-0j -0.000760888-0j 7.68925e-05-0j -0.000361706-0j 0.00253091-0j -0.000109825-0j 0.00149915-0j 0.00120444-0j 0.000365306-0j 0.000216383-0j 0.000155379-0j 0.000173846-0j -0.000936626-0j -0.00031385-0j 2.2427e-05-0j -0.00345622-0j -0.00013519-0j -4.53004e-05-0j 0.00107104-0j -0.000498862-0j 0.000154592-0j 0.00151636-0j 0.000218867-0j 0.00062646-0j 9.04218e-05-0j 
0.0103555-0j 0.000163141-0j -0.0268926-0j 0.00604073-0j -0.00889438-0j -0.000446582-0j 0.0475143-0j -0.0120698-0j -0.00594999-0j 0.0333265-0j -0.00489167-0j 0.00137515-0j 2.13611e-05-0j -0.00345007-0j -0.00114107-0j 0.00106117-0j -5.54731e-05-0j 1.24606e-05-0j -0.00149928-0j 0.000709883-0j 0.00312356-0j 9.80108e-05-0j -0.00131505-0j -0.00100296-0j 0.00288334-0j -0.000321682-0j 0.000903879-0j 0.000130464-0j 1.38965e-05-0j 2.00579e-06-0j -0.00221306-0j -0.000731942-0j -0.000319428-0j -0.000105647-0j 0.000666941-0j 0.000456623-0j 9.62646e-05-0j 6.59078e-05-0j -3.48645e-05-0j -0.000942289-0j -5.03226e-06-0j 1.07236e-05-0j -0.000136008-0j 0.00043199-0j 1.54782e-06-0j -0.00129095-0j 0.0019008-0j 6.23523e-05-0j -0.000186333-0j -0.000426966-0j 0.000274357-0j -0.000800256-0j 7.17368e-06-0j -6.16273e-05-0j -0.000115507-0j 0.00435462-0j 1.03543e-06-0j 0.00257942-0j -0.00335837-0j 0.000628535-0j -0.000557384-0j 0.000372308-0j -0.000484738-0j -0.00053534-0j -8.04515e-05-0j -7.72697e-05-0j 0.00104539-0j 0.000150889-0j -9.4235e-05-0j -1.36016e-05-0j 
0.00147936-0j 2.33058e-05-0j -0.00390675-0j 0.000862962-0j 0.00383487-0j 2.14957e-05-0j 0.00053393-0j -0.00172426-0j -0.000907779-0j -0.00160413-0j -0.00069881-0j 0.00019645-0j 3.05158e-06-0j 0.000166065-0j -0.00016301-0j -0.000457531-0j -8.05871e-06-0j 1.78009e-06-0j 0.000646424-0j 0.000108305-0j -0.000150349-0j 1.10137e-06-0j -0.000187864-0j -0.00015302-0j -0.000138786-0j -4.59546e-05-0j -0.0249765-0j 1.86377e-05-0j -0.000383996-0j 2.86541e-07-0j -0.0206046-0j 0.0202254-0j 1.53753e-05-0j -1.50924e-05-0j -0.0184293-0j 0.0887803-0j 1.37521e-05-0j -6.62486e-05-0j -0.000324603-0j 0.0260379-0j 2.42222e-07-0j 0.000894325-0j -1.94297e-05-0j 0.0384759-0j -6.67353e-07-0j -0.0120193-0j -0.053412-0j -2.87111e-05-0j 8.96892e-06-0j 0.0117982-0j 3.98565e-05-0j -0.0667395-0j -0.000211702-0j -8.8039e-06-0j 4.98016e-05-0j -0.00371829-0j 1.57974e-07-0j 0.0240155-0j 0.00729975-0j 2.77462e-06-0j 0.015402-0j -1.79206e-05-0j -5.44713e-06-0j 0.0157984-0j -1.14931e-05-0j -1.17889e-05-0j 0.00973302-0j -7.26286e-06-0j 0.00260395-0j -1.94309e-06-0j 
0.00197248-0j 0.00218314-0j -0.00169824-0j -0.00574087-0j 0.00174381-0j 0.00395205-0j -0.00352528-0j -0.00234294-0j -0.00369754-0j -0.000715081-0j 0.000189588-0j -0.0123901-0j -0.0135215-0j 0.0103057-0j -0.0105823-0j 0.0190716-0j 0.0116416-0j 0.0393541-0j -0.00690162-0j -0.0404391-0j -0.0191566-0j 0.0241661-0j 0.00803053-0j 0.0146341-0j 0.00219221-0j -0.000491217-0j 0.000172167-0j -0.00237581-0j 0.000185962-0j -0.00256617-0j -0.000139753-0j 0.000143503-0j 0.0019285-0j -0.00198025-0j -0.000253399-0j 8.69758e-05-0j 0.00349675-0j -0.00120021-0j -0.000154678-0j 9.16996e-05-0j 0.00213446-0j -0.000286244-0j -0.0012654-0j -0.000260812-0j 0.00395-0j 0.000406747-0j -0.000123551-0j 0.00359905-0j -0.00561286-0j -0.000417662-0j 0.00170493-0j 5.17929e-05-0j 0.000606947-0j 0.00576348-0j -0.000714711-0j -0.000177771-0j -0.00837551-0j 0.000166-0j -0.000256472-0j 0.00245314-0j -5.39024e-05-0j -0.0022907-0j 0.00353916-0j -0.000109821-0j 0.000743822-0j 0.00151546-0j -1.34325e-05-0j 0.00018536-0j 2.60662e-06-0j -3.59698e-05-0j 
-0.00854289-0j 0.0185067-0j 0.00735512-0j -0.00498335-0j -0.00691666-0j -0.0167955-0j 0.0152681-0j -0.0196971-0j 0.014666-0j 0.00360365-0j 0.0363226-0j -0.00113444-0j 0.0024232-0j 0.000943594-0j -0.000887345-0j -0.000875422-0j -0.00208629-0j 0.00141353-0j -0.00244671-0j 0.00185623-0j 0.000805297-0j -0.00433081-0j -0.000428915-0j 0.00518797-0j -0.00260064-0j 0.00442663-0j -0.000745662-0j -0.000107627-0j 0.00157642-0j 0.000227537-0j 0.000605272-0j -0.000569191-0j 8.73635e-05-0j -8.21556e-05-0j -0.000550198-0j -0.000376695-0j -7.94142e-05-0j -5.43712e-05-0j -0.00131122-0j -0.00153774-0j -0.000189258-0j 0.00121649-0j -0.000221954-0j 0.00112958-0j 0.000175585-0j 0.000353076-0j 0.000490053-0j 0.000163042-0j 5.09621e-05-0j -0.000332028-0j 7.0733e-05-0j -0.00026101-0j -0.00257942-0j -4.79241e-05-0j -3.76736e-05-0j 0.000769932-0j -0.000372308-0j 0.00139556-0j 0.00101727-0j 0.00011113-0j 0.0015164-0j 0.000201432-0j 0.000146831-0j 0.000553442-0j 0.000218874-0j 7.98825e-05-0j -0.0025735-0j -0.000371452-0j 0.00204633-0j 0.000295363-0j 
-0.000301974-0j -4.75728e-06-0j 0.000797462-0j -0.000176151-0j -0.000782789-0j -4.38779e-06-0j -0.000108988-0j 0.000351964-0j 0.0001853-0j 0.000327441-0j 0.000142644-0j 0.00383378-0j 5.95525e-05-0j 0.00324081-0j -0.00318118-0j -0.00892886-0j -0.000157268-0j 3.4739e-05-0j 0.0126152-0j 0.00211361-0j -0.0029341-0j 2.14936e-05-0j -0.00366623-0j -0.00298622-0j -0.00270845-0j -0.000896818-0j 0.00253597-0j -0.0170211-0j 3.89888e-05-0j -0.000261688-0j 0.00209207-0j -0.00205358-0j -0.0140417-0j 0.0137833-0j 0.00187121-0j -0.00901425-0j -0.0125593-0j 0.0605024-0j 3.29584e-05-0j -0.00264374-0j -0.000221212-0j -9.08048e-05-0j 0.0177444-0j -0.00390663-0j 0.000609469-0j 0.00122038-0j 0.00542316-0j 0.0262208-0j -0.00819099-0j -0.00119792-0j -0.0363995-0j 0.00677636-0j 2.1495e-05-0j 0.00804028-0j -0.045482-0j 0.000377534-0j -0.000144272-0j -0.0024384-0j -0.000741176-0j -0.00253396-0j -0.00156383-0j 0.0163662-0j 0.00497467-0j -0.00160408-0j 0.0104962-0j 0.0107664-0j -0.000988237-0j 0.00663291-0j -0.000264391-0j 0.00177456-0j 
0.00120789-0j 0.00133689-0j -0.00103995-0j -0.00351555-0j 0.00106786-0j 0.00242012-0j -0.00215878-0j -0.00143475-0j -0.00226427-0j -0.000437896-0j 0.000116098-0j 0.000160401-0j 0.000175048-0j -0.000133417-0j 0.000136997-0j -0.000246899-0j -0.00015071-0j -0.000509473-0j 8.93474e-05-0j 0.00052352-0j 0.000247999-0j -0.00031285-0j -0.000103962-0j -0.000189451-0j -2.83801e-05-0j 6.35923e-06-0j -0.0203932-0j 1.52176e-05-0j -0.0220272-0j 1.64369e-05-0j 0.0165537-0j -0.0169979-0j -1.23525e-05-0j 1.2684e-05-0j 0.0300151-0j -0.0103023-0j -2.23975e-05-0j 7.68765e-06-0j 0.0183216-0j -0.0108618-0j -1.36717e-05-0j 0.0339056-0j 8.10518e-06-0j 0.0308932-0j -2.53007e-05-0j -0.0481791-0j 0.0146346-0j -2.30527e-05-0j 3.59517e-05-0j 0.049472-0j -1.09204e-05-0j -0.00613486-0j -0.0718929-0j -3.69164e-05-0j 4.57789e-06-0j 0.021057-0j 5.36471e-05-0j -0.0196627-0j 0.0303791-0j -1.57129e-05-0j 0.00638474-0j 1.46725e-05-0j -2.26691e-05-0j 0.0130083-0j -4.76435e-06-0j -9.70687e-06-0j 0.00159108-0j -1.18727e-06-0j -0.000308754-0j 2.30395e-07-0j 
-0.00199292-0j 0.00214297-0j -0.00174381-0j 0.00580036-0j 0.00176117-0j -0.00394257-0j -0.000719285-0j 0.00216793-0j 0.00125824-0j -0.00350591-0j -0.00350979-0j 0.0125185-0j -0.0132727-0j 0.0105823-0j -0.0106876-0j -0.0192693-0j -0.0116137-0j 0.03863-0j 0.00638609-0j -0.0137666-0j 0.0196627-0j -0.00479039-0j -0.0387406-0j 0.00456244-0j 0.0238093-0j 0.0139026-0j -0.000173952-0j 0.00240043-0j 0.00018254-0j -0.00251895-0j -0.000143503-0j 0.000144931-0j 0.00198025-0j -0.00199996-0j 0.000256025-0j -8.78771e-05-0j -0.00353299-0j 0.00121265-0j 0.000154307-0j -8.485e-05-0j -0.00212934-0j -0.000280977-0j 0.00117088-0j -8.87878e-05-0j 0.00387732-0j 0.000417662-0j 0.000126815-0j 0.00122522-0j -0.00576348-0j -0.000421819-0j -0.00174997-0j -0.000249858-0j -0.00020074-0j 0.00582085-0j 0.00344789-0j -2.58964e-05-0j 0.00277009-0j 0.000156104-0j 5.23084e-05-0j 0.000357355-0j 0.000576036-0j -0.00215415-0j -0.000721825-0j -0.000178507-0j -0.00794896-0j 0.00246329-0j -0.000252726-0j 0.00348747-0j -0.00010441-0j 0.0014408-0j 
0.00272949-0j -0.011869-0j 0.00238831-0j 0.0015922-0j 0.025523-0j -0.0109471-0j 0.000985126-0j -0.0210593-0j 0.0182345-0j -0.0187973-0j 0.0375029-0j 0.000362459-0j -0.00155408-0j 0.000306398-0j 0.00327437-0j 0.000279702-0j -0.00135982-0j -0.000906547-0j -0.00261593-0j 0.000199829-0j 0.00302005-0j -0.000560897-0j -0.00220141-0j -0.00186891-0j 0.00331243-0j -0.00024039-0j 0.000238243-0j 3.43874e-05-0j -0.00101101-0j -0.000145927-0j 0.00019654-0j 0.00210036-0j 2.83681e-05-0j 0.00030316-0j 0.000175791-0j 0.000120356-0j 2.53732e-05-0j 1.73719e-05-0j -0.000854639-0j -0.0016441-0j -0.000123357-0j -0.000780175-0j -0.000237305-0j 0.000121603-0j -0.000112609-0j 0.000114648-0j 0.00183781-0j 1.75519e-05-0j 1.65481e-05-0j 0.00122521-0j 0.000265265-0j -0.00133964-0j -0.000557384-0j 0.000176843-0j -0.00019336-0j 3.54675e-05-0j -8.04515e-05-0j -0.0015164-0j 0.000758058-0j 5.1193e-06-0j 0.00190046-0j -0.000218874-0j 0.000109416-0j -0.000957083-0j 0.000274307-0j -0.000138143-0j 0.00270044-0j 0.000389775-0j -0.00373729-0j -0.000539432-0j 
1.7794e-05-0j 2.80326e-07-0j -4.69909e-05-0j 1.03798e-05-0j 4.61263e-05-0j 2.58553e-07-0j 6.42218e-06-0j -2.07397e-05-0j -1.09189e-05-0j -1.92947e-05-0j -8.40538e-06-0j -0.000454178-0j -7.05503e-06-0j -0.000383931-0j 0.000376867-0j 0.00105778-0j 1.86312e-05-0j -4.11544e-06-0j -0.00149449-0j -0.000250394-0j 0.000347596-0j -2.5463e-06-0j 0.000434329-0j 0.000353771-0j 0.000320864-0j 0.000106244-0j 1.55314e-06-0j 0.00619-0j 2.38784e-08-0j 9.51669e-05-0j 1.28127e-06-0j -1.2577e-06-0j 0.00510649-0j -0.00501253-0j 1.14601e-06-0j -5.52072e-06-0j 0.00456739-0j -0.0220027-0j 2.01852e-08-0j -1.61914e-06-0j 8.04475e-05-0j -5.56127e-08-0j -0.00645304-0j -2.39259e-06-0j -0.000221643-0j 7.4741e-07-0j 3.32137e-06-0j -0.00953561-0j 0.00297879-0j -7.33658e-07-0j 0.0132373-0j 4.15013e-06-0j 1.31645e-08-0j -0.00292398-0j 0.0165403-0j 2.31218e-07-0j 5.24668e-05-0j -1.49338e-06-0j -4.53928e-07-0j 0.000921515-0j -9.57755e-07-0j -0.00595184-0j -0.00180912-0j -9.82408e-07-0j -0.00381711-0j -0.00391536-0j -6.05239e-07-0j -0.00241217-0j -1.61924e-07-0j -0.000645346-0j 
-0.00122041-0j 0.0013123-0j -0.00106786-0j 0.00355198-0j 0.00107849-0j -0.00241432-0j -0.00044047-0j 0.00132758-0j 0.00077051-0j -0.00214692-0j -0.0021493-0j -0.000162063-0j 0.000171827-0j -0.000136997-0j 0.00013836-0j 0.000249457-0j 0.000150349-0j -0.000500099-0j -8.26735e-05-0j 0.000178221-0j -0.000254551-0j 6.20157e-05-0j 0.000501531-0j -5.90648e-05-0j -0.000308232-0j -0.000179982-0j 0.0206046-0j -1.53753e-05-0j -0.0216219-0j 1.61344e-05-0j 0.0169979-0j -0.0171671-0j -1.2684e-05-0j 1.28102e-05-0j -0.0303261-0j 0.010409-0j 2.26296e-05-0j -7.76731e-06-0j -0.0182777-0j 0.0100505-0j 1.36389e-05-0j 0.0332818-0j -7.49975e-06-0j 0.0105169-0j -2.48351e-05-0j -0.049472-0j -0.0150212-0j -7.84781e-06-0j 3.69164e-05-0j 0.0499644-0j 1.12089e-05-0j 0.0295956-0j 0.0237776-0j -3.72839e-05-0j -2.20845e-05-0j 0.00306743-0j -1.77431e-05-0j -0.0184906-0j -0.00619593-0j -2.28894e-06-0j -0.0682315-0j 1.37978e-05-0j 4.62345e-06-0j 0.0211441-0j 5.09149e-05-0j -1.57779e-05-0j 0.0299354-0j -2.2338e-05-0j 0.0123674-0j -9.22863e-06-0j 
-0.00172592-0j -2.71901e-05-0j 0.0044821-0j -0.00100679-0j 0.0014824-0j 7.44303e-05-0j -0.00791904-0j 0.00201164-0j 0.000991665-0j -0.00555441-0j 0.000815278-0j 0.0108413-0j 0.000168405-0j -0.0271995-0j -0.0089959-0j 0.00836602-0j -0.000437337-0j 9.82364e-05-0j -0.01182-0j 0.00559654-0j 0.0246254-0j 0.000772693-0j -0.0103675-0j -0.00790709-0j 0.0227315-0j -0.00253606-0j -0.000150647-0j 0.00207883-0j -2.31608e-06-0j 3.19606e-05-0j 0.000368844-0j 0.00012199-0j -0.00508983-0j -0.00168339-0j -0.000111157-0j -7.61038e-05-0j 0.0015339-0j 0.00105019-0j 5.81075e-06-0j 0.000157048-0j -8.0185e-05-0j -1.78727e-06-0j -0.00216717-0j -7.19983e-05-0j 2.46633e-05-0j 0.000215159-0j -0.0003168-0j 0.000993533-0j -0.00296907-0j 7.1161e-05-0j 0.00437165-0j 0.000133376-0j -1.19561e-06-0j -0.00098198-0j -0.00184051-0j -0.000725769-0j 1.64988e-05-0j -0.000429904-0j 0.000559728-0j 0.0100152-0j 9.28973e-05-0j 0.00593242-0j -0.00772391-0j 8.92234e-05-0j -0.00128193-0j -0.00123123-0j -0.000174232-0j 0.00240429-0j 1.57058e-05-0j -0.000216731-0j 
-0.000246561-0j -0.000272892-0j 0.00021228-0j 0.000717609-0j -0.000217976-0j -0.000494006-0j 0.00044066-0j 0.000292868-0j 0.000462193-0j 8.93851e-05-0j -2.36985e-05-0j 0.00313027-0j 0.00341612-0j -0.00260367-0j 0.00267353-0j -0.0048183-0j -0.00294115-0j -0.00994253-0j 0.00174364-0j 0.0102166-0j 0.00483978-0j -0.00610537-0j -0.00202885-0j -0.00369719-0j -0.000553846-0j 0.000124102-0j 0.00207061-0j -0.0138977-0j 0.00223652-0j -0.0150112-0j -0.00168077-0j 0.00172587-0j 0.0112811-0j -0.0115838-0j -0.00304756-0j 0.00104604-0j 0.0204548-0j -0.00702085-0j -0.00186027-0j 0.00110285-0j 0.0124859-0j -0.00344259-0j -0.00740217-0j -0.00313672-0j 0.0231062-0j 0.00489184-0j -0.00148591-0j 0.0210532-0j -0.0328334-0j -0.00502311-0j 0.00997325-0j 0.0006229-0j 0.0072996-0j 0.0337144-0j -0.00418082-0j -0.00213801-0j -0.0489939-0j 0.00199644-0j -0.00308452-0j 0.01435-0j -0.000648271-0j -0.0133998-0j 0.0207029-0j -0.00132079-0j 0.00435111-0j 0.00886494-0j -0.000161549-0j 0.0010843-0j 3.13492e-05-0j -0.000210411-0j 
-0.00105691-0j -1.66505e-05-0j 0.00274471-0j -0.00061653-0j 0.000907779-0j 4.55791e-05-0j -0.0048494-0j 0.00123187-0j 0.000607268-0j -0.00340137-0j 0.000499254-0j -0.000140351-0j -2.18015e-06-0j 0.000352122-0j 0.00011646-0j -0.000108305-0j 5.6617e-06-0j -1.27176e-06-0j 0.00015302-0j -7.24521e-05-0j -0.000318797-0j -1.00032e-05-0j 0.000134217-0j 0.000102364-0j -0.00029428-0j 3.28316e-05-0j 0.0178441-0j -1.33154e-05-0j 0.00027434-0j -2.04715e-07-0j -0.0436896-0j -0.0144498-0j 3.26015e-05-0j 1.07825e-05-0j 0.0131665-0j 0.00901449-0j -9.82496e-06-0j -6.72669e-06-0j -0.000688284-0j -0.0186023-0j 5.13603e-07-0j 0.000211702-0j 1.38812e-05-0j 0.00852819-0j -1.57974e-07-0j -0.0254856-0j 0.037525-0j -6.36381e-06-0j 1.90175e-05-0j -0.00842902-0j -2.80014e-05-0j -0.0157984-0j 0.00014162-0j 6.28981e-06-0j 1.17889e-05-0j 0.0859673-0j -1.05678e-07-0j 0.0509221-0j -0.0662997-0j -6.41495e-05-0j -0.0110037-0j -3.79985e-05-0j 4.94734e-05-0j -0.0105685-0j 8.21104e-06-0j 7.88631e-06-0j 0.0206377-0j -1.54e-05-0j -0.00186035-0j 1.38821e-06-0j 
0.00142381-0j -0.00308446-0j -0.00122585-0j 0.000830558-0j 0.00115278-0j 0.00279925-0j -0.00254468-0j 0.00328285-0j -0.00244433-0j -0.000600609-0j -0.00605377-0j -0.00894366-0j 0.0191039-0j 0.00743907-0j -0.00699561-0j -0.00690162-0j -0.0164478-0j 0.011144-0j -0.0192893-0j 0.0146341-0j 0.00634877-0j -0.0341431-0j -0.00338146-0j 0.0409007-0j -0.0205028-0j 0.0348985-0j 0.000124277-0j -0.00171495-0j -0.000262737-0j 0.00362562-0j -0.000100879-0j 9.48652e-05-0j 0.00139207-0j -0.00130908-0j 9.16996e-05-0j 6.27825e-05-0j -0.0012654-0j -0.000866361-0j 0.000218537-0j 0.000256291-0j -0.00301568-0j -0.000202748-0j -0.00353666-0j -0.000188264-0j 0.00279781-0j -5.88459e-05-0j -8.16755e-05-0j 0.00259793-0j 0.000812039-0j 5.5338e-05-0j 0.00112707-0j 4.35017e-05-0j 0.000429904-0j -0.000763632-0j -0.000600298-0j -0.000128322-0j -0.00593242-0j -0.000232593-0j -0.000169546-0j 0.00177077-0j -0.000252734-0j 0.00320965-0j 0.00233963-0j -9.22404e-05-0j 0.00348757-0j 0.00127286-0j 0.000428916-0j -0.00591879-0j -0.000341056-0j 0.00470637-0j 
0.000249116-0j -0.000267871-0j 0.000217976-0j -0.000725046-0j -0.000220146-0j 0.000492822-0j 8.99106e-05-0j -0.000270992-0j -0.00015728-0j 0.000438239-0j 0.000438723-0j -0.00316271-0j 0.00335326-0j -0.00267353-0j 0.00270014-0j 0.00486824-0j 0.0029341-0j -0.00975959-0j -0.0016134-0j 0.00347804-0j -0.00496764-0j 0.00121026-0j 0.00978754-0j -0.00115267-0j -0.00601525-0j -0.0035124-0j -0.00209207-0j 0.0140417-0j 0.00219537-0j -0.014735-0j -0.00172587-0j 0.00174305-0j 0.0115838-0j -0.0116991-0j 0.00307914-0j -0.00105688-0j -0.0206668-0j 0.00709361-0j 0.00185581-0j -0.00102047-0j -0.0124559-0j -0.00337925-0j 0.00684925-0j -0.00106783-0j 0.022681-0j 0.00502311-0j 0.00152517-0j 0.00716712-0j -0.0337144-0j -0.00507311-0j -0.0102367-0j -0.00300498-0j -0.00241425-0j 0.03405-0j 0.020169-0j -0.00031145-0j 0.0162041-0j 0.00187743-0j 0.0006291-0j 0.00209041-0j 0.00692784-0j -0.012601-0j -0.00422243-0j -0.00214686-0j -0.0464987-0j 0.0144094-0j -0.00303947-0j 0.0204005-0j -0.00125571-0j 0.00842818-0j 
1.45287e-05-0j 1.60803e-05-0j -1.25087e-05-0j -4.22855e-05-0j 1.28444e-05-0j 2.91096e-05-0j -2.59661e-05-0j -1.72574e-05-0j -2.7235e-05-0j -5.26707e-06-0j 1.39644e-06-0j -0.000370835-0j -0.000404699-0j 0.00030845-0j -0.000316727-0j 0.000570812-0j 0.000348431-0j 0.00117787-0j -0.000206565-0j -0.00121034-0j -0.000573357-0j 0.000723288-0j 0.000240353-0j 0.000437997-0j 6.56128e-05-0j -1.47021e-05-0j 1.26813e-06-0j 0.00505412-0j 1.36974e-06-0j 0.00545907-0j -1.02937e-06-0j 1.057e-06-0j -0.00410255-0j 0.00421264-0j -1.86646e-06-0j 6.40637e-07-0j -0.00743873-0j 0.00255325-0j -1.13931e-06-0j 6.75432e-07-0j -0.00454069-0j -2.10839e-06-0j 0.00269192-0j -1.92106e-06-0j -0.00840294-0j 2.99597e-06-0j -9.10037e-07-0j -0.00765635-0j 0.0119404-0j -3.07637e-06-0j -0.00362693-0j 3.81491e-07-0j 4.47059e-06-0j -0.0122608-0j 0.00152042-0j -1.30941e-06-0j 0.0178174-0j 1.22271e-06-0j -1.88909e-06-0j -0.00521862-0j -3.97029e-07-0j 0.00487307-0j -0.00752895-0j -8.08906e-07-0j -0.00158235-0j -0.00322388-0j -9.89396e-08-0j -0.000394322-0j 1.91996e-08-0j 7.65195e-05-0j 
0.00021574-0j 3.39877e-06-0j -0.000560262-0j 0.000125849-0j -0.0001853-0j -9.30379e-06-0j 0.00098988-0j -0.000251455-0j -0.000123958-0j 0.000694301-0j -0.00010191-0j -0.00273899-0j -4.25464e-05-0j 0.00687176-0j 0.00227275-0j -0.00211361-0j 0.00011049-0j -2.48187e-05-0j 0.00298622-0j -0.00141392-0j -0.00622142-0j -0.000195215-0j 0.00261928-0j 0.00199767-0j -0.00574296-0j 0.000640718-0j -0.00181179-0j 0.0121605-0j -2.7855e-05-0j 0.000186959-0j 0.00443599-0j 0.00146715-0j -0.0297738-0j -0.00984729-0j -0.00133685-0j -0.000915282-0j 0.00897278-0j 0.00614324-0j 6.98845e-05-0j 0.00188878-0j -0.000469055-0j -2.1495e-05-0j -0.0126772-0j -0.000865905-0j 0.000144272-0j 0.00258766-0j -0.00381008-0j 0.00581184-0j -0.017368-0j 0.000855836-0j 0.0255727-0j 0.00160408-0j -1.43793e-05-0j -0.00574425-0j -0.0107664-0j -0.00872864-0j 9.65121e-05-0j -0.00517035-0j 0.0067317-0j 0.0585855-0j 0.00111725-0j 0.0347027-0j -0.0451823-0j 0.00107307-0j -0.00749885-0j -0.00720228-0j -0.00209544-0j 0.0140643-0j 0.00018889-0j -0.0012678-0j 
0.000871905-0j -0.00188884-0j -0.000750678-0j 0.000508611-0j 0.000705929-0j 0.00171419-0j -0.00155829-0j 0.00201032-0j -0.00149684-0j -0.000367796-0j -0.00370716-0j 0.000115783-0j -0.000247317-0j -9.63052e-05-0j 9.05642e-05-0j 8.93474e-05-0j 0.000212931-0j -0.000144268-0j 0.000249717-0j -0.000189451-0j -8.21903e-05-0j 0.000442012-0j 4.37759e-05-0j -0.000529495-0j 0.000265427-0j -0.000451791-0j -0.0147206-0j 1.09846e-05-0j 0.0311212-0j -2.32229e-05-0j 0.0119491-0j -0.0112368-0j -8.9165e-06-0j 8.38497e-06-0j -0.0108618-0j -0.00743658-0j 8.10518e-06-0j 5.54924e-06-0j -0.0258857-0j -0.0303576-0j 1.93161e-05-0j 0.0240155-0j 2.26531e-05-0j 0.0222999-0j -1.79206e-05-0j 0.0069703-0j 0.00967446-0j -1.66404e-05-0j -5.20129e-06-0j -0.00655478-0j -7.21916e-06-0j -0.00515278-0j -0.0509221-0j 4.89123e-06-0j 3.84505e-06-0j 0.0151997-0j 3.79985e-05-0j 0.0275506-0j 0.0200827-0j -1.13422e-05-0j 0.0299363-0j -2.05585e-05-0j -1.49858e-05-0j 0.0109259-0j -2.23387e-05-0j -8.15297e-06-0j -0.0508051-0j 3.79112e-05-0j 0.040398-0j -3.01454e-05-0j 
