0.523571-0.486967j 0.494839+0.522075j 0.0459186-0.0808658j -0.100425-0.0214611j -0.0193105+0.0658524j 0.00547244-0.0131709j -0.0315077+0.0104653j 0.0109508+0.0232732j -0.0214566-0.046531j -0.00955366-0.0181868j 0.0428355-0.0334624j -0.00610505+0.00633204j -0.0324698+0.0242174j 0.0293684+0.0236002j 0.0150287+0.00859751j -0.0027234+0.000101138j 0.0102092+0.00532458j 0.00147306-0.00782508j 0.0128894+0.00993399j 0.0133928-0.0248623j -0.00582542+0.00899017j 0.0196309+0.00133228j 0.0004588+0.0213627j -0.00241028+0.0213805j 0.00128755-0.00440011j -0.0434222+0.000659448j -0.000184182-0.00205351j 0.0018685+0.00291497j 0.000234335-0.0373103j -0.0190437-0.00346819j 0.00334273+0.00527751j 0.0117791+0.0204999j 0.0211571-0.00866718j -0.00157207-0.00369009j 0.00697719-0.00298828j 0.000563264-5.40156e-05j 
-0.0125883+0.00886008j -0.0104646-0.0101007j 0.00918225-0.0105497j -0.0104035-0.00425361j -0.0109112+0.00695573j 0.00773023+0.0150196j -0.0210297-0.00672054j 0.0191781-0.0063617j 0.0195153+0.0244783j 0.00813868+0.00811157j -0.00137129+0.000472619j -0.0108979-0.00180693j -0.0161923+0.0165363j 0.0103741+0.00310723j 0.00849048-0.0138884j 0.00522835+0.0118669j 0.0213127+0.0423061j 0.0373248-0.0105824j -0.0278411+0.00357185j -0.0655633+0.0232681j -0.00149933-0.0111349j -0.00409469-0.0123741j -0.024819+0.0433571j -0.00632494+0.0239351j 0.00869369+0.0315071j 0.00625383-0.017692j -0.0382073+0.00959857j 0.0265955-0.0142181j 0.0118473-0.0122976j 0.00030549+0.0309632j -0.0493964+0.0317723j 0.0212114-0.0242639j 0.0105583-0.0205831j -0.00621086+0.0200346j 0.00678053+0.0173863j 0.0173185-0.0334283j 
-0.0198288+0.0158781j 0.0268549+0.0103647j -0.011887-0.00556587j 0.0241975+0.00278545j 0.0088245+0.00295844j -0.00242636+0.011068j -0.0100126-0.0262592j -0.0139347-0.00408616j 0.0239686+0.0116822j 0.0095349+0.00667252j -0.0015207-0.0391911j -0.00046502-0.00743639j -0.00270049+0.0178174j 0.0042286-0.000597842j 0.00795817-0.00589763j 0.00144438+0.00219642j 0.0130289+0.00295752j 0.0103704+0.00468977j 0.016834-0.0135448j 0.0101557+0.0063867j 0.00488182+0.00893994j 0.0136146-0.00949321j 0.0147657+0.00150336j -0.0159994-0.0246783j 0.0100346-0.0214836j -0.00224528+0.00940489j 0.0147917-0.0011538j 0.0107918-0.0116254j 0.0132448+0.00880361j -0.00354787+0.0033477j -0.00266648+0.00528678j -0.00941394-0.00630452j 0.00893291+0.0050454j -0.00418397+0.000719759j 0.00774637-0.00547652j 0.00681972-0.00950863j 
-0.0166078+0.01227j 0.0227367+0.00466844j -0.000306312-0.0183374j 0.0101676-0.018216j -0.00774772+0.0195943j 0.00774815-0.00501621j -0.00477571+0.0379015j 0.0100559-0.000536958j -0.0275707-0.0080556j -0.0122493+0.0193825j -0.000538491+0.0406682j 0.00756024+0.00686614j -0.00363677-0.0338585j -0.000804646+0.0134379j -0.0011432+0.00476863j 0.00787535+0.0114784j -0.0200999+0.00717729j -0.00171271-0.00567368j -0.00646898+0.0216883j -0.0125731+0.00040998j 0.022216+0.015069j 0.00331241+0.00883324j -0.0120021+0.0102231j 0.0242935-0.00243586j -0.00986765-0.00464893j 0.0112643-0.015362j -0.0145209+0.0182193j 0.00905977-0.0151029j -0.00874067-0.00831316j 0.0021057-0.00494719j 0.00323397+0.000325968j 0.00201815+0.00877505j -0.0013518-0.0070856j -0.00416711-0.00407587j 3.7413e-05-0.0100907j 0.00595563-0.00511795j 
-0.00887429+0.0156403j -0.0113308-0.00576609j -0.0162899+0.00811578j 0.0139849+0.0140755j 0.0144065-0.00970228j 0.0139051-0.00247941j 0.00553344+0.015924j 0.0152123+0.0140625j -0.00801055-0.00730127j -0.0152681+0.00241062j -0.0066185+0.0222309j 0.00971075-0.00176418j -0.00478792-0.00683123j -0.00494807-0.00819945j -0.00241524+0.0132817j 0.0062933+0.000682915j 0.00249148+0.00283649j 0.0276309-0.0277839j 0.0142818-0.00837255j 0.0261741-0.0223814j 0.000731057-0.0107344j -0.0203873-0.0399666j 0.0266142-0.0123766j -0.00546069-0.0226939j 0.0547934-0.0208253j -0.013103+0.011773j 0.00275578-0.0205431j 0.000893176-0.00879577j 0.0317157+0.010586j 0.00586937-0.0238995j -0.00155193-0.0107778j 0.00259961-0.0169281j -0.00638604+0.00126622j -0.0262333-0.0355771j 0.0303039+0.0044668j 0.037632-0.000327673j 
0.00591818-0.0252541j 0.0127243-0.00745347j -0.00729454-0.00184776j 0.00447633+0.00820005j 0.00796825-0.00043614j 0.00460619+0.0216858j -0.0178144-0.0043239j 0.0457099+0.0166903j 0.00885966+0.00432478j -0.00180962+0.0100325j -0.0172066+0.015586j -0.00035436-0.000232091j -0.0127062+0.0153004j -0.0157322-0.000119591j 0.00978342-0.00858067j 0.0341953+0.0503576j 0.0214058+0.0123226j 0.0966976-0.0625572j 0.00113315+0.00947977j -0.0133977+0.0348075j 0.00489571+0.0208866j -0.00315876-0.0606105j -0.00293949+0.036043j 0.00987976-0.0285953j 0.067679-0.0498271j 0.00688819-0.0128059j -0.0280004+0.0379214j 0.0426793-0.0306403j 0.0236331-0.0153663j 0.00433157+0.0278825j -0.0326956+0.0274721j -0.00705787-0.0101057j -0.0153422-0.00177312j -0.0107707+0.0237995j 0.031858-0.0255178j 0.0236422-0.0448111j 
0.00345772+0.0128993j 0.00091238+0.0113688j -0.000637903-0.0121305j 0.00546106-0.00660989j 0.00687713+0.0149247j -0.015523+0.0184201j -0.0470419-0.00322887j 0.000438175+0.0103476j 0.0173388+0.0160836j -0.0241735+0.0152567j -0.00818009-0.00987433j -0.000637761-0.0068635j 0.000673063-0.00295059j -0.00650823-0.0136734j 0.0038828+0.00665963j -0.0546417+0.0293145j -0.0728738-0.00234905j 0.0445183+0.00270927j -0.00574695+0.0107633j 0.00932306-0.0524774j -0.0426673+0.010845j -0.0134349-0.0420639j -0.0452658-0.00643442j 0.0704084-0.0312039j 0.00382231-0.0253477j 0.0132953-0.0307865j 0.0251831-0.018886j 0.000686295-0.0223558j -0.011327-0.0103119j -0.0116468-0.00860487j 0.0248911-0.000586385j 0.0113222+0.0197771j -0.0339305+0.0141478j 0.0267017+0.0100103j 0.0148025-0.0254285j -0.00774258+0.000347196j 
-0.000984423-0.00298865j 0.00944978-0.00632113j -0.0134047-0.00734467j 0.0207461-0.0115803j 0.004979+0.0122019j 0.0182328-0.0187088j -0.0056497+0.00580899j -0.00614254-0.0222341j -0.00212177+0.000681338j 0.0093712+0.005451j 0.00665652+0.00775447j -0.00670283-0.00252339j 0.00110551+0.00504319j 0.0086096+0.00224812j -0.00696234-0.00529128j -0.00156173-0.00850487j 0.0320612+0.00664219j -0.0103585+0.00109168j 0.00261464-0.0030251j -0.0127406+0.015955j 0.00112281-0.0190323j -0.00322281+0.00618474j 0.0170695+0.00402568j -0.0279381+0.0130281j -0.00552006+0.0253319j -0.00347129+0.00797538j -0.00919583+0.00571789j 0.00392358+0.00520338j 0.0104838+0.00197912j 0.00316865+0.00511662j -0.0117339+0.0041627j 0.00201105-0.00514325j 0.0140023-0.0103818j -0.00533757+0.00456274j -0.00985672+0.010441j -0.00589024-0.00284479j 
0.00278201+0.00740954j 0.000579888+0.00717705j -0.00587814-0.00491164j -0.0132477+0.00592461j 0.0123348+0.00732716j -0.027323+0.0117502j 0.0750968-0.0221866j 0.0159236+0.0312916j -0.0116365-0.0386909j 0.00133092-0.0182649j -0.00817549-0.00463977j 0.0189236-0.0123188j 0.00107516+0.00830387j -0.00527315+0.0020668j 0.00175741+0.00338558j 0.00138555+0.0199717j -0.0481068+0.0114665j 0.0335801-0.0140783j -0.00680239+0.0122417j 0.0122245-0.0356876j -0.0113778+0.00980577j -0.00797427-0.0368196j -0.0337661+0.0331085j 0.0272626-0.0235105j 0.0129437-0.020885j 0.0157204+0.0024035j 0.0101646+0.0132062j 0.00397619-0.00238441j -1.33745e-05-0.000844064j -0.000933952+0.00948485j 0.00396493+0.00410916j -0.00268643-0.00201348j -0.013314+0.0168001j 0.0109068+0.0127698j 0.0141087-0.0142902j -0.00162324-0.00873911j 
-0.00048988-0.0120064j 0.0040873-0.00419159j -0.00870802-0.00591699j -0.0191255+0.013007j 0.0111692+0.000852018j 0.043311+0.00901608j -0.0228228+0.0116133j -0.0273221+0.000730187j 0.00806395+0.00909447j -0.0143378-0.00226169j -0.00996463-0.0206347j 0.00634096+0.00640671j -0.00450233-0.0159945j -0.000361711-0.00885291j -0.00598176+0.0135667j 0.0321766-0.0364547j -0.0181956+0.0373389j -0.0219801-0.00633733j -0.00244419+0.00573422j 0.0199734-0.04312j 0.0718526-0.0380575j -0.0248733+0.01903j 0.00356033+0.026934j -0.0141525-0.0187056j -0.000614821+0.0318077j 0.00316+0.0287681j -0.00147866-0.0245709j 0.00309923-0.000803239j -0.00608487-0.0168898j -0.0126916-0.0333204j -0.0120957-0.00939723j -0.0279111-0.0351538j -0.00687464+0.00241678j -0.0427617-0.0398392j 0.0309214+0.00343577j 0.0351335-0.00445469j 
0.00337526+0.00998952j -0.000841719+0.00619638j -0.0123406-0.00372805j 0.00366492-0.0140424j 0.00263188+0.0133846j 0.036254+0.00578491j 0.0033875-0.0139498j 0.00474915+0.00614003j -0.000888368+0.00112009j -0.00547383-0.0208553j -0.0138091-0.00279408j 0.00964076+0.00583749j -0.00589645+0.00449853j -0.000121182-0.000395117j -0.00702588-4.36049e-05j 0.117147-0.0176828j -0.00969706-0.00478043j 0.0379261-0.0984405j 0.010164-0.00509173j 0.0125931+0.0281668j 0.107671-0.0245918j -0.00901945+0.0062285j -0.00503336-0.0240118j 0.00947929+0.0198552j 0.0477631-0.0451495j -0.0134214-0.0312751j -0.017842+0.0315699j 0.0296991-0.00287264j -0.0375514-0.0298503j -0.00371808+0.0234005j -0.0120533+0.00881095j -0.0368335-0.0109304j -0.0153577+0.00903463j -0.0136509+0.0151245j 0.0302757-0.0272774j 0.0172884-0.0293834j 
-0.000515559-0.0029161j -0.000334677-0.00170103j -0.0126505+0.0150411j -0.000376565+0.00294696j 0.00017661-0.00143875j 0.0386121-0.0495409j -0.00172608+0.00732838j -0.0116545-0.0339978j 0.00152953-0.00609641j -0.00618219+0.00478702j 0.00604521+0.00551122j 0.00083982-0.0053446j 0.00175561+0.00332617j 0.000487477+0.000539443j 0.00247722-0.00195624j -0.0146831-0.0449175j -0.0138612+0.00733605j 0.00758813-0.0528161j 0.00181409-0.00284166j -0.00655319-0.0337704j -0.027055-0.0817327j -0.0330568-0.0579247j -0.00419117-0.0253865j -0.00233801+0.0226035j -0.00951751-0.0013533j -0.0141123-0.0265947j 0.00703365+0.00662045j -0.0154915+0.0130014j 0.0176103+0.0131431j 0.0186194+0.0237318j 0.0141526-0.00300477j 0.0321862+0.0217978j 0.00169378-0.00415613j 0.0351198+0.0209776j -0.0180172+0.00676876j -0.0200176+0.0112144j 
