-0.0590704-0j -0.0730959-0j -0.0426393-0j -0.00736065-0j -0.00858742-0j -0.0052587-0j -0.00751399-0j -0.00309936-0j 0.443672-0j -0.000669824-0j 0.501181-0j -0.000756647-0j 0.409213-0j 0.413454-0j -0.0006178-0j 0.358061-0j -0.000624202-0j -0.000540575-0j 0.295385-0j -0.000445951-0j 0.0943771-0j -0.000142484-0j -0.00344811-0j 0.0582756-0j -5.07954e-05-0j -0.00381636-0j 0.0644993-0j -0.00301709-0j -5.62202e-05-0j -0.0020114-0j -0.00304836-0j 0.0509912-0j -0.00351994-0j 0.0339941-0j 0.0515196-0j -4.4446e-05-0j -0.00124449-0j -2.96307e-05-0j -0.0020533-0j -4.49066e-05-0j -0.00217785-0j 0.0594897-0j 0.0210328-0j -5.18537e-05-0j -0.00127041-0j 0.0347023-0j 0.0368074-0j -1.8333e-05-0j -3.0248e-05-0j -0.000331419-0j 0.021471-0j -3.20828e-05-0j 0.00560123-0j -1.8715e-05-0j -4.88226e-06-0j 
-0.0020533-0j 0.00494959-0j -0.00569753-0j -0.000255857-0j 0.000581485-0j -0.000182793-0j -0.000234506-0j -0.000128983-0j 0.0154221-0j -2.32832e-05-0j -0.0339368-0j 5.12353e-05-0j 0.0142243-0j 0.0129036-0j -2.14748e-05-0j -0.0242456-0j -1.94809e-05-0j 3.66043e-05-0j 0.0394699-0j -5.95888e-05-0j -0.0417822-0j 6.30797e-05-0j 0.017303-0j 0.00202567-0j -1.76566e-06-0j -0.0373064-0j -0.00436748-0j 0.0151401-0j 3.80688e-06-0j 0.0100934-0j 0.0137344-0j 0.00177246-0j -0.0344088-0j 0.00118164-0j 0.00160789-0j -1.54495e-06-0j 0.00624497-0j -1.02997e-06-0j 0.0396084-0j -1.4015e-06-0j 0.00981229-0j -0.00402826-0j 0.000731104-0j 3.5112e-06-0j 0.00763242-0j 0.00463698-0j 0.00114873-0j -6.3726e-07-0j -4.04178e-06-0j -0.072594-0j 0.000893533-0j -1.00128e-06-0j -0.00849863-0j -7.78841e-07-0j 7.40776e-06-0j 
-0.00050806-0j 1.05825e-05-0j 0.000714412-0j 0.00603341-0j 0.000121956-0j -0.012686-0j 0.00577643-0j -0.00744544-0j -3.99141e-05-0j -0.0256106-0j -7.81184e-07-0j -0.000501242-0j 3.5766e-05-0j 3.59066e-05-0j 0.022949-0j 1.64254e-06-0j 0.0230393-0j 0.00105392-0j -5.02926e-05-0j -0.03227-0j 3.32263e-05-0j 0.0213194-0j 0.00428138-0j 0.000499635-0j -0.00595182-0j 8.21005e-05-0j 9.5811e-06-0j -0.00363956-0j -0.000114133-0j 0.00249747-0j -0.00365387-0j -0.000424735-0j -7.35682e-05-0j 0.000291454-0j -0.000426405-0j 0.00505958-0j -0.00759418-0j -0.00347189-0j -0.00496648-0j 0.00507948-0j 0.00768272-0j -8.58538e-06-0j -0.000886239-0j 0.000102272-0j 0.00449134-0j -0.000579587-0j 0.000896571-0j 0.0105572-0j 0.00690423-0j -0.00201477-0j 0.000524138-0j -0.0106802-0j -0.000235123-0j -0.0062437-0j 0.00280086-0j 
8.24087e-05-0j -5.18537e-05-0j -3.0248e-05-0j 0.000749052-0j -0.0017186-0j 0.000535149-0j 0.000764657-0j 0.000315405-0j 0.000314738-0j -0.00647332-0j 0.000355534-0j -0.00731239-0j -0.00057089-0j -0.000576806-0j 0.0117417-0j 0.000254006-0j 0.0118634-0j -0.00522422-0j 0.000209544-0j -0.00430977-0j 6.69503e-05-0j -0.00137699-0j -2.44606e-06-0j -0.00593039-0j 0.0226485-0j -2.70729e-06-0j -0.00656373-0j -2.1403e-06-0j 0.0250673-0j 7.03904e-06-0j -2.16248e-06-0j -0.00518909-0j 4.91065e-06-0j 0.0170659-0j -0.00524286-0j 0.0198175-0j -8.8283e-07-0j -0.0651757-0j 2.86454e-06-0j 0.0200228-0j -1.54495e-06-0j 0.0119057-0j -0.00214039-0j -0.0454686-0j -9.01222e-07-0j 0.00694499-0j -0.00374568-0j 0.00817428-0j -0.0265233-0j -2.35106e-07-0j -0.00218498-0j 0.014305-0j -0.000570006-0j 0.00834458-0j 0.00217689-0j 
-0.000439993-0j 9.16475e-06-0j 0.000618699-0j 0.00258513-0j 5.22545e-05-0j -0.00543557-0j 0.00247502-0j -0.00319014-0j 0.00664406-0j 0.000475487-0j 0.000130035-0j 9.30605e-06-0j -0.00595357-0j -0.00597698-0j -0.000426072-0j -0.000273415-0j -0.000427747-0j -1.95672e-05-0j 0.00837165-0j 0.000599124-0j -0.00553081-0j -0.000395816-0j -2.56836e-05-0j -0.041148-0j 5.42763e-05-0j -4.92514e-07-0j -0.000789063-0j 2.18334e-05-0j 1.04081e-06-0j -1.49821e-05-0j 2.19193e-05-0j 0.0349796-0j 4.41329e-07-0j -0.024003-0j 0.0351171-0j -4.61398e-05-0j 4.55569e-05-0j 3.16612e-05-0j 2.97935e-05-0j -4.63212e-05-0j -4.6088e-05-0j 0.000707059-0j 0.0729872-0j -9.32645e-07-0j -2.69432e-05-0j 0.0477325-0j -0.0738381-0j -9.62737e-05-0j -6.29616e-05-0j 1.20864e-05-0j -0.043166-0j 9.73962e-05-0j 0.0193638-0j 5.69381e-05-0j -2.55418e-05-0j 
0.000296368-0j -0.000714412-0j 0.000822368-0j -0.00351949-0j 0.00799872-0j -0.00251445-0j -0.00322579-0j -0.00177424-0j 2.32832e-05-0j 0.0149395-0j -5.12353e-05-0j -0.0328748-0j 2.14748e-05-0j 1.94809e-05-0j 0.0137792-0j -3.66043e-05-0j 0.0124998-0j -0.0234869-0j 5.95888e-05-0j 0.0382348-0j -6.30797e-05-0j -0.0404747-0j -0.00249747-0j -0.000291454-0j 0.00347189-0j 0.00538471-0j 0.000628394-0j -0.00218529-0j -0.00748563-0j -0.00145686-0j -0.00198238-0j -0.000255022-0j 0.00496648-0j -0.000170015-0j -0.000231343-0j 0.00303791-0j -0.000901384-0j 0.00202527-0j -0.00571698-0j 0.00275584-0j -0.00141628-0j 0.000579587-0j -0.000105191-0j -0.00690423-0j -0.00110165-0j -0.000667169-0j -0.00016528-0j 0.00125307-0j 0.00794753-0j 0.010478-0j -0.000128562-0j 0.00196887-0j 0.00122278-0j 0.00153147-0j -0.0145662-0j 
-3.76143e-06-0j 2.36679e-06-0j 1.38062e-06-0j -5.71412e-05-0j 0.000131103-0j -4.08237e-05-0j -5.83316e-05-0j -2.40606e-05-0j 1.50261e-07-0j 0.000995277-0j 1.69738e-07-0j 0.00112428-0j -2.72553e-07-0j -2.75377e-07-0j -0.00180529-0j 1.21267e-07-0j -0.001824-0j 0.000803228-0j 1.0004e-07-0j 0.000662629-0j 3.19633e-08-0j 0.000211713-0j 1.11647e-07-0j -4.73194e-06-0j -0.0107893-0j 1.2357e-07-0j -5.2373e-06-0j 9.7691e-08-0j -0.0119415-0j -3.21287e-07-0j 9.87034e-08-0j -4.14045e-06-0j -2.24139e-07-0j 1.36171e-05-0j -4.18336e-06-0j -0.0094406-0j 4.02955e-08-0j 0.0310483-0j -1.30748e-07-0j -0.00953843-0j 7.05171e-08-0j 9.49973e-06-0j -1.70785e-06-0j 0.0216602-0j 4.1135e-08-0j 5.54151e-06-0j -2.98873e-06-0j -0.00389405-0j 0.0126351-0j 1.07311e-08-0j -1.74343e-06-0j -0.00681459-0j -4.54816e-07-0j -0.00397518-0j -0.00103702-0j 
0.000256663-0j -0.000618699-0j 0.000712192-0j -0.00150799-0j 0.00342721-0j -0.00107736-0j -0.00138215-0j -0.000760209-0j -0.0038757-0j -0.000277367-0j 0.00852858-0j 0.000610354-0j -0.00357468-0j -0.00324277-0j -0.000255825-0j 0.00609311-0j -0.000232071-0j 0.000436058-0j -0.00991908-0j -0.000709866-0j 0.0105002-0j 0.000751453-0j 1.49821e-05-0j 0.024003-0j -3.16612e-05-0j -3.23024e-05-0j -0.0517521-0j 1.31094e-05-0j 6.82635e-05-0j 8.73957e-06-0j 1.18922e-05-0j 0.0210026-0j -2.97935e-05-0j 0.0140018-0j 0.0190525-0j -2.77035e-05-0j 5.40733e-06-0j -1.8469e-05-0j 3.42957e-05-0j -2.51313e-05-0j 8.49616e-06-0j -0.0477325-0j 0.00866314-0j 6.29616e-05-0j 6.60868e-06-0j 0.0549455-0j 0.0136118-0j -1.14271e-05-0j -7.24758e-05-0j -6.28569e-05-0j 0.0105878-0j -1.79546e-05-0j -0.100704-0j -1.39659e-05-0j 0.000132833-0j 
5.18537e-05-0j -1.08008e-06-0j -7.29144e-05-0j -0.000926905-0j -1.8736e-05-0j 0.00194893-0j -0.000887424-0j 0.00114383-0j -0.000389468-0j 0.00801032-0j -7.62252e-06-0j 0.000156775-0j 0.000348992-0j 0.000350364-0j -0.00717785-0j 1.60273e-05-0j -0.00720607-0j -0.000329639-0j -0.000490738-0j 0.0100932-0j 0.00032421-0j -0.00666815-0j 3.02684e-06-0j 0.00733848-0j -0.0280261-0j 5.80434e-08-0j 0.000140724-0j -2.57309e-06-0j -0.000537434-0j 1.76566e-06-0j -2.58321e-06-0j -0.00623837-0j -5.20112e-08-0j 0.00428078-0j -0.0062629-0j 0.0238247-0j -5.36893e-06-0j -0.0163486-0j -3.5112e-06-0j 0.0239184-0j 5.43153e-06-0j -0.000126099-0j -0.0130168-0j 0.000481581-0j 3.17529e-06-0j -0.00851278-0j 0.0131685-0j 0.0497119-0j 0.0325109-0j -1.4244e-06-0j 0.00769837-0j -0.0502915-0j -0.00345341-0j -0.0294006-0j 0.0131888-0j 
-2.36679e-06-0j 4.92985e-08-0j 3.32807e-06-0j 7.07086e-05-0j 1.42927e-06-0j -0.000148674-0j 6.76969e-05-0j -8.72569e-05-0j -1.85939e-07-0j -0.00123159-0j -3.63913e-09-0j -2.41043e-05-0j 1.66615e-07-0j 1.6727e-07-0j 0.0011036-0j 7.65172e-09-0j 0.00110794-0j 5.06823e-05-0j -2.34287e-07-0j -0.00155183-0j 1.54784e-07-0j 0.00102523-0j -1.38156e-07-0j 5.85548e-06-0j 0.013351-0j -2.64931e-09-0j 1.12286e-07-0j 1.17445e-07-0j 0.000256022-0j -8.05909e-08-0j 1.17907e-07-0j -4.97769e-06-0j 2.37397e-09-0j 3.4157e-06-0j -4.99726e-06-0j -0.0113496-0j 2.45057e-07-0j 0.0077881-0j 1.60264e-07-0j -0.0113942-0j -2.47914e-07-0j -1.00616e-07-0j -1.03863e-05-0j -0.000229415-0j -1.44931e-07-0j -6.79248e-06-0j 1.05074e-05-0j -0.0236817-0j -0.0154875-0j 6.50147e-08-0j 6.14264e-06-0j 0.0239578-0j -2.75552e-06-0j 0.0140058-0j -0.00628285-0j 
-3.0248e-05-0j 7.29144e-05-0j -8.39326e-05-0j 0.000540694-0j -0.00122883-0j 0.000386291-0j 0.000495574-0j 0.000272575-0j 0.00022719-0j -0.00467269-0j -0.000499937-0j 0.0102824-0j 0.000209544-0j 0.000190088-0j -0.00430977-0j -0.000357172-0j -0.00390961-0j 0.00734608-0j 0.000581446-0j -0.0119588-0j -0.00061551-0j 0.0126594-0j -1.76566e-06-0j -0.00428078-0j 0.0163486-0j 3.80688e-06-0j 0.00922964-0j -1.54495e-06-0j -0.0352486-0j -1.02997e-06-0j -1.4015e-06-0j -0.00374568-0j 3.5112e-06-0j -0.00249712-0j -0.0033979-0j 0.014305-0j -6.3726e-07-0j 0.00953666-0j -4.04178e-06-0j 0.0129768-0j -1.00128e-06-0j 0.00851278-0j -0.00154501-0j -0.0325109-0j -7.78841e-07-0j -0.00979916-0j -0.00242757-0j 0.00590051-0j 0.0374236-0j 7.40776e-06-0j -0.00188827-0j 0.00927106-0j 0.0179598-0j 0.00721143-0j -0.0685898-0j 
1.38062e-06-0j -3.32807e-06-0j 3.83098e-06-0j -4.12467e-05-0j 9.37411e-05-0j -2.94681e-05-0j -3.78047e-05-0j -2.07933e-05-0j 1.08464e-07-0j 0.000718429-0j -2.38678e-07-0j -0.00158092-0j 1.0004e-07-0j 9.07513e-08-0j 0.000662629-0j -1.7052e-07-0j 0.000601104-0j -0.00112946-0j 2.77593e-07-0j 0.00183867-0j -2.93855e-07-0j -0.00194639-0j 8.05909e-08-0j -3.4157e-06-0j -0.0077881-0j -1.73759e-07-0j 7.36447e-06-0j 7.05171e-08-0j 0.0167917-0j 4.70114e-08-0j 6.39696e-08-0j -2.98873e-06-0j -1.60264e-07-0j -1.99249e-06-0j -2.71123e-06-0j -0.00681459-0j 2.90868e-08-0j -0.00454306-0j 1.84481e-07-0j -0.00618186-0j 4.57021e-08-0j 6.79248e-06-0j -1.23279e-06-0j 0.0154875-0j 3.5549e-08-0j -7.8189e-06-0j -1.937e-06-0j -0.00281087-0j -0.0178278-0j -3.38116e-07-0j -1.50668e-06-0j -0.00441653-0j 1.43304e-05-0j -0.00343537-0j 0.0326747-0j 
0.0170137-0j 0.0210534-0j 0.0122812-0j -0.00629212-0j 0.00247339-0j 0.00151463-0j 0.00216421-0j 0.000892692-0j 0.00133663-0j 0.000192926-0j -0.00448121-0j -0.000646807-0j 0.00123281-0j 0.00124559-0j 0.000177941-0j 0.00107871-0j 0.000179785-0j 0.000155699-0j 0.000889892-0j 0.000128445-0j 0.000284325-0j 4.10388e-05-0j 0.000993139-0j 0.000175564-0j 1.46303e-05-0j 0.0010992-0j 0.000194314-0j -0.00257911-0j 1.61928e-05-0j 0.000579331-0j -0.00260584-0j -0.000455927-0j 0.00101383-0j 0.000102412-0j -0.000460652-0j -3.79939e-05-0j 0.000358443-0j 8.53436e-06-0j 0.000591401-0j -3.83876e-05-0j 0.000627275-0j 0.000179221-0j 6.33644e-05-0j 1.49351e-05-0j 0.00036591-0j 0.000104546-0j 0.000110888-0j 5.28036e-06-0j 8.71215e-06-0j 9.54567e-05-0j 6.46844e-05-0j 9.24064e-06-0j 1.68745e-05-0j 5.39037e-06-0j 1.40621e-06-0j 
0.0390358-0j -0.000425563-0j 0.0279113-0j -0.00247339-0j 9.83219e-05-0j -0.00176707-0j 0.00243742-0j 0.00305225-0j -0.0015594-0j -0.00022508-0j -3.052e-05-0j -4.40518e-06-0j 0.00282853-0j -0.00275882-0j 0.000408264-0j -2.18045e-05-0j -0.000398201-0j -3.14721e-06-0j 0.00202245-0j 0.000291916-0j 0.00129811-0j 0.000187367-0j -0.00115866-0j -0.000204825-0j -1.70687e-05-0j -2.22187e-05-0j -3.92776e-06-0j -0.00101383-0j -3.27313e-07-0j 0.00333429-0j 0.000988841-0j -0.000179221-0j 4.03017e-05-0j 0.000589424-0j 0.000174804-0j -1.49351e-05-0j -0.000418183-0j 4.91187e-05-0j -0.00264326-0j 1.4567e-05-0j 0.000706462-0j 7.1244e-06-0j -7.39251e-05-0j 5.937e-07-0j 0.0012511-0j -0.000467266-0j 0.000124886-0j -6.16042e-06-0j -3.89389e-05-0j 0.000545254-0j 0.000221166-0j 1.04072e-05-0j 9.63882e-05-0j 1.84305e-05-0j 8.03235e-06-0j 
-0.0121552-0j 0.0442675-0j -0.00877408-0j -0.00151463-0j -0.00176707-0j -0.00096064-0j 0.00455053-0j -0.00063777-0j -0.000954934-0j -0.000137833-0j -0.00107871-0j -0.000155699-0j 0.00259215-0j -0.000889892-0j 0.000374144-0j -0.000684162-0j -0.000128445-0j -9.87503e-05-0j 0.00187111-0j 0.000270072-0j -0.000203131-0j -2.93195e-05-0j -0.000709533-0j -0.000125429-0j -1.04524e-05-0j -0.000785309-0j -0.000138824-0j 0.00182718-0j -1.15687e-05-0j -0.000413894-0j -0.000627275-0j 0.000323002-0j 0.00213171-0j -7.31669e-05-0j -0.000110888-0j 2.69168e-05-0j -0.00319912-0j -6.09724e-06-0j -0.000422517-0j -9.24064e-06-0j -0.000397843-0j 0.000376836-0j -0.000565529-0j 3.1403e-05-0j 0.000769373-0j -7.46912e-05-0j -7.03293e-05-0j -4.71274e-05-0j -6.22426e-06-0j -6.81976e-05-0j 0.000136007-0j -5.86077e-06-0j -1.20557e-05-0j 1.13339e-05-0j -1.00465e-06-0j 
-0.00269011-0j -0.00332884-0j -0.00194182-0j -0.0469092-0j 0.0184397-0j 0.0112919-0j 0.0161347-0j 0.00665523-0j -0.00021134-0j 0.00290712-0j 0.000708541-0j -0.00974646-0j -0.000194925-0j -0.000196945-0j 0.00268132-0j -0.000170559-0j 0.00270911-0j 0.00234616-0j -0.000140704-0j 0.00193548-0j -4.49557e-05-0j 0.000618396-0j -0.000157029-0j 0.00130887-0j 0.000331844-0j -0.000173799-0j 0.00144865-0j 0.000407793-0j 0.000367284-0j -9.16003e-05-0j 0.000412019-0j -0.00339904-0j -0.000160301-0j 0.000763507-0j -0.00343426-0j -0.000861775-0j -5.66748e-05-0j 0.000193576-0j -9.35087e-05-0j -0.000870705-0j -9.91809e-05-0j 0.00133614-0j 0.000472396-0j 0.000338757-0j -5.78555e-05-0j 0.000779414-0j 0.000826693-0j 0.000119769-0j 0.000197608-0j -1.5093e-05-0j 0.000482238-0j 0.000209595-0j 0.000125804-0j 0.000122264-0j 3.18956e-05-0j 
0.0173682-0j 0.0201567-0j 0.0112563-0j 0.00216421-0j -0.00243742-0j -0.00455053-0j 0.00214512-0j 0.00430711-0j 0.00136448-0j 0.000196945-0j -0.00148793-0j -0.000214764-0j -0.00122267-0j -0.00127078-0j -0.000176477-0j 0.00312856-0j -0.000183421-0j 0.000451569-0j -0.000792413-0j -0.000114375-0j 0.00304361-0j 0.000439307-0j 0.00101383-0j 0.000179221-0j 1.49351e-05-0j -0.00108322-0j -0.000191488-0j -0.000861847-0j -1.59574e-05-0j 0.000591401-0j -0.000895756-0j -0.000152355-0j 0.000970647-0j 0.000104546-0j -0.000158349-0j -1.26962e-05-0j -0.0017983-0j 8.71215e-06-0j 0.000542049-0j -1.31957e-05-0j 0.00188344-0j 0.000171588-0j -0.000317898-0j 1.4299e-05-0j -0.00171521-0j 9.58216e-05-0j 0.000332948-0j -2.64915e-05-0j 7.98514e-06-0j 0.0017713-0j -0.000303209-0j 2.77457e-05-0j 0.000313125-0j -2.52674e-05-0j 2.60937e-05-0j 
-0.00716401-0j 0.0259807-0j -0.00619117-0j -0.000892692-0j 0.00305225-0j -0.00063777-0j -0.00430711-0j 0.00522964-0j -0.000562817-0j -8.12357e-05-0j 0.00186325-0j 0.000268937-0j -0.000519104-0j -0.00247891-0j -7.49262e-05-0j 0.00133117-0j -0.0003578-0j 0.000192138-0j -0.000448612-0j -6.47516e-05-0j 0.00222906-0j 0.000321736-0j -0.000418183-0j -7.39251e-05-0j -6.16042e-06-0j 0.00135646-0j 0.00023979-0j -0.00036591-0j 1.99825e-05-0j -0.00024394-0j -0.00174736-0j -6.46844e-05-0j 0.0012511-0j -4.3123e-05-0j -0.000308892-0j -5.39037e-06-0j -0.00015093-0j -3.59358e-06-0j -0.000298137-0j -2.5741e-05-0j -0.00124837-0j 0.000221166-0j -2.6681e-05-0j 1.84305e-05-0j 0.0021436-0j -5.27036e-05-0j -0.000220683-0j -2.22341e-06-0j -4.39197e-06-0j -0.00126385-0j 0.000378939-0j -1.83903e-05-0j -0.00022342-0j 3.15783e-05-0j -1.86183e-05-0j 
-0.00212672-0j -0.00263168-0j -0.00153514-0j 0.000786515-0j -0.000309173-0j -0.000189329-0j -0.000270527-0j -0.000111587-0j 0.0159736-0j -2.41157e-05-0j -0.0535533-0j 8.08508e-05-0j 0.0147329-0j 0.0148856-0j -2.22427e-05-0j 0.0128913-0j -2.24732e-05-0j -1.94623e-05-0j 0.0106348-0j -1.60556e-05-0j 0.00339786-0j -5.12985e-06-0j -0.000124142-0j 0.0020981-0j -1.82879e-06-0j -0.0001374-0j 0.00232217-0j 0.000322389-0j -2.0241e-06-0j -7.24164e-05-0j 0.00032573-0j -0.00544861-0j -0.000126729-0j 0.00122389-0j -0.00550508-0j 4.74924e-06-0j -4.48054e-05-0j -1.06679e-06-0j -7.39251e-05-0j 4.79845e-06-0j -7.84094e-05-0j 0.00214181-0j 0.000757244-0j -1.86689e-06-0j -4.57388e-05-0j 0.00124939-0j 0.00132518-0j -6.60045e-07-0j -1.08902e-06-0j -1.19321e-05-0j 0.00077302-0j -1.15508e-06-0j 0.000201661-0j -6.73796e-07-0j -1.75776e-07-0j 
-0.0061721-0j 6.72874e-05-0j -0.00441316-0j -0.0184397-0j 0.000733012-0j -0.0131739-0j 0.0181716-0j 0.0227552-0j 0.000246563-0j -0.00339164-0j 4.82563e-06-0j -6.63798e-05-0j -0.00044723-0j 0.000436207-0j 0.00615195-0j 3.4476e-06-0j -0.00600032-0j -4.7424e-05-0j -0.000319778-0j 0.00439876-0j -0.00020525-0j 0.00282335-0j 0.000183201-0j -0.00152701-0j -0.000387151-0j 3.51309e-06-0j -2.92823e-05-0j 0.000160301-0j -7.42409e-06-0j -0.000527197-0j -0.000156349-0j -0.00133614-0j -6.37225e-06-0j 0.0043943-0j 0.0013032-0j -0.000338757-0j 6.61206e-05-0j 0.00111411-0j 0.000417936-0j 0.000330408-0j -0.000111701-0j 5.3114e-05-0j -0.000551129-0j 1.34663e-05-0j -0.000197816-0j -0.00348358-0j 0.000931055-0j -0.00013973-0j -0.000883208-0j -8.62122e-05-0j 0.00164884-0j 0.000236055-0j 0.000718596-0j 0.000418038-0j 0.000182189-0j 
-0.00141781-0j -0.00175445-0j -0.00102343-0j 0.000524343-0j -0.000206116-0j -0.000126219-0j -0.000180351-0j -7.4391e-05-0j -0.000111386-0j -1.60771e-05-0j 0.000373434-0j 5.39006e-05-0j -0.000102735-0j -0.000103799-0j -1.48284e-05-0j -8.98927e-05-0j -1.49821e-05-0j -1.29749e-05-0j -7.41577e-05-0j -1.07037e-05-0j -2.36937e-05-0j -3.4199e-06-0j 0.0239783-0j -1.46303e-05-0j -1.21919e-06-0j 0.0265391-0j -1.61928e-05-0j -0.0622699-0j -1.3494e-06-0j 0.0139873-0j -0.0629152-0j 3.79939e-05-0j 0.0244778-0j -8.53436e-06-0j 3.83876e-05-0j 3.16616e-06-0j 0.00865422-0j -7.11196e-07-0j 0.0142787-0j 3.19897e-06-0j 0.0151449-0j -1.49351e-05-0j -5.28036e-06-0j -1.24459e-06-0j 0.00883452-0j -8.71215e-06-0j -9.24064e-06-0j -4.4003e-07-0j -7.26013e-07-0j 0.0023047-0j -5.39037e-06-0j -7.70053e-07-0j -1.40621e-06-0j -4.49198e-07-0j -1.17184e-07-0j 
0.000306965-0j 0.00037985-0j 0.000221579-0j 0.010819-0j -0.00425289-0j -0.00260435-0j -0.00372127-0j -0.00153495-0j 2.41157e-05-0j 0.0154737-0j -8.08508e-05-0j -0.0518774-0j 2.22427e-05-0j 2.24732e-05-0j 0.0142719-0j 1.94623e-05-0j 0.0144198-0j 0.0124879-0j 1.60556e-05-0j 0.010302-0j 5.12985e-06-0j 0.00329153-0j 1.79184e-05-0j -0.000301875-0j 0.00359603-0j 1.9832e-05-0j -0.000334114-0j -4.65328e-05-0j 0.00398008-0j 1.04524e-05-0j -4.7015e-05-0j 0.000783947-0j 1.82917e-05-0j -0.000176094-0j 0.000792071-0j -0.00933863-0j 6.4671e-06-0j 0.00209768-0j 1.06702e-05-0j -0.00943541-0j 1.13174e-05-0j -0.000308164-0j -0.000108952-0j 0.00367095-0j 6.60183e-06-0j -0.000179762-0j -0.000190667-0j 0.00129788-0j 0.00214139-0j 1.72225e-06-0j -0.000111222-0j 0.00227128-0j -2.90151e-05-0j 0.00132491-0j 0.000345637-0j 
0.00192191-0j -0.0069993-0j 0.0013873-0j -0.0112919-0j -0.0131739-0j -0.0071618-0j 0.0339253-0j -0.00475473-0j 0.000150988-0j -0.00207694-0j 0.000170559-0j -0.00234616-0j -0.000409855-0j 0.000140704-0j 0.00563782-0j 0.000108175-0j -0.00193548-0j -0.00148803-0j -0.000295849-0j 0.0040696-0j 3.21179e-05-0j -0.000441803-0j 0.000112187-0j -0.000935102-0j -0.000237081-0j 0.000124168-0j -0.00103497-0j -0.000288902-0j -0.0002624-0j 6.54424e-05-0j 9.91809e-05-0j 0.00240806-0j -0.000337052-0j -0.000545476-0j -0.000826693-0j 0.000610526-0j 0.000505825-0j -0.000138297-0j 6.68058e-05-0j -0.000209595-0j 6.29044e-05-0j 0.0028094-0j -0.00421615-0j 0.00071228-0j -0.000121649-0j -0.00055684-0j -0.000524321-0j -0.00106894-0j -0.000141178-0j 1.0783e-05-0j 0.00101397-0j -0.000132934-0j -8.98784e-05-0j 0.000257076-0j -2.27873e-05-0j 
-0.00274615-0j -0.00318705-0j -0.00177978-0j 0.0161347-0j -0.0181716-0j -0.0339253-0j 0.0159924-0j 0.0321105-0j -0.000215742-0j 0.00296768-0j 0.000235262-0j -0.00323619-0j 0.000193321-0j 0.000200927-0j -0.00265926-0j -0.000494669-0j -0.00276389-0j 0.0068045-0j 0.000125291-0j -0.00172347-0j -0.000481237-0j 0.00661974-0j -0.000160301-0j 0.00133614-0j 0.000338757-0j 0.000171272-0j -0.00142759-0j 0.00013627-0j -0.000361944-0j -9.35087e-05-0j 0.000141631-0j -0.00113584-0j -0.000153473-0j 0.000779414-0j -0.00118053-0j -0.000287974-0j 0.000284337-0j 0.000197608-0j -8.57055e-05-0j -0.000299305-0j -0.000297798-0j 0.00127923-0j -0.00237-0j 0.000324328-0j 0.000271198-0j 0.000714373-0j 0.00248221-0j -0.000600878-0j 0.000181118-0j -0.000280067-0j -0.00226049-0j 0.000629326-0j 0.00233442-0j -0.000573113-0j 0.000591856-0j 
-0.00487948-0j 5.31954e-05-0j -0.00348891-0j 0.000309173-0j -1.22902e-05-0j 0.000220884-0j -0.000304678-0j -0.000381531-0j -0.0186358-0j 2.8135e-05-0j -0.000364733-0j 5.50648e-07-0j 0.0338028-0j -0.0329696-0j -5.10329e-05-0j -0.000260578-0j 4.97751e-05-0j 3.93402e-07-0j 0.0241696-0j -3.64895e-05-0j 0.0155133-0j -2.34208e-05-0j 0.000144833-0j -0.00244778-0j 2.13359e-06-0j 2.77734e-06-0j -4.69392e-05-0j 0.000126729-0j 4.09141e-08-0j -0.000416786-0j -0.000123605-0j -0.00214181-0j -5.03771e-06-0j 0.007044-0j 0.00208902-0j 1.86689e-06-0j 5.22729e-05-0j -6.13984e-06-0j 0.000330407-0j -1.82088e-06-0j -8.83078e-05-0j 8.51411e-05-0j -0.000883452-0j -7.42125e-08-0j -0.000156388-0j -0.00558413-0j 0.00149247-0j 7.70053e-07-0j 4.86736e-06-0j -6.81567e-05-0j 0.00264307-0j -1.3009e-06-0j 0.0011519-0j -2.30381e-06-0j -1.00404e-06-0j 
0.000354453-0j 0.000438613-0j 0.000255857-0j 0.00618083-0j -0.00242964-0j -0.00148784-0j -0.00212594-0j -0.000876903-0j -0.00266226-0j -0.000383046-0j 0.00892555-0j 0.00128421-0j -0.00245549-0j -0.00248093-0j -0.000353295-0j -0.00214855-0j -0.000356957-0j -0.000309134-0j -0.00177246-0j -0.000255022-0j -0.00056631-0j -8.14808e-05-0j -0.00298694-0j 0.0164879-0j -4.37243e-05-0j -0.00330594-0j 0.0182488-0j 0.00775687-0j -4.83939e-05-0j -0.00174238-0j 0.00783725-0j -0.042818-0j -0.00304917-0j 0.00961796-0j -0.0432617-0j 0.000113549-0j -0.00107804-0j -2.55058e-05-0j -0.00177868-0j 0.000114725-0j -0.00188658-0j 0.0168314-0j 0.00595081-0j -4.46352e-05-0j -0.0011005-0j 0.00981833-0j 0.0104139-0j -1.57809e-05-0j -2.60372e-05-0j -0.000287093-0j 0.00607478-0j -2.76166e-05-0j 0.00158476-0j -1.61097e-05-0j -4.20261e-06-0j 
