-0.412196-0j -0.00790435-0j -0.360672-0j -0.240448-0j 0.351782-0j -0.00729043-0j -0.148769-0j 0.478156-0j 0.251325-0j 0.445081-0j 0.193975-0j -0.0549092-0j -0.00103822-0j -0.0464165-0j 0.0452724-0j -0.0423722-0j -0.000908445-0j -0.00060563-0j 0.059582-0j -0.0302722-0j 0.0417561-0j -0.000374715-0j 0.0522888-0j 0.0425674-0j 0.0386391-0j 0.0127975-0j -0.0362051-0j -0.00522576-0j -0.000677545-0j -9.77952e-05-0j -0.0298677-0j 0.0291315-0j -0.00431103-0j 0.00420478-0j -0.0267145-0j -0.0182902-0j -0.00385591-0j -0.00263996-0j -0.000572749-0j 0.0375648-0j -8.26692e-05-0j -0.000522846-0j 0.00542201-0j -0.0184797-0j -7.54663e-05-0j -0.0174228-0j 0.0254901-0j -0.00266732-0j 0.0169934-0j -0.00251477-0j 0.00367918-0j 0.0319198-0j -0.000373539-0j 0.00245279-0j 0.00460723-0j -0.00538991-0j -5.39157e-05-0j 0.0346472-0j 0.0105141-0j -0.000777967-0j 0.0222383-0j 0.00500089-0j 0.00151758-0j 0.0228046-0j 0.00320983-0j 0.00329156-0j 0.0140554-0j 0.00376105-0j 0.00202873-0j 0.000542861-0j 
0.0122426-0j -0.0130806-0j 0.0107123-0j -0.0352307-0j -0.0108168-0j 0.0237263-0j 0.0044186-0j -0.0128726-0j -0.00772791-0j 0.0213191-0j 0.0213896-0j 0.00163086-0j -0.00171811-0j 0.00137862-0j -0.00139207-0j -0.00247497-0j -0.00150335-0j 0.00494422-0j 0.000815632-0j -0.0017682-0j 0.00252501-0j -0.000620099-0j -0.00492556-0j 0.000582715-0j 0.00307515-0j 0.00179745-0j 0.00107533-0j 0.00015521-0j -0.00112124-0j -0.000161837-0j 0.000887101-0j -0.000895756-0j 0.000128042-0j -0.000129291-0j -0.0015604-0j 0.000543236-0j -0.000225224-0j 7.84094e-05-0j -0.000947818-0j 0.000514233-0j -0.000136806-0j 0.00170158-0j 7.42231e-05-0j 0.000548866-0j 0.000245601-0j -0.00255281-0j -0.000783786-0j 7.92219e-05-0j 0.00257772-0j -0.000368467-0j -0.00011313-0j 0.00152894-0j 0.00121566-0j 0.000372062-0j 0.000220683-0j 0.000160086-0j 0.000175466-0j -0.000932746-0j -0.000323295-0j 2.31064e-05-0j -0.00348063-0j -0.00013463-0j -4.66637e-05-0j 0.00109233-0j -0.000502386-0j 0.000157664-0j 0.00154989-0j 0.000640695-0j 0.000223707-0j 9.24764e-05-0j 
0.00247339-0j 4.74301e-05-0j -0.00642321-0j 0.00144281-0j 0.00626489-0j 4.37463e-05-0j 0.000892692-0j -0.00286918-0j -0.00150808-0j -0.00267071-0j -0.00116395-0j -0.0155355-0j -0.000293745-0j -0.0131326-0j 0.0128089-0j 0.0355805-0j 0.000762834-0j -0.000171351-0j -0.0500318-0j -0.00856491-0j 0.0118141-0j -0.000106018-0j 0.0147941-0j 0.0120436-0j 0.0109322-0j 0.00362081-0j 0.000217249-0j -0.00298841-0j 4.06561e-06-0j -5.59252e-05-0j 0.000179221-0j -0.000174804-0j -0.00246531-0j 0.00240455-0j 0.000160301-0j -0.00076121-0j -0.00220504-0j 0.010471-0j 3.43679e-06-0j -0.000225408-0j -4.72753e-05-0j -9.31137e-06-0j 0.00310063-0j -0.000329105-0j 0.000128084-0j 0.000104546-0j 0.000453954-0j 0.00452706-0j -0.000101969-0j -0.0014381-0j -0.00624443-0j 0.00056846-0j 2.24143e-06-0j 0.00140265-0j -0.00781955-0j 3.23422e-05-0j -3.08323e-05-0j -0.000207901-0j -6.30901e-05-0j -0.000444889-0j -0.000133441-0j 0.00285981-0j 0.000867847-0j -0.000136839-0j 0.00183557-0j 0.00188231-0j -8.43397e-05-0j -2.25682e-05-0j 0.00116015-0j 0.000310441-0j 
0.0106024-0j 0.000203314-0j -0.0273032-0j 0.00618475-0j -0.00904847-0j -0.000551893-0j 0.0478039-0j -0.012299-0j -0.0057389-0j 0.0336931-0j -0.00498939-0j 0.00141237-0j 2.6705e-05-0j -0.00351377-0j -0.00116449-0j 0.00108989-0j -6.87702e-05-0j 1.55779e-05-0j -0.00153256-0j 0.000691252-0j 0.00316098-0j 0.000120406-0j -0.00134496-0j -0.000972008-0j 0.00292502-0j -0.000329176-0j 0.000931262-0j 0.000134416-0j 1.74277e-05-0j 2.51547e-06-0j -0.00226102-0j -0.000749316-0j -0.000326349-0j -0.000108154-0j 0.000687145-0j 0.000470456-0j 9.91809e-05-0j 6.79045e-05-0j -4.33577e-05-0j -0.000966234-0j -6.25814e-06-0j 1.34486e-05-0j -0.000139464-0j 0.000421976-0j 1.94113e-06-0j -0.00131893-0j 0.00192963-0j 6.0907e-05-0j -0.000437101-0j -0.000190371-0j 0.000278517-0j -0.000821035-0j 8.5296e-06-0j -6.30901e-05-0j -0.000118506-0j 0.00441855-0j 1.23114e-06-0j 0.00262282-0j -0.00337849-0j 0.000637762-0j -0.00057201-0j 0.000378572-0j -0.000487643-0j -0.000520733-0j -8.25626e-05-0j -7.51613e-05-0j 0.00106401-0j -9.67411e-05-0j 0.000153576-0j -1.39634e-05-0j 
0.00151463-0j 2.90449e-05-0j -0.00393339-0j 0.000883536-0j 0.00383644-0j 2.6789e-05-0j 0.00054666-0j -0.00175701-0j -0.000923506-0j -0.00163547-0j -0.00071277-0j 0.000201767-0j 3.815e-06-0j 0.000170559-0j -0.000166355-0j -0.000462101-0j -9.90728e-06-0j 2.22542e-06-0j 0.000649786-0j 0.000111237-0j -0.000153435-0j 1.37691e-06-0j -0.000192138-0j -0.000156416-0j -0.000141981-0j -4.70251e-05-0j -0.0255711-0j 1.92023e-05-0j -0.00047854-0j 3.59353e-07-0j -0.0210951-0j 0.0205752-0j 1.58411e-05-0j -1.54506e-05-0j -0.018868-0j 0.0895976-0j 1.41687e-05-0j -6.72821e-05-0j -0.000404524-0j 0.0265314-0j 3.03772e-07-0j 0.00109599-0j -1.99234e-05-0j 0.0387371-0j -8.23017e-07-0j -0.0123055-0j -0.0534322-0j -2.90891e-05-0j 0.0120022-0j 9.24064e-06-0j 4.01242e-05-0j -0.0669101-0j -0.000263825-0j -9.01287e-06-0j 5.02452e-05-0j -0.00380682-0j 1.98116e-07-0j 0.0244708-0j 0.00742597-0j 2.85868e-06-0j 0.0157066-0j -1.8376e-05-0j -5.57643e-06-0j 0.0161066-0j -1.17947e-05-0j -1.2095e-05-0j 0.00992713-0j 0.00265637-0j -7.45464e-06-0j -1.99477e-06-0j 
0.00201951-0j 0.00223519-0j -0.00171677-0j -0.00581156-0j 0.00178538-0j 0.0039389-0j -0.00358215-0j -0.00236502-0j -0.003754-0j -0.000722883-0j 0.000194108-0j -0.0126847-0j -0.013843-0j 0.0104175-0j -0.0108339-0j 0.01925-0j 0.0117678-0j 0.039836-0j -0.00706569-0j -0.0404757-0j -0.0190917-0j 0.0245543-0j 0.00810566-0j 0.0148565-0j 0.00221599-0j -0.000502895-0j 0.000177383-0j -0.00244003-0j 0.000191596-0j -0.00263553-0j -0.000142168-0j 0.00014785-0j 0.00195561-0j -0.00203378-0j -0.000257399-0j 8.96107e-05-0j 0.00354069-0j -0.00123266-0j -0.000157351-0j 9.44777e-05-0j 0.00216447-0j -0.000290763-0j -0.0012996-0j -0.000266463-0j 0.00399964-0j 0.000409117-0j -0.000125686-0j 0.00366538-0j -0.000425469-0j -0.00562768-0j 0.0017289-0j 5.33619e-05-0j 0.000611365-0j 0.00585261-0j -0.000734029-0j -0.000181844-0j -0.00840974-0j 0.000166491-0j -0.000262252-0j 0.00250139-0j -5.47533e-05-0j -0.00229019-0j 0.00360746-0j -0.0001122-0j 0.000753168-0j 0.00154339-0j -1.36646e-05-0j 2.68559e-06-0j 0.000187966-0j -3.6942e-05-0j 
-0.00874656-0j 0.0188582-0j 0.00743537-0j -0.00510216-0j -0.00694264-0j -0.0168983-0j 0.0155144-0j -0.0200218-0j 0.0145978-0j 0.00374832-0j 0.0366959-0j -0.00116514-0j 0.00247699-0j 0.000956892-0j -0.00089348-0j -0.000899114-0j -0.00210566-0j 0.00144491-0j -0.00249488-0j 0.0018905-0j 0.000800624-0j -0.00439361-0j -0.000453261-0j 0.0052458-0j -0.00259244-0j 0.00449169-0j -0.000768252-0j -0.000110888-0j 0.00161648-0j 0.000233319-0j 0.000615733-0j -0.00057493-0j 8.88735e-05-0j -8.2984e-05-0j -0.000566866-0j -0.000388107-0j -8.18201e-05-0j -5.60184e-05-0j -0.00132756-0j -0.00157295-0j -0.000191617-0j 0.0012474-0j -0.000227036-0j 0.00115406-0j 0.000180047-0j 0.000359178-0j 0.000488742-0j 0.000166574-0j -0.000335376-0j 5.18429e-05-0j 7.05439e-05-0j -0.000276694-0j -0.00262282-0j -4.84073e-05-0j -3.99373e-05-0j 0.000787572-0j -0.000378572-0j 0.00140948-0j 0.00101979-0j 0.000113676-0j 0.00153577-0j 0.000203441-0j 0.000147195-0j 0.000581784-0j 0.00022167-0j 8.39733e-05-0j -0.00258329-0j 0.00208424-0j -0.000372865-0j 0.000300834-0j 
-0.000309173-0j -5.92877e-06-0j 0.000802901-0j -0.000180351-0j -0.000783111-0j -5.46829e-06-0j -0.000111587-0j 0.000358647-0j 0.00018851-0j 0.000333839-0j 0.000145494-0j 0.00392506-0j 7.42149e-05-0j 0.00331797-0j -0.00323619-0j -0.00898946-0j -0.000192731-0j 4.3292e-05-0j 0.0126406-0j 0.00216393-0j -0.00298484-0j 2.67856e-05-0j -0.00373774-0j -0.00304283-0j -0.00276202-0j -0.000914802-0j 0.00259627-0j -0.0174246-0j 4.85867e-05-0j -0.000326085-0j 0.00214181-0j -0.00208902-0j -0.0143745-0j 0.0140202-0j 0.00191569-0j -0.00909694-0j -0.012857-0j 0.0610532-0j 4.10718e-05-0j -0.00269377-0j -0.000275649-0j -0.000111277-0j 0.0180789-0j -0.00393302-0j 0.000746823-0j 0.00124939-0j 0.00542503-0j 0.0263961-0j -0.00121859-0j -0.00838515-0j -0.0364096-0j 0.00679346-0j 2.67865e-05-0j 0.00817848-0j -0.0455936-0j 0.00038651-0j -0.000179775-0j -0.00248454-0j -0.000753967-0j -0.00259402-0j -0.00159471-0j 0.0166748-0j 0.00506017-0j -0.00163532-0j 0.0107027-0j 0.0109753-0j -0.00100791-0j -0.000269705-0j 0.00676451-0j 0.00181009-0j 
0.00123669-0j 0.00136877-0j -0.0010513-0j -0.00355884-0j 0.00109332-0j 0.00241208-0j -0.00219361-0j -0.00144827-0j -0.00229884-0j -0.000442674-0j 0.000118866-0j 0.000164742-0j 0.000179785-0j -0.000135297-0j 0.000140704-0j -0.000250009-0j -0.000152834-0j -0.000517369-0j 9.17655e-05-0j 0.000525676-0j 0.000247952-0j -0.000318898-0j -0.000105272-0j -0.000192949-0j -2.878e-05-0j 6.53133e-06-0j -0.0208788-0j 1.56786e-05-0j -0.0225516-0j 1.69348e-05-0j 0.0167338-0j -0.0174026-0j -1.2566e-05-0j 1.30682e-05-0j 0.0302969-0j -0.0105476-0j -2.2751e-05-0j 7.92054e-06-0j 0.0185209-0j -0.0111204-0j -1.3908e-05-0j 0.034224-0j 8.35073e-06-0j 0.0313638-0j -2.57e-05-0j -0.0481548-0j 0.0147938-0j -2.35522e-05-0j 0.0500795-0j 3.61612e-05-0j -1.11092e-05-0j -0.00628093-0j -0.0719603-0j -3.76065e-05-0j 4.71657e-06-0j 0.0214038-0j 5.40376e-05-0j -0.0195967-0j 0.0308682-0j -1.60729e-05-0j 0.00644469-0j 1.47158e-05-0j -2.31801e-05-0j 0.0132064-0j -4.83955e-06-0j -9.9172e-06-0j 0.00160839-0j -0.000316105-0j -1.20779e-06-0j 2.37375e-07-0j 
-0.00204044-0j 0.0021801-0j -0.00178538-0j 0.00587178-0j 0.0018028-0j -0.00395439-0j -0.000736434-0j 0.00214543-0j 0.00128799-0j -0.00355319-0j -0.00356493-0j 0.0128161-0j -0.0135018-0j 0.0108339-0j -0.0109396-0j -0.0194495-0j -0.0118141-0j 0.0388542-0j 0.00640965-0j -0.0138954-0j 0.0198428-0j -0.00487305-0j -0.0387075-0j 0.00457927-0j 0.0241661-0j 0.0141253-0j -0.000179221-0j 0.00246531-0j 0.000186873-0j -0.00257057-0j -0.00014785-0j 0.000149293-0j 0.00203378-0j -0.00205362-0j 0.000260066-0j -9.05394e-05-0j -0.00357738-0j 0.00124543-0j 0.00015797-0j -8.57055e-05-0j -0.00217298-0j -0.000283596-0j 0.00117894-0j -9.14776e-05-0j 0.00390105-0j 0.000425469-0j 0.000130631-0j 0.00125834-0j -0.00042962-0j -0.00585261-0j -0.00179692-0j -0.000254823-0j -0.000202611-0j 0.00590971-0j 0.00350526-0j -2.6681e-05-0j 0.00278705-0j 0.000155458-0j 5.38826e-05-0j 0.000367015-0j 0.000580106-0j -0.00213842-0j -0.000741191-0j -0.000182054-0j -0.00797974-0j 0.00250428-0j -0.000258315-0j -0.000106783-0j 0.00355329-0j 0.00146887-0j 
1.82182e-05-0j 3.49356e-07-0j -4.73114e-05-0j 1.06273e-05-0j 4.61453e-05-0j 3.22222e-07-0j 6.5753e-06-0j -2.11335e-05-0j -1.1108e-05-0j -1.96717e-05-0j -8.57329e-06-0j -0.000464999-0j -8.7922e-06-0j -0.000393078-0j 0.000383389-0j 0.00106498-0j 2.28327e-05-0j -5.12878e-06-0j -0.00149752-0j -0.00025636-0j 0.000353612-0j -3.17327e-06-0j 0.000442808-0j 0.000360483-0j 0.000327215-0j 0.000108376-0j 1.60019e-06-0j 0.00633731-0j 2.99461e-08-0j 0.000118597-0j 1.32009e-06-0j -1.28755e-06-0j 0.00522801-0j -0.00509915-0j 1.18073e-06-0j -5.60684e-06-0j 0.00467608-0j -0.022205-0j 2.53143e-08-0j -1.66028e-06-0j 0.000100253-0j -6.85847e-08-0j -0.0065753-0j -2.42409e-06-0j -0.000271619-0j 7.70053e-07-0j 3.34368e-06-0j -0.00960022-0j -7.51073e-07-0j 0.00304967-0j 0.0132421-0j 4.1871e-06-0j 1.65097e-08-0j -0.00297451-0j 0.0165824-0j 2.38223e-07-0j 6.53839e-05-0j -1.53133e-06-0j -4.64703e-07-0j 0.000943444-0j -9.82888e-07-0j -0.0060646-0j -0.00184038-0j -1.00792e-06-0j -0.00389257-0j -0.00399169-0j -6.2122e-07-0j -1.66231e-07-0j -0.00246025-0j -0.00065833-0j 
0.00279457-0j -0.0121041-0j 0.00244525-0j 0.00163017-0j 0.0259071-0j -0.011164-0j 0.00100861-0j -0.0211948-0j 0.018509-0j -0.0191703-0j 0.0379323-0j 0.000372269-0j -0.00158986-0j 0.00031469-0j 0.00333411-0j 0.000287271-0j -0.00139113-0j -0.000927417-0j -0.00264104-0j 0.000205237-0j 0.00307515-0j -0.00057381-0j -0.00225215-0j -0.00188685-0j 0.00332959-0j -0.000195914-0j 0.00024546-0j 3.54291e-05-0j -0.00103754-0j -0.000149756-0j 0.000202494-0j 0.00214541-0j 2.92275e-05-0j 0.000309663-0j 0.000181116-0j 0.000124002-0j 2.61419e-05-0j 1.78981e-05-0j -0.000877065-0j -0.0016651-0j -0.000126593-0j -0.000800647-0j -0.000240336-0j 0.000125287-0j -0.000115564-0j 0.000118122-0j 0.00187723-0j 1.80836e-05-0j 0.00125149-0j 1.70494e-05-0j 0.000270955-0j -0.00137483-0j -0.00057201-0j 0.000180637-0j -0.00019844-0j 3.6542e-05-0j -8.25626e-05-0j -0.00153577-0j 0.000774318-0j 5.27439e-06-0j 0.00191631-0j -0.00022167-0j 0.000111763-0j -0.000982227-0j 0.000276596-0j -0.000141772-0j 0.00274857-0j -0.00375633-0j 0.000396722-0j -0.000542179-0j 
-0.000252439-0j -0.000279399-0j 0.000214596-0j 0.000726445-0j -0.000223173-0j -0.000492363-0j 0.000447769-0j 0.000295628-0j 0.00046925-0j 9.03604e-05-0j -2.42635e-05-0j 0.0032048-0j 0.00349745-0j -0.00263199-0j 0.00273718-0j -0.00486355-0j -0.00297315-0j -0.0100646-0j 0.00178516-0j 0.0102262-0j 0.00482353-0j -0.00620367-0j -0.0020479-0j -0.00375352-0j -0.000559871-0j 0.000127057-0j 0.00211984-0j -0.0142271-0j 0.00228969-0j -0.015367-0j -0.001699-0j 0.0017669-0j 0.0114026-0j -0.0118584-0j -0.00307608-0j 0.00107091-0j 0.0206448-0j -0.00718727-0j -0.00188045-0j 0.00112907-0j 0.0126204-0j -0.0034748-0j -0.00757763-0j -0.0031844-0j 0.0233208-0j 0.00488921-0j -0.00150203-0j 0.0213718-0j -0.00508463-0j -0.0328135-0j 0.0100807-0j 0.000637709-0j 0.00730621-0j 0.034125-0j -0.00427992-0j -0.00217315-0j -0.0490349-0j 0.00198967-0j -0.00313408-0j 0.0145849-0j -0.000654337-0j -0.0133535-0j 0.0210341-0j -0.00134086-0j 0.00439152-0j 0.00899908-0j -0.000163301-0j 3.20945e-05-0j 0.00109598-0j -0.000215399-0j 
-0.00124951-0j 0.00133503-0j -0.00109332-0j 0.00359572-0j 0.00110399-0j -0.00242156-0j -0.000450972-0j 0.0013138-0j 0.000788727-0j -0.00217587-0j -0.00218307-0j -0.000166449-0j 0.000175354-0j -0.000140704-0j 0.000142077-0j 0.0002526-0j 0.000153435-0j -0.000504617-0j -8.32451e-05-0j 0.000180466-0j -0.000257708-0j 6.32886e-05-0j 0.000502713-0j -5.94732e-05-0j -0.000313856-0j -0.000183451-0j 0.0210951-0j -1.58411e-05-0j -0.0219958-0j 1.65174e-05-0j 0.0174026-0j -0.0175724-0j -1.30682e-05-0j 1.31957e-05-0j -0.0306109-0j 0.0106569-0j 2.29868e-05-0j -8.00262e-06-0j -0.0185937-0j 0.0100879-0j 1.39627e-05-0j 0.0333804-0j -7.57536e-06-0j 0.0107673-0j -2.50666e-05-0j -0.0500795-0j -0.0153758-0j -8.08556e-06-0j 0.0505681-0j 3.76065e-05-0j 1.15463e-05-0j 0.0299937-0j 0.0238481-0j -3.79734e-05-0j -2.25234e-05-0j 0.00314046-0j -1.79084e-05-0j -0.018298-0j -0.0063422-0j -2.35829e-06-0j -0.0682809-0j 1.37406e-05-0j 4.76259e-06-0j 0.0214286-0j 5.12746e-05-0j -1.60915e-05-0j 0.0304047-0j 0.0125688-0j -2.2832e-05-0j -9.43834e-06-0j 
-0.00176707-0j -3.38857e-05-0j 0.00455053-0j -0.00103079-0j 0.00150808-0j 9.19821e-05-0j -0.00796731-0j 0.00204984-0j 0.000956483-0j -0.00561552-0j 0.000831565-0j 0.0110991-0j 0.000209861-0j -0.027613-0j -0.00915114-0j 0.00856491-0j -0.000540431-0j 0.000122419-0j -0.0120436-0j 0.00543221-0j 0.0248406-0j 0.000946215-0j -0.0105694-0j -0.00763853-0j 0.0229863-0j -0.00258683-0j -0.00015521-0j 0.00213502-0j -2.90461e-06-0j 3.99549e-05-0j 0.000376836-0j 0.000124886-0j -0.00518363-0j -0.00171789-0j -0.000114524-0j -7.84094e-05-0j 0.00157536-0j 0.00107857-0j 7.22628e-06-0j 0.000161039-0j -9.94023e-05-0j -2.24143e-06-0j -0.0022152-0j -7.03293e-05-0j 3.08323e-05-0j 0.000219821-0j -0.000321604-0j 0.000967426-0j 7.28502e-05-0j -0.00302378-0j 0.00442388-0j 0.000136839-0j -1.4216e-06-0j -0.0010021-0j -0.00188231-0j -0.000736425-0j 1.95551e-05-0j -0.000437137-0j 0.000563081-0j 0.01013-0j 9.5335e-05-0j 0.00601312-0j -0.00774556-0j 8.67888e-05-0j -0.0013114-0j -0.00119384-0j -0.000177335-0j 1.61235e-05-0j 0.00243936-0j -0.00022179-0j 
-0.00108211-0j -2.07507e-05-0j 0.00278662-0j -0.000631229-0j 0.000923506-0j 5.63273e-05-0j -0.00487896-0j 0.00125527-0j 0.000585724-0j -0.00343879-0j 0.000509228-0j -0.000144149-0j -2.72557e-06-0j 0.000358623-0j 0.00011885-0j -0.000111237-0j 7.01883e-06-0j -1.58991e-06-0j 0.000156416-0j -7.05506e-05-0j -0.000322616-0j -1.22889e-05-0j 0.00013727-0j 9.92052e-05-0j -0.000298533-0j 3.35964e-05-0j 0.0182689-0j -1.37188e-05-0j 0.000341885-0j -2.56734e-07-0j -0.0443552-0j -0.0146996-0j 3.33079e-05-0j 1.10385e-05-0j 0.01348-0j 0.00922912-0j -1.01226e-05-0j -6.93048e-06-0j -0.000850563-0j -0.018955-0j 6.38719e-07-0j 0.000263825-0j 1.4234e-05-0j 0.00827805-0j -1.98116e-07-0j -0.0258738-0j 0.0378542-0j -6.21629e-06-0j -0.00857477-0j 1.94296e-05-0j -2.84261e-05-0j -0.0161066-0j 0.000167328-0j 6.43911e-06-0j 1.2095e-05-0j 0.0866803-0j -1.25653e-07-0j 0.0514529-0j -0.0662771-0j -6.50913e-05-0j -0.0112213-0j -3.86378e-05-0j 4.97698e-05-0j -0.0102154-0j 8.42651e-06-0j 7.67112e-06-0j 0.0208731-0j -0.00189781-0j -1.56743e-05-0j 1.42513e-06-0j 
1.48751e-05-0j 1.64637e-05-0j -1.26452e-05-0j -4.28062e-05-0j 1.31506e-05-0j 2.90128e-05-0j -2.6385e-05-0j -1.742e-05-0j -2.76508e-05-0j -5.32454e-06-0j 1.42974e-06-0j -0.00037967-0j -0.000414341-0j 0.00031181-0j -0.000324273-0j 0.000576181-0j 0.000352227-0j 0.00119235-0j -0.000211486-0j -0.00121149-0j -0.000571441-0j 0.000734946-0j 0.000242614-0j 0.000444677-0j 6.63276e-05-0j -1.50524e-05-0j 1.30655e-06-0j 0.00517439-0j 1.41124e-06-0j 0.00558898-0j -1.04717e-06-0j 1.08902e-06-0j -0.00414713-0j 0.00431289-0j -1.89592e-06-0j 6.60045e-07-0j -0.00750849-0j 0.00261401-0j -1.159e-06-0j 6.95894e-07-0j -0.00459004-0j -2.14167e-06-0j 0.00275598-0j -1.96269e-06-0j -0.00848174-0j 3.01343e-06-0j -9.25765e-07-0j -0.00777291-0j -3.13388e-06-0j 0.0119342-0j -0.00366635-0j 3.93048e-07-0j 4.50313e-06-0j -0.0124112-0j 0.0015566-0j -1.33941e-06-0j 0.0178339-0j 1.22632e-06-0j -1.93167e-06-0j -0.00530452-0j -4.03296e-07-0j 0.00485665-0j -0.00765008-0j -8.26433e-07-0j -0.00159719-0j -0.00327296-0j -1.0065e-07-0j 1.97812e-08-0j -0.000398607-0j 7.83404e-05-0j 
0.00145776-0j -0.00314303-0j -0.00123923-0j 0.00085036-0j 0.00115711-0j 0.00281639-0j -0.00258573-0j 0.00333697-0j -0.00243296-0j -0.00062472-0j -0.00611598-0j -0.00915628-0j 0.0194654-0j 0.00751974-0j -0.00702142-0j -0.00706569-0j -0.0165474-0j 0.0113548-0j -0.019606-0j 0.0148565-0j 0.00629171-0j -0.0345272-0j -0.00356196-0j 0.0412241-0j -0.0203727-0j 0.035298-0j 0.000128042-0j -0.0017613-0j -0.000269414-0j 0.00370597-0j -0.000102622-0j 9.58216e-05-0j 0.00141164-0j -0.00131809-0j 9.44777e-05-0j 6.46844e-05-0j -0.0012996-0j -0.000889778-0j 0.00022126-0j 0.000262158-0j -0.00304358-0j -0.000207901-0j -0.00360616-0j -0.000192343-0j 0.00285981-0j -5.9863e-05-0j -8.14571e-05-0j 0.00264581-0j 5.58959e-05-0j 0.000823455-0j 0.0011205-0j 4.61157e-05-0j 0.000437137-0j -0.000768886-0j -0.000634352-0j -0.000131262-0j -0.00601312-0j -0.000234913-0j -0.000169966-0j 0.0018056-0j -0.000255962-0j 0.00323139-0j 0.00233799-0j -9.6964e-05-0j 0.00352093-0j 0.00133381-0j 0.000430548-0j -0.000347374-0j -0.00592247-0j 0.00477836-0j 
0.000255055-0j -0.000272512-0j 0.000223173-0j -0.000733973-0j -0.00022535-0j 0.000494299-0j 9.20542e-05-0j -0.000268179-0j -0.000160998-0j 0.000444148-0j 0.000445616-0j -0.00323801-0j 0.00341124-0j -0.00273718-0j 0.00276389-0j 0.00491395-0j 0.00298484-0j -0.00981655-0j -0.0016194-0j 0.00351069-0j -0.00501331-0j 0.00123118-0j 0.0097795-0j -0.00115696-0j -0.00610559-0j -0.00356876-0j -0.00214181-0j 0.0143745-0j 0.00223326-0j -0.0149883-0j -0.0017669-0j 0.00178414-0j 0.0118584-0j -0.0119741-0j 0.00310795-0j -0.001082-0j -0.0208587-0j 0.00726175-0j 0.00188784-0j -0.00102423-0j -0.01267-0j -0.00338915-0j 0.00687405-0j -0.00109322-0j 0.022746-0j 0.00508463-0j 0.00156112-0j 0.00733701-0j -0.00513423-0j -0.034125-0j -0.0104773-0j -0.0030453-0j -0.00242133-0j 0.0344579-0j 0.0204382-0j -0.000318855-0j 0.0162505-0j 0.00185782-0j 0.000643931-0j 0.00213996-0j 0.00693263-0j -0.0124686-0j -0.00432168-0j -0.00217566-0j -0.0465277-0j 0.0146018-0j -0.00308703-0j -0.00127612-0j 0.0207183-0j 0.00856455-0j 
0.000220884-0j 4.23572e-06-0j -0.000568817-0j 0.000128849-0j -0.00018851-0j -1.14978e-05-0j 0.000995914-0j -0.00025623-0j -0.00011956-0j 0.00070194-0j -0.000103946-0j -0.0028042-0j -5.30217e-05-0j 0.00697645-0j 0.00231204-0j -0.00216393-0j 0.00013654-0j -3.09293e-05-0j 0.00304283-0j -0.00137245-0j -0.006276-0j -0.000239062-0j 0.00267037-0j 0.00192988-0j -0.00580751-0j 0.000653566-0j -0.00185486-0j 0.0124487-0j -3.4712e-05-0j 0.000232966-0j 0.00450343-0j 0.00149247-0j -0.0302243-0j -0.0100165-0j -0.00136864-0j -0.000937042-0j 0.00918547-0j 0.00628886-0j 8.63586e-05-0j 0.00192452-0j -0.000579587-0j -2.67865e-05-0j -0.0129162-0j -0.00084048-0j 0.000179775-0j 0.002627-0j -0.00384337-0j 0.0056408-0j 0.000870606-0j -0.0176308-0j 0.0257944-0j 0.00163532-0j -1.6989e-05-0j -0.00584299-0j -0.0109753-0j -0.00880074-0j 0.00011402-0j -0.00522407-0j 0.00672918-0j 0.0590653-0j 0.00113931-0j 0.0350608-0j -0.0451622-0j 0.00103718-0j -0.00764639-0j -0.00696094-0j -0.00211926-0j 0.000192686-0j 0.0142232-0j -0.00129319-0j 
0.000892692-0j -0.0019247-0j -0.00075887-0j 0.000520737-0j 0.00070858-0j 0.00172468-0j -0.00158343-0j 0.00204347-0j -0.00148988-0j -0.000382561-0j -0.00374526-0j 0.000118917-0j -0.000252806-0j -9.76623e-05-0j 9.11904e-05-0j 9.17655e-05-0j 0.000214908-0j -0.00014747-0j 0.000254632-0j -0.000192949-0j -8.17134e-05-0j 0.000448421-0j 4.62608e-05-0j -0.000535397-0j 0.00026459-0j -0.000458431-0j -0.0150711-0j 1.13174e-05-0j 0.0317111-0j -2.3813e-05-0j 0.0120791-0j -0.0112786-0j -9.07061e-06-0j 8.46951e-06-0j -0.0111204-0j -0.00761363-0j 8.35073e-06-0j 5.71735e-06-0j -0.0260433-0j -0.0308571-0j 1.95568e-05-0j 0.0244708-0j 2.31717e-05-0j 0.0226396-0j -1.8376e-05-0j 0.00704612-0j 0.00958784-0j -1.70009e-05-0j -0.00657919-0j -5.29119e-06-0j -7.19986e-06-0j -0.00542801-0j -0.0514529-0j 4.94055e-06-0j 4.07609e-06-0j 0.0154501-0j 3.86378e-05-0j 0.0276503-0j 0.0200057-0j -1.1602e-05-0j 0.0301278-0j -2.07636e-05-0j -1.5023e-05-0j 0.0114131-0j -2.26241e-05-0j -8.57049e-06-0j -0.0506773-0j 0.0408873-0j 3.80554e-05-0j -3.07038e-05-0j 
