-0.00841217-0j -0.00599109-0j -0.000864739-0j -0.00344811-0j -0.00348384-0j -0.000609545-0j -0.000615862-0j -5.07954e-05-0j -5.13218e-05-0j -0.00243053-0j -0.00300763-0j -0.000405089-0j -0.00175445-0j -0.000248065-0j -0.000501272-0j -5.06361e-05-0j -0.000306965-0j -0.000292409-0j -2.98376e-06-0j -0.000179063-0j -6.2659e-05-0j -3.69222e-06-0j -3.65511e-05-0j -2.15379e-06-0j -0.00187678-0j -0.00218957-0j -0.000302864-0j -0.00134083-0j -0.00191588-0j -0.000247287-0j -0.000790259-0j -0.000353341-0j -3.56928e-05-0j -0.000216376-0j -3.09109e-05-0j -0.000288502-0j -0.000309173-0j -3.64288e-06-0j -0.00017667-0j -4.16416e-05-0j -0.000127527-0j -1.66274e-07-0j -0.000252439-0j -3.60627e-05-0j -2.55002e-05-0j -2.20838e-05-0j -3.64364e-05-0j -4.25003e-06-0j -0.000104126-0j -3.15549e-05-0j -2.6026e-06-0j -1.93986e-07-0j -1.50293e-05-0j -1.18792e-07-0j -1.30157e-05-0j -3.71878e-06-0j -1.69738e-07-0j -1.53392e-06-0j -7.00134e-08-0j 
-0.000203401-0j 1.30991e-08-0j 5.18768e-05-0j -6.28172e-05-0j 6.12689e-05-0j -1.47384e-05-0j 1.43751e-05-0j -0.0166435-0j 0.0162333-0j 3.0672e-07-0j 6.57596e-09-0j 0.00141401-0j -4.31296e-07-0j 3.13044e-08-0j 3.03159e-05-0j 0.000175329-0j 6.71156e-10-0j -0.00198832-0j 0.0446049-0j -4.40189e-08-0j 3.75899e-06-0j 0.000956313-0j -0.00024654-0j -0.0627215-0j 2.36839e-07-0j 4.78734e-09-0j -7.32305e-06-0j 1.69206e-07-0j -2.33395e-07-0j -4.50504e-06-0j -2.92267e-07-0j -1.48024e-07-0j -0.0178415-0j -5.23184e-06-0j -7.47406e-07-0j -9.10627e-08-0j 7.21657e-06-0j -0.00119362-0j -3.21856e-06-0j -0.000360639-0j 9.0369e-06-0j 0.0129789-0j 4.43954e-06-0j -1.51077e-08-0j -0.0127466-0j -5.33972e-07-0j 0.0175821-0j -2.41272e-05-0j 5.55938e-06-0j 7.36538e-07-0j -0.000852762-0j 0.000262349-0j 0.0220171-0j 0.00927259-0j 9.22325e-07-0j 0.00117626-0j -0.0127902-0j 0.00147297-0j -0.0160165-0j 
-0.000186511-0j -3.08363e-06-0j 3.15461e-05-0j 5.32925e-07-0j -5.1979e-07-0j 0.00259763-0j -0.00253361-0j -0.00493446-0j 0.00481283-0j 3.75653e-07-0j 8.05387e-09-0j -8.98144e-06-0j -5.28227e-07-0j 0.000700841-0j -1.92559e-07-0j -0.0204928-0j 1.50258e-05-0j 1.26293e-05-0j -0.00119737-0j -0.000985493-0j -0.000439359-0j -2.56713e-05-0j 0.0288162-0j 0.0016837-0j 2.90067e-07-0j 5.86327e-09-0j -6.71495e-06-0j 2.07234e-07-0j -2.85849e-07-0j -7.34621e-06-0j -3.57953e-07-0j -1.35733e-07-0j 7.5153e-05-0j -4.79739e-06-0j -0.0125278-0j -1.48493e-07-0j 6.61731e-06-0j 0.0680199-0j -5.24839e-06-0j 1.5191e-06-0j 8.28648e-06-0j -0.000168582-0j 7.2394e-06-0j -0.000253231-0j 5.36919e-05-0j -0.0089503-0j -7.40603e-05-0j 0.00137492-0j 9.06548e-06-0j 0.0123457-0j 0.0485958-0j -3.40763e-06-0j -9.27415e-05-0j -0.000120441-0j 0.0154598-0j -0.0670309-0j 0.000166131-0j -0.083939-0j 0.000208036-0j 
2.01213e-05-0j 9.90059e-08-0j -6.85926e-06-0j -3.44002e-08-0j 3.35523e-08-0j -0.000139391-0j 0.000135955-0j 0.00332434-0j -0.00324241-0j -2.42483e-08-0j -5.19875e-10-0j 9.68943e-07-0j 3.40969e-08-0j 4.75688e-07-0j 2.07738e-08-0j 0.00221635-0j 1.01986e-08-0j -1.36249e-06-0j -0.0184127-0j -6.68892e-07-0j 4.75178e-05-0j -0.000394762-0j -0.00311654-0j 0.0258912-0j -1.87237e-08-0j -3.78472e-10-0j 7.24428e-07-0j -1.33769e-08-0j 1.84515e-08-0j 2.35864e-07-0j 2.31058e-08-0j 1.46432e-08-0j -1.6341e-05-0j 5.17556e-07-0j -1.42114e-05-0j 4.76764e-09-0j -7.13894e-07-0j -0.0227933-0j 1.6851e-07-0j -3.30308e-07-0j -8.93969e-07-0j 0.0462846-0j -2.32435e-07-0j -2.87261e-07-0j -1.16746e-05-0j -1.01531e-05-0j 1.61034e-05-0j -0.000460733-0j -2.91065e-07-0j 1.40047e-05-0j -0.0162843-0j 0.000935572-0j 2.01653e-05-0j 0.0330673-0j 1.75373e-05-0j 0.0224619-0j -0.0456116-0j 0.0281278-0j -0.0571168-0j 
-8.88323e-07-0j 3.26174e-11-0j 4.55279e-07-0j 1.0835e-09-0j -1.0568e-09-0j -6.43678e-08-0j 6.27813e-08-0j -0.000369559-0j 0.00036045-0j 7.6375e-10-0j 1.63745e-11-0j -4.27773e-08-0j -1.07395e-09-0j 7.79499e-11-0j -9.1713e-10-0j 1.53871e-06-0j 1.67122e-12-0j 6.01516e-08-0j 0.00414628-0j -1.0961e-10-0j 3.29895e-08-0j 8.88947e-05-0j -2.16367e-06-0j -0.00583032-0j 5.89743e-10-0j 1.19208e-11-0j -3.19823e-08-0j 4.21332e-10-0j -5.81167e-10-0j 7.77054e-11-0j -7.27763e-10-0j -6.46474e-10-0j 1.08462e-06-0j -2.28493e-08-0j -3.26418e-09-0j 1.5707e-12-0j 3.15173e-08-0j -2.65036e-05-0j 5.55154e-11-0j 2.1924e-08-0j 3.94673e-08-0j -0.0329128-0j -7.65755e-11-0j -6.59805e-11-0j 7.74892e-07-0j -2.33204e-09-0j -1.06885e-06-0j -5.3573e-07-0j -9.58912e-11-0j 3.21672e-09-0j -1.89351e-05-0j -0.000665283-0j -1.33846e-06-0j -0.0235141-0j 4.02812e-09-0j 2.61182e-05-0j 0.0324343-0j 3.27063e-05-0j 0.0406156-0j 
0.00517216-0j 0.00368358-0j 0.000531679-0j -0.00205969-0j 0.00214202-0j -0.000364106-0j 0.000378658-0j -3.03421e-05-0j 3.15549e-05-0j 0.0014944-0j -0.00179658-0j 0.000249066-0j 0.00107871-0j 0.000152521-0j -0.00029943-0j 3.11333e-05-0j -0.000183362-0j 0.000179785-0j 1.83454e-06-0j 0.000110096-0j -3.74287e-05-0j -2.20551e-06-0j 2.24732e-05-0j 1.32424e-06-0j 0.00115392-0j 0.00134624-0j 0.000186214-0j -0.00242627-0j -0.00114443-0j 0.000152043-0j 0.000485885-0j 0.000217249-0j 2.19455e-05-0j -0.000391538-0j 1.90053e-05-0j 0.000177383-0j -0.000184682-0j 2.2398e-06-0j -0.000319689-0j 2.56031e-05-0j 7.84094e-05-0j 1.02232e-07-0j -0.000150792-0j 2.21729e-05-0j -4.61432e-05-0j -3.99612e-05-0j -2.17649e-05-0j 2.6131e-06-0j 6.4021e-05-0j -1.8849e-05-0j -4.70947e-06-0j 1.19271e-07-0j 9.24064e-06-0j -2.14957e-07-0j 8.00262e-06-0j -2.22137e-06-0j -1.01391e-07-0j 9.43118e-07-0j 4.30473e-08-0j 
-0.00522576-0j 0.00359279-0j 0.000518574-0j -0.00214202-0j 0.00216291-0j -0.000378658-0j 0.000382353-0j -3.15549e-05-0j 3.18627e-05-0j -0.00150988-0j 0.00180364-0j -0.000251647-0j -0.000978554-0j -0.000154102-0j 0.000300607-0j -3.14559e-05-0j 0.000184083-0j -0.000163092-0j -1.85356e-06-0j -9.98733e-05-0j 3.75759e-05-0j 2.21418e-06-0j -2.03865e-05-0j -1.20129e-06-0j -0.00116588-0j 0.00131306-0j -0.000188143-0j -0.000832946-0j 0.00118946-0j -0.000153618-0j -0.00232028-0j 0.000211894-0j -2.21729e-05-0j -0.000134416-0j -1.92023e-05-0j 0.000173011-0j 0.000191948-0j -2.26301e-06-0j -0.00010975-0j 2.4972e-05-0j -0.000374434-0j -1.03292e-07-0j 0.000156725-0j 2.16264e-05-0j -1.58411e-05-0j -1.37188e-05-0j 2.26213e-05-0j 2.54869e-06-0j -0.000305724-0j 1.95906e-05-0j -1.61677e-06-0j 1.16331e-07-0j -4.41274e-05-0j -7.37953e-08-0j -3.82155e-05-0j 2.30877e-06-0j 1.05381e-07-0j -4.50374e-06-0j -2.05567e-07-0j 
0.0376304-0j -0.000568389-0j 0.00781857-0j 0.000317817-0j -0.00033052-0j -0.00264907-0j 0.00275495-0j -0.000671632-0j 0.000698476-0j -0.00023059-0j 0.000277218-0j 0.0018121-0j -0.000166449-0j -2.35345e-05-0j -0.00217852-0j 0.000457828-0j 2.82934e-05-0j 0.00130804-0j 5.42386e-05-0j -1.69881e-05-0j -0.000550405-0j -6.52062e-05-0j 0.000330478-0j 3.91515e-05-0j -0.000178054-0j -0.00020773-0j 0.00135481-0j 0.000374382-0j 0.000176589-0j -2.34607e-05-0j -7.49737e-05-0j 0.00158061-0j 0.000322718-0j -0.00284866-0j 0.000138275-0j -2.73708e-05-0j -0.00134366-0j 4.95787e-05-0j 4.93291e-05-0j 0.000376504-0j 0.000570472-0j 3.78209e-06-0j 2.32677e-05-0j 0.00016132-0j -0.000678555-0j -0.00029074-0j -0.000320063-0j 5.78418e-05-0j -9.87865e-06-0j -0.000137137-0j -0.000104245-0j 4.41244e-06-0j 0.000135887-0j -7.95233e-06-0j 5.82236e-05-0j -4.91708e-05-0j -3.75098e-06-0j 2.08762e-05-0j 1.59253e-06-0j 
-0.0380204-0j -0.000554379-0j 0.00762586-0j 0.00033052-0j -0.000333745-0j -0.00275495-0j 0.00278183-0j -0.000698476-0j 0.000705291-0j 0.00023298-0j -0.000278308-0j -0.00183087-0j 0.000150994-0j 2.37784e-05-0j 0.00218708-0j -0.000462572-0j -2.84047e-05-0j -0.00118659-0j -5.48007e-05-0j 1.54108e-05-0j 0.000552569-0j 6.54626e-05-0j -0.000299793-0j -3.55163e-05-0j 0.000179899-0j -0.00020261-0j -0.00136885-0j 0.000128526-0j -0.000183537-0j 2.37038e-05-0j 0.000358027-0j 0.00154165-0j -0.000326062-0j -0.000977953-0j -0.000139708-0j -2.66962e-05-0j 0.00139653-0j -5.00925e-05-0j 1.69348e-05-0j 0.000367224-0j -0.00272422-0j -3.82129e-06-0j -2.41831e-05-0j 0.000157344-0j -0.00023295-0j -9.98119e-05-0j 0.000332655-0j 5.64161e-05-0j 4.71742e-05-0j 0.000142532-0j -3.57878e-05-0j 4.30369e-06-0j -0.000648913-0j -2.73006e-06-0j -0.000278039-0j 5.11053e-05-0j 3.89856e-06-0j -9.96916e-05-0j -7.60494e-06-0j 
-0.000609545-0j 0.0415035-0j -6.2659e-05-0j 0.000242737-0j -0.000252439-0j -0.00410244-0j 0.00426641-0j 3.57586e-06-0j -3.71878e-06-0j -0.000176116-0j 0.000211729-0j -2.93527e-05-0j -0.000127127-0j 0.00345494-0j 3.52881e-05-0j 0.000350784-0j -0.00415356-0j -2.11879e-05-0j -2.16203e-07-0j 0.00249391-0j -0.000421716-0j 2.59922e-07-0j 0.000253209-0j -1.56064e-07-0j -0.000135991-0j -0.000158656-0j -2.19455e-05-0j 0.000285939-0j 0.000134872-0j 0.00171309-0j -5.72621e-05-0j -2.56031e-05-0j -2.5863e-06-0j 4.61432e-05-0j 0.000430513-0j 0.00199861-0j 2.17649e-05-0j 2.52362e-05-0j -0.00360199-0j -3.01735e-06-0j -9.24064e-06-0j -1.20482e-08-0j -0.001699-0j 0.000502265-0j 5.43802e-06-0j -0.000905208-0j 2.56502e-06-0j 2.94423e-05-0j 0.000721335-0j -0.000426971-0j -5.30624e-05-0j -1.40563e-08-0j -1.08902e-06-0j 2.53329e-08-0j 0.000181277-0j -2.50286e-05-0j 1.19491e-08-0j 1.06263e-05-0j -5.07317e-09-0j 
0.000615862-0j 0.0404805-0j -6.11146e-05-0j 0.000252439-0j -0.000254902-0j -0.00426641-0j 0.00430803-0j 3.71878e-06-0j -3.75506e-06-0j 0.000177941-0j -0.000212561-0j 2.96569e-05-0j 0.000115324-0j -0.00349074-0j -3.54269e-05-0j -0.000354419-0j 0.00416989-0j 1.92206e-05-0j 2.18444e-07-0j -0.00226235-0j 0.000423374-0j -2.60944e-07-0j -0.000229699-0j 1.41573e-07-0j 0.0001374-0j -0.000154746-0j 2.21729e-05-0j 9.81636e-05-0j -0.000140179-0j -0.00173084-0j 0.000273448-0j -2.4972e-05-0j 2.6131e-06-0j 1.58411e-05-0j -0.000434974-0j 0.00194935-0j -2.26213e-05-0j -2.54977e-05-0j -0.00123657-0j -2.94298e-06-0j 4.41274e-05-0j 1.21731e-08-0j 0.00176584-0j 0.000489885-0j 1.86689e-06-0j -0.00031076-0j -2.66594e-06-0j 2.87166e-05-0j -0.00344464-0j 0.000443769-0j -1.82165e-05-0j -1.37098e-08-0j 5.20047e-06-0j 8.69686e-09-0j -0.000865664-0j 2.60133e-05-0j -1.24192e-08-0j -5.07444e-05-0j 2.42262e-08-0j 
-0.0083847-0j 6.2659e-05-0j 0.0402048-0j -3.50361e-05-0j 3.64364e-05-0j 0.000590259-0j -0.000613851-0j -0.00703136-0j 0.00731239-0j 2.54202e-05-0j -3.05604e-05-0j -0.000403766-0j 1.83493e-05-0j 2.59444e-06-0j 0.000485412-0j 0.00235425-0j -3.11906e-06-0j -0.000291454-0j 0.000856239-0j 1.87276e-06-0j -0.0028303-0j -0.00102938-0j 0.00169939-0j 0.000618066-0j 1.96286e-05-0j 2.29001e-05-0j -0.000301875-0j -4.12717e-05-0j -1.94671e-05-0j 2.5863e-06-0j 8.26508e-06-0j -0.000352187-0j 0.00165948-0j 0.00063473-0j -3.081e-05-0j 3.01735e-06-0j 0.000299391-0j 0.000519042-0j -5.43802e-06-0j 0.00193606-0j -0.000127111-0j 7.9803e-05-0j -2.56502e-06-0j -3.5945e-05-0j -0.00348928-0j 6.47819e-05-0j -0.00164583-0j 0.000605549-0j 1.08902e-06-0j 3.05565e-05-0j -0.00109135-0j 9.31036e-05-0j 0.000698763-0j -0.000167796-0j -1.29732e-05-0j -0.000514772-0j -7.91465e-05-0j 0.000218554-0j 3.36029e-05-0j 
0.00847159-0j 6.11146e-05-0j 0.0392138-0j -3.64364e-05-0j 3.67919e-05-0j 0.000613851-0j -0.00061984-0j -0.00731239-0j 0.00738373-0j -2.56836e-05-0j 3.06806e-05-0j 0.00040795-0j -1.66455e-05-0j -2.62132e-06-0j -0.00048732-0j -0.00237865-0j 3.13132e-06-0j 0.000264392-0j -0.000865112-0j -1.69888e-06-0j 0.00284143-0j 0.00103343-0j -0.0015416-0j -0.000560679-0j -1.9832e-05-0j 2.23356e-05-0j 0.000305003-0j -1.41687e-05-0j 2.02331e-05-0j -2.6131e-06-0j -3.94688e-05-0j -0.000343507-0j -0.00167668-0j 0.000217905-0j 3.11293e-05-0j 2.94298e-06-0j -0.00031117-0j -0.000524421-0j -1.86689e-06-0j 0.00188834-0j 0.000607002-0j -8.063e-05-0j 2.66594e-06-0j -3.5059e-05-0j -0.00119788-0j 2.22398e-05-0j 0.00171058-0j 0.000590624-0j -5.20047e-06-0j -3.17587e-05-0j -0.000374664-0j 9.08088e-05-0j -0.00333685-0j -5.76049e-05-0j 6.19519e-05-0j 0.000535025-0j 8.22604e-05-0j -0.00104368-0j -0.000160466-0j 
-0.000545194-0j -0.000388283-0j -5.60439e-05-0j -0.0313429-0j 0.0325956-0j 3.83801e-05-0j -3.99141e-05-0j 3.19834e-06-0j -3.32618e-06-0j -0.000157523-0j 0.000189376-0j 0.0037901-0j -0.000113706-0j -1.60771e-05-0j -0.0045565-0j -3.28173e-06-0j 1.93281e-05-0j 0.00273584-0j -1.93378e-07-0j -1.16051e-05-0j 3.94533e-06-0j 2.32481e-07-0j -2.36888e-06-0j -1.39588e-07-0j 0.0295327-0j 0.0344549-0j -1.96286e-05-0j -0.0620964-0j -0.0292898-0j 0.00231367-0j 0.0124354-0j -2.29001e-05-0j 0.00033395-0j 4.12717e-05-0j -2.00334e-06-0j 0.00269929-0j 1.94671e-05-0j -2.36096e-07-0j -0.00486479-0j 0.000389608-0j -8.26508e-06-0j -1.07763e-08-0j -0.00229464-0j -2.33723e-06-0j -0.000702172-0j 4.21228e-06-0j -0.000331203-0j -2.75445e-07-0j 0.000974224-0j 1.98686e-06-0j 4.96421e-07-0j -1.25723e-08-0j 0.000140617-0j 2.26584e-08-0j -8.43551e-07-0j 2.34153e-07-0j 1.06876e-08-0j -9.94134e-08-0j -4.53758e-09-0j 
-0.000373269-0j -0.00026584-0j -3.83706e-05-0j 0.000148646-0j -0.000154587-0j 2.62771e-05-0j -2.73273e-05-0j 2.18976e-06-0j -2.27728e-06-0j 0.0418298-0j -0.0502882-0j -1.79748e-05-0j 0.0301943-0j -1.10073e-05-0j 2.16095e-05-0j -2.24685e-06-0j 1.3233e-05-0j -1.29749e-05-0j -1.32397e-07-0j -7.94547e-06-0j 2.70118e-06-0j 1.59169e-07-0j -1.62186e-06-0j -9.55691e-08-0j -8.32773e-05-0j -9.71568e-05-0j 0.00521232-0j 0.000175101-0j 8.25921e-05-0j -1.09727e-05-0j -3.50657e-05-0j 0.00608104-0j -1.58378e-06-0j -0.0109596-0j -1.37159e-06-0j -1.28015e-05-0j -0.00516944-0j -1.61644e-07-0j 2.30716e-05-0j -1.84774e-06-0j 0.00219476-0j -7.37799e-09-0j 1.08825e-05-0j -1.60019e-06-0j 3.3301e-06-0j 2.88395e-06-0j 1.57075e-06-0j -1.88584e-07-0j -4.62032e-06-0j 1.36031e-06-0j 3.39877e-07-0j -8.60766e-09-0j -6.66885e-07-0j 1.55132e-08-0j -5.7754e-07-0j 1.60314e-07-0j 7.31729e-09-0j -6.80637e-08-0j -3.10667e-09-0j 
0.000550844-0j -0.000378713-0j -5.46625e-05-0j -0.0325956-0j 0.0329136-0j 3.99141e-05-0j -4.03035e-05-0j 3.32618e-06-0j -3.35863e-06-0j 0.000159156-0j -0.000190121-0j -0.00382938-0j 0.000103149-0j 1.62438e-05-0j 0.00457441-0j 3.31574e-06-0j -1.94041e-05-0j -0.00248182-0j 1.95382e-07-0j 1.05276e-05-0j -3.96084e-06-0j -2.33395e-07-0j 2.14893e-06-0j 1.26627e-07-0j -0.0298388-0j 0.0336056-0j 1.9832e-05-0j -0.0213179-0j 0.0304422-0j -0.00233765-0j -0.0593837-0j -2.23356e-05-0j -0.000337411-0j 1.41687e-05-0j 2.0241e-06-0j 0.00263276-0j -2.02331e-05-0j 2.38542e-07-0j -0.0016701-0j 0.000380005-0j 3.94688e-05-0j 1.08879e-08-0j 0.00238492-0j -2.27962e-06-0j -0.000241058-0j 1.44609e-06-0j 0.000344233-0j -2.68656e-07-0j -0.00465228-0j -2.06503e-06-0j 1.70423e-07-0j -1.22624e-08-0j -0.000671499-0j 7.77871e-09-0j 4.02827e-06-0j -2.43366e-07-0j -1.11081e-08-0j 4.74736e-07-0j 2.16686e-08-0j 
0.000377137-0j -0.000259287-0j -3.74249e-05-0j 0.000154587-0j -0.000156095-0j 2.73273e-05-0j -2.75939e-05-0j 2.27728e-06-0j -2.29949e-06-0j -0.0422633-0j 0.0504859-0j 1.81611e-05-0j -0.0273908-0j 1.11213e-05-0j -2.16944e-05-0j 2.27013e-06-0j -1.32851e-05-0j 1.17702e-05-0j 1.33769e-07-0j 7.20773e-06-0j -2.7118e-06-0j -1.59795e-07-0j 1.47127e-06-0j 8.66956e-08-0j 8.41403e-05-0j -9.47621e-05-0j -0.00526634-0j 6.01127e-05-0j -8.58416e-05-0j 1.10865e-05-0j 0.000167452-0j 0.00593116-0j 1.60019e-06-0j -0.00376245-0j 1.38581e-06-0j -1.2486e-05-0j 0.00537283-0j 1.63319e-07-0j 7.92054e-06-0j -1.8022e-06-0j -0.0104808-0j 7.45445e-09-0j -1.13106e-05-0j -1.56075e-06-0j 1.14323e-06-0j 9.90068e-07-0j -1.63255e-06-0j -1.83936e-07-0j 2.20637e-05-0j -1.41383e-06-0j 1.16681e-07-0j -8.3955e-09-0j 3.18462e-06-0j 5.32572e-09-0j 2.75796e-06-0j -1.66621e-07-0j -7.60518e-09-0j 3.25029e-07-0j 1.48355e-08-0j 
-0.0045443-0j -0.00656228-0j -0.000944182-0j -3.83801e-05-0j 3.99141e-05-0j -0.0305846-0j 0.0318071-0j 8.11073e-05-0j -8.4349e-05-0j 2.78464e-05-0j -3.34773e-05-0j -0.000218831-0j 2.01006e-05-0j -0.000546274-0j 0.000263081-0j 0.00528581-0j 0.000656736-0j -0.000157961-0j -6.54993e-06-0j -0.000394321-0j -0.00635465-0j 7.8744e-06-0j 0.0038155-0j -4.72799e-06-0j -0.0052207-0j -0.00609082-0j -0.000163609-0j 0.0109772-0j 0.00517775-0j -0.000270864-0j -0.00219829-0j -0.000190877-0j -3.89719e-05-0j 0.000344008-0j 0.00320957-0j -0.000316007-0j 0.000162263-0j 0.000572406-0j 0.000569525-0j -4.54672e-05-0j -6.88911e-05-0j -4.56731e-07-0j 0.000268635-0j 0.0037445-0j 8.19433e-05-0j -0.00674853-0j 3.86512e-05-0j 0.000667807-0j -0.000114053-0j -0.00318317-0j -0.00120356-0j -5.32853e-07-0j -1.641e-05-0j 9.60335e-07-0j 0.00135146-0j -0.000567697-0j 4.52973e-07-0j 0.000241024-0j -1.92317e-07-0j 
0.00459139-0j -0.00640054-0j -0.00092091-0j -3.99141e-05-0j 4.03035e-05-0j -0.0318071-0j 0.0321174-0j 8.4349e-05-0j -8.5172e-05-0j -2.8135e-05-0j 3.36089e-05-0j 0.000221099-0j -1.82343e-05-0j 0.000551935-0j -0.000264116-0j -0.00534059-0j -0.000659318-0j 0.000143294-0j 6.61781e-06-0j 0.000357709-0j 0.00637964-0j -7.90536e-06-0j -0.00346123-0j 4.289e-06-0j 0.0052748-0j -0.00594069-0j 0.000165304-0j 0.0037685-0j -0.00538146-0j 0.00027367-0j 0.0104977-0j -0.000186172-0j 3.93757e-05-0j 0.000118099-0j -0.00324283-0j -0.000308219-0j -0.000168647-0j -0.000578338-0j 0.00019552-0j -4.43465e-05-0j 0.00032898-0j 4.61464e-07-0j -0.000279204-0j 0.00365221-0j 2.81314e-05-0j -0.00231679-0j -4.01719e-05-0j 0.000651347-0j 0.000544646-0j 0.0033084-0j -0.000413185-0j -5.19719e-07-0j 7.83637e-05-0j 3.29686e-07-0j -0.00645373-0j 0.000590032-0j -4.70795e-07-0j -0.00115098-0j 9.18384e-07-0j 
0.00115214-0j -5.71996e-06-0j -0.0112474-0j 3.19834e-06-0j -3.32618e-06-0j -8.11073e-05-0j 8.4349e-05-0j -0.029614-0j 0.0307977-0j -2.32054e-06-0j 2.78977e-06-0j 5.54813e-05-0j -1.67505e-06-0j -2.36839e-07-0j -6.67002e-05-0j -0.000658608-0j 2.8473e-07-0j 4.00486e-05-0j 0.00739658-0j -1.70959e-07-0j 0.000791785-0j -0.00889224-0j -0.000475408-0j 0.00533913-0j 0.000435058-0j 0.000507568-0j 4.14805e-05-0j -0.000914766-0j -0.000431479-0j -2.36096e-07-0j 0.000183191-0j 4.83939e-05-0j -0.000464245-0j -8.7218e-05-0j 4.23358e-06-0j -2.75445e-07-0j -4.11392e-05-0j 0.00218606-0j 4.96421e-07-0j -0.00054162-0j 1.74663e-05-0j 0.00104139-0j 2.34153e-07-0j 4.93918e-06-0j 0.000976135-0j -8.90165e-06-0j 0.000460426-0j 0.0025504-0j -9.94134e-08-0j -4.19875e-06-0j -0.00459646-0j 0.00121495-0j -0.000195481-0j -0.00218965-0j 1.78265e-06-0j -0.00216807-0j -0.00103282-0j 0.000920487-0j 0.0004385-0j 
-0.00414836-0j 6.2659e-05-0j -0.000861916-0j 0.00505793-0j -0.00526009-0j 0.000292033-0j -0.000303705-0j 7.40405e-05-0j -7.69998e-05-0j -0.00491698-0j 0.00591124-0j 0.0288388-0j -0.00354926-0j 2.59444e-06-0j -0.0346702-0j -5.04708e-05-0j -3.11906e-06-0j 0.0208169-0j -5.97924e-06-0j 1.87276e-06-0j 6.06765e-05-0j 7.18831e-06-0j -3.64317e-05-0j -4.31605e-06-0j 1.96286e-05-0j 2.29001e-05-0j 0.0288892-0j -4.12717e-05-0j -1.94671e-05-0j -0.000373368-0j 8.26508e-06-0j 0.033704-0j 0.00513592-0j -0.0607431-0j -1.52433e-05-0j -0.000435595-0j -0.0286515-0j -5.46553e-06-0j 0.000785053-0j 0.00599191-0j 0.0121644-0j -4.16937e-07-0j 0.000370296-0j -1.77839e-05-0j -0.0107989-0j 3.20511e-05-0j -0.00509367-0j -6.37646e-06-0j -0.000157215-0j 1.51179e-05-0j 1.1492e-05-0j -4.86426e-07-0j 0.00216259-0j 8.76662e-07-0j -6.41855e-06-0j 5.42057e-06-0j 4.13506e-07-0j -2.30138e-06-0j -1.7556e-07-0j 
-0.00116408-0j -5.57897e-06-0j -0.0109702-0j 3.32618e-06-0j -3.35863e-06-0j -8.4349e-05-0j 8.5172e-05-0j -0.0307977-0j 0.0310981-0j 2.34458e-06-0j -2.80074e-06-0j -5.60563e-05-0j 1.51952e-06-0j 2.39293e-07-0j 6.69625e-05-0j 0.000665433-0j -2.85849e-07-0j -3.63301e-05-0j -0.00747323-0j 1.55086e-07-0j -0.000794898-0j 0.00892721-0j 0.000431267-0j -0.0048434-0j -0.000439567-0j 0.000495058-0j -4.19104e-05-0j -0.000314042-0j 0.000448455-0j 2.38542e-07-0j -0.000874805-0j 4.72011e-05-0j 0.000469056-0j -2.99422e-05-0j -4.27746e-06-0j -2.68656e-07-0j 4.27578e-05-0j -0.00220871-0j 1.70423e-07-0j -0.00052827-0j -8.34079e-05-0j -0.00105218-0j -2.43366e-07-0j 4.81744e-06-0j 0.00033511-0j -3.05596e-06-0j -0.000478541-0j 0.00248754-0j 4.74736e-07-0j 4.36395e-06-0j -0.00157798-0j 0.00118501-0j 0.000933493-0j -0.000751714-0j -8.51279e-06-0j 0.00225337-0j 0.00107346-0j -0.00439567-0j -0.002094-0j 
5.38767e-05-0j -0.00737523-0j 5.53832e-06-0j -2.14551e-05-0j 2.23127e-05-0j 0.000729008-0j -0.000758146-0j -3.16064e-07-0j 3.28697e-07-0j -0.00301102-0j 0.00361988-0j 2.59444e-06-0j -0.00217347-0j 0.029042-0j -3.11906e-06-0j -6.23347e-05-0j -0.0349146-0j 1.87276e-06-0j 1.91098e-08-0j 0.0209637-0j 7.49394e-05-0j -2.2974e-08-0j -4.49955e-05-0j 1.37942e-08-0j 1.202e-05-0j 1.40234e-05-0j -0.000375197-0j -2.52737e-05-0j -1.19211e-05-0j -0.000304418-0j 5.0613e-06-0j -0.00043773-0j 2.28599e-07-0j 0.0007889-0j 0.00361887-0j -0.000355155-0j 0.00037211-0j -4.48451e-06-0j 0.000640078-0j 2.66699e-07-0j -0.000157985-0j 1.06492e-09-0j 0.000301914-0j 0.00422201-0j -4.80658e-07-0j -0.00760913-0j -2.26718e-07-0j -5.23192e-06-0j -0.000128182-0j -0.00358909-0j 9.42925e-06-0j 1.24241e-09-0j 9.62566e-08-0j -2.23913e-09-0j 0.00152381-0j 4.44761e-06-0j -1.05616e-09-0j -1.8883e-06-0j 4.48409e-10-0j 
