1-6.46235e-27j 0.145662+0.00267511j 0.0301137-0.0299546j 0.05468+0.00918593j -0.0193652+0.0583895j 0.0347239+0.033004j -0.00120531-0.00845902j -0.0161731-0.0120817j 0.00350079-0.0281199j 0.0315438-0.0210662j -0.0365853-0.00493751j -0.0104571-0.0328164j -0.0273173-0.0166833j 0.0148202-0.0287242j 0.000184451-0.0100045j 0.000403975+0.00232692j 0.00871016+0.00390299j 0.000482044+0.00345239j -0.000777168+0.000259151j 0.00211695+0.00206614j -0.0179596+0.011458j -0.00997492-0.0269978j 0.0124582+0.0054368j -0.000727891+0.00170911j -6.00887e-06+0.00227881j -0.00876586-0.00103002j 0.0350067-0.00183411j 0.00901366-0.0216574j 0.0166393-0.00754022j 0.00574632+0.0268448j -0.00165156+0.00136137j -0.002048+0.00279867j -0.00494579-0.0213404j 0.0164016-0.00771917j 0.00906486+0.00947909j -0.00105469-0.00308727j 0.00616234+0.0039491j -0.00701418+0.00490905j -0.00398731-0.00023615j 4.00663e-05-0.000273597j 
0.0350067+0.00183411j 8.26072e-05-0.000466537j -0.00790911-0.00545649j -0.0136229+0.00777034j 0.00404437+0.0171659j -0.00972723+0.00696808j 0.00453775-0.0295546j 0.000381084+0.000981104j 0.00545111+0.0342296j -0.0230945-0.032018j 0.00367291+0.0100796j 0.00620535-0.0398178j 0.0158727+0.00878565j -0.0244992+0.0236277j -0.0202507-0.0153598j 0.00546878-0.0209077j -0.00692847+0.0476794j 0.0604061+0.0311151j 0.00532265+0.0114216j -0.0278089+0.0352171j -0.136193-0.0709256j 0.357286+0.063565j 0.0292754-0.00832771j -0.0460999-0.0552477j 0.0442404+0.00406948j -0.0947529+0.0152089j 0.400817+1.18258e-10j -0.113733+0.114718j -0.052063+0.0569104j -0.0360053-0.253633j -0.029258+0.0160122j 0.0394732-0.0368352j -0.316585+0.0723593j -0.146999-0.0835161j 0.0139742-0.0265493j -0.00221122+0.0247922j -0.0157917+0.021873j -0.0637591+0.0584143j -0.0124425-0.0230426j -0.00899701-0.0199736j 
0.00901366+0.0216574j -0.0156101+0.00860091j 0.0227378-0.000540711j -0.0102283+0.0236153j 0.0040312+0.0320309j 0.023196-0.0118529j -0.0295485-0.0018066j 0.0101193+0.0433291j 0.0388923-0.0177695j -0.0218924+0.00695031j 0.0217966+0.11568j 0.0159206-0.0964081j -0.0380163-0.000831028j -0.0780232+0.0409122j 0.076644+0.00982482j -0.0270424-0.0186776j -0.113263+0.0402963j 0.0649444-0.0359349j 0.0207988-0.071893j -0.0556629-0.00503922j -0.39263-0.0735972j -0.0616667-0.0883302j -0.0820585-0.00692308j -0.0957553-0.080361j 0.0367687+0.0181808j -0.0016276+0.0505702j -0.113733-0.114718j 0.0276828+8.32667e-16j -0.0334213-0.406518j 0.0069332-0.0530262j 0.025897+0.0342494j -0.0872948+0.0249918j 0.0703744-0.0284946j -0.092121+0.0598813j -0.24483+0.0728276j 0.0685066-0.015252j -0.10613+0.0362575j 0.0399354-0.0488352j -0.108318-0.00213413j 0.0072235+0.0237382j 
0.0166393+0.00754022j -0.0177021-0.0104118j -0.00309373-0.00321913j -0.00793119-0.0189024j 0.0291241+0.00913426j 0.0225121-0.00779184j -0.00184015+0.00704431j 0.00236768-0.0400807j 0.00354308-0.0379843j 0.00561583+0.0976405j 0.010379+0.0651438j 0.00879719+0.0933195j -0.103117+0.0327143j 0.07782-0.0360778j 0.0371842-0.0409088j -0.00136214+0.0259515j 0.0057351-0.0272264j -0.000574014+0.00348917j -0.00546072+0.0145706j -0.0476329-0.0258905j -0.0426163-0.132908j 0.0962755-0.146274j 0.107868+0.0483857j -0.0183064-0.0145207j -0.015432+0.0122355j -0.0157718-0.0177414j -0.052063-0.0569104j -0.0334213+0.406518j -0.159842-5.10703e-15j 0.304094+0.446983j -0.0531029+0.0667461j -0.0204075-0.150652j 0.0606304-0.104114j -0.178886+0.102367j 0.103142-0.0715332j -0.0449084+0.0548153j 0.00727663-0.108887j 0.0193239-0.105107j 0.0250747+0.079585j 0.0629753+0.0170576j 
0.00574632-0.0268448j -0.0173822+0.0276157j 0.00278275-0.0192182j -0.00963231+0.0525965j -0.00674998+0.0285941j -0.0102183-0.0224337j 0.0326913+0.0124692j 0.00415346+0.0724178j -0.0347117-0.0497536j 0.0181062+0.0618914j -0.0397941+0.0568662j 0.0152136-0.115346j 0.00423694+0.0382746j 0.049612+0.0350892j -0.0461373-0.0467433j -0.0653922-0.0210331j -0.0634656-0.0367063j 0.0881454-0.0504587j 0.0128317-0.090078j -0.02619+0.0129572j 0.140717+0.0606606j 0.072661+0.0032373j -0.383381+0.013496j 0.0878891-0.00664551j -0.0160624+0.00184003j -0.0293487-0.0336674j -0.0360053+0.253633j 0.0069332+0.0530262j 0.304094-0.446983j 0.0964064-1.11022e-15j -0.0952269+0.0679862j 0.0274216-0.0307567j -0.0938095+0.0567182j -0.0356699+0.0747832j 0.155464+0.0168023j -0.0318297+0.0141635j 0.0454117+0.0221518j -0.0565025+0.0223646j 0.0533842+0.0376996j 0.0190844-0.0224398j 
-0.00165156-0.00136137j -0.0110812+0.0088365j -0.00724864+0.0124688j 0.0148986-0.0136021j 0.0124424-0.0281726j 0.0278025-0.0197824j -0.0171061+0.0135608j -0.0132954-0.0354343j 0.0467985-0.00343698j -0.0374344-0.0204393j 0.0411308+0.000334202j 0.0108838+0.00303205j 0.0265499-0.0288815j 0.0112424-0.0173089j -0.00309693+0.0402875j -0.0065186+0.0184657j 0.0597148-0.106533j 0.0341338-0.0532905j -0.0258524+0.000480384j -0.311595-0.0574499j -0.12012+0.0153885j 0.0318055+0.0787154j 0.0259625-0.0101141j -0.0972207-0.0947594j -0.0431714-0.219455j -0.13796+0.0376087j -0.029258-0.0160122j 0.025897-0.0342494j -0.0531029-0.0667461j -0.0952269-0.0679862j -0.291192-7.99916e-13j -0.256357+0.0208368j -0.0284863-0.0505014j -0.00393399-0.0689163j 0.00679263-0.0348046j 0.0234887-0.0216458j 0.00490202-0.00862132j -0.00211772-0.0318787j -0.0151125-0.0512197j -0.00721648+0.017963j 
-0.002048-0.00279867j 0.00850412+0.00779751j -0.0222392+0.0123376j -0.0157661-0.0199918j 0.022958-0.00760841j -0.00603803-0.00964051j 0.0180554-0.0354409j 0.010568+0.018016j -0.0349142+0.0187691j 0.0260554+0.0310607j -0.0507629-0.0401339j 0.0127969+0.0134404j 0.0197113+0.0358273j 0.00490976+0.0469557j 0.00361738-0.0227416j 0.0157331-0.022435j -0.0436908+0.123183j -0.034095+0.071908j -0.0157878+0.0130614j -0.25739-0.0433682j 0.224161+0.0207191j -0.0775831-0.0480883j 0.0206708+0.0400882j 0.046074-0.0827727j -0.102868-0.186138j -0.137194+0.0038045j 0.0394732+0.0368352j -0.0872948-0.0249918j -0.0204075+0.150652j 0.0274216+0.0307567j -0.256357-0.0208368j -0.201296-4.11136e-13j 0.00187918+0.0638622j 0.0266097+0.0435551j 0.0179683+0.0143893j 0.0128172-0.0337758j 0.00894163+0.011705j 0.00829202+0.0396002j 0.0128514+0.0393523j -0.00407158-0.0229928j 
-0.00494579+0.0213404j -0.00348264+0.00940765j 0.00268185+0.0127608j 0.00029976+0.0027526j -0.00846267-0.00616104j -0.00560707+0.00841039j -0.0106185-0.0699784j -0.0157008-0.0271675j 0.0337029+0.0593847j -0.0110562+0.00147571j -0.0279232-0.0324989j 0.0263762-0.0153914j 0.03546+0.0136802j -0.00152406+0.0201752j -0.0401503-0.0109184j 0.0215818-0.0513026j 0.167864+0.0482738j 0.269167+0.128097j 0.0100158+0.056935j 0.00932299-0.010295j 0.018727+0.0662811j -0.112254-0.475931j -0.218779+0.0459388j -0.120578-0.0415439j 0.0239846+0.0270125j 0.0790303+0.00365622j -0.316585-0.0723593j 0.0703744+0.0284946j 0.0606304+0.104114j -0.0938095-0.0567182j -0.0284863+0.0505014j 0.00187918-0.0638622j -0.136718+9.15934e-16j -0.0703333-0.0602471j 0.0212856-0.0467385j -0.0111152-0.0188776j -0.00606718+0.0194537j -0.0340698+0.0233177j 0.0180664-0.0284707j -0.0133268-0.0134856j 
0.0164016+0.00771917j -0.00152246-0.0037572j -0.0358251-0.0209407j 0.0362473+0.0194488j 0.00658233-0.0129097j -0.0301855-0.00571943j 0.0599361+0.0010702j 0.0807203+0.162441j -0.0701223+0.0293651j 0.05035-0.018571j -0.0190917-0.00299058j -0.0838843-0.052316j 0.0743193-0.0025172j 0.01691+0.0243388j -0.0658855+0.00484242j -0.108469+0.0258042j 0.0664274+0.154459j -0.341581-0.149656j -0.0108661-0.0696394j -0.0223484+0.144269j 0.128458-0.189843j -0.0483136-0.4123j 0.118148-0.0655985j 0.0670928-0.0760068j 0.049179+0.0310719j 0.0218868+0.0169239j -0.146999+0.0835161j -0.092121-0.0598813j -0.178886-0.102367j -0.0356699-0.0747832j -0.00393399+0.0689163j 0.0266097-0.0435551j -0.0703333+0.0602471j 0.0655628-1.66533e-16j 0.0606353-0.00213393j -0.00628153-0.00765937j 0.0326609+0.0582548j -0.00694818+0.0484088j 0.0557233-0.014339j -0.0282955-0.0227423j 
0.00906486-0.00947909j 0.0143936-0.0105044j -0.00463692+0.0296657j 0.0163528-0.0203643j 0.00209668+0.000965086j 0.00516488+0.00686166j 0.0238275-0.105495j -0.0168798+0.00682439j -0.0415632+0.0453856j 0.0140951-0.0244467j -0.108995-0.00210294j 0.0547273-0.029783j 0.0316342-0.0143871j -0.0768114-0.0198343j 0.0118521+0.0174159j 0.139784-0.130735j -0.266658-0.0811811j -0.04528-0.0199554j -0.00638229+0.0654779j 0.0179366-0.180046j 0.116253-0.2314j -0.0565892-0.202317j 0.0557639+0.155705j 0.110205-0.0194574j -0.154633-0.00213903j -8.77069e-05-0.0685882j 0.0139742+0.0265493j -0.24483-0.0728276j 0.103142+0.0715332j 0.155464-0.0168023j 0.00679263+0.0348046j 0.0179683-0.0143893j 0.0212856+0.0467385j 0.0606353+0.00213393j -0.126724-1.94011e-14j 0.0517097-0.00392034j -0.0484856+0.0357329j 0.0390978+0.034677j -0.000202585-0.00302836j -0.0304461-0.00752283j 
-0.00105469+0.00308727j 0.0145155+0.0210612j -0.0208919-0.047974j 0.0262002-0.0196569j 0.0235309+0.0485313j 0.0119228+0.0138461j 0.0232723+0.0128845j 0.0485916+0.0352873j -0.0123184-0.0300569j -0.0229789-0.0129005j 0.0524406-0.00329741j -0.0255653-0.0232584j 0.0120919+0.00718967j -0.00276427+0.0112166j -0.0238522-0.00951941j -0.0499102+0.0199656j 0.109734+0.0635554j -0.0778004-0.0573396j -0.00766996-0.0914958j 0.0699178-0.686177j -0.0244101+0.068406j 0.0029236-0.00543818j 0.0388334-0.0658975j -0.203197-0.0354329j -0.331701-0.0674534j 0.066007-0.196041j -0.00221122-0.0247922j 0.0685066+0.015252j -0.0449084-0.0548153j -0.0318297-0.0141635j 0.0234887+0.0216458j 0.0128172+0.0337758j -0.0111152+0.0188776j -0.00628153+0.00765937j 0.0517097+0.00392034j 0.0696793-1.38778e-15j 0.0275633+0.0052898j -0.0191659+0.0114593j 0.0108532+0.0080296j 0.0016891-0.00214608j 
0.00616234-0.0039491j 0.0135783+0.00334283j -0.0210298-0.0196568j -0.0394503-0.0127831j -0.0402351-0.00248225j 0.0229334+0.00988875j -0.107199+0.00830898j -0.107856-0.0862057j 0.00505396+0.106j 0.0327538-0.0540795j -0.0278136-0.0379544j -0.0286928+0.0552181j 0.0417585-0.0370649j -0.0270187-0.0388018j -0.0221195+0.0477021j -0.060154+0.143283j -0.259685-0.00353393j 0.166428+0.0985079j 0.0936527-0.00810044j -0.00731737-0.0840655j 0.0879235-0.0845775j -0.0359697-0.128468j 0.0690277+0.171482j 0.0518906-0.0274861j -0.0703889+0.00923581j 0.00904816-0.0315082j -0.0157917-0.021873j -0.10613-0.0362575j 0.00727663+0.108887j 0.0454117-0.0221518j 0.00490202+0.00862132j 0.00894163-0.011705j -0.00606718-0.0194537j 0.0326609-0.0582548j -0.0484856-0.0357329j 0.0275633-0.0052898j -0.0164559-2.83107e-15j 0.012837-0.0138063j 0.00349574-0.0463985j -0.0175762+0.0112373j 
-0.00701418-0.00490905j -0.00517251-0.0235054j -0.00496347-0.0232462j 0.0148601-0.0110648j 0.0031522-0.00351605j -0.00838934+0.0117709j -0.0948678-0.0685056j -0.0418266+0.014093j 0.0147885+0.00277351j 0.0397478+0.00382646j -0.0411939+0.0029413j -0.0186857-0.0240207j 0.0496665+0.00401801j 0.0217436+0.0136226j -0.0601171-0.007222j -0.205269-0.128381j 0.0767288-0.387669j 0.052778-0.41026j 0.139018+0.111482j -0.0137649-0.0117819j -0.141145-0.0436976j 0.0824695+0.0553369j 0.371099+0.141166j -0.0553543+0.133811j 0.0483214-0.0594759j 0.0230508+0.0189784j -0.0637591-0.0584143j 0.0399354+0.0488352j 0.0193239+0.105107j -0.0565025-0.0223646j -0.00211772+0.0318787j 0.00829202-0.0396002j -0.0340698-0.0233177j -0.00694818-0.0484088j 0.0390978-0.034677j -0.0191659-0.0114593j 0.012837+0.0138063j -0.00707173-1.11022e-16j 0.0230651-0.0246422j -0.0125937-0.00486199j 
-0.00398731+0.00023615j -0.0229191-0.00432728j -0.0337551-0.0157318j 0.0101195+0.00449929j -0.00278688+0.0110667j 0.000408433+0.00484874j 0.174495-0.0716143j 0.171008+0.0345559j -0.0316731+0.0419732j 0.0202568-0.0242344j -0.0721784-0.0103363j -0.0104768-0.00175462j 0.0344782-0.0204596j 0.0129776-0.00147494j -0.0172798+0.0300027j 0.287488+0.181358j 0.164712-0.435435j -0.0802008-0.0618304j -0.208983-0.0597259j 0.00824066-0.0117906j -0.302466-0.145045j 0.0735701-0.0342198j -0.158487-0.136155j -0.0275761+0.0868802j 0.00171907-0.059093j -0.0113824+0.0025173j -0.0124425+0.0230426j -0.108318+0.00213413j 0.0250747-0.079585j 0.0533842-0.0376996j -0.0151125+0.0512197j 0.0128514-0.0393523j 0.0180664+0.0284707j 0.0557233+0.014339j -0.000202585+0.00302836j 0.0108532-0.0080296j 0.00349574+0.0463985j 0.0230651+0.0246422j 0.0376643+1.66533e-16j -0.0281474-0.0120415j 
4.00663e-05+0.000273597j -0.00867449-0.00881201j 0.010266-0.0353355j -0.00398715+0.0181607j 0.00769242-0.00165775j 0.00382684-0.0124059j 0.08683-0.0440172j -0.0568051-0.00937573j 0.0508083-0.0607879j -0.035526+0.0293919j 0.0128855-0.0111694j 0.0373847+0.0188449j -0.0417169+0.0307653j -0.0213113-0.0157037j 0.053458-0.0479412j 0.213639-0.598549j 0.215954+0.060455j -0.337449-0.151817j -0.106303+0.19904j 0.0221691-0.017934j 0.0475917-0.0620829j -0.00140817-0.00544574j 0.0121066-0.122388j 0.00432232-0.0433544j -0.000921704+0.0127358j -0.00520599-0.000167707j -0.00899701+0.0199736j 0.0072235-0.0237382j 0.0629753-0.0170576j 0.0190844+0.0224398j -0.00721648-0.017963j -0.00407158+0.0229928j -0.0133268+0.0134856j -0.0282955+0.0227423j -0.0304461+0.00752283j 0.0016891+0.00214608j -0.0175762-0.0112373j -0.0125937+0.00486199j -0.0281474+0.0120415j 0.0109172+3.33067e-16j 
