-0.0582412-0j -0.00590699-0j -0.0059682-0j -0.00338904-0j -0.000489166-0j -0.00419372-0j -0.000605312-0j -0.00244634-0j -0.000353099-0j -0.0023814-0j -0.000420977-0j -0.0027783-0j -3.50814e-05-0j -0.00170136-0j -0.000491139-0j -0.00243102-0j -0.00030076-0j -4.09283e-05-0j -0.00100274-0j -2.50634e-05-0j -0.000429747-0j -3.58123e-05-0j -0.000177262-0j -1.47718e-05-0j -0.00183307-0j -0.000305512-0j -0.00207068-0j -0.000187087-0j -3.8189e-05-0j -0.0016907-0j -2.25031e-06-0j -0.00170822-0j -0.000345113-0j -0.000211338-0j -0.00147936-0j -0.000281783-0j -4.31391e-05-0j -0.00122041-0j -0.000172556-0j -0.000284704-0j -2.542e-06-0j -0.000389928-0j -3.52229e-05-0j -0.000246561-0j -0.000174345-0j -0.000150987-0j -3.55879e-05-0j -2.07553e-06-0j -0.000203402-0j -3.08201e-05-0j -0.000124558-0j -6.49879e-05-0j -2.09704e-06-0j -3.97968e-05-0j -2.54253e-05-0j -1.81609e-06-0j -1.4982e-06-0j -8.12349e-06-0j -4.78681e-07-0j 
1.04286e-07-0j -0.00014283-0j 0.000140202-0j 4.26336e-07-0j 0.00169915-0j 7.50926e-09-0j 2.9928e-05-0j -6.02351e-07-0j -0.00240066-0j -4.36604e-05-0j -1.01791e-05-0j -7.2503e-07-0j -0.0115683-0j -3.11925e-05-0j -1.69036e-07-0j 4.33012e-05-0j -7.27231e-06-0j -0.000192104-0j 5.41058e-05-0j -0.00826478-0j 1.00954e-05-0j 0.0114731-0j 1.26144e-05-0j 0.0143359-0j 2.30598e-07-0j 0.00107661-0j 3.70774e-09-0j 2.35353e-08-0j 0.000132652-0j 2.12688e-07-0j 0.0339683-0j -2.08774e-07-0j 1.73107e-05-0j 3.7842e-10-0j 2.64894e-09-0j 0.000992993-0j 2.1329e-06-0j -3.00496e-07-0j 2.17073e-08-0j -0.000974723-0j 0.00054617-0j -1.92718e-07-0j 0.000122349-0j 1.23673e-05-0j -2.13079e-08-0j 2.70356e-10-0j -0.000120098-0j 0.03133-0j -0.00140295-0j 1.52381e-06-0j -3.06693e-08-0j -0.000899761-0j -0.0307535-0j -1.96692e-08-0j -0.000172862-0j 0.000390203-0j -0.0442647-0j -0.000110862-0j -0.0283884-0j 
1.27724e-07-0j -0.00013097-0j 0.00012856-0j -0.000100999-0j 0.00103327-0j -1.77894e-06-0j 1.81995e-05-0j 0.000142697-0j -0.00145986-0j 3.66906e-07-0j 0.00180544-0j 6.09288e-09-0j -0.00343012-0j 2.6213e-07-0j 2.99813e-05-0j -3.63887e-07-0j 0.00128987-0j -5.6961e-05-0j -4.54685e-07-0j -0.00245059-0j -0.00179058-0j 0.00340189-0j -0.00223737-0j 0.00425075-0j 2.82424e-07-0j -6.77382e-06-0j 4.54104e-09-0j 0.00053364-0j -0.0156033-0j 2.60488e-07-0j -0.000908825-0j -2.55695e-07-0j -1.08915e-07-0j 8.5803e-06-0j 3.24428e-09-0j -6.2477e-06-0j -0.000250883-0j -3.68031e-07-0j 0.000492193-0j 6.13275e-06-0j -1.46128e-05-0j -2.36031e-07-0j -0.0143914-0j -7.78127e-08-0j -0.000483137-0j 6.13006e-06-0j 0.0141266-0j -0.000838237-0j 8.82709e-06-0j -0.000179239-0j -0.000695396-0j 5.6611e-06-0j 0.000822814-0j -0.00044598-0j 0.0203329-0j -1.04399e-05-0j 0.00118431-0j 0.0130402-0j 0.000759535-0j 
-8.24457e-09-0j 1.41293e-05-0j -1.38693e-05-0j 3.24288e-06-0j -0.000224663-0j 5.71183e-08-0j -3.9571e-06-0j -4.58171e-06-0j 0.000317416-0j -2.36836e-08-0j -9.68835e-05-0j -3.93294e-10-0j 0.00231055-0j -1.69204e-08-0j -1.60886e-06-0j 2.34888e-08-0j -6.92169e-05-0j 3.83693e-05-0j 2.93498e-08-0j 0.00165074-0j 9.60864e-05-0j -0.00229154-0j 0.000120062-0j -0.00286333-0j -1.82304e-08-0j 7.30773e-07-0j -2.93123e-10-0j 3.59898e-07-0j 0.00168754-0j -1.68144e-08-0j -0.01402-0j 1.65051e-08-0j 1.175e-08-0j 5.78673e-09-0j -2.09417e-10-0j 6.74014e-07-0j 2.71336e-05-0j 2.37563e-08-0j 3.31945e-07-0j -6.61613e-07-0j -0.000225425-0j 1.52357e-08-0j 0.00155647-0j 8.39458e-09-0j -3.25837e-07-0j 4.13424e-09-0j -0.00152783-0j -0.0129311-0j -9.52283e-07-0j 1.93852e-05-0j -4.68989e-07-0j -6.10731e-07-0j 0.0126931-0j -3.00778e-07-0j -0.00219906-0j -0.000161051-0j 0.0182697-0j -0.00141033-0j 0.011717-0j 
2.59679e-10-0j -6.23782e-07-0j 6.12305e-07-0j 1.0616e-09-0j 1.49117e-05-0j 1.86985e-11-0j 2.62647e-07-0j -1.49989e-09-0j -2.10681e-05-0j 7.45965e-10-0j -4.44555e-08-0j 1.23876e-11-0j -0.000256851-0j 5.32943e-10-0j -7.38233e-10-0j -7.39827e-10-0j -3.17605e-08-0j -4.26531e-06-0j -9.24432e-10-0j -0.000183503-0j 4.40897e-08-0j 0.000254738-0j 5.50911e-08-0j 0.000318301-0j 5.74203e-10-0j -3.22623e-08-0j 9.2325e-12-0j 5.86043e-11-0j 1.16415e-06-0j 5.29605e-10-0j 0.00315688-0j -5.1986e-10-0j -5.1874e-10-0j 9.42288e-13-0j 6.59602e-12-0j -2.97565e-08-0j 1.87182e-08-0j -7.48254e-10-0j 5.40526e-11-0j 2.9209e-08-0j 5.07589e-05-0j -4.7988e-10-0j 1.07373e-06-0j -3.70606e-10-0j -5.3058e-11-0j 6.73203e-13-0j -1.05398e-06-0j 0.00291169-0j 4.20416e-08-0j 1.33729e-08-0j -7.63683e-11-0j 2.69627e-08-0j -0.00285812-0j -4.89775e-11-0j -1.51703e-06-0j 3.62639e-05-0j -0.00411379-0j -9.72921e-07-0j -0.00263831-0j 
0.0355849-0j -0.00355123-0j 0.00364652-0j 0.00207068-0j 0.000298876-0j -0.00252123-0j -0.000363908-0j 0.00149469-0j 0.00021574-0j 0.00145502-0j 0.000257213-0j 0.00169752-0j 2.14345e-05-0j -0.0030852-0j 0.000300082-0j -0.00146151-0j -0.000545391-0j 2.50069e-05-0j 0.000612668-0j -4.54492e-05-0j -0.00025836-0j -2.153e-05-0j 0.000108305-0j 9.02545e-06-0j 0.00111999-0j 0.000186666-0j 0.00126517-0j 0.000114309-0j 2.33332e-05-0j -0.00101643-0j 1.37492e-06-0j 0.00104371-0j 0.000210861-0j 0.000129126-0j -0.00268264-0j -0.000169406-0j 2.63576e-05-0j -0.000733701-0j -0.000103739-0j 0.000173952-0j 1.55314e-06-0j 0.000238243-0j -2.11757e-05-0j -0.000447106-0j 0.000106523-0j -0.000273796-0j 2.1744e-05-0j -1.24779e-06-0j -0.000122283-0j -5.58883e-05-0j -7.4883e-05-0j 3.97071e-05-0j 1.28127e-06-0j 2.43155e-05-0j -1.52854e-05-0j -3.29325e-06-0j -9.00703e-07-0j 4.96339e-06-0j 2.9247e-07-0j 
0.0349302-0j -0.00364652-0j 0.00368282-0j -0.00209214-0j -0.000301974-0j 0.00251519-0j 0.000363036-0j -0.00138304-0j -0.000199625-0j -0.0014701-0j -0.000259879-0j 0.00166629-0j -2.16566e-05-0j -0.00105029-0j 0.000294561-0j 0.00150012-0j -0.000185666-0j 2.45467e-05-0j -0.00295561-0j -1.54722e-05-0j 0.000265186-0j 2.20988e-05-0j -0.000522484-0j -4.35403e-05-0j -0.0011316-0j -0.0001886-0j 0.00124189-0j -0.000115493-0j -2.3575e-05-0j -0.00104371-0j -1.38917e-06-0j 0.0010541-0j 0.000206981-0j 0.00012675-0j 0.000887248-0j -0.000173952-0j 2.58727e-05-0j -0.000689964-0j -0.000106523-0j 0.000175683-0j 1.52456e-06-0j -0.00254602-0j -2.1744e-05-0j 0.000147875-0j 0.000107583-0j 9.05544e-05-0j 2.19604e-05-0j -1.28127e-06-0j -0.000114994-0j 1.84843e-05-0j -7.04191e-05-0j -0.000424336-0j 1.29403e-06-0j -0.000259852-0j -1.43742e-05-0j 1.0892e-06-0j -8.4701e-07-0j -5.3042e-05-0j -3.12553e-06-0j 
-0.00549087-0j -0.0259202-0j 0.0266158-0j -0.000319512-0j 0.00440908-0j 0.000389034-0j -0.00536844-0j -0.000230636-0j 0.00318264-0j -0.000224514-0j 0.00187739-0j -0.000261933-0j 0.000475961-0j 0.000476056-0j 0.00219028-0j 0.000225515-0j -0.00398078-0j 0.000555288-0j -9.45367e-05-0j -0.00100922-0j -0.00188575-0j -0.000478083-0j 0.000790515-0j 0.000200414-0j -0.000172819-0j 0.00136246-0j -0.00019522-0j -1.76382e-05-0j 0.000344216-0j 0.000156839-0j 4.07784e-05-0j -0.000161048-0j 0.00153906-0j -1.99245e-05-0j 0.00041394-0j -0.00123648-0j 0.000388833-0j 0.000113213-0j 1.60073e-05-0j 0.00126966-0j 4.60641e-05-0j -3.67616e-05-0j -0.000312388-0j -0.0032634-0j -1.64369e-05-0j 4.22476e-05-0j 0.000320771-0j -3.70078e-05-0j -0.00089254-0j -0.000824475-0j 1.15547e-05-0j 0.00028982-0j 3.80009e-05-0j -3.75197e-06-0j -0.000225494-0j -9.76734e-05-0j -2.67137e-05-0j 7.32208e-05-0j 8.67429e-06-0j 
-0.00538984-0j -0.0266158-0j 0.0268807-0j 0.000322823-0j -0.00445477-0j -0.000388102-0j 0.00535557-0j 0.000213408-0j -0.00294491-0j 0.000226841-0j -0.00189684-0j -0.000257114-0j -0.000480894-0j 0.000162063-0j 0.00214998-0j -0.000231473-0j -0.00135517-0j 0.000545071-0j 0.000456061-0j -0.000343567-0j 0.00193557-0j 0.000490713-0j -0.00381358-0j -0.000966831-0j 0.00017461-0j -0.00137658-0j -0.000191628-0j 1.7821e-05-0j -0.000347783-0j 0.000161048-0j -4.12009e-05-0j -0.000162651-0j 0.00151074-0j -1.95579e-05-0j -0.000136905-0j -0.00126966-0j 0.000381678-0j 0.000106464-0j 1.64369e-05-0j 0.0012823-0j 4.52165e-05-0j 0.000392859-0j -0.000320771-0j 0.00107933-0j -1.66005e-05-0j -1.39728e-05-0j 0.000323964-0j -3.80009e-05-0j -0.000839334-0j 0.000272684-0j 1.08659e-05-0j -0.0030972-0j 3.83791e-05-0j 4.0096e-05-0j -0.000212051-0j 3.23042e-05-0j -2.51212e-05-0j -0.000782485-0j -9.2699e-05-0j 
-0.00419372-0j 0.000418516-0j -0.000429747-0j 0.0234793-0j -3.52229e-05-0j -0.028588-0j 4.2887e-05-0j 0.0169482-0j -2.54253e-05-0j -0.000171476-0j 0.00291652-0j -0.000200055-0j -2.52607e-06-0j 0.000363594-0j 0.00340261-0j 0.00017224-0j -0.00618415-0j -2.94709e-06-0j -7.22036e-05-0j 5.35624e-06-0j -0.00292953-0j 2.53734e-06-0j 0.00122807-0j -1.06366e-06-0j -0.000131992-0j -2.19987e-05-0j -0.000149101-0j 0.00260575-0j 0.000264573-0j 0.000119788-0j -1.62036e-07-0j -0.000123002-0j -2.48502e-05-0j 0.00294351-0j 0.000316152-0j 1.99646e-05-0j 0.000298867-0j 8.64675e-05-0j -0.00236481-0j -2.05004e-05-0j -1.83039e-07-0j -2.80772e-05-0j -0.00024011-0j 5.2692e-05-0j 0.00242827-0j -0.00624136-0j 0.000246553-0j 1.47054e-07-0j 1.44112e-05-0j -0.000633713-0j -0.00170701-0j -4.67953e-06-0j -1.51e-07-0j 0.00055429-0j -0.00017332-0j 3.88113e-07-0j 1.06149e-07-0j 5.62795e-05-0j -3.4468e-08-0j 
0.000605312-0j 0.00577528-0j -0.00593025-0j 3.52229e-05-0j 0.0227461-0j -4.2887e-05-0j -0.0276953-0j 2.54253e-05-0j 0.016419-0j 2.47504e-05-0j -0.0004183-0j 2.88754e-05-0j 0.00499877-0j -5.24803e-05-0j -0.000488017-0j -2.48607e-05-0j 0.000886956-0j 0.00583189-0j 1.04217e-05-0j -0.0105993-0j 0.000420165-0j -0.00502105-0j -0.000176134-0j 0.00210484-0j 1.90515e-05-0j -0.00030357-0j 2.15209e-05-0j 1.94443e-06-0j 0.00177578-0j -1.72899e-05-0j 0.000645791-0j 1.77539e-05-0j -0.000342918-0j 2.19647e-06-0j -4.56326e-05-0j 0.0002755-0j 0.00200596-0j -1.24805e-05-0j -1.76464e-06-0j -0.000282893-0j 0.000729499-0j 4.05259e-06-0j -0.00161158-0j 0.000727118-0j 1.812e-06-0j -4.65736e-06-0j 0.00165483-0j -0.000586079-0j 0.000198867-0j -0.0042534-0j -1.27379e-06-0j -6.45747e-05-0j 0.000601806-0j 4.13616e-07-0j -0.0011633-0j -0.00154682-0j -0.000423054-0j 0.00037774-0j 0.000137371-0j 
-0.00411656-0j 0.000429747-0j -0.000434025-0j -0.0237226-0j 3.55879e-05-0j 0.0285195-0j -4.27842e-05-0j -0.0156822-0j 2.35261e-05-0j 0.000173253-0j -0.00294675-0j -0.000196374-0j 2.55225e-06-0j 0.000123778-0j 0.00334-0j -0.00017679-0j -0.00210526-0j -2.89286e-06-0j 0.000348323-0j 1.82342e-06-0j 0.00300692-0j -2.60437e-06-0j -0.00592441-0j 5.13128e-06-0j 0.00013336-0j 2.22267e-05-0j -0.000146358-0j -0.00263275-0j -0.000267315-0j 0.000123002-0j 1.63715e-07-0j -0.000124227-0j -2.4393e-05-0j 0.00288935-0j -0.000104563-0j 2.05004e-05-0j 0.000293368-0j 8.1313e-05-0j -0.00242827-0j -2.07044e-05-0j -1.79671e-07-0j 0.000300051-0j -0.000246553-0j -1.74272e-05-0j 0.00245244-0j 0.00206425-0j 0.000249007-0j 1.51e-07-0j 1.35522e-05-0j 0.000209592-0j -0.00160525-0j 5.00085e-05-0j -1.52503e-07-0j -0.0059235-0j -0.000162988-0j -1.28363e-07-0j 9.98211e-08-0j -0.000601439-0j 3.68347e-07-0j 
0.000594174-0j 0.00593025-0j -0.00598928-0j -3.55879e-05-0j -0.0229818-0j 4.27842e-05-0j 0.027629-0j -2.35261e-05-0j -0.0151925-0j -2.50069e-05-0j 0.000422635-0j 2.83441e-05-0j -0.00505057-0j -1.78658e-05-0j -0.000479037-0j 2.55175e-05-0j 0.000301945-0j 0.00572459-0j -5.0276e-05-0j -0.0036083-0j -0.000431265-0j 0.0051537-0j 0.000849703-0j -0.0101541-0j -1.92489e-05-0j 0.000306716-0j 2.1125e-05-0j -1.96458e-06-0j -0.00179418-0j -1.77539e-05-0j -0.000652484-0j 1.79306e-05-0j -0.000336609-0j 2.15606e-06-0j 1.50924e-05-0j 0.000282893-0j 0.00196905-0j -1.17365e-05-0j -1.812e-06-0j -0.000285709-0j 0.000716076-0j -4.33086e-05-0j -0.00165483-0j -0.000240485-0j 1.83003e-06-0j 1.54036e-06-0j 0.0016713-0j -0.000601806-0j 0.000187012-0j 0.00140676-0j -1.19785e-06-0j 0.000690087-0j 0.000607796-0j -4.42017e-06-0j -0.00109396-0j 0.00051159-0j -0.000397835-0j -0.00403678-0j -0.00146804-0j 
-0.00375098-0j 0.000374332-0j -0.000384377-0j -0.000218269-0j -3.15043e-05-0j 0.000265761-0j 3.83593e-05-0j -0.000157555-0j -2.2741e-05-0j 0.0223525-0j -2.71127e-05-0j 0.0260779-0j -2.25939e-06-0j -0.0473959-0j -3.16315e-05-0j -0.0224522-0j 5.74892e-05-0j -2.63595e-06-0j 0.00941202-0j 4.79077e-06-0j 2.72335e-05-0j 2.26946e-06-0j -1.14164e-05-0j -9.51366e-07-0j -0.000118058-0j 0.00286762-0j -0.00013336-0j -1.20492e-05-0j -2.45953e-06-0j 0.000107142-0j -1.44929e-07-0j -0.000110017-0j 0.00323932-0j -1.3611e-05-0j 0.000282775-0j -0.00260247-0j -2.77834e-06-0j 7.73389e-05-0j 1.09351e-05-0j 0.00267231-0j -1.63715e-07-0j -2.5113e-05-0j 2.23212e-06-0j -0.00686861-0j -1.12285e-05-0j 2.88606e-05-0j -2.29201e-06-0j 1.31529e-07-0j -0.00187856-0j 5.89114e-06-0j 7.89336e-06-0j 0.000609995-0j -1.35058e-07-0j -2.56308e-06-0j 1.61123e-06-0j 3.47139e-07-0j 9.49424e-08-0j -5.23187e-07-0j -3.08291e-08-0j 
-0.00256812-0j 0.000256288-0j -0.000263165-0j -0.000149438-0j -2.15696e-05-0j 0.000181954-0j 2.62628e-05-0j -0.00010787-0j -1.55697e-05-0j -0.000105007-0j -1.85628e-05-0j -0.000122508-0j -1.5469e-06-0j 0.000222655-0j -2.16566e-05-0j 0.000105475-0j 3.93602e-05-0j -1.80471e-06-0j -4.42155e-05-0j 3.28002e-06-0j 1.86455e-05-0j 1.55379e-06-0j -7.81627e-06-0j -6.51356e-07-0j 0.0317473-0j -1.34714e-05-0j 0.0358624-0j -8.24953e-06-0j -1.68393e-06-0j -0.0288118-0j -9.92264e-08-0j 0.029585-0j -1.52176e-05-0j -9.31884e-06-0j -0.076042-0j 1.22258e-05-0j -1.9022e-06-0j -0.0207975-0j 7.48674e-06-0j -1.25539e-05-0j -1.12088e-07-0j 0.00675322-0j 1.52823e-06-0j 3.22671e-05-0j -7.68765e-06-0j 1.97595e-05-0j -1.56923e-06-0j 9.00515e-08-0j 8.82505e-06-0j 4.03339e-06-0j 5.40422e-06-0j -2.86561e-06-0j -9.2468e-08-0j -1.75482e-06-0j 1.10313e-06-0j 2.3767e-07-0j 6.50026e-08-0j -3.58202e-07-0j -2.11072e-08-0j 
-0.00368196-0j 0.000384377-0j -0.000388203-0j 0.00022053-0j 3.18308e-05-0j -0.000265124-0j -3.82673e-05-0j 0.000145786-0j 2.10424e-05-0j -0.0225842-0j 2.73936e-05-0j 0.0255981-0j 2.2828e-06-0j -0.0161349-0j -3.10494e-05-0j 0.0230453-0j 1.9571e-05-0j -2.58745e-06-0j -0.0454052-0j 1.63091e-06-0j -2.7953e-05-0j -2.32942e-06-0j 5.50746e-05-0j 4.58955e-06-0j 0.000119281-0j -0.00289734-0j -0.000130907-0j 1.21741e-05-0j 2.48502e-06-0j 0.000110017-0j 1.46431e-07-0j -0.000111112-0j 0.00317972-0j -1.33606e-05-0j -9.35241e-05-0j -0.00267231-0j -2.72722e-06-0j 7.27285e-05-0j 1.12285e-05-0j 0.0026989-0j -1.60703e-07-0j 0.000268374-0j 2.29201e-06-0j 0.0022717-0j -1.13403e-05-0j -9.54527e-06-0j -2.31483e-06-0j 1.35058e-07-0j -0.00176658-0j -1.94842e-06-0j 7.42283e-06-0j -0.0065188-0j -1.36403e-07-0j 2.73908e-05-0j 1.51518e-06-0j -1.14812e-07-0j 8.92827e-08-0j 5.59112e-06-0j 3.2946e-07-0j 
-0.00252087-0j 0.000263165-0j -0.000265785-0j 0.000150987-0j 2.17931e-05-0j -0.000181518-0j -2.61999e-05-0j 9.98127e-05-0j 1.44067e-05-0j 0.000106095-0j 1.87551e-05-0j -0.000120254-0j 1.56293e-06-0j 7.5798e-05-0j -2.12581e-05-0j -0.000108262-0j 1.33993e-05-0j -1.77151e-06-0j 0.000213303-0j 1.11661e-06-0j -1.91381e-05-0j -1.59484e-06-0j 3.7707e-05-0j 3.14225e-06-0j -0.0320763-0j 1.3611e-05-0j 0.0352025-0j 8.33502e-06-0j 1.70138e-06-0j -0.029585-0j 1.00255e-07-0j 0.0298794-0j -1.49376e-05-0j -9.14737e-06-0j 0.0251499-0j 1.25539e-05-0j -1.8672e-06-0j -0.0195577-0j 7.68765e-06-0j -1.26788e-05-0j -1.10026e-07-0j -0.0721693-0j 1.56923e-06-0j -1.06719e-05-0j -7.76417e-06-0j -6.5352e-06-0j -1.58485e-06-0j 9.2468e-08-0j 8.29897e-06-0j -1.33399e-06-0j 5.08206e-06-0j 3.06238e-05-0j -9.33884e-08-0j 1.87532e-05-0j 1.03737e-06-0j -7.86062e-08-0j 6.11277e-08-0j 3.82798e-06-0j 2.25566e-07-0j 
0.000663086-0j 0.00313016-0j -0.00321416-0j -0.0037124-0j -0.000532447-0j 0.00452016-0j 0.000648301-0j -0.00267975-0j -0.000384341-0j 2.71127e-05-0j 0.0218132-0j 3.16315e-05-0j -5.74778e-05-0j -5.74892e-05-0j 0.0254488-0j -2.72335e-05-0j -0.0462524-0j -6.70574e-05-0j 1.14164e-05-0j 0.000121875-0j -0.0219105-0j 5.7734e-05-0j 0.00918495-0j -2.42023e-05-0j 2.08698e-05-0j -0.000164533-0j 2.3575e-05-0j -0.000412005-0j 0.00399942-0j -1.89401e-05-0j -4.92445e-06-0j 1.94484e-05-0j -0.00018586-0j -0.00046541-0j -4.9988e-05-0j 0.000149319-0j 0.00451783-0j -1.36717e-05-0j 0.00037391-0j -0.000153326-0j -5.56276e-06-0j 4.43939e-06-0j -0.00362962-0j 0.000394093-0j -0.000383943-0j 0.000986846-0j 0.00372702-0j 4.46912e-06-0j 0.000107784-0j -0.00957952-0j 0.000269902-0j -3.49991e-05-0j -4.58905e-06-0j -8.76409e-05-0j -0.00262-0j 1.17952e-05-0j 3.22598e-06-0j 0.000850749-0j -1.04752e-06-0j 
-5.52572e-05-0j -0.00079357-0j 0.000814865-0j -3.2154e-06-0j -0.00636285-0j 3.91503e-06-0j 0.00774732-0j -2.321e-06-0j -0.00459295-0j -2.25939e-06-0j 5.74778e-05-0j -2.63595e-06-0j 0.0211225-0j 4.79077e-06-0j 6.70574e-05-0j 2.26946e-06-0j -0.000121875-0j 0.0246429-0j -9.51366e-07-0j -0.0447878-0j -5.7734e-05-0j -0.0212167-0j 2.42023e-05-0j 0.0088941-0j -1.73915e-06-0j 4.17129e-05-0j -1.96458e-06-0j -1.77502e-07-0j -0.000496746-0j 1.57834e-06-0j 0.00559651-0j -1.6207e-06-0j 4.71197e-05-0j -2.00509e-07-0j 4.16567e-06-0j -3.7856e-05-0j -0.000561134-0j 1.13931e-06-0j 1.61089e-07-0j 3.88718e-05-0j 0.00632193-0j -3.69949e-07-0j 0.000450814-0j -9.99119e-05-0j -1.65412e-07-0j 4.25157e-07-0j -0.000462912-0j -0.00507903-0j -2.73259e-05-0j 0.00118982-0j 1.1628e-07-0j 8.87308e-06-0j 0.00521532-0j -3.77578e-08-0j 0.000325415-0j -0.0134049-0j -0.00366624-0j -0.000105667-0j 0.00119048-0j 
0.000650885-0j 0.00321416-0j -0.00324615-0j 0.00375087-0j 0.000537965-0j -0.00450933-0j -0.000646747-0j 0.00247958-0j 0.000355632-0j -2.73936e-05-0j -0.0220393-0j 3.10494e-05-0j 5.80734e-05-0j -1.9571e-05-0j 0.0249805-0j 2.7953e-05-0j -0.0157456-0j -6.58236e-05-0j -5.50746e-05-0j 4.14896e-05-0j 0.0224893-0j -5.92593e-05-0j -0.0443097-0j 0.000116756-0j -2.10861e-05-0j 0.000166238-0j 2.31412e-05-0j 0.000416275-0j -0.00404087-0j -1.94484e-05-0j 4.97549e-06-0j 1.9642e-05-0j -0.00018244-0j -0.000456846-0j 1.65329e-05-0j 0.000153326-0j 0.0044347-0j -1.28567e-05-0j 0.000383943-0j -0.000154852-0j -5.46041e-06-0j -4.74422e-05-0j -0.00372702-0j -0.000130341-0j -0.000387765-0j -0.000326387-0j 0.00376411-0j 4.58905e-06-0j 0.000101359-0j 0.0031683-0j 0.000253813-0j 0.000374023-0j -4.63472e-06-0j 0.000936588-0j -0.00246381-0j -3.9011e-06-0j 3.03367e-06-0j -0.00909165-0j 1.11945e-05-0j 
0.000605312-0j 0.00285743-0j -0.00293411-0j 3.52229e-05-0j -0.000486055-0j -4.2887e-05-0j 0.000591815-0j 2.54253e-05-0j -0.000350853-0j -0.00360712-0j -0.000206962-0j -0.00420831-0j -5.24698e-05-0j 0.00764848-0j -0.000241456-0j 0.0036232-0j 0.000438839-0j -6.12148e-05-0j -0.00151886-0j 0.000111256-0j 0.000207885-0j 5.27037e-05-0j -8.71461e-05-0j -2.20936e-05-0j -0.00373193-0j 0.0218898-0j -0.00421566-0j 1.94443e-06-0j -3.79462e-05-0j 0.00338686-0j -4.49539e-06-0j -0.00347774-0j 0.0247271-0j 2.19647e-06-0j 0.00893882-0j -0.0198657-0j -4.28648e-05-0j 0.00244476-0j -1.76464e-06-0j 0.0203988-0j -5.07808e-06-0j -0.000793848-0j 3.44375e-05-0j -0.0524309-0j 1.812e-06-0j -4.65736e-06-0j -3.53617e-05-0j 4.07973e-06-0j -0.0143398-0j 9.08898e-05-0j -1.27379e-06-0j 0.00465634-0j -4.18921e-06-0j 4.13616e-07-0j 2.48583e-05-0j 1.07675e-05-0j 2.9449e-06-0j -8.07184e-06-0j -9.5625e-07-0j 
-5.42405e-05-0j -0.000814865-0j 0.000822975-0j 3.24872e-06-0j 0.00642879-0j -3.90564e-06-0j -0.00772875-0j 2.14763e-06-0j 0.00424987-0j 2.2828e-06-0j -5.80734e-05-0j -2.58745e-06-0j -0.0213414-0j 1.63091e-06-0j 6.58236e-05-0j -2.32942e-06-0j -4.14896e-05-0j 0.0241895-0j 4.58955e-06-0j -0.015247-0j 5.92593e-05-0j 0.0217772-0j -0.000116756-0j -0.0429067-0j 1.75718e-06-0j -4.21452e-05-0j -1.92844e-06-0j 1.79341e-07-0j 0.000501893-0j 1.6207e-06-0j -0.0056545-0j -1.63683e-06-0j 4.62528e-05-0j -1.9682e-07-0j -1.37774e-06-0j -3.88718e-05-0j -0.000550809-0j 1.07139e-06-0j 1.65412e-07-0j 3.92587e-05-0j 0.00620561-0j 3.95352e-06-0j 0.000462912-0j 3.30446e-05-0j -1.67058e-07-0j -1.40615e-07-0j -0.00046752-0j -0.00521532-0j -2.56969e-05-0j -0.000393517-0j 1.09349e-07-0j -9.48235e-05-0j 0.00526723-0j 4.03504e-07-0j 0.000306016-0j 0.0044335-0j -0.00344769-0j 0.00112922-0j -0.0127222-0j 
0.000370676-0j -3.6992e-05-0j 3.79846e-05-0j -0.00417215-0j 3.1133e-06-0j 0.00507996-0j -3.79071e-06-0j -0.00301162-0j 2.2473e-06-0j 1.51564e-05-0j -0.000518253-0j 1.76825e-05-0j 2.23276e-07-0j -3.21375e-05-0j -0.000604628-0j -1.5224e-05-0j 0.00109889-0j 2.60488e-07-0j 6.38196e-06-0j -4.7343e-07-0j 0.000520563-0j -2.24271e-07-0j -0.000218222-0j 9.40151e-08-0j -0.00228533-0j 1.94443e-06-0j -0.00258156-0j 0.0220441-0j -4.70135e-05-0j 0.00207402-0j 1.43221e-08-0j -0.00212967-0j 2.19647e-06-0j 0.0249014-0j 0.00547389-0j -1.76464e-06-0j -5.31074e-05-0j 0.00149711-0j -0.0200058-0j 1.812e-06-0j 1.61785e-08-0j -0.000486131-0j 4.26664e-05-0j -4.65736e-06-0j 0.0205426-0j -0.0528005-0j -4.38113e-05-0j -1.29978e-08-0j -1.27379e-06-0j 0.000112608-0j -0.0144409-0j 4.13616e-07-0j 1.33466e-08-0j 0.00468917-0j 3.07982e-05-0j -3.43047e-08-0j -9.38232e-09-0j -1.00006e-05-0j 3.04657e-09-0j 
