-0.0317002-0j -0.00528337-0j -0.00323539-0j -0.000660421-0j -3.89157e-05-0j -0.0284679-0j -0.00459399-0j -0.00375098-0j -0.000541407-0j -0.000468873-0j -5.52572e-05-0j -2.52213e-06-0j -0.0182609-0j -0.0184501-0j -0.0028873-0j -0.00291722-0j -0.00228261-0j -0.00152174-0j -0.000329466-0j -0.00230626-0j -0.00153751-0j -0.000332881-0j -0.000380435-0j -0.000134504-0j -3.17029e-05-0j -0.000384377-0j -0.000135898-0j -3.3626e-05-0j -3.20315e-05-0j -3.39745e-05-0j -2.80217e-06-0j -1.04431e-07-0j -2.83121e-06-0j -1.05513e-07-0j -0.0137175-0j -0.0169745-0j -0.00990179-0j -0.00213859-0j -0.00264637-0j -0.00154371-0j -0.00165654-0j -0.000239101-0j -0.00151221-0j -0.00204987-0j -0.000295873-0j -0.00119575-0j -0.000267323-0j -0.00187126-0j -0.000172592-0j -0.000178215-0j -2.22769e-05-0j -0.00109157-0j -0.000154339-0j -0.000330796-0j -0.00022053-0j -3.15043e-05-0j -0.000192964-0j -2.75663e-05-0j -1.57522e-05-0j -0.000190985-0j -0.000128643-0j -1.85641e-06-0j -1.60803e-05-0j -0.000111408-0j -2.27363e-06-0j -3.89846e-05-0j -1.94923e-05-0j -1.46762e-07-0j -2.29719e-06-0j -2.2741e-05-0j -1.13705e-05-0j -2.81347e-06-0j -4.62258e-09-0j -1.34003e-06-0j -1.64119e-06-0j -1.81609e-07-0j -1.05939e-07-0j -5.72014e-09-0j -3.33675e-09-0j 
0.00257848-0j 0.000429747-0j -0.0509035-0j -0.00516846-0j 3.16539e-06-0j 3.29594e-05-0j 5.3188e-06-0j -0.000417837-0j 6.26827e-07-0j -0.000105002-0j -6.15531e-06-0j 2.92006e-09-0j -0.00146151-0j -0.001458-0j -0.000231084-0j -0.00023053-0j 0.0175772-0j -0.000121792-0j -2.63688e-05-0j 0.017535-0j -0.0001215-0j -2.63056e-05-0j 0.00292953-0j 0.00312876-0j -2.53734e-06-0j 0.0029225-0j 0.00312126-0j 0.000520563-0j -2.53125e-06-0j 0.000519315-0j 2.1578e-05-0j -8.35808e-09-0j 2.15263e-05-0j -8.33805e-09-0j 0.00111577-0j -1.93374e-05-0j -0.00157642-0j 0.000173952-0j -3.01474e-06-0j -0.000245768-0j -0.0129641-0j 1.94484e-05-0j 0.000123002-0j 0.00022468-0j -3.37058e-07-0j 0.0183164-0j -0.00209207-0j -2.13174e-06-0j -2.74777e-05-0j 1.4496e-05-0j 1.812e-06-0j -0.000173784-0j -0.00242827-0j 3.62575e-05-0j -2.51229e-07-0j -0.000246553-0j 0.00295579-0j -3.14036e-08-0j -0.000372392-0j 4.20842e-05-0j -2.04807e-05-0j 1.51e-07-0j -2.56008e-06-0j 0.00343079-0j -3.57718e-05-0j 4.27299e-06-0j 6.4539e-06-0j -1.14856e-06-0j -2.61696e-09-0j 0.000348343-0j 0.000526135-0j 6.19958e-07-0j 3.75998e-10-0j -2.1334e-07-0j 5.05403e-05-0j 1.99056e-08-0j 1.62275e-06-0j -6.5164e-12-0j -5.3123e-10-0j 
0.00171899-0j 0.000286498-0j -0.0339357-0j -0.00344564-0j 2.11026e-06-0j 2.19729e-05-0j 3.54587e-06-0j -0.000278558-0j 4.17885e-07-0j -7.00013e-05-0j -4.10354e-06-0j 1.94671e-09-0j 0.000990221-0j -0.000972001-0j 0.000156568-0j -0.000153687-0j -0.0119091-0j 8.25184e-05-0j 1.78658e-05-0j 0.01169-0j -8.10001e-05-0j -1.7537e-05-0j -0.00198486-0j -0.00211985-0j 1.71913e-06-0j 0.00194834-0j 0.00208084-0j -0.0003527-0j -1.6875e-06-0j 0.00034621-0j -1.46198e-05-0j 5.66289e-09-0j 1.43508e-05-0j -5.5587e-09-0j -0.00371135-0j 1.31017e-05-0j -0.00105095-0j -0.000578608-0j 2.04259e-06-0j -0.000163845-0j 0.043122-0j -6.46904e-05-0j -0.000409138-0j -0.000152228-0j 2.28369e-07-0j 0.0122109-0j 0.00695878-0j 1.44433e-06-0j -1.83185e-05-0j -4.82174e-05-0j -6.02717e-06-0j -0.000115856-0j 0.00807706-0j -2.45658e-05-0j 1.70216e-07-0j 0.0008201-0j 0.00197053-0j 2.1277e-08-0j 0.00123867-0j -2.85135e-05-0j -1.36538e-05-0j -5.02264e-07-0j -1.70672e-06-0j 0.00228719-0j 0.000118986-0j -2.8951e-06-0j -4.37274e-06-0j 3.82041e-06-0j 1.77308e-09-0j 0.000232229-0j 0.000350757-0j -4.20044e-07-0j -1.25067e-09-0j -1.42227e-07-0j 3.36935e-05-0j -1.34868e-08-0j 1.08183e-06-0j 4.41509e-12-0j -3.54153e-10-0j 
-0.000372172-0j 0.00593025-0j -3.79846e-05-0j -0.03469-0j -0.0126156-0j -4.75728e-06-0j 7.33963e-05-0j -6.26827e-07-0j -0.000404789-0j 7.49098e-06-0j -0.000126599-0j -1.9464e-05-0j 0.00021095-0j 0.000210444-0j -0.00318883-0j -0.00318118-0j 2.63688e-05-0j 1.75792e-05-0j 0.0170283-0j 2.63056e-05-0j 1.7537e-05-0j 0.0169875-0j -0.000420165-0j 1.55379e-06-0j 0.00502105-0j -0.000419158-0j 1.55007e-06-0j 0.00173794-0j 0.00500902-0j 0.00173378-0j 0.000893827-0j 8.37418e-05-0j 0.000891684-0j 8.3541e-05-0j -0.000161048-0j 2.79111e-06-0j 0.000227537-0j 0.00240043-0j -4.16016e-05-0j -0.00339145-0j -1.94484e-05-0j -0.0125593-0j -1.77539e-05-0j 3.37058e-07-0j 0.000217664-0j 2.74777e-05-0j 0.000300054-0j 3.07691e-07-0j 0.0177444-0j 0.000200036-0j -0.0035857-0j 2.50836e-05-0j -1.812e-06-0j -5.20021e-06-0j -3.4668e-06-0j -0.00165483-0j -0.000423932-0j 6.21435e-05-0j 1.76808e-05-0j 3.14036e-08-0j -0.000282621-0j -0.000601806-0j 0.00506607-0j 2.56008e-06-0j -0.000365964-0j 2.86797e-05-0j -3.06425e-07-0j -7.95712e-05-0j 1.04299e-05-0j 0.00233803-0j -2.49804e-05-0j 6.34249e-06-0j -5.28143e-06-0j 0.000850263-0j 0.000517053-0j 1.37904e-06-0j 0.000112422-0j 9.1532e-08-0j 7.46188e-06-0j 
-0.00150411-0j -0.000250686-0j 0.0296937-0j 0.00301493-0j -1.84648e-06-0j 0.00264382-0j 0.000426644-0j -0.0335165-0j 5.02805e-05-0j -0.00842267-0j -0.000493745-0j 2.34231e-07-0j -0.000866443-0j -0.000801723-0j -0.000136997-0j -0.000126764-0j 0.0104205-0j -7.22036e-05-0j -1.56325e-05-0j 0.00964212-0j -6.68102e-05-0j -1.44648e-05-0j 0.00173675-0j 0.00185486-0j -1.50424e-06-0j 0.00160702-0j 0.00171631-0j 0.000308612-0j -1.39188e-06-0j 0.00028556-0j 1.27924e-05-0j -4.95503e-09-0j 1.18368e-05-0j -4.58491e-09-0j -0.000650867-0j 0.00157642-0j -0.00181911-0j -0.000101472-0j 0.000245768-0j -0.000283603-0j 0.00756239-0j -1.13449e-05-0j -7.17514e-05-0j -0.0183164-0j 2.74777e-05-0j 0.0211361-0j 0.00122038-0j 0.000173784-0j -3.17078e-05-0j -8.45598e-06-0j -1.057e-06-0j -0.000200538-0j 0.00141649-0j -0.00295579-0j 2.04807e-05-0j 0.000143823-0j 0.00341082-0j 2.56008e-06-0j 0.000217229-0j -0.00343079-0j -2.36336e-05-0j -8.80831e-08-0j -2.9542e-06-0j 0.00395894-0j 2.08669e-05-0j -0.000348343-0j -0.000526135-0j 6.69994e-07-0j 2.1334e-07-0j 0.000401969-0j 0.000607131-0j -5.05403e-05-0j -2.19332e-10-0j -2.46183e-07-0j 5.83207e-05-0j -1.62275e-06-0j 1.87256e-06-0j 5.3123e-10-0j -6.1301e-10-0j 
0.00148869-0j 0.000248115-0j -0.0293892-0j -0.00298401-0j 1.82754e-06-0j 0.00133689-0j 0.00021574-0j -0.0169482-0j 2.54253e-05-0j -0.00425907-0j -0.000249671-0j 1.18443e-07-0j -0.00254516-0j 0.000866443-0j -0.000402425-0j 0.000136997-0j 0.03061-0j -0.000212096-0j -4.59202e-05-0j -0.0104205-0j 7.22036e-05-0j 1.56325e-05-0j 0.00510166-0j 0.00544862-0j -4.41868e-06-0j -0.00173675-0j -0.00185486-0j 0.000906542-0j 1.50424e-06-0j -0.000308612-0j 3.75773e-05-0j -1.45553e-08-0j -1.27924e-05-0j 4.95503e-09-0j -0.00128497-0j -0.00236586-0j 0.000465002-0j -0.000200329-0j -0.000368844-0j 7.24949e-05-0j 0.0149299-0j -2.23975e-05-0j -0.000141654-0j 0.0274888-0j -4.1238e-05-0j -0.00540283-0j 0.00240931-0j -0.000260812-0j 8.10518e-06-0j -1.66941e-05-0j -2.08676e-06-0j 5.12617e-05-0j 0.00279649-0j 0.00443599-0j -3.0737e-05-0j 0.00028394-0j -0.000871878-0j -3.84212e-06-0j 0.000428861-0j 0.00514886-0j 6.04124e-06-0j -1.73897e-07-0j 7.55156e-07-0j -0.00101199-0j 4.11962e-05-0j 0.000522787-0j 0.000789614-0j 1.32273e-06-0j -3.20177e-07-0j -0.000102752-0j -0.000155196-0j 7.58499e-05-0j -4.33014e-10-0j 6.29296e-08-0j -1.4908e-05-0j 2.43539e-06-0j -4.78667e-07-0j -7.9726e-10-0j 1.56699e-10-0j 
-0.000248115-0j 0.0039535-0j -2.53231e-05-0j -0.0231267-0j -0.00841039-0j -3.17152e-06-0j 4.89309e-05-0j -4.17885e-07-0j -0.00026986-0j 4.99399e-06-0j -8.43991e-05-0j -1.2976e-05-0j -0.000142926-0j 0.000140296-0j 0.00216054-0j -0.00212079-0j -1.78658e-05-0j -1.19105e-05-0j -0.0115373-0j 1.7537e-05-0j 1.16914e-05-0j 0.011325-0j 0.000284676-0j -1.05275e-06-0j -0.00340194-0j -0.000279438-0j 1.03338e-06-0j -0.00117752-0j 0.00333934-0j 0.00115585-0j -0.000605599-0j -5.6738e-05-0j 0.000594456-0j 5.5694e-05-0j 0.000535687-0j -1.89107e-06-0j 0.000151691-0j -0.00798445-0j 2.81866e-05-0j -0.00226097-0j 6.46904e-05-0j 0.0417754-0j 5.9054e-05-0j -2.28369e-07-0j -0.000147475-0j 1.83185e-05-0j -0.000998056-0j -2.08471e-07-0j 0.0118296-0j -0.000665371-0j 0.011927-0j 1.67224e-05-0j 6.02717e-06-0j 3.52332e-06-0j 2.34888e-06-0j 0.0055044-0j -0.000282621-0j -4.21044e-05-0j -5.8811e-05-0j -2.1277e-08-0j -0.000188414-0j 0.00200176-0j 0.00337738-0j 1.70672e-06-0j 0.00121729-0j -1.94315e-05-0j 2.07614e-07-0j 0.000264674-0j -7.06659e-06-0j 0.00155869-0j -1.66536e-05-0j -4.29726e-06-0j 1.75674e-05-0j 0.000566842-0j 0.000344702-0j -9.34349e-07-0j 7.49482e-05-0j -6.20162e-08-0j 4.97459e-06-0j 
0.0002171-0j -0.00345931-0j 2.21577e-05-0j 0.0202358-0j 0.00735909-0j -0.000381602-0j 0.00588744-0j -5.02805e-05-0j -0.0324699-0j 0.000600884-0j -0.010155-0j -0.00156129-0j 0.00012506-0j 0.000115719-0j -0.00189047-0j -0.00174926-0j 1.56325e-05-0j 1.04217e-05-0j 0.0100951-0j 1.44648e-05-0j 9.64323e-06-0j 0.00934103-0j -0.000249092-0j 9.21156e-07-0j 0.0029767-0j -0.000230485-0j 8.52349e-07-0j 0.00103033-0j 0.00275435-0j 0.000953365-0j 0.000529899-0j 4.96457e-05-0j 0.000490317-0j 4.59374e-05-0j 9.39446e-05-0j -0.000227537-0j 0.000262565-0j -0.00140025-0j 0.00339145-0j -0.00391355-0j 1.13449e-05-0j 0.00732625-0j 1.03564e-05-0j -2.74777e-05-0j -0.0177444-0j 3.17078e-05-0j -0.000175031-0j -2.50836e-05-0j 0.0204761-0j -0.000116688-0j 0.00209166-0j 2.89451e-05-0j 1.057e-06-0j 0.000423932-0j 0.000282621-0j 0.000965318-0j -0.000489194-0j -0.00506607-0j -1.03138e-05-0j -2.56008e-06-0j -0.000326129-0j 0.000351053-0j 0.00584596-0j 2.9542e-06-0j 0.000213479-0j -0.00233803-0j 2.49804e-05-0j 4.64165e-05-0j -0.000850263-0j 0.00269796-0j -2.8826e-05-0j -0.000517053-0j 3.08083e-06-0j 0.000981157-0j 0.000596651-0j -0.000112422-0j 0.000129729-0j -7.46188e-06-0j 8.6106e-06-0j 
-0.000214874-0j 0.00342383-0j -2.19304e-05-0j -0.0200283-0j -0.00728361-0j -0.000192964-0j 0.00297709-0j -2.54253e-05-0j -0.016419-0j 0.000303848-0j -0.00513507-0j -0.000789494-0j 0.000367362-0j -0.00012506-0j -0.00555322-0j 0.00189047-0j 4.59202e-05-0j 3.06135e-05-0j 0.0296541-0j -1.56325e-05-0j -1.04217e-05-0j -0.0100951-0j -0.000731701-0j 2.70588e-06-0j 0.00874398-0j 0.000249092-0j -9.21156e-07-0j 0.00302656-0j -0.0029767-0j -0.00103033-0j 0.00155657-0j 0.000145833-0j -0.000529899-0j -4.96457e-05-0j 0.000185469-0j 0.000341483-0j -6.71173e-05-0j -0.00276442-0j -0.00508983-0j 0.00100039-0j 2.23975e-05-0j 0.0144637-0j 2.0446e-05-0j 4.1238e-05-0j 0.0266305-0j -8.10518e-06-0j -0.000345553-0j 3.7645e-05-0j -0.00523412-0j -0.000230369-0j 0.00412943-0j -7.39898e-06-0j 2.08676e-06-0j -0.000636228-0j -0.000424152-0j 0.00190577-0j 0.000125048-0j 0.00760306-0j -2.03619e-05-0j 3.84212e-06-0j 8.33656e-05-0j 0.000693063-0j -0.00149435-0j -7.55156e-07-0j 0.000421458-0j 0.00350887-0j -3.74901e-05-0j 9.16372e-05-0j 0.00127606-0j -0.000689656-0j 7.36855e-06-0j 0.000775984-0j 6.08229e-06-0j -0.000250805-0j -0.000152517-0j 0.000168721-0j -3.31616e-05-0j 1.11986e-05-0j -2.20105e-06-0j 
-0.00212714-0j -0.000354523-0j 0.0419933-0j 0.00426376-0j -2.61131e-06-0j 0.00185587-0j 0.000299489-0j -0.0235274-0j 3.52951e-05-0j -0.00591241-0j -0.000346591-0j 1.64422e-07-0j 0.00120568-0j 0.00123753-0j 0.000190635-0j 0.000195671-0j -0.0145004-0j 0.000100473-0j 2.17531e-05-0j -0.0148835-0j 0.000103128-0j 2.23278e-05-0j -0.00241674-0j -0.0025811-0j 2.09319e-06-0j -0.00248058-0j -0.00264929-0j -0.000429443-0j 2.14849e-06-0j -0.000440788-0j -1.78009e-05-0j 6.89507e-09-0j -1.82712e-05-0j 7.07722e-09-0j 0.00183605-0j -0.00108884-0j -0.000608491-0j 0.000286244-0j -0.000169753-0j -9.48652e-05-0j -0.0213329-0j 3.20031e-05-0j 0.000202405-0j 0.0126512-0j -1.8979e-05-0j 0.00707002-0j -0.00344259-0j -0.000120034-0j -1.06062e-05-0j 2.38537e-05-0j 2.98171e-06-0j -6.70798e-05-0j -0.00399582-0j 0.00204158-0j -1.41461e-05-0j -0.000405713-0j 0.00114092-0j -1.76826e-06-0j -0.000612786-0j 0.00236966-0j -7.90543e-06-0j 2.48476e-07-0j -9.88179e-07-0j 0.00132427-0j -5.88639e-05-0j 0.000240602-0j 0.000363404-0j -1.89e-06-0j -1.47355e-07-0j 0.000134459-0j 0.000203085-0j 3.49084e-05-0j 6.1872e-10-0j -8.23482e-08-0j 1.95083e-05-0j 1.12084e-06-0j 6.26372e-07-0j -3.66923e-10-0j -2.05052e-10-0j 
-0.00106357-0j -0.000177262-0j 0.0209966-0j 0.00213188-0j -1.30566e-06-0j -1.35951e-05-0j -2.19389e-06-0j 0.000172349-0j -2.58553e-07-0j 4.33111e-05-0j 2.53894e-06-0j -1.20446e-09-0j 0.00303386-0j 0.000601395-0j 0.000479695-0j 9.50889e-05-0j -0.0364874-0j 0.000252821-0j 5.47374e-05-0j -0.00723283-0j 5.01163e-05-0j 1.08505e-05-0j -0.00608124-0j -0.00649482-0j 5.26711e-06-0j -0.00120547-0j -0.00128745-0j -0.00108061-0j 1.04409e-06-0j -0.000214207-0j -4.47925e-05-0j 1.73501e-08-0j -8.87913e-06-0j 3.43927e-09-0j -0.000460233-0j 4.01414e-05-0j 0.000650241-0j -7.17514e-05-0j 6.25813e-06-0j 0.000101374-0j 0.00534742-0j -8.02205e-06-0j -5.07359e-05-0j -0.0004664-0j 6.99681e-07-0j -0.00755511-0j 0.000862936-0j 4.42517e-06-0j 1.1334e-05-0j -5.97928e-06-0j -7.4741e-07-0j 7.16823e-05-0j 0.00100161-0j -7.5265e-05-0j 5.21511e-07-0j 0.000101698-0j -0.0012192-0j 6.51889e-08-0j 0.000153604-0j -8.73602e-05-0j 8.44784e-06-0j -6.22842e-08-0j 1.05598e-06-0j -0.00141513-0j 1.47551e-05-0j -8.87006e-06-0j -1.33973e-05-0j 4.73757e-07-0j 5.43241e-09-0j -0.000143684-0j -0.00021702-0j -1.28694e-06-0j -1.55091e-10-0j 8.79984e-08-0j -2.08468e-05-0j -4.1321e-08-0j -6.69349e-07-0j 1.3527e-11-0j 2.19121e-10-0j 
0.000307026-0j -0.00489221-0j 3.13357e-05-0j 0.0286178-0j 0.0104073-0j -0.000267871-0j 0.00413277-0j -3.52951e-05-0j -0.0227927-0j 0.000421799-0j -0.00712847-0j -0.00109597-0j -0.000174025-0j -0.000178622-0j 0.00263065-0j 0.00270014-0j -2.17531e-05-0j -1.45021e-05-0j -0.0140476-0j -2.23278e-05-0j -1.48852e-05-0j -0.0144187-0j 0.000346618-0j -1.28181e-06-0j -0.00414216-0j 0.000355775-0j -1.31568e-06-0j -0.00143373-0j -0.00425159-0j -0.00147161-0j -0.00073737-0j -6.90834e-05-0j -0.00075685-0j -7.09085e-05-0j -0.000265011-0j 0.000157161-0j 8.78281e-05-0j 0.00395-0j -0.00234249-0j -0.00130908-0j -3.20031e-05-0j -0.0206668-0j -2.92147e-05-0j 1.8979e-05-0j 0.0122561-0j 1.06062e-05-0j 0.00049375-0j 1.73253e-05-0j 0.00684925-0j 0.000329167-0j -0.00590041-0j 9.68213e-06-0j -2.98171e-06-0j -0.000292811-0j -0.000195208-0j -0.00272309-0j -0.000163635-0j 0.00349915-0j 2.90945e-05-0j 1.76826e-06-0j -0.00010909-0j -0.000990296-0j 0.00195547-0j 9.88179e-07-0j -0.000602208-0j 0.00161489-0j -1.72541e-05-0j -0.000130938-0j 0.00058728-0j 0.000902468-0j -9.6423e-06-0j 0.000357131-0j -8.6908e-06-0j 0.000328197-0j 0.00019958-0j 7.76506e-05-0j 4.33944e-05-0j 5.15395e-06-0j 2.88025e-06-0j 
0.0008774-0j 0.000146233-0j -0.0173213-0j -0.00175871-0j 1.07711e-06-0j -0.00231895-0j -0.000374219-0j 0.029398-0j -4.41021e-05-0j 0.0073877-0j 0.000433074-0j -2.05449e-07-0j 0.000505425-0j 0.00243826-0j 7.99148e-05-0j 0.000385522-0j -0.00607862-0j 4.21188e-05-0j 9.11898e-06-0j -0.0293243-0j 0.000203188-0j 4.39915e-05-0j -0.0010131-0j -0.001082-0j 8.77475e-07-0j -0.00488739-0j -0.00521977-0j -0.000180024-0j 4.23309e-06-0j -0.000868466-0j -7.46221e-06-0j 2.89044e-09-0j -3.5999e-05-0j 1.3944e-08-0j -0.000757331-0j -0.00138271-0j 0.000318894-0j -0.00011807-0j -0.000215568-0j 4.97163e-05-0j 0.00879939-0j -1.32006e-05-0j -8.34879e-05-0j 0.0160657-0j -2.41013e-05-0j -0.00370521-0j 0.00142-0j -0.00015243-0j 5.55845e-06-0j -9.83915e-06-0j -1.22989e-06-0j 3.51547e-05-0j 0.00164819-0j 0.00259259-0j -1.7964e-05-0j 0.000167348-0j -0.000597925-0j -2.2455e-06-0j 0.000252761-0j 0.00300922-0j 4.14302e-06-0j -1.02491e-07-0j 5.17878e-07-0j -0.000694013-0j 2.42801e-05-0j 0.000305539-0j 0.000461484-0j 7.79587e-07-0j -1.87125e-07-0j -7.04662e-05-0j -0.000106432-0j 4.433e-05-0j -2.55209e-10-0j 4.31565e-08-0j -1.02238e-05-0j 1.42335e-06-0j -3.28265e-07-0j -4.65953e-10-0j 1.07462e-10-0j 
0.00107459-0j 0.000179099-0j -0.0212142-0j -0.00215397-0j 1.31919e-06-0j -0.00188884-0j -0.000304809-0j 0.0239453-0j -3.59221e-05-0j 0.00601745-0j 0.000352748-0j -1.67342e-07-0j -0.00183719-0j 0.000572778-0j -0.000290486-0j 9.05642e-05-0j 0.0220954-0j -0.000153099-0j -3.3147e-05-0j -0.00688866-0j 4.77315e-05-0j 1.03342e-05-0j 0.00368257-0j 0.00393302-0j -3.18957e-06-0j -0.00114811-0j -0.00122619-0j 0.000654376-0j 9.94407e-07-0j -0.000204014-0j 2.71247e-05-0j -1.05066e-08-0j -8.45663e-06-0j 3.27562e-09-0j 0.000465002-0j 0.00334262-0j 0.00129963-0j 7.24949e-05-0j 0.000521122-0j 0.000202616-0j -0.00540283-0j 8.10518e-06-0j 5.12617e-05-0j -0.0388377-0j 5.82632e-05-0j -0.0151003-0j -0.000871878-0j 0.000368489-0j 2.26531e-05-0j 6.04124e-06-0j 7.55156e-07-0j 0.000143271-0j -0.00101199-0j -0.00626741-0j 4.34269e-05-0j -0.000102752-0j -0.00243681-0j 5.42836e-06-0j -0.000155196-0j -0.00727459-0j 1.68846e-05-0j 6.29296e-08-0j 2.11058e-06-0j -0.00282841-0j -1.4908e-05-0j -0.000738621-0j -0.00111561-0j -4.78667e-07-0j 4.52363e-07-0j -0.000287181-0j -0.000433756-0j -0.000107165-0j 1.56699e-10-0j 1.75882e-07-0j -4.16664e-05-0j -3.44085e-06-0j -1.33782e-06-0j 1.12641e-09-0j 4.37956e-10-0j 
0.000153513-0j -0.0024461-0j 1.56679e-05-0j 0.0143089-0j 0.00520366-0j 1.96228e-06-0j -3.02744e-05-0j 2.58553e-07-0j 0.000166967-0j -3.08987e-06-0j 5.22193e-05-0j 8.02847e-06-0j -0.000437899-0j -8.68039e-05-0j 0.0066195-0j 0.00131217-0j -5.47374e-05-0j -3.64916e-05-0j -0.0353481-0j -1.08505e-05-0j -7.23366e-06-0j -0.00700698-0j 0.000872196-0j -3.22543e-06-0j -0.0104229-0j 0.000172894-0j -6.39371e-07-0j -0.0036077-0j -0.00206611-0j -0.000715146-0j -0.00185544-0j -0.000173835-0j -0.000367801-0j -3.44589e-05-0j 6.64289e-05-0j -5.79391e-06-0j -9.38542e-05-0j -0.000990126-0j 8.63585e-05-0j 0.0013989-0j 8.02205e-06-0j 0.00518044-0j 7.32309e-06-0j -6.99681e-07-0j -0.000451836-0j -1.1334e-05-0j -0.000123766-0j -6.38718e-07-0j -0.0073192-0j -8.25105e-05-0j 0.00147903-0j -1.03465e-05-0j 7.4741e-07-0j 1.07948e-05-0j 7.19654e-06-0j 0.000682583-0j 0.000174863-0j -0.000129-0j -7.29297e-06-0j -6.51889e-08-0j 0.000116575-0j 0.000248232-0j -0.00208965-0j -1.05598e-06-0j 0.000150952-0j -5.95347e-05-0j 6.36091e-07-0j 3.28214e-05-0j -2.16507e-05-0j -0.000964389-0j 1.03039e-05-0j -1.3166e-05-0j 2.17848e-06-0j -0.000350716-0j -0.000213274-0j -2.86268e-06-0j -4.63719e-05-0j -1.90006e-07-0j -3.07787e-06-0j 
-0.000126642-0j 0.00201793-0j -1.29253e-05-0j -0.0118042-0j -0.0042928-0j 0.000334711-0j -0.005164-0j 4.41021e-05-0j 0.02848-0j -0.000527048-0j 0.00890719-0j 0.00136944-0j -7.29519e-05-0j -0.000351932-0j 0.00110278-0j 0.00531998-0j -9.11898e-06-0j -6.07932e-06-0j -0.00588881-0j -4.39915e-05-0j -2.93277e-05-0j -0.0284086-0j 0.000145304-0j -5.37341e-07-0j -0.00173641-0j 0.000700969-0j -2.59223e-06-0j -0.000601024-0j -0.00837672-0j -0.00289944-0j -0.000309108-0j -2.896e-05-0j -0.00149119-0j -0.000139708-0j 0.000109311-0j 0.000199577-0j -4.60283e-05-0j -0.00162929-0j -0.00297471-0j 0.000686055-0j 1.32006e-05-0j 0.00852462-0j 1.20504e-05-0j 2.41013e-05-0j 0.015564-0j -5.55845e-06-0j -0.000203662-0j 2.20013e-05-0j -0.00358951-0j -0.000135774-0j 0.0024338-0j -5.07415e-06-0j 1.22989e-06-0j -0.000371839-0j -0.000247893-0j 0.00112322-0j 8.57569e-05-0j 0.00444355-0j -1.20009e-05-0j 2.2455e-06-0j 5.71713e-05-0j 0.000408476-0j -0.00102481-0j -5.17878e-07-0j 0.000248398-0j 0.00205074-0j -2.19108e-05-0j 5.4009e-05-0j 0.000745784-0j -0.000472959-0j 5.05327e-06-0j 0.000453518-0j 3.58477e-06-0j -0.000171999-0j -0.000104594-0j 9.8608e-05-0j -2.27419e-05-0j 6.54497e-06-0j -1.50946e-06-0j 
-0.000155104-0j 0.00247145-0j -1.58302e-05-0j -0.0144572-0j -0.00525759-0j 0.00027263-0j -0.00420619-0j 3.59221e-05-0j 0.0231976-0j -0.000429292-0j 0.0072551-0j 0.00111544-0j 0.000265176-0j -8.26735e-05-0j -0.00400853-0j 0.00124973-0j 3.3147e-05-0j 2.2098e-05-0j 0.0214055-0j -1.03342e-05-0j -6.88945e-06-0j -0.00667356-0j -0.00052817-0j 1.9532e-06-0j 0.00631174-0j 0.000164667-0j -6.08948e-07-0j 0.00218469-0j -0.0019678-0j -0.000681117-0j 0.00112359-0j 0.000105268-0j -0.0003503-0j -3.28192e-05-0j -6.71173e-05-0j -0.000482465-0j -0.000187586-0j 0.00100039-0j 0.00719118-0j 0.00279598-0j -8.10518e-06-0j -0.00523412-0j -7.39898e-06-0j -5.82632e-05-0j -0.0376249-0j -2.26531e-05-0j 0.000125048-0j -5.31868e-05-0j -0.0146288-0j 8.33656e-05-0j -0.00149435-0j -2.06794e-05-0j -7.55156e-07-0j 0.000898897-0j 0.000599265-0j -0.000689656-0j 0.000349497-0j -0.010742-0j 7.36855e-06-0j -5.42836e-06-0j 0.000232998-0j -0.000250805-0j -0.00417656-0j -2.11058e-06-0j -0.000152517-0j -0.00495752-0j 5.2968e-05-0j -3.31616e-05-0j -0.00180288-0j -0.00192752-0j 2.05943e-05-0j -0.00109635-0j -2.20105e-06-0j -0.000700973-0j -0.000426268-0j -0.000238378-0j -9.26831e-05-0j -1.5822e-05-0j -6.15171e-06-0j 
