-0.037889-0j -0.00546881-0j -0.0310611-0j -0.00549087-0j -0.000457573-0j -0.0189018-0j -0.0190977-0j -0.0031503-0j -0.00192916-0j -0.00318295-0j -0.000393788-0j -0.00194915-0j -0.000397868-0j -2.32042e-05-0j -2.34446e-05-0j -0.0137175-0j -0.0169745-0j -0.00990179-0j -0.00221365-0j -0.00180743-0j -0.00273925-0j -0.000260881-0j -0.00159789-0j -0.000225929-0j -0.00223659-0j -2.6626e-05-0j -0.000322823-0j -0.00130468-0j -0.000279573-0j -1.21531e-06-0j -0.000188314-0j -0.000163084-0j -3.2948e-05-0j -1.50387e-06-0j -1.92197e-05-0j -8.77255e-07-0j -0.0107767-0j -0.0125728-0j -0.00769924-0j -0.00170394-0j -0.0110012-0j -0.00453776-0j -0.00134709-0j -0.00198793-0j -0.000898057-0j -0.000194435-0j -0.00121736-0j -0.00173944-0j -0.0015716-0j -0.000224514-0j -0.000717483-0j -0.00104773-0j -7.93778e-05-0j -0.000962404-0j -0.000226841-0j -1.87095e-05-0j -0.000641603-0j -0.000138911-0j -0.00137515-0j -1.98444e-05-0j -0.000916767-0j -0.000261933-0j -0.000198486-0j -0.00056722-0j -1.6537e-06-0j -0.000160401-0j -9.26074e-05-0j -0.000378147-0j -2.18278e-05-0j -8.18712e-05-0j -6.16299e-08-0j -5.67102e-05-0j -1.33667e-05-0j -2.31519e-05-0j -0.000229192-0j -1.41776e-05-0j -8.10315e-05-0j -1.92932e-06-0j -9.45367e-05-0j -1.90993e-05-0j -2.02579e-05-0j -1.18146e-06-0j -3.34238e-05-0j -7.19016e-08-0j -7.87806e-06-0j -1.68816e-06-0j -4.40305e-08-0j -8.35595e-06-0j -6.29139e-08-0j -6.96329e-07-0j -2.59506e-08-0j 
0.00244634-0j -0.033758-0j 0.00200549-0j -0.0167698-0j -0.00425155-0j -0.00120084-0j 0.00123306-0j 0.00946709-0j -0.00012256-0j -0.00972114-0j 0.00239179-0j 0.000125849-0j -0.00245597-0j 0.000283349-0j -0.000290953-0j -0.00441901-0j -0.00107839-0j 0.000639318-0j 0.0337321-0j -0.000582255-0j 0.00823182-0j 0.00803478-0j -0.00488018-0j 0.00344277-0j -0.000142091-0j 0.00123436-0j 0.00196077-0j 8.42376e-05-0j 0.000840157-0j 9.41618e-05-0j -0.00116243-0j -0.000498081-0j 0.000301227-0j 2.29788e-05-0j -0.00017858-0j -1.36228e-05-0j 0.000695806-0j -0.00405026-0j -0.00147538-0j -0.00520407-0j -0.000698908-0j 0.000292985-0j 8.69758e-05-0j 0.0302926-0j 5.79839e-05-0j -0.00120021-0j 0.0110346-0j 0.00522727-0j -0.000506282-0j -0.000685696-0j -0.00219129-0j -0.000337522-0j 5.1251e-06-0j -0.000184422-0j 0.0069864-0j -0.00017384-0j -0.000122948-0j 0.00254491-0j -8.73635e-05-0j -0.000122496-0j -5.82424e-05-0j 0.00399141-0j 0.00120556-0j 3.66231e-05-0j -2.05228e-05-0j 0.00145394-0j -2.9833e-05-0j 2.44154e-05-0j 0.00101192-0j -0.000505377-0j -1.14925e-06-0j -1.08672e-05-0j 0.000368607-0j 0.000713046-0j 0.000688753-0j 0.000259739-0j -5.14795e-06-0j 0.000119463-0j -0.000288728-0j 0.000174615-0j 0.000123042-0j 4.35163e-05-0j 2.15804e-06-0j 6.68974e-06-0j -7.31992e-05-0j 2.06143e-05-0j 2.43685e-06-0j -5.15798e-05-0j 1.15437e-06-0j -8.6416e-06-0j -4.83918e-07-0j 
-0.00370754-0j 0.0511618-0j 0.00295288-0j -0.0246919-0j -0.00625998-0j 0.00181992-0j 0.001868-0j -0.0143478-0j 0.000185745-0j -0.0147269-0j -0.00362487-0j 0.000190652-0j -0.00372063-0j -0.000429429-0j -0.000440774-0j -0.00134229-0j -0.00158783-0j -0.000887345-0j 0.0102462-0j -0.000176862-0j 0.0121205-0j 0.00244059-0j 0.00677347-0j 0.00104575-0j -0.000209215-0j 0.00037494-0j 0.00288704-0j -0.000116918-0j 0.00123705-0j 2.8602e-05-0j 0.0016134-0j 0.000691314-0j 0.000443526-0j 3.3834e-05-0j 0.000247861-0j 1.89079e-05-0j 0.00318266-0j 0.00119526-0j 0.002236-0j -0.0238037-0j -0.0010588-0j -0.00212011-0j 0.000397832-0j -0.00893955-0j 0.000265221-0j -0.00548985-0j -0.0167234-0j 0.00791895-0j 0.000149407-0j -0.00313641-0j 0.0158567-0j 9.96047e-05-0j 2.34425e-05-0j 0.0002795-0j -0.00206173-0j -0.000795154-0j 0.000186333-0j -0.00385693-0j -0.00013235-0j -0.000560305-0j -8.82331e-05-0j -0.00117789-0j 0.00182635-0j -0.000265014-0j -9.38726e-05-0j -0.00220351-0j 8.8039e-06-0j -0.000176676-0j -0.000298622-0j 0.00365704-0j -5.25674e-06-0j 1.64697e-05-0j -0.000558641-0j -0.000210424-0j 0.00104341-0j -0.000393646-0j -7.79878e-06-0j -3.52541e-05-0j 0.00208931-0j 0.00026453-0j 0.000186401-0j -6.59508e-05-0j -1.56161e-05-0j -1.97418e-06-0j 0.000529688-0j 3.12293e-05-0j -3.69316e-06-0j 0.000373245-0j 1.7488e-06-0j 6.25328e-05-0j 3.50175e-06-0j 
-0.00247169-0j 0.0341079-0j 0.00196859-0j -0.0164613-0j -0.00417332-0j -0.00123306-0j 0.00124533-0j 0.00972114-0j -0.000125849-0j -0.0098179-0j 0.00245597-0j 0.000127101-0j -0.00248042-0j 0.000290953-0j -0.000293849-0j 0.0044648-0j 0.00107581-0j -0.000591563-0j -0.0340817-0j 0.000588289-0j -0.00821209-0j -0.00811804-0j 0.00451565-0j -0.00347845-0j 0.00014175-0j -0.00124715-0j -0.00195607-0j -7.79453e-05-0j -0.000838143-0j -9.51376e-05-0j 0.0010756-0j 0.000460876-0j -0.000300505-0j -2.29237e-05-0j 0.000165241-0j 1.26052e-05-0j -0.000703017-0j -0.00397574-0j -0.00050226-0j 0.005258-0j 0.000717372-0j -0.00141341-0j -8.78771e-05-0j 0.0297353-0j -5.85848e-05-0j 0.00121265-0j 0.00375649-0j -0.00536536-0j -0.000496967-0j 0.000692802-0j 0.0105711-0j -0.000331311-0j -5.17821e-06-0j -6.27825e-05-0j 0.00685785-0j 0.000175642-0j -4.1855e-05-0j 0.000866361-0j 8.96716e-05-0j 0.000123766-0j 5.9781e-05-0j 0.00391797-0j -0.00123741-0j -0.000176676-0j 2.07355e-05-0j 0.000494962-0j -2.92841e-05-0j -0.000117784-0j 0.000993296-0j 0.00243802-0j 1.16116e-06-0j -3.69949e-06-0j 0.000125484-0j 0.000699926-0j -0.000706949-0j 8.84226e-05-0j 5.28395e-06-0j 0.000117264-0j 0.00139287-0j -0.000179228-0j -0.000126293-0j 1.48142e-05-0j -1.04107e-05-0j 6.56665e-06-0j 0.000353125-0j -2.11589e-05-0j 8.29573e-07-0j 0.00024883-0j -1.18487e-06-0j 4.16885e-05-0j 2.3345e-06-0j 
0.00152928-0j -0.0211032-0j -0.00368969-0j 0.0308531-0j 0.007822-0j 0.000762917-0j 0.00368044-0j -0.00601465-0j 7.78648e-05-0j -0.0290157-0j -0.00151956-0j 0.000375633-0j -0.0073306-0j -0.000180018-0j -0.000868437-0j 0.000553666-0j -0.00201637-0j 0.000465034-0j -0.00422636-0j 7.29519e-05-0j 0.0153918-0j -0.00100669-0j -0.00354979-0j -0.000431351-0j -0.00026568-0j -0.000154655-0j 0.00366623-0j 6.12736e-05-0j 0.00157092-0j -1.17977e-05-0j -0.000845539-0j -0.000362299-0j 0.000563231-0j 4.29656e-05-0j -0.000129897-0j -9.9091e-06-0j -0.00131278-0j -0.0014935-0j 0.000310757-0j 0.00981852-0j 0.00212011-0j -0.00258313-0j -0.000164097-0j 0.0111702-0j -0.000109398-0j 0.00226445-0j -0.00232421-0j -0.0158567-0j -0.000186688-0j 0.0012937-0j 0.0193197-0j -0.000124458-0j -9.66953e-06-0j 3.88447e-05-0j 0.00257618-0j 0.000327984-0j 2.58964e-05-0j -0.000536033-0j 0.000265014-0j 0.000231114-0j 0.000176676-0j 0.0014718-0j -0.00365704-0j -0.000322891-0j 3.87205e-05-0j -0.000306242-0j -1.10007e-05-0j -0.000215261-0j 0.000373136-0j 0.00445571-0j 2.16829e-06-0j 2.28894e-06-0j -7.76395e-05-0j 0.00026293-0j -0.00208931-0j -5.47087e-05-0j 1.56161e-05-0j 4.40509e-05-0j 0.0025456-0j -0.000529688-0j -0.000373245-0j -9.1658e-06-0j -1.90265e-05-0j 2.46679e-06-0j 0.000645368-0j -6.25328e-05-0j -5.13272e-07-0j 0.000454759-0j -3.50175e-06-0j 7.61895e-05-0j 4.26651e-06-0j 
-0.00302719-0j 0.0417734-0j -3.53236e-05-0j 0.000295375-0j 7.48845e-05-0j 0.0044821-0j 0.0014824-0j -0.0353358-0j 0.000457452-0j -0.0116869-0j -0.00892732-0j 0.000151296-0j -0.0029526-0j -0.0010576-0j -0.000349787-0j 0.00218613-0j 5.72924e-05-0j 0.00154845-0j -0.0166877-0j 0.000288048-0j -0.000437337-0j -0.0039749-0j -0.01182-0j -0.00170318-0j 7.54893e-06-0j -0.000610651-0j -0.000104171-0j 0.000204026-0j -4.46355e-05-0j -4.65829e-05-0j -0.00281544-0j -0.00120637-0j -1.60034e-05-0j -1.22081e-06-0j -0.000432527-0j -3.29949e-05-0j -0.000861017-0j 2.85205e-05-0j -0.000575986-0j 0.0064397-0j -0.0025344-0j 0.00106701-0j -0.000107627-0j -0.00021331-0j -7.17514e-05-0j 0.00148519-0j 0.00430791-0j 0.0189553-0j 3.56506e-06-0j 0.000848506-0j -0.00798036-0j 2.37671e-06-0j -6.34199e-06-0j -7.19983e-05-0j -4.91957e-05-0j 0.000215116-0j -4.79989e-05-0j 0.000993533-0j -0.0003168-0j 0.000151582-0j -0.0002112-0j -2.81061e-05-0j 0.00437165-0j 0.000133376-0j 2.53957e-05-0j 0.000567617-0j 2.10073e-07-0j 8.89174e-05-0j -7.12554e-06-0j -0.00184051-0j 1.42213e-06-0j -4.24254e-06-0j 0.000143904-0j -5.02101e-06-0j 0.00249758-0j 0.000101402-0j -1.86676e-05-0j -8.41212e-07-0j -0.0010515-0j 0.000633194-0j 0.00044618-0j 1.69887e-05-0j 7.85926e-06-0j -4.71067e-08-0j -0.000266581-0j 7.47523e-05-0j 9.51346e-07-0j -0.000187846-0j 4.18603e-06-0j -3.14715e-05-0j -1.76236e-06-0j 
-0.000756798-0j 0.0104434-0j -0.000620416-0j 0.00518791-0j 0.00131526-0j 0.0026186-0j -0.000381458-0j -0.0206444-0j 0.000267259-0j 0.00300732-0j -0.00521565-0j -3.89324e-05-0j 0.000759778-0j -0.000617884-0j 9.0009e-05-0j -0.000273993-0j 0.00235159-0j -0.000197779-0j 0.00209151-0j -3.61018e-05-0j -0.0179507-0j 0.000498184-0j 0.00150973-0j 0.000213463-0j 0.00030985-0j 7.65344e-05-0j -0.00427574-0j -2.60597e-05-0j -0.00183208-0j 5.83835e-06-0j 0.000359608-0j 0.000154086-0j -0.000656868-0j -5.01086e-05-0j 5.52454e-05-0j 4.21434e-06-0j -0.000215254-0j -0.00025113-0j -0.0049767-0j 0.00160993-0j 0.00152407-0j -9.06375e-05-0j -2.69068e-05-0j 0.00187825-0j -1.79378e-05-0j 0.000371297-0j 0.0372217-0j -0.0113988-0j -3.13912e-05-0j 0.000212126-0j 0.000677895-0j -2.09275e-05-0j -1.5855e-06-0j -0.000622088-0j 0.00043318-0j 5.3779e-05-0j -0.000414725-0j 0.00858444-0j 0.000190509-0j 3.78954e-05-0j 0.000127006-0j 0.000247481-0j -0.00262891-0j -1.13297e-05-0j 6.34893e-06-0j 0.00490439-0j -1.84975e-06-0j -7.55313e-06-0j 6.27422e-05-0j 0.000156343-0j 3.55531e-07-0j -3.66569e-05-0j 0.00124338-0j 4.42113e-05-0j -0.00150193-0j 0.000876146-0j 1.12258e-05-0j 7.40708e-06-0j 8.93205e-05-0j -0.000380773-0j -0.000268312-0j 0.000146788-0j -6.67609e-07-0j 4.14787e-07-0j 2.26449e-05-0j -4.49525e-05-0j 8.21993e-06-0j 1.59567e-05-0j -2.51728e-06-0j 2.67336e-06-0j 1.49704e-07-0j 
0.0024973-0j -0.0344613-0j -0.00400711-0j 0.0335074-0j 0.00849492-0j -0.00122585-0j 0.00115278-0j 0.00966433-0j -0.000125113-0j -0.00908822-0j 0.00244162-0j 0.000117655-0j -0.00229607-0j 0.000289253-0j -0.00027201-0j -0.00180347-0j 0.00215471-0j 0.00252695-0j 0.0137666-0j -0.000237628-0j -0.0164478-0j 0.00327912-0j -0.0192893-0j 0.00140505-0j 0.000283908-0j 0.000503761-0j -0.00391776-0j 0.000332955-0j -0.0016787-0j 3.8429e-05-0j -0.00459459-0j -0.00196871-0j -0.000601874-0j -4.59134e-05-0j -0.000705852-0j -5.38452e-05-0j 0.000710302-0j 0.00323537-0j -0.00150611-0j -0.00531249-0j -0.000653404-0j 0.000348014-0j 8.87878e-05-0j -0.0241979-0j 5.91919e-05-0j -0.00122522-0j 0.0112645-0j 0.00488693-0j 0.000404421-0j -0.000699981-0j -0.00260286-0j 0.000269614-0j 5.23187e-06-0j -0.000188264-0j -0.00558077-0j -0.000177462-0j -0.000125509-0j 0.00259793-0j -8.16755e-05-0j -0.000125048-0j -5.44503e-05-0j -0.00318836-0j 0.00112707-0j 4.35017e-05-0j -2.09504e-05-0j 0.00148423-0j 2.38307e-05-0j 2.90012e-05-0j -0.000808323-0j -0.000600298-0j -1.17319e-06-0j -1.10936e-05-0j 0.000376287-0j -0.000569585-0j 0.00064391-0j 0.00026515-0j -4.81277e-06-0j -9.54273e-05-0j -0.000342957-0j 0.000163246-0j 0.000115031-0j 4.44229e-05-0j 2.56337e-06-0j -5.3438e-06-0j -8.69477e-05-0j 1.92722e-05-0j 2.48762e-06-0j -6.12677e-05-0j 1.07922e-06-0j -1.02647e-05-0j -5.74808e-07-0j 
0.00152928-0j -0.0211032-0j -0.001218-0j 0.0101849-0j 0.00258211-0j -0.00377787-0j -0.00077051-0j 0.0297838-0j -0.000385577-0j 0.00607452-0j 0.00752466-0j -7.86399e-05-0j 0.00153468-0j 0.000891427-0j 0.00018181-0j 0.000553666-0j 0.00329608-0j 0.000366011-0j -0.00422636-0j 7.29519e-05-0j -0.0251603-0j -0.00100669-0j -0.00279391-0j -0.000431351-0j 0.000434297-0j -0.000154655-0j -0.00599304-0j 4.82262e-05-0j -0.00256792-0j -1.17977e-05-0j -0.000665493-0j -0.000285153-0j -0.000920691-0j -7.0234e-05-0j -0.000102238-0j -7.79909e-06-0j 0.00043497-0j -0.000493018-0j 0.0039506-0j -0.00325322-0j 0.0021979-0j 0.000874502-0j 5.43712e-05-0j 0.00368738-0j 3.62475e-05-0j -0.00075029-0j -0.0295473-0j -0.0164385-0j -6.16273e-05-0j -0.000428649-0j -0.00654056-0j -4.10849e-05-0j 3.20385e-06-0j 0.000493825-0j 0.00085042-0j -0.000108673-0j 0.000329216-0j -0.00681448-0j 0.000274737-0j -7.65762e-05-0j 0.000183158-0j 0.000485854-0j -0.00379121-0j 0.000109313-0j -1.28294e-05-0j -0.00389319-0j -3.63142e-06-0j 7.28752e-05-0j 0.000123175-0j -0.00150845-0j -7.18431e-07-0j 2.90989e-05-0j -0.000987016-0j 8.67956e-05-0j -0.00216596-0j -0.0006955-0j 1.6189e-05-0j 1.45416e-05-0j -0.000861795-0j -0.000549122-0j -0.000386939-0j -0.000116523-0j 6.44131e-06-0j 8.14309e-07-0j -0.000218485-0j -6.48271e-05-0j -6.52513e-06-0j -0.000153956-0j -3.63023e-06-0j -2.57935e-05-0j -1.4444e-06-0j 
-0.000797901-0j 0.0110106-0j 0.00256989-0j -0.0214894-0j -0.00544807-0j -0.000398051-0j -0.00425383-0j 0.00313814-0j -4.06259e-05-0j 0.0335362-0j 0.000792827-0j -0.000434155-0j 0.00847266-0j 9.39242e-05-0j 0.00100374-0j 0.000576217-0j 0.00140442-0j 0.00270172-0j -0.0043985-0j 7.59233e-05-0j -0.0107205-0j -0.0010477-0j -0.0206234-0j -0.00044892-0j 0.000185048-0j -0.000160954-0j -0.00255355-0j 0.000355983-0j -0.00109416-0j -1.22782e-05-0j -0.00491235-0j -0.00210486-0j -0.000392294-0j -2.99258e-05-0j -0.000754669-0j -5.75692e-05-0j -0.000226945-0j -0.00207495-0j -0.000162137-0j 0.00169736-0j -0.00245041-0j 0.00178618-0j -2.83681e-05-0j 0.0155189-0j -1.89121e-05-0j 0.000391463-0j 0.00121266-0j 0.0183271-0j -0.000259369-0j 0.000223647-0j -0.0133592-0j -0.000172912-0j -1.67161e-06-0j -2.02672e-05-0j 0.00357913-0j 5.66999e-05-0j -1.35114e-05-0j 0.000279675-0j -0.000306302-0j 3.99536e-05-0j -0.000204201-0j 0.0020448-0j 0.00422678-0j 0.000223273-0j 6.69375e-06-0j 0.000159781-0j -1.52834e-05-0j 0.000148849-0j 0.000518404-0j -0.00308103-0j 3.74841e-07-0j -1.19425e-06-0j 4.05083e-05-0j 0.000365294-0j 0.00241481-0j 2.85442e-05-0j -1.8049e-05-0j 6.12007e-05-0j -0.00176023-0j 0.000612211-0j 0.000431394-0j 4.78225e-06-0j 1.31565e-05-0j 3.42716e-06-0j -0.000446259-0j 7.22751e-05-0j 2.67799e-07-0j -0.000314457-0j 4.04731e-06-0j -5.26835e-05-0j -2.95021e-06-0j 
-0.00109257-0j 0.0150768-0j 0.00263604-0j -0.0220426-0j -0.0055883-0j 0.00161768-0j -0.00262943-0j -0.0127534-0j 0.000165103-0j 0.0207298-0j -0.00322204-0j -0.000268365-0j 0.00523723-0j -0.000381707-0j 0.000620442-0j -0.000395558-0j -0.00427548-0j -0.000332236-0j 0.00301946-0j -5.21193e-05-0j 0.0326365-0j 0.000719216-0j 0.0025361-0j 0.000308172-0j -0.000563344-0j 0.000110491-0j 0.00777381-0j -4.37759e-05-0j 0.00333095-0j 8.42869e-06-0j 0.000604082-0j 0.000258839-0j 0.00119427-0j 9.11034e-05-0j 9.28032e-05-0j 7.0794e-06-0j -0.000310757-0j 0.00106701-0j -0.000207884-0j 0.00232421-0j 0.00449545-0j 0.00184548-0j -3.88447e-05-0j -0.00798036-0j -2.58964e-05-0j 0.000536033-0j 0.00155481-0j -0.0336223-0j 0.000133376-0j 0.000306242-0j -0.0138027-0j 8.89174e-05-0j -2.28894e-06-0j -2.59856e-05-0j -0.00184051-0j 7.76395e-05-0j -1.73237e-05-0j 0.000358585-0j 0.000561931-0j 5.47087e-05-0j 0.000374621-0j -0.0010515-0j -0.00775432-0j 0.000230685-0j 9.1658e-06-0j 0.000204864-0j 7.85926e-06-0j 0.00015379-0j -0.000266581-0j -0.00318331-0j 5.13272e-07-0j -1.53121e-06-0j 5.19378e-05-0j -0.000187846-0j -0.00443013-0j 3.65979e-05-0j 3.31121e-05-0j -3.14715e-05-0j -0.00181866-0j -0.00112314-0j -0.000791422-0j 6.13156e-06-0j 1.35932e-05-0j -1.76236e-06-0j -0.000461073-0j -0.000132593-0j 3.43359e-07-0j -0.000324895-0j -7.42505e-06-0j -5.44324e-05-0j -3.04814e-06-0j 
0.000403085-0j -0.00556233-0j -0.001624-0j 0.0135799-0j 0.00344282-0j -0.000197862-0j 0.00372269-0j 0.0015599-0j -2.01942e-05-0j -0.0293488-0j 0.000394097-0j 0.000379945-0j -0.00741475-0j 4.66877e-05-0j -0.000878407-0j 0.000145934-0j 0.000873262-0j -0.00465986-0j -0.00111398-0j 1.92285e-05-0j -0.00666597-0j -0.000265342-0j 0.0355707-0j -0.000113695-0j 0.000115062-0j -4.07637e-05-0j -0.00158779-0j -0.000613991-0j -0.000680343-0j -3.10962e-06-0j 0.00847271-0j 0.00363042-0j -0.000243928-0j -1.86078e-05-0j 0.00130164-0j 9.9294e-05-0j 0.000114648-0j -0.000657359-0j -0.000243099-0j -0.000857477-0j -0.00211005-0j 0.00156398-0j 1.43311e-05-0j 0.00491651-0j 9.55404e-06-0j -0.00019776-0j 0.00181818-0j 0.0157815-0j -8.21699e-05-0j -0.000112983-0j -0.0116973-0j -5.47799e-05-0j 8.44465e-07-0j -3.03873e-05-0j 0.0011339-0j -2.86437e-05-0j -2.02582e-05-0j 0.000419327-0j -0.000263756-0j -2.01838e-05-0j -0.000175838-0j 0.000647808-0j 0.00363968-0j 0.000195497-0j -3.38156e-06-0j 0.000239566-0j -4.84191e-06-0j 0.000130331-0j 0.000164234-0j -0.00269774-0j -1.89363e-07-0j -1.79059e-06-0j 6.07357e-05-0j 0.000115728-0j 0.00207939-0j 4.27974e-05-0j -1.5542e-05-0j 1.93888e-05-0j -0.00154125-0j 0.000527174-0j 0.000371473-0j 7.1702e-06-0j 1.15198e-05-0j 1.08575e-06-0j -0.000390743-0j 6.2236e-05-0j 4.01521e-07-0j -0.000275337-0j 3.48513e-06-0j -4.61295e-05-0j -2.58319e-06-0j 
-7.69653e-05-0j 0.00106207-0j 0.000434483-0j -0.00363314-0j -0.000921087-0j -3.83959e-05-0j -0.00153798-0j 0.000302704-0j -3.91876e-06-0j 0.012125-0j 7.64759e-05-0j -0.000156969-0j 0.0030633-0j 9.0599e-06-0j 0.000362901-0j -2.78648e-05-0j 0.00023744-0j 0.00364589-0j 0.000212703-0j -3.6715e-06-0j -0.00181248-0j 5.06646e-05-0j -0.0278306-0j 2.17089e-05-0j 3.12854e-05-0j 7.78344e-06-0j -0.00043172-0j 0.000480388-0j -0.000184985-0j 5.93752e-07-0j -0.00662906-0j -0.00284044-0j -6.63239e-05-0j -5.05945e-06-0j -0.0010184-0j -7.76878e-05-0j -2.1891e-05-0j 0.000175869-0j -1.56397e-05-0j 0.000163727-0j -0.000885949-0j -0.00548369-0j -2.73638e-06-0j -0.00131535-0j -1.82425e-06-0j 3.77604e-05-0j 0.000116972-0j 0.00662618-0j 2.19836e-05-0j 2.1573e-05-0j 0.0410135-0j 1.46557e-05-0j -1.61243e-07-0j -1.95496e-06-0j -0.00030336-0j 5.46925e-06-0j -1.30331e-06-0j 2.69774e-05-0j -0.000110744-0j 3.85391e-06-0j -7.38291e-05-0j -0.000173313-0j 0.0015282-0j -0.000685461-0j 6.45677e-07-0j 1.54125e-05-0j 1.2954e-06-0j -0.000456974-0j -4.3939e-05-0j 0.00945896-0j 3.6157e-08-0j -1.15197e-07-0j 3.90742e-06-0j -3.09616e-05-0j 0.000873076-0j 2.75336e-06-0j -6.52563e-06-0j -5.18725e-06-0j 0.00540401-0j 0.000221345-0j 0.000155971-0j 4.61294e-07-0j -4.03912e-05-0j -2.90479e-07-0j 0.00137004-0j 2.61311e-05-0j 2.58318e-08-0j 0.000965401-0j 1.46331e-06-0j 0.000161742-0j 9.05731e-06-0j 
